Accession	Organism	Entry name	Subcellular locations	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Protein family	EC numbers	PubMed ID	Gene Ontology ID	Keywords	Length	Protein names	Mapped PubMed ID	Gene location
P34210	Escherichia coli (strain K12)	OMPP_ECOLI	Cell outer membrane; Multi-pass membrane protein. 	ompP	ompX	Peptidase A26 family	3.4.23.-	8288530; 10561486	GO:0004190; GO:0009279; GO:0009597; GO:0046718; GO:0016021; GO:0005886; GO:0006508	Aspartyl protease; Cell membrane; Cell outer membrane; Complete proteome; Direct protein sequencing; Hydrolase; Membrane; Phage recognition; Plasmid; Protease; Signal; Transmembrane; Transmembrane beta strand	315	Outer membrane protease ompP (EC 3.4.23.-)		Plasmid F
P96329	Escherichia coli (strain K12)	PIFA_ECOLI		pifA				5283385		Complete proteome; Plasmid	741	Phage T7 exclusion protein		Plasmid F
P10030	Escherichia coli (strain K12)	PIFC_ECOLI		pifC	C repC			3027660; 6096563; 6413493	GO:0003677; GO:0045449; GO:0006350	Complete proteome; DNA-binding; Plasmid; Repressor; Transcription; Transcription regulation	362	Transcriptional repressor pifC (Protein C)		Plasmid F
P04737	Escherichia coli (strain K12)	PIL1_ECOLI	Cell inner membrane; Multi-pass membrane protein. Secreted. 	traA		TraA family		6090426; 7915817; 2999074; 2906110; 1464628; 8095257; 8682775; 9641980; 10564517; 11849547	GO:0000746; GO:0005576; GO:0016021; GO:0005886	Acetylation; Cell inner membrane; Cell membrane; Complete proteome; Conjugation; Direct protein sequencing; Membrane; Plasmid; Secreted; Transmembrane; Transmembrane helix	121	Pilin (F-pilin)		Plasmid F; Plasmid IncFI R386; Plasmid IncFI ColV2-K94; Plasmid IncFI ColVBtrp
P18148	Escherichia coli (strain K12)	PSIA1_ECOLI		psiA				2201950; 		Complete proteome; Plasmid	239	Protein psiA		Plasmid F
P10031	Escherichia coli (strain K12)	PSIB1_ECOLI		psiB				3205720; 10366527; 		3D-structure; Complete proteome; Plasmid	144	Protein psiB	20659894	Plasmid F
P13960	Escherichia coli (strain K12)	REA1_ECOLI		repA1				3032897; 	GO:0006260; GO:0006276	Complete proteome; DNA replication; Plasmid; Plasmid copy control	91	Putative defective replication initiation protein (RepFIC replication initiation protein) (Fragment)		Plasmid F
P06615	Escherichia coli (strain K12)	REDF_ECOLI		resD	D	'phage' integrase family		3027661; 3007930; 6327993	GO:0003677; GO:0015074; GO:0006310; GO:0045449; GO:0006350	Complete proteome; DNA integration; DNA recombination; Plasmid; Repressor; Transcription; Transcription regulation	268	Resolvase (Protein D)		Plasmid F
Q57154	Escherichia coli (strain K12)	REPB_ECOLI		repB	repA	Initiator repB protein family		8356112; 2651415; 8320218	GO:0003677; GO:0006270; GO:0003887; GO:0005727; GO:0006276	Complete proteome; DNA replication; DNA-binding; Plasmid; Plasmid copy control	325	RepFIB replication protein A		Plasmid F; Plasmid IncFI P307; Plasmid IncFI pHH502; Plasmid IncFI ColVBtrp
P03856	Escherichia coli (strain K12)	REPE1_ECOLI		repE	E rep	Initiator repB protein family		7028572; 7018695; 3007930; 3029390; 10469640	GO:0003677; GO:0006270; GO:0003887; GO:0005727; GO:0006276	3D-structure; Complete proteome; DNA replication; DNA-binding; Plasmid; Plasmid copy control	251	Replication initiation protein (Protein E) (Protein rep) (Protein F4)	18000058	Plasmid F
P56980	Escherichia coli (strain K12)	REPL1_ECOLI		repL					GO:0006260	Complete proteome; DNA replication; Leader peptide; Plasmid	24	Positive regulator of RepFIC repA1 expression (RepA1 leader peptide)		Plasmid F
P62556	Escherichia coli (strain K12)	SOPA_ECOLI		sopA	A	ParA family		3029390; 	GO:0030541	Complete proteome; Plasmid; Plasmid partition	388	Protein sopA (Plasmid partition protein A)		Plasmid F
P62558	Escherichia coli (strain K12)	SOPB_ECOLI		sopB	B	ParB family		3029390; 	GO:0003677; GO:0030541	3D-structure; Complete proteome; DNA-binding; Plasmid; Plasmid partition	323	Protein sopB (Plasmid partition protein B)	20236989	Plasmid F
P13970	Escherichia coli (strain K12)	SRNB_ECOLI	Membrane; Single-pass membrane protein. 	srnB		Hok/gef family		3032897; 	GO:0016021	Alternative initiation; Complete proteome; Membrane; Plasmid; Transmembrane; Transmembrane helix	68	Protein srnB		Plasmid F
P18310	Escherichia coli (strain K12)	SSBF_ECOLI		ssbF	ssb ssf			6351061; 2013585	GO:0006260; GO:0003697	Complete proteome; DNA replication; DNA-binding; Plasmid	179	Plasmid-derived single-stranded DNA-binding protein (SSB) (Helix-destabilizing protein)		Plasmid F
Q00037	Escherichia coli (strain K12)	TNPA_ECOLI		tnpA		Transposase 7 family		7612932; 8080658; 1709493	GO:0003677; GO:0004803; GO:0006313	Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition	1002	Transposase for transposon gamma-delta (Transposon Tn1000 transposase)		Plasmid F
Q00042	Escherichia coli (strain K12)	TNPX_ECOLI		tnpX				7612932; 8080658; 		Complete proteome; Plasmid; Transposable element	698	Putative transposon gamma-delta 80.3 kDa protein (Transposon Tn1000 protein tnpX)		Plasmid F
P03012	Escherichia coli (strain K12)	TNR1_ECOLI		tnpR		Site-specific recombinase resolvase family		6292730; 8080658; 7612932; 6099239; 6088082; 2175678; 7628011; 7987224	GO:0003677; GO:0015074; GO:0006310; GO:0000150; GO:0045449	3D-structure; Complete proteome; DNA integration; DNA recombination; DNA-binding; Plasmid; Transposable element	183	Transposon gamma-delta resolvase (Transposon Tn1000 resolvase)	11501998; 15994378; 16807292; 8081753; 8156989	Plasmid F
P41067	Escherichia coli (strain K12)	TRAB1_ECOLI		traB		TraB family		7915817; 8655498	GO:0000746	Complete proteome; Conjugation; Plasmid	475	Protein traB		Plasmid F; Plasmid IncFII ColB2
P18004	Escherichia coli (strain K12)	TRAC_ECOLI	Cell inner membrane; Peripheral membrane protein. 	traC				2265751; 7915817; 1355084	GO:0000746; GO:0005886	Cell inner membrane; Cell membrane; Complete proteome; Conjugation; Direct protein sequencing; Membrane; Plasmid	875	Protein traC		Plasmid F
P09130	Escherichia coli (strain K12)	TRAD1_ECOLI	Cell inner membrane; Multi-pass membrane protein. 	traD				2680768; 7915817; 10464182; 3323526; 2164585; 2163400; 1618779; 10498725	GO:0005524; GO:0000746; GO:0016021; GO:0005886	3D-structure; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Conjugation; Membrane; Nucleotide-binding; Plasmid; Transmembrane; Transmembrane helix	717	Protein traD	18717787	Plasmid F; Plasmid p1658/97
P08322	Escherichia coli (strain K12)	TRAE1_ECOLI		traE		TraE family		6090426; 7915817; 	GO:0000746	Complete proteome; Conjugation; Plasmid	188	Protein traE		Plasmid F
P14497	Escherichia coli (strain K12)	TRAF_ECOLI	Periplasm. 	traF				3042757; 7915817; 1593622	GO:0000746; GO:0042597	Complete proteome; Conjugation; Periplasm; Plasmid; Signal	247	Protein traF		Plasmid F
P33790	Escherichia coli (strain K12)	TRAG1_ECOLI	Cell inner membrane; Multi-pass membrane protein. 	traG				1348105; 7915817; 	GO:0000746; GO:0016021; GO:0005886	Cell inner membrane; Cell membrane; Complete proteome; Conjugation; Membrane; Plasmid; Transmembrane; Transmembrane helix	938	Protein traG [Cleaved into: Protein traG*]		Plasmid F
P15069	Escherichia coli (strain K12)	TRAH1_ECOLI	Periplasm. 	traH				1348105; 7915817; 2656408	GO:0000746; GO:0042597	Complete proteome; Conjugation; Periplasm; Plasmid; Signal	458	Protein traH		Plasmid F
P14565	Escherichia coli (strain K12)	TRAI1_ECOLI		traI			3.6.4.12	2163400; 7915817; 2680768; 2164585; 8736534	GO:0005524; GO:0003677; GO:0003678; GO:0000746	3D-structure; ATP-binding; Alternative initiation; Complete proteome; Conjugation; DNA-binding; Direct protein sequencing; Helicase; Hydrolase; Nucleotide-binding; Plasmid	1756	Protein traI (DNA helicase I) (EC 3.6.4.12)	14604527; 16216584; 17630285; 19136009	Plasmid F
P06626	Escherichia coli (strain K12)	TRAJ1_ECOLI	Cytoplasm. 	traJ				6368316; 7915817; 6298579	GO:0003677; GO:0000746; GO:0005737; GO:0006355; GO:0006350; GO:0000156; GO:0000160	Activator; Complete proteome; Conjugation; Cytoplasm; Plasmid; Transcription; Transcription regulation	229	Protein traJ		Plasmid F
P41066	Escherichia coli (strain K12)	TRAK1_ECOLI	Cell outer membrane; Lipid-anchor. 	traK				7915817; 	GO:0009279; GO:0000746; GO:0005886	Cell membrane; Cell outer membrane; Complete proteome; Conjugation; Lipoprotein; Membrane; Palmitate; Plasmid; Signal	242	TraK lipoprotein		Plasmid F
P08321	Escherichia coli (strain K12)	TRAL1_ECOLI	Cell outer membrane. 	traL				6090426; 7915817; 2564189; 8655498	GO:0009279; GO:0000746; GO:0009297; GO:0005886	Cell membrane; Cell outer membrane; Complete proteome; Conjugation; Membrane; Plasmid	91	Protein traL		Plasmid F; Plasmid IncFII R1; Plasmid IncFII ColB2
P10026	Escherichia coli (strain K12)	TRAM1_ECOLI	Cytoplasm. 	traM		TraM family		6298579; 7915817; 8736534	GO:0003677; GO:0000746; GO:0005737	3D-structure; Complete proteome; Conjugation; Cytoplasm; DNA-binding; Plasmid	127	Protein traM	16710295; 18717787	Plasmid F
P24082	Escherichia coli (strain K12)	TRAN_ECOLI	Cell outer membrane. 	traN				1593622; 7915817; 2050638	GO:0009279; GO:0000746; GO:0005886	Cell membrane; Cell outer membrane; Complete proteome; Conjugation; Membrane; Plasmid; Signal	602	Protein traN		Plasmid F
P41068	Escherichia coli (strain K12)	TRAP_ECOLI		traP				7915817; 		Complete proteome; Plasmid	196	Protein traP		Plasmid F
P18033	Escherichia coli (strain K12)	TRAQ_ECOLI	Cell inner membrane; Multi-pass membrane protein. 	traQ				2536655; 7915817; 8095257; 8730869; 10564517	GO:0000746; GO:0016021; GO:0005886	Cell inner membrane; Cell membrane; Complete proteome; Conjugation; Membrane; Plasmid; Transmembrane; Transmembrane helix	94	Protein traQ		Plasmid F
P41065	Escherichia coli (strain K12)	TRAR_ECOLI		traR				8021201; 7915817; 2265751	GO:0008270	Complete proteome; Metal-binding; Plasmid; Zinc; Zinc-finger	73	Protein traR		Plasmid F
P09129	Escherichia coli (strain K12)	TRAS1_ECOLI	Cell inner membrane. 	traS				3323526; 7915817; 1348105	GO:0000746; GO:0005886	Cell inner membrane; Cell membrane; Complete proteome; Conjugation; Membrane; Plasmid	173	Protein traS		Plasmid F
P13979	Escherichia coli (strain K12)	TRAT1_ECOLI	Cell outer membrane; Lipid-anchor. 	traT		TraT lipoprotein family		3323526; 7915817; 2680768	GO:0009279; GO:0000746; GO:0005886; GO:0046999	Cell membrane; Cell outer membrane; Complete proteome; Conjugation; Lipoprotein; Membrane; Palmitate; Plasmid; Signal	244	TraT complement resistance protein		Plasmid F
P18471	Escherichia coli (strain K12)	TRAU_ECOLI	Periplasm. 	traU				2198250; 7915817; 2050638; 1355084	GO:0000746; GO:0042597	Complete proteome; Conjugation; Periplasm; Plasmid; Signal	330	Protein traU		Plasmid F
P41069	Escherichia coli (strain K12)	TRAV_ECOLI	Cell outer membrane; Lipid-anchor. 	traV				8021201; 7915817; 	GO:0009279; GO:0000746; GO:0005886	Cell membrane; Cell outer membrane; Complete proteome; Conjugation; Lipoprotein; Membrane; Palmitate; Plasmid; Signal	171	Protein traV		Plasmid F
P18472	Escherichia coli (strain K12)	TRAW_ECOLI	Periplasm. 	traW				1355084; 7915817; 2198250	GO:0000746; GO:0042597	Complete proteome; Conjugation; Periplasm; Plasmid; Signal	210	Protein traW		Plasmid F
P22709	Escherichia coli (strain K12)	TRAX1_ECOLI	Cell membrane; Multi-pass membrane protein. 	traX		TraX family		1916281; 7915817; 2164585; 8444800	GO:0016021; GO:0005886	Cell membrane; Complete proteome; Membrane; Plasmid; Transmembrane; Transmembrane helix	248	Protein traX		Plasmid F
P06627	Escherichia coli (strain K12)	TRAY1_ECOLI		traY		TraY family		7915817; 6368316; 8807284	GO:0003677; GO:0000746	Complete proteome; Conjugation; DNA-binding; Plasmid	131	Protein traY		Plasmid F
P18034	Escherichia coli (strain K12)	TRBA_ECOLI	Cell membrane; Multi-pass membrane protein. 	trbA				2536655; 7915817; 	GO:0000746; GO:0016021; GO:0005886	Cell membrane; Complete proteome; Conjugation; Membrane; Plasmid; Transmembrane; Transmembrane helix	115	Protein trbA		Plasmid F
P18035	Escherichia coli (strain K12)	TRBB_ECOLI	Periplasm. 	trbB				2536655; 7915817; 	GO:0045454; GO:0000746; GO:0042597	Complete proteome; Conjugation; Periplasm; Plasmid; Signal	181	Protein trbB		Plasmid F
P18473	Escherichia coli (strain K12)	TRBC_ECOLI	Periplasm. 	trbC				2050638; 7915817; 2198250; 1593622	GO:0000746; GO:0042597	Complete proteome; Conjugation; Periplasm; Plasmid; Signal	212	Periplasmic protein trbC		Plasmid F
P41070	Escherichia coli (strain K12)	TRBD_ECOLI		trbD				7915817; 		Complete proteome; Plasmid	65	Protein trbD		Plasmid F
Q05807	Escherichia coli (strain K12)	TRBE_ECOLI	Cell inner membrane; Multi-pass membrane protein. 	trbE				1593622; 7915817; 	GO:0016021; GO:0005886	Cell inner membrane; Cell membrane; Complete proteome; Membrane; Plasmid; Transmembrane; Transmembrane helix	86	Protein trbE		Plasmid F
P15068	Escherichia coli (strain K12)	TRBF_ECOLI	Cell inner membrane; Multi-pass membrane protein. 	trbF				2656408; 7915817; 2536655	GO:0000746; GO:0016021; GO:0005886	Cell inner membrane; Cell membrane; Complete proteome; Conjugation; Membrane; Plasmid; Transmembrane; Transmembrane helix	126	Protein trbF		Plasmid F
P41072	Escherichia coli (strain K12)	TRBG_ECOLI		trbG				8021201; 7915817; 		Complete proteome; Plasmid	83	Protein trbG		Plasmid F
P19381	Escherichia coli (strain K12)	TRBH_ECOLI	Cell inner membrane; Single-pass membrane protein. 	trbH				2163400; 2680768; 7915817; 	GO:0000746; GO:0016021; GO:0005886	Cell inner membrane; Cell membrane; Complete proteome; Conjugation; Membrane; Plasmid; Transmembrane; Transmembrane helix	239	Protein trbH		Plasmid F
P18006	Escherichia coli (strain K12)	TRBI_ECOLI	Cell inner membrane; Single-pass membrane protein. 	trbI				1355084; 7915817; 2265751	GO:0016021; GO:0005886	Cell inner membrane; Cell membrane; Complete proteome; Membrane; Plasmid; Transmembrane; Transmembrane helix	128	Protein trbI		Plasmid F
P18353	Escherichia coli (strain K12)	TRBJ_ECOLI		trbJ				2536655; 7915817; 		Complete proteome; Plasmid	113	Protein trbJ		Plasmid F
P47737	Escherichia coli (strain K12)	X19F_ECOLI		yubQ	19 X ygfA	IagB/ipgF/P19 family		2693941; 6329741		Complete proteome; Plasmid	169	X polypeptide (ORF 19) (ORF169) (P19 protein)		Plasmid F
Q9JMT9	Escherichia coli (strain K12)	YUAA_ECOLI		yuaA	yacA					Complete proteome; Plasmid	146	Uncharacterized protein yuaA		Plasmid F
Q9JMT8	Escherichia coli (strain K12)	YUAB_ECOLI		yuaB	ybaA				GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0000156; GO:0000160	Complete proteome; DNA-binding; Plasmid; Transcription; Transcription regulation	353	Uncharacterized HTH-type transcriptional regulator yuaB		Plasmid F
Q9JMT7	Escherichia coli (strain K12)	YUAC_ECOLI		yuaC	ybbA					Complete proteome; Plasmid	137	Uncharacterized protein yuaC		Plasmid F
Q9JMT6	Escherichia coli (strain K12)	YUAD_ECOLI	Membrane; Multi-pass membrane protein. 	yuaD	ybcA				GO:0016021	Complete proteome; Membrane; Plasmid; Transmembrane; Transmembrane helix	187	Uncharacterized membrane protein yuaD		Plasmid F
Q9JMT5	Escherichia coli (strain K12)	YUAE_ECOLI	Membrane; Lipid-anchor. 	yuaE	ybdA				GO:0016020	Complete proteome; Lipoprotein; Membrane; Palmitate; Plasmid; Signal	137	Uncharacterized protein yuaE		Plasmid F
Q9JMT4	Escherichia coli (strain K12)	YUAF_ECOLI	Membrane; Single-pass membrane protein. 	yuaF	ybdB				GO:0016021	Complete proteome; Membrane; Plasmid; Transmembrane; Transmembrane helix	200	Uncharacterized membrane protein yuaF		Plasmid F
Q9JMT2	Escherichia coli (strain K12)	YUAG_ECOLI		yuaG	ybgA					Complete proteome; Plasmid	84	Uncharacterized protein yuaG		Plasmid F
Q9JMT1	Escherichia coli (strain K12)	YUAH_ECOLI		yuaH	ybhA					Complete proteome; Plasmid	110	Uncharacterized protein yuaH		Plasmid F
Q9JMS9	Escherichia coli (strain K12)	YUAK_ECOLI		yuaK	ybiB					Complete proteome; Plasmid	94	Uncharacterized protein yuaK		Plasmid F
Q9JMS8	Escherichia coli (strain K12)	YUAL_ECOLI		yuaL	ybjA				GO:0003676	Complete proteome; Plasmid	69	Uncharacterized protein yuaL		Plasmid F
Q9JMS7	Escherichia coli (strain K12)	YUAM_ECOLI	Cell membrane; Multi-pass membrane protein. 	yuaM	ycaA	FliR/mopE/spaR family			GO:0016021; GO:0005886	Cell membrane; Complete proteome; Membrane; Plasmid; Transmembrane; Transmembrane helix	231	Uncharacterized protein yuaM		Plasmid F
Q9JMS6	Escherichia coli (strain K12)	YUAN_ECOLI		yuaN	ycbA					Complete proteome; Plasmid	77	Uncharacterized protein yuaN		Plasmid F
Q9JMS5	Escherichia coli (strain K12)	YUAO_ECOLI	Cell outer membrane; Peripheral membrane protein. 	yuaO	ycbB				GO:0009279; GO:0016021; GO:0005886	Cell membrane; Cell outer membrane; Complete proteome; Membrane; Plasmid; Signal; Transmembrane; Transmembrane beta strand	1758	Uncharacterized protein yuaO		Plasmid F
Q9JMS4	Escherichia coli (strain K12)	YUAP_ECOLI	Membrane; Single-pass membrane protein. 	yuaP	ycgA				GO:0016021	Complete proteome; Membrane; Plasmid; Transmembrane; Transmembrane helix	89	Uncharacterized membrane protein yuaP		Plasmid F
Q9JMS3	Escherichia coli (strain K12)	YUAQ_ECOLI	Cell outer membrane; Peripheral membrane protein. 	yuaQ	ychA				GO:0009279; GO:0016021; GO:0005886	Cell membrane; Cell outer membrane; Complete proteome; Membrane; Plasmid; Transmembrane; Transmembrane beta strand	1371	Uncharacterized protein yuaQ		Plasmid F
P34211	Escherichia coli (strain K12)	YUAR_ECOLI		yuaR	yddA	Peptidase S33 family		8288530	GO:0016787	Complete proteome; Hydrolase; Plasmid; Signal	499	Uncharacterized protein yuaR		Plasmid F
Q9JMS2	Escherichia coli (strain K12)	YUAS_ECOLI		yuaS	ydfA					Complete proteome; Plasmid	95	Uncharacterized protein yuaS		Plasmid F
Q9JMS1	Escherichia coli (strain K12)	YUAT_ECOLI		yuaT	ydhA					Complete proteome; Plasmid	153	Uncharacterized protein yuaT		Plasmid F
Q9JMS0	Escherichia coli (strain K12)	YUAU_ECOLI		yuaU	ydiA					Complete proteome; Plasmid	213	Uncharacterized protein yuaU		Plasmid F
Q9JMR9	Escherichia coli (strain K12)	YUAV_ECOLI		yuaV	ydjA					Complete proteome; Plasmid	76	Uncharacterized protein yuaV		Plasmid F
Q9JMR8	Escherichia coli (strain K12)	YUAW_ECOLI		yuaW	yeaA					Complete proteome; Plasmid	78	Uncharacterized protein yuaW		Plasmid F
Q9JMR7	Escherichia coli (strain K12)	YUAX_ECOLI		yuaX	yebA					Complete proteome; Plasmid	96	Uncharacterized protein yuaX		Plasmid F
Q9JMR6	Escherichia coli (strain K12)	YUAY_ECOLI		yuaY	yebB			12761110; 		Complete proteome; Plasmid	299	Uncharacterized protein yuaY		Plasmid F; Plasmid p300
P08868	Escherichia coli (strain K12)	YUAZ_ECOLI		yuaZ	yfcA			3029390; 		Complete proteome; Plasmid	90	Uncharacterized protein yuaZ		Plasmid F
Q9S4X5	Escherichia coli (strain K12)	YUBA_ECOLI		yubA	yfcB			10366527; 		Complete proteome; Plasmid	168	Uncharacterized protein yubA		Plasmid F
Q9S4X4	Escherichia coli (strain K12)	YUBB_ECOLI		yubB	yfdA			10366527; 		Complete proteome; Plasmid	145	Uncharacterized protein yubB		Plasmid F
Q9S4X3	Escherichia coli (strain K12)	YUBC_ECOLI		yubC	yfdB			10366527; 		Complete proteome; Plasmid	101	Uncharacterized protein yubC		Plasmid F
Q9S4X2	Escherichia coli (strain K12)	YUBD_ECOLI		yubD	yfeA	N(4)/N(6)-methyltransferase family	2.1.1.-	10366527; 	GO:0003677; GO:0006306; GO:0008170	Complete proteome; Methyltransferase; Plasmid; Transferase	227	Putative methylase yubD (EC 2.1.1.-)		Plasmid F
Q9S4X1	Escherichia coli (strain K12)	YUBE_ECOLI		yubE	yfeB			10366527; 		Complete proteome; Plasmid	73	Uncharacterized protein yubE		Plasmid F
Q9S4X0	Escherichia coli (strain K12)	YUBF_ECOLI		yubF	yffA			10366527; 		Complete proteome; Plasmid	144	Uncharacterized protein yubF		Plasmid F
Q9S4W9	Escherichia coli (strain K12)	YUBG_ECOLI		yubG	yffB			10366527; 		Complete proteome; Plasmid	258	Uncharacterized protein yubG		Plasmid F
Q9JMR5	Escherichia coli (strain K12)	YUBH_ECOLI		yubH	yfgA					Complete proteome; Plasmid; Signal	174	Uncharacterized protein yubH		Plasmid F
Q9S4W7	Escherichia coli (strain K12)	YUBI_ECOLI		yubI	yfgB	Antirestriction protein family		10366527; 		Complete proteome; Plasmid	141	Putative antirestriction protein yubI		Plasmid F
P0C243	Escherichia coli (strain K12)	YUBJ_ECOLI		yubJ	yfhA			10366527; 		Complete proteome; Plasmid	140	Uncharacterized protein yubJ		Plasmid F
Q9JMR4	Escherichia coli (strain K12)	YUBK_ECOLI		yubK	yfhB					Complete proteome; Plasmid; Signal	132	Uncharacterized serine-rich protein yubK		Plasmid F
Q9JMR3	Escherichia coli (strain K12)	YUBL1_ECOLI		yubL	yfjA	UPF0401 family		10366527; 		Complete proteome; Plasmid	79	UPF0401 protein yubL		Plasmid F
Q9S4W2	Escherichia coli (strain K12)	YUBM_ECOLI		yubM	yfjB	ParB family		10366527; 	GO:0003677	Complete proteome; Plasmid	652	Uncharacterized protein yubM		Plasmid F
Q9JMR2	Escherichia coli (strain K12)	YUBN_ECOLI		yubN	ygdA					Complete proteome; Plasmid	105	Uncharacterized protein yubN		Plasmid F
Q02885	Escherichia coli (strain K12)	YUBO_ECOLI		yubO	ygeA			2693941; 10366527; 		Complete proteome; Plasmid	95	Uncharacterized protein yubO		Plasmid F
P18005	Escherichia coli (strain K12)	YUBP_ECOLI		yubP	ygeB	UPF0380 family		2693941; 2315017		Complete proteome; Plasmid	273	UPF0380 protein yubP		Plasmid F; Plasmid IncFII R1
