	Gene information and APEX normalization terms									MS data (APEX in molec/cell)				Other protein data		mRNA (molecules/cell)																																																																																																																																																																																																																																																	=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
b0538	16128521	b0538	b0538	186	945299	1786749	0,289989564	64	14,12																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0538&sort=score")
ybcX	16128544	ybcX					0,355219282																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=ybcX&sort=score")
b0609	16128592	b0609	b0609	153	947281	1786826	0,346916498	45	11,85									0,23																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0609&sort=score")
ybeH	16128608	ybeH	b0625	75	945234	1786843	0,432912228	12	4,29							1,86		0,82	1,339526701																																																																																																																																																																																																																																														=HYPERLINK("http://www.uniprot.org/uniprot/?query=ybeH&sort=score")
b0663	16128646	b0663					0,207751771																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0663&sort=score")
b0667	16128647	b0667					0,276098929																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0667&sort=score")
b0669	16128648	b0669					0,312803552											0,23																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0669&sort=score")
b0671	16128649	b0671					0,318267311																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0671&sort=score")
ybfH	16128667	ybfH					0,299599789																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=ybfH&sort=score")
b0725	16128700	b0725	b0725	86	945386	1786944	0,292225329	45	8,36									16,64																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0725&sort=score")
ycdF	16128971	ycdF	b1005	76	945598	1787240	0,200373172	38	7,23								1,20	2,00	1,600129807																																																																																																																																																																																																																																														=HYPERLINK("http://www.uniprot.org/uniprot/?query=ycdF&sort=score")
b1030	16128994	b1030					0,258885099																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1030&sort=score")
ycdV	16128995	ycdV					0,255079616																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=ycdV&sort=score")
b1052	16129015	b1052	b1052	32	945610	1787290	0,25290032	9	3,43																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1052&sort=score")
b1169	16129132	b1169					0,288489711											0,10																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1169&sort=score")
b1170	16129133	b1170					0,391231938											0,34																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1170&sort=score")
b1173	16129136	b1173	b1173	70	945739	1787421	0,311063888	17	5,37	0,38	20	1																																																																																																																																																																																																																																																					=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1173&sort=score")
b1240	16129201	b1240	b1240	76	949061	1787492	0,378062336	22	7,67																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1240&sort=score")
b1354	16129315	b1354	b1354	58	945911	1787617	0,362753204	12	2,75																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1354&sort=score")
b1364	16129325	b1364	b1364	93	945934	1787627	0,272954801	23	4,3									0,24																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1364&sort=score")
b1367	16129328	b1367	b1367	77	945704	1787630	0,276790206	13	4,86																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1367&sort=score")
b1369	16129330	b1369	b1369	51	946275	1787632	0,438276949	17	4,95							0,26																																																																																																																																																																																																																																																	=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1369&sort=score")
b1371	16129332	b1371					0,335262664																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1371&sort=score")
ydbA_1	16129362	ydbA_1					0,426247843																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=ydbA_1&sort=score")
yi22_2	16129363	yi22_2					0,290325575										1,21																																																																																																																																																																																																																																																=HYPERLINK("http://www.uniprot.org/uniprot/?query=yi22_2&sort=score")
yi21_2	16129364	yi21_2					0,252382619																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yi21_2&sort=score")
tra8_2	16129365	tra8_2					0,233860982																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=tra8_2&sort=score")
ydbA_2	16129366	ydbA_2					0,432921698																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=ydbA_2&sort=score")
-	16129381	-					0,301485581											0,70																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=-&sort=score")
b1425	16129384	b1425	b1425	67	945996	1787694	0,377769477	17	5,78																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1425&sort=score")
-	16129396	-	b1437	65	945989	1787708	0,307703546	9	2,89																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=-&sort=score")
b1458	16129417	b1458	b1458	248	945202	1787731	0,301856213	81	21,09																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1458&sort=score")
b1543	16129502	b1543	b1543	427	944802	1787824	0,414238701	87	18,93																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1543&sort=score")
-	16129785	-					0,327956594											5,06																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=-&sort=score")
-	16129787	-					0,421044556											0,30																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=-&sort=score")
-	16129789	-					0,387457893											3,71																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=-&sort=score")
-	16129790	-					0,443765714											0,73																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=-&sort=score")
b1903	16129853	b1903	b1903	112	946388	1788213	0,404550533	28	6,6																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1903&sort=score")
b1933	16129880	b1933					0,336098233																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1933&sort=score")
b1964	16129910	b1964					0,548691613											0,18																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1964&sort=score")
b1965	16129911	b1965					0,391883963																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1965&sort=score")
b1966	16129912	b1966					0,644560646											0,19																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1966&sort=score")
b1979	16129923	b1979					0,252954688																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1979&sort=score")
b1980	16129924	b1980					0,278273365																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1980&sort=score")
b1995	16129936	b1995					0,271139012									0,34	0,21	0,18	0,242349475																																																																																																																																																																																																																																														=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1995&sort=score")
yi21_3	16129938	yi21_3					0,257929949																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yi21_3&sort=score")
b1998	16129939	b1998	b1998	86	946522	1788307	0,399078403	17	6,68									0,34																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b1998&sort=score")
b2083	16130023	b2083	b2083	48	949050	1788399	0,26411812	11	3,76																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2083&sort=score")
b2084	16130024	b2084	b2084	88	948984	1788400	0,209337083	37	9,55																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2084&sort=score")
tra5_4	16130028	tra5_4					0,352808877																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=tra5_4&sort=score")
molR_1	16130053	molR_1					0,341484673									0,18																																																																																																																																																																																																																																																	=HYPERLINK("http://www.uniprot.org/uniprot/?query=molR_1&sort=score")
molR_2	16130054	molR_2					0,314633663																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=molR_2&sort=score")
molR_3	16130055	molR_3					0,411981959																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=molR_3&sort=score")
b2191	16130128	b2191	b2191	40	946696	1788517	0,317682771	11	1,74									0,36																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2191&sort=score")
b2391	16130323	b2391					0,348078611																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2391&sort=score")
yi81_3	16130326	yi81_3					0,275682828																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yi81_3&sort=score")
b2596	16130517	b2596	b2596	68	947085	1788948	0,234544218	37	7,65																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2596&sort=score")
-	16130532	-					0,380880486											0,48																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=-&sort=score")
b2651	16130566	b2651	b2651	43	946658	2367148	0,285952864	10	2,94																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2651&sort=score")
b2653	16130567	b2653	b2653	57	947146	1789006	0,321824517	11	2,97																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2653&sort=score")
b2654	16130568	b2654	b2654	110	945315	1789007	0,208959517	35	9,98																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2654&sort=score")
b2655	16130569	b2655					0,298244113																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2655&sort=score")
b2656	16130570	b2656					0,369626839																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2656&sort=score")
b2657	16130571	b2657					0,27831057																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2657&sort=score")
b2658	16130572	b2658	b2658	90	947141	1789012	0,232644734	26	11,41																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2658&sort=score")
b2772	16130679	b2772					0,619870026																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2772&sort=score")
b2857	16130761	b2857	b2857	143	947330	1789221	0,308494064	31	10,35																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2857&sort=score")
yi21_4	16130764	yi21_4					0,289332748																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yi21_4&sort=score")
b2931	16130832	b2931					0,429231102																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2931&sort=score")
b2973	16130873	b2973					0,538798441																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2973&sort=score")
b2974	16130874	b2974					0,453096275											0,41																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b2974&sort=score")
b3004	16130902	b3004	b3004	81	947486	1789379	0,352356569	21	8,6																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b3004&sort=score")
b3007	16130905	b3007	b3007	51	948312	1789382	0,29862887	15	2,13									0,10																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b3007&sort=score")
yi21_5	16130940	yi21_5					0,289332748										1,83																																																																																																																																																																																																																																																=HYPERLINK("http://www.uniprot.org/uniprot/?query=yi21_5&sort=score")
b3122	16131015	b3122					0,223692388																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b3122&sort=score")
yhbL	16131099	yhbL					0,457691148							3004,38	0,094		0,97	1,34	1,15193079																																																																																																																																																																																																																																														=HYPERLINK("http://www.uniprot.org/uniprot/?query=yhbL&sort=score")
b3254	16131142	b3254	b3254	33	947843	1789652	0,452995018	9	1,88																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b3254&sort=score")
yhiK	16131361	yhiK					0,264927594																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yhiK&sort=score")
b3694	16131562	b3694					0,34221364											0,57																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b3694&sort=score")
yijI	16131786	yijI					0,278605939																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yijI&sort=score")
b3975	16131809	b3975	b3975	51	948478	1790411	0,342859614	8	1,62																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b3975&sort=score")
phnQ	16131917	phnQ					0,273002043																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=phnQ&sort=score")
b4103	16131929	b4103					0,444518974																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b4103&sort=score")
cybC	16132058	cybC					0,508944528									1,70		0,39	1,045932402																																																																																																																																																																																																																																														=HYPERLINK("http://www.uniprot.org/uniprot/?query=cybC&sort=score")
yjgG	16132069	yjgG	b4247	110	948770	1790695	0,244965754	29	6,83								0,22																																																																																																																																																																																																																																																=HYPERLINK("http://www.uniprot.org/uniprot/?query=yjgG&sort=score")
b4250	16132072	b4250	b4250	54	948764	1790699	0,19241253	20	7,17									0,19																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b4250&sort=score")
yjgY	16132097	yjgY					0,295160338											0,17																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=yjgY&sort=score")
yi91b	16132104	yi91b					0,31204173											0,25																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=yi91b&sort=score")
yjiU	16132164	yjiU					0,336018251										0,29	0,26	0,27496268																																																																																																																																																																																																																																														=HYPERLINK("http://www.uniprot.org/uniprot/?query=yjiU&sort=score")
-	16132225	-					0,278884823																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=-&sort=score")
-	16132226	-					0,391245605																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=-&sort=score")
yaaV	16132238	yaaV					0,315491393																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yaaV&sort=score")
yefJ	16132246	yefJ					0,304709934																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yefJ&sort=score")
yghYX	16132250	yghYX					0,357887725																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yghYX&sort=score")
ygiRQ	16132251	ygiRQ					0,529941741																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=ygiRQ&sort=score")
yhaNM	16132252	yhaNM					0,414971641																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yhaNM&sort=score")
yhdRP	16132254	yhdRP					0,42252353																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yhdRP&sort=score")
yhgKJ	16132255	yhgKJ					0,347178157																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yhgKJ&sort=score")
yifDA	16132258	yifDA					0,311778766																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yifDA&sort=score")
-	16132268	-					0,401674612																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=-&sort=score")
yfaSR	16132271	yfaSR					0,394702139																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=yfaSR&sort=score")
