Entry Name	# Tryptic Peptide	# Theoretical Tryptic Peptides
P75835	6	13
P75884	10	17
P75885	0	3
P75905	12	23
P75906	13	24
P75908	6	13
P75917	3	7
P75933	8	20
P75937	8	13
P75962	6	11
P76011	1	5
P76017	5	14
P76042	8	23
P76076	6	13
P76097	11	20
P76103	2	8
P76108	12	22
P76111	4	7
P76128	11	23
P76142	7	20
P76146	13	22
P76172	3	6
P76175	7	12
P76180	4	9
P76186	7	12
P76190	9	40
P76194	7	16
P76219	5	14
P76226	5	11
P76227	3	6
P76228	12	20
P76242	8	14
P76308	4	7
P76334	6	13
P76342	13	21
P76417	3	14
P76423	8	11
P76474	4	8
P76498	9	15
P76500	7	11
P76520	8	21
P76521	1	2
P76562	12	20
P76655	12	17
P76656	7	16
P76657	5	10
P77231	12	17
P77263	10	25
P77288	5	16
P77306	13	21
P77315	4	11
P77316	11	21
P77375	14	22
P77379	13	17
P77389	7	11
P77397	9	17
P77400	5	9
P77506	2	5
P77599	14	26
P77616	10	26
P77622	10	18
P77694	4	9
P77795	8	15
Q06067	3	9
Q46831	10	21
Q46839	9	20
Q46863	8	17
Q46888	12	17
Q46909	8	20
Q47534	8	22
Q6BEX0	2	13
Q7DFV3	5	8
P77667	9	23
P27242	17	30
P06993	13	20
P15078	8	15
P0AEC8	13	23
P11551	4	10
P77672	11	18
P0AFS1	3	9
P0AF01	10	19
P0AFA5	11	18
P0AFF4	5	11
P37746	9	16
P37748	9	13
P45562	4	13
P39284	5	7
P39357	9	15
P39838	11	19
P0AFM9	4	8
P0ABC3	10	32
P75910	9	21
P0AAW9	0	3
P76239	0	2
P37747	13	26
Q46901	11	17
P45545	12	17
P75800	15	25
Q46942	10	16
P0AAG3	8	26
P77257	12	23
P09833	13	23
P31060	13	20
P0AFV8	4	12
P0ACG4	2	5
P28721	8	16
Q46943	9	18
P46883	13	17
P0AEE5	14	25
P0AEG4	11	17
P37329	15	21
P33342	12	24
P76394	9	16
P33340	7	10
P33343	7	16
P33344	4	7
P77619	13	23
P45422	7	17
P64534	6	10
P31600	13	27
P06129	10	16
P06971	11	21
P06996	8	18
P45420	6	15
P77286	7	16
P45564	9	17
P77296	8	18
