Entry Name	# Tryptic Peptide	# Theoretical Tryptic Peptides
P0AB24	12	25
P0AB46	5	10
P0AB58	10	27
P0ABZ6	10	20
P0AD12	13	19
P0AD96	10	22
P0ADA1	13	18
P0ADS6	10	23
P0ADS9	12	28
P0ADU5	6	12
P0ADV1	6	18
P0ADV7	13	22
P0ADX7	7	11
P0AE91	7	19
P0AEG4	11	17
P0AEG6	11	23
P0AEL6	6	19
P0AEQ3	12	28
P0AEU0	11	23
P0AEU7	7	23
P0AEX9	13	29
P0AFH8	8	26
P0AFK9	9	19
P0AFL3	8	17
P0AFM2	8	17
P0AFX9	6	22
P0AG80	12	16
P0AG82	14	21
P0AGC3	13	25
P0AGD1	8	15
P0C0V0	6	16
P13482	11	18
P13656	10	17
P15028	7	17
P16682	10	19
P16700	14	24
P18956	11	20
P19926	10	19
P21338	11	29
P23827	8	18
P23843	12	19
P23847	10	24
P26365	9	23
P26648	11	18
P27297	11	33
P30859	12	23
P30860	12	22
P31130	6	14
P31471	11	16
P31545	10	23
P31550	10	22
P31666	12	24
P31827	7	16
P31828	12	21
P32160	12	20
P32176	10	26
P32688	14	19
P33136	16	28
P33342	12	24
P33362	13	20
P33363	13	25
P33913	14	25
P33937	10	29
P36548	11	30
P36649	9	17
P36682	4	13
P37648	9	20
P37650	12	23
P37651	14	24
P37690	14	29
P37691	10	19
P37902	12	25
P39099	9	15
P39165	11	18
P39172	10	16
P39176	10	17
P39265	13	22
P39325	10	25
P40120	13	18
P42588	13	23
P42592	11	23
P45422	7	17
P45523	12	35
P45565	9	23
P45758	9	18
P45760	6	11
P45766	12	22
P45955	8	18
P46142	9	28
P46883	13	17
P46923	11	20
P52599	12	24
P61316	12	17
P63883	13	27
P64604	11	15
P66948	9	15
P75749	12	25
P75797	11	24
P75933	8	20
P76002	7	16
P76076	6	13
P76116	9	22
P76128	11	23
P76177	14	24
P76193	8	20
P76206	9	18
P76464	8	21
P76573	7	26
P77165	11	17
P77269	12	22
P77285	9	16
P77318	10	22
P77348	12	21
Q47622	12	21
Q6BEX5	8	13
P04949	9	19
P0ABK7	4	13
P24216	10	14
P76170	6	17
P08506	12	21
P0ACE0	12	21
P0AEB2	11	19
P18775	9	25
P23865	13	28
P24228	10	18
P69741	8	14
P75830	11	22
P76397	11	24
P77239	11	24
P77374	7	24
P77783	5	11
P77804	8	14
P00363	10	16
P00393	13	20
P00561	14	20
P03004	12	20
P04825	13	24
P04983	14	29
P06149	11	25
P06611	8	20
P06616	10	25
P06959	11	20
P07000	14	27
P07003	10	15
P07014	16	24
P07109	10	26
P07821	12	23
P08839	11	22
P09152	9	31
P09546	10	24
P0A698	11	27
P0A6A8	3	5
P0A6E6	5	10
P0A6J5	12	23
P0A6Q6	7	17
P0A6U3	10	25
P0A6Y8	12	20
P0A6Z3	12	30
P0A734	6	8
P0A756	9	15
P0A7A7	12	31
P0A7B1	15	29
P0A7B3	9	16
P0A7E1	15	22
P0A8K1	9	22
P0A8U0	7	11
P0A8Z3	7	15
P0A9A6	11	17
P0A9C0	13	23
P0A9K7	14	25
P0A9M5	6	14
P0A9P0	9	24
P0A9R7	10	22
P0A9T8	11	20
P0A9U1	11	18
P0A9U3	12	21
P0A9V1	12	21
P0A9W3	12	21
P0A9X1	14	20
P0A9X4	12	21
P0AA84	9	26
P0AAB4	10	28
P0AAF3	10	22
P0AAF6	9	20
P0AAG0	10	20
P0AAG8	15	25
P0AAH0	14	24
P0AAH4	13	30
P0AAH8	14	24
P0ABA4	7	17
P0ABA6	14	26
P0ABB0	15	22
P0ABB4	15	23
P0ABH0	10	23
P0AC41	12	19
P0AC47	10	20
P0ACD8	14	20
P0AE88	10	22
P0AED0	6	10
P0AEK4	12	21
P0AEZ3	11	26
P0AFC7	12	21
P0AFD1	8	13
P0AFD6	12	22
P0AFI2	10	19
P0AFL6	13	21
P0AFM6	12	34
P0AFV8	4	12
P0AFY8	10	20
P0AG86	6	8
P0AGB6	9	23
P0AGD7	11	28
P0AGI8	8	22
P10121	6	16
P10346	7	28
P10408	10	26
P10441	10	23
P10907	9	28
P11349	11	28
P11454	14	17
P13035	15	25
P14175	10	27
P15031	14	19
P16676	13	25
P17443	12	23
P17444	10	18
P19319	10	29
P21513	11	28
P21889	12	34
P22255	11	16
P23830	13	30
P23878	10	22
P25522	12	21
P25534	10	14
P25746	12	18
P26647	10	22
P27278	13	24
P30750	11	20
P31548	13	20
P31979	12	26
P32721	13	25
P33594	9	27
P33599	14	23
P33602	7	19
P33916	11	21
P36879	11	25
P37177	7	26
P37188	4	7
P37313	12	24
P37349	12	18
P37388	12	21
P37774	9	25
P38135	10	17
P43672	11	23
P50456	14	22
P52131	12	25
P56258	14	25
P60785	8	22
P61889	10	18
P63386	10	19
P63389	12	20
P68187	11	23
P68644	11	20
P69451	13	23
P69783	8	16
P69797	11	21
P69811	9	17
P69828	8	12
P69829	6	15
P69874	11	24
P69931	12	23
P75796	13	20
P75829	13	24
P75957	8	22
P76027	13	20
P76346	7	14
P76909	10	20
P77257	12	23
P77279	14	21
P77444	12	17
P77499	14	22
P77509	11	21
P77522	11	21
P77611	11	24
P77689	10	19
P77737	13	16
Q47538	8	16
P04846	9	21
P0AB10	7	12
P0ADK0	9	14
P0AE06	10	21
P0AEE1	9	16
P28635	11	23
P32051	4	14
P37636	12	18
P67553	10	22
P76481	13	22
P76578	12	26
Q46837	4	10
P00550	4	14
P00803	7	21
P00909	13	23
P02918	14	23
P02919	11	33
P02942	11	20
P03819	8	14
P03960	5	18
P04968	13	21
P05824	11	20
P06136	10	25
P06282	15	20
P06709	10	21
P07001	11	21
P07017	10	21
P07018	9	17
P07117	5	15
P07650	13	17
P08200	13	27
P08369	11	18
P08371	8	18
P08395	12	28
P08400	12	20
P09127	13	20
P09323	7	11
P09391	9	17
P09549	9	23
P09835	7	13
P0A6A0	11	31
P0A6H8	9	23
P0A6J1	9	20
P0A6J3	6	15
P0A6M2	7	12
P0A6W3	8	14
P0A742	6	14
P0A759	12	22
P0A7A2	13	19
P0A7E5	12	21
P0A830	6	13
P0A843	5	9
P0A879	13	22
P0A8D9	5	15
P0A8G6	10	14
P0A8K8	8	18
P0A8R7	7	19
P0A8T5	5	8
P0A9M8	14	22
P0A9Q9	8	15
P0A9S3	11	18
P0AA53	11	26
P0AA86	7	16
P0AA93	9	20
P0AAA1	9	12
P0AAB6	10	19
P0AAC4	6	13
P0AAD6	6	11
P0AAE0	6	10
P0AAE2	4	13
P0AAG5	13	19
P0AAI3	9	26
P0AAJ5	14	21
P0AAL6	9	20
P0AAS0	6	15
P0AAT4	7	15
P0AB01	11	18
P0AB12	5	9
P0AB67	4	10
P0AB98	5	13
P0ABA0	10	19
P0ABB8	9	21
P0ABC3	10	32
P0ABC7	12	24
P0ABC9	8	13
P0ABF1	11	33
P0ABF8	7	11
P0ABG7	10	15
P0ABI4	11	23
P0ABI8	7	11
P0ABJ1	11	20
P0ABJ9	5	13
P0ABK2	5	13
P0ABM9	11	22
P0ABN1	6	10
P0ABN5	6	13
P0ABP6	5	15
P0ABS5	12	27
P0ABU7	7	16
P0ABU9	11	21
P0ABV6	4	15
P0AC23	7	14
P0AC30	14	23
P0AC44	3	5
P0AC75	9	27
P0AC78	4	10
P0AC94	5	11
P0ACB7	10	23
P0ACJ0	10	21
P0ACS7	12	23
P0ACS9	13	22
P0ACU0	11	20
P0ACV0	9	25
P0ACV4	2	9
P0AD14	9	15
P0AD27	9	18
P0AD30	6	13
P0AD42	8	20
P0AD65	13	28
P0AD68	12	29
P0AD99	3	12
P0ADC3	12	21
P0ADC6	12	21
P0ADG7	7	28
P0ADL3	7	13
P0ADM8	14	22
P0ADP2	10	16
P0ADQ2	13	21
P0ADQ7	4	14
P0ADT8	13	23
P0ADV9	8	20
P0ADW3	9	15
P0ADY1	14	21
P0ADZ7	4	10
P0AE14	13	20
P0AE16	11	15
P0AE30	8	12
P0AE34	6	13
P0AE45	10	15
P0AE82	13	19
P0AEB5	8	18
P0AEC0	8	14
P0AEC3	13	27
P0AEC5	12	22
P0AEC8	13	23
P0AEE3	12	15
P0AEH1	8	20
P0AEH5	5	11
P0AEJ4	12	22
P0AEN4	7	14
P0AEP3	9	16
P0AEQ6	12	17
P0AER0	6	9
P0AER3	8	14
P0AER5	12	14
P0AER8	9	12
P0AEU3	11	16
P0AEX3	5	13
P0AEY5	12	16
P0AF16	7	17
P0AF20	14	22
P0AF43	2	11
P0AF52	5	11
P0AF98	9	17
P0AFA2	10	21
P0AFA5	11	18
P0AFA7	9	17
P0AFC3	6	14
P0AFD4	7	12
P0AFE0	4	8
P0AFE4	2	4
P0AFE8	3	11
P0AFF2	11	18
P0AFF4	5	11
P0AFG8	10	22
P0AFH2	11	20
P0AFH6	6	15
P0AFJ7	5	11
P0AFK2	4	10
P0AFK6	5	15
P0AFM9	4	8
P0AFN2	5	13
P0AFN6	5	11
P0AFR2	6	14
P0AFS7	6	15
P0AFS9	11	20
P0AFU2	7	17
P0AFX7	10	12
P0AFY2	12	22
P0AFY6	9	12
P0AFZ7	5	15
P0AG00	11	22
P0AG14	13	29
P0AG27	8	17
P0AG38	8	14
P0AG71	17	24
P0AG90	13	26
P0AG93	9	15
P0AG96	6	13
P0AG99	5	6
P0AGA2	7	13
P0AGB0	12	23
P0AGC7	11	24
P0AGE4	7	12
P0AGH5	7	13
P0AGK1	5	14
P0C0L7	7	13
P0C0S1	9	17
P0CB39	9	15
P11557	5	19
P12008	9	23
P13458	9	27
P13518	11	22
P13738	8	12
P14176	3	7
P14376	9	27
P15286	16	21
P15877	6	13
P15993	5	9
P16095	11	17
P16431	13	21
P16926	14	23
P19934	8	32
P20966	11	20
P21345	9	14
P21365	6	11
P21367	8	17
P21865	12	25
P21893	12	20
P22525	8	12
P23524	10	16
P23837	11	20
P23842	7	16
P23886	7	21
P23890	9	18
P23894	6	14
P23909	14	20
P23930	6	13
P24077	3	13
P24177	9	11
P24181	6	10
P24205	9	25
P25535	13	15
P25714	10	14
P25737	3	8
P25798	13	21
P26458	4	13
P27125	4	11
P27300	12	26
P27303	15	21
P27434	6	16
P27837	7	10
P27896	10	18
P28249	12	21
P28306	11	30
P29018	10	24
P29131	12	25
P29217	13	24
P30015	15	27
P30126	10	18
P30136	11	28
P30149	4	16
P30844	11	20
P30845	5	16
P30847	13	24
P30864	14	24
P31069	10	13
P31119	12	25
P31224	8	11
P31433	12	22
P31441	8	15
P31446	4	11
P31547	7	11
P31680	13	26
P31801	5	10
P32128	11	19
P32703	5	12
P32705	6	15
P32716	13	24
P33218	11	23
P33232	10	20
P33366	7	17
P33607	3	10
P33927	8	11
P33940	12	21
P33941	10	20
P36561	8	19
P36655	4	14
P36672	6	15
P36929	13	24
P37019	11	21
P37146	11	22
P37147	5	15
P37339	12	24
P37443	8	16
P37615	6	13
P37617	9	18
P37624	11	22
P37626	11	31
P37641	12	20
P37642	10	20
P37645	13	26
P37649	12	19
P37652	8	15
P37659	5	9
P37661	8	20
P37683	9	28
P37767	12	24
P37908	10	24
P38054	11	17
P38097	4	11
P38134	9	18
P38506	11	20
P39276	5	12
P39285	12	24
P39310	9	15
P39321	14	17
P39342	13	21
P39347	11	32
P39349	11	22
P39385	12	26
P39393	11	24
P39396	8	14
P39401	7	13
P39451	9	21
P39453	15	19
P39830	6	13
P39832	6	11
P39835	8	13
P39838	11	19
P40719	12	22
P42601	8	12
P42604	12	19
P42626	11	16
P43337	9	14
P43671	10	24
P45522	5	12
P45537	11	16
P45800	8	14
P46022	13	24
P46118	11	21
P46481	11	18
P46482	11	24
P46889	4	10
P50466	8	22
P51981	8	21
P52048	7	17
P52067	6	14
P52094	6	14
P52101	8	23
P52645	9	17
P55140	9	18
P55734	8	15
P60752	10	19
P60869	9	16
P60932	9	12
P60955	11	12
P62517	7	27
P63183	7	12
P63340	7	13
P64423	8	19
P64429	8	20
P64499	3	9
P64564	7	9
P64581	4	16
P64585	7	13
P64590	3	12
P64606	9	15
P64634	11	19
P67127	8	16
P67662	13	21
P68699	2	4
P69054	4	9
P69380	8	13
P69423	4	7
P69425	10	15
P69428	5	11
P69786	5	11
P69801	3	6
P69805	12	18
P69831	8	15
P69902	9	22
P69924	14	21
P75728	9	14
P75777	12	22
P75798	8	16
P75801	11	21
P75822	11	21
P75828	12	27
P75831	11	22
P75851	8	14
P75870	7	16
P75901	8	13
P75958	9	19
P76007	1	7
P76097	11	20
P76119	12	24
P76182	3	11
P76185	12	21
P76186	7	12
P76208	4	14
P76222	11	18
P76237	10	20
P76250	17	23
P76272	10	22
P76298	9	14
P76330	13	23
P76339	13	22
P76345	7	15
P76372	11	20
P76373	14	23
P76387	10	18
P76389	6	15
P76393	11	18
P76398	7	12
P76399	7	13
P76445	10	17
P76446	11	20
P76473	8	17
P76502	4	9
P76518	12	18
P76551	10	18
P76562	12	20
P76576	10	21
P76577	14	26
P76630	4	13
P77172	7	17
P77173	5	13
P77179	6	14
P77245	14	24
P77265	10	21
P77304	9	14
P77306	13	21
P77307	8	17
P77329	15	21
P77333	8	25
P77338	12	23
P77360	12	19
P77379	13	17
P77397	9	17
P77455	8	19
P77473	7	16
P77485	11	18
P77504	12	24
P77510	14	26
P77529	7	16
P77549	9	12
P77756	11	21
P77757	12	21
Q06067	3	9
Q2MB16	7	12
Q46824	12	26
Q46833	14	24
Q46916	6	9
Q46927	13	18
Q47146	13	22
Q59385	11	23
