Entry Name	# Tryptic Peptide	# Theoretical Tryptic Peptides
Q47710	12	22
P03004	12	20
P09551	12	23
P0A7A7	12	31
P0ACS7	12	23
P0AD44	12	22
P0ADC3	12	21
P0AEC5	12	22
P0AEE3	12	15
P0AEQ6	12	17
P21865	12	25
P27300	12	26
P29131	12	25
P30860	12	22
P31828	12	21
P37349	12	18
P37650	12	23
P37902	12	25
P39382	12	19
P39385	12	26
P45464	12	22
P45523	12	35
P64451	12	21
P75691	12	19
P75749	12	25
P75777	12	22
P76185	12	21
P77309	12	18
P77348	12	21
P77504	12	24
P00393	13	20
P04825	13	24
P04968	13	21
P07650	13	17
P08200	13	27
P0A879	13	22
P0A921	13	19
P0AAG5	13	19
P0AAH4	13	30
P0AAJ8	13	20
P0ACS9	13	22
P0AD12	13	19
P0AD65	13	28
P0ADV7	13	22
P0AE14	13	20
P0AE82	13	19
P0AEC3	13	27
P0AEX9	13	29
P0AFL6	13	21
P0AFP9	13	19
P0AG90	13	26
P0AGC3	13	25
P0AGM5	13	20
P16676	13	25
P23830	13	30
P23865	13	28
P25535	13	15
P27278	13	24
P29217	13	24
P30847	13	24
P33362	13	20
P33363	13	25
P36929	13	24
P37028	13	20
P39342	13	21
P45769	13	22
P46022	13	24
P63883	13	27
P67662	13	21
P69451	13	23
P75796	13	20
P75820	13	21
P75829	13	24
P76027	13	20
P76339	13	22
P76506	13	17
P77737	13	16
Q46927	13	18
Q47146	13	22
P00909	13	23
P09127	13	20
P0A7A2	13	19
P0A903	13	18
P0ADA1	13	18
P0ADQ2	13	21
P0ADT8	13	23
P0AG14	13	29
P0CE47	13	21
P0CE48	13	21
P31548	13	20
P31680	13	26
P37645	13	26
P40120	13	18
P41441	13	27
P46474	13	20
P76223	13	18
P76330	13	23
P00561	14	20
P02918	14	23
P04983	14	29
P07000	14	27
P0A940	14	25
P0A9K7	14	25
P0A9S7	14	21
P0A9X1	14	20
P0AAH0	14	24
P0AAH8	14	24
P0AAJ5	14	21
P0ABA6	14	26
P0AC02	14	25
P0AC30	14	23
P0ADE4	14	28
P0ADM8	14	22
P0ADY1	14	21
P0AF20	14	22
P0AG82	14	21
P11454	14	17
P16700	14	24
P23909	14	20
P30864	14	24
P33599	14	23
P37651	14	24
P37690	14	29
P39321	14	17
P50456	14	22
P69924	14	21
P76373	14	23
P77202	14	23
P77279	14	21
P77499	14	22
P77510	14	26
P0A9M8	14	22
P0ACD8	14	20
P15031	14	19
P16926	14	23
P33913	14	25
P56258	14	25
P76177	14	24
P77245	14	24
Q46832	14	21
P06282	15	20
P0A7B1	15	29
P0A7E1	15	22
P0ABB4	15	23
P0AAG8	15	25
P0ABB0	15	22
P0AEM9	15	25
P13035	15	25
P27303	15	21
P37744	15	18
P37751	15	28
P07014	16	24
P33136	16	28
P61320	16	24
P00634	16	20
P05704	16	23
P15286	16	21
P0AG71	17	24
P76250	17	23
