Entry name K12 (Uniprot)	Entry name BL21(DE3) (Uniprot)	Total #Tryptic Peptides	# Detectable Tryptic Peptides	mean m/z	mean gravy	mean mass
SFMF_ECOLI	C6EKT2_ECOBD	10	4	772,8432836	0,465933808	1545,686567
YFEZ_ECOLI	C6EKS1_ECOBD	10	5	1228,361677	0,81249058	3246,51467
EUTH_ECOLI	C6EKR1_ECOBD	10	3	980,9838482	0,620844516	2489,211499
HYFB_ECOLI	C6EKM9_ECOBD	12	8	1043,089959	0,824965272	2936,027538
HYFD_ECOLI	C6EKM7_ECOBD	12	7	1374,09024	1,194140342	2748,18048
HYFE_ECOLI	C6EKM6_ECOBD	12	8	1033,458596	0,971247456	2830,15658
HYFF_ECOLI	C6EKM5_ECOBD	7	5	933,1492431	0,661804523	2391,765116
URAA_ECOLI	C6EKL4_ECOBD	8	3	976,9542952	0,381373138	2404,892846
IMDH_ECOLI	C6EKK1_ECOBD	26	7	1198,409024	0,803002505	2966,375948
YPHA_ECOLI	C6EKG4_ECOBD	5	4	873,9609131	0,558171233	1747,921826
YPHD_ECOLI	C6EKG1_ECOBD	10	4	976,2481072	0,799957011	2009,487707
YBDG_ECOLI	C6EKC4_ECOBD	15	7	1316,503459	0,380868897	2860,793783
FEPG_ECOLI	C6EKA6_ECOBD	13	9	943,6614914	0,743841617	1887,322983
FEPD_ECOLI	C6EKA5_ECOBD	11	7	1351,385573	0,837881627	3135,177705
ENTS_ECOLI	C6EKA4_ECOBD	13	3	1297,48033	0,99775	2594,96066
CITT_ECOLI	C6EK82_ECOBD	14	7	1450,784377	1,31997151	3430,531427
DCUC_ECOLI	C6EK71_ECOBD	11	6	1006,877375	0,486869558	2212,868353
CRCB_ECOLI	C6EK68_ECOBD	6	6	772,4243536	0,433495912	1764,23837
RODA_ECOLI	C6EK59_ECOBD	14	10	1068,078755	0,515741064	2371,7067
GLTK_ECOLI	C6EK42_ECOBD	13	12	953,2243334	0,600504252	2391,640234
GLTJ_ECOLI	C6EK41_ECOBD	14	8	1421,37884	1,417841682	4014,798393
LNT_ECOLI	C6EK38_ECOBD	13	6	1428,109494	1,075001798	3342,650462
EAMB_ECOLI	C6EK08_ECOBD	10	5	995,6175983	0,48894985	2335,28657
YFIR_ECOLI	C6EJY9_ECOBD	13	7	1047,939363	0,926112988	2331,169958
YPJD_ECOLI	C6EJY1_ECOBD	10	6	1191,703356	0,661871826	3350,149488
YFJD_ECOLI	C6EJY0_ECOBD	24	10	989,4548959	0,299505176	2577,113648
GABP_ECOLI	C6EJW2_ECOBD	9	5	867,189489	0,727594038	2043,631519
YQAE_ECOLI	C6EJV9_ECOBD	4	2	1267,07779	0,965371955	2880,128702
PROW_ECOLI	C6EJU7_ECOBD	7	3	1108,667081	0,232872007	2217,334162
YGAH_ECOLI	C6EJU3_ECOBD	7	5	1051,367809	1,154594338	2094,885683
EMRB_ECOLI	C6EJU0_ECOBD	11	3	1056,132156	0,765972251	2735,586143
YQAA_ECOLI	C6EJT7_ECOBD	9	3	1024,273461	0,344162836	2343,804671
PTHC_ECOLI	C6EJS9_ECOBD	11	7	1379,589709	1,425076628	4428,83326
PTIBC_ECOLI	C6EJR6_ECOBD	16	9	1393,658001	0,816936208	3479,231454
PTW3C_ECOLI	C6EJQ6_ECOBD	11	7	922,7797408	0,375626948	2150,67137
POTE_ECOLI	C6EJP3_ECOBD	9	3	1091,698153	0,63689242	2439,437707
ATKA_ECOLI	C6EJN6_ECOBD	10	3	975,4508955	0,856225951	2263,555258
DTPD_ECOLI	C6EJM9_ECOBD	13	5	1000,622646	0,540695104	2546,750069
ABRB_ECOLI	C6EJM3_ECOBD	8	6	1024,839263	0,35306187	2675,557354
DHSD_ECOLI	C6EJL5_ECOBD	5	3	1133,893689	0,554320164	4245,143358
CYDA_ECOLI	C6EJK5_ECOBD	13	5	1026,716628	0,814027898	2153,591099
CYDB_ECOLI	C6EJK4_ECOBD	12	5	1218,689218	0,885962191	2698,887957
YBGT_ECOLI	C6EJK3_ECOBD	2	1	951,806709	0,619223722	1975,73747
YBGE_ECOLI	C6EJK2_ECOBD	7	3	1041,136774	0,491540812	2603,93564
ZITB_ECOLI	C6EJJ2_ECOBD	13	7	760,585875	0,670641026	1521,17175
HYCC_ECOLI	C6EJE5_ECOBD	10	5	1025,0992	1,067029473	2052,846741
SDAC_ECOLI	C6EJ75_ECOBD	11	6	1093,706198	0,595625	2165,372028
YGDD_ECOLI	C6EJ59_ECOBD	7	4	1179,681127	0,664676435	3025,148516
LGT_ECOLI	C6EJ41_ECOBD	11	11	840,0672851	0,613457048	1993,531098
PT1P_ECOLI	C6EJ40_ECOBD	24	7	842,0183718	0,486702534	2261,035655
YGDQ_ECOLI	C6EJ36_ECOBD	14	8	997,0006052	0,449123369	2051,793756
LPLT_ECOLI	C6EJ33_ECOBD	14	8	874,9705728	0,783104685	1807,791496
ARAE_ECOLI	C6EJ27_ECOBD	16	8	1083,446058	0,987332881	2509,737914
YBHL_ECOLI	C6EIZ6_ECOBD	12	6	941,8525147	1,338020833	2667,710053
YBHN_ECOLI	C6EIZ4_ECOBD	21	8	1039,107907	0,460442708	2126,843871
YBHQ_ECOLI	C6EIZ1_ECOBD	12	5	1088,655964	0,803884629	2392,395751
YBIJ_ECOLI	C6EIY0_ECOBD	6	4	964,2160473	0,667178271	2466,710182
MCBA_ECOLI	C6EIX6_ECOBD	6	2	1182,203354	0,7661229	2577,015702
GLNP_ECOLI	C6EIX2_ECOBD	16	12	972,0683454	1,04550406	2613,729333
RHTA_ECOLI	C6EIW9_ECOBD	9	4	1122,334616	0,463535479	2244,669233
YBIR_ECOLI	C6EIW4_ECOBD	14	10	806,1720677	0,672105311	1946,032771
GSIC_ECOLI	C6EIV1_ECOBD	16	8	841,70955	1,226388889	1683,4191
YBJG_ECOLI	C6EIU2_ECOBD	10	7	890,6240161	0,694301752	2009,408433
MDFA_ECOLI	C6EIU1_ECOBD	16	4	951,1895303	1,126321559	2017,612065
YBJH_ECOLI	C6EIU0_ECOBD	4	3	862,6040771	0,500651734	2112,993026
YBJJ_ECOLI	C6EIT8_ECOBD	12	4	1319,308151	1,191576353	2787,80163
YBJM_ECOLI	C6EIQ7_ECOBD	10	5	1142,235286	0,707967376	2456,930236
XANQ_ECOLI	C6EIM6_ECOBD	8	6	1115,354803	0,705676768	2521,135804
YQFG_ECOLI	C6EIM0_ECOBD	4	2	1166,712655	0,293955849	2392,179025
YQFA_ECOLI	C6EIK9_ECOBD	10	7	1118,955408	0,655538772	2718,542605
ARGO_ECOLI	C6EII6_ECOBD	12	6	832,0072133	0,452072927	1582,817117
MSCS_ECOLI	C6EII5_ECOBD	16	9	1172,347794	0,65942131	3046,79034
PTMCB_ECOLI	C6EIH7_ECOBD	12	5	990,80889	0,408373684	2595,730406
GALP_ECOLI	C6EIG8_ECOBD	16	4	1079,675944	0,822248767	2829,722469
YGGT_ECOLI	C6EIF9_ECOBD	9	7	814,8242938	0,406662657	1878,687859
POTH_ECOLI	C6EIC5_ECOBD	11	7	1106,292083	0,73985646	2395,546524
POTI_ECOLI	C6EIC4_ECOBD	13	8	930,6518137	0,955009757	1972,577668
YBJO_ECOLI	C6EIC3_ECOBD	12	7	917,1762193	0,523701225	1963,852632
ARTM_ECOLI	C6EIC0_ECOBD	11	8	980,2336667	0,394378814	1960,467333
ARTQ_ECOLI	C6EIB9_ECOBD	12	6	1205,812377	0,611560847	3794,345374
AQPZ_ECOLI	C6EIA6_ECOBD	8	4	1110,097065	0,264705683	3169,412853
DMSC_ECOLI	C6EI86_ECOBD	10	6	1350,185804	1,043230262	3065,110788
YCAD_ECOLI	C6EI84_ECOBD	11	6	1068,830515	0,719090909	2420,895912
YCAM_ECOLI	C6EI83_ECOBD	13	6	1031,26643	0,347628458	2062,53286
FOCA_ECOLI	C6EI78_ECOBD	14	7	936,5573193	0,602478632	2157,749345
SSUC_ECOLI	C6EI48_ECOBD	14	8	1103,928932	0,80838866	2668,876485
YCBU_ECOLI	C6EI40_ECOBD	9	1	970,255371	1,097380996	1971,568833
YCCS_ECOLI	C6EI21_ECOBD	14	7	1019,662789	0,799723039	2015,89403
YCCF_ECOLI	C6EI20_ECOBD	9	5	963,5180272	0,465299471	2220,404723
YCCA_ECOLI	C6EI11_ECOBD	8	4	1014,336206	0,712317465	2057,21039
HYBB_ECOLI	C6EHZ7_ECOBD	10	5	854,1206038	0,643227991	2014,51428
YQHA_ECOLI	C6EHZ0_ECOBD	13	4	1361,833918	1,307443793	3728,36131
YGHB_ECOLI	C6EHY5_ECOBD	12	6	1211,28168	1,041935484	3633,84504
PLSC_ECOLI	C6EHX6_ECOBD	21	10	1036,264687	0,62954503	2268,650071
ZUPT_ECOLI	C6EHV4_ECOBD	8	3	1026,794706	0,550104167	2053,589413
YQIJ_ECOLI	C6EHU5_ECOBD	10	5	1404,715165	1,552	2809,43033
UPPP_ECOLI	C6EHT8_ECOBD	11	9	998,6702202	0,734098277	2504,974552
YGJI_ECOLI	C6EHR8_ECOBD	10	2	1076,999058	0,38824727	2336,385128
ALX_ECOLI	C6EHQ7_ECOBD	12	8	927,5902344	0,543950292	1953,25184
SSTT_ECOLI	C6EHQ5_ECOBD	12	7	990,3842988	0,886490445	2056,950854
YGJV_ECOLI	C6EHQ4_ECOBD	15	6	896,3914829	0,416160598	2044,327215
EXUT_ECOLI	C6EHQ1_ECOBD	17	6	1010,987148	1,047965217	2499,894882
YQJA_ECOLI	C6EHP8_ECOBD	12	7	907,3026285	0,539243919	2326,335741
YQJF_ECOLI	C6EHP2_ECOBD	7	4	949,2262319	0,645753968	2257,304968
YHAH_ECOLI	C6EHN9_ECOBD	12	3	813,8685108	0,621572872	1566,691477
YHAI_ECOLI	C6EHN8_ECOBD	8	3	1039,048277	0,565428571	2078,096553
CYBH_ECOLI	C6EHN4_ECOBD	16	11	766,5860132	0,70301156	1649,53243
APPC_ECOLI	C6EHN0_ECOBD	14	5	1174,830927	1,191557931	3132,981073
APPB_ECOLI	C6EHM9_ECOBD	13	4	881,9561425	1,168387681	1923,304568
YCCB_ECOLI	C6EHM8_ECOBD	2	1	1248,211213	1,136862027	3578,719588
YCCM_ECOLI	C6EHL5_ECOBD	19	9	1019,097345	0,45316538	2315,570473
RUTG_ECOLI	C6EHK1_ECOBD	11	6	1094,487833	0,683167928	2305,218437
RUTC_ECOLI	C6EHJ7_ECOBD	7	5	1124,039637	0,925501337	2778,011333
PUTP_ECOLI	C6EHJ1_ECOBD	14	5	936,4590354	0,367162464	1969,609724
YCDZ_ECOLI	C6EHH6_ECOBD	9	4	1041,304198	0,616666667	3010,901687
YCEK_ECOLI	C6EHG2_ECOBD	5	3	1184,399663	0,630635854	2719,791118
C56I_ECOLI	C6EHF6_ECOBD	12	5	1085,781328	0,813429672	2944,108467
YCEO_ECOLI	C6EHF5_ECOBD	3	3	1083,065379	0,283026921	2575,316359
MDTH_ECOLI	C6EHE8_ECOBD	19	8	1098,633385	0,989356276	2618,665675
MVIN_ECOLI	C6EHE4_ECOBD	16	7	1287,194013	1,254625	2684,68224
TDCC_ECOLI	C6EHA8_ECOBD	10	5	880,9750496	1,189891126	2103,126723
PTPC2_ECOLI	C6EH93_ECOBD	3	3	895,7446258	0,535833333	2132,927203
PTPC1_ECOLI	C6EH86_ECOBD	9	4	845,6868893	0,603443223	1642,521802
YRAQ_ECOLI	C6EH74_ECOBD	15	8	929,8879015	0,621147846	2037,193177
MTR_ECOLI	C6EH64_ECOBD	12	5	700,4992256	0,635985082	1400,998451
YHBX_ECOLI	C6EH53_ECOBD	16	8	1042,732204	0,480584563	2285,201532
SECG_ECOLI	C6EH52_ECOBD	6	5	842,4456812	0,387151009	1700,139311
YHBE_ECOLI	C6EH43_ECOBD	14	6	988,6218425	0,770950701	1977,243685
MLAE_ECOLI	C6EH33_ECOBD	15	9	1095,014228	0,954102622	2688,43782
MLAF_ECOLI	C6EH32_ECOBD	18	10	1103,283531	0,823466972	2537,273289
YRBG_ECOLI	C6EH31_ECOBD	12	9	1122,73344	0,271484356	3301,362543
KDSC_ECOLI	C6EH29_ECOBD	18	8	1102,909208	0,327805884	2594,64161
NANT_ECOLI	C6EH08_ECOBD	19	8	965,7724167	0,984752747	2257,917908
DCUD_ECOLI	C6EH05_ECOBD	14	8	1049,990113	0,795770697	2203,927871
MDH_ECOLI	C6EGZ6_ECOBD	18	10	688,9953669	0,560732143	1321,154855
PTGCB_ECOLI	C6EGZ1_ECOBD	11	5	803,9042333	0,809090909	1607,808467
YCFT_ECOLI	C6EGX7_ECOBD	14	10	1059,908303	0,375131505	2472,467457
YCFZ_ECOLI	C6EGX0_ECOBD	15	9	1182,539796	0,888489843	2593,211259
POTC_ECOLI	C6EGW7_ECOBD	14	5	901,1349429	0,754982791	1875,839357
POTB_ECOLI	C6EGW6_ECOBD	15	8	1287,7413	1,310714286	3090,57912
DSBB_ECOLI	C6EGT2_ECOBD	12	7	931,02144	1,95	1862,04288
NHAB_ECOLI	C6EGT1_ECOBD	17	9	932,99197	1,011111111	1865,98394
CVRA_ECOLI	C6EGS6_ECOBD	7	1	866,8860624	0,502586303	1829,947286
YCHM_ECOLI	C6EGR0_ECOBD	14	6	1069,063346	0,976691997	2163,044526
NARX_ECOLI	C6EGP2_ECOBD	21	10	999,478735	0,592216736	2249,353922
NARI_ECOLI	C6EGN6_ECOBD	14	9	960,4852256	0,456008772	2008,6253
GALU_ECOLI	C6EGN1_ECOBD	15	9	1047,958641	0,956444834	2741,159277
YCHE_ECOLI	C6EGM7_ECOBD	16	8	1031,890487	0,312383808	2485,687542
OPPB_ECOLI	C6EGM3_ECOBD	19	11	1094,924415	0,865707769	2593,237219
AAEB_ECOLI	C6EGM0_ECOBD	17	11	1276,436589	0,956272147	3483,889204
AAEX_ECOLI	C6EGL8_ECOBD	3	1	949,6700194	0,455634921	2052,749014
MRED_ECOLI	C6EGL2_ECOBD	8	3	1029,537709	0,664380976	2070,409787
YHDT_ECOLI	C6EGK3_ECOBD	7	2	951,8260471	0,978142306	2186,127482
PANF_ECOLI	C6EGK2_ECOBD	10	7	816,1095531	0,648178812	1848,830705
YHDV_ECOLI	C6EGJ3_ECOBD	4	3	860,9022792	0,743667076	1878,786551
YHDX_ECOLI	C6EGJ0_ECOBD	17	10	1084,860429	1,045244262	2661,747068
YHDY_ECOLI	C6EGI9_ECOBD	17	9	1082,617062	0,365908464	3562,255507
MSCL_ECOLI	C6EGH6_ECOBD	13	6	1016,821915	0,638204529	2125,765109
SECY_ECOLI	C6EGG6_ECOBD	13	7	954,3020374	0,686031746	1860,498248
KEFB_ECOLI	C6EGB3_ECOBD	12	5	1037,144987	1,275279762	3083,243543
TNAB_ECOLI	C6EG94_ECOBD	10	6	1194,561539	1,426494026	2943,636494
MDTL_ECOLI	C6EG93_ECOBD	15	8	866,0229258	0,743796296	1732,045852
PURP_ECOLI	C6EG89_ECOBD	10	5	907,4697926	0,831311405	1923,961163
CBRB_ECOLI	C6EG87_ECOBD	10	5	913,5380506	1,509943978	3234,319635
PTV3B_ECOLI	C6EG81_ECOBD	14	5	899,614975	0,762407201	1955,734008
PSTA_ECOLI	C6EG77_ECOBD	15	9	1162,593178	0,764857143	2325,186357
PSTC_ECOLI	C6EG76_ECOBD	10	7	755,81197	0,835454545	1511,62394
ATPL_ECOLI	C6EG66_ECOBD	4	2	1154,296208	1,041955556	2469,75461
ATP6_ECOLI	C6EG65_ECOBD	13	5	989,49909	0,414112487	1978,99818
ATPZ_ECOLI	C6EG64_ECOBD	9	7	1124,479103	0,501904762	2523,646627
KUP_ECOLI	C6EG56_ECOBD	12	7	1192,246107	1,011025641	3346,5701
HSRA_ECOLI	C6EG48_ECOBD	12	6	920,8851893	1,183817182	1841,770379
WECA_ECOLI	C6EG28_ECOBD	10	4	1007,6888	0,555548639	2662,059685
WZXE_ECOLI	C6EG20_ECOBD	13	9	856,2125708	0,76835118	1844,290875
WZYE_ECOLI	C6EG18_ECOBD	15	9	892,543531	0,557259768	1908,114932
YIFK_ECOLI	C6EG16_ECOBD	10	7	1174,011417	0,805887838	3013,161074
RARD_ECOLI	C6EFZ3_ECOBD	11	6	1199,008747	0,984291667	2798,239253
CLS_ECOLI	C6EFY7_ECOBD	23	9	1104,045948	0,664453312	2450,669384
KCH_ECOLI	C6EFY6_ECOBD	12	10	1457,61418	1,2	4997,53433
ISPZ_ECOLI	C6EFY2_ECOBD	14	7	893,8687188	0,570850328	1947,184385
YCIS_ECOLI	C6EFV5_ECOBD	8	2	939,6399246	0,47244302	2936,60683
OSMB_ECOLI	C6EFV1_ECOBD	4	2	1038,998991	0,458813721	2676,76184
YMIB_ECOLI	C6EFU7_ECOBD	5	1	1031,864906	0,77475063	2199,802252
SAPC_ECOLI	C6EFU0_ECOBD	13	7	1188,062286	0,9779375	2749,458255
SAPB_ECOLI	C6EFT9_ECOBD	13	7	919,1665187	0,978020202	2263,436424
PUUP_ECOLI	C6EFT6_ECOBD	11	5	943,37384	0,820186015	2153,724109
YCJO_ECOLI	C6EFS1_ECOBD	13	7	1067,625269	0,953846154	2491,84381
YCJP_ECOLI	C6EFS0_ECOBD	12	5	711,6817833	0,458014354	1423,363567
ABGT_ECOLI	C6EFP7_ECOBD	11	9	1059,16502	1,318099733	2534,62524
TSGA_ECOLI	C6EFL2_ECOBD	12	1	1040,666104	1,391620778	3620,931888
NIRC_ECOLI	C6EFK9_ECOBD	9	5	1334,915125	0,851363636	2856,471435
YHFL_ECOLI	C6EFK7_ECOBD	6	2	1002,765555	0,600717703	2005,53111
FRLA_ECOLI	C6EFK6_ECOBD	10	6	939,1712926	0,32772084	2114,094404
YHFT_ECOLI	C6EFJ9_ECOBD	11	6	1211,411936	1,128678406	3852,27339
YHFU_ECOLI	C6EFJ8_ECOBD	10	5	803,6100283	0,550590151	1607,220057
YHGE_ECOLI	C6EFH3_ECOBD	16	8	823,431315	0,409210526	1646,86263
GNTT_ECOLI	C6EFF9_ECOBD	13	8	979,502317	0,389507154	3470,47939
YHGN_ECOLI	C6EFE0_ECOBD	11	5	938,7970953	0,52572805	2011,408662
GNTU_ECOLI	C6EFD9_ECOBD	13	7	1250,658248	1,165562216	2981,717896
UGPE_ECOLI	C6EFC3_ECOBD	11	8	854,4964545	0,445647505	1708,992909
UGPA_ECOLI	C6EFC2_ECOBD	10	6	1251,304873	0,858881766	2670,657523
LIVM_ECOLI	C6EFB8_ECOBD	10	7	990,6516615	0,811978164	1965,551973
LIVH_ECOLI	C6EFB7_ECOBD	11	4	1228,823924	1,619583333	2543,50314
YHHL_ECOLI	C6EFA8_ECOBD	8	4	920,0466667	0,558705383	2174,795346
YHHN_ECOLI	C6EFA6_ECOBD	8	4	969,6519569	0,30244883	2228,612864
YHHQ_ECOLI	C6EFA3_ECOBD	13	8	1480,176375	1,21465194	2960,35275
YHHS_ECOLI	C6EFA1_ECOBD	11	6	906,7926372	0,939992323	1845,763605
NIKB_ECOLI	C6EF97_ECOBD	18	7	1059,831409	0,863448872	2503,120632
NIKC_ECOLI	C6EF96_ECOBD	15	8	921,4891123	0,759054487	1798,951763
RHTC_ECOLI	C6EF88_ECOBD	12	8	1028,552061	0,701405656	2162,3351
RHTB_ECOLI	C6EF87_ECOBD	15	7	992,5309919	0,905264136	2204,085391
YIGM_ECOLI	C6EF84_ECOBD	10	7	1026,962224	0,494022658	2487,818493
TATC_ECOLI	C6EF58_ECOBD	7	4	779,5528436	0,853965282	1559,105687
TRKH_ECOLI	C6EF49_ECOBD	15	5	949,9421371	0,456349621	2174,440933
YIHG_ECOLI	C6EF40_ECOBD	22	10	1012,464546	1,678409091	2617,51847
YIHO_ECOLI	C6EF25_ECOBD	17	7	1210,700712	1,034847282	2682,08119
YIHP_ECOLI	C6EF24_ECOBD	14	7	1021,381045	0,99259944	2042,76209
YIHY_ECOLI	C6EF15_ECOBD	18	8	917,6445438	0,359987043	2062,165832
FDOI_ECOLI	C6EF07_ECOBD	18	8	971,6345737	0,585587068	2656,65352
RHAT_ECOLI	C6EEZ0_ECOBD	11	4	1153,938876	0,961341089	2692,733508
KDGT_ECOLI	C6EEY8_ECOBD	11	6	975,9504767	0,548666667	2037,64209
YIIR_ECOLI	C6EEX7_ECOBD	13	5	833,5775065	0,616526436	1977,497765
GLPF_ECOLI	C6EEX1_ECOBD	9	6	1020,964096	0,743500503	2256,317271
C561_ECOLI	C6EEU4_ECOBD	14	6	1134,254814	1,108477886	3274,563246
YDCA_ECOLI	C6EEU3_ECOBD	6	3	950,485384	0,926626513	2163,255552
TEHA_ECOLI	C6EET4_ECOBD	11	6	886,7686618	0,801937153	2138,475987
YDCO_ECOLI	C6EET0_ECOBD	8	2	1174,494202	0,708785505	2801,598383
YDCU_ECOLI	C6EES1_ECOBD	13	8	1054,758291	0,806785513	2513,58834
YDCV_ECOLI	C6EES0_ECOBD	14	9	917,206741	1,131475685	2105,679779
YDCX_ECOLI	C6EER8_ECOBD	3	1	843,9434488	0,493729918	1885,143417
YDCZ_ECOLI	C6EER6_ECOBD	6	4	889,3398188	0,719147141	1954,906733
YNCH_ECOLI	C6EEQ7_ECOBD	6	4	1105,016638	0,912631494	2496,057091
NARV_ECOLI	C6EEQ0_ECOBD	14	9	891,4318902	1,036833055	1720,806065
