ARNF_ECOLI	C6E9U1_ECOBD
C561_ECOLI	C6EEU4_ECOBD
C56H_ECOLI	C6EB94_ECOBD
C56I_ECOLI	C6EHF6_ECOBD
CADB_ECOLI	C6ECZ2_ECOBD
CADC_ECOLI	C6ECZ1_ECOBD
CAIT_ECOLI	C6EB13_ECOBD
CBRB_ECOLI	C6EG87_ECOBD
CCMB_ECOLI	C6EA00_ECOBD
CCMC_ECOLI	C6EA01_ECOBD
CCME_ECOLI	C6EA03_ECOBD
CCMF_ECOLI	C6EA04_ECOBD
CCMH_ECOLI	C6EA06_ECOBD
CDH_ECOLI	C6EEY0_ECOBD
CDSA_ECOLI	C6EAB0_ECOBD
CHAA_ECOLI	C6EGP8_ECOBD
CITT_ECOLI	C6EK82_ECOBD
CLCA_ECOLI	C6EAC9_ECOBD
CLS_ECOLI	C6EFY7_ECOBD
COBS_ECOLI	C6EB80_ECOBD
CODB_ECOLI	C6ELP4_ECOBD
CPTA_ECOLI	C6EE54_ECOBD
CPXA_ECOLI	C6EEY6_ECOBD
CRCB_ECOLI	C6EK68_ECOBD
CREC_ECOLI	C6EBH2_ECOBD
CRED_ECOLI	C6EBH1_ECOBD
CSRD_ECOLI	C6EGK8_ECOBD
CUSS_ECOLI	C6EKD1_ECOBD
CVPA_ECOLI	C6ELE0_ECOBD
CYBH_ECOLI	C6EHN4_ECOBD
CYCA_ECOLI	C6ECD6_ECOBD
CYDA_ECOLI	C6EJK5_ECOBD
CYDB_ECOLI	C6EJK4_ECOBD
CYDD_ECOLI	C6EI95_ECOBD
CYNX_ECOLI	C6ELN9_ECOBD
CYOA_ECOLI	C6EL34_ECOBD
CYOB_ECOLI	C6EL35_ECOBD
CYOC_ECOLI	C6EL36_ECOBD
CYOD_ECOLI	C6EL37_ECOBD
CYOE_ECOLI	C6EL38_ECOBD
CYST_ECOLI	C6EL53_ECOBD
CYSW_ECOLI	C6EL54_ECOBD
CYSZ_ECOLI	C6EL65_ECOBD
DAMX_ECOLI	C6EFI8_ECOBD
DCTA_ECOLI	C6EEF5_ECOBD
DCUA_ECOLI	C6ECY7_ECOBD
DCUB_ECOLI	C6ED01_ECOBD
DCUC_ECOLI	C6EK71_ECOBD
DCUD_ECOLI	C6EH05_ECOBD
DDG_ECOLI	C6EL90_ECOBD
DDPB_ECOLI	C6EEN1_ECOBD
DDPC_ECOLI	C6EEN2_ECOBD
DEDA_ECOLI	C6ELD6_ECOBD
DEDD_ECOLI	C6ELD9_ECOBD
DGOT_ECOLI	C6ED79_ECOBD
DHG_ECOLI	C6EAT3_ECOBD
DHSC_ECOLI	C6EJL6_ECOBD
DHSD_ECOLI	C6EJL5_ECOBD
DINF_ECOLI	C6EDX6_ECOBD
DJLA_ECOLI	C6EAZ8_ECOBD
DMSC_ECOLI	C6EI86_ECOBD
DPIB_ECOLI	C6EK73_ECOBD
DPPB_ECOLI	C6EED7_ECOBD
DPPC_ECOLI	C6EED8_ECOBD
DSBB_ECOLI	C6EGT2_ECOBD
DSBD_ECOLI	C6ECY9_ECOBD
DSBE_ECOLI	C6EA05_ECOBD
DSDX_ECOLI	C6ELA3_ECOBD
DTPA_ECOLI	C6EDL1_ECOBD
DTPB_ECOLI	C6EEI9_ECOBD
DTPD_ECOLI	C6EJM9_ECOBD
EAMA_ECOLI	C6EDV4_ECOBD
EAMB_ECOLI	C6EK08_ECOBD
EFEU_ECOLI	C6EHJ0_ECOBD
EMRA_ECOLI	C6EJU1_ECOBD
EMRB_ECOLI	C6EJU0_ECOBD
EMRD_ECOLI	C6ED95_ECOBD
EMRE_ECOLI	C6EKS5_ECOBD
EMRY_ECOLI	C6ELA1_ECOBD
ENTS_ECOLI	C6EKA4_ECOBD
ENVZ_ECOLI	C6EFH0_ECOBD
EPTA_ECOLI	C6ED10_ECOBD
EPTB_ECOLI	C6EED5_ECOBD
ESSD_ECOLI	C6EFM7_ECOBD
EUTH_ECOLI	C6EKR1_ECOBD
EXBB_ECOLI	C6EHY7_ECOBD
EXUT_ECOLI	C6EHQ1_ECOBD
FDNI_ECOLI	C6EEP1_ECOBD
FDOI_ECOLI	C6EF07_ECOBD
FECC_ECOLI	C6EC67_ECOBD
FECD_ECOLI	C6EC68_ECOBD
FEOB_ECOLI	C6EFG5_ECOBD
FEPD_ECOLI	C6EKA5_ECOBD
FEPE_ECOLI	C6EKA8_ECOBD
FEPG_ECOLI	C6EKA6_ECOBD
FHUB_ECOLI	C6EAD1_ECOBD
FIEF_ECOLI	C6EEY3_ECOBD
FLHA_ECOLI	C6EBU8_ECOBD
FLHB_ECOLI	C6EBU7_ECOBD
FLIF_ECOLI	C6EBC7_ECOBD
FLIO_ECOLI	C6EBB8_ECOBD
FLIQ_ECOLI	C6EBB6_ECOBD
FLIR_ECOLI	C6EBB5_ECOBD
FOCA_ECOLI	C6EI78_ECOBD
FRDC_ECOLI	C6ECX1_ECOBD
FRDD_ECOLI	C6ECX2_ECOBD
FRLA_ECOLI	C6EFK6_ECOBD
FSR_ECOLI	C6EKY5_ECOBD
FTSB_ECOLI	C6EJB9_ECOBD
FTSL_ECOLI	C6EAX2_ECOBD
FTSN_ECOLI	C6EE76_ECOBD
FTSQ_ECOLI	C6EAW2_ECOBD
FTSW_ECOLI	C6EAW6_ECOBD
FTSX_ECOLI	C6EFB2_ECOBD
FXSA_ECOLI	C6ECY5_ECOBD
GABP_ECOLI	C6EJW2_ECOBD
GADC_ECOLI	C6EEM5_ECOBD
GALP_ECOLI	C6EIG8_ECOBD
GARP_ECOLI	C6EH99_ECOBD
GATD_ECOLI	C6EAL9_ECOBD
GLNP_ECOLI	C6EIX2_ECOBD
GLPF_ECOLI	C6EEX1_ECOBD
GLPT_ECOLI	C6E9W1_ECOBD
GLTK_ECOLI	C6EK42_ECOBD
GLTP_ECOLI	C6ED48_ECOBD
GLTS_ECOLI	C6EDD6_ECOBD
GNTP_ECOLI	C6EBR2_ECOBD
GNTT_ECOLI	C6EFF9_ECOBD
GNTU_ECOLI	C6EFD9_ECOBD
GSIC_ECOLI	C6EIV1_ECOBD
GSID_ECOLI	C6EIV0_ECOBD
GSPC_ECOLI	C6EGE2_ECOBD
GSPF_ECOLI	C6EGD9_ECOBD
GSPG_ECOLI	C6EGD8_ECOBD
HCAT_ECOLI	C6EKH1_ECOBD
HDED_ECOLI	C6EEH4_ECOBD
HEMX_ECOLI	C6EG12_ECOBD
HFLK_ECOLI	C6ECH5_ECOBD
HISM_ECOLI	C6ELE6_ECOBD
HOFC_ECOLI	C6EAV1_ECOBD
HOKA_ECOLI	C6EEC3_ECOBD
HOKE_ECOLI	C6EKB6_ECOBD
HSRA_ECOLI	C6EG48_ECOBD
HTRB_ECOLI	C6EHF9_ECOBD
HYBB_ECOLI	C6EHZ7_ECOBD
HYCC_ECOLI	C6EJE5_ECOBD
HYCD_ECOLI	C6EJE6_ECOBD
HYFB_ECOLI	C6EKM9_ECOBD
HYFD_ECOLI	C6EKM7_ECOBD
HYFE_ECOLI	C6EKM6_ECOBD
HYFF_ECOLI	C6EKM5_ECOBD
IDNT_ECOLI	C6EC86_ECOBD
IGAA_ECOLI	C6EFH7_ECOBD
ISPZ_ECOLI	C6EFY2_ECOBD
KCH_ECOLI	C6EFY6_ECOBD
KDGL_ECOLI	C6EDX8_ECOBD
KDGT_ECOLI	C6EEY8_ECOBD
KDTA_ECOLI	C6EDF8_ECOBD
KEFA_ECOLI	C6EKZ9_ECOBD
KEFB_ECOLI	C6EGB3_ECOBD
KEFC_ECOLI	C6EB06_ECOBD
KUP_ECOLI	C6EG56_ECOBD
LACY_ECOLI	C6ELN7_ECOBD
LEP_ECOLI	C6EK19_ECOBD
LEP4_ECOLI	C6EGD1_ECOBD
LEUE_ECOLI	C6EC32_ECOBD
LGT_ECOLI	C6EJ41_ECOBD
LIVH_ECOLI	C6EFB7_ECOBD
LIVM_ECOLI	C6EFB8_ECOBD
LLDP_ECOLI	C6EDI6_ECOBD
LNT_ECOLI	C6EK38_ECOBD
LOLC_ECOLI	C6EGX6_ECOBD
LOLE_ECOLI	C6EGX4_ECOBD
LPLT_ECOLI	C6EJ33_ECOBD
LPTC_ECOLI	C6EH28_ECOBD
LPTF_ECOLI	C6EC90_ECOBD
LPTG_ECOLI	C6EC89_ECOBD
LSPA_ECOLI	C6EB26_ECOBD
LYSP_ECOLI	C6EAF7_ECOBD
MALG_ECOLI	C6EDZ1_ECOBD
MARC_ECOLI	C6EDW0_ECOBD
MCP1_ECOLI	C6EBL4_ECOBD
MCP2_ECOLI	C6EBU1_ECOBD
MCP3_ECOLI	C6EEU1_ECOBD
MCP4_ECOLI	C6EBU2_ECOBD
MDFA_ECOLI	C6EIU1_ECOBD
MDLA_ECOLI	C6EL15_ECOBD
MDLB_ECOLI	C6EL14_ECOBD
MDTB_ECOLI	C6EAN0_ECOBD
MDTC_ECOLI	C6EAM9_ECOBD
MDTD_ECOLI	C6EAM8_ECOBD
MDTG_ECOLI	C6EHG0_ECOBD
MDTH_ECOLI	C6EHE8_ECOBD
MDTI_ECOLI	C6EDP9_ECOBD
MDTJ_ECOLI	C6EDP8_ECOBD
MDTK_ECOLI	C6ECU0_ECOBD
MDTL_ECOLI	C6EG93_ECOBD
MDTM_ECOLI	C6EBP1_ECOBD
MDTN_ECOLI	C6ED42_ECOBD
MDTO_ECOLI	C6ED43_ECOBD
MELB_ECOLI	C6ED04_ECOBD
METI_ECOLI	C6EA86_ECOBD
MGLC_ECOLI	C6EAG4_ECOBD
MHPT_ECOLI	C6ELM7_ECOBD
MLAE_ECOLI	C6EH33_ECOBD
MLRA_ECOLI	C6EAI5_ECOBD
MNTH_ECOLI	C6EL77_ECOBD
MOKC_ECOLI	C6EB36_ECOBD
MOTB_ECOLI	C6EBT8_ECOBD
MQO_ECOLI	C6E9Y9_ECOBD
MRAY_ECOLI	C6EAW8_ECOBD
MRED_ECOLI	C6EGL2_ECOBD
MSBA_ECOLI	C6EI68_ECOBD
MSCL_ECOLI	C6EGH6_ECOBD
MSCS_ECOLI	C6EII5_ECOBD
MTGA_ECOLI	C6EH19_ECOBD
MVIN_ECOLI	C6EHE4_ECOBD
NANT_ECOLI	C6EH08_ECOBD
NAPC_ECOLI	C6E9Z8_ECOBD
NAPH_ECOLI	C6E9Z6_ECOBD
NARI_ECOLI	C6EGN6_ECOBD
NARK_ECOLI	C6EGP0_ECOBD
NARQ_ECOLI	C6EKP3_ECOBD
NARU_ECOLI	C6EEP6_ECOBD
NARV_ECOLI	C6EEQ0_ECOBD
NARX_ECOLI	C6EGP2_ECOBD
NEPI_ECOLI	C6EDA7_ECOBD
NHAA_ECOLI	C6EB35_ECOBD
NHAB_ECOLI	C6EGT1_ECOBD
NIKB_ECOLI	C6EF97_ECOBD
NIKC_ECOLI	C6EF96_ECOBD
NRFD_ECOLI	C6ED52_ECOBD
NRFE_ECOLI	C6ED51_ECOBD
NRFF_ECOLI	C6ED50_ECOBD
NUOA_ECOLI	C6E9R4_ECOBD
NUOH_ECOLI	C6E9S0_ECOBD
NUOJ_ECOLI	C6E9S2_ECOBD
NUOK_ECOLI	C6E9S3_ECOBD
NUOL_ECOLI	C6E9S4_ECOBD
NUON_ECOLI	C6E9S6_ECOBD
NUPC_ECOLI	C6EL76_ECOBD
NUPX_ECOLI	C6EAF2_ECOBD
OPGB_ECOLI	C6EBL1_ECOBD
OPGC_ECOLI	C6EHG5_ECOBD
OPGH_ECOLI	C6EHG3_ECOBD
OPPB_ECOLI	C6EGM3_ECOBD
OPPC_ECOLI	C6EFZ1_ECOBD
PANF_ECOLI	C6EGK2_ECOBD
PBP2_ECOLI	C6EK58_ECOBD
PBPA_ECOLI	C6EFI0_ECOBD
PBPB_ECOLI	C6EAD5_ECOBD
PBPC_ECOLI	C6EKJ0_ECOBD
PERM_ECOLI	C6EKL8_ECOBD
PGAC_ECOLI	C6EHI5_ECOBD
PGAD_ECOLI	C6EHI6_ECOBD
PGPA_ECOLI	C6ELG6_ECOBD
PGPB_ECOLI	C6EFV6_ECOBD
PGSA_ECOLI	C6EBF0_ECOBD
PHEP_ECOLI	C6EKC5_ECOBD
PHNE_ECOLI	C6ED20_ECOBD
PHOQ_ECOLI	C6EGW2_ECOBD
PHOR_ECOLI	C6ELI4_ECOBD
PHSC_ECOLI	C6ECT5_ECOBD
PIOO_ECOLI	C6EGE4_ECOBD
PITA_ECOLI	C6EEJ2_ECOBD
PITB_ECOLI	C6EI05_ECOBD
PLSY_ECOLI	C6EHT6_ECOBD
PNTA_ECOLI	C6EDP5_ECOBD
PNTB_ECOLI	C6EDP6_ECOBD
PNUC_ECOLI	C6EJJ3_ECOBD
POTB_ECOLI	C6EGW6_ECOBD
POTC_ECOLI	C6EGW7_ECOBD
POTE_ECOLI	C6EJP3_ECOBD
POTH_ECOLI	C6EIC5_ECOBD
POTI_ECOLI	C6EIC4_ECOBD
PPDB_ECOLI	C6EJ44_ECOBD
PPDD_ECOLI	C6EAU9_ECOBD
PPID_ECOLI	C6EL22_ECOBD
PQIA_ECOLI	C6EI32_ECOBD
PROW_ECOLI	C6EJU7_ECOBD
PROY_ECOLI	C6ELI2_ECOBD
PSIE_ECOLI	C6EDZ3_ECOBD
PSTA_ECOLI	C6EG77_ECOBD
PSTC_ECOLI	C6EG76_ECOBD
PSUT_ECOLI	C6EAE9_ECOBD
PTA_ECOLI	C6ELF6_ECOBD
PTFC1_ECOLI	C6EL82_ECOBD
PTFC2_ECOLI	C6EE60_ECOBD
PTHC_ECOLI	C6EJS9_ECOBD
PTIBC_ECOLI	C6EJR6_ECOBD
PTKC_ECOLI	C6EAL8_ECOBD
PTM3C_ECOLI	C6EDJ3_ECOBD
PTMCB_ECOLI	C6EIH7_ECOBD
PTNC_ECOLI	C6EC12_ECOBD
PTND_ECOLI	C6EC11_ECOBD
PTOCB_ECOLI	C6EDM6_ECOBD
PTPC1_ECOLI	C6EH86_ECOBD
PTPC2_ECOLI	C6EH93_ECOBD
PTTBC_ECOLI	C6ECA8_ECOBD
PTV3B_ECOLI	C6EG81_ECOBD
PTW3C_ECOLI	C6EJQ6_ECOBD
PTXB_ECOLI	C6ED86_ECOBD
PTYBC_ECOLI	C6EKS4_ECOBD
PURP_ECOLI	C6EG89_ECOBD
PUTP_ECOLI	C6EHJ1_ECOBD
PUUP_ECOLI	C6EFT6_ECOBD
QMCA_ECOLI	C6EKX5_ECOBD
QSEC_ECOLI	C6EHW7_ECOBD
RARD_ECOLI	C6EFZ3_ECOBD
RCSC_ECOLI	C6E9Y2_ECOBD
RFAL_ECOLI	C6EDG8_ECOBD
RHTA_ECOLI	C6EIW9_ECOBD
RHTB_ECOLI	C6EF87_ECOBD
RHTC_ECOLI	C6EF88_ECOBD
RMUC_ECOLI	C6EF64_ECOBD
RNFA_ECOLI	C6EDL9_ECOBD
RNFE_ECOLI	C6EDL4_ECOBD
RODA_ECOLI	C6EK59_ECOBD
RSEP_ECOLI	C6EAA9_ECOBD
RSTB_ECOLI	C6EDN9_ECOBD
RTN_ECOLI	C6EA21_ECOBD
RUTG_ECOLI	C6EHK1_ECOBD
SANA_ECOLI	C6EAG8_ECOBD
SAPB_ECOLI	C6EFT9_ECOBD
SAPC_ECOLI	C6EFU0_ECOBD
SBMA_ECOLI	C6ELL0_ECOBD
SDAC_ECOLI	C6EJ75_ECOBD
SECD_ECOLI	C6ELH6_ECOBD
SECE_ECOLI	C6EE38_ECOBD
SECF_ECOLI	C6ELH5_ECOBD
SECG_ECOLI	C6EH52_ECOBD
SECY_ECOLI	C6EGG6_ECOBD
SERB_ECOLI	C6EBI3_ECOBD
SETA_ECOLI	C6EAY4_ECOBD
SETB_ECOLI	C6EA28_ECOBD
SETC_ECOLI	C6EDB2_ECOBD
SGCC_ECOLI	C6EC55_ECOBD
SHIA_ECOLI	C6EB88_ECOBD
SIEB_ECOLI	C6EFN0_ECOBD
SMP_ECOLI	C6EBI4_ECOBD
SOHB_ECOLI	C6EFW5_ECOBD
SOTB_ECOLI	C6EDW1_ECOBD
SPPA_ECOLI	C6ECJ1_ECOBD
SSTT_ECOLI	C6EHQ5_ECOBD
SSUC_ECOLI	C6EI48_ECOBD
SUGE_ECOLI	C6ECX5_ECOBD
TATA_ECOLI	C6EF60_ECOBD
TATB_ECOLI	C6EF59_ECOBD
TATC_ECOLI	C6EF58_ECOBD
TDCC_ECOLI	C6EHA8_ECOBD
TEHA_ECOLI	C6EET4_ECOBD
THIM_ECOLI	C6EAK6_ECOBD
THIP_ECOLI	C6EAY8_ECOBD
TNAB_ECOLI	C6EG94_ECOBD
TOLQ_ECOLI	C6EJK0_ECOBD
TORC_ECOLI	C6EHL1_ECOBD
TORS_ECOLI	C6EHL4_ECOBD
TORY_ECOLI	C6EBV4_ECOBD
TQSA_ECOLI	C6EDP7_ECOBD
TRKG_ECOLI	C6EFM2_ECOBD
TRKH_ECOLI	C6EF49_ECOBD
UBIA_ECOLI	C6EDY0_ECOBD
UGPA_ECOLI	C6EFC2_ECOBD
UGPE_ECOLI	C6EFC3_ECOBD
UHPB_ECOLI	C6EDA1_ECOBD
UHPC_ECOLI	C6EDA2_ECOBD
UHPT_ECOLI	C6EDA3_ECOBD
UIDB_ECOLI	C6EDN1_ECOBD
ULAA_ECOLI	C6ECF6_ECOBD
UPPP_ECOLI	C6EHT8_ECOBD
USPB_ECOLI	C6EEJ1_ECOBD
WCAD_ECOLI	C6EAQ1_ECOBD
WECA_ECOLI	C6EG28_ECOBD
WZXC_ECOLI	C6EAR1_ECOBD
WZXE_ECOLI	C6EG20_ECOBD
WZYE_ECOLI	C6EG18_ECOBD
WZZB_ECOLI	C6EB58_ECOBD
WZZE_ECOLI	C6EG27_ECOBD
XANQ_ECOLI	C6EIM6_ECOBD
XYLE_ECOLI	C6EDZ2_ECOBD
XYLH_ECOLI	C6EEB1_ECOBD
YAAH_ECOLI	C6EB43_ECOBD
YAAJ_ECOLI	C6EBG2_ECOBD
YAAU_ECOLI	C6EB08_ECOBD
YABI_ECOLI	C6EAZ0_ECOBD
YADH_ECOLI	C6EAS9_ECOBD
YADS_ECOLI	C6EAC7_ECOBD
YAGU_ECOLI	C6EA36_ECOBD
YAIY_ECOLI	C6ELK8_ECOBD
YAIZ_ECOLI	C6ELK7_ECOBD
YAJC_ECOLI	C6ELH7_ECOBD
YBAL_ECOLI	C6EKY6_ECOBD
YBAN_ECOLI	C6EKZ6_ECOBD
YBAT_ECOLI	C6EKX8_ECOBD
YBBD_ECOLI	C6EKW4_ECOBD
YBBM_ECOLI	C6EKX3_ECOBD
YBBP_ECOLI	C6EKW8_ECOBD
YBBY_ECOLI	C6EKV3_ECOBD
YBCI_ECOLI	C6EKT9_ECOBD
YBDG_ECOLI	C6EKC4_ECOBD
YBFB_ECOLI	C6EJN4_ECOBD
YBGE_ECOLI	C6EJK2_ECOBD
YBGT_ECOLI	C6EJK3_ECOBD
YBHG_ECOLI	C6EIY7_ECOBD
YBHL_ECOLI	C6EIZ6_ECOBD
YBHM_ECOLI	C6EIZ5_ECOBD
YBHN_ECOLI	C6EIZ4_ECOBD
YBHQ_ECOLI	C6EIZ1_ECOBD
YBHR_ECOLI	C6EIZ0_ECOBD
YBHS_ECOLI	C6EIY9_ECOBD
YBIP_ECOLI	C6EIW7_ECOBD
YBIR_ECOLI	C6EIW4_ECOBD
YBJE_ECOLI	C6EIA7_ECOBD
YBJG_ECOLI	C6EIU2_ECOBD
YBJJ_ECOLI	C6EIT8_ECOBD
YBJL_ECOLI	C6EIQ8_ECOBD
YBJM_ECOLI	C6EIQ7_ECOBD
YBJO_ECOLI	C6EIC3_ECOBD
YCAD_ECOLI	C6EI84_ECOBD
YCAM_ECOLI	C6EI83_ECOBD
YCBC_ECOLI	C6EI62_ECOBD
YCCA_ECOLI	C6EI11_ECOBD
YCCF_ECOLI	C6EI20_ECOBD
YCCM_ECOLI	C6EHL5_ECOBD
YCDT_ECOLI	C6EHI2_ECOBD
YCDZ_ECOLI	C6EHH6_ECOBD
YCEG_ECOLI	C6EHB7_ECOBD
YCEO_ECOLI	C6EHF5_ECOBD
YCFJ_ECOLI	C6EGY2_ECOBD
YCFT_ECOLI	C6EGX7_ECOBD
YCFZ_ECOLI	C6EGX0_ECOBD
YCHE_ECOLI	C6EGM7_ECOBD
YCHM_ECOLI	C6EGR0_ECOBD
YCIS_ECOLI	C6EFV5_ECOBD
YCJO_ECOLI	C6EFS1_ECOBD
YCJQ_ECOLI	C6EFR9_ECOBD
YDCD_ECOLI	C6EEQ5_ECOBD
YDCU_ECOLI	C6EES1_ECOBD
YDCV_ECOLI	C6EES0_ECOBD
YDCX_ECOLI	C6EER8_ECOBD
YDCZ_ECOLI	C6EER6_ECOBD
YDDA_ECOLI	C6EEM1_ECOBD
YDDG_ECOLI	C6EEP4_ECOBD
YDEE_ECOLI	C6EDV3_ECOBD
YDFJ_ECOLI	C6EDU3_ECOBD
YDGC_ECOLI	C6EDP1_ECOBD
YDHC_ECOLI	C6ECU3_ECOBD
YDHK_ECOLI	C6EDK0_ECOBD
YDHP_ECOLI	C6ECU6_ECOBD
YDIK_ECOLI	C6ECR8_ECOBD
YDIN_ECOLI	C6ECR6_ECOBD
YDJE_ECOLI	C6ECI8_ECOBD
YDJK_ECOLI	C6ECI2_ECOBD
YDJM_ECOLI	C6ECN0_ECOBD
YDJN_ECOLI	C6ECM9_ECOBD
YDJX_ECOLI	C6ECK7_ECOBD
YDJZ_ECOLI	C6ECK5_ECOBD
YEAI_ECOLI	C6EC45_ECOBD
YEAJ_ECOLI	C6EC44_ECOBD
YEAL_ECOLI	C6EC42_ECOBD
YEAN_ECOLI	C6EC40_ECOBD
YEBN_ECOLI	C6EC09_ECOBD
YEBQ_ECOLI	C6EC01_ECOBD
YEBS_ECOLI	C6EBZ6_ECOBD
YEBZ_ECOLI	C6EBY9_ECOBD
YECN_ECOLI	C6EBV8_ECOBD
YECS_ECOLI	C6EBE3_ECOBD
YEDA_ECOLI	C6EBA7_ECOBD
YEDI_ECOLI	C6EBA8_ECOBD
YEDQ_ECOLI	C6EBB0_ECOBD
YEDR_ECOLI	C6EBA3_ECOBD
YEDV_ECOLI	C6EBA0_ECOBD
YEDZ_ECOLI	C6EB96_ECOBD
YEEA_ECOLI	C6EB75_ECOBD
YEEE_ECOLI	C6EB70_ECOBD
YEEF_ECOLI	C6EB69_ECOBD
YEEO_ECOLI	C6EB85_ECOBD
YEGE_ECOLI	C6EAP0_ECOBD
YEGH_ECOLI	C6EAP4_ECOBD
YEGT_ECOLI	C6EAL2_ECOBD
YEGX_ECOLI	C6EAK8_ECOBD
YEHU_ECOLI	C6EAI6_ECOBD
YEHY_ECOLI	C6EAI1_ECOBD
YEIB_ECOLI	C6EAG1_ECOBD
YEIH_ECOLI	C6EAF5_ECOBD
YEIS_ECOLI	C6EAG7_ECOBD
YEIU_ECOLI	C6EA23_ECOBD
YEJB_ECOLI	C6EA19_ECOBD
YEJE_ECOLI	C6EA18_ECOBD
YEJM_ECOLI	C6EA09_ECOBD
YFBS_ECOLI	C6ELG1_ECOBD
YFCA_ECOLI	C6ELC6_ECOBD
YFCC_ECOLI	C6ELF5_ECOBD
YFCJ_ECOLI	C6ELD1_ECOBD
YFDC_ECOLI	C6ELA5_ECOBD
YFDV_ECOLI	C6EL96_ECOBD
YFEA_ECOLI	C6EL75_ECOBD
YFEH_ECOLI	C6EL69_ECOBD
YFEO_ECOLI	C6EL79_ECOBD
YFGF_ECOLI	C6EKK8_ECOBD
YFHB_ECOLI	C6EK28_ECOBD
YFHK_ECOLI	C6EKF1_ECOBD
YFHR_ECOLI	C6EKH3_ECOBD
YFIN_ECOLI	C6EJY8_ECOBD
YFJD_ECOLI	C6EJY0_ECOBD
YFJV_ECOLI	C6EEI2_ECOBD
YGAH_ECOLI	C6EJU3_ECOBD
YGAY_ECOLI	C6EJU5_ECOBD
YGCG_ECOLI	C6EJ94_ECOBD
YGDD_ECOLI	C6EJ59_ECOBD
YGDQ_ECOLI	C6EJ36_ECOBD
YGGT_ECOLI	C6EIF9_ECOBD
YGHB_ECOLI	C6EHY5_ECOBD
YGIM_ECOLI	C6EHU0_ECOBD
YGJV_ECOLI	C6EHQ4_ECOBD
YHAH_ECOLI	C6EHN9_ECOBD
YHAI_ECOLI	C6EHN8_ECOBD
YHAO_ECOLI	C6EHB3_ECOBD
YHBE_ECOLI	C6EH43_ECOBD
YHBX_ECOLI	C6EH53_ECOBD
YHCB_ECOLI	C6EGZ9_ECOBD
YHDX_ECOLI	C6EGJ0_ECOBD
YHDY_ECOLI	C6EGI9_ECOBD
YHFK_ECOLI	C6EGA5_ECOBD
YHFT_ECOLI	C6EFJ9_ECOBD
YHGE_ECOLI	C6EFH3_ECOBD
YHGN_ECOLI	C6EFE0_ECOBD
YHHL_ECOLI	C6EFA8_ECOBD
YHHM_ECOLI	C6EFA7_ECOBD
YHHN_ECOLI	C6EFA6_ECOBD
YHHQ_ECOLI	C6EFA3_ECOBD
YHHS_ECOLI	C6EFA1_ECOBD
YHHT_ECOLI	C6EFA0_ECOBD
YHJD_ECOLI	C6EEG1_ECOBD
