EG	GN	SP	JW	Ori	LeftEnd	RightEnd
EG10035	aldA	P25553	JW1412	Clockwise	1486256	1487695
EG10036	puuC	P23883	JW1293	Clockwise	1360767	1362254
EG10037	alkB	P05050	JW2200	Counterclockwise	2306713	2307363
EG10039	amn	P0AE12	JW1963	Clockwise	2053085	2054539
EG10040	ampC	P00811	JW4111	Counterclockwise	4375834	4376967
EG10041	ampD	P13016	JW0106	Clockwise	118733	119284
EG10042	ampE	P0AE14	JW0107	Clockwise	119281	120135
EG10043	cysQ	P22255	JW4172	Clockwise	4434778	4435518
EG10044	osmE	P0ADB1	JW1728	Counterclockwise	1819942	1820280
EG10045	ansA	P0A962	JW1756	Clockwise	1848884	1849900
EG10046	ansB	P00805	JW2924	Counterclockwise	3097704	3098750
EG10047	apaG	P62672	JW0049	Counterclockwise	51229	51606
EG10048	apaH	P05637	JW0048	Counterclockwise	50380	51222
EG10049	appA	P07102	JW0963	Clockwise	1039840	1041138
EG10050	appY	P05052	JW0553	Clockwise	582904	583653
EG10051	apt	P69503	JW0458	Clockwise	490636	491187
EG10052	araA	P08202	JW0061	Counterclockwise	66835	68337
EG10053	araB	P08204	JW0062	Counterclockwise	68348	70048
EG10054	araC	P0A9E0	JW0063	Clockwise	70387	71265
EG10055	araD	P08203	JW0060	Counterclockwise	65855	66550
EG10056	araE	P0AE24	JW2809	Counterclockwise	2978786	2980204
EG10057	araF	P02924	JW1889	Counterclockwise	1983163	1984152
EG10058	araG	P0AAF3	JW1888	Counterclockwise	1981579	1983093
EG10059	araH	P0AE26	JW1887	Counterclockwise	1980578	1981564
EG10060	araJ	P23910	JW0386	Counterclockwise	410521	411705
EG10061	arcA	P0A9Q1	JW4364	Counterclockwise	4637613	4638329
EG10062	arcB	P0AEC3	JW5536	Counterclockwise	3348711	3351047
EG10063	argA	P0A6C5	JW2786	Clockwise	2947264	2948595
EG10064	argB	P0A6C8	JW5553	Clockwise	4154036	4154812
EG10065	argC	P11446	JW3930	Clockwise	4153024	4154028
EG10066	argD	P18335	JW3322	Counterclockwise	3486982	3488202
EG10067	argF	P06960	JW0266	Counterclockwise	288525	289529
EG10068	argG	P0A6E4	JW3140	Clockwise	3316659	3318002
EG10069	argI	P04391	JW4211	Counterclockwise	4475330	4476334
EG10070	argR	P0A6D0	JW3206	Clockwise	3382725	3383195
EG10071	argS	P11875	JW1865	Clockwise	1958086	1959819
EG10072	argT	P09551	JW2307	Counterclockwise	2425031	2425813
EG10073	aroA	P0A6D3	JW0891	Clockwise	958035	959318
EG10074	aroB	P07639	JW3352	Counterclockwise	3515420	3516508
EG10075	aroC	P12008	JW2326	Counterclockwise	2444410	2445495
EG10076	aroD	P05194	JW1683	Clockwise	1772710	1773468
EG10077	aroE	P15770	JW3242	Counterclockwise	3428042	3428860
EG10078	aroF	P00888	JW2582	Counterclockwise	2738102	2739172
EG10079	aroG	P0AB91	JW0737	Clockwise	784856	785908
EG10080	aroH	P00887	JW1694	Clockwise	1786459	1787505
EG10081	aroK	P0A6D7	JW5947	Counterclockwise	3516565	3517086
EG10082	aroL	P0A6E1	JW0379	Clockwise	405629	406153
EG10083	aroM	P0AE28	JW0381	Clockwise	406652	407329
EG10084	aroP	P15993	JW0108	Counterclockwise	120178	121551
EG10085	ascB	P24240	JW2686	Clockwise	2839012	2840436
EG10086	ascF	P24241	JW5435	Clockwise	2837546	2839003
EG10087	ascG	P24242	JW5434	Counterclockwise	2836276	2837289
EG10088	asd	P0A9Q9	JW3396	Counterclockwise	3571798	3572901
EG10089	aslA	P25549	JW3773	Counterclockwise	3982375	3984030
EG10090	aslB	P25550	JW5594	Clockwise	3980981	3982216
EG10091	asnA	P00963	JW3722	Clockwise	3925178	3926170
EG10092	asnB	P22106	JW0660	Counterclockwise	696736	698400
EG10093	asnC	P0ACI6	JW3721	Counterclockwise	3924568	3925026
EG10094	asnS	P0A8M0	JW0913	Counterclockwise	986808	988208
EG10095	aspA	P0AC38	JW4099	Counterclockwise	4364914	4366350
EG10096	aspC	P00509	JW0911	Counterclockwise	983742	984932
EG10097	aspS	P21889	JW1855	Counterclockwise	1946774	1948546
EG10098	atpA	P0ABB0	JW3712	Counterclockwise	3916339	3917880
EG10099	atpB	P0AB98	JW3716	Counterclockwise	3919259	3920074
EG10100	atpC	P0A6E6	JW3709	Counterclockwise	3913576	3913995
EG10101	atpD	P0ABB4	JW3710	Counterclockwise	3914016	3915398
EG10102	atpE	P68699	JW3715	Counterclockwise	3918973	3919212
EG10103	atpF	P0ABA0	JW3714	Counterclockwise	3918441	3918911
EG10104	atpG	P0ABA6	JW3711	Counterclockwise	3915425	3916288
EG10105	atpH	P0ABA4	JW3713	Counterclockwise	3917893	3918426
EG10106	atpI	P0ABC0	JW5611	Counterclockwise	3920083	3920463
EG10107	avtA	P09053	JW5652	Clockwise	3737728	3738981
EG10108	bcp	P0AE52	JW2465	Clockwise	2598500	2598970
EG10109	betA	P17444	JW0303	Counterclockwise	324801	326471
EG10110	betB	P17445	JW0304	Counterclockwise	326485	327957
EG10111	betI	P17446	JW0305	Counterclockwise	327971	328558
EG10112	betT	P0ABC9	JW0306	Clockwise	328687	330720
EG10113	bfr	P0ABD3	JW3298	Counterclockwise	3464271	3464747
EG10114	bglB	P11988	JW3699	Counterclockwise	3900312	3901724
EG10115	bglF	P08722	JW3700	Counterclockwise	3901743	3903620
EG10116	bglG	P11989	JW3701	Counterclockwise	3903754	3904590
EG10117	bioA	P12995	JW0757	Counterclockwise	807191	808480
EG10118	bioB	P12996	JW0758	Clockwise	808567	809607
EG10119	bioC	P12999	JW0760	Clockwise	810745	811500
EG10120	bioD	P13000	JW0761	Clockwise	811493	812170
EG10121	bioF	P12998	JW0759	Clockwise	809604	810758
EG10122	bioH	P13001	JW3375	Counterclockwise	3542096	3542866
EG10123	birA	P06709	JW3941	Clockwise	4171105	4172070
EG10124	bisC	P20099	JW5940	Counterclockwise	3712084	3714417
EG10125	bolA	P0ABE2	JW5060	Clockwise	453696	454013
EG10126	btuB	P06129	JW3938	Clockwise	4161662	4163506
EG10127	btuC	P06609	JW1701	Counterclockwise	1792196	1793176
EG10128	btuD	P06611	JW1699	Counterclockwise	1790833	1791582
EG10129	btuE	P06610	JW1700	Counterclockwise	1791582	1792133
EG10130	btuR	P0A9H5	JW1262	Counterclockwise	1325791	1326381
EG10131	cadA	P0A9H3	JW4092	Counterclockwise	4354493	4356640
EG10132	cadB	P0AAE8	JW4093	Counterclockwise	4356720	4358054
EG10133	cadC	P23890	JW4094	Counterclockwise	4358419	4359957
EG10134	carA	P0A6F1	JW0030	Clockwise	29651	30799
EG10135	carB	P00968	JW0031	Clockwise	30817	34038
EG10136	cca	P06961	JW3028	Clockwise	3199913	3201151
EG10137	cdd	P0ABF6	JW2131	Clockwise	2229866	2230750
EG10138	cdh	P06282	JW3889	Clockwise	4107953	4108708
EG10139	cdsA	P0ABG1	JW5810	Clockwise	195677	196534
EG10140	chbB	P69795	JW1727	Counterclockwise	1819323	1819643
EG10141	chbC	P17334	JW1726	Counterclockwise	1817880	1819238
EG10142	chbA	P69791	JW1725	Counterclockwise	1817479	1817829
EG10143	chbR	P17410	JW1724	Counterclockwise	1816629	1817471
EG10144	chbF	P17411	JW1723	Counterclockwise	1815172	1816524
EG10145	creD	P08369	JW4363	Clockwise	4636201	4637553
EG10146	cheA	P07363	JW1877	Counterclockwise	1971384	1973348
EG10147	cheB	P07330	JW1872	Counterclockwise	1965476	1966525
EG10148	cheR	P07364	JW1873	Counterclockwise	1966528	1967388
EG10149	cheW	P0A964	JW1876	Counterclockwise	1970860	1971363
EG10150	cheY	P0AE67	JW1871	Counterclockwise	1965072	1965461
EG10151	cheZ	P0A9H9	JW1870	Counterclockwise	1964417	1965061
EG10152	modC	P09833	JW0748	Clockwise	795777	796835
EG10153	moeA	P12281	JW0811	Counterclockwise	864352	865587
EG10154	moeB	P12282	JW0810	Counterclockwise	863603	864352
EG10155	cirA	P17315	JW2142	Counterclockwise	2242800	2244791
EG10156	clpA	P0ABH9	JW0866	Clockwise	922487	924763
EG10157	clpB	P63284	JW2573	Counterclockwise	2729622	2732195
EG10158	clpP	P0A6G7	JW0427	Clockwise	455901	456524
EG10159	clpX	P0A6H1	JW0428	Clockwise	456650	457924
EG10160	cpdB	P08331	JW4171	Counterclockwise	4432645	4434588
EG10161	cpsB	P24174	JW2034	Counterclockwise	2121108	2122544
EG10162	cpsG	P24175	JW2033	Counterclockwise	2119633	2121003
EG10163	cpxA	P0AE82	JW3882	Counterclockwise	4101625	4102998
EG10164	crp	P0ACJ8	JW5702	Clockwise	3484142	3484774
EG10165	crr	P69783	JW2410	Clockwise	2533856	2534365
EG10166	cspA	P0A9X9	JW3525	Clockwise	3718072	3718284
EG10167	cstA	P15078	JW0590	Clockwise	629117	631222
EG10168	lnt	P23930	JW0654	Counterclockwise	688566	690104
EG10169	cvpA	P08550	JW2310	Counterclockwise	2428297	2428785
EG10170	cyaA	P00936	JW3778	Clockwise	3989176	3991722
EG10172	cybB	P0ABE5	JW5224	Clockwise	1488926	1489456
EG10173	cydA	P0ABJ9	JW0722	Clockwise	770681	772249
EG10174	cydB	P0ABK2	JW0723	Clockwise	772265	773404
EG10175	cynS	P00816	JW0331	Clockwise	358713	359183
EG10176	cynT	P0ABE9	JW0330	Clockwise	358023	358682
EG10177	cynX	P17583	JW0332	Clockwise	359216	360370
EG10178	cyoA	P0ABJ1	JW0422	Counterclockwise	449887	450834
EG10179	cyoB	P0ABI8	JW0421	Counterclockwise	447874	449865
EG10180	cyoC	P0ABJ3	JW0420	Counterclockwise	447270	447884
EG10181	cyoD	P0ABJ6	JW0419	Counterclockwise	446941	447270
EG10182	cyoE	P0AEA5	JW0418	Counterclockwise	446039	446929
EG10183	cysA	P16676	JW2415	Counterclockwise	2537739	2538836
EG10184	cysB	P0A9F3	JW1267	Clockwise	1331879	1332853
EG10185	cysC	P0A6J1	JW2720	Counterclockwise	2871409	2872014
EG10186	cysD	P21156	JW2722	Counterclockwise	2873443	2874351
EG10187	cysE	P0A9D4	JW3582	Counterclockwise	3779764	3780585
EG10188	cysG	P0AEA8	JW3331	Clockwise	3495850	3497223
EG10189	cysH	P17854	JW2732	Counterclockwise	2885600	2886334
EG10190	cysI	P17846	JW2733	Counterclockwise	2886409	2888121
EG10191	cysJ	P38038	JW2734	Counterclockwise	2888121	2889920
EG10192	cysK	P0ABK5	JW2407	Clockwise	2530431	2531402
EG10193	cysM	P16703	JW2414	Counterclockwise	2536694	2537605
EG10194	cysN	P23845	JW2721	Counterclockwise	2872014	2873441
EG10195	cysP	P16700	JW2418	Counterclockwise	2540534	2541550
EG10196	cysS	P21888	JW0515	Clockwise	553834	555219
EG10197	cysU	P16701	JW2417	Counterclockwise	2539701	2540534
EG10198	cysW	P0AEB0	JW2416	Counterclockwise	2538826	2539701
EG10200	cytR	P0ACN7	JW3905	Counterclockwise	4121454	4122479
EG10201	dacA	P0AEB2	JW0627	Counterclockwise	661975	663186
EG10202	dacB	P24228	JW3149	Clockwise	3326985	3328418
EG10203	dacC	P08506	JW0823	Clockwise	879950	881152
EG10204	dam	P0AEE8	JW3350	Counterclockwise	3513099	3513935
EG10205	dapA	P0A6L2	JW2463	Counterclockwise	2596904	2597782
EG10206	dapB	P04036	JW0029	Clockwise	28374	29195
EG10207	dapD	P0A9D8	JW0161	Counterclockwise	185123	185947
EG10208	dapE	P0AED7	JW2456	Clockwise	2589629	2590756
EG10209	dapF	P0A6K1	JW5592	Clockwise	3992785	3993609
EG10210	dbpA	P21693	JW1337	Clockwise	1407535	1408908
EG10211	dcm	P0AED9	JW1944	Counterclockwise	2028923	2030341
EG10212	dcp	P24171	JW1531	Counterclockwise	1623359	1625404
EG10213	ddlA	P0A6J8	JW0372	Counterclockwise	399053	400147
EG10214	ddlB	P07862	JW0090	Clockwise	102233	103153
EG10215	deaD	P0A9P6	JW5531	Counterclockwise	3303993	3305882
EG10216	dedA	P0ABP6	JW2314	Counterclockwise	2432104	2432763
EG10217	accD	P0A9Q5	JW2313	Counterclockwise	2431034	2431948
EG10218	dedD	P09549	JW5378	Counterclockwise	2429044	2429706
EG10219	deoA	P07650	JW4345	Clockwise	4616252	4617574
EG10220	deoB	P0A6K6	JW4346	Clockwise	4617626	4618849
EG10221	deoC	P0A6L0	JW4344	Clockwise	4615346	4616125
EG10222	deoD	P0ABP8	JW4347	Clockwise	4618906	4619625
EG10223	deoR	P0ACK5	JW0824	Counterclockwise	881199	881957
EG10224	dgkA	P0ABN1	JW4002	Clockwise	4254660	4255028
EG10225	dgt	P15723	JW0156	Clockwise	179237	180754
EG10226	dicA	P06966	JW1562	Clockwise	1645958	1646365
EG10227	dicB	P09557	JW1566	Clockwise	1647633	1647821
EG10228	dicC	P06965	JW1561	Counterclockwise	1645644	1645874
EG10229	flk	P15286	JW2318	Clockwise	2435972	2436967
EG10230	dksA	P0ABS1	JW0141	Counterclockwise	160149	160604
EG10231	dld	P06149	JW2121	Clockwise	2220207	2221922
EG10232	dmsA	P18775	JW5118	Clockwise	940182	942626
EG10233	dmsB	P18776	JW0878	Clockwise	942637	943254
EG10234	dmsC	P18777	JW0879	Clockwise	943256	944119
EG10235	dnaA	P03004	JW3679	Counterclockwise	3880349	3881752
EG10236	dnaB	P0ACB0	JW4012	Clockwise	4262337	4263752
EG10237	dnaC	P0AEF0	JW4325	Counterclockwise	4598261	4598998
EG10238	dnaE	P10443	JW0179	Clockwise	205126	208608
EG10239	dnaG	P0ABS5	JW3038	Clockwise	3209129	3210874
EG10240	dnaJ	P08622	JW0014	Clockwise	14168	15298
EG10241	dnaK	P0A6Y8	JW0013	Clockwise	12163	14079
EG10242	dnaN	P0A988	JW3678	Counterclockwise	3879244	3880344
EG10243	dnaQ	P03007	JW0205	Clockwise	236067	236798
EG10244	dnaT	P0A8J2	JW4326	Counterclockwise	4599001	4599540
EG10245	dnaX	P06710	JW0459	Clockwise	491316	493247
EG10246	mltD	P0AEZ7	JW5018	Counterclockwise	232597	233955
EG10247	acpS	P24224	JW2547	Counterclockwise	2698640	2699020
EG10248	dppA	P23847	JW3513	Counterclockwise	3704121	3705728
EG10249	dsdA	P00926	JW2363	Clockwise	2477224	2478552
EG10250	dsdX	P08555	JW2362	Clockwise	2475869	2477206
EG10251	dut	P06968	JW3615	Clockwise	3811955	3812410
EG10252	ebgA	P06864	JW5511	Clockwise	3220655	3223747
EG10253	ebgC	P0AC73	JW3048	Clockwise	3223744	3224193
EG10254	ebgR	P06846	JW3046	Clockwise	3219488	3220471
EG10255	eco	P23827	JW2197	Clockwise	2301927	2302415
EG10256	eda	P0A955	JW1839	Counterclockwise	1930139	1930780
EG10257	edd	P0ADF6	JW1840	Counterclockwise	1930817	1932628
EG10258	eno	P0A6P9	JW2750	Counterclockwise	2904665	2905963
EG10259	entA	P15047	JW0588	Clockwise	627774	628520
EG10260	entB	P0ADI4	JW0587	Clockwise	626917	627774
EG10261	entC	P0AEJ2	JW0585	Clockwise	624108	625283
EG10262	entD	P19925	JW5085	Counterclockwise	608682	609311
EG10263	entE	P10378	JW0586	Clockwise	625293	626903
EG10264	entF	P11454	JW0578	Clockwise	613380	617261
EG10265	lpxC	P0A725	JW0094	Clockwise	106557	107474
EG10266	acrE	P24180	JW3233	Clockwise	3411886	3413043
EG10267	acrF	P24181	JW3234	Clockwise	3413055	3416159
EG10268	envY	P10805	JW0555	Counterclockwise	585370	586131
EG10269	envZ	P0AEJ4	JW3367	Counterclockwise	3532538	3533890
EG10270	era	P06616	JW2550	Counterclockwise	2700503	2701408
EG10271	exbB	P0ABU7	JW2974	Counterclockwise	3149272	3150006
EG10272	exbD	P0ABV2	JW2973	Counterclockwise	3148840	3149265
EG10273	fabA	P0A6Q3	JW0937	Counterclockwise	1015175	1015693
EG10274	fabB	P0A953	JW2320	Counterclockwise	2438407	2439627
EG10275	accB	P0ABD8	JW3223	Clockwise	3403458	3403928
EG10276	accC	P24182	JW3224	Clockwise	3403939	3405288
EG10277	fabH	P0A6R0	JW1077	Clockwise	1147982	1148935
EG10278	fadA	P21151	JW5578	Counterclockwise	4025632	4026795
EG10279	fadB	P21177	JW3822	Counterclockwise	4026805	4028994
EG10280	fadL	P10384	JW2341	Clockwise	2459328	2460668
EG10281	fadR	P0A8V6	JW1176	Clockwise	1234161	1234880
EG10282	fbaA	P0AB71	JW2892	Counterclockwise	3068187	3069266
EG10283	fbp	P0A993	JW4191	Counterclockwise	4452634	4453632
EG10284	fdhE	P13024	JW3862	Counterclockwise	4078322	4079251
EG10285	fdhF	P07658	JW4040	Counterclockwise	4295242	4297389
EG10286	fecA	P13036	JW4251	Counterclockwise	4512376	4514700
EG10287	fecB	P15028	JW4250	Counterclockwise	4511429	4512331
EG10288	fecC	P15030	JW4249	Counterclockwise	4510434	4511432
EG10289	fecD	P15029	JW4248	Counterclockwise	4509481	4510437
EG10290	fecE	P15031	JW4247	Counterclockwise	4508713	4509480
EG10291	fecI	P23484	JW4253	Counterclockwise	4515737	4516258
EG10292	fecR	P23485	JW4252	Counterclockwise	4514787	4515740
EG10293	fepA	P05825	JW5086	Counterclockwise	609477	611717
EG10294	fepB	P0AEL6	JW0584	Counterclockwise	622777	623733
EG10295	fepC	P23878	JW0580	Counterclockwise	618607	619422
EG10296	fepD	P23876	JW0582	Counterclockwise	620408	621412
EG10297	fepE	P26266	JW0579	Clockwise	617477	618610
EG10298	fepG	P23877	JW0581	Counterclockwise	619419	620411
EG10299	fes	P13039	JW0576	Clockwise	612038	613162
EG10300	ffh	P0AGD7	JW5414	Counterclockwise	2744456	2745817
EG10301	fhlA	P19323	JW2701	Clockwise	2852360	2854438
EG10302	fhuA	P06971	JW0146	Clockwise	167484	169727
EG10303	fhuB	P06972	JW0149	Clockwise	171462	173444
EG10304	fhuC	P07821	JW0147	Clockwise	169778	170575
EG10305	fhuD	P07822	JW0148	Clockwise	170575	171465
EG10306	fhuE	P16869	JW1088	Counterclockwise	1158585	1160774
EG10307	fic	P20605	JW3324	Counterclockwise	3488883	3489485
EG10308	fimA	P04128	JW4277	Clockwise	4541138	4541686
EG10309	fimB	P0ADH5	JW4275	Clockwise	4538980	4539582
EG10310	fimC	P31697	JW4279	Clockwise	4542327	4543052
EG10311	fimD	P30130	JW5780	Clockwise	4543119	4545755
EG10312	fimE	P0ADH7	JW4276	Clockwise	4540060	4540656
EG10313	fimF	P08189	JW4281	Clockwise	4545765	4546295
EG10314	fimG	P08190	JW4282	Clockwise	4546308	4546811
EG10315	fimH	P08191	JW4283	Clockwise	4546831	4547733
EG10316	lpxD	P21645	JW0174	Clockwise	200971	201996
EG10317	fis	P0A6R3	JW3229	Clockwise	3409293	3409589
EG10318	fldA	P61949	JW0671	Counterclockwise	710158	710688
EG10319	flhC	P0ABY7	JW1880	Counterclockwise	1975290	1975868
EG10320	flhD	P0A8S9	JW1881	Counterclockwise	1975871	1976221
EG10321	fliC	P04949	JW1908	Counterclockwise	2000134	2001630
EG10322	fliL	P0ABX8	JW1928	Clockwise	2017642	2018106
EG10323	fliM	P06974	JW1929	Clockwise	2018111	2019115
EG10324	fliN	P15070	JW1930	Clockwise	2019112	2019525
EG10325	fnr	P0A9E5	JW1328	Counterclockwise	1396798	1397550
EG10326	folA	P0ABQ4	JW0047	Clockwise	49823	50302
EG10327	folC	P08192	JW2312	Counterclockwise	2429696	2430964
EG10328	folD	P24186	JW0518	Counterclockwise	556098	556964
EG10329	mutM	P05523	JW3610	Counterclockwise	3808366	3809175
EG10330	frdA	P00363	JW4115	Counterclockwise	4378533	4380341
EG10331	frdB	P0AC47	JW4114	Counterclockwise	4377806	4378540
EG10332	frdC	P0A8Q0	JW4113	Counterclockwise	4377400	4377795
EG10333	frdD	P0A8Q3	JW4112	Counterclockwise	4377030	4377389
EG10334	fre	P0AEN1	JW3820	Clockwise	4024550	4025251
EG10335	frr	P0A805	JW0167	Clockwise	192872	193429
EG10336	fruA	P20966	JW2154	Counterclockwise	2257741	2259432
EG10337	fruK	P0AEW9	JW2155	Counterclockwise	2259449	2260387
EG10338	fruR	P0ACP1	JW0078	Clockwise	88028	89032
EG10339	ftsA	P0ABH0	JW0092	Clockwise	103982	105244
EG10340	ftsE	P0A9R7	JW3428	Counterclockwise	3600102	3600770
EG10341	ftsI	P0AD68	JW0082	Clockwise	91413	93179
EG10342	ftsQ	P06136	JW0091	Clockwise	103155	103985
EG10343	rsmD	P0ADX9	JW3430	Clockwise	3602416	3603012
EG10344	ftsW	P0ABG4	JW0087	Clockwise	98403	99647
EG10345	ftsX	P0AC30	JW3427	Counterclockwise	3599051	3600109
EG10346	ftsY	P10121	JW3429	Counterclockwise	3600773	3602266
EG10347	ftsZ	P0A9A6	JW0093	Clockwise	105305	106456
EG10348	fucA	P0AB87	JW2771	Counterclockwise	2931063	2931710
EG10349	fucI	P69922	JW2773	Clockwise	2933606	2935381
EG10350	fucK	P11553	JW2774	Clockwise	2935460	2936908
EG10351	fucO	P0A9S1	JW2770	Counterclockwise	2929887	2931038
EG10352	fucP	P11551	JW2772	Clockwise	2932257	2933573
EG10353	fucR	P0ACK8	JW2776	Clockwise	2937390	2938121
EG10355	fucU	P0AEN8	JW2775	Clockwise	2936910	2937332
EG10356	fumA	P0AC33	JW1604	Counterclockwise	1684755	1686401
EG10357	fumB	P14407	JW4083	Counterclockwise	4343703	4345349
EG10358	fumC	P05042	JW1603	Counterclockwise	1683209	1684612
EG10359	fur	P0A9A9	JW0669	Counterclockwise	709423	709869
EG10360	fusA	P0A6M8	JW3302	Counterclockwise	3469422	3471536
EG10361	gabT	P22256	JW2637	Clockwise	2790757	2792037
EG10362	galE	P09147	JW0742	Counterclockwise	790262	791278
EG10363	galK	P0A6T3	JW0740	Counterclockwise	788054	789202
EG10364	galR	P03024	JW2805	Clockwise	2974621	2975652
EG10365	galS	P25748	JW2138	Counterclockwise	2238650	2239690
EG10366	galT	P09148	JW0741	Counterclockwise	789206	790252
EG10367	gapA	P0A9B2	JW1768	Clockwise	1860795	1861790
EG10368	epd	P0A9B6	JW2894	Counterclockwise	3070694	3071713
EG10369	gcd	P15877	JW0120	Counterclockwise	138835	141225
EG10370	ispG	P62620	JW2499	Counterclockwise	2638708	2639826
EG10371	gcvH	P0A6T9	JW2872	Counterclockwise	3047182	3047571
EG10372	gdhA	P00370	JW1750	Clockwise	1840395	1841738
EG10373	hokC	P0ACG4	JW5879	Counterclockwise	16751	16903
EG10374	ggt	P18956	JW3412	Counterclockwise	3583104	3584846
EG10375	mnmG	P0A6U3	JW3719	Counterclockwise	3921767	3923656
EG10376	rsmG	P0A6U5	JW3718	Counterclockwise	3921080	3921703
EG10377	glgA	P0A6U8	JW3392	Counterclockwise	3564623	3566056
EG10378	glgB	P07762	JW3395	Counterclockwise	3569339	3571525
EG10379	glgC	P0A6V1	JW3393	Counterclockwise	3566056	3567351
EG10380	glgP	P0AC86	JW3391	Counterclockwise	3562157	3564604
EG10381	glgX	P15067	JW3394	Counterclockwise	3567369	3569342
EG10382	glmS	P17169	JW3707	Counterclockwise	3909862	3911691
EG10383	glnA	P0A9C5	JW3841	Counterclockwise	4054648	4056057
EG10384	glnB	P0A9Z1	JW2537	Counterclockwise	2685092	2685430
EG10385	glnG	P0AFB8	JW3839	Counterclockwise	4051892	4053301
EG10386	glnH	P0AEQ3	JW0796	Counterclockwise	846481	847227
EG10387	glnL	P0AFB5	JW3840	Counterclockwise	4053313	4054362
EG10388	glnP	P0AEQ6	JW0795	Counterclockwise	845683	846342
EG10389	glnQ	P10346	JW0794	Counterclockwise	844964	845686
EG10390	glnS	P00962	JW0666	Clockwise	705316	706980
EG10391	glpA	P0A9C0	JW2235	Clockwise	2350669	2352297
EG10392	glpB	P13033	JW2236	Clockwise	2352287	2353546
EG10393	glpC	P0A996	JW2237	Clockwise	2353543	2354733
EG10394	glpD	P13035	JW3389	Clockwise	3560036	3561541
EG10395	glpE	P0A6V5	JW3388	Counterclockwise	3559520	3559846
EG10396	glpF	P0AER0	JW3898	Counterclockwise	4115268	4116113
EG10397	glpG	P09391	JW5687	Counterclockwise	3558645	3559475
EG10398	glpK	P0A6F3	JW3897	Counterclockwise	4113737	4115245
EG10399	glpQ	P09394	JW2233	Counterclockwise	2347957	2349033
EG10400	glpR	P0ACL0	JW3386	Counterclockwise	3557870	3558628
EG10401	glpT	P08194	JW2234	Counterclockwise	2349038	2350396
EG10402	gltA	P0ABH7	JW0710	Counterclockwise	752408	753691
EG10403	gltB	P09831	JW3179	Clockwise	3352747	3357207
EG10404	gltD	P09832	JW3180	Clockwise	3357220	3358638
EG10405	gltP	P21345	JW4038	Clockwise	4292504	4293817
EG10406	gltS	P0AER8	JW3628	Counterclockwise	3825483	3826688
EG10407	gltX	P04805	JW2395	Counterclockwise	2517279	2518694
EG10408	glyA	P0A825	JW2535	Counterclockwise	2682276	2683529
EG10409	glyQ	P00960	JW3531	Counterclockwise	3722430	3723341
EG10410	glyS	P00961	JW3530	Counterclockwise	3720351	3722420
EG10411	gnd	P00350	JW2011	Counterclockwise	2097886	2099292
EG10412	gor	P06715	JW3467	Clockwise	3644322	3645674
EG10413	gpp	P25552	JW5603	Counterclockwise	3960768	3962252
EG10414	gpt	P0A9M5	JW0228	Clockwise	255977	256435
EG10415	greA	P0A6W5	JW3148	Counterclockwise	3326261	3326737
EG10416	grpE	P09372	JW2594	Counterclockwise	2748137	2748730
EG10417	grxA	P68688	JW0833	Counterclockwise	889719	889976
EG10418	gshA	P0A6W9	JW2663	Counterclockwise	2812905	2814461
EG10419	gshB	P04425	JW2914	Clockwise	3089900	3090850
