Merge ID	Entry name (Uniprot)	Accession (UNIPROT)	Locus_Tag	Subcellular Location(this study)	Name of deletion Island (Posfai 2006)	Mobile Element	Mobile from paper	Pseudogene/Mobile Element Notes	Common Core	Deletion	700_Mobile_Elements_S1(2)F(2)F	K12_Mobile	# Studies	700_Mobile_Elements_S1(2)F(2)F Duplicates	K12_Mobile Duplicates	EG	GN	SP	JW
mmuP	MMUP_ECOLI	Q47689	b0260	B	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13342	mmuP	Q47689	JW5027
mmuM	MMUM_ECOLI	Q47690	b0261	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13343	mmuM	Q47690	JW0253
afuC	FBPC_ECOLI	P37009	b0262	F1	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG12340	afuC	P37009	JW0254
yagA	YAGA_ECOLI	P37007	b0267	A	MD1	2	2	"Prophage Integrase;Prophage Integrase (EcoGene)"		del-MD1	1	1	2	1	1	EG12338	yagA	P37007	JW0260
yagE	YAGE_ECOLI	P75682	b0268	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13344	yagE	P75682	JW0261
yagF	YAGF_ECOLI	P77596	b0269	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13345	yagF	P77596	JW0262
yagG	YAGG_ECOLI	P75683	b0270	B	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13346	yagG	P75683	JW0263
yagH	YAGH_ECOLI	P77713	b0271	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13347	yagH	P77713	JW0264
yagI	YAGI_ECOLI	P77300	b0272	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13349	yagI	P77300	JW0265
argF	OTC2_ECOLI	P06960	b0273	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG10067	argF	P06960	JW0266
yagK	YAGK_ECOLI	P77657	b0277	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13550	yagK	P77657	JW0271
yagL	YAGL_ECOLI	P77607	b0278	B	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13551	yagL	P77607	JW0272
yagM	YAGM_ECOLI	P71296	b0279	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13552	yagM	P71296	JW0273
yagN	YAGN_ECOLI	P71297	b0280	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	1	1	2	1	1	EG13553	yagN	P71297	JW0274
intF	INTF_ECOLI	P71298	b0281	A	MD1	2	2	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"		del-MD1	1	1	2	1	1	EG13554	intF	P71298	JW0275
yagU	YAGU_ECOLI	P0AAA1	b0287	B	MD1	0	2			del-MD1	1	1	2	1	1	EG13560	yagU	P0AAA1	JW0281
ykgJ	YKGJ_ECOLI	P0AAL9	b0288	G	MD1	0	2			del-MD1	1	1	2	1	1	EG14323	ykgJ	P0AAL9	JW0282
yagV	YAGV_ECOLI	P77263	b0289	G	MD1	0	2			del-MD1	1	1	2	1	1	EG13561	yagV	P77263	JW5030
yagW	YAGW_ECOLI	P77694	b0290	H	MD1	0	2			del-MD1	1	1	2	1	1	EG13562	yagW	P77694	JW0284
yagX	YAGX_ECOLI	P77802	b0291	G	MD1	0	2			del-MD1	1	1	2	1	1	EG13563	yagX	P77802	JW0285
ykgL	YKGL_ECOLI	P56257	b0295	A	MD1	0	2			del-MD1	1	1	2	1	1	EG14325	ykgL	P56257	JW5033
ykgO	RL362_ECOLI	Q2EEQ2	b4506	A	MD1	0	2			del-MD1	1	1	2	1	1	EG14432	ykgO	Null	JW5034
ykgM	RL31B_ECOLI	P0A7N1	b0296	A	MD1	0	2			del-MD1	1	1	2	1	1	EG14326	ykgM	P0A7N1	JW5035
ykgB	YKGB_ECOLI	P75685	b0301	B	MD1	0	2			del-MD1	1	1	2	1	1	EG13579	ykgB	P75685	JW5038
ykgI	YKGI_ECOLI	P75687	b0303	G	MD1	0	2			del-MD1	1	1	2	1	1	EG14278	ykgI	P75687	JW5039
ykgC	YKGC_ECOLI	P77212	b0304	A	MD1	0	2			del-MD1	1	1	2	1	1	EG13580	ykgC	P77212	JW5040
ykgD	YKGD_ECOLI	P77379	b0305	B	MD1	0	2			del-MD1	1	1	2	1	1	EG13581	ykgD	P77379	JW0298
ykgE	YKGE_ECOLI	P77252	b0306	A	MD1	0	2			del-MD1	1	1	2	1	1	EG13582	ykgE	P77252	JW5041
ykgF	YKGF_ECOLI	P77536	b0307	A	MD1	0	2			del-MD1	1	1	2	1	1	EG13583	ykgF	P77536	JW0300
ykgG	YKGG_ECOLI	P77433	b0308	A	MD1	0	2			del-MD1	1	1	2	1	1	EG13584	ykgG	P77433	JW5042
ykgH	YKGH_ECOLI	P77180	b0310	B	MD1	0	2			del-MD1	1	1	2	1	1	EG13585	ykgH	P77180	JW0302
yahA	YAHA_ECOLI	P21514	b0315	A	MD43	0	2			del-MD43	1	1	2	1	1	EG11236	yahA	P21514	JW0307
yahB	YAHB_ECOLI	P77700	b0316	A	MD43	0	2			del-MD43	1	1	2	1	1	EG13586	yahB	P77700	JW0308
yahC	YAHC_ECOLI	P77219	b0317	B	MD43	0	2			del-MD43	1	1	2	1	1	EG13587	yahC	P77219	JW0309
yahD	YAHD_ECOLI	P77736	b0318	A	MD43	0	2			del-MD43	1	1	2	1	1	EG13588	yahD	P77736	JW0310
yahE	YAHE_ECOLI	P77297	b0319	A	MD43	0	2			del-MD43	1	1	2	1	1	EG13589	yahE	P77297	JW0311
yahF	YAHF_ECOLI	P77187	b0320	A	MD43	0	2			del-MD43	1	1	2	1	1	EG13590	yahF	P77187	JW0312
yahG	YAHG_ECOLI	P77221	b0321	A	MD43	0	2			del-MD43	1	1	2	1	1	EG13591	yahG	P77221	JW0313
yahI	ARCM_ECOLI	P77624	b0323	A	MD43	0	2			del-MD43	1	1	2	1	1	EG13593	yahI	P77624	JW0315
yahJ	YAHJ_ECOLI	P77554	b0324	G	MD43	0	2			del-MD43	1	1	2	1	1	EG13594	yahJ	P77554	JW0316
yahK	YAHK_ECOLI	P75691	b0325	B	MD43	0	2			del-MD43	1	1	2	1	1	EG13595	yahK	P75691	JW0317
yahL	YAHL_ECOLI	P77393	b0326	A	MD43	0	2			del-MD43	1	1	2	1	1	EG13596	yahL	P77393	JW0318
yahM	YAHM_ECOLI	P75692	b0327	A	MD43	0	2			del-MD43	1	1	2	1	1	EG13597	yahM	P75692	JW5044
yahN	YAHN_ECOLI	P75693	b0328	B	MD43	0	2			del-MD43	1	1	2	1	1	EG13598	yahN	P75693	JW0320
yahO	YAHO_ECOLI	P75694	b0329	G	MD43	0	2			del-MD43	1	1	2	1	1	EG13599	yahO	P75694	JW0321
prpR	PRPR_ECOLI	P77743	b0330	A	MD43	0	2			del-MD43	1	1	2	1	1	EG13600	prpR	P77743	JW0322
prpB	PRPB_ECOLI	P77541	b0331	B	MD43	0	2			del-MD43	1	1	2	1	1	EG13601	prpB	P77541	JW0323
prpC	PRPC_ECOLI	P31660	b0333	A	MD43	0	2			del-MD43	1	1	2	1	1	EG11756	prpC	P31660	JW0324
prpD	PRPD_ECOLI	P77243	b0334	A	MD43	0	2			del-MD43	1	1	2	1	1	EG13603	prpD	P77243	JW0325
prpE	PRPE_ECOLI	P77495	b0335	A	MD43	0	2			del-MD43	1	1	2	1	1	EG13604	prpE	P77495	JW0326
codB	CODB_ECOLI	P0AA82	b0336	B	MD43	0	2			del-MD43	1	1	2	1	1	EG11327	codB	P0AA82	JW0327
codA	CODA_ECOLI	P25524	b0337	A	MD43	0	2			del-MD43	1	1	2	1	1	EG11326	codA	P25524	JW0328
cynR	CYNR_ECOLI	P27111	b0338	A	MD43	0	2			del-MD43	1	1	2	1	1	EG11421	cynR	P27111	JW5894
cynT	CYNT_ECOLI	P0ABE9	b0339	A	MD43	0	2			del-MD43	1	1	2	1	1	EG10176	cynT	P0ABE9	JW0330
cynS	CYNS_ECOLI	P00816	b0340	A	MD43	0	2			del-MD43	1	1	2	1	1	EG10175	cynS	P00816	JW0331
cynX	CYNX_ECOLI	P17583	b0341	B	MD43	0	2			del-MD43	1	1	2	1	1	EG10177	cynX	P17583	JW0332
lacA	THGA_ECOLI	P07464	b0342	A	MD43	0	2			del-MD43	1	1	2	1	1	EG10524	lacA	P07464	JW0333
lacY	LACY_ECOLI	P02920	b0343	B	MD43	0	2		Common Core	del-MD43	1	1	2	1	1	EG10526	lacY	P02920	JW0334
lacZ	BGAL_ECOLI	P00722	b0344	A	MD43	0	2			del-MD43	1	1	2	1	1	EG10527	lacZ	P00722	JW0335
lacI	LACI_ECOLI	P03023	b0345	A	MD43	0	2			del-MD43	1	1	2	1	1	EG10525	lacI	P03023	JW0336
mhpR	MHPR_ECOLI	P77569	b0346	A	MD43	0	2			del-MD43	1	1	2	1	1	EG20276	mhpR	P77569	JW0337
mhpA	MHPA_ECOLI	P77397	b0347	B	MD43	0	2			del-MD43	1	1	2	1	1	EG20273	mhpA	P77397	JW0338
mhpB	MHPB_ECOLI	P0ABR9	b0348	A	MD43	0	2			del-MD43	1	1	2	1	1	EG20274	mhpB	P0ABR9	JW0339
mhpC	MHPC_ECOLI	P77044	b0349	A	MD43	0	2			del-MD43	1	1	2	1	1	EG20275	mhpC	P77044	JW0340
mhpD	MHPD_ECOLI	P77608	b0350	A	MD43	0	2			del-MD43	1	1	2	1	1	EG14274	mhpD	P77608	JW0341
mhpF	ACDH_ECOLI	P77580	b0351	A	MD43	0	2			del-MD43	1	1	2	1	1	EG13625	mhpF	P77580	JW0342
mhpE	HOA_ECOLI	P51020	b0352	A	MD43	0	2			del-MD43	1	1	2	1	1	EG13292	mhpE	P51020	JW0343
mhpT	MHPT_ECOLI	P77589	b0353	B	MD43	0	2			del-MD43	1	1	2	1	1	EG13293	mhpT	P77589	JW5046
yaiL	YAIL_ECOLI	P51024	b0354	A	MD43	0	2		Common Core	del-MD43	1	1	2	1	1	EG13294	yaiL	P51024	JW0345
yaiO	YAIO_ECOLI	Q47534	b0358	G		0	0			del-MD16	1	1	2	1	1	EG13297	yaiO	Q47534	JW0349
yaiP	YAIP_ECOLI	Q47536	b0363	B	MD16	0	2			del-MD16	1	1	2	1	1	EG13298	yaiP	Q47536	JW0355
yaiS	YAIS_ECOLI	P71311	b0364	A	MD16	0	2			del-MD16	1	1	2	1	1	EG13302	yaiS	P71311	JW0356
tauA	TAUA_ECOLI	Q47537	b0365	G	MD16	0	2			del-MD16	1	1	2	1	1	EG13300	tauA	Q47537	JW0357
tauB	TAUB_ECOLI	Q47538	b0366	F1	MD16	0	2			del-MD16	1	1	2	1	1	EG13299	tauB	Q47538	JW0358
tauC	TAUC_ECOLI	Q47539	b0367	B	MD16	0	2			del-MD16	1	1	2	1	1	EG13301	tauC	Q47539	JW0359
tauD	TAUD_ECOLI	P37610	b0368	A	MD16	0	2		Common Core	del-MD16	1	1	2	1	1	EG12423	tauD	P37610	JW0360
yaiV	YAIV_ECOLI	P0AAP5	b0375	A	MD17	0	2			del-MD17	1	1	2	1	1	EG13607	yaiV	P0AAP5	JW0366
ampH	AMPH_ECOLI	P0AD70	b0376	G	MD17	0	2		Common Core	del-MD17	1	1	2	1	1	EG12867	ampH	P0AD70	JW5052
sbmA	SBMA_ECOLI	P0AFY6	b0377	B	MD17	0	2		Common Core	del-MD17	1	1	2	1	1	EG10928	sbmA	P0AFY6	JW0368
yaiW	YAIW_ECOLI	P77562	b0378	I	MD17	0	2			del-MD17	1	1	2	1	1	EG13608	yaiW	P77562	JW0369
yaiY	YAIY_ECOLI	P0AAP7	b0379	B	MD17	0	2		Common Core	del-MD17	1	1	2	1	1	EG14279	yaiY	P0AAP7	JW0370
yaiZ	YAIZ_ECOLI	P0AAQ0	b0380	B	MD17	0	2		Common Core	del-MD17	1	1	2	1	1	EG14280	yaiZ	P0AAQ0	JW5053
rhsD	RHSD_ECOLI	P16919	b0497	A	MD30	2	2	Rhs Element		del-MD30	1	1	2	1	1	EG10849	rhsD	P16919	JW0486
ybbC	YBBC_ECOLI	P33668	b0498	I	MD30	0	2			del-MD30	1	1	2	1	1	EG11769	ybbC	P33668	JW0487
intD	INTD_ECOLI	P24218	b0537	A		2	0	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"		del-MD12	1	1	2	1	1	EG10507	intD	P24218	JW0525
emrE	EMRE_ECOLI	P23895	b0543	B	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG10629	emrE	P23895	JW0531
ybcK	YBCK_ECOLI	P77698	b0544	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG13627	ybcK	P77698	JW0532
ybcL	YBCL_ECOLI	P77368	b0545	G	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG13628	ybcL	P77368	JW0533
ybcM	YBCM_ECOLI	P77634	b0546	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG13629	ybcM	P77634	JW0534
ybcN	YBCN_ECOLI	Q47269	b0547	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG13630	ybcN	Q47269	JW0535
ninE	NINE_ECOLI	Q47270	b0548	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG14286	ninE	Q47270	JW0536
ybcO	YBCO_ECOLI	P68661	b0549	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG13631	ybcO	P68661	JW0537
rusA	RUSA_ECOLI	P0AG74	b0550	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG20283	rusA	P0AG74	JW0538
ylcG	YLCG_ECOLI	Q47272	b4509	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG14354	ylcG	Q47272	JW5076
essD	ESSD_ECOLI	P0A9R2	b0554	B	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG13634	essD	P0A9R2	JW0543
rzpD	RZPD_ECOLI	P75719	b0556	G	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG13636	rzpD	P75719	JW5079
rzoD	RZOD_ECOLI	P58041	b4510	I	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG14380	rzoD	P58041	JW5080
borD	BORD_ECOLI	P77330	b0557	I	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG13637	borD	P77330	JW0546
ybcV	YBCV_ECOLI	P77598	b0558	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG13638	ybcV	P77598	JW5081
ybcW	YBCW_ECOLI	P64435	b0559	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG13639	ybcW	P64435	JW0548
appY	APPY_ECOLI	P05052	b0564	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG10050	appY	P05052	JW0553
ompT	OMPT_ECOLI	P09169	b0565	H	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	1	1	2	1	1	EG10673	ompT	P09169	JW0554
ybdF	YBDF_ECOLI	P0AAT2	b0579	A	MD14	0	2		Common Core	del-MD14	1	1	2	1	1	EG12619	ybdF	P0AAT2	JW5083
ybdJ	YBDJ_ECOLI	P77506	b0580	B	MD14	0	2			del-MD14	1	1	2	1	1	EG13643	ybdJ	P77506	JW0569
ybdK	CAAL_ECOLI	P77213	b0581	A	MD14	0	2		Common Core	del-MD14	1	1	2	1	1	EG13644	ybdK	P77213	JW0570
hokE	HOKE_ECOLI	P77091	b4415	B	MD14	0	2			del-MD14	1	1	2	1	1	EG14302	hokE	P77091	JW5084
rhsC	RHSC_ECOLI	P16918	b0700	A	MD31	2	2	Rhs Element		del-MD31	1	1	2	1	1	EG10848	rhsC	P16918	JW0689
ybfB	YBFB_ECOLI	P0AAU5	b0702	B	MD31	0	2			del-MD31	1	1	2	1	1	EG11522	ybfB	P0AAU5	JW0691
ybfC	YBFC_ECOLI	P28915	b0704	G	MD31	0	2			del-MD31	1	1	2	1	1	EG11523	ybfC	P28915	JW0693
ybfD	YBFD_ECOLI	P28916	b0706	B	MD31	2	2	"pseudogene (Ohman 2006);Transposase;Rhs Element"		del-MD31	1	1	2	1	1	EG11524	ybfD	P28916	JW0696
etp	ETP_ECOLI	P0ACZ2	b0982	A	MD35	0	2			del-MD35	1	1	2	1	1	EG13727	etp	P0ACZ2	JW5132
ycdT	YCDT_ECOLI	P75908	b1025	B	MD36	0	2			del-MD36	1	1	2	1	1	EG13866	ycdT	P75908	JW5143
ycdU	YCDU_ECOLI	P75910	b1029	B	MD36	0	2			del-MD36	1	1	2	1	1	EG13867	ycdU	P75910	JW1015
flgN	FLGN_ECOLI	P43533	b1070	A	MD26	0	2		Common Core	del-MD26	1	1	2	1	1	EG12665	flgN	P43533	JW1057
flgM	FLGM_ECOLI	P0AEM4	b1071	A	MD26	0	2			del-MD26	1	1	2	1	1	EG12664	flgM	P0AEM4	JW1058
flgA	FLGA_ECOLI	P75933	b1072	G	MD26	0	2			del-MD26	1	1	2	1	1	EG20263	flgA	P75933	JW1059
flgB	FLGB_ECOLI	P0ABW9	b1073	G	MD26	0	2		Common Core	del-MD26	1	1	2	1	1	EG14266	flgB	P0ABW9	JW1060
flgC	FLGC_ECOLI	P0ABX2	b1074	G	MD26	0	2		Common Core	del-MD26	1	1	2	1	1	EG14267	flgC	P0ABX2	JW1061
flgD	FLGD_ECOLI	P75936	b1075	F4	MD26	2	2	pseudogene (Ohman 2006) 		del-MD26	1	1	2	1	1	EG14268	flgD	P75936	JW1062
flgE	FLGE_ECOLI	P75937	b1076	F4	MD26	0	2			del-MD26	1	1	2	1	1	EG14269	flgE	P75937	JW1063
flgF	FLGF_ECOLI	P75938	b1077	G	MD26	0	2		Common Core	del-MD26	1	1	2	1	1	EG14270	flgF	P75938	JW1064
flgG	FLGG_ECOLI	P0ABX5	b1078	G	MD26	0	2		Common Core	del-MD26	1	1	2	1	1	EG14271	flgG	P0ABX5	JW1065
flgH	FLGH_ECOLI	P0A6S0	b1079	I	MD26	0	2		Common Core	del-MD26	1	1	2	1	1	EG20264	flgH	P0A6S0	JW5153
flgI	FLGI_ECOLI	P0A6S3	b1080	G	MD26	0	2			del-MD26	1	1	2	1	1	EG20265	flgI	P0A6S3	JW1067
flgJ	FLGJ_ECOLI	P75942	b1081	A	MD26	0	2		Common Core	del-MD26	1	1	2	1	1	EG14272	flgJ	P75942	JW1068
flgK	FLGK_ECOLI	P33235	b1082	F4	MD26	0	2		Common Core	del-MD26	1	1	2	1	1	EG11967	flgK	P33235	JW1069
flgL	FLGL_ECOLI	P29744	b1083	F4	MD26	0	2		Common Core	del-MD26	1	1	2	1	1	EG11545	flgL	P29744	JW1070
ymfD	YMFD_ECOLI	P75967	b1137	A		2	0	Prophage Integrase (EcoGene)		del-MD11	1	1	2	1	1	EG13448	ymfD	P75967	JW1123
ymfE	YMFE_ECOLI	P75968	b1138	B	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	1	1	2	1	1	EG13449	ymfE	P75968	JW5166
lit	LIT_ECOLI	P11072	b1139	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	1	1	2	1	1	EG10535	lit	P11072	JW1125
intE	INTE_ECOLI	P75969	b1140	A	MD11	2	2	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"		del-MD11	1	1	2	1	1	EG12370	intE	P75969	JW1126
ymfI	YMFI_ECOLI	P75972	b1143	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	1	1	2	1	1	EG14247	ymfI	P75972	JW5168
ymfJ	YMFJ_ECOLI	P75973	b1144	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	1	1	2	1	1	EG14248	ymfJ	P75973	Null
ymfL	YMFL_ECOLI	P75976	b1147	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	1	1	2	1	1	EG14250	ymfL	P75976	JW1133
ymfM	YMFM_ECOLI	P75977	b1148	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	1	1	2	1	1	EG14251	ymfM	P75977	JW1134
ymfR	YMFR_ECOLI	P75979	b1150	B	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	1	1	2	1	1	EG14336	ymfR	P75979	JW1136
ymfQ	YMFQ_ECOLI	P75982	b1153	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	1	1	2	1	1	EG14255	ymfQ	P75982	JW1139
tfaE	TFAE_ECOLI	P09153	b1156	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	1	1	2	1	1	EG11120	tfaE	P09153	JW1142
mcrA	MCRA_ECOLI	P24200	b1159	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	1	1	2	1	1	EG10573	mcrA	P24200	JW1145
ycgX	YCGX_ECOLI	P75988	b1161	A	MD11	0	2			del-MD11	1	1	2	1	1	EG14244	ycgX	P75988	JW1148
ycgE	YCGE_ECOLI	P75989	b1162	A	MD11	0	2			del-MD11	1	1	2	1	1	EG13886	ycgE	P75989	JW1149
ycgF	YCGF_ECOLI	P75990	b1163	A	MD11	0	2			del-MD11	1	1	2	1	1	EG13887	ycgF	P75990	JW1150
ycgZ	YCGZ_ECOLI	P75991	b1164	A	MD11	0	2			del-MD11	1	1	2	1	1	EG14288	ycgZ	P75991	JW1151
ymgA	YMGA_ECOLI	P75992	b1165	A	MD11	0	2			del-MD11	1	1	2	1	1	EG14289	ymgA	P75992	JW1152
ymgC	YMGC_ECOLI	P75994	b1167	A	MD11	0	2			del-MD11	1	1	2	1	1	EG14291	ymgC	P75994	JW1154
ycgG	YCGG_ECOLI	P75995	b1168	A	MD11	0	2			del-MD11	1	1	2	1	1	EG13888	ycgG	P75995	JW5174
ymgF	YMGF_ECOLI	P58034	b4520	B	MD11	0	2			del-MD11	1	1	2	1	1	EG14341	ymgF	P58034	JW1156
ymgD	YMGD_ECOLI	P0AB46	b1171	G	MD11	0	2			del-MD11	1	1	2	1	1	EG14292	ymgD	P0AB46	JW5177
ymgG	YMGG_ECOLI	Q7DFV3	b1172	B	MD11	0	2			del-MD11	1	1	2	1	1	EG14415	ymgG	Q7DFV3	Null
ycjG	AEEP_ECOLI	P51981	b1325	B	MD21	0	2		Common Core	del-MD21	1	1	2	1	1	EG13228	ycjG	P51981	JW1318
mpaA	MPAA_ECOLI	P0ACV6	b1326	A	MD21	0	2			del-MD21	1	1	2	1	1	EG13906	mpaA	P0ACV6	JW1319
ycjY	YCJY_ECOLI	P76049	b1327	A	MD21	0	2			del-MD21	1	1	2	1	1	EG13922	ycjY	P76049	JW5804
ycjZ	YCJZ_ECOLI	P77333	b1328	B	MD21	0	2			del-MD21	1	1	2	1	1	EG13923	ycjZ	P77333	JW1321
mppA	MPPA_ECOLI	P77348	b1329	G	MD21	0	2			del-MD21	1	1	2	1	1	EG13376	mppA	P77348	JW1322
ynaI	YNAI_ECOLI	P0AEB5	b1330	B	MD21	0	2		Common Core	del-MD21	1	1	2	1	1	EG13924	ynaI	P0AEB5	JW1323
ynaJ	YNAJ_ECOLI	P64445	b1332	B	MD21	0	2		Common Core	del-MD21	1	1	2	1	1	EG14294	ynaJ	P64445	JW1326
uspE	USPE_ECOLI	P0AAC0	b1333	A		0	0		Common Core	del-MD21	1	1	2	1	1	EG11246	uspE	P0AAC0	JW1327
abgT	ABGT_ECOLI	P46133	b1336	B		0	0			del-MD2	1	1	2	1	1	EG12853	abgT	P46133	JW5822
abgB	ABGB_ECOLI	P76052	b1337	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13351	abgB	P76052	JW1331
abgA	ABGA_ECOLI	P77357	b1338	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13352	abgA	P77357	JW5205
abgR	ABGR_ECOLI	P77744	b1339	A	MD2	0	2			del-MD2	1	1	2	1	1	EG13353	abgR	P77744	JW1333
