Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Gene names (OLN)	Entry name	EG	GN	SP	JW	Ori	LeftEnd	RightEnd
P12995	bioA		b0774	JW0757	BIOA_ECOLI	EG10117	bioA	P12995	JW0757	Counterclockwise	807191	808480
P12996	bioB		b0775	JW0758	BIOB_ECOLI	EG10118	bioB	P12996	JW0758	Clockwise	808567	809607
P12999	bioC		b0777	JW0760	BIOC_ECOLI	EG10119	bioC	P12999	JW0760	Clockwise	810745	811500
P13000	bioD		b0778	JW0761	BIOD_ECOLI	EG10120	bioD	P13000	JW0761	Clockwise	811493	812170
P12998	bioF		b0776	JW0759	BIOF_ECOLI	EG10121	bioF	P12998	JW0759	Clockwise	809604	810758
P13001	bioH	bioB	b3412	JW3375	BIOH_ECOLI	EG10122	bioH	P13001	JW3375	Counterclockwise	3542096	3542866
P06709	birA	bioR dhbB	b3973	JW3941	BIRA_ECOLI	EG10123	birA	P06709	JW3941	Clockwise	4171105	4172070
P20099	bisC		b3551	JW5940	BISC_ECOLI	EG10124	bisC	P20099	JW5940	Counterclockwise	3712084	3714417
P0ABE2	bolA		b0435	JW5060	BOLA_ECOLI	EG10125	bolA	P0ABE2	JW5060	Clockwise	453696	454013
P06129	btuB	bfe cer dcrC	b3966	JW3938	BTUB_ECOLI	EG10126	btuB	P06129	JW3938	Clockwise	4161662	4163506
P06609	btuC		b1711	JW1701	BTUC_ECOLI	EG10127	btuC	P06609	JW1701	Counterclockwise	1792196	1793176
P06611	btuD		b1709	JW1699	BTUD_ECOLI	EG10128	btuD	P06611	JW1699	Counterclockwise	1790833	1791582
P06610	btuE		b1710	JW1700	BTUE_ECOLI	EG10129	btuE	P06610	JW1700	Counterclockwise	1791582	1792133
P0A9H5	btuR	cobA	b1270	JW1262	BTUR_ECOLI	EG10130	btuR	P0A9H5	JW1262	Counterclockwise	1325791	1326381
P0A9H3	cadA	ldcI	b4131	JW4092	LDCI_ECOLI	EG10131	cadA	P0A9H3	JW4092	Counterclockwise	4354493	4356640
P0AAE8	cadB		b4132	JW4093	CADB_ECOLI	EG10132	cadB	P0AAE8	JW4093	Counterclockwise	4356720	4358054
P23890	cadC		b4133	JW4094	CADC_ECOLI	EG10133	cadC	P23890	JW4094	Counterclockwise	4358419	4359957
P0A6F1	carA	pyrA	b0032	JW0030	CARA_ECOLI	EG10134	carA	P0A6F1	JW0030	Clockwise	29651	30799
P00968	carB	pyrA	b0033	JW0031	CARB_ECOLI	EG10135	carB	P00968	JW0031	Clockwise	30817	34038
P06961	cca		b3056	JW3028	CCA_ECOLI	EG10136	cca	P06961	JW3028	Clockwise	3199913	3201151
P0ABF6	cdd		b2143	JW2131	CDD_ECOLI	EG10137	cdd	P0ABF6	JW2131	Clockwise	2229866	2230750
P06282	cdh		b3918	JW3889	CDH_ECOLI	EG10138	cdh	P06282	JW3889	Clockwise	4107953	4108708
P0ABG1	cdsA	cds	b0175	JW5810	CDSA_ECOLI	EG10139	cdsA	P0ABG1	JW5810	Clockwise	195677	196534
P69795	chbB	celA	b1738	JW1727	PTQB_ECOLI	EG10140	chbB	P69795	JW1727	Counterclockwise	1819323	1819643
P17334	chbC	celB	b1737	JW1726	PTQC_ECOLI	EG10141	chbC	P17334	JW1726	Counterclockwise	1817880	1819238
P69791	chbA	celC	b1736	JW1725	PTQA_ECOLI	EG10142	chbA	P69791	JW1725	Counterclockwise	1817479	1817829
P17410	chbR	celD	b1735	JW1724	CHBR_ECOLI	EG10143	chbR	P17410	JW1724	Counterclockwise	1816629	1817471
P17411	chbF	celF ydjD	b1734	JW1723	CHBF_ECOLI	EG10144	chbF	P17411	JW1723	Counterclockwise	1815172	1816524
P08369	creD	cet	b4400	JW4363	CRED_ECOLI	EG10145	creD	P08369	JW4363	Clockwise	4636201	4637553
P07363	cheA		b1888	JW1877	CHEA_ECOLI	EG10146	cheA	P07363	JW1877	Counterclockwise	1971384	1973348
P07330	cheB		b1883	JW1872	CHEB_ECOLI	EG10147	cheB	P07330	JW1872	Counterclockwise	1965476	1966525
P07364	cheR	cheX	b1884	JW1873	CHER_ECOLI	EG10148	cheR	P07364	JW1873	Counterclockwise	1966528	1967388
P0A964	cheW		b1887	JW1876	CHEW_ECOLI	EG10149	cheW	P0A964	JW1876	Counterclockwise	1970860	1971363
P0AE67	cheY		b1882	JW1871	CHEY_ECOLI	EG10150	cheY	P0AE67	JW1871	Counterclockwise	1965072	1965461
P0A9H9	cheZ		b1881	JW1870	CHEZ_ECOLI	EG10151	cheZ	P0A9H9	JW1870	Counterclockwise	1964417	1965061
P09833	modC	chlD narD	b0765	JW0748	MODC_ECOLI	EG10152	modC	P09833	JW0748	Clockwise	795777	796835
P12281	moeA	bisB chlE narE	b0827	JW0811	MOEA_ECOLI	EG10153	moeA	P12281	JW0811	Counterclockwise	864352	865587
P12282	moeB	chlN	b0826	JW0810	MOEB_ECOLI	EG10154	moeB	P12282	JW0810	Counterclockwise	863603	864352
P17315	cirA	cir feuA	b2155	JW2142	CIRA_ECOLI	EG10155	cirA	P17315	JW2142	Counterclockwise	2242800	2244791
P0ABH9	clpA	lopD	b0882	JW0866	CLPA_ECOLI	EG10156	clpA	P0ABH9	JW0866	Clockwise	922487	924763
P63284	clpB	htpM	b2592	JW2573	CLPB_ECOLI	EG10157	clpB	P63284	JW2573	Counterclockwise	2729622	2732195
P0A6G7	clpP	lopP	b0437	JW0427	CLPP_ECOLI	EG10158	clpP	P0A6G7	JW0427	Clockwise	455901	456524
P0A6H1	clpX	lopC	b0438	JW0428	CLPX_ECOLI	EG10159	clpX	P0A6H1	JW0428	Clockwise	456650	457924
P08331	cpdB		b4213	JW4171	CPDB_ECOLI	EG10160	cpdB	P08331	JW4171	Counterclockwise	4432645	4434588
P24174	manC	cpsB rfbM	b2049	JW2034	MANC_ECOLI	EG10161	cpsB	P24174	JW2034	Counterclockwise	2121108	2122544
P24175	manB	cpsG rfbL	b2048	JW2033	MANB_ECOLI	EG10162	cpsG	P24175	JW2033	Counterclockwise	2119633	2121003
P0AE82	cpxA	ecfB eup ssd	b3911	JW3882	CPXA_ECOLI	EG10163	cpxA	P0AE82	JW3882	Counterclockwise	4101625	4102998
P0ACJ8	crp	cap csm	b3357	JW5702	CRP_ECOLI	EG10164	crp	P0ACJ8	JW5702	Clockwise	3484142	3484774
P69783	crr	gsr iex tgs treD	b2417	JW2410	PTGA_ECOLI	EG10165	crr	P69783	JW2410	Clockwise	2533856	2534365
P0A9X9	cspA	cspS	b3556	JW3525	CSPA_ECOLI	EG10166	cspA	P0A9X9	JW3525	Clockwise	3718072	3718284
P15078	cstA	ybdC	b0598	JW0590	CSTA_ECOLI	EG10167	cstA	P15078	JW0590	Clockwise	629117	631222
P23930	lnt	cutE	b0657	JW0654	LNT_ECOLI	EG10168	lnt	P23930	JW0654	Counterclockwise	688566	690104
P08550	cvpA	dedE	b2313	JW2310	CVPA_ECOLI	EG10169	cvpA	P08550	JW2310	Counterclockwise	2428297	2428785
P00936	cyaA	cya	b3806	JW3778	CYAA_ECOLI	EG10170	cyaA	P00936	JW3778	Clockwise	3989176	3991722
P0ABE5	cybB		b1418	JW5224	C561_ECOLI	EG10172	cybB	P0ABE5	JW5224	Clockwise	1488926	1489456
P0ABJ9	cydA	cyd-1	b0733	JW0722	CYDA_ECOLI	EG10173	cydA	P0ABJ9	JW0722	Clockwise	770681	772249
P0ABK2	cydB	cyd-2	b0734	JW0723	CYDB_ECOLI	EG10174	cydB	P0ABK2	JW0723	Clockwise	772265	773404
P00816	cynS	cnt	b0340	JW0331	CYNS_ECOLI	EG10175	cynS	P00816	JW0331	Clockwise	358713	359183
P0ABE9	cynT		b0339	JW0330	CYNT_ECOLI	EG10176	cynT	P0ABE9	JW0330	Clockwise	358023	358682
P17583	cynX		b0341	JW0332	CYNX_ECOLI	EG10177	cynX	P17583	JW0332	Clockwise	359216	360370
P0ABJ1	cyoA		b0432	JW0422	CYOA_ECOLI	EG10178	cyoA	P0ABJ1	JW0422	Counterclockwise	449887	450834
P0ABI8	cyoB		b0431	JW0421	CYOB_ECOLI	EG10179	cyoB	P0ABI8	JW0421	Counterclockwise	447874	449865
P0ABJ3	cyoC		b0430	JW0420	CYOC_ECOLI	EG10180	cyoC	P0ABJ3	JW0420	Counterclockwise	447270	447884
P0ABJ6	cyoD		b0429	JW0419	CYOD_ECOLI	EG10181	cyoD	P0ABJ6	JW0419	Counterclockwise	446941	447270
P0AEA5	cyoE		b0428	JW0418	CYOE_ECOLI	EG10182	cyoE	P0AEA5	JW0418	Counterclockwise	446039	446929
P16676	cysA		b2422	JW2415	CYSA_ECOLI	EG10183	cysA	P16676	JW2415	Counterclockwise	2537739	2538836
P0A9F3	cysB		b1275	JW1267	CYSB_ECOLI	EG10184	cysB	P0A9F3	JW1267	Clockwise	1331879	1332853
P0A6J1	cysC		b2750	JW2720	CYSC_ECOLI	EG10185	cysC	P0A6J1	JW2720	Counterclockwise	2871409	2872014
P21156	cysD		b2752	JW2722	CYSD_ECOLI	EG10186	cysD	P21156	JW2722	Counterclockwise	2873443	2874351
P0A9D4	cysE		b3607	JW3582	CYSE_ECOLI	EG10187	cysE	P0A9D4	JW3582	Counterclockwise	3779764	3780585
P0AEA8	cysG		b3368	JW3331	CYSG_ECOLI	EG10188	cysG	P0AEA8	JW3331	Clockwise	3495850	3497223
P17854	cysH		b2762	JW2732	CYSH_ECOLI	EG10189	cysH	P17854	JW2732	Counterclockwise	2885600	2886334
P17846	cysI		b2763	JW2733	CYSI_ECOLI	EG10190	cysI	P17846	JW2733	Counterclockwise	2886409	2888121
P38038	cysJ		b2764	JW2734	CYSJ_ECOLI	EG10191	cysJ	P38038	JW2734	Counterclockwise	2888121	2889920
P0ABK5	cysK	cysZ	b2414	JW2407	CYSK_ECOLI	EG10192	cysK	P0ABK5	JW2407	Clockwise	2530431	2531402
P16703	cysM		b2421	JW2414	CYSM_ECOLI	EG10193	cysM	P16703	JW2414	Counterclockwise	2536694	2537605
P23845	cysN		b2751	JW2721	CYSN_ECOLI	EG10194	cysN	P23845	JW2721	Counterclockwise	2872014	2873441
P16700	cysP		b2425	JW2418	CYSP_ECOLI	EG10195	cysP	P16700	JW2418	Counterclockwise	2540534	2541550
P21888	cysS		b0526	JW0515	SYC_ECOLI	EG10196	cysS	P21888	JW0515	Clockwise	553834	555219
P16701	cysU	cysT	b2424	JW2417	CYST_ECOLI	EG10197	cysU	P16701	JW2417	Counterclockwise	2539701	2540534
P0AEB0	cysW		b2423	JW2416	CYSW_ECOLI	EG10198	cysW	P0AEB0	JW2416	Counterclockwise	2538826	2539701
P0ACN7	cytR		b3934	JW3905	CYTR_ECOLI	EG10200	cytR	P0ACN7	JW3905	Counterclockwise	4121454	4122479
P0AEB2	dacA	pfv	b0632	JW0627	DACA_ECOLI	EG10201	dacA	P0AEB2	JW0627	Counterclockwise	661975	663186
P24228	dacB		b3182	JW3149	DACB_ECOLI	EG10202	dacB	P24228	JW3149	Clockwise	3326985	3328418
P08506	dacC		b0839	JW0823	DACC_ECOLI	EG10203	dacC	P08506	JW0823	Clockwise	879950	881152
P0AEE8	dam		b3387	JW3350	DMA_ECOLI	EG10204	dam	P0AEE8	JW3350	Counterclockwise	3513099	3513935
P0A6L2	dapA		b2478	JW2463	DAPA_ECOLI	EG10205	dapA	P0A6L2	JW2463	Counterclockwise	2596904	2597782
P04036	dapB		b0031	JW0029	DAPB_ECOLI	EG10206	dapB	P04036	JW0029	Clockwise	28374	29195
P0A9D8	dapD		b0166	JW0161	DAPD_ECOLI	EG10207	dapD	P0A9D8	JW0161	Counterclockwise	185123	185947
P0AED7	dapE	msgB	b2472	JW2456	DAPE_ECOLI	EG10208	dapE	P0AED7	JW2456	Clockwise	2589629	2590756
P0A6K1	dapF		b3809	JW5592	DAPF_ECOLI	EG10209	dapF	P0A6K1	JW5592	Clockwise	3992785	3993609
P21693	dbpA		b1343	JW1337	DBPA_ECOLI	EG10210	dbpA	P21693	JW1337	Clockwise	1407535	1408908
P0AED9	dcm	mec	b1961	JW1944	DCM_ECOLI	EG10211	dcm	P0AED9	JW1944	Counterclockwise	2028923	2030341
P24171	dcp		b1538	JW1531	DCP_ECOLI	EG10212	dcp	P24171	JW1531	Counterclockwise	1623359	1625404
P0A6J8	ddlA		b0381	JW0372	DDLA_ECOLI	EG10213	ddlA	P0A6J8	JW0372	Counterclockwise	399053	400147
P07862	ddlB	ddl	b0092	JW0090	DDLB_ECOLI	EG10214	ddlB	P07862	JW0090	Clockwise	102233	103153
P0A9P6	deaD	csdA mssB rhlD	b3162	JW5531	DEAD_ECOLI	EG10215	deaD	P0A9P6	JW5531	Counterclockwise	3303993	3305882
P0ABP6	dedA		b2317	JW2314	DEDA_ECOLI	EG10216	dedA	P0ABP6	JW2314	Counterclockwise	2432104	2432763
P0A9Q5	accD	dedB usg	b2316	JW2313	ACCD_ECOLI	EG10217	accD	P0A9Q5	JW2313	Counterclockwise	2431034	2431948
P09549	dedD		b2314	JW5378	DEDD_ECOLI	EG10218	dedD	P09549	JW5378	Counterclockwise	2429044	2429706
P07650	deoA	tpp ttg	b4382	JW4345	TYPH_ECOLI	EG10219	deoA	P07650	JW4345	Clockwise	4616252	4617574
