K12 Entry name (Uniprot)	BL21(DE3) Accession name (Uniprot)
SUFD_ECOLI	C6ECS4
SUFS_ECOLI	C6ECS5
YNHG_ECOLI	C6ECS7
KPYK1_ECOLI	C6ECS9
YDHY_ECOLI	C6ECT1
YDHT_ECOLI	C6ECT6
YDHQ_ECOLI	C6ECT9
MDTK_ECOLI	C6ECU0
RISA_ECOLI	C6ECU1
CFA_ECOLI	C6ECU2
YDHB_ECOLI	C6ECU4
SODF_ECOLI	C6ECU7
GLRX4_ECOLI	C6ECU9
RNT_ECOLI	C6ECV1
LGUL_ECOLI	C6ECV2
NEMA_ECOLI	C6ECV3
NEMR_ECOLI	C6ECV4
HFQ_ECOLI	C6ECV6
MIAA_ECOLI	C6ECV7
MUTL_ECOLI	C6ECV8
AMIB_ECOLI	C6ECV9
YJEE_ECOLI	C6ECW0
YJES_ECOLI	C6ECW2
ORN_ECOLI	C6ECW3
RSGA_ECOLI	C6ECW4
YJEP_ECOLI	C6ECW6
YJEA_ECOLI	C6ECW8
FRDA_ECOLI	C6ECW9
AMPC_ECOLI	C6ECX3
BLC_ECOLI	C6ECX4
EFP_ECOLI	C6ECX8
YJEJ_ECOLI	C6ECY0
YJEI_ECOLI	C6ECY1
CH60_ECOLI	C6ECY2
ASPA_ECOLI	C6ECY6
CADB_ECOLI	C6ECZ2
LDCI_ECOLI	C6ECZ3
YJDL_ECOLI	C6ECZ4
SYK2_ECOLI	C6ECZ5
FUMB_ECOLI	C6ED02
AGAL_ECOLI	C6ED05
MELR_ECOLI	C6ED06
ADIC_ECOLI	C6ED09
EPTA_ECOLI	C6ED10
BASR_ECOLI	C6ED11
BASS_ECOLI	C6ED12
PROP_ECOLI	C6ED13
YJCZ_ECOLI	C6ED14
PHNC_ECOLI	C6ED18
PHND_ECOLI	C6ED19
PHNF_ECOLI	C6ED21
PHNG_ECOLI	C6ED22
PHNH_ECOLI	C6ED23
PHNI_ECOLI	C6ED24
PHNK_ECOLI	C6ED26
PHNL_ECOLI	C6ED27
PHNM_ECOLI	C6ED28
PHNO_ECOLI	C6ED30
MDTO_ECOLI	C6ED43
MDTP_ECOLI	C6ED44
YJCO_ECOLI	C6ED47
GLTP_ECOLI	C6ED48
NRFG_ECOLI	C6ED49
NRFC_ECOLI	C6ED53
NRFA_ECOLI	C6ED55
ACSA_ECOLI	C6ED56
SOXR_ECOLI	C6ED61
YJCB_ECOLI	C6ED64
SSB_ECOLI	C6ED65
YJBR_ECOLI	C6ED67
YJBQ_ECOLI	C6ED68
TYRB_ECOLI	C6ED71
ALR1_ECOLI	C6ED72
YIDA_ECOLI	C6ED73
YIDR_ECOLI	C6ED81
YIDQ_ECOLI	C6ED82
IBPA_ECOLI	C6ED83
IBPB_ECOLI	C6ED84
YIDF_ECOLI	C6ED94
ILVB_ECOLI	C6ED98
ILVN_ECOLI	C6ED99
UHPA_ECOLI	C6EDA0
UHPC_ECOLI	C6EDA2
UHPT_ECOLI	C6EDA3
YICO_ECOLI	C6EDA5
YICN_ECOLI	C6EDA6
NEPI_ECOLI	C6EDA7
YICJ_ECOLI	C6EDD2
YICH_ECOLI	C6EDD4
XANP_ECOLI	C6EDD5
RECG_ECOLI	C6EDD8
TRMH_ECOLI	C6EDD9
SPOT_ECOLI	C6EDE0
KGUA_ECOLI	C6EDE2
LIGB_ECOLI	C6EDE3
YICC_ECOLI	C6EDE7
PYRE_ECOLI	C6EDE9
SLMA_ECOLI	C6EDF0
DUT_ECOLI	C6EDF1
YICR_ECOLI	C6EDF3
FPG_ECOLI	C6EDF6
KDTA_ECOLI	C6EDF8
RFAC_ECOLI	C6EDG9
RFAF_ECOLI	C6EDH0
HLDD_ECOLI	C6EDH1
KBL_ECOLI	C6EDH2
TDH_ECOLI	C6EDH3
YIBD_ECOLI	C6EDH4
YIBQ_ECOLI	C6EDH5
YIBP_ECOLI	C6EDH6
GPMI_ECOLI	C6EDH7
YIBN_ECOLI	C6EDH8
SECB_ECOLI	C6EDI0
GPDA_ECOLI	C6EDI1
CYSE_ECOLI	C6EDI2
YIBK_ECOLI	C6EDI3
LLDD_ECOLI	C6EDI4
LLDR_ECOLI	C6EDI5
MTLR_ECOLI	C6EDJ1
MTLD_ECOLI	C6EDJ2
PTM3C_ECOLI	C6EDJ3
YIBI_ECOLI	C6EDJ4
YIBH_ECOLI	C6EDJ5
YDHF_ECOLI	C6EDJ8
SODC_ECOLI	C6EDJ9
SLYA_ECOLI	C6EDK3
ANMK_ECOLI	C6EDK5
MLIC_ECOLI	C6EDK6
PDXH_ECOLI	C6EDK7
PDXY_ECOLI	C6EDK9
GST_ECOLI	C6EDL0
DTPA_ECOLI	C6EDL1
END3_ECOLI	C6EDL3
RNFG_ECOLI	C6EDL5
RNFD_ECOLI	C6EDL6
RNFB_ECOLI	C6EDL8
RNFA_ECOLI	C6EDL9
YDGJ_ECOLI	C6EDM3
ADD_ECOLI	C6EDM4
MALY_ECOLI	C6EDM5
HDHA_ECOLI	C6EDM8
UIDR_ECOLI	C6EDM9
BGLR_ECOLI	C6EDN0
YDGA_ECOLI	C6EDN4
MANA_ECOLI	C6EDN5
FUMA_ECOLI	C6EDN6
FUMC_ECOLI	C6EDN7
TUS_ECOLI	C6EDN8
RSTB_ECOLI	C6EDN9
RSTA_ECOLI	C6EDP0
YDGC_ECOLI	C6EDP1
FOLM_ECOLI	C6EDP2
ARCD_ECOLI	C6EDP3
PNTA_ECOLI	C6EDP5
PNTB_ECOLI	C6EDP6
YDGD_ECOLI	C6EDQ0
YNFM_ECOLI	C6EDQ2
YNFL_ECOLI	C6EDQ3
MLC_ECOLI	C6EDQ4
BIOD2_ECOLI	C6EDQ5
DMSD_ECOLI	C6EDQ7
YNFG_ECOLI	C6EDQ9
YNFC_ECOLI	C6EDR3
ATDA_ECOLI	C6EDR4
YNFA_ECOLI	C6EDR6
YDFI_ECOLI	C6EDU4
YDFH_ECOLI	C6EDU6
YDFG_ECOLI	C6EDU7
DCP_ECOLI	C6EDU8
YDEH_ECOLI	C6EDV1
EAMA_ECOLI	C6EDV4
MARA_ECOLI	C6EDV6
MARR_ECOLI	C6EDV7
MARC_ECOLI	C6EDW0
YNEI_ECOLI	C6EDW4
DNAB_ECOLI	C6EDW8
DUSA_ECOLI	C6EDX1
ZUR_ECOLI	C6EDX4
LEXA_ECOLI	C6EDX7
LAMB_ECOLI	C6EDY6
MALK_ECOLI	C6EDY7
MALE_ECOLI	C6EDY9
MALF_ECOLI	C6EDZ0
MALG_ECOLI	C6EDZ1
YJBH_ECOLI	C6EDZ5
YJBF_ECOLI	C6EDZ7
G6PI_ECOLI	C6EDZ9
RLUF_ECOLI	C6EE02
PEPE_ECOLI	C6EE03
METH_ECOLI	C6EE05
ICLR_ECOLI	C6EE06
ACEK_ECOLI	C6EE07
ACEA_ECOLI	C6EE08
MASY_ECOLI	C6EE09
META_ECOLI	C6EE10
YJAB_ECOLI	C6EE11
PUR9_ECOLI	C6EE12
PUR2_ECOLI	C6EE13
YJAH_ECOLI	C6EE17
DBHA_ECOLI	C6EE18
YJAG_ECOLI	C6EE19
NFI_ECOLI	C6EE20
DCUP_ECOLI	C6EE21
NUDC_ECOLI	C6EE22
RSD_ECOLI	C6EE23
THIC_ECOLI	C6EE24
THIE_ECOLI	C6EE25
THIF_ECOLI	C6EE26
THIG_ECOLI	C6EE28
THIH_ECOLI	C6EE29
RPOC_ECOLI	C6EE31
RPOB_ECOLI	C6EE32
RL10_ECOLI	C6EE34
NUSG_ECOLI	C6EE37
COAA_ECOLI	C6EE40
BIRA_ECOLI	C6EE41
MURB_ECOLI	C6EE42
MURI_ECOLI	C6EE43
TRMA_ECOLI	C6EE44
YIJD_ECOLI	C6EE45
STHA_ECOLI	C6EE47
OXYR_ECOLI	C6EE48
ARLY_ECOLI	C6EE49
ARGB_ECOLI	C6EE50
ARGC_ECOLI	C6EE51
ARGE_ECOLI	C6EE52
CAPP_ECOLI	C6EE53
CPTA_ECOLI	C6EE54
YIJO_ECOLI	C6EE55
PTFB3_ECOLI	C6EE56
PFLC_ECOLI	C6EE57
PFLD_ECOLI	C6EE58
PTFX2_ECOLI	C6EE61
FSAB_ECOLI	C6EE62
GLDA_ECOLI	C6EE63
YIJE_ECOLI	C6EE65
KATG_ECOLI	C6EE66
METF_ECOLI	C6EE67
AK2H_ECOLI	C6EE68
METB_ECOLI	C6EE69
METJ_ECOLI	C6EE70
PRIA_ECOLI	C6EE74
CYTR_ECOLI	C6EE75
HSLV_ECOLI	C6EE77
HSLU_ECOLI	C6EE78
MENA_ECOLI	C6EE79
SELB_ECOLI	C6EE85
ADH2_ECOLI	C6EE86
YSAA_ECOLI	C6EEA6
AVTA_ECOLI	C6EEA7
AMY1_ECOLI	C6EEA8
BAX_ECOLI	C6EEA9
XYLR_ECOLI	C6EEB0
XYLF_ECOLI	C6EEB2
XYLA_ECOLI	C6EEB3
SYGB_ECOLI	C6EEC0
YIAG_ECOLI	C6EEC5
YIAF_ECOLI	C6EEC7
GHRB_ECOLI	C6EEC8
YIAC_ECOLI	C6EED1
EPTB_ECOLI	C6EED5
DPPA_ECOLI	C6EED6
DPPB_ECOLI	C6EED7
DPPF_ECOLI	C6EEE0
YHJV_ECOLI	C6EEE1
BCSB_ECOLI	C6EEF1
GUN_ECOLI	C6EEF2
YHJK_ECOLI	C6EEF4
YHJJ_ECOLI	C6EEF6
KDGK_ECOLI	C6EEF7
YHJH_ECOLI	C6EEF8
YHJD_ECOLI	C6EEG1
YHJC_ECOLI	C6EEG2
YHJB_ECOLI	C6EEG3
TREF_ECOLI	C6EEG4
DCEA_ECOLI	C6EEG6
