Total Length (aa)	
175	HYDN_ECOLI
199	YIHX_ECOLI
199	YIHX_ECOLI
261	YIHW_ECOLI
261	YIHW_ECOLI
261	YIHW_ECOLI
261	YIHW_ECOLI
330	YEFG_ECOLI
330	YEFG_ECOLI
330	YEFG_ECOLI
165	YEBR_ECOLI
165	YEBR_ECOLI
165	YEBR_ECOLI
410	YCAQ_ECOLI
410	YCAQ_ECOLI
451	MENE_ECOLI
451	MENE_ECOLI
451	MENE_ECOLI
451	MENE_ECOLI
451	MENE_ECOLI
451	MENE_ECOLI
968	RAPA_ECOLI
968	RAPA_ECOLI
292	YJCZ_ECOLI
292	YJCZ_ECOLI
292	YJCZ_ECOLI
72	YBDZ_ECOLI
290	HYPB_ECOLI
290	HYPB_ECOLI
118	RS13_ECOLI
18	IBSB_ECOLI
101	ULAB_ECOLI
101	ULAB_ECOLI
193	ACPH_ECOLI
256	GARL_ECOLI
256	GARL_ECOLI
256	GARL_ECOLI
256	GARL_ECOLI
256	GARL_ECOLI
302	MELR_ECOLI
302	MELR_ECOLI
302	MELR_ECOLI
302	MELR_ECOLI
403	ELAD_ECOLI
225	YBIX_ECOLI
225	YBIX_ECOLI
312	LRHA_ECOLI
312	LRHA_ECOLI
312	LRHA_ECOLI
252	AROD_ECOLI
252	AROD_ECOLI
252	AROD_ECOLI
540	NADB_ECOLI
540	NADB_ECOLI
540	NADB_ECOLI
540	NADB_ECOLI
540	NADB_ECOLI
84	YRBA_ECOLI
84	YRBA_ECOLI
136	YDII_ECOLI
136	YDII_ECOLI
382	YDET_ECOLI
382	YDET_ECOLI
382	YDET_ECOLI
382	YDET_ECOLI
382	YDET_ECOLI
220	EXOX_ECOLI
220	EXOX_ECOLI
772	XYLS_ECOLI
772	XYLS_ECOLI
810	AK2H_ECOLI
810	AK2H_ECOLI
810	AK2H_ECOLI
810	AK2H_ECOLI
810	AK2H_ECOLI
810	AK2H_ECOLI
810	AK2H_ECOLI
250	REQ2_ECOLI
250	REQ2_ECOLI
137	IBPA_ECOLI
199	YGCH_ECOLI
199	YGCH_ECOLI
351	YCJS_ECOLI
351	YCJS_ECOLI
351	YCJS_ECOLI
351	YCJS_ECOLI
351	YCJS_ECOLI
320	HEMH_ECOLI
320	HEMH_ECOLI
320	HEMH_ECOLI
320	HEMH_ECOLI
320	HEMH_ECOLI
187	PABA_ECOLI
187	PABA_ECOLI
362	SERC_ECOLI
362	SERC_ECOLI
362	SERC_ECOLI
157	YMFO_ECOLI
157	YMFO_ECOLI
157	YMFO_ECOLI
132	TESC_ECOLI
132	TESC_ECOLI
373	SGCX_ECOLI
373	SGCX_ECOLI
373	SGCX_ECOLI
384	AGAS_ECOLI
384	AGAS_ECOLI
384	AGAS_ECOLI
384	AGAS_ECOLI
384	AGAS_ECOLI
384	AGAS_ECOLI
384	AGAS_ECOLI
384	AGAS_ECOLI
248	YDAV_ECOLI
248	YDAV_ECOLI
92	RS19_ECOLI
281	PHNJ_ECOLI
281	PHNJ_ECOLI
281	PHNJ_ECOLI
90	DBHA_ECOLI
505	SYK1_ECOLI
505	SYK1_ECOLI
505	SYK1_ECOLI
407	GLCF_ECOLI
407	GLCF_ECOLI
407	GLCF_ECOLI
407	GLCF_ECOLI
407	GLCF_ECOLI
126	ACPS_ECOLI
126	ACPS_ECOLI
406	FABB_ECOLI
406	FABB_ECOLI
406	FABB_ECOLI
406	FABB_ECOLI
406	FABB_ECOLI
406	FABB_ECOLI
406	FABB_ECOLI
406	FABB_ECOLI
176	FLAV_ECOLI
120	YACL_ECOLI
759	YEHM_ECOLI
759	YEHM_ECOLI
759	YEHM_ECOLI
759	YEHM_ECOLI
520	TRPE_ECOLI
520	TRPE_ECOLI
520	TRPE_ECOLI
520	TRPE_ECOLI
130	YFFR_ECOLI
130	YFFR_ECOLI
130	YFFR_ECOLI
130	YFFR_ECOLI
865	ACON2_ECOLI
865	ACON2_ECOLI
865	ACON2_ECOLI
865	ACON2_ECOLI
343	RSMC_ECOLI
343	RSMC_ECOLI
343	RSMC_ECOLI
711	PNP_ECOLI
711	PNP_ECOLI
711	PNP_ECOLI
711	PNP_ECOLI
305	RNZ_ECOLI
532	RTCR_ECOLI
532	RTCR_ECOLI
174	AROL_ECOLI
174	AROL_ECOLI
174	AROL_ECOLI
181	YJHQ_ECOLI
181	YJHQ_ECOLI
181	YJHQ_ECOLI
338	INSH6_ECOLI
338	INSH6_ECOLI
338	INSH6_ECOLI
301	FEAR_ECOLI
301	FEAR_ECOLI
301	FEAR_ECOLI
301	FEAR_ECOLI
172	YNCA_ECOLI
172	YNCA_ECOLI
172	YNCA_ECOLI
434	INGK_ECOLI
434	INGK_ECOLI
434	INGK_ECOLI
434	INGK_ECOLI
434	INGK_ECOLI
434	INGK_ECOLI
434	INGK_ECOLI
182	YGFA_ECOLI
182	YGFA_ECOLI
182	YGFA_ECOLI
339	GPDA_ECOLI
339	GPDA_ECOLI
339	GPDA_ECOLI
339	GPDA_ECOLI
339	GPDA_ECOLI
68	YBCW_ECOLI
144	PHNO_ECOLI
87	YBCC_ECOLI
314	TRUB_ECOLI
314	TRUB_ECOLI
314	TRUB_ECOLI
329	PDXA_ECOLI
329	PDXA_ECOLI
329	PDXA_ECOLI
329	PDXA_ECOLI
329	PDXA_ECOLI
329	PDXA_ECOLI
329	PDXA_ECOLI
243	PDXJ_ECOLI
243	PDXJ_ECOLI
243	PDXJ_ECOLI
256	THIG_ECOLI
256	THIG_ECOLI
256	THIG_ECOLI
256	THIG_ECOLI
256	THIG_ECOLI
173	AROK_ECOLI
229	TRMH_ECOLI
229	TRMH_ECOLI
229	TRMH_ECOLI
229	TRMH_ECOLI
70	ALPA_ECOLI
258	HIS6_ECOLI
258	HIS6_ECOLI
258	HIS6_ECOLI
271	YAHL_ECOLI
546	PGM_ECOLI
546	PGM_ECOLI
546	PGM_ECOLI
323	CMOB_ECOLI
323	CMOB_ECOLI
323	CMOB_ECOLI
137	Y4286_ECOLI
119	YEAR_ECOLI
119	YEAR_ECOLI
337	ASCG_ECOLI
337	ASCG_ECOLI
337	ASCG_ECOLI
87	YBED_ECOLI
246	PFLA_ECOLI
246	PFLA_ECOLI
334	SYW_ECOLI
334	SYW_ECOLI
334	SYW_ECOLI
334	SYW_ECOLI
239	TRMB_ECOLI
239	TRMB_ECOLI
239	TRMB_ECOLI
324	GHRB_ECOLI
324	GHRB_ECOLI
324	GHRB_ECOLI
246	WECG_ECOLI
246	WECG_ECOLI
246	WECG_ECOLI
246	WECG_ECOLI
410	SERA_ECOLI
410	SERA_ECOLI
410	SERA_ECOLI
410	SERA_ECOLI
410	SERA_ECOLI
410	SERA_ECOLI
95	EUTN_ECOLI
95	EUTN_ECOLI
95	EUTN_ECOLI
160	YFJY_ECOLI
160	YFJY_ECOLI
244	YPDB_ECOLI
244	YPDB_ECOLI
189	NOHA_ECOLI
692	FHLA_ECOLI
692	FHLA_ECOLI
209	RL3_ECOLI
209	RL3_ECOLI
310	GLSA1_ECOLI
310	GLSA1_ECOLI
310	GLSA1_ECOLI
310	GLSA1_ECOLI
310	GLSA1_ECOLI
310	GLSA1_ECOLI
310	GLSA1_ECOLI
418	HEM1_ECOLI
418	HEM1_ECOLI
446	GUDX_ECOLI
446	GUDX_ECOLI
446	GUDX_ECOLI
446	GUDX_ECOLI
446	GUDX_ECOLI
560	LIGB_ECOLI
560	LIGB_ECOLI
560	LIGB_ECOLI
560	LIGB_ECOLI
560	LIGB_ECOLI
329	LDHD_ECOLI
329	LDHD_ECOLI
329	LDHD_ECOLI
329	LDHD_ECOLI
165	YIDF_ECOLI
165	YIDF_ECOLI
364	GCST_ECOLI
364	GCST_ECOLI
364	GCST_ECOLI
364	GCST_ECOLI
286	KBAY_ECOLI
286	KBAY_ECOLI
286	KBAY_ECOLI
286	KBAY_ECOLI
218	PRP2_ECOLI
218	PRP2_ECOLI
252	YCIK_ECOLI
252	YCIK_ECOLI
252	YCIK_ECOLI
242	GADW_ECOLI
242	GADW_ECOLI
242	GADW_ECOLI
216	YABP_ECOLI
216	YABP_ECOLI
81	MOAD_ECOLI
411	YEIA_ECOLI
411	YEIA_ECOLI
411	YEIA_ECOLI
411	YEIA_ECOLI
334	FRUR_ECOLI
334	FRUR_ECOLI
334	FRUR_ECOLI
334	FRUR_ECOLI
345	YHHX_ECOLI
345	YHHX_ECOLI
809	HRPB_ECOLI
809	HRPB_ECOLI
1018	YDIJ_ECOLI
1018	YDIJ_ECOLI
1018	YDIJ_ECOLI
1018	YDIJ_ECOLI
46	YLCG_ECOLI
286	YDBC_ECOLI
286	YDBC_ECOLI
88	YKFJ_ECOLI
88	YKFJ_ECOLI
119	GUTM_ECOLI
119	GUTM_ECOLI
119	GUTM_ECOLI
315	TRER_ECOLI
315	TRER_ECOLI
315	TRER_ECOLI
315	TRER_ECOLI
133	YJFI_ECOLI
133	YJFI_ECOLI
374	RFAG_ECOLI
374	RFAG_ECOLI
371	YNEK_ECOLI
371	YNEK_ECOLI
371	YNEK_ECOLI
630	PARE_ECOLI
630	PARE_ECOLI
630	PARE_ECOLI
308	GLUQ_ECOLI
217	ELBB_ECOLI
217	ELBB_ECOLI
217	ELBB_ECOLI
217	ELBB_ECOLI
302	CYSD_ECOLI
302	CYSD_ECOLI
302	CYSD_ECOLI
302	CYSD_ECOLI
302	CYSD_ECOLI
183	FLIZ_ECOLI
310	ARCL_ECOLI
310	ARCL_ECOLI
310	ARCL_ECOLI
310	ARCL_ECOLI
85	YBFK_ECOLI
315	YDJH_ECOLI
315	YDJH_ECOLI
315	YDJH_ECOLI
315	YDJH_ECOLI
315	YDJH_ECOLI
315	YDJH_ECOLI
466	DCEB_ECOLI
466	DCEB_ECOLI
466	DCEB_ECOLI
466	DCEB_ECOLI
466	DCEB_ECOLI
466	DCEB_ECOLI
237	YAAW_ECOLI
533	MASY_ECOLI
533	MASY_ECOLI
533	MASY_ECOLI
533	MASY_ECOLI
533	MASY_ECOLI
158	BFR_ECOLI
421	RHLB_ECOLI
421	RHLB_ECOLI
421	RHLB_ECOLI
421	RHLB_ECOLI
338	LPLA_ECOLI
338	LPLA_ECOLI
257	SRLR_ECOLI
257	SRLR_ECOLI
257	SRLR_ECOLI
442	YJBI_ECOLI
442	YJBI_ECOLI
442	YJBI_ECOLI
442	YJBI_ECOLI
254	YQJH_ECOLI
254	YQJH_ECOLI
161	RRAA_ECOLI
161	RRAA_ECOLI
161	RRAA_ECOLI
328	YJHU_ECOLI
328	YJHU_ECOLI
328	YJHU_ECOLI
328	YJHU_ECOLI
328	YJHU_ECOLI
328	YJHU_ECOLI
286	YNIA_ECOLI
338	INSH7_ECOLI
338	INSH7_ECOLI
338	INSH7_ECOLI
338	INSH7_ECOLI
338	INSH7_ECOLI
269	RECT_ECOLI
773	YHGF_ECOLI
773	YHGF_ECOLI
773	YHGF_ECOLI
686	PTRB_ECOLI
686	PTRB_ECOLI
686	PTRB_ECOLI
686	PTRB_ECOLI
686	PTRB_ECOLI
686	PTRB_ECOLI
325	YBEQ_ECOLI
325	YBEQ_ECOLI
325	YBEQ_ECOLI
325	YBEQ_ECOLI
325	YBEQ_ECOLI
354	ADA_ECOLI
354	ADA_ECOLI
354	ADA_ECOLI
354	ULAG_ECOLI
354	ULAG_ECOLI
253	KDUD_ECOLI
253	KDUD_ECOLI
253	KDUD_ECOLI
348	MCRC_ECOLI
348	MCRC_ECOLI
348	MCRC_ECOLI
348	MCRC_ECOLI
282	3MG2_ECOLI
282	3MG2_ECOLI
282	3MG2_ECOLI
282	3MG2_ECOLI
282	3MG2_ECOLI
282	3MG2_ECOLI
309	TUS_ECOLI
309	TUS_ECOLI
309	TUS_ECOLI
98	FIS_ECOLI
406	COABC_ECOLI
406	COABC_ECOLI
406	COABC_ECOLI
406	COABC_ECOLI
406	COABC_ECOLI
406	COABC_ECOLI
141	NUDI_ECOLI
479	ALDA_ECOLI
370	INSL1_ECOLI
370	INSL1_ECOLI
370	INSL1_ECOLI
370	INSL1_ECOLI
308	YFER_ECOLI
308	YFER_ECOLI
311	LYSR_ECOLI
311	LYSR_ECOLI
311	LYSR_ECOLI
311	LYSR_ECOLI
107	ISCA_ECOLI
423	YGCN_ECOLI
423	YGCN_ECOLI
423	YGCN_ECOLI
423	YGCN_ECOLI
272	YBHA_ECOLI
272	YBHA_ECOLI
345	YNCB_ECOLI
345	YNCB_ECOLI
345	YNCB_ECOLI
345	YNCB_ECOLI
148	YEES_ECOLI
148	YEES_ECOLI
181	NUSG_ECOLI
181	NUSG_ECOLI
891	ADHE_ECOLI
891	ADHE_ECOLI
891	ADHE_ECOLI
891	ADHE_ECOLI
891	ADHE_ECOLI
891	ADHE_ECOLI
891	ADHE_ECOLI
891	ADHE_ECOLI
891	ADHE_ECOLI
891	ADHE_ECOLI
176	RPPH_ECOLI
176	RPPH_ECOLI
283	TAUD_ECOLI
283	TAUD_ECOLI
328	DCYD_ECOLI
328	DCYD_ECOLI
328	DCYD_ECOLI
328	DCYD_ECOLI
328	DCYD_ECOLI
182	WCAF_ECOLI
182	WCAF_ECOLI
182	WCAF_ECOLI
46	YPDJ_ECOLI
81	YFFM_ECOLI
137	HYFJ_ECOLI
137	HYFJ_ECOLI
137	HYFJ_ECOLI
309	FABD_ECOLI
309	FABD_ECOLI
309	FABD_ECOLI
540	PCKA_ECOLI
540	PCKA_ECOLI
540	PCKA_ECOLI
540	PCKA_ECOLI
540	PCKA_ECOLI
540	PCKA_ECOLI
540	PCKA_ECOLI
270	YDHT_ECOLI
270	YDHT_ECOLI
270	YDHT_ECOLI
680	OPDA_ECOLI
680	OPDA_ECOLI
178	HPRT_ECOLI
178	HPRT_ECOLI
91	INSA2_ECOLI
201	RECR_ECOLI
261	MMCD_ECOLI
261	MMCD_ECOLI
261	MMCD_ECOLI
512	ALDB_ECOLI
512	ALDB_ECOLI
176	LIGT_ECOLI
120	YFDS_ECOLI
129	CHEY_ECOLI
129	CHEY_ECOLI
129	CHEY_ECOLI
148	YGEF_ECOLI
168	YCIE_ECOLI
32	LPIV_ECOLI
63	YDFD_ECOLI
405	CAIB_ECOLI
405	CAIB_ECOLI
405	CAIB_ECOLI
405	CAIB_ECOLI
256	FIXA_ECOLI
256	FIXA_ECOLI
338	INSH2_ECOLI
338	INSH2_ECOLI
338	INSH2_ECOLI
338	INSH2_ECOLI
338	INSH2_ECOLI
191	NUDK_ECOLI
51	YNFN_ECOLI
357	RECF_ECOLI
357	RECF_ECOLI
357	RECF_ECOLI
357	RECF_ECOLI
164	YFDN_ECOLI
229	UNG_ECOLI
229	UNG_ECOLI
229	UNG_ECOLI
562	ILVB_ECOLI
562	ILVB_ECOLI
562	ILVB_ECOLI
562	ILVB_ECOLI
562	ILVB_ECOLI
562	ILVB_ECOLI
562	ILVB_ECOLI
562	ILVB_ECOLI
562	ILVB_ECOLI
271	SUPH_ECOLI
271	SUPH_ECOLI
271	SUPH_ECOLI
95	TUSB_ECOLI
95	TUSB_ECOLI
1407	RPOC_ECOLI
1407	RPOC_ECOLI
1407	RPOC_ECOLI
1407	RPOC_ECOLI
1407	RPOC_ECOLI
308	YIHR_ECOLI
308	YIHR_ECOLI
308	YIHR_ECOLI
308	YIHR_ECOLI
308	YIHR_ECOLI
461	PHYDA_ECOLI
461	PHYDA_ECOLI
461	PHYDA_ECOLI
260	TATD_ECOLI
260	TATD_ECOLI
260	TATD_ECOLI
28	LPFS_ECOLI
218	YBGJ_ECOLI
218	YBGJ_ECOLI
218	YBGJ_ECOLI
218	YBGJ_ECOLI
218	YBGJ_ECOLI
333	G3P3_ECOLI
333	G3P3_ECOLI
333	G3P3_ECOLI
254	YDIQ_ECOLI
254	YDIQ_ECOLI
670	HYFR_ECOLI
670	HYFR_ECOLI
670	HYFR_ECOLI
670	HYFR_ECOLI
670	HYFR_ECOLI
197	YFFP_ECOLI
197	YFFP_ECOLI
469	YFJI_ECOLI
469	YFJI_ECOLI
469	YFJI_ECOLI
469	YFJI_ECOLI
469	YFJI_ECOLI
723	MASZ_ECOLI
723	MASZ_ECOLI
593	GCL_ECOLI
593	GCL_ECOLI
593	GCL_ECOLI
593	GCL_ECOLI
593	GCL_ECOLI
593	GCL_ECOLI
593	GCL_ECOLI
593	GCL_ECOLI
346	GALM_ECOLI
346	GALM_ECOLI
173	RUVC_ECOLI
173	RUVC_ECOLI
173	RUVC_ECOLI
173	RUVC_ECOLI
372	ISPG_ECOLI
372	ISPG_ECOLI
372	ISPG_ECOLI
277	XAPA_ECOLI
277	XAPA_ECOLI
277	XAPA_ECOLI
277	XAPA_ECOLI
277	XAPA_ECOLI
449	ACCC_ECOLI
449	ACCC_ECOLI
449	ACCC_ECOLI
449	ACCC_ECOLI
418	YCCE_ECOLI
418	YCCE_ECOLI
418	YCCE_ECOLI
288	INSF4_ECOLI
288	INSF4_ECOLI
191	TFAR_ECOLI
191	TFAR_ECOLI
308	GLSA2_ECOLI
308	GLSA2_ECOLI
308	GLSA2_ECOLI
308	GLSA2_ECOLI
308	GLSA2_ECOLI
197	GRPE_ECOLI
299	ISPA_ECOLI
299	ISPA_ECOLI
299	ISPA_ECOLI
299	ISPA_ECOLI
229	MUTH_ECOLI
229	MUTH_ECOLI
229	MUTH_ECOLI
229	MUTH_ECOLI
668	MNMC_ECOLI
668	MNMC_ECOLI
668	MNMC_ECOLI
668	MNMC_ECOLI
668	MNMC_ECOLI
668	MNMC_ECOLI
142	RL13_ECOLI
142	RL13_ECOLI
142	RL13_ECOLI
142	RL13_ECOLI
157	PTPB2_ECOLI
157	PTPB2_ECOLI
157	PTPB2_ECOLI
288	INSF1_ECOLI
288	INSF1_ECOLI
890	GLND_ECOLI
890	GLND_ECOLI
890	GLND_ECOLI
890	GLND_ECOLI
890	GLND_ECOLI
890	GLND_ECOLI
158	YBJN_ECOLI
158	YBJN_ECOLI
660	ARNA_ECOLI
660	ARNA_ECOLI
660	ARNA_ECOLI
660	ARNA_ECOLI
660	ARNA_ECOLI
660	ARNA_ECOLI
479	NORV_ECOLI
479	NORV_ECOLI
479	NORV_ECOLI
119	TUSC_ECOLI
119	TUSC_ECOLI
319	YIDZ_ECOLI
319	YIDZ_ECOLI
319	YIDZ_ECOLI
319	YIDZ_ECOLI
269	MHPD_ECOLI
269	MHPD_ECOLI
269	MHPD_ECOLI
269	MHPD_ECOLI
162	YGFS_ECOLI
162	YGFS_ECOLI
314	LEUO_ECOLI
314	LEUO_ECOLI
136	NRDI_ECOLI
497	YIDJ_ECOLI
497	YIDJ_ECOLI
240	BAER_ECOLI
211	MBHA_ECOLI
76	YJDI_ECOLI
76	YJDI_ECOLI
288	INSF3_ECOLI
288	INSF3_ECOLI
194	YMFQ_ECOLI
194	YMFQ_ECOLI
194	YMFQ_ECOLI
139	NUSB_ECOLI
259	SRLD_ECOLI
259	SRLD_ECOLI
259	SRLD_ECOLI
259	SRLD_ECOLI
259	SRLD_ECOLI
321	LIPA_ECOLI
321	LIPA_ECOLI
119	RNPA_ECOLI
216	ATOA_ECOLI
216	ATOA_ECOLI
216	ATOA_ECOLI
216	ATOA_ECOLI
128	TUSD_ECOLI
128	TUSD_ECOLI
128	TUSD_ECOLI
96	YDFX_ECOLI
385	INTS_ECOLI
385	INTS_ECOLI
385	INTS_ECOLI
385	INTS_ECOLI
385	INTS_ECOLI
385	INTS_ECOLI
196	PAAY_ECOLI
196	PAAY_ECOLI
231	CHAC_ECOLI
231	CHAC_ECOLI
289	ROB_ECOLI
289	ROB_ECOLI
289	ROB_ECOLI
301	INSD5_ECOLI
301	INSD5_ECOLI
241	PHNF_ECOLI
370	INSL3_ECOLI
370	INSL3_ECOLI
370	INSL3_ECOLI
370	INSL3_ECOLI
338	RTCA_ECOLI
338	RTCA_ECOLI
338	RTCA_ECOLI
338	RTCA_ECOLI
338	RTCA_ECOLI
92	INTG_ECOLI
219	PGMB_ECOLI
219	PGMB_ECOLI
219	PGMB_ECOLI
129	RS11_ECOLI
129	RS11_ECOLI
151	YBCN_ECOLI
159	COAD_ECOLI
159	COAD_ECOLI
159	COAD_ECOLI
92	YAFQ_ECOLI
271	DLHH_ECOLI
271	DLHH_ECOLI
271	DLHH_ECOLI
271	DLHH_ECOLI
456	MANB_ECOLI
456	MANB_ECOLI
456	MANB_ECOLI
456	MANB_ECOLI
456	MANB_ECOLI
51	YRHD_ECOLI
264	WBBL_ECOLI
264	WBBL_ECOLI
264	WBBL_ECOLI
264	WBBL_ECOLI
483	VIAA_ECOLI
483	VIAA_ECOLI
483	VIAA_ECOLI
235	YIGA_ECOLI
235	YIGA_ECOLI
62	DSRB_ECOLI
375	DAPE_ECOLI
375	DAPE_ECOLI
334	HOLB_ECOLI
334	HOLB_ECOLI
334	HOLB_ECOLI
334	HOLB_ECOLI
273	RL2_ECOLI
109	THIO_ECOLI
109	THIO_ECOLI
221	MCBR_ECOLI
221	MCBR_ECOLI
221	MCBR_ECOLI
131	YRAN_ECOLI
234	YGGS_ECOLI
220	ATOD_ECOLI
220	ATOD_ECOLI
220	ATOD_ECOLI
220	ATOD_ECOLI
249	CHBG_ECOLI
249	CHBG_ECOLI
249	CHBG_ECOLI
249	CHBG_ECOLI
297	PERR_ECOLI
297	PERR_ECOLI
297	PERR_ECOLI
297	PERR_ECOLI
299	RMLD_ECOLI
406	ARGD_ECOLI
406	ARGD_ECOLI
406	ARGD_ECOLI
406	ARGD_ECOLI
406	ARGD_ECOLI
406	ARGD_ECOLI
154	NRDG_ECOLI
91	INSA6_ECOLI
233	YIBJ_ECOLI
233	YIBJ_ECOLI
207	RCSA_ECOLI
207	RCSA_ECOLI
207	RCSA_ECOLI
207	RCSA_ECOLI
480	KPYK2_ECOLI
480	KPYK2_ECOLI
480	KPYK2_ECOLI
480	KPYK2_ECOLI
480	KPYK2_ECOLI
480	KPYK2_ECOLI
603	EDD_ECOLI
603	EDD_ECOLI
603	EDD_ECOLI
603	EDD_ECOLI
603	EDD_ECOLI
603	EDD_ECOLI
150	YJGK_ECOLI
312	GHRA_ECOLI
726	KATG_ECOLI
726	KATG_ECOLI
726	KATG_ECOLI
726	KATG_ECOLI
726	KATG_ECOLI
726	KATG_ECOLI
94	YAIE_ECOLI
94	YAIE_ECOLI
210	DHAL_ECOLI
210	DHAL_ECOLI
210	DHAL_ECOLI
210	DHAL_ECOLI
441	AMPP_ECOLI
441	AMPP_ECOLI
784	LON_ECOLI
784	LON_ECOLI
784	LON_ECOLI
784	LON_ECOLI
354	PHOH_ECOLI
243	RSME_ECOLI
243	RSME_ECOLI
299	YCHG_ECOLI
299	YCHG_ECOLI
299	YCHG_ECOLI
72	OGRK_ECOLI
192	FLHC_ECOLI
192	FLHC_ECOLI
192	FLHC_ECOLI
412	YEIT_ECOLI
412	YEIT_ECOLI
412	YEIT_ECOLI
44	YDAG_ECOLI
92	SFSB_ECOLI
324	YHDH_ECOLI
324	YHDH_ECOLI
324	YHDH_ECOLI
324	YHDH_ECOLI
324	YHDH_ECOLI
276	FRLC_ECOLI
276	FRLC_ECOLI
276	FRLC_ECOLI
276	FRLC_ECOLI
143	OSMC_ECOLI
143	OSMC_ECOLI
599	CYSJ_ECOLI
599	CYSJ_ECOLI
462	YNEI_ECOLI
462	YNEI_ECOLI
462	YNEI_ECOLI
462	YNEI_ECOLI
462	YNEI_ECOLI
462	YNEI_ECOLI
452	MURF_ECOLI
452	MURF_ECOLI
452	MURF_ECOLI
452	MURF_ECOLI
452	MURF_ECOLI
557	RS1_ECOLI
384	METK_ECOLI
384	METK_ECOLI
384	METK_ECOLI
783	DPO2_ECOLI
783	DPO2_ECOLI
783	DPO2_ECOLI
783	DPO2_ECOLI
315	KPRS_ECOLI
315	KPRS_ECOLI
315	KPRS_ECOLI
196	DIAA_ECOLI
196	DIAA_ECOLI
196	DIAA_ECOLI
196	DIAA_ECOLI
220	FSAB_ECOLI
220	FSAB_ECOLI
220	FSAB_ECOLI
644	RNB_ECOLI
644	RNB_ECOLI
243	FRLR_ECOLI
243	FRLR_ECOLI
337	HOA_ECOLI
337	HOA_ECOLI
337	HOA_ECOLI
337	HOA_ECOLI
337	HOA_ECOLI
372	CAAL_ECOLI
372	CAAL_ECOLI
149	YIFN_ECOLI
240	YAFS_ECOLI
240	YAFS_ECOLI
240	YAFS_ECOLI
240	YAFS_ECOLI
700	YDHV_ECOLI
700	YDHV_ECOLI
700	YDHV_ECOLI
700	YDHV_ECOLI
700	YDHV_ECOLI
75	YEED_ECOLI
248	PAAC_ECOLI
495	MURE_ECOLI
495	MURE_ECOLI
495	MURE_ECOLI
495	MURE_ECOLI
495	MURE_ECOLI
133	RBFA_ECOLI
