AAEA_ECOLI	P46482	C6EGL9_ECOBD
BASS_ECOLI	P30844	C6ED12_ECOBD
BAX_ECOLI	P27297	C6EEA9_ECOBD
BCR_ECOLI	P28246	C6EA15_ECOBD
BCSA_ECOLI	P37653	C6EEF0_ECOBD
BCSB_ECOLI	P37652	C6EEF1_ECOBD
BCSC_ECOLI	P37650	C6EEF3_ECOBD
BETA_ECOLI	P17444	C6ELS0_ECOBD
BETT_ECOLI	P0ABC9	C6ELR7_ECOBD
BGLH_ECOLI	P26218	C6EG83_ECOBD
BGLX_ECOLI	P33363	C6EAH9_ECOBD
BHSA_ECOLI	P0AB40	C6EGY0_ECOBD
BIOB_ECOLI	P12996	C6EJ07_ECOBD
BIOD2_ECOLI	P0A6E9	C6EDQ5_ECOBD
BIRA_ECOLI	P06709	C6EE41_ECOBD
BLC_ECOLI	P0A901	C6ECX4_ECOBD
BLR_ECOLI	P56976	C6EDM2_ECOBD
BORD_ECOLI	P77330	C6EKD4_ECOBD
BRNQ_ECOLI	P0AD99	C6ELI3_ECOBD
BTUB_ECOLI	P06129	Null
BTUC_ECOLI	P06609	C6ECP6_ECOBD
BTUD_ECOLI	P06611	C6ECP8_ECOBD
BTUF_ECOLI	P37028	C6EAC6_ECOBD
C561_ECOLI	P0ABE5	C6EEU4_ECOBD
C56H_ECOLI	P76345	C6EB94_ECOBD
C56I_ECOLI	P75925	C6EHF6_ECOBD
CADB_ECOLI	P0AAE8	C6ECZ2_ECOBD
CADC_ECOLI	P23890	C6ECZ1_ECOBD
CAIT_ECOLI	P31553	C6EB13_ECOBD
CBRB_ECOLI	P31468	C6EG87_ECOBD
CCMA_ECOLI	P33931	C6E9Z9_ECOBD
CCMB_ECOLI	P0ABL8	C6EA00_ECOBD
CCMC_ECOLI	P0ABM1	C6EA01_ECOBD
CCMD_ECOLI	P0ABM5	C6EA02_ECOBD
CCME_ECOLI	P69490	C6EA03_ECOBD
CCMF_ECOLI	P33927	C6EA04_ECOBD
CCMH_ECOLI	P0ABM9	C6EA06_ECOBD
CDD_ECOLI	P0ABF6	C6EAG9_ECOBD
CDH_ECOLI	P06282	C6EEY0_ECOBD
CDSA_ECOLI	P0ABG1	C6EAB0_ECOBD
CHAA_ECOLI	P31801	C6EGP8_ECOBD
CHIA_ECOLI	P13656	C6EGC7_ECOBD
CIRA_ECOLI	P17315	C6EAF8_ECOBD
CITG_ECOLI	P77231	C6EK81_ECOBD
CITT_ECOLI	P0AE74	C6EK82_ECOBD
CLCA_ECOLI	P37019	C6EAC9_ECOBD
CLCB_ECOLI	P76175	C6EDQ6_ECOBD
CLS_ECOLI	P0A6H8	C6EFY7_ECOBD
COBS_ECOLI	P36561	C6EB80_ECOBD
CODB_ECOLI	P0AA82	C6ELP4_ECOBD
COPA_ECOLI	Q59385	C6EKY0_ECOBD
CORA_ECOLI	P0ABI4	C6EFZ7_ECOBD
CPDB_ECOLI	P08331	C6ECD1_ECOBD
CPTA_ECOLI	P0CB39	C6EE54_ECOBD
CPXA_ECOLI	P0AE82	C6EEY6_ECOBD
CPXP_ECOLI	P0AE85	C6EEY4_ECOBD
CPXR_ECOLI	P0AE88	C6EEY5_ECOBD
CRCA_ECOLI	P37001	C6EK70_ECOBD
CRCB_ECOLI	P37002	C6EK68_ECOBD
CREA_ECOLI	P0AE91	C6EBH4_ECOBD
CREC_ECOLI	P08401	C6EBH2_ECOBD
CRED_ECOLI	P08369	C6EBH1_ECOBD
CSGA_ECOLI	P28307	C6EHH0_ECOBD
CSGB_ECOLI	P0ABK7	C6EHH1_ECOBD
CSGC_ECOLI	P52107	C6EHG9_ECOBD
CSGE_ECOLI	P0AE95	C6EHH3_ECOBD
CSGF_ECOLI	P0AE98	C6EHH4_ECOBD
CSGG_ECOLI	P0AEA2	C6EHH5_ECOBD
CSTA_ECOLI	P15078	Null
CUEO_ECOLI	P36649	C6EAT4_ECOBD
CUSA_ECOLI	P38054	C6EKC6_ECOBD
CUSB_ECOLI	P77239	C6EKC7_ECOBD
CUSC_ECOLI	P77211	C6EKC9_ECOBD
CUSF_ECOLI	P77214	C6EKC8_ECOBD
CUSS_ECOLI	P77485	C6EKD1_ECOBD
CVPA_ECOLI	P08550	C6ELE0_ECOBD
CVRA_ECOLI	P76007	C6EGS6_ECOBD
CYBH_ECOLI	P0AAM1	C6EHN4_ECOBD
CYCA_ECOLI	P0AAE0	C6ECD6_ECOBD
CYDA_ECOLI	P0ABJ9	C6EJK5_ECOBD
CYDB_ECOLI	P0ABK2	C6EJK4_ECOBD
CYDC_ECOLI	P23886	C6EI96_ECOBD
CYDD_ECOLI	P29018	C6EI95_ECOBD
CYNX_ECOLI	P17583	C6ELN9_ECOBD
CYOA_ECOLI	P0ABJ1	C6EL34_ECOBD
CYOB_ECOLI	P0ABI8	C6EL35_ECOBD
CYOC_ECOLI	P0ABJ3	C6EL36_ECOBD
CYOD_ECOLI	P0ABJ6	C6EL37_ECOBD
CYOE_ECOLI	P0AEA5	C6EL38_ECOBD
CYSA_ECOLI	P16676	C6EL55_ECOBD
CYSC_ECOLI	P0A6J1	C6EJB7_ECOBD
CYSP_ECOLI	P16700	C6EL52_ECOBD
CYSQ_ECOLI	P22255	C6ECD0_ECOBD
CYST_ECOLI	P16701	C6EL53_ECOBD
CYSW_ECOLI	P0AEB0	C6EL54_ECOBD
CYSZ_ECOLI	P0A6J3	C6EL65_ECOBD
DACA_ECOLI	P0AEB2	C6EK61_ECOBD
DACB_ECOLI	P24228	C6EH45_ECOBD
DACC_ECOLI	P08506	C6EIU4_ECOBD
DACD_ECOLI	P33013	C6EB73_ECOBD
DADA_ECOLI	P0A6J5	C6EGS8_ECOBD
DAMX_ECOLI	P11557	C6EFI8_ECOBD
DCRB_ECOLI	P0AEE1	C6EFA2_ECOBD
DCTA_ECOLI	P0A830	C6EEF5_ECOBD
DCUA_ECOLI	P0ABN5	C6ECY7_ECOBD
DCUB_ECOLI	P0ABN9	C6ED01_ECOBD
DCUC_ECOLI	P0ABP3	C6EK71_ECOBD
DCUD_ECOLI	P45428	C6EH05_ECOBD
DCUS_ECOLI	P0AEC8	Null
DDG_ECOLI	P0ACV2	C6EL90_ECOBD
DDPA_ECOLI	P76128	C6EEN0_ECOBD
DDPB_ECOLI	P77308	C6EEN1_ECOBD
DDPC_ECOLI	P77463	C6EEN2_ECOBD
DDPD_ECOLI	P77268	C6EEN3_ECOBD
DDPF_ECOLI	P77622	C6EEN4_ECOBD
DEDA_ECOLI	P0ABP6	C6ELD6_ECOBD
DEDD_ECOLI	P09549	C6ELD9_ECOBD
DEGP_ECOLI	P0C0V0	C6EAC3_ECOBD
DEGQ_ECOLI	P39099	C6EGZ8_ECOBD
DEGS_ECOLI	P0AEE3	C6EGZ7_ECOBD
DGAL_ECOLI	P0AEE5	Null
DGOK_ECOLI	P31459	C6ED76_ECOBD
DGOT_ECOLI	P0AA76	C6ED79_ECOBD
DHAM_ECOLI	P37349	C6EGR9_ECOBD
DHAS_ECOLI	P0A9Q9	C6EFE1_ECOBD
DHG_ECOLI	P15877	C6EAT3_ECOBD
DHNA_ECOLI	P00393	C6EGY3_ECOBD
DHSA_ECOLI	P0AC41	C6EJL4_ECOBD
DHSB_ECOLI	P07014	C6EJL3_ECOBD
DHSC_ECOLI	P69054	C6EJL6_ECOBD
DHSD_ECOLI	P0AC44	C6EJL5_ECOBD
DINF_ECOLI	P28303	C6EDX6_ECOBD
DINQ_ECOLI	A5A624	Null
DJLA_ECOLI	P31680	C6EAZ8_ECOBD
DJLB_ECOLI	P77381	Null
DJLC_ECOLI	P77359	Null
DLD_ECOLI	P06149	C6EAH8_ECOBD
DLDH_ECOLI	P0A9P0	C6EAU1_ECOBD
DMSA_ECOLI	P18775	C6EI88_ECOBD
DMSB_ECOLI	P18776	C6EI87_ECOBD
DMSC_ECOLI	P18777	C6EI86_ECOBD
DMSD_ECOLI	P69853	C6EDQ7_ECOBD
DNAA_ECOLI	P03004	C6ECH7_ECOBD
DNAK_ECOLI	P0A6Y8	C6EB40_ECOBD
DPIB_ECOLI	P77510	C6EK73_ECOBD
DPPA_ECOLI	P23847	C6EED6_ECOBD
DPPB_ECOLI	P0AEF8	C6EED7_ECOBD
DPPC_ECOLI	P0AEG1	C6EED8_ECOBD
DPPD_ECOLI	P0AAG0	C6EED9_ECOBD
DPPF_ECOLI	P37313	C6EEE0_ECOBD
DSBA_ECOLI	P0AEG4	Null
DSBB_ECOLI	P0A6M2	C6EGT2_ECOBD
DSBC_ECOLI	P0AEG6	C6EIL5_ECOBD
DSBD_ECOLI	P36655	C6ECY9_ECOBD
DSBE_ECOLI	P0AA86	C6EA05_ECOBD
DSBG_ECOLI	P77202	C6EK90_ECOBD
DSDX_ECOLI	P08555	C6ELA3_ECOBD
DTPD_ECOLI	P75742	C6EJM9_ECOBD
DXR_ECOLI	P45568	C6EAB2_ECOBD
EAEH_ECOLI	P36943	C6ELT1_ECOBD
EAMA_ECOLI	P31125	C6EDV4_ECOBD
EAMB_ECOLI	P38101	C6EK08_ECOBD
ECNA_ECOLI	P0ADB4	Null
ECNB_ECOLI	P0ADB7	C6ECX6_ECOBD
ECOT_ECOLI	P23827	C6E9Z0_ECOBD
ECPD_ECOLI	P33128	C6EAE4_ECOBD
EFEU_ECOLI	P75901	C6EHJ0_ECOBD
EFTU1_ECOLI	P0CE47	C6EGC5_ECOBD
EFTU2_ECOLI	P0CE48	C6EE39_ECOBD
ELAB_ECOLI	P0AEH5	C6E9T3_ECOBD
EMRA_ECOLI	P27303	C6EJU1_ECOBD
EMRB_ECOLI	P0AEJ0	C6EJU0_ECOBD
EMRD_ECOLI	P31442	C6ED95_ECOBD
EMRE_ECOLI	P23895	C6EKS5_ECOBD
EMRK_ECOLI	P52599	C6ELA0_ECOBD
EMRY_ECOLI	P52600	C6ELA1_ECOBD
EMTA_ECOLI	P0C960	C6EGS4_ECOBD
END1_ECOLI	P25736	C6EIG6_ECOBD
ENTB_ECOLI	P0ADI4	C6EK99_ECOBD
ENTE_ECOLI	P10378	C6EKA0_ECOBD
ENTF_ECOLI	P11454	C6EKA9_ECOBD
ENTS_ECOLI	P24077	C6EKA4_ECOBD
ENVZ_ECOLI	P0AEJ4	C6EFH0_ECOBD
EPTA_ECOLI	P30845	C6ED10_ECOBD
EPTB_ECOLI	P37661	C6EED5_ECOBD
ERA_ECOLI	P06616	C6EK21_ECOBD
ERFK_ECOLI	P39176	C6EB82_ECOBD
ESSD_ECOLI	P0A9R2	C6EFM7_ECOBD
ESSQ_ECOLI	P77237	Null
ETK_ECOLI	P38134	C6EHM6_ECOBD
EUTA_ECOLI	P76551	C6EKR2_ECOBD
EUTH_ECOLI	P76552	C6EKR1_ECOBD
EVGS_ECOLI	P30855	C6EL98_ECOBD
EXBB_ECOLI	P0ABU7	C6EHY7_ECOBD
EXBD_ECOLI	P0ABV2	C6EHY8_ECOBD
EXUT_ECOLI	P0AA78	C6EHQ1_ECOBD
FABI_ECOLI	P0AEK4	C6EFU4_ECOBD
FABZ_ECOLI	P0A6Q6	C6EAA5_ECOBD
FADE_ECOLI	Q47146	C6EA67_ECOBD
FADK_ECOLI	P38135	C6ECQ6_ECOBD
FADL_ECOLI	P10384	C6ELB0_ECOBD
FBPB_ECOLI	P75681	Null
FBPC_ECOLI	P37009	Null
FCTA_ECOLI	P69902	C6EL94_ECOBD
FDNG_ECOLI	P24183	C6EEP3_ECOBD
FDNH_ECOLI	P0AAJ3	C6EEP2_ECOBD
FDNI_ECOLI	P0AEK7	C6EEP1_ECOBD
FDOG_ECOLI	P32176	C6EF05_ECOBD
FDOH_ECOLI	P0AAJ5	C6EF06_ECOBD
FDOI_ECOLI	P0AEL0	C6EF07_ECOBD
FECA_ECOLI	P13036	C6EC65_ECOBD
FECB_ECOLI	P15028	C6EC66_ECOBD
FECC_ECOLI	P15030	C6EC67_ECOBD
FECD_ECOLI	P15029	C6EC68_ECOBD
FECE_ECOLI	P15031	C6EC69_ECOBD
FECR_ECOLI	P23485	C6EC64_ECOBD
FEOB_ECOLI	P33650	C6EFG5_ECOBD
FEPA_ECOLI	P05825	C6EKB2_ECOBD
FEPB_ECOLI	P0AEL6	C6EKA3_ECOBD
FEPC_ECOLI	P23878	C6EKA7_ECOBD
FEPD_ECOLI	P23876	C6EKA5_ECOBD
FEPE_ECOLI	P26266	C6EKA8_ECOBD
FEPG_ECOLI	P23877	C6EKA6_ECOBD
FHIA_ECOLI	Q47153	C6EA58_ECOBD
FHUA_ECOLI	P06971	Null
FHUB_ECOLI	P06972	C6EAD1_ECOBD
FHUC_ECOLI	P07821	C6EAD3_ECOBD
FHUD_ECOLI	P07822	C6EAD2_ECOBD
FHUE_ECOLI	P16869	C6EGZ0_ECOBD
FHUF_ECOLI	P39405	C6EBK3_ECOBD
FIEF_ECOLI	P69380	C6EEY3_ECOBD
FIMA1_ECOLI	P04128	C6EBR9_ECOBD
FIMC_ECOLI	P31697	C6EBR7_ECOBD
FIMD_ECOLI	P30130	C6EBR6_ECOBD
FIMF_ECOLI	P08189	C6EBR5_ECOBD
FIMG_ECOLI	P08190	C6EBR4_ECOBD
FIMH_ECOLI	P08191	C6EBR3_ECOBD
FIMI_ECOLI	P39264	C6EBR8_ECOBD
FIU_ECOLI	P75780	C6EIX7_ECOBD
FIXC_ECOLI	P68644	C6EB10_ECOBD
FKBA_ECOLI	P45523	C6EGB7_ECOBD
FLGA_ECOLI	P75933	C6EHE1_ECOBD
FLGB_ECOLI	P0ABW9	C6EHE0_ECOBD
FLGC_ECOLI	P0ABX2	C6EHD9_ECOBD
FLGD_ECOLI	P75936	C6EHD8_ECOBD
FLGE_ECOLI	P75937	C6EHD7_ECOBD
FLGF_ECOLI	P75938	C6EHD6_ECOBD
FLGG_ECOLI	P0ABX5	C6EHD5_ECOBD
FLGH_ECOLI	P0A6S0	C6EHD4_ECOBD
FLGI_ECOLI	P0A6S3	C6EHD3_ECOBD
FLGK_ECOLI	P33235	C6EHD1_ECOBD
FLGL_ECOLI	P29744	C6EHD0_ECOBD
FLHA_ECOLI	P76298	C6EBU8_ECOBD
FLHB_ECOLI	P76299	C6EBU7_ECOBD
FLHE_ECOLI	P76297	C6EBU9_ECOBD
FLIC_ECOLI	P04949	C6EBD8_ECOBD
FLID_ECOLI	P24216	C6EBD7_ECOBD
FLIE_ECOLI	P0A8T5	C6EBC8_ECOBD
FLIF_ECOLI	P25798	C6EBC7_ECOBD
FLIG_ECOLI	P0ABZ1	C6EBC6_ECOBD
FLIJ_ECOLI	P52613	C6EBC3_ECOBD
FLIL_ECOLI	P0ABX8	C6EBC1_ECOBD
FLIM_ECOLI	P06974	C6EBC0_ECOBD
FLIN_ECOLI	P15070	C6EBB9_ECOBD
FLIO_ECOLI	P22586	C6EBB8_ECOBD
FLIP_ECOLI	P0AC05	C6EBB7_ECOBD
FLIQ_ECOLI	P0AC07	C6EBB6_ECOBD
FLIR_ECOLI	P33135	C6EBB5_ECOBD
FLIY_ECOLI	P0AEM9	C6EBE1_ECOBD
FLK_ECOLI	P15286	C6ELD2_ECOBD
FLMA_ECOLI	P62670	Null
FOCA_ECOLI	P0AC23	C6EI78_ECOBD
FOCB_ECOLI	P77733	C6EKL9_ECOBD
FRDA_ECOLI	P00363	C6ECW9_ECOBD
FRDB_ECOLI	P0AC47	C6ECX0_ECOBD
FRDC_ECOLI	P0A8Q0	C6ECX1_ECOBD
FRDD_ECOLI	P0A8Q3	C6ECX2_ECOBD
FRLA_ECOLI	P45539	C6EFK6_ECOBD
FSR_ECOLI	P52067	C6EKY5_ECOBD
FTSA_ECOLI	P0ABH0	C6EAW1_ECOBD
FTSB_ECOLI	P0A6S5	C6EJB9_ECOBD
FTSE_ECOLI	P0A9R7	C6EFB1_ECOBD
FTSH_ECOLI	P0AAI3	C6EH49_ECOBD
FTSI_ECOLI	P0AD68	C6EAX1_ECOBD
FTSK_ECOLI	P46889	C6EI92_ECOBD
FTSL_ECOLI	P0AEN4	C6EAX2_ECOBD
FTSN_ECOLI	P29131	C6EE76_ECOBD
FTSQ_ECOLI	P06136	C6EAW2_ECOBD
FTSW_ECOLI	P0ABG4	C6EAW6_ECOBD
FTSX_ECOLI	P0AC30	C6EFB2_ECOBD
FTSY_ECOLI	P10121	C6EFB0_ECOBD
FTSZ_ECOLI	P0A9A6	C6EAW0_ECOBD
FUCP_ECOLI	P11551	Null
FXSA_ECOLI	P37147	C6ECY5_ECOBD
GABP_ECOLI	P25527	C6EJW2_ECOBD
GADC_ECOLI	P63235	C6EEM5_ECOBD
GALF_ECOLI	P0AAB6	C6EAR5_ECOBD
GALP_ECOLI	P0AEP1	C6EIG8_ECOBD
GALU_ECOLI	P0AEP3	C6EGN1_ECOBD
GARP_ECOLI	P0AA80	C6EH99_ECOBD
GATD_ECOLI	P0A9S3	C6EAL9_ECOBD
GFCA_ECOLI	P75885	C6EHM0_ECOBD
GFCB_ECOLI	P75884	C6EHM1_ECOBD
GFCC_ECOLI	P75883	C6EHM2_ECOBD
GFCD_ECOLI	P75882	C6EHM3_ECOBD
GFCE_ECOLI	P0A932	C6EHM4_ECOBD
GGT_ECOLI	P18956	C6EFC7_ECOBD
GLCA_ECOLI	Q46839	C6EID6_ECOBD
GLF_ECOLI	P37747	Null
GLNH_ECOLI	P0AEQ3	C6EIX1_ECOBD
GLNK_ECOLI	P0AC55	C6EL13_ECOBD
GLNP_ECOLI	P0AEQ6	C6EIX2_ECOBD
GLNQ_ECOLI	P10346	C6EIX3_ECOBD
GLPA_ECOLI	P0A9C0	C6E9W0_ECOBD
GLPB_ECOLI	P13033	C6E9V9_ECOBD
GLPC_ECOLI	P0A996	C6E9V8_ECOBD
GLPD_ECOLI	P13035	C6EFE8_ECOBD
GLPF_ECOLI	P0AER0	C6EEX1_ECOBD
GLPG_ECOLI	P09391	C6EFF0_ECOBD
GLPQ_ECOLI	P09394	C6E9W2_ECOBD
GLPT_ECOLI	P08194	C6E9W1_ECOBD
GLTF_ECOLI	P28721	Null
GLTI_ECOLI	P37902	C6EK40_ECOBD
GLTJ_ECOLI	P0AER3	C6EK41_ECOBD
GLTK_ECOLI	P0AER5	C6EK42_ECOBD
GLTL_ECOLI	P0AAG3	Null
GLTP_ECOLI	P21345	C6ED48_ECOBD
GLTS_ECOLI	P0AER8	C6EDD6_ECOBD
GLVG_ECOLI	P31450	C6ED87_ECOBD
GLXK2_ECOLI	P23524	C6EHA2_ECOBD
GNTP_ECOLI	P0AC94	C6EBR2_ECOBD
GNTT_ECOLI	P39835	C6EFF9_ECOBD
GNTU_ECOLI	P0AC96	C6EFD9_ECOBD
GPMB_ECOLI	P0A7A2	C6EBH6_ECOBD
GPPA_ECOLI	P25552	C6EG34_ECOBD
GSIA_ECOLI	P75796	C6EIV3_ECOBD
GSIB_ECOLI	P75797	C6EIV2_ECOBD
GSIC_ECOLI	P75798	C6EIV1_ECOBD
GSID_ECOLI	P75799	C6EIV0_ECOBD
GSPA_ECOLI	P45756	C6EGE3_ECOBD
GSPC_ECOLI	P45757	C6EGE2_ECOBD
GSPD_ECOLI	P45758	C6EGE1_ECOBD
GSPE_ECOLI	P45759	C6EGE0_ECOBD
GSPF_ECOLI	P41441	C6EGD9_ECOBD
GSPG_ECOLI	P41442	C6EGD8_ECOBD
GSPH_ECOLI	P41443	C6EGD7_ECOBD
GSPI_ECOLI	P45760	C6EGD6_ECOBD
GSPJ_ECOLI	P45761	C6EGD5_ECOBD
GSPK_ECOLI	P45762	C6EGD4_ECOBD
GSPL_ECOLI	P45763	C6EGD3_ECOBD
GSPM_ECOLI	P36678	C6EGD2_ECOBD
GTRA_ECOLI	P77682	Null
GTRB_ECOLI	P77293	Null
GUAC_ECOLI	P60560	C6EAV2_ECOBD
GUDP_ECOLI	Q46916	C6EJ83_ECOBD
GUN_ECOLI	P37651	C6EEF2_ECOBD
HCAT_ECOLI	Q47142	C6EKH1_ECOBD
HDA_ECOLI	P69931	C6EKL5_ECOBD
HDEA_ECOLI	P0AES9	C6EEH5_ECOBD
HDEB_ECOLI	P0AET2	C6EEH6_ECOBD
HDED_ECOLI	P0AET5	C6EEH4_ECOBD
HEMX_ECOLI	P09127	C6EG12_ECOBD
HEMY_ECOLI	P0ACB7	C6EG13_ECOBD
HEXR_ECOLI	P46118	C6EBX4_ECOBD
HFLC_ECOLI	P0ABC3	Null
HFLD_ECOLI	P25746	C6EGV9_ECOBD
HFLK_ECOLI	P0ABC7	C6ECH5_ECOBD
HFQ_ECOLI	P0A6X3	C6ECV6_ECOBD
HISJ_ECOLI	P0AEU0	C6ELE4_ECOBD
HISM_ECOLI	P0AEU3	C6ELE6_ECOBD
HISP_ECOLI	P07109	C6ELE7_ECOBD
HISQ_ECOLI	P52094	C6ELE5_ECOBD
HIUH_ECOLI	P76341	C6EB98_ECOBD
HLYE_ECOLI	P77335	Null
HOFC_ECOLI	P36646	C6EAV1_ECOBD
HOFQ_ECOLI	P34749	C6EFI5_ECOBD
HOKA_ECOLI	P37305	C6EEC3_ECOBD
HOKB_ECOLI	P77494	Null
HOKC_ECOLI	P0ACG4	Null
HOKD_ECOLI	P0ACG6	C6EDS9_ECOBD
HOKE_ECOLI	P77091	C6EKB6_ECOBD
HRSA_ECOLI	P54745	C6EJK7_ECOBD
HSLJ_ECOLI	P52644	C6EEW5_ECOBD
HSRA_ECOLI	P31474	C6EG48_ECOBD
HTPG_ECOLI	P0A6Z3	C6EKZ1_ECOBD
HTPX_ECOLI	P23894	C6EC00_ECOBD
HTRB_ECOLI	P0ACV0	C6EHF9_ECOBD
HTRE_ECOLI	P33129	C6EAE5_ECOBD
HYBA_ECOLI	P0AAJ8	C6EHZ6_ECOBD
HYBB_ECOLI	P37180	C6EHZ7_ECOBD
HYCC_ECOLI	P16429	C6EJE5_ECOBD
HYCD_ECOLI	P16430	C6EJE6_ECOBD
HYCE_ECOLI	P16431	C6EJE7_ECOBD
HYFB_ECOLI	P23482	C6EKM9_ECOBD
HYFC_ECOLI	P77858	Null
HYFD_ECOLI	P77416	C6EKM7_ECOBD
HYFE_ECOLI	P0AEW1	C6EKM6_ECOBD
HYFF_ECOLI	P77437	C6EKM5_ECOBD
HYFG_ECOLI	P77329	C6EKM4_ECOBD
IAP_ECOLI	P10423	C6EJB4_ECOBD
