Accession	Uniprot Entry Name K12	Uniprot Accession BL21(DE3)	Uniprot Entry Name BL21(DE3)	Localization
P27249	GLND_ECOLI	C6EAB8	C6EAB8_ECOBD	A
P0A9D8	DAPD_ECOLI	C6EAB9	C6EAB9_ECOBD	A
P62768	YAEH_ECOLI	C6EAC1	C6EAC1_ECOBD	A
P37047	CDAR_ECOLI	C6EAC2	C6EAC2_ECOBD	A
P0AF12	MTNN_ECOLI	C6EAC5	C6EAC5_ECOBD	A
P37028	BTUF_ECOLI	C6EAC6	C6EAC6_ECOBD	G
P0ACC3	ERPA_ECOLI	C6EAC8	C6EAC8_ECOBD	A
P23893	GSA_ECOLI	C6EAD0	C6EAD0_ECOBD	A
P07822	FHUD_ECOLI	C6EAD2	C6EAD2_ECOBD	G
P07821	FHUC_ECOLI	C6EAD3	C6EAD3_ECOBD	F1
P37024	HRPB_ECOLI	C6EAD6	C6EAD6_ECOBD	A
P37025	LIGT_ECOLI	C6EAD7	C6EAD7_ECOBD	A
P0A823	SFSA_ECOLI	C6EAD8	C6EAD8_ECOBD	A
P0ABS1	DKSA_ECOLI	C6EAD9	C6EAD9_ECOBD	A
P27305	GLUQ_ECOLI	C6EAE0	C6EAE0_ECOBD	A
P0ABF1	PCNB_ECOLI	C6EAE1	C6EAE1_ECOBD	B
P0ACR4	YEIE_ECOLI	C6EAF6	C6EAF6_ECOBD	A
P25737	LYSP_ECOLI	C6EAF7	C6EAF7_ECOBD	B
P0AFY2	SANA_ECOLI	C6EAG8	C6EAG8_ECOBD	B
P0ABF6	CDD_ECOLI	C6EAG9	C6EAG9_ECOBD	B
P33368	YOHF_ECOLI	C6EAH4	C6EAH4_ECOBD	A
P06149	DLD_ECOLI	C6EAH8	C6EAH8_ECOBD	F1
P33363	BGLX_ECOLI	C6EAH9	C6EAH9_ECOBD	G
P33362	OSMF_ECOLI	C6EAI0	C6EAI0_ECOBD	G
P33360	YEHX_ECOLI	C6EAI2	C6EAI2_ECOBD	F1
P33358	MLRA_ECOLI	C6EAI5	C6EAI5_ECOBD	B
P0AD14	YEHU_ECOLI	C6EAI6	C6EAI6_ECOBD	B
P0AFT5	YEHT_ECOLI	C6EAI7	C6EAI7_ECOBD	A
P33355	YEHS_ECOLI	C6EAI8	C6EAI8_ECOBD	A
P00959	SYM_ECOLI	C6EAJ7	C6EAJ7_ECOBD	A
P0AF08	MRP_ECOLI	C6EAJ8	C6EAJ8_ECOBD	A
P76422	THID_ECOLI	C6EAK7	C6EAK7_ECOBD	A
P0ACM5	YEGW_ECOLI	C6EAK9	C6EAK9_ECOBD	A
P76406	YEGR_ECOLI	C6EAM3	C6EAM3_ECOBD	I
P76403	YEGQ_ECOLI	C6EAM4	C6EAM4_ECOBD	A
P69228	BAER_ECOLI	C6EAM6	C6EAM6_ECOBD	A
P30847	BAES_ECOLI	C6EAM7	C6EAM7_ECOBD	B
P76398	MDTB_ECOLI	C6EAN0	C6EAN0_ECOBD	B
P76397	MDTA_ECOLI	C6EAN1	C6EAN1_ECOBD	F2
P36928	YEGD_ECOLI	C6EAN8	C6EAN8_ECOBD	A
P0A8F4	URK_ECOLI	C6EAP1	C6EAP1_ECOBD	A
P28248	DCD_ECOLI	C6EAP2	C6EAP2_ECOBD	A
P28249	ASMA_ECOLI	C6EAP3	C6EAP3_ECOBD	B
P76389	YEGH_ECOLI	C6EAP4	C6EAP4_ECOBD	B
P32055	FCL_ECOLI	C6EAQ5	C6EAQ5_ECOBD	A
P24175	MANB_ECOLI	C6EAQ9	C6EAQ9_ECOBD	A
P71242	WCAK_ECOLI	C6EAR2	C6EAR2_ECOBD	A
P0AAB6	GALF_ECOLI	C6EAR5	C6EAR5_ECOBD	B
P31663	PANC_ECOLI	C6EAS4	C6EAS4_ECOBD	A
P0A790	PAND_ECOLI	C6EAS6	C6EAS6_ECOBD	A
P31666	YADE_ECOLI	C6EAS7	C6EAS7_ECOBD	G
P36879	YADG_ECOLI	C6EAT0	C6EAT0_ECOBD	F1
P61517	CAN_ECOLI	C6EAT1	C6EAT1_ECOBD	A
P0A9M2	HPRT_ECOLI	C6EAT2	C6EAT2_ECOBD	A
P15877	DHG_ECOLI	C6EAT3	C6EAT3_ECOBD	B
P0AA95	YACC_ECOLI	C6EAT5	C6EAT5_ECOBD	G
P09158	SPEE_ECOLI	C6EAT6	C6EAT6_ECOBD	A
P0A7F6	SPED_ECOLI	C6EAT7	C6EAT7_ECOBD	A
P0A8E5	YACL_ECOLI	C6EAT8	C6EAT8_ECOBD	A
P36683	ACON2_ECOLI	C6EAT9	C6EAT9_ECOBD	A
P0A9P0	DLDH_ECOLI	C6EAU1	C6EAU1_ECOBD	F1
P0AFG8	ODP1_ECOLI	C6EAU3	C6EAU3_ECOBD	B
P0ACL9	PDHR_ECOLI	C6EAU4	C6EAU4_ECOBD	A
P15993	AROP_ECOLI	C6EAU5	C6EAU5_ECOBD	B
P0AE14	AMPE_ECOLI	C6EAU6	C6EAU6_ECOBD	B
P13016	AMPD_ECOLI	C6EAU7	C6EAU7_ECOBD	A
P30011	NADC_ECOLI	C6EAU8	C6EAU8_ECOBD	A
P60560	GUAC_ECOLI	C6EAV2	C6EAV2_ECOBD	B
P0A6I9	COAE_ECOLI	C6EAV3	C6EAV3_ECOBD	A
P36680	YACF_ECOLI	C6EAV4	C6EAV4_ECOBD	A
P10408	SECA_ECOLI	C6EAV7	C6EAV7_ECOBD	F1
P0A725	LPXC_ECOLI	C6EAV9	C6EAV9_ECOBD	A
P0ABH0	FTSA_ECOLI	C6EAW1	C6EAW1_ECOBD	F1
P06136	FTSQ_ECOLI	C6EAW2	C6EAW2_ECOBD	B
P07862	DDLB_ECOLI	C6EAW3	C6EAW3_ECOBD	A
P17952	MURC_ECOLI	C6EAW4	C6EAW4_ECOBD	A
P17443	MURG_ECOLI	C6EAW5	C6EAW5_ECOBD	F1
P11880	MURF_ECOLI	C6EAW9	C6EAW9_ECOBD	A
P0AD68	FTSI_ECOLI	C6EAX1	C6EAX1_ECOBD	B
P60390	RSMH_ECOLI	C6EAX3	C6EAX3_ECOBD	A
P31554	LPTD_ECOLI	C6EAZ9	C6EAZ9_ECOBD	H
P19624	PDXA_ECOLI	C6EB01	C6EB01_ECOBD	A
P06992	RSMA_ECOLI	C6EB02	C6EB02_ECOBD	A
P62672	APAG_ECOLI	C6EB03	C6EB03_ECOBD	A
P05637	APAH_ECOLI	C6EB04	C6EB04_ECOBD	A
P0ABQ4	DYR_ECOLI	C6EB05	C6EB05_ECOBD	A
P60584	CAIA_ECOLI	C6EB14	C6EB14_ECOBD	A
P00968	CARB_ECOLI	C6EB19	C6EB19_ECOBD	A
P0A6F1	CARA_ECOLI	C6EB20	C6EB20_ECOBD	A
P04036	DAPB_ECOLI	C6EB22	C6EB22_ECOBD	A
P62623	ISPH_ECOLI	C6EB24	C6EB24_ECOBD	A
P0AEM0	FKBX_ECOLI	C6EB25	C6EB25_ECOBD	A
P00804	LSPA_ECOLI	C6EB26	C6EB26_ECOBD	B
P00956	SYI_ECOLI	C6EB27	C6EB27_ECOBD	A
P0AG40	RIBF_ECOLI	C6EB28	C6EB28_ECOBD	A
P0A9G2	NHAR_ECOLI	C6EB34	C6EB34_ECOBD	A
P0A6Y8	DNAK_ECOLI	C6EB40	C6EB40_ECOBD	F1
P0AC98	YAAH_ECOLI	C6EB43	C6EB43_ECOBD	B
P0AF03	MOG_ECOLI	C6EB44	C6EB44_ECOBD	A
P00350	6PGD_ECOLI	C6EB56	C6EB56_ECOBD	A
P76373	UDG_ECOLI	C6EB57	C6EB57_ECOBD	B
P60664	HIS6_ECOLI	C6EB60	C6EB60_ECOBD	A
P60595	HIS5_ECOLI	C6EB62	C6EB62_ECOBD	A
P06987	HIS7_ECOLI	C6EB63	C6EB63_ECOBD	A
P06986	HIS8_ECOLI	C6EB64	C6EB64_ECOBD	A
P06988	HISX_ECOLI	C6EB65	C6EB65_ECOBD	A
P60757	HIS1_ECOLI	C6EB66	C6EB66_ECOBD	A
P0AD12	YEEZ_ECOLI	C6EB67	C6EB67_ECOBD	G
P04995	EX1_ECOLI	C6EB72	C6EB72_ECOBD	A
P33011	YEEA_ECOLI	C6EB75	C6EB75_ECOBD	B
P0A8M6	YEEX_ECOLI	C6EB76	C6EB76_ECOBD	A
P0AE76	COBU_ECOLI	C6EB79	C6EB79_ECOBD	A
P39176	ERFK_ECOLI	C6EB82	C6EB82_ECOBD	G
P0AE12	AMN_ECOLI	C6EB87	C6EB87_ECOBD	A
P76350	SHIA_ECOLI	C6EB88	C6EB88_ECOBD	B
P76346	MTFA_ECOLI	C6EB91	C6EB91_ECOBD	F1
P76340	YEDW_ECOLI	C6EB99	C6EB99_ECOBD	A
P76339	YEDV_ECOLI	C6EBA0	C6EBA0_ECOBD	B
P0A8G0	UVRC_ECOLI	C6EBE9	C6EBE9_ECOBD	A
P0ABF8	PGSA_ECOLI	C6EBF0	C6EBF0_ECOBD	B
P0AD05	YECA_ECOLI	C6EBF1	C6EBF1_ECOBD	A
P0A998	FTNA_ECOLI	C6EBF4	C6EBF4_ECOBD	A
P0A9A2	FTNB_ECOLI	C6EBF8	C6EBF8_ECOBD	A
P0AAF3	ARAG_ECOLI	C6EBG0	C6EBG0_ECOBD	F1
P0A870	TALB_ECOLI	C6EBG1	C6EBG1_ECOBD	A
P0A8I3	YAAA_ECOLI	C6EBG3	C6EBG3_ECOBD	A
P00934	THRC_ECOLI	C6EBG5	C6EBG5_ECOBD	A
P00547	KHSE_ECOLI	C6EBG6	C6EBG6_ECOBD	A
P00561	AK1H_ECOLI	C6EBG7	C6EBG7_ECOBD	F1
P0A9Q1	ARCA_ECOLI	C6EBH0	C6EBH0_ECOBD	A
P08401	CREC_ECOLI	C6EBH2	C6EBH2_ECOBD	B
P08368	CREB_ECOLI	C6EBH3	C6EBH3_ECOBD	A
P0AE91	CREA_ECOLI	C6EBH4	C6EBH4_ECOBD	G
P0ACI0	ROB_ECOLI	C6EBH5	C6EBH5_ECOBD	A
P39411	YJJX_ECOLI	C6EBH7	C6EBH7_ECOBD	A
P0AGC3	SLT_ECOLI	C6EBH9	C6EBH9_ECOBD	G
P0A9W3	YJJK_ECOLI	C6EBI0	C6EBI0_ECOBD	F1
P27278	NADR_ECOLI	C6EBI1	C6EBI1_ECOBD	F1
P24554	RADA_ECOLI	C6EBI2	C6EBI2_ECOBD	A
P0AGB0	SERB_ECOLI	C6EBI3	C6EBI3_ECOBD	B
P32099	LPLA_ECOLI	C6EBI5	C6EBI5_ECOBD	A
P0ABP8	DEOD_ECOLI	C6EBI7	C6EBI7_ECOBD	A
P0A6K6	DEOB_ECOLI	C6EBI8	C6EBI8_ECOBD	A
P07650	TYPH_ECOLI	C6EBI9	C6EBI9_ECOBD	B
P39407	YJJU_ECOLI	C6EBJ4	C6EBJ4_ECOBD	A
P0AFH8	OSMY_ECOLI	C6EBJ6	C6EBJ6_ECOBD	G
P0A7I4	RF3_ECOLI	C6EBJ7	C6EBJ7_ECOBD	A
P0A8Y1	YJJG_ECOLI	C6EBJ8	C6EBJ8_ECOBD	A
P0A944	RIMI_ECOLI	C6EBJ9	C6EBJ9_ECOBD	A
P39406	RSMC_ECOLI	C6EBK1	C6EBK1_ECOBD	A
P0AEF0	DNAC_ECOLI	C6EBK9	C6EBK9_ECOBD	A
P31678	OTSB_ECOLI	C6EBT2	C6EBT2_ECOBD	A
P31677	OTSA_ECOLI	C6EBT3	C6EBT3_ECOBD	A
P46888	USPC_ECOLI	C6EBT4	C6EBT4_ECOBD	A
P0A9H9	CHEZ_ECOLI	C6EBU6	C6EBU6_ECOBD	A
P11875	SYR_ECOLI	C6EBV1	C6EBV1_ECOBD	A
P52007	YECM_ECOLI	C6EBV2	C6EBV2_ECOBD	A
P76290	CMOA_ECOLI	C6EBV7	C6EBV7_ECOBD	A
P64515	YECN_ECOLI	C6EBV8	C6EBV8_ECOBD	B
P37348	YECE_ECOLI	C6EBV9	C6EBV9_ECOBD	A
P0ADI7	YECD_ECOLI	C6EBW0	C6EBW0_ECOBD	A
P21889	SYD_ECOLI	C6EBW1	C6EBW1_ECOBD	F1
P0AFC0	NUDB_ECOLI	C6EBW2	C6EBW2_ECOBD	A
P0A809	RUVA_ECOLI	C6EBW6	C6EBW6_ECOBD	A
P0A812	RUVB_ECOLI	C6EBW7	C6EBW7_ECOBD	A
P0A9X1	ZNUC_ECOLI	C6EBW9	C6EBW9_ECOBD	F1
P0AFS9	YEBA_ECOLI	C6EBX1	C6EBX1_ECOBD	B
P24205	MSBB_ECOLI	C6EBX2	C6EBX2_ECOBD	B
P21599	KPYK2_ECOLI	C6EBX3	C6EBX3_ECOBD	A
P46118	HEXR_ECOLI	C6EBX4	C6EBX4_ECOBD	B
P0AC53	G6PD_ECOLI	C6EBX6	C6EBX6_ECOBD	A
P0ADF6	EDD_ECOLI	C6EBX7	C6EBX7_ECOBD	A
P0A955	ALKH_ECOLI	C6EBX8	C6EBX8_ECOBD	A
P0AEK0	EXOX_ECOLI	C6EBY5	C6EBY5_ECOBD	A
P76280	YOBB_ECOLI	C6EBY6	C6EBY6_ECOBD	A
P76273	RSMF_ECOLI	C6EBZ4	C6EBZ4_ECOBD	A
P76272	YEBT_ECOLI	C6EBZ5	C6EBZ5_ECOBD	B
P45577	PROQ_ECOLI	C6EBZ8	C6EBZ8_ECOBD	A
P23865	PRC_ECOLI	C6EBZ9	C6EBZ9_ECOBD	F2
P23894	HTPX_ECOLI	C6EC00	C6EC00_ECOBD	B
P76269	YEBQ_ECOLI	C6EC01	C6EC01_ECOBD	B
P76268	KDGR_ECOLI	C6EC02	C6EC02_ECOBD	A
P36999	RLMA_ECOLI	C6EC08	C6EC08_ECOBD	A
P69805	PTND_ECOLI	C6EC11	C6EC11_ECOBD	B
P69801	PTNC_ECOLI	C6EC12	C6EC12_ECOBD	B
P0AEC0	YOAE_ECOLI	C6EC15	C6EC15_ECOBD	B
P16095	SDHL_ECOLI	C6EC17	C6EC17_ECOBD	B
P43337	NUDL_ECOLI	C6EC18	C6EC18_ECOBD	B
P0AEB7	YOAB_ECOLI	C6EC22	C6EC22_ECOBD	A
P76257	YOAA_ECOLI	C6EC23	C6EC23_ECOBD	A
P76256	YEAZ_ECOLI	C6EC24	C6EC24_ECOBD	A
P0AA91	YEAY_ECOLI	C6EC25	C6EC25_ECOBD	I
P69451	LCFA_ECOLI	C6EC26	C6EC26_ECOBD	F1
P76245	YEAP_ECOLI	C6EC37	C6EC37_ECOBD	A
P0A908	MIPA_ECOLI	C6EC47	C6EC47_ECOBD	H
P39173	YEAD_ECOLI	C6EC49	C6EC49_ECOBD	A
P0A9B2	G3P1_ECOLI	C6EC50	C6EC50_ECOBD	A
P0A746	MSRB_ECOLI	C6EC51	C6EC51_ECOBD	A
P39342	YJGR_ECOLI	C6EC88	C6EC88_ECOBD	B
P0ADC6	LPTG_ECOLI	C6EC89	C6EC89_ECOBD	B
P68767	AMPA_ECOLI	C6EC91	C6EC91_ECOBD	A
P28905	HOLC_ECOLI	C6EC92	C6EC92_ECOBD	A
P07118	SYV_ECOLI	C6EC93	C6EC93_ECOBD	A
P39337	YJGM_ECOLI	C6EC95	C6EC95_ECOBD	A
P0A786	PYRB_ECOLI	C6ECA3	C6ECA3_ECOBD	A
P0A7F3	PYRI_ECOLI	C6ECA4	C6ECA4_ECOBD	A
P0AF93	YJGF_ECOLI	C6ECA5	C6ECA5_ECOBD	A
P0ABB8	ATMA_ECOLI	C6ECA6	C6ECA6_ECOBD	B
P36673	TRER_ECOLI	C6ECA7	C6ECA7_ECOBD	A
P36672	PTTBC_ECOLI	C6ECA8	C6ECA8_ECOBD	B
P28904	TREC_ECOLI	C6ECA9	C6ECA9_ECOBD	A
P28903	NRDD_ECOLI	C6ECB1	C6ECB1_ECOBD	A
P0AFK0	PMBA_ECOLI	C6ECB4	C6ECB4_ECOBD	A
P0A8X0	YJGA_ECOLI	C6ECB5	C6ECB5_ECOBD	A
P37773	MPL_ECOLI	C6ECB6	C6ECB6_ECOBD	A
P0A993	F16PA_ECOLI	C6ECB7	C6ECB7_ECOBD	A
P39325	YTFQ_ECOLI	C6ECC1	C6ECC1_ECOBD	G
P0A7A9	IPYR_ECOLI	C6ECC2	C6ECC2_ECOBD	A
P0AE48	YTFP_ECOLI	C6ECC3	C6ECC3_ECOBD	A
P39321	YTFN_ECOLI	C6ECC4	C6ECC4_ECOBD	B
P0ADE4	YTFM_ECOLI	C6ECC5	C6ECC5_ECOBD	H
P0A744	MSRA_ECOLI	C6ECC6	C6ECC6_ECOBD	A
P0AE45	YTFL_ECOLI	C6ECC7	C6ECC7_ECOBD	B
P39187	YTFJ_ECOLI	C6ECC9	C6ECC9_ECOBD	G
P08331	CPDB_ECOLI	C6ECD1	C6ECD1_ECOBD	G
P0AAE0	CYCA_ECOLI	C6ECD6	C6ECD6_ECOBD	B
P02358	RS6_ECOLI	C6ECE9	C6ECE9_ECOBD	A
P39304	ULAD_ECOLI	C6ECF3	C6ECF3_ECOBD	A
P39300	ULAG_ECOLI	C6ECF7	C6ECF7_ECOBD	A
P0A9W0	ULAR_ECOLI	C6ECF8	C6ECF8_ECOBD	A
P39298	YJFP_ECOLI	C6ECF9	C6ECF9_ECOBD	A
P63177	RLMB_ECOLI	C6ECG9	C6ECG9_ECOBD	A
P21499	RNR_ECOLI	C6ECH0	C6ECH0_ECOBD	A
P0AF63	NSRR_ECOLI	C6ECH1	C6ECH1_ECOBD	A
P0A7D4	PURA_ECOLI	C6ECH2	C6ECH2_ECOBD	A
P25519	HFLX_ECOLI	C6ECH6	C6ECH6_ECOBD	A
P0A988	DPO3B_ECOLI	C6ECH8	C6ECH8_ECOBD	A
P0A7H0	RECF_ECOLI	C6ECH9	C6ECH9_ECOBD	A
P08395	SPPA_ECOLI	C6ECJ1	C6ECJ1_ECOBD	B
P0ACY1	YDJA_ECOLI	C6ECJ2	C6ECJ2_ECOBD	A
P16456	SELD_ECOLI	C6ECJ3	C6ECJ3_ECOBD	A
P14294	TOP3_ECOLI	C6ECJ4	C6ECJ4_ECOBD	A
P00370	DHE4_ECOLI	C6ECJ6	C6ECJ6_ECOBD	A
P76222	YNJA_ECOLI	C6ECK4	C6ECK4_ECOBD	B
P09030	EX3_ECOLI	C6ECK8	C6ECK8_ECOBD	A
P77581	ASTC_ECOLI	C6ECL0	C6ECL0_ECOBD	A
P0AE37	ASTA_ECOLI	C6ECL1	C6ECL1_ECOBD	A
P76213	CHO_ECOLI	C6ECL7	C6ECL7_ECOBD	A
P18843	NADE_ECOLI	C6ECL8	C6ECL8_ECOBD	A
P0ADB1	OSME_ECOLI	C6ECL9	C6ECL9_ECOBD	I
P21179	CATE_ECOLI	C6ECM6	C6ECM6_ECOBD	A
P64481	YDJM_ECOLI	C6ECN0	C6ECN0_ECOBD	B
P76208	YNIB_ECOLI	C6ECN2	C6ECN2_ECOBD	B
P77739	YNIA_ECOLI	C6ECN3	C6ECN3_ECOBD	A
P06999	K6PF2_ECOLI	C6ECN5	C6ECN5_ECOBD	A
P76206	YDIY_ECOLI	C6ECN6	C6ECN6_ECOBD	G
P0A8M3	SYT_ECOLI	C6ECN8	C6ECN8_ECOBD	A
P08312	SYFA_ECOLI	C6ECP3	C6ECP3_ECOBD	A
P06610	BTUE_ECOLI	C6ECP7	C6ECP7_ECOBD	A
P06611	BTUD_ECOLI	C6ECP8	C6ECP8_ECOBD	F1
P00887	AROH_ECOLI	C6ECQ2	C6ECQ2_ECOBD	A
P0A8A4	YDIA_ECOLI	C6ECQ3	C6ECQ3_ECOBD	A
P23538	PPSA_ECOLI	C6ECQ5	C6ECQ5_ECOBD	A
P38135	FADK_ECOLI	C6ECQ6	C6ECQ6_ECOBD	F1
P05194	AROD_ECOLI	C6ECR4	C6ECR4_ECOBD	A
P77748	YDIJ_ECOLI	C6ECR9	C6ECR9_ECOBD	A
P64476	YDIH_ECOLI	C6ECS1	C6ECS1_ECOBD	A
P77522	SUFB_ECOLI	C6ECS2	C6ECS2_ECOBD	F1
P77499	SUFC_ECOLI	C6ECS3	C6ECS3_ECOBD	F1
P77689	SUFD_ECOLI	C6ECS4	C6ECS4_ECOBD	F1
P77444	SUFS_ECOLI	C6ECS5	C6ECS5_ECOBD	F1
P76193	YNHG_ECOLI	C6ECS7	C6ECS7_ECOBD	G
P0AD61	KPYK1_ECOLI	C6ECS9	C6ECS9_ECOBD	A
P77552	YDHQ_ECOLI	C6ECT9	C6ECT9_ECOBD	A
P37340	MDTK_ECOLI	C6ECU0	C6ECU0_ECOBD	B
P0AFU8	RISA_ECOLI	C6ECU1	C6ECU1_ECOBD	A
P0A9H7	CFA_ECOLI	C6ECU2	C6ECU2_ECOBD	A
P0AGD3	SODF_ECOLI	C6ECU7	C6ECU7_ECOBD	A
P0AC69	GLRX4_ECOLI	C6ECU9	C6ECU9_ECOBD	A
P30014	RNT_ECOLI	C6ECV1	C6ECV1_ECOBD	A
P0AC81	LGUL_ECOLI	C6ECV2	C6ECV2_ECOBD	A
P77258	NEMA_ECOLI	C6ECV3	C6ECV3_ECOBD	A
P0A6X3	HFQ_ECOLI	C6ECV6	C6ECV6_ECOBD	F1
P16384	MIAA_ECOLI	C6ECV7	C6ECV7_ECOBD	A
