Merge ID	TableS3_K12_ProteomeV13_BasicProteome_3900	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Corbin2003	Fountoulakis2003	Taoka2004	Butland2005	Pan2010	Thein2010	Lopez2005	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Wagner2008	Xia2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Peng2010	Price2010	Wickstrom2010	Manddalo2011	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome_3900 Duplicates	Molloy1999 Duplicates	Molloy2000 Duplicates	Gevaert2002 Duplicates	Yan2002 Duplicates	Corbin2003 Duplicates	Fountoulakis2003 Duplicates	Taoka2004 Duplicates	Butland2005 Duplicates	Pan2010 Duplicates	Thein2010 Duplicates	Lopez2005 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Wagner2005 Duplicates	Arifuzzaman2006 Duplicates	Baars2006 Duplicates	Huang2006 Duplicates	Ji2006 Duplicates	Lasserre2006 Duplicates	Marani2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Zhang2007 Duplicates	Jarchow2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Qian2008 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Vertommen2009 Duplicates	Hemm2010 Duplicates	Iwasaki2010 Duplicates	Peng2010 Duplicates	Price2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	OurStudy_Feb2011_Common Duplicates	Subcellular Location(this study)	Entry name (Uniprot)	Mobole Element	Accession	
P05458	1			1		1		1				1				1																	1					1	8	1			1		1		1				1				1																	1					1	G	PTRA_ECOLI	0	P05458	
P05459	1			1		1	1	1				1				1														1			1					1	10	1			1		1	1	1				1				1														1			1					1	A	PDXB_ECOLI	0	P05459	
P05523	1							1								1			1														1					1	6	1							1								1			1														1					1	A	FPG_ECOLI	0	P05523	
P05637	1					1		1																					1	1			1					1	7	1					1		1																					1	1			1					1	A	APAH_ECOLI	0	P05637	
P05793	1			1	1	1	1									1			1					1					1	1			1					1	12	1			1	1	1	1									1			1					1					1	1			1					1	A	ILVC_ECOLI	0	P05793	
P05804	1															1								1									1						4	1															1								1									1						A	BGLR_ECOLI	0		
P05824	1								1							1														1									4	1								1							1														1									B	RECN_ECOLI	0		
P05827	1																																1					1	3	1																																1					1	A	ILVY_ECOLI	0	P05827	
P05847	1															1																						1	3	1															1																						1	A	TTDA_ECOLI	0	P05847	
P05852	1							1	1			1				1													1	1			1					1	9	1							1	1			1				1													1	1			1					1	A	GCP_ECOLI	0	P05852	
P06136	1															1			1										1	1			1					1	7	1															1			1										1	1			1					1	B	FTSQ_ECOLI	0	P06136	
P06149	1			1		1	1	1		1	1		1			1			1	1				1		1			1	1			1	1			1	1	19	1			1		1	1	1		1	1		1			1			1	1				1		1			1	1			1	1			1	1	F1	DLD_ECOLI	0	P06149	
P06282	1							1								1			1					1					1	1			1					1	9	1							1								1			1					1					1	1			1					1	B	CDH_ECOLI	0	P06282	
P06610	1			1		1		1				1			1	1	1													1			1					1	11	1			1		1		1				1			1	1	1													1			1					1	A	BTUE_ECOLI	0	P06610	
P06611	1															1													1	1			1					1	6	1															1													1	1			1					1	F1	BTUD_ECOLI	0	P06611	
P06612	1			1		1		1	1		1					1													1	1			1					1	11	1			1		1		1	1		1					1													1	1			1					1	A	TOP1_ECOLI	0	P06612	
P06616	1							1	1		1					1													1	1			1					1	9	1							1	1		1					1													1	1			1					1	F1	ERA_ECOLI	0	P06616	
P06709	1								1							1														1			1					1	6	1								1							1														1			1					1	B	BIRA_ECOLI	0	P06709	
P06710	1			1				1	1							1													1	1			1					1	9	1			1				1	1							1													1	1			1					1	A	DPO3X_ECOLI	0	P06710	
P06715	1			1		1	1	1				1			1	1	1			1									1	1			1					1	14	1			1		1	1	1				1			1	1	1			1									1	1			1					1	A	GSHR_ECOLI	0	P06715	
P06720	1			1			1	1							1	1	1									1			1				1					1	11	1			1			1	1							1	1	1									1			1				1					1	A	AGAL_ECOLI	0	P06720	
P06721	1					1										1																	1					1	5	1					1										1																	1					1	A	METC_ECOLI	0	P06721	
P06722	1								1							1																						1	4	1								1							1																						1	A	MUTH_ECOLI	0	P06722	
P06846	1															1																	1					1	4	1															1																	1					1	A	EBGR_ECOLI	0	P06846	
P06864	1								1																														2	1								1																														A	BGA2_ECOLI	0		
P06961	1							1	1							1														1			1					1	7	1							1	1							1														1			1					1	A	CCA_ECOLI	0	P06961	
P06968	1				1	1		1	1			1								1										1			1					1	10	1				1	1		1	1			1								1										1			1					1	A	DUT_ECOLI	0	P06968	
P06983	1							1	1		1	1				1														1			1					1	9	1							1	1		1	1				1														1			1					1	A	HEM3_ECOLI	0	P06983	
P06986	1					1		1	1																					1			1					1	7	1					1		1	1																					1			1					1	A	HIS8_ECOLI	0	P06986	
P06987	1					1		1			1								1	1										1			1					1	9	1					1		1			1								1	1										1			1					1	A	HIS7_ECOLI	0	P06987	
P06988	1				1	1		1				1				1										1			1	1			1					1	11	1				1	1		1				1				1										1			1	1			1					1	A	HISX_ECOLI	0	P06988	
P06992	1			1		1		1	1							1													1	1			1					1	10	1			1		1		1	1							1													1	1			1					1	A	RSMA_ECOLI	0	P06992	
P06999	1			1		1	1	1				1			1	1	1									1			1	1			1					1	14	1			1		1	1	1				1			1	1	1									1			1	1			1					1	A	K6PF2_ECOLI	0	P06999	
P07000	1															1																	1					1	4	1															1																	1					1	F1	PLDB_ECOLI	0	P07000	
P07001	1			1		1		1	1		1								1					1		1			1	1			1					1	13	1			1		1		1	1		1								1					1		1			1	1			1					1	B	PNTA_ECOLI	0	P07001	
P07003	1			1		1	1	1							1	1	1			1			1			1			1	1			1					1	15	1			1		1	1	1							1	1	1			1			1			1			1	1			1					1	F1	POXB_ECOLI	0	P07003	
P07004	1			1		1		1	1			1																	1	1			1					1	10	1			1		1		1	1			1																	1	1			1					1	A	PROA_ECOLI	0	P07004	
P07014	1			1		1	1	1		1	1	1		1	1	1	1	1	1				1	1		1			1	1			1	1		1	1	1	24	1			1		1	1	1		1	1	1		1	1	1	1	1	1				1	1		1			1	1			1	1		1	1	1	F1	DHSB_ECOLI	0	P07014	
P07021	1								1																					1									3	1								1																					1									I	YFIB_ECOLI	0		
P07023	1					1			1							1													1				1					1	7	1					1			1							1													1				1					1	A	TYRA_ECOLI	0	P07023	
P07102	1						1									1																	1						4	1						1									1																	1						G	PPA_ECOLI	0		
P07109	1					1		1								1			1					1									1		1			1	9	1					1		1								1			1					1									1		1			1	F1	HISP_ECOLI	0	P07109	
P07118	1			1		1		1	1		1					1													1	1			1					1	11	1			1		1		1	1		1					1													1	1			1					1	A	SYV_ECOLI	0	P07118	
P07330	1																												1				1						3	1																												1				1						A	CHEB_ECOLI	0		
P07364	1																																						1	1																																						A	CHER_ECOLI	0		
P07604	1			1				1	1			1				1														1			1					1	9	1			1				1	1			1				1														1			1					1	A	TYRR_ECOLI	0	P07604	
P07623	1					1					1																											1	4	1					1					1																											1	A	META_ECOLI	0	P07623	
P07639	1			1		1		1	1																				1	1			1					1	9	1			1		1		1	1																				1	1			1					1	A	AROB_ECOLI	0	P07639	
P07648	1			1					1							1													1				1					1	7	1			1					1							1													1				1					1	A	EX5C_ECOLI	0	P07648	
P07649	1								1							1																	1					1	5	1								1							1																	1					1	A	TRUA_ECOLI	0	P07649	
P07650	1			1		1		1								1				1				1					1	1			1					1	11	1			1		1		1								1				1				1					1	1			1					1	B	TYPH_ECOLI	0	P07650	
P07654	1															1													1									1	4	1															1													1									1	B	PSTA_ECOLI	0	P07654	
P07762	1			1		1									1	1	1												1	1			1			1		1	11	1			1		1									1	1	1												1	1			1			1		1	A	GLGB_ECOLI	0	P07762	
P07813	1			1		1		1	1		1					1													1	1			1					1	11	1			1		1		1	1		1					1													1	1			1					1	A	SYL_ECOLI	0	P07813	
P07821	1															1														1			1					1	5	1															1														1			1					1	F1	FHUC_ECOLI	0	P07821	
P07822	1																																1					1	3	1																																1					1	G	FHUD_ECOLI	0	P07822	
P07862	1					1		1								1													1	1			1					1	8	1					1		1								2													1	1			1					1	A	DDLB_ECOLI	0	P07862	
P07913	1			1				1			1					1				1									1	1			1					1	10	1			1				1			1					1				1									1	1			1					1	A	TDH_ECOLI	0	P07913	
P08142	1					1		1	1							1														1			1					1	8	1					1		1	1							1														1			1					1	A	ILVB_ECOLI	0	P08142	
P08178	1					1						1																	1	1			1					1	7	1					1						1																	1	1			1					1	A	PUR5_ECOLI	0	P08178	
P08179	1							1								1																	1					1	5	1							1								1																	1					1	A	PUR3_ECOLI	0	P08179	
P08192	1					1		1	1																				1	1			1					1	8	1					1		1	1																				1	1			1					1	A	FOLC_ECOLI	0	P08192	
P08200	1			1	1	1	1	1				1			1		1		1				1		1	1			1	1			1			1		1	18	1			1	1	1	1	1				1			1		1		1				1		1	1			1	1			1			1		1	B	IDH_ECOLI	0	P08200	
P08201	1																												1	1			1					1	5	1																												1	1			1					1	A	NIRB_ECOLI	0	P08201	
P08244	1				1	1						1				1													1	1			1					1	9	1				1	1						1				1													1	1			1					1	A	PYRF_ECOLI	0	P08244	
P08312	1			1		1	1	1	1			1			1	1	1		1	1			1			1			1	1			1			1		1	19	1			1		1	1	1	1			1			1	1	1		1	1			1			1			1	1			1			1		1	A	SYFA_ECOLI	0	P08312	
P08331	1					1	1	1	1			1			1	1	1									1	1			1			1					1	14	1					1	1	1	1			1			1	1	1									1	1			1			1					1	G	CPDB_ECOLI	0	P08331	
P08337	1								1							1																	1						4	1								1							1																	1						A	MUTT_ECOLI	0		
P08368	1															1																	1					1	4	1															1																	1					1	A	CREB_ECOLI	0	P08368	
P08370	1																																						1	1																																						G	YGDB_ECOLI	0		
P08371	1			1												1																	1						4	1			1												1																	1						B	PPDB_ECOLI	0		
P08373	1					1		1	1							1														1			1						7	1					1		1	1							1														1			1						A	MURB_ECOLI	0		
P08394	1								1							1													1	1			1					1	7	1								1							1													1	1			1					1	A	EX5B_ECOLI	0	P08394	
P08395	1			1		1					1	1				1			1	1				1		1			1	1			1					1	14	1			1		1					1	1				1			1	1				1		1			1	1			1					1	B	SPPA_ECOLI	0	P08395	
P08400	1								1							1			1										1	1			1					1	8	1								1							2			1										1	1			1					1	B	PHOR_ECOLI	0	P08400	
P08401	1								1							1													1	1			1					1	7	1								1							1													1	1			1					1	B	CREC_ECOLI	0	P08401	
P08506	1			1		1	1	1			1				1	1	1		1					1		1			1	1			1		1			1	17	1			1		1	1	1			1				1	1	1		1					1		1			1	1			1		1			1	F2	DACC_ECOLI	0	P08506	
P08550	1								1																								1						3	1								1																								1						B	CVPA_ECOLI	0		
P08839	1			1	1	1	1	1	1		1	1				1		1		1									1	1			1					1	16	1			1	1	1	1	1	1		1	1				1		1		1									1	1			1					1	F1	PT1_ECOLI	0	P08839	
P08997	1			1		1		1								1											1		1	1			1			1		1	11	1			1		1		1								1											1		1	1			1			1		1	A	MASY_ECOLI	0	P08997	
P09029	1					1																							1				1						4	1					1																							1				1						A	PURK_ECOLI	0		
P09030	1			1		1		1	1			1				1													1	1			1					1	11	1			1		1		1	1			1				1													1	1			1					1	A	EX3_ECOLI	0	P09030	
P09053	1			1		1		1																					1	1			1					1	8	1			1		1		1																					1	1			1					1	A	AVTA_ECOLI	0	P09053	
P09126	1					1		1								1													1	1			1					1	8	1					1		1								1													1	1			1					1	A	HEM4_ECOLI	0	P09126	
P09152	1			1			1	1	1	1						1				1				1					1	1			1	1				1	14	1			1			1	1	1	1						1				1				1					1	1			1	1				1	F1	NARG_ECOLI	0	P09152	
P09155	1								1						1		1						1							1			1						7	1								1						1		1						1							1			1						A	RND_ECOLI	0		
P09158	1				1	1		1	1		1	1								1									1	1			1					1	12	1				1	1		1	1		1	1								1									1	1			1					1	A	SPEE_ECOLI	0	P09158	
P09163	1																																					1	2	1																																					1	A	YJAB_ECOLI	0	P09163	
P09348	1								1							1								1						1									5	1								1							1								1						1									B	MOTA_ECOLI	0		
P09377	1								1							1																						1	4	1								1							1																						1	A	RHAS_ECOLI	0	P09377	
P09391	1																		1					1					1	1								1	6	1																		1					1					1	1								1	B	GLPG_ECOLI	0	P09391	
P09394	1			1		1	1	1				1				1				1						1				1			1					1	12	1			1		1	1	1				1				1				1						1				1			1					1	G	GLPQ_ECOLI	0	P09394	
P09424	1			1		1		1	1						1	1	1												1	1			1			1			12	1			1		1		1	1						1	1	1												1	1			1			1			A	MTLD_ECOLI	0		
P09546	1			1		1	1	1	1		1	1				1								1					1	1			1					1	14	1			1		1	1	1	1		1	1				1								1					1	1			1					1	F1	PUTA_ECOLI	0	P09546	
P09549	1							1																1					1	1			1					1	7	1							1																1					1	1			1					1	B	DEDD_ECOLI	0	P09549	
P09832	1			1		1	1	1	1							1																	1					1	9	1			1		1	1	1	1							1																	1					1	A	GLTD_ECOLI	0	P09832	
P09836	1																												1										2	1																												1										B	UHPC_ECOLI	0		
P09980	1								1		1					1													1	1			1					1	8	1								1		1					1													1	1			1					1	A	REP_ECOLI	0	P09980	
P09996	1																													1			1						3	1																													1			1						A	YIDB_ECOLI	0		
P0A6A0	1						1		1							1													1	1			1					1	8	1						1		1							1													1	1			1					1	B	UBIB_ECOLI	0	P0A6A0	
P0A6A3	1			1	1	1	1	1			1	1			1		1	1		1						1			1	1			1					1	17	1			1	1	1	1	1			1	1			1		1	1		1						1			1	1			1					1	A	ACKA_ECOLI	0	P0A6A3	
P0A6B4	1			1		1										1														1			1					1	7	1			1		1										1														1			1					1	A	ALR1_ECOLI	0	P0A6B4	
P0A6B7	1			1		1		1	1		1					1			1							1			1	1			1					1	13	1			1		1		1	1		1					1			1							1			1	1			1					1	A	ISCS_ECOLI	0	P0A6B7	
P0A6C5	1					1			1		1																											1	5	1					1			1		1																											1	A	ARGA_ECOLI	0	P0A6C5	
P0A6C8	1					1		1	1																				1				1					1	7	1					1		1	1																				1				1					1	A	ARGB_ECOLI	0	P0A6C8	
P0A6D0	1								1										1											1			1					1	6	1								1										1											1			1					1	A	ARGR_ECOLI	0	P0A6D0	
P0A6D5	1								1						1		1																						4	1								1						1		1																						A	YDIB_ECOLI	0		
P0A6D7	1			1	1	1		1	1			1				1														1			1					1	11	1			1	1	1		1	1			1				1														1			1					1	A	AROK_ECOLI	0	P0A6D7	
P0A6E1	1																																1					1	3	1																																1					1	A	AROL_ECOLI	0	P0A6E1	
P0A6E4	1			1	1	1	1	1			1	1				1													1	1			1					1	13	1			1	1	1	1	1			1	1				1													1	1			1					1	A	ASSY_ECOLI	0	P0A6E4	
P0A6E9	1								1																				1				1						4	1								1																				1				1						B	BIOD2_ECOLI	0		
P0A6F1	1				1	1		1	1		1	1				1				1									1	1			1					1	13	1				1	1		1	1		1	1				2				1									1	1			1					1	A	CARA_ECOLI	0	P0A6F1	
P0A6F3	1			1		1	1	1	1		1	1			1	1	1		1	1			1		1				1	1			1					1	19	1			1		1	1	1	1		1	1			1	1	1		1	1			1		1				1	1			1					1	A	GLPK_ECOLI	0	P0A6F3	
P0A6F5	1			1	1	1		1	1		1	1			1	1	1	1		1			1			1			1	1			1			1		1	20	1			1	1	1		1	1		1	1			1	1	1	1		1			2			1			1	1			1			1		1	A	CH60_ECOLI	0	P0A6F5	
