Locus	Gene Symbol	Common Name	EC Number	5' End	3' End	DNA molecule	
ECK1347:JW1344:b1350	recE	exonuclease VIII, 5 -> 3 specific dsDNA exonuclease	 	1419100	1416500	Chromosome Escherichia coli W3110	
ECK1354:JW1351:b1356	racR	predicted DNA-binding transcriptional regulator	 	1421955	1421479	Chromosome Escherichia coli W3110	
ECK1355:JW1352:b1357	ydaS	predicted DNA-binding transcriptional regulator	 	1422079	1422375	Chromosome Escherichia coli W3110	
ECK1356:JW1353:b1358	ydaT	hypothetical protein	 	1422398	1422820	Chromosome Escherichia coli W3110	
ECK1357:JW1354:b1359	ydaU	conserved hypothetical protein	 	1422833	1423690	Chromosome Escherichia coli W3110	
ECK1359:JW5211:b1361	ydaW	predicted DNA-binding protein	 	1424466	1425026	Chromosome Escherichia coli W3110	
ECK1361:JW5213:b4528	rzoR	predicted lipoprotein	 	1425114	1425299	Chromosome Escherichia coli W3110	
ECK1364:JW1360:b1366	ydaY	hypothetical protein	 	1427335	1427694	Chromosome Escherichia coli W3110	
ECK1366:JW5884:b1369	 	Rac prophage region hypothetical protein, N-ter fragment	 	1429172	1429327	Chromosome Escherichia coli W3110	
ECK1366:JW5904:b1371	 	ECK1366:JW5904:b1371	 	1430528	1430698	Chromosome Escherichia coli W3110	
ECK1383:JW1381:b1386	tynA	tyramine oxidase, copper-requiring	 	1453063	1450790	Chromosome Escherichia coli W3110	
ECK1385:JW1383:b1388	paaA	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	 	1455641	1456570	Chromosome Escherichia coli W3110	
ECK1386:JW1384:b1389	paaB	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	 	1456582	1456869	Chromosome Escherichia coli W3110	
ECK1387:JW1385:b1390	paaC	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	 	1456878	1457624	Chromosome Escherichia coli W3110	
ECK1388:JW5217:b1391	paaD	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	 	1457639	1458136	Chromosome Escherichia coli W3110	
ECK1389:JW1387:b1392	paaE	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	 	1458144	1459214	Chromosome Escherichia coli W3110	
ECK1390:JW1388:b1393	paaF	enoyl-CoA hydratase-isomerase	 	1459211	1459978	Chromosome Escherichia coli W3110	
ECK1391:JW1389:b1394	paaG	acyl-CoA hydratase	 	1459978	1460766	Chromosome Escherichia coli W3110	
ECK1393:JW1391:b1396	paaI	predicted thioesterase	 	1462185	1462607	Chromosome Escherichia coli W3110	
ECK1395:JW5218:b1398	paaK	phenylacetyl-CoA ligase	 	1463839	1465152	Chromosome Escherichia coli W3110	
ECK1396:JW1394:b1399	paaX	DNA-binding transcriptional regulator, aryl-CoA responsive	 	1465253	1466203	Chromosome Escherichia coli W3110	
ECK1398:JW5802:b1401	 	ECK1398:JW5802:b1401	 	1467106	1469664	Chromosome Escherichia coli W3110	
ECK0358:JW1397:b1402	insD	IS2 insertion element transposase InsAB	 	1470540	1469635	Chromosome Escherichia coli W3110	
ECK0357:JW1400:b1403	insC	IS2 insertion element repressor InsA	 	1470908	1470498	Chromosome Escherichia coli W3110	
ECK1398:JW1402:b1405	 	ECK1398:JW1402:b1405	 	1472404	1475727	Chromosome Escherichia coli W3110	
ECK1399:JW1403:b1406	ydbC	predicted oxidoreductase, NAD(P)-binding	 	1475935	1476795	Chromosome Escherichia coli W3110	
ECK1409:JW1413:b1416	 	ECK1409:JW1413:b1416	 	1491678	1491427	Chromosome Escherichia coli W3110	
ECK1409:JW5906:b1417	 	ECK1409:JW5906:b1417	 	1492427	1491675	Chromosome Escherichia coli W3110	
ECK1412:JW5225:b4428	hokB	toxic polypeptide, small	 	1493785	1493636	Chromosome Escherichia coli W3110	
ECK1425:JW5227:b4530	 	ECK1425:JW5227:b4530	 	1505024	1504857	Chromosome Escherichia coli W3110	
ECK1425:JW5227+JW5961:b45	 	predicted transposase	 	1505363	1504857	Chromosome Escherichia coli W3110	
ECK1425:JW5961:b4531	 	ECK1425:JW5961:b4531	 	1505363	1505076	Chromosome Escherichia coli W3110	
ECK1458:JW1459:b1464	yddE	conserved hypothetical protein	 	1537572	1536679	Chromosome Escherichia coli W3110	
ECK1464:JW1466:b1470	yddJ	hypothetical protein	 	1546433	1546098	Chromosome Escherichia coli W3110	
ECK1465:JW1467:b1471	yddK	hypothetical protein	 	1547428	1546472	Chromosome Escherichia coli W3110	
ECK1502:JW1502:b1509	 	conserved hypothetical protein	 	1595779	1594379	Chromosome Escherichia coli W3110	
ECK1505:JW1505:b1512	ydeW	predicted DNA-binding transcriptional regulator	 	1602955	1602002	Chromosome Escherichia coli W3110	
ECK1545:JW5254:b1551	ynfN	hypothetical protein	 	1639823	1639668	Chromosome Escherichia coli W3110	
ECK1547:JW1545:b1553	ydfP	conserved hypothetical protein	 	1641241	1640744	Chromosome Escherichia coli W3110	
ECK1557:JW1555:b1563	relE	toxin of the RelE-RelB toxin-antitoxin system	 	1647347	1647060	Chromosome Escherichia coli W3110	
ECK1558:JW1556:b1564	relB	bifunctional antitoxin of the RelE-RelB toxin-antitoxin system and transcriptional repressor	 	1647586	1647347	Chromosome Escherichia coli W3110	
ECK1559:JW1557:b1565	ydfV	hypothetical protein	 	1647611	1647916	Chromosome Escherichia coli W3110	
ECK1560:JW1558:b1566	flxA	hypothetical protein	 	1648119	1648451	Chromosome Escherichia coli W3110	
ECK1561:JW1559:b1567	ydfW	hypothetical protein	 	1649037	1648888	Chromosome Escherichia coli W3110	
ECK1566:JW1564:b1572	ydfB	hypothetical protein	 	1650379	1650507	Chromosome Escherichia coli W3110	
ECK1567:JW1565:b1573	ydfC	hypothetical protein	 	1650537	1650755	Chromosome Escherichia coli W3110	
ECK1572:JW1570:b1578	insD	predicted transposase	 	1652595	1653251	Chromosome Escherichia coli W3110	
ECK1574:JW5257:b4534	 	hypothetical protein	 	1654552	1654442	Chromosome Escherichia coli W3110	
ECK1592:JW5826:b1597	asr	acid shock-inducible periplasmic protein	 	1673090	1673398	Chromosome Escherichia coli W3110	
ECK1713:JW1705:b1715	pheM	phenylalanyl-tRNA synthetase operon leader peptide	 	1800984	1800940	Chromosome Escherichia coli W3110	
ECK1718:JW5278:b1720	 	hypothetical protein, N-ter fragment	 	1804808	1805281	Chromosome Escherichia coli W3110	
ECK1718:JW5278+JW1710:b44	 	hypothetical protein	 	1804808	1806707	Chromosome Escherichia coli W3110	
ECK1718:JW1710:b1721	 	ECK1718:JW1710:b1721	 	1805292	1806707	Chromosome Escherichia coli W3110	
ECK1781:JW1772:b1783	yeaG	conserved hypothetical protein with nucleoside triphosphate hydrolase domain	 	1868622	1870556	Chromosome Escherichia coli W3110	
ECK1786:JW5885:b1788	yoaI	hypothetical protein	 	1875896	1875792	Chromosome Escherichia coli W3110	
ECK1932:JW1918:b1933	 	ECK1932:JW1918:b1933	 	2013676	2013485	Chromosome Escherichia coli W3110	
ECK1932:JW5912+JW1918:b44	 	hypothetical protein	 	2014006	2013485	Chromosome Escherichia coli W3110	
ECK1932:JW5912:b1934	 	ECK1932:JW5912:b1934	 	2014006	2013686	Chromosome Escherichia coli W3110	
ECK1933:JW1920:b1935	yedM	conserved hypothetical protein	 	2014488	2014138	Chromosome Escherichia coli W3110	
ECK1934:JW5913:b1936	 	predicted defective phage integrase	 	2014639	2014917	Chromosome Escherichia coli W3110	
ECK1962:JW5319:b1964	 	hypothetical protein, N-ter fragment	 	2036188	2036673	Chromosome Escherichia coli W3110	
ECK1962:JW1948:b1965	 	hypothetical protein, middle fragment	 	2036683	2036892	Chromosome Escherichia coli W3110	
ECK1962:JW1949:b1966	 	hypothetical protein, C-ter fragment	 	2036976	2037380	Chromosome Escherichia coli W3110	
ECK1975:JW5325:b1979	 	hypothetical protein, C-ter fragment	 	2054739	2054413	Chromosome Escherichia coli W3110	
ECK1975:JW1961+JW5325:b44	 	hypothetical protein	 	2055465	2054413	Chromosome Escherichia coli W3110	
ECK1975:JW1961:b1980	 	hypothetical protein, N-ter fragment	 	2055465	2054761	Chromosome Escherichia coli W3110	
ECK1989:JW5326:b1995	 	predicted disrupted hemin or colicin receptor	 	2070772	2071164	Chromosome Escherichia coli W3110	
ECK0358:JW1975:b1996	insD	IS2 insertion element transposase InsAB	 	2071994	2071089	Chromosome Escherichia coli W3110	
ECK0357:JW1978:b1997	insC	IS2 insertion element repressor InsA	 	2072362	2071952	Chromosome Escherichia coli W3110	
ECK1991:JW5327:b1999	 	predicted GTP-binding protein	 	2072923	2073348	Chromosome Escherichia coli W3110	
ECK1994:JW1983:b2001	yeeR	predicted membrane protein	 	2076916	2078448	Chromosome Escherichia coli W3110	
ECK1996:JW1985:b2003	yeeT	hypothetical protein	 	2078954	2079175	Chromosome Escherichia coli W3110	
ECK1997:JW1986:b2004	yeeU	antitoxin of the YeeV-YeeU toxin-antitoxin system	 	2079249	2079617	Chromosome Escherichia coli W3110	
ECK2000:JW5328:b4538	yoeF	conserved hypothetical protein	 	2080712	2081068	Chromosome Escherichia coli W3110	
ECK2011:JW5331:b4539	yoeB	toxin of the YoeB-YefM toxin-antitoxin system	 	2091602	2091348	Chromosome Escherichia coli W3110	
ECK2012:JW5835:b2017	yefM	antitoxin of the YoeB-YefM toxin-antitoxin system	 	2091850	2091599	Chromosome Escherichia coli W3110	
ECK2013:JW2000:b2018	hisL	his operon leader peptide	 	2092133	2092183	Chromosome Escherichia coli W3110	
ECK2025:JW2012:b4540	 	ECK2025:JW2012:b4540	 	2103814	2103533	Chromosome Escherichia coli W3110	
ECK2025:JW2016+JW2012:b45	 	lipopolysaccharide biosynthesis protein	 	2105526	2103533	Chromosome Escherichia coli W3110	
ECK2025:JW2016:b2031	 	ECK2025:JW2016:b2031	 	2105526	2105053	Chromosome Escherichia coli W3110	
ECK2026:JW2017:b2032	wbbK	lipopolysaccharide biosynthesis protein	 	2106646	2105528	Chromosome Escherichia coli W3110	
ECK2027:JW2018:b2033	wbbJ	predicted acyl transferase	 	2107221	2106631	Chromosome Escherichia coli W3110	
ECK2028:JW2019:b2034	wbbI	conserved hypothetical protein	 	2108194	2107202	Chromosome Escherichia coli W3110	
ECK2029:JW2020:b2035	wbbH	O-antigen polymerase	 	2109363	2108197	Chromosome Escherichia coli W3110	
ECK2030:JW2021:b2036	glf	UDP-galactopyranose mutase, FAD/NAD(P)-binding	 	2110466	2109363	Chromosome Escherichia coli W3110	
ECK2031:JW2022:b2037	rfbX	predicted polisoprenol-linked O-antigen transporter	 	2111721	2110474	Chromosome Escherichia coli W3110	
ECK2065:JW2056:b2071	yegJ	hypothetical protein	 	2153322	2153783	Chromosome Escherichia coli W3110	
ECK2080:JW5886:b2083	 	hypothetical protein fragment	 	2169957	2169739	Chromosome Escherichia coli W3110	
ECK2083:JW5340:b2087	 	DNA-binding transcriptional regulator, N-ter fragment	 	2172276	2171830	Chromosome Escherichia coli W3110	
ECK2083:JW2074:b2090	 	DNA-binding transcriptional regulator, C-ter fragment	 	2173870	2173532	Chromosome Escherichia coli W3110	
ECK2099:JW2093:b2106	yohM	membrane protein conferring nickel and cobalt resistance	 	2189251	2190075	Chromosome Escherichia coli W3110	
ECK2100:JW5346:b2107	yohN	hypothetical protein	 	2190294	2190632	Chromosome Escherichia coli W3110	
ECK2101:JW2095:b2108	yehA	predicted fimbrial-like adhesin protein	 	2191748	2190714	Chromosome Escherichia coli W3110	
ECK2104:JW2098:b2111	yehD	predicted fimbrial-like adhesin protein	 	2195556	2195014	Chromosome Escherichia coli W3110	
ECK2105:JW2099:b2112	yehE	hypothetical protein	 	2196130	2195849	Chromosome Escherichia coli W3110	
ECK2108:JW5915:b2116	 	DNA-binding transcriptional regulator, middle fragment	 	2200744	2202681	Chromosome Escherichia coli W3110	
ECK2108:JW5916:b2117	 	ECK2108:JW5916:b2117	 	2202656	2203603	Chromosome Escherichia coli W3110	
ECK0358:JW5918:unique	insD	IS2 element protein	 	2321728	2320805	Chromosome Escherichia coli W3110	
ECK0357:JW5919:unique	insC	IS2 element protein	 	2322033	2321668	Chromosome Escherichia coli W3110	
ECK2220:JW2221:b2227	 	hypothetical protein, C-ter fragment	 	2334953	2334468	Chromosome Escherichia coli W3110	
ECK2220:JW2222:b2228	 	ECK2220:JW2222:b2228	 	2339072	2334969	Chromosome Escherichia coli W3110	
ECK2237:JW5964:b4543	 	ECK2237:JW5964:b4543	 	2362486	2362671	Chromosome Escherichia coli W3110	
ECK2264:JW2265:b2270	yfbK	lipoprotein, putative	 	2390392	2388665	Chromosome Escherichia coli W3110	
ECK2265:JW2266:b2271	yfbL	predicted peptidase	 	2390530	2391501	Chromosome Escherichia coli W3110	
ECK2267:JW2268:b2273	yfbN	hypothetical protein	 	2393096	2392380	Chromosome Escherichia coli W3110	
ECK2268:JW2269:b2274	yfbO	hypothetical protein	 	2393251	2393727	Chromosome Escherichia coli W3110	
ECK2269:JW2270:b2275	yfbP	hypothetical protein	 	2393783	2394634	Chromosome Escherichia coli W3110	
ECK2339:JW2342:b2345	yfdF	hypothetical protein	 	2468458	2469516	Chromosome Escherichia coli W3110	
ECK2344:JW2346:b2350	yfdG	bactoprenol-linked glucose translocase (flippase)	 	2473301	2473663	Chromosome Escherichia coli W3110	
ECK2346:JW5382:b2352	yfdI	predicted inner membrane protein	 	2474577	2475908	Chromosome Escherichia coli W3110	
ECK2347:JW5383:b2353	 	CPS-53 (KpLE1) prophage region  tail fiber assembly protein fragment    gene            complement(2476523..2476963) /gene=yfdK	 	2476249	2476551	Chromosome Escherichia coli W3110	
ECK2350:JW2352:b2356	yfdM	predicted methyltransferase	 	2477833	2477558	Chromosome Escherichia coli W3110	
ECK2351:JW5385:b2357	yfdN	hypothetical protein	 	2478327	2477833	Chromosome Escherichia coli W3110	
ECK2353:JW2356:b2359	yfdP	hypothetical protein	 	2478966	2479412	Chromosome Escherichia coli W3110	
ECK2354:JW2357:b2360	yfdQ	hypothetical protein	 	2479478	2480302	Chromosome Escherichia coli W3110	
ECK2355:JW2358:b2361	yfdR	conserved hypothetical protein	 	2480430	2480966	Chromosome Escherichia coli W3110	
ECK2356:JW2359:b2362	yfdS	hypothetical protein	 	2480957	2481319	Chromosome Escherichia coli W3110	
ECK2357:JW5887:b2363	yfdT	hypothetical protein	 	2481319	2481624	Chromosome Escherichia coli W3110	
ECK2358:JW5386:b4545	ypdJ	hypothetical protein	 	2481540	2481680	Chromosome Escherichia coli W3110	
ECK2359:JW5387:b4501	torI	response regulator inhibitor for tor operon	 	2481756	2481956	Chromosome Escherichia coli W3110	
ECK2401:JW2398:b2407	xapA	purine nucleoside phosphorylase II	 	2530324	2529491	Chromosome Escherichia coli W3110	
ECK2402:JW2399:b2408	yfeN	conserved outer membrane protein	 	2530573	2531337	Chromosome Escherichia coli W3110	
ECK2425:JW5395:b2430	yfeW	predicted periplasmic esterase	 	2553548	2554852	Chromosome Escherichia coli W3110	
ECK2595:JW2579:b2598	pheL	pheA gene leader peptide	 	2736255	2736302	Chromosome Escherichia coli W3110	
ECK2619:JW2603:b2623	yfjH	hypothetical protein	 	2757256	2756300	Chromosome Escherichia coli W3110	
ECK2620:JW2604:b2624	alpA	DNA-binding transcriptional activator	 	2757300	2757512	Chromosome Escherichia coli W3110	
ECK2621:JW2605:b2625	yfjI	hypothetical protein	 	2757641	2759050	Chromosome Escherichia coli W3110	
ECK2622:JW2607:b2626	yfjJ	hypothetical protein	 	2759203	2759829	Chromosome Escherichia coli W3110	
ECK2623:JW2608:b2627	yfjK	conserved hypothetical protein	 	2762196	2760007	Chromosome Escherichia coli W3110	
ECK2624:JW2609:b2628	yfjL	hypothetical protein	 	2763809	2762193	Chromosome Escherichia coli W3110	
ECK2625:JW2610:b2629	yfjM	hypothetical protein	 	2764432	2764169	Chromosome Escherichia coli W3110	
ECK2626:JW2611:b2630	yfjN	hypothetical protein	 	2764574	2765647	Chromosome Escherichia coli W3110	
ECK2627:JW5418:b2631	yfjO	hypothetical protein	 	2765640	2766011	Chromosome Escherichia coli W3110	
