Join Name	BL21Remv	K12Total	No files found in	BL21Remv Duplicates	K12Total Duplicates
P0ABA0	1	1	2	1	1	C6EG67
P0ABA6	1	1	2	1	1	C6EG70
P0ABC0	1	1	2	1	1	C6EG64
P37617	1	1	2	1	1	C6EFA5
P09053	1	1	2	1	1	C6EEA7
P41407	1	1	2	1	1	C6EEV1
P69228	1	1	2	1	1	C6EAM6
P30847	1	1	2	1	1	C6EAM7
P0AEC5	1	1	2	1	1	C6EJ86
P30843	1	1	2	1	1	C6ED11
P30844	1	1	2	1	1	C6ED12
P27297	1	1	2	1	1	C6EEA9
P0AE52	1	1	2	1	1	C6EKN1
P28246	1	1	2	1	1	C6EA15
P37653	1	1	2	1	1	C6EEF0
P37652	1	1	2	1	1	C6EEF1
P37650	1	1	2	1	1	C6EEF3
P76127	1	1	2	1	1	C6EEN6
P17444	1	1	2	1	1	C6ELS0
P17445	1	1	2	1	1	C6ELR9
P17446	1	1	2	1	1	C6ELR8
P0ABC9	1	1	2	2	1	C6ELR7;C6EC73
P0AE56	1	1	2	1	1	C6EGC9
P0ABD3	1	1	2	1	1	C6EGD0
P06864	1	1	2	1	1	C6EHS0
P00722	1	1	2	2	1	C6EJI6;C6ELN6
Q46829	1	1	2	1	1	C6EIK7
P11988	1	1	2	1	1	C6EG82
P11989	1	1	2	1	1	C6EG80
P26218	1	1	2	1	1	C6EG83
P39404	1	1	2	1	1	C6EBK4
P05804	1	1	2	1	1	C6EDN0
P33363	1	1	2	1	1	C6EAH9
P0AB40	1	1	2	1	1	C6EGY0
P12995	1	1	2	1	1	C6EJ08
P12996	1	1	2	1	1	C6EJ07
P12999	1	1	2	1	1	C6EJ05
P13000	1	1	2	1	1	C6EJ04
P0A6E9	1	1	2	1	1	C6EDQ5
P12998	1	1	2	1	1	C6EJ06
P13001	1	1	2	1	1	C6EFG2
P06709	1	1	2	1	1	C6EE41
P20099	1	1	2	1	1	C6EED0
P0A901	1	1	2	2	1	C6ECX4;C6EDT4
P0ABE2	1	1	2	1	1	C6EL31
P0AD99	1	1	2	1	1	C6ELI3
P0AAY1	1	1	2	1	1	C6EIU7
P0AB33	1	1	2	1	1	C6EHF3
P06611	1	1	2	1	1	C6ECP8
P06610	1	1	2	1	1	C6ECP7
P37028	1	1	2	1	1	C6EAC6
P0A9H5	1	1	2	1	1	C6EFW7
P76345	1	1	2	1	1	C6EB94
P75925	1	1	2	1	1	C6EHF6
P77213	1	1	2	1	1	C6EKC0
P0AAE8	1	1	2	1	1	C6ECZ2
P23890	1	1	2	1	1	C6ECZ1
P60584	1	1	2	1	1	C6EB14
P31552	1	1	2	1	1	C6EB15
P31551	1	1	2	1	1	C6EB16
P39206	1	1	2	1	1	C6EB17
P0AE58	1	1	2	1	1	C6EB18
P31553	1	1	2	1	1	C6EB13
P61517	1	1	2	1	1	C6EAT1
P00864	1	1	2	1	1	C6EE53
P0A6F1	1	1	2	1	1	C6EB20
P00968	1	1	2	1	1	C6EB19
P21179	1	1	2	1	1	C6ECM6
Q47083	1	1	2	1	1	C6EB84
P36659	1	1	2	1	1	C6EHK7
P63264	1	1	2	1	1	C6EHK8
P31456	1	1	2	1	1	C6ED80
P31468	1	1	2	1	1	C6EG87
P31469	1	1	2	1	1	C6EG86
P06961	1	1	2	1	1	C6EHT9
P33931	1	1	2	1	1	C6E9Z9
P0ABM1	1	1	2	1	1	C6EA01
P69490	1	1	2	1	1	C6EA03
P33927	1	1	2	1	1	C6EA04
P0ABM9	1	1	2	1	1	C6EA06
P37047	1	1	2	1	1	C6EAC2
P0ABF6	1	1	2	1	1	C6EAG9
P06282	1	1	2	1	1	C6EEY0
P0ABG1	1	1	2	1	1	C6EAB0
P0AE60	1	1	2	1	1	C6ECM7
P0A9H7	1	1	2	1	1	C6ECU2
P0A6F9	1	1	2	1	1	C6ECY3
P0A6F5	1	1	2	1	1	C6ECY2
P31801	1	1	2	1	1	C6EGP8
P0AE63	1	1	2	1	1	C6EGP7
P39163	1	1	2	1	1	C6EGP6
P17411	1	1	2	1	1	C6ECM4
P37794	1	1	2	1	1	C6ECM5
P17410	1	1	2	1	1	C6ECM3
P07363	1	1	2	1	1	C6EBT9
P07330	1	1	2	1	1	C6EBU4
P07364	1	1	2	1	1	C6EBU3
P0A964	1	1	2	1	1	C6EBU0
P0AE67	1	1	2	1	1	C6EBU5
P0A9H9	1	1	2	1	1	C6EBU6
P13656	1	1	2	1	1	C6EGC7
P76213	1	1	2	1	1	C6ECL7
P0AE70	1	1	2	1	1	C6EJ90
P0AE72	1	1	2	1	1	C6EJ89
P75726	1	1	2	1	1	C6EK79
P77808	1	1	2	1	1	C6E9V1
P17315	1	1	2	1	1	C6EAF8
P0ABH7	1	1	2	1	1	C6EJL8
P77390	1	1	2	1	1	C6EK76
P69330	1	1	2	1	1	C6EK77
P0A9I1	1	1	2	1	1	C6EK78
P77231	1	1	2	1	1	C6EK81
P0AE74	1	1	2	1	1	C6EK82
P0A6G5	1	1	2	1	1	C6EK80
P76175	1	1	2	1	1	C6EDQ6
P0ABH9	1	1	2	1	1	C6EI99
P63284	1	1	2	1	1	C6EJZ8
P0A6G7	1	1	2	1	1	C6EL28
P0A8Q6	1	1	2	1	1	C6EIA0
P0A6H1	1	1	2	1	1	C6EL27
P0A6H8	1	1	2	1	1	C6EFY7
P76290	1	1	2	1	1	C6EBV7
P76291	1	1	2	1	1	C6EBV6
P64467	1	1	2	1	1	C6EDM1
P0A6I3	1	1	2	1	1	C6EE40
P0ABQ0	1	1	2	1	1	C6EDF2
P0A6I6	1	1	2	1	1	C6EDF7
P0A6I9	1	1	2	1	1	C6EAV3
P52086	1	1	2	1	1	C6EK55
P36561	1	1	2	1	1	C6EB80
P36562	1	1	2	1	1	C6EB81
P0AE76	1	1	2	1	1	C6EB79
P25524	1	1	2	1	1	C6ELP3
P0AA82	1	1	2	2	1	C6ELP4;C6EF80
P46891	1	1	2	1	1	C6EL17
Q59385	1	1	2	1	1	C6EKY0
P0ABI4	1	1	2	1	1	C6EFZ7
P0AE78	1	1	2	1	1	C6EK37
P08331	1	1	2	1	1	C6ECD1
P0CB39	1	1	2	1	1	C6EE54
P0AE82	1	1	2	1	1	C6EEY6
P0AE85	1	1	2	1	1	C6EEY4
P0AE88	1	1	2	1	1	C6EEY5
P37001	1	1	2	1	1	C6EK70
P37002	1	1	2	1	1	C6EK68
P0AE91	1	1	2	1	1	C6EBH4
P08368	1	1	2	1	1	C6EBH3
P08401	1	1	2	1	1	C6EBH2
P08369	1	1	2	1	1	C6EBH1
P24251	1	1	2	1	1	C6EA47
P0ACJ8	1	1	2	1	1	C6EGA6
Q46925	1	1	2	1	1	C6EJ56
P28307	1	1	2	1	1	C6EHH0
P0ABK7	1	1	2	1	1	C6EHH1
P52107	1	1	2	1	1	C6EHG9
P52106	1	1	2	1	1	C6EHH2
P0AE95	1	1	2	1	1	C6EHH3
P0AE98	1	1	2	1	1	C6EHH4
P0AEA2	1	1	2	1	1	C6EHH5
P76621	1	1	2	1	1	C6EJW6
P54901	1	1	2	1	1	C6EKH2
P0A9X9	1	1	2	1	1	C6EEC4
P0A9Y6	1	1	2	1	1	C6EC07
P0A968	1	1	2	1	1	C6EIA1
P0A972	1	1	2	1	1	C6EK69
P0A978	1	1	2	1	1	C6EHL8
P0A982	1	1	2	1	1	C6EHL9
P69913	1	1	2	1	1	C6EJT5
P36649	1	1	2	1	1	C6EAT4
P0A9G4	1	1	2	1	1	C6EKX7
P38054	1	1	2	1	1	C6EKC6
P77239	1	1	2	1	1	C6EKC7
P77211	1	1	2	1	1	C6EKC9
P77214	1	1	2	1	1	C6EKC8
P0ACZ8	1	1	2	1	1	C6EKD0
P77485	1	1	2	1	1	C6EKD1
P69488	1	1	2	1	1	C6ECY8
P67826	1	1	2	1	1	C6EBV3
P08550	1	1	2	1	1	C6ELE0
P76007	1	1	2	1	1	C6EGS6
P00936	1	1	2	1	1	C6EG09
P27838	1	1	2	1	1	C6EG08
P0AAM1	1	1	2	1	1	C6EHN4
P0AAE0	1	1	2	1	1	C6ECD6
P0ABJ9	1	1	2	1	1	C6EJK5
P0ABK2	1	1	2	1	1	C6EJK4
P23886	1	1	2	1	1	C6EI96
P29018	1	1	2	1	1	C6EI95
P27111	1	1	2	1	1	C6ELP2
P00816	1	1	2	1	1	C6ELP0
P0ABE9	1	1	2	1	1	C6ELP1
P0ABJ1	1	1	2	1	1	C6EL34
P0ABI8	1	1	2	1	1	C6EL35
P0ABJ3	1	1	2	1	1	C6EL36
P0ABJ6	1	1	2	1	1	C6EL37
P0AEA5	1	1	2	1	1	C6EL38
P16676	1	1	2	1	1	C6EL55
P0A9F3	1	1	2	1	1	C6EFW2
P0A6J1	1	1	2	1	1	C6EJB7
P21156	1	1	2	1	1	C6EJB5
P0A9D4	1	1	2	1	1	C6EDI2
P0AEA8	1	1	2	1	1	C6EFK8
P17854	1	1	2	1	1	C6EJB0
P17846	1	1	2	1	1	C6EJA9
P38038	1	1	2	1	1	C6EJA8
P0ABK5	1	1	2	1	1	C6EL63
P16703	1	1	2	1	1	C6EL56
P23845	1	1	2	1	1	C6EJB6
P16700	1	1	2	1	1	C6EL52
P22255	1	1	2	1	1	C6ECD0
P16701	1	1	2	1	1	C6EL53
P0AEB0	1	1	2	1	1	C6EL54
P0A6J3	1	1	2	1	1	C6EL65
P0ACN7	1	1	2	2	1	C6EE75;C6EDC8
P0AEB2	1	1	2	1	1	C6EK61
P24228	1	1	2	1	1	C6EH45
P08506	1	1	2	1	1	C6EIU4
P33013	1	1	2	1	1	C6EB73
P0A6J5	1	1	2	1	1	C6EGS8
P0A6L2	1	1	2	1	1	C6EKN3
P04036	1	1	2	1	1	C6EB22
P0A9D8	1	1	2	1	1	C6EAB9
P0AED7	1	1	2	1	1	C6EKP0
P0A6K1	1	1	2	1	1	C6EG05
P0ACF0	1	1	2	2	1	C6EE18;C6EL23
P21693	1	1	2	1	1	C6EFN9
P28248	1	1	2	1	1	C6EAP2
P00861	1	1	2	1	1	C6EJ30
P69908	1	1	2	1	1	C6EEG6
P69910	1	1	2	1	1	C6EEM4
P52095	1	1	2	1	1	C6EA99
P0AED9	1	1	2	1	1	C6EBA5
P21169	1	1	2	1	1	C6EIE4
P24169	1	1	2	1	1	C6EJP2
P24171	1	1	2	1	1	C6EDU8
P0AEE1	1	1	2	1	1	C6EFA2
P0A830	1	1	2	1	1	C6EEF5
P37195	1	1	2	1	1	C6EEH8
P0ABN5	1	1	2	1	1	C6ECY7
P0ABN9	1	1	2	1	1	C6ED01
P45428	1	1	2	1	1	C6EH05
P29680	1	1	2	1	1	C6EE21
P0AD01	1	1	2	1	1	C6ED00
P76316	1	1	2	1	1	C6EBE2
P0ACV2	1	1	2	1	1	C6EL90
P0A6J8	1	1	2	1	1	C6ELK6
P07862	1	1	2	1	1	C6EAW3
P76128	1	1	2	1	1	C6EEN0
P77308	1	1	2	1	1	C6EEN1
P77463	1	1	2	1	1	C6EEN2
P77268	1	1	2	1	1	C6EEN3
P77622	1	1	2	1	1	C6EEN4
P77790	1	1	2	1	1	C6EEM9
P0A9P6	1	1	2	1	1	C6EH63
P0ABP6	1	1	2	1	1	C6ELD6
P09549	1	1	2	1	1	C6ELD9
P0A6K3	1	1	2	1	1	C6EGI0
P0C0V0	1	1	2	1	1	C6EAC3
P39099	1	1	2	1	1	C6EGZ8
P0AEE3	1	1	2	1	1	C6EGZ7
P0A6K6	1	1	2	1	1	C6EBI8
P0A6L0	1	1	2	1	1	C6EBJ0
P0ABP8	1	1	2	1	1	C6EBI7
P0ACK5	1	1	2	1	1	C6EIU3
Q6BF17	1	1	2	1	1	C6ED78
P31459	1	1	2	2	1	C6ED76;C6EF66
P31460	1	1	2	1	1	C6ED75
P0AA76	1	1	2	1	1	C6ED79
P15723	1	1	2	1	1	C6EAC4
P76015	1	1	2	1	1	C6EGR7
P76014	1	1	2	1	1	C6EGR8
P37349	1	1	2	1	1	C6EGR9
P76016	1	1	2	1	1	C6EGR6
P0A9Q9	1	1	2	1	1	C6EFE1
P00370	1	1	2	1	1	C6ECJ6
P15877	1	1	2	1	1	C6EAT3
P00393	1	1	2	1	1	C6EGY3
P0AC13	1	1	2	1	1	C6EH50
P0AC41	1	1	2	1	1	C6EJL4
P07014	1	1	2	1	1	C6EJL3
P69054	1	1	2	1	1	C6EJL6
P0AC44	1	1	2	1	1	C6EJL5
P66817	1	1	2	1	1	C6EH76
P23840	1	1	2	1	1	C6EDE5
P28303	1	1	2	1	1	C6EDX6
P27296	1	1	2	1	1	C6EIY3
P0ABR1	1	1	2	2	1	C6EHF2;C6EIS9
Q47150	1	1	2	1	1	C6EA62
P31680	1	1	2	1	1	C6EAZ8
Q46857	1	1	2	1	1	C6EHY2
P30863	1	1	2	1	1	C6EA83
P0ABS1	1	1	2	1	1	C6EAD9
P06149	1	1	2	1	1	C6EAH8
P0A9P0	1	1	2	1	1	C6EAU1
P37672	1	1	2	1	1	C6EEA4
P56262	1	1	2	1	1	C6EF72
P0AEE8	1	1	2	1	1	C6EFI9
P18775	1	1	2	1	1	C6EI88
P18776	1	1	2	1	1	C6EI87
P18777	1	1	2	1	1	C6EI86
P69853	1	1	2	1	1	C6EDQ7
P03004	1	1	2	1	1	C6ECH7
P0ACB0	1	1	2	1	1	C6EDW8
P0AEF0	1	1	2	1	1	C6EBK9
P08622	1	1	2	1	1	C6EB39
P0A6Y8	1	1	2	1	1	C6EB40
P0A8J2	1	1	2	1	1	C6EBK8
P15042	1	1	2	1	1	C6EL67
P76129	1	1	2	1	1	C6EEM8
P66899	1	1	2	1	1	C6EIN7
P0AEF4	1	1	2	1	1	C6EK72
P77510	1	1	2	1	1	C6EK73
P00582	1	1	2	1	1	C6EF39
P21189	1	1	2	1	1	C6EAZ5
P10443	1	1	2	1	1	C6EAA1
P0A988	1	1	2	1	1	C6ECH8
P03007	1	1	2	1	1	C6EA75
P06710	1	1	2	1	1	C6EKZ4
Q47155	1	1	2	1	1	C6EA56
P23847	1	1	2	1	1	C6EED6
P0AEF8	1	1	2	1	1	C6EED7
P0AEG1	1	1	2	1	1	C6EED8
P0AAG0	1	1	2	1	1	C6EED9
P37313	1	1	2	1	1	C6EEE0
P0ABT2	1	1	2	1	1	C6EIX0
P0AEG6	1	1	2	1	1	C6EIL5
P36655	1	1	2	1	1	C6ECY9
P77202	1	1	2	1	1	C6EK90
P46068	1	1	2	1	1	C6ELA4
P08555	1	1	2	1	1	C6ELA3
P0AEG8	1	1	2	1	1	C6EBB3
P0A6M4	1	1	2	1	1	C6EF14
P75742	1	1	2	1	1	C6EJM9
P32695	1	1	2	1	1	C6EDX1
P0ABT5	1	1	2	1	1	C6EGK0
P33371	1	1	2	1	1	C6EAH2
P06968	1	1	2	1	1	C6EDF1
P45568	1	1	2	1	1	C6EAB2
P77488	1	1	2	1	1	C6ELG4
P0ABQ4	1	1	2	1	1	C6EB05
P0A9B6	1	1	2	1	1	C6EII2
P36943	1	1	2	1	1	C6ELT1
P31125	1	1	2	1	1	C6EDV4
P38101	1	1	2	1	1	C6EK08
P0AC73	1	1	2	1	1	C6EHR9
P06846	1	1	2	1	1	C6EHS1
P23827	1	1	2	1	1	C6E9Z0
P33128	1	1	2	1	1	C6EAE4
P0ADF6	1	1	2	1	1	C6EBX7
P75901	1	1	2	1	1	C6EHJ0
P0A6M8	1	1	2	1	1	C6EGC4
P0A6N4	1	1	2	1	1	C6ECX8
P0A6N8	1	1	2	1	1	C6EA26
P0A6P1	1	1	2	1	1	C6EAB5
P0CE47	1	1	2	1	1	C6EGC5
P0CE48	1	1	2	1	1	C6EE39
P0AEH3	1	1	2	1	1	C6E9T2
Q47013	1	1	2	1	1	C6E9T0
P0ABU5	1	1	2	1	1	C6EH18
P27303	1	1	2	1	1	C6EJU1
P0AEJ0	1	1	2	1	1	C6EJU0
P52599	1	1	2	1	1	C6ELA0
P52600	1	1	2	1	1	C6ELA1
P0C960	1	1	2	1	1	C6EGS4
P25736	1	1	2	1	1	C6EIG6
P0AB83	1	1	2	1	1	C6EDL3
P0A6C1	1	1	2	1	1	C6EAF4
P50465	1	1	2	1	1	C6EJM4
P0A6P5	1	1	2	1	1	C6EKJ8
P0A6P7	1	1	2	1	1	C6EF37
P0ABU2	1	1	2	1	1	C6EGR3
P0A6P9	1	1	2	1	1	C6EJ93
P15047	1	1	2	1	1	C6EK98
P0ADI4	1	1	2	1	1	C6EK99
P0AEJ2	1	1	2	1	1	C6EKA1
P19925	1	1	2	1	1	C6EKB3
P10378	1	1	2	1	1	C6EKA0
P11454	1	1	2	1	1	C6EKA9
P0ACT2	1	1	2	1	1	C6EGJ6
P0AEJ4	1	1	2	1	1	C6EFH0
P30845	1	1	2	1	1	C6ED10
P37661	1	1	2	1	1	C6EED5
P06616	1	1	2	1	1	C6EK21
P39176	1	1	2	1	1	C6EB82
P0ACC3	1	1	2	1	1	C6EAC8
P38134	1	1	2	1	1	C6EHM6
P0ACZ2	1	1	2	1	1	C6EHM5
P76551	1	1	2	1	1	C6EKR2
P0AEJ6	1	1	2	1	1	C6EKR3
P19636	1	1	2	1	1	C6EKR4
P77218	1	1	2	1	1	C6EKQ4
P77445	1	1	2	1	1	C6EKQ7
P76553	1	1	2	1	1	C6EKQ9
P76552	1	1	2	1	1	C6EKR1
P77277	1	1	2	1	1	C6EKQ8
P76540	1	1	2	1	1	C6EKR6
P76541	1	1	2	1	1	C6EKR5
P0ABF4	1	1	2	1	1	C6EKQ5
P0AEJ8	1	1	2	1	1	C6EKQ6
P76556	1	1	2	1	1	C6EKQ1
P76555	1	1	2	1	1	C6EKQ2
P36547	1	1	2	1	1	C6EKR7
P63746	1	1	2	1	1	C6EKQ0
P65643	1	1	2	1	1	C6EKQ3
P0ACZ4	1	1	2	1	1	C6EL99
P30855	1	1	2	1	1	C6EL98
P04995	1	1	2	1	1	C6EB72
P09030	1	1	2	1	1	C6ECK8
P04993	1	1	2	1	1	C6EJ50
P08394	1	1	2	1	1	C6EJ49
P07648	1	1	2	1	1	C6EJ47
P04994	1	1	2	1	1	C6EKK0
P0A8G9	1	1	2	1	1	C6EL47
P0ABU7	1	1	2	1	1	C6EHY7
P0ABV2	1	1	2	1	1	C6EHY8
P0AEK0	1	1	2	1	1	C6EBY5
P0ACL2	1	1	2	1	1	C6EHQ0
P0AA78	1	1	2	3	1	C6EHQ1;C6ECE5;C6EDC7
P0A993	1	1	2	1	1	C6ECB7
P0A6Q3	1	1	2	1	1	C6EI28
P0A953	1	1	2	1	1	C6ELD0
P0AAI9	1	1	2	1	1	C6EHC2
P0AAI5	1	1	2	1	1	C6EHB9
P0AEK2	1	1	2	1	1	C6EHC1
P0A6R0	1	1	2	1	1	C6EHC3
P0AEK4	1	1	2	1	1	C6EFU4
P0ACU5	1	1	2	1	1	C6EE46
P0A6Q6	1	1	2	1	1	C6EAA5
P21151	1	1	2	1	1	C6EF53
P21177	1	1	2	1	1	C6EF52
Q47146	1	1	2	1	1	C6EA67
P42593	1	1	2	1	1	C6EHR5
P76503	1	1	2	1	1	C6ELB2
P77399	1	1	2	1	1	C6ELB3
P38135	1	1	2	1	1	C6ECQ6
P10384	1	1	2	1	1	C6ELB0
