Gene Name	B Number	Class	Description	A (mRNA per cell cycle)_RNAseq
fruR	b0080	noessential	DNA-binding transcriptional dual regulator	2,924881189
yabB	b0081	noessential	conserved protein	
yabC	b0082	noessential	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	
murE	b0085	essential	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	1,238121781
murF	b0086	essential	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	0,491018338
murG	b0090	essential	N-acetylglucosaminyl transferase	
ftsA	b0094	essential	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	
secA	b0098	essential	"preprotein translocase subunit; ATPase"	2,693961519
mutT	b0099	noessential	"nucleoside triphosphate pyrophosphohydrolase; marked preference for dGTP"	0,619209702
yacG	b0101	noessential	conserved protein	
guaC	b0104	noessential	GMP reductase	2,423187711
hofB	b0107	noessential	conserved protein with nucleoside triphosphate hydrolase domain	0,150059911
nadC	b0109	noessential	quinolinate phosphoribosyltransferase	1,908469448
yacL	b0119	noessential	conserved protein	3,783989757
speD	b0120	noessential	S-adenosylmethionine decarboxylase	0,767077843
yacK	b0123	noessential	multicopper oxidase (laccase)	
yadG	b0127	noessential	predicted transporter subunit: ATP-binding component of ABC superfamily	1,102228501
yadE	b0130	noessential	predicted polysaccharide deacetylase lipoprotein	0,189512
panC	b0133	noessential	pantothenate synthetase	5,392025434
htrE	b0139	noessential	predicted outer membrane usher protein	
pcnB	b0143	noessential	poly(A) polymerase I	11,3995023
yadB	b0144	noessential	glutamyl-Q tRNA(Asp) synthetase	
yadP	b0147	noessential	2'-5' RNA ligase	
mrcB	b0149	noessential	fused glycosyl transferase -!- transpeptidase	1,125502901
fhuA	b0150	noessential	ferrichrome outer membrane transporter	2,931584937
fhuC	b0151	noessential	iron-hydroxamate transporter subunit -!- ATP-binding component of ABC superfamily	1,056571402
yaeG	b0162	noessential	DNA-binding transcriptional activator	
glnD	b0167	noessential	uridylyltransferase	1,227604983
tsf	b0170	essential	protein chain elongation factor EF-Ts	
frr	b0172	essential	ribosome recycling factor	
b0174	b0174	essential	undecaprenyl pyrophosphate synthase	
hlpA	b0178	noessential	periplasmic chaperone	
lpxB	b0182	essential	tetraacyldisaccharide-1-P synthase	0,497364635
dnaE	b0184	essential	DNA polymerase III alpha subunit	
ldcC	b0186	noessential	"lysine decarboxylase 2; constitutive"	1,057986034
yaeR	b0187	noessential	predicted lyase	0,533696702
yaeQ	b0190	noessential	conserved protein	
yaeJ	b0191	noessential	conserved protein	2,069249634
yaeC	b0197	noessential	DL-methionine transporter subunit -!- periplasmic-binding component of ABC superfamily	
yafC	b0208	noessential	predicted DNA-binding transcriptional regulator	0,748602568
yafD	b0209	noessential	conserved protein	5,074990309
dniR	b0211	noessential	predicted membrane-bound lytic murein transglycosylase D	
gloB	b0212	noessential	predicted hydroxyacylglutathione hydrolase	0,545163602
yafV	b0219	noessential	"predicted C-N hydrolase family amidase; NAD(P)-binding"	
fadE	b0221	noessential	acyl coenzyme A dehydrogenase	0,131839439
dinJ	b0226	noessential	predicted antitoxin of YafQ-DinJ toxin-antitoxin system	6,046147958
yafM	b0228	noessential	conserved protein	
yafO	b0233	noessential	predicted toxin of the YafO-YafN toxin-antitoxin system	
yafA	b0239	noessential	"hydrolase; binds to enzyme IIA(Glc)"	
proA	b0243	noessential	gamma-glutamylphosphate reductase	5,328201575
mhpF	b0351	noessential	"acetaldehyde-CoA dehydrogenase II; NAD-binding"	0,771075335
mhpE	b0352	noessential	"4-hyroxy-2-oxovalerate/4-hydroxy-2-oxopentanoic acid aldolase; class I"	0,468085125
adhC	b0356	noessential	alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase	
ddlA	b0381	noessential	D-alanine-D-alanine ligase A	3,664020937
yaiI	b0387	noessential	conserved protein	
yaiA	b0389	noessential	predicted protein	8,747684113
sbcC	b0397	noessential	"exonuclease; dsDNA; ATP-dependent"	0,485821032
phoR	b0400	noessential	sensory histidine kinase in two-component regulatory system with PhoB	6,941192413
b0420	b0420	essential	"1-deoxyxylulose-5-phosphate synthase; thiamine-requiring; FAD-requiring"	
ispA	b0421	essential	geranyltranstransferase	3,275983335
cyoE	b0428	noessential	protoheme IX farnesyltransferase	8,189593179
cyoC	b0430	noessential	cytochrome o ubiquinol oxidase subunit III	6,27362552
yajG	b0434	noessential	predicted lipoprotein	5,668191026
ybaX	b0444	noessential	predicted aluminum resistance protein	
ybaE	b0445	noessential	predicted transporter subunit: periplasmic-binding component of ABC superfamily	0,080152991
mdlA	b0448	noessential	fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components	0,689395982
mdlB	b0449	noessential	fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components	0,339288965
ybaZ	b0454	noessential	predicted methyltransferase	1,441636678
ybaA	b0456	noessential	conserved protein	
ylaD	b0459	noessential	maltose O-acetyltransferase	
ybaJ	b0461	noessential	predicted protein	9,049861547
dnaX	b0470	essential	"DNA polymerase III/DNA elongation factor III; tau and gamma subunits"	3,094109854
ybaB	b0471	noessential	conserved protein	10,2444105
hemH	b0475	essential	ferrochelatase	1,159404483
ybaK	b0481	noessential	conserved protein	1,411507579
ybaP	b0482	noessential	conserved protein	3,387140609
ybaS	b0485	noessential	predicted glutaminase	12,30671012
ybbO	b0493	noessential	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	1,463157289
b0502	b0502	noessential	predicted DNA-binding transcriptional regulator	
ybbB	b0503	noessential	"tRNA 2-selenouridine synthase; selenophosphate-dependent"	
gcl	b0507	noessential	glyoxylate carboligase	0,08974933
glxK	b0514	noessential	glycerate kinase II	
allC	b0516	noessential	allantoate amidohydrolase	0,098142853
ybbF	b0524	essential	"UDP-2;3-diacylglucosamine pyrophosphatase"	
cysS	b0526	essential	cysteinyl-tRNA synthetase	3,692953994
intD	b0537	noessential	"DLP12 prophage; predicted integrase"	3,161706088
b0542	b0542	noessential	"DLP12 prophage; predicted protein"	
nfrA	b0568	noessential	"bacteriophage N4 receptor; outer membrane subunit"	0,263177143
nfrB	b0569	noessential	"bacteriophage N4 receptor; inner membrane subunit"	0,305246696
cusS	b0570	noessential	"sensory histidine kinase in two-component regulatory system with CusR; senses copper ions"	1,454295457
ybdG	b0577	noessential	predicted mechanosensitive channel	1,392845266
ybdF	b0579	noessential	conserved protein	
ybdK	b0581	noessential	gamma-glutamyl:cysteine ligase	
entF	b0586	noessential	"enterobactin synthase multienzyme complex component;  ATP-dependent"	0,272301515
fepB	b0592	noessential	iron-enterobactin transporter subunit -!- periplasmic-binding component of ABC superfamily	2,62587317
entE	b0594	noessential	"2;3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex"	0,5180744
ybdN	b0602	noessential	conserved protein	
dsbG	b0604	noessential	periplasmic disulfide isomerase/thiol-disulphide oxidase	0,727282664
ybdQ	b0607	noessential	universal stress protein UP12	
rnk	b0610	noessential	regulator of nucleoside diphosphate kinase	1,09977726
rna	b0611	noessential	ribonuclease I	
citG	b0613	noessential	triphosphoribosyl-dephospho-CoA transferase	
citB	b0620	noessential	DNA-binding response regulator in two-component regulatory system with citA	
ybeC	b0627	noessential	TatABCE protein translocation system subunit	
lipA	b0628	noessential	lipoate synthase	10,34114035
dacA	b0632	noessential	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)	3,460926782
ybeA	b0636	noessential	conserved protein	3,023594808
ybeB	b0637	noessential	predicted protein	6,705190672
phpB	b0638	noessential	predicted alpha-ribazole-5'-P phosphatase	
leuS	b0642	essential	leucyl-tRNA synthetase	7,298803708
ybeL	b0643	noessential	conserved protein	8,360040779
ybeW	b0650	noessential	"Hsp70 family chaperone Hsc62; binds to RpoD and inhibits transcription"	
gltI	b0655	noessential	glutamate and aspartate transporter subunit -!- periplasmic-binding component of ABC superfamily	3,714863441
ybeY	b0659	noessential	conserved protein	5,274574786
ybeZ	b0660	noessential	predicted protein with nucleoside triphosphate hydrolase domain	2,738730187
yleB	b0662	noessential	"2-octaprenyl-3-methyl-6-methoxy-1;4-benzoquinol oxygenase"	
nagC	b0676	noessential	"DNA-binding transcriptional dual regulator; repressor of N-acetylglucosamine"	3,604132867
glnS	b0680	essential	glutamyl-tRNA synthetase	5,214036044
ybfF	b0686	noessential	conserved protein	1,253565045
seqA	b0687	noessential	regulatory protein for replication initiation	7,185055896
pgm	b0688	noessential	phosphoglucomutase	3,589682267
kdpE	b0694	noessential	DNA-binding response regulator in two-component regulatory system with KdpD	0,14309529
kdpD	b0695	noessential	fused sensory histidine kinase in two-component regulatory system with KdpE: signal sensing protein -!- sensory histidine kinase	0,483934069
b0703	b0703	noessential	"conserved protein; rhs-like"	
phrB	b0708	noessential	"deoxyribodipyrimidine photolyase; FAD-binding"	
nei	b0714	noessential	endonuclease VIII -!- 5-formyluracil/5-hydroxymethyluracil DNA glycosylase	0,330309827
gltA	b0720	noessential	citrate synthase	9,091215961
b0725	b0725			
sucA	b0726	noessential	"2-oxoglutarate decarboxylase; thiamin-requiring"	
ybgC	b0736	noessential	predicted acyl-CoA thioesterase	6,66723991
tolB	b0740	noessential	periplasmic protein	3,191147538
ybgF	b0742	noessential	predicted protein	3,069854747
gpmA	b0755	noessential	phosphoglyceromutase 1	
galM	b0756	noessential	galactose-1-epimerase (mutarotase)	2,913563757
bioF	b0776	noessential	8-amino-7-oxononanoate synthase	
uvrB	b0779	noessential	"excinulease of nucleotide excision repair; DNA damage recognition component"	1,893860448
moaC	b0783	noessential	"molybdopterin biosynthesis; protein C"	0,869844536
moaD	b0784	noessential	"molybdopterin synthase; small subunit"	
moaE	b0785	noessential	"molybdopterin synthase; large subunit"	1,238649535
ybhF	b0794	noessential	fused predicted transporter subunits of ABC superfamily: ATP-binding components	0,87566713
ybiB	b0800	noessential	predicted transferase/phosphorylase	0,537569255
ybiC	b0801	noessential	predicted dehydrogenase	2,212975925
ybiM	b0806	noessential	predicted protein	
ybiN	b0807	noessential	predicted SAM-dependent methyltransferase	1,706124859
dps	b0812	noessential	Fe-binding and storage protein	
ybiS	b0819	noessential	conserved protein	4,882519782
ybiT	b0820	noessential	fused predicted transporter subunits of ABC superfamily: ATP-binding components	3,250520173
b0822	b0822	noessential	predicted hydrolase	
moeB	b0826	noessential	molybdopterin synthase sulfurylase	1,473429807
moeA	b0827	noessential	molybdopterin biosynthesis protein	0,699283168
yliB	b0830	noessential	predicted peptide transporter subunit: periplasmic-binding component of ABC superfamily	
b0836	b0836	noessential	conserved protein	
b0844	b0844	noessential	conserved protein	
artP	b0864	noessential	arginine transporter subunit -!- ATP-binding component of ABC superfamily	4,038829609
ybjP	b0865	noessential	predicted lipoprotein	2,59390804
b0866	b0866	noessential	conserved protein	
ybjX	b0877	noessential	conserved protein	10,3232139
b0878	b0878	noessential	"macrolide transporter subunit; membrane fusion protein (MFP) component"	
cspD	b0880	noessential	cold shock protein homolog	25,55289283
cydC	b0886	noessential	fused cysteine transporter subunits of ABC superfamily: membrane component -!- ATP-binding component	0,864652722
cydD	b0887	noessential	fused cysteine transporter subunits of ABC superfamily: membrane component -!- ATP-binding component	1,25607674
ftsK	b0890	essential	DNA-binding membrane protein required for chromosome resolution and partitioning	1,085027304
lolA	b0891	essential	chaperone for lipoproteins	2,227620763
ycaJ	b0892	noessential	recombination protein	
ycaK	b0901	noessential	conserved protein	0,024043001
ycaO	b0905	noessential	conserved protein	1,216599419
msbA	b0914	essential	fused lipid transporter subunits of ABC superfamily: membrane component -!- ATP-binding component	2,035516463
kdsB	b0918	essential	3-deoxy-manno-octulosonate cytidylyltransferase	3,304110334
b0919	b0919	noessential	conserved protein	
mukF	b0922	essential	"Involved in chromosome partioning; Ca2+ binding protein"	1,883174422
mukB	b0924	essential	fused chromosome partitioning protein: predicted nucleotide hydrolase -!- conserved protein -!- conserved protein	
ycbB	b0925	noessential	predicted carboxypeptidase	2,24092838
ycbL	b0927	noessential	predicted metal-binding enzyme	14,02512821
pncB	b0931	noessential	nicotinate phosphoribosyltransferase	7,476548915
ycbE	b0933	noessential	alkanesulfonate transporter subunit -!- ATP-binding component of ABC superfamily	
ycbY	b0948	noessential	predicted methyltransferase	1,722690684
uup	b0949	noessential	fused predicted transporter subunits of ABC superfamily: ATP-binding components	2,063967028
pqiB	b0951	noessential	paraquat-inducible protein B	
ymbA	b0952	noessential	conserved protein	
fabA	b0954	essential	beta-hydroxydecanoyl thioester dehydrase	18,03385231
sulA	b0958	noessential	SOS cell division inhibitor	1,264505404
b0959	b0959	noessential	conserved protein	
b0964	b0964	noessential	conserved protein	
b0965	b0965	noessential	predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain	
b0968	b0968	noessential	predicted acylphosphatase	
appC	b0978	noessential	"cytochrome bd-II oxidase; subunit I"	0,09547673
cspG	b0990	noessential	DNA-binding transcriptional regulator	
torS	b0993	noessential	hybrid sensory histidine kinase in two-component regulatory system with TorR	0,259865181
torA	b0997	noessential	"trimethylamine N-oxide (TMAO) reductase I; catalytic subunit"	0,084602098
yccD	b0999	noessential	modulator of CbpA co-chaperone	
b1010	b1010	noessential	conserved protein	
b1012	b1012	noessential	predicted monooxygenase	
putA	b1014	noessential	fused DNA-binding transcriptional regulator -!- proline dehydrogenase -!- pyrroline-5-carboxylate dehydrogenase	0,233506434
putP	b1015	noessential	proline:sodium symporter	1,121790944
ycdO	b1018	noessential	conserved protein	2,239378212
phoH	b1020	noessential	conserved protein with nucleoside triphosphate hydrolase domain	8,798747258
pgaA	b1024	noessential	predicted outer membrane protein	
ycdW	b1033	noessential	2-ketoacid reductase	2,997172631
csgG	b1037	noessential	outer membrane lipoprotein	1,555210437
csgD	b1040	noessential	DNA-binding transcriptional activator in two-component regulatory system	4,398743816
ymdC	b1046	noessential	predicted hydrolase	1,024863954
mdoH	b1049	noessential	glucan biosynthesis: glycosyl transferase	1,40341877
yceA	b1055	noessential	conserved protein	6,833381649
mviM	b1068	noessential	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	1,100101611
yceC	b1086	noessential	23S rRNA pseudouridylate synthase	
yceF	b1087	noessential	predicted protein	3,827759507
yceD	b1088	noessential	conserved protein	38,94068027
plsX	b1090	noessential	fatty acid/phospholipid synthesis protein	10,55543684
fabH	b1091	noessential	3-oxoacyl-[acyl-carrier-protein] synthase III	6,166668401
fabD	b1092	essential	malonyl-CoA-[acyl-carrier-protein] transacylase	3,344972164
fabF	b1095	noessential	3-oxoacyl-[acyl-carrier-protein] synthase II	8,130580654
tmk	b1098	essential	thymidylate kinase	0,885059373
holB	b1099	essential	"DNA polymerase III; delta prime subunit"	1,482548619
ycfH	b1100	noessential	predicted metallodependent hydrolase	3,728225127
ycfF	b1103	noessential	purine nucleoside phosphoramidase	
nagZ	b1107	noessential	beta N-acetyl-glucosaminidase	2,277305018
ycfP	b1108	noessential	conserved protein	
ndh	b1109	noessential	respiratory NADH dehydrogenase 2/cupric reductase	8,383183143
ycfR	b1112	noessential	predicted protein	
mfd	b1114	noessential	transcription-repair coupling factor	1,490628666
b1117	b1117	essential	outer membrane-specific lipoprotein transporter subunit -!- ATP-binding component of ABC superfamily	
ycfX	b1119	noessential	N-acetyl-D-glucosamine kinase	1,429377939
cobB	b1120	noessential	"deacetylase of acetyl-CoA synthetase; NAD-dependent"	1,423443922
pepT	b1127	noessential	peptidase T	5,098082993
ycfD	b1128	noessential	conserved protein	2,793817775
phoQ	b1129	noessential	sensory histidine kinase in two-compoent regulatory system with PhoP	1,415194646
ycfB	b1133	essential	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	
ycgE	b1162	noessential	predicted DNA-binding transcriptional regulator	7,976036793
b1163	b1163	noessential	predicted FAD-binding phosphodiesterase	
fadR	b1187	noessential	DNA-binding transcriptional dual regulator of fatty acid metabolism	3,787482413
dadX	b1190	noessential	"alanine racemase 2; PLP-binding"	3,884814981
treA	b1197	noessential	periplasmic trehalase	
ycgC	b1198	noessential	fused predicted dihydroxyacetone-specific PTS enzymes: HPr component -!- EI component	
b1200	b1200	noessential	"dihydroxyacetone kinase; N-terminal domain"	
ycgV	b1202	noessential	predicted adhesin	0,076572078
pth	b1204	essential	peptidyl-tRNA hydrolase	2,43612216
ychB	b1208	essential	4-diphosphocytidyl-2-C-methylerythritol kinase	
prfA	b1211	essential	peptide chain release factor RF-1	3,052339137
kdsA	b1215	essential	3-deoxy-D-manno-octulosonate 8-phosphate synthase	3,918900451
narG	b1224	noessential	"nitrate reductase 1; alpha subunit"	
narH	b1225	noessential	"nitrate reductase 1; beta (Fe-S) subunit"	0,023431729
narJ	b1226	noessential	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1	
b1228	b1228	noessential	predicted protein	
ychJ	b1233	noessential	conserved protein	5,246527809
ychK	b1234	noessential	conserved protein	
