Merge ID	Masuda2009_fin	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	DetectedTranscr	# Studies	DB_NoveV12 Duplicates	Normalized And Descr Itensity	0BS_C0LL	ABS_CALL	ABS_CALL	Merge ID	Merge ID	Masuda2009_fin	Taniguchi2010_fin_mmol	DetectedTranscr	# Studies	DB_NoveV12 Duplicates	Copy number per cell	mMol	Merge ID	Merge ID	Pan2010	Thein2010	Taoka2004	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Huang2006	Ji2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Iwasaki2010	Wickstrom2010	# Studies	DB_NoveV12 Duplicates	P0AFG8	P0A910	P00350	P0AG44	P0A9P0	P08660	P17583	P0A6F5	P0A6H8	P0AC47	P06129	P0ADT8	P02925	P0A910	C1P619	P0ACV0	Q46798	P00561	P00350
P77757	0	1	1	1	1	4	B		2	2	2	P77757	P77757	0	0	1	1	B			P77757	P77757	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	7	B		P77757				P77757	P77757					P77757			P77757	P77757		P77757	
P77774	1	1	1	1	1	5	I	1	2	2	2	P77774	P77774	1	0	1	2	I	140.56		P77774	P77774	1	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	13	I	P77774	P77774	P77774			P77774	P77774	P77774	P77774	P77774		P77774			P77774	P77774	P77774	P77774	
P77804	1	1	1	1	1	5	F2	1	2	2	2	P77804	P77804	1	0	1	2	F2	208.24		P77804	P77804	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	1	0	12	F2	P77804	P77804	P77804		P77804	P77804	P77804	P77804	P77804	P77804					P77804	P77804		P77804	
P78067	1	1	1	1	0	4	G	1	2	2			P78067	1	0	0	1	G	9.92			P78067	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4	G			P78067												P78067	P78067		P78067	
Q46755	0	1	1	1	0	3	B		2	2	2		Q46755	0	0	0	0	B				Q46755	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	B							Q46755												
Q46808	0	1	1	1	0	3	B		2	2	2		Q46808	0	1	0	1	B		0.00053572		Q46808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	B																		Q46808	
Q46821	0	1	1	1	0	3	B		0	2	0		Q46821	0	1	0	1	B		0.00077561		Q46821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	B															Q46821				
Q46824	0	1	1	1	1	4	B		2	2	2	Q46824	Q46824	0	0	1	1	B			Q46824	Q46824	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	4	B							Q46824								Q46824	Q46824		Q46824	
Q46845	1	1	1	1	0	4	F1	1	2	2	2		Q46845	1	0	0	1	F1	25.99			Q46845	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4	F1			Q46845												Q46845	Q46845		Q46845	
Q46858	0	1	1	1	0	3	G		0	0			Q46858	0	0	0	0	G				Q46858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G																			
Q46916	0	1	1	1	0	3	B		0	0			Q46916	0	0	0	0	B				Q46916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
Q46927	0	1	1	1	1	4	B		2	0	0	Q46927	Q46927	0	0	1	1	B			Q46927	Q46927	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	4	B			Q46927				Q46927								Q46927			Q46927	
Q47142	0	1	1	1	0	3	B		2	2			Q47142	0	0	0	0	B				Q47142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
Q47146	1	1	1	1	1	5	B	1	2	2		Q47146	Q47146	1	1	1	3	B	8.47	0.004858	Q47146	Q47146	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	6	B			Q47146				Q47146		Q47146						Q47146	Q47146		Q47146	
Q47151	0	1	1	1	0	3	G		0	0	0		Q47151	0	0	0	0	G				Q47151	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	G							Q47151												
Q47622	0	1	1	1	1	4	G		2	2	2	Q47622	Q47622	0	1	1	2	G		0.0014479	Q47622	Q47622	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	4	G			Q47622				Q47622									Q47622		Q47622	
Q47702	0	1	1	1	0	3	G		0	0	0		Q47702	0	0	0	0	G				Q47702	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	G							Q47702												
Q47710	0	1	1	1	1	4	B		1	0		Q47710	Q47710	0	0	1	1	B			Q47710	Q47710	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	5	B							Q47710		Q47710						Q47710	Q47710		Q47710	
A5A616	0	0	0	0	0	0	B						A5A616	0	0	0	0	B				A5A616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
A5A619	0	0	0	0	0	0	B						A5A619	0	0	0	0	B				A5A619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
A5A628	0	0	0	0	0	0	B						A5A628	0	0	0	0	B				A5A628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
A5A630	0	0	0	0	0	0	B						A5A630	0	0	0	0	B				A5A630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
C1P5Z8	0	0	0	0	0	0	B						C1P5Z8	0	0	0	0	B				C1P5Z8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
C1P5Z9	0	0	0	0	0	0	B						C1P5Z9	0	0	0	0	B				C1P5Z9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
C1P614	0	0	0	0	0	0	B						C1P614	0	0	0	0	B				C1P614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
O32528	0	1	1	1	0	3	I		0	0	0		O32528	0	0	0	0	I				O32528	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	I							O32528												
P00634	0	1	1	1	1	4	G		0	2	0	P00634	P00634	0	0	1	1	G			P00634	P00634	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	4	G							P00634								P00634	P00634		P00634	
P00909	0	1	1	1	0	3	B		2	2			P00909	0	0	0	0	B				P00909	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4	B			P00909												P00909	P00909		P00909	
P02919	1	1	1	1	1	5	B	1	2	0	0	P02919	P02919	1	1	1	3	B	15.65	0.00037298	P02919	P02919	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	9	B		P02919	P02919	P02919			P02919		P02919	P02919					P02919	P02919		P02919	
P02921	0	1	1	1	0	3	B		2	2			P02921	0	0	0	0	B				P02921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P02929	0	1	1	1	1	4	B		2	2	2	P02929	P02929	0	0	1	1	B			P02929	P02929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	B															P02929	P02929			
P02942	0	1	1	1	0	3	B		2	2	2		P02942	0	0	0	0	B				P02942	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	4	B							P02942		P02942		P02942					P02942			
P03004	1	1	1	1	1	5	F1	1	2	2	2	P03004	P03004	1	1	1	3	F1	23.18	0.011497	P03004	P03004	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	6	F1		P03004	P03004				P03004								P03004	P03004		P03004	
P03819	1	1	1	1	1	5	B	1	2	2	2	P03819	P03819	1	1	1	3	B	1.08	0.0013379	P03819	P03819	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	5	B			P03819						P03819						P03819	P03819		P03819	
P03825	0	1	1	1	0	3	B		2	0	0		P03825	0	0	0	0	B				P03825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P03841	1	1	1	1	0	4	G	1	2	2	2		P03841	1	0	0	1	G	308.96			P03841	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4	G			P03841												P03841	P03841		P03841	
P03960	1	1	1	1	1	5	B	1	0	0	0	P03960	P03960	1	0	1	2	B	0.94		P03960	P03960	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	4	B							P03960								P03960	P03960		P03960	
P04128	1	1	1	1	0	4	F4	2	2	2	2		P04128	1	0	0	1	F4	1.45			P04128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	F4															P04128	P04128			
P04846	1	1	1	1	1	5	E	1	2	2	2	P04846	P04846	1	1	1	3	E		0.00091919	P04846	P04846	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	4	E									P04846						P04846	P04846		P04846	
P04949	0	1	1	1	0	3	F4		2	2			P04949	0	0	0	0	F4				P04949	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	5	F4							P04949	P04949			P04949					P04949		P04949	
P05704	0	1	1	1	1	4	B		2	2		P05704	P05704	0	0	1	1	B			P05704	P05704	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	4	B						P05704						P05704			P05704	P05704			
P05706	1	1	1	1	0	4	F1	1	2	2	2		P05706	1	0	0	1	F1	208.24			P05706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	F1																P05706			
P05825	1	1	1	1	1	5	H	1	2	2	2	P05825	P05825	1	0	1	2	H			P05825	P05825	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	7	H		P05825							P05825				P05825		P05825	P05825	P05825	P05825	
P06609	0	1	1	1	0	3	B		2	0			P06609	0	0	0	0	B				P06609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P06959	1	1	1	1	1	5	F1	1	2	2	2	P06959	P06959	1	1	1	3	F1	2785.78	0.38417	P06959	P06959	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	10	F1		P06959	P06959	P06959		P06959	P06959		P06959	P06959					P06959	P06959		P06959	
P06972	0	1	1	1	0	3	B		2	2	2		P06972	0	0	0	0	B				P06972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P06974	0	1	1	1	0	3	F1		2	2	2		P06974	0	0	0	0	F1				P06974	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	F1							P06974									P06974			
P07017	1	1	1	1	0	4	B	1	2	2			P07017	1	1	0	2	B	0.85	0.00013449		P07017	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	3	B							P07017		P07017							P07017			
P07018	0	1	1	1	1	4	B		2	2	0	P07018	P07018	0	0	1	1	B			P07018	P07018	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	B							P07018									P07018			
P07024	1	1	1	1	1	5	G	1	2	2	2	P07024	P07024	1	0	1	2	G	21.78		P07024	P07024	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	6	G			P07024			P07024	P07024					P07024				P07024		P07024	
P07117	1	1	1	1	1	5	B	1	2	2	2	P07117	P07117	1	1	1	3	B	83	0.013638	P07117	P07117	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	7	B		P07117			P07117	P07117			P07117						P07117	P07117		P07117	
P08189	0	1	1	1	0	3	F4		2	2	2		P08189	0	0	0	0	F4				P08189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	F4																P08189			
P08190	0	1	1	1	0	3	F4		2	0	0		P08190	0	0	0	0	F4				P08190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F4																			
P08191	0	1	1	1	0	3	F4		2	2			P08191	0	0	0	0	F4				P08191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	F4																P08191			
P08194	1	1	1	1	0	4	B	1	2	2	2		P08194	1	0	0	1	B	269.17			P08194	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	6	B			P08194				P08194		P08194						P08194	P08194		P08194	
P08369	0	1	1	1	0	3	B		0	0	0		P08369	0	0	0	0	B				P08369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P08372	0	1	1	1	0	3	B		0	0	0		P08372	0	0	0	0	B				P08372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P08555	1	1	1	1	0	4	B	1	0	0			P08555	1	0	0	1	B	1.27			P08555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P08555	P08555		P08555	
P08722	0	1	1	1	0	3	B		0	0	0		P08722	0	0	0	0	B				P08722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	B																		P08722	
P09127	1	1	1	1	1	5	B	1	2	2	2	P09127	P09127	1	1	1	3	B	136.13	0.0023183	P09127	P09127	1	1	1	0	1	1	1	0	1	0	0	1	0	0	1	1	0	1	0	11	B	P09127	P09127	P09127		P09127	P09127	P09127		P09127			P09127			P09127	P09127		P09127	
P09323	1	1	1	1	1	5	B	1	2	2	2	P09323	P09323	1	0	1	2	B	350.74		P09323	P09323	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	7	B		P09323	P09323	P09323					P09323						P09323	P09323		P09323	
P09551	0	1	1	1	1	4	G		2	2	0	P09551	P09551	0	1	1	2	G		0.00069819	P09551	P09551	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	5	G			P09551			P09551								P09551	P09551			P09551	
P09835	0	1	1	1	0	3	B		0	0	0		P09835	0	0	0	0	B				P09835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	B															P09835			P09835	
P0A698	1	1	1	1	1	5	F1	1	2	2		P0A698	P0A698	1	1	1	3	F1	11.36	0.0020085	P0A698	P0A698	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	6	F1		P0A698	P0A698				P0A698								P0A698	P0A698		P0A698	
P0A6A8	1	1	1	1	1	5	F1	2	2	2	2	P0A6A8	P0A6A8	1	0	1	2	F1	38218.95		P0A6A8	P0A6A8	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	5	F1			P0A6A8							P0A6A8					P0A6A8	P0A6A8		P0A6A8	
P0A6E6	1	1	1	1	1	5	F1	1	2	2	2	P0A6E6	P0A6E6	1	1	1	3	F1	398	0.00010535	P0A6E6	P0A6E6	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	0	7	F1			P0A6E6			P0A6E6	P0A6E6		P0A6E6			P0A6E6				P0A6E6		P0A6E6	
P0A6M2	0	1	1	1	1	4	B		2	2	2	P0A6M2	P0A6M2	0	0	1	1	B			P0A6M2	P0A6M2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P0A6M2	P0A6M2		P0A6M2	
P0A6S3	0	1	1	1	0	3	G		2	2	0		P0A6S3	0	0	0	0	G				P0A6S3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	G																		P0A6S3	
P0A6S5	0	1	1	1	1	4	B		2	2	2	P0A6S5	P0A6S5	0	0	1	1	B			P0A6S5	P0A6S5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	3	B							P0A6S5		P0A6S5							P0A6S5			
P0A6U3	1	1	1	1	1	5	F1	1	2	2	2	P0A6U3	P0A6U3	1	0	1	2	F1	41		P0A6U3	P0A6U3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	5	F1			P0A6U3				P0A6U3								P0A6U3	P0A6U3		P0A6U3	
P0A6W3	1	1	1	1	1	5	B	1	2	2	2	P0A6W3	P0A6W3	1	0	1	2	B	1.22		P0A6W3	P0A6W3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P0A6W3	P0A6W3		P0A6W3	
P0A710	0	1	1	1	0	3	B		2	2	2		P0A710	0	0	0	0	B				P0A710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P0A712	0	1	1	1	0	3	B		0	0	0		P0A712	0	0	0	0	B				P0A712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P0A742	1	1	1	1	1	5	B	1	2	2	2	P0A742	P0A742	1	0	1	2	B	54.08		P0A742	P0A742	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	6	B			P0A742						P0A742	P0A742					P0A742	P0A742		P0A742	
P0A7A2	1	1	1	1	1	5	B	1	2	2	0	P0A7A2	P0A7A2	1	0	1	2	B	22.71		P0A7A2	P0A7A2	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	7	B		P0A7A2	P0A7A2				P0A7A2		P0A7A2						P0A7A2	P0A7A2		P0A7A2	
P0A7A7	1	1	1	1	1	5	F1	1	2	2	2	P0A7A7	P0A7A7	1	1	1	3	F1	135	0.016615	P0A7A7	P0A7A7	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	10	F1	P0A7A7	P0A7A7	P0A7A7	P0A7A7			P0A7A7		P0A7A7	P0A7A7					P0A7A7	P0A7A7		P0A7A7	
P0A7C8	0	1	1	1	0	3	B		2	0	0		P0A7C8	0	0	0	0	B				P0A7C8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P0A7G6	1	1	1	1	0	4	F1	1	2	2	2		P0A7G6	1	0	0	1	F1	449.64			P0A7G6	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	8	F1		P0A7G6	P0A7G6				P0A7G6		P0A7G6	P0A7G6					P0A7G6	P0A7G6		P0A7G6	
P0A830	1	1	1	1	1	5	B	1	2	2	2	P0A830	P0A830	1	0	1	2	B	83		P0A830	P0A830	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4	B		P0A830													P0A830	P0A830		P0A830	
P0A843	1	1	1	1	1	5	B	1	2	2	2	P0A843	P0A843	1	1	1	3	B	136.13	0.040915	P0A843	P0A843	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	5	B		P0A843					P0A843		P0A843						P0A843	P0A843			
P0A8D9	1	1	1	1	1	5	B	1	2	2	2	P0A8D9	P0A8D9	1	0	1	2	B	1.31		P0A8D9	P0A8D9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	B																P0A8D9			
P0A8G6	1	1	1	1	1	5	B	2	2	2	2	P0A8G6	P0A8G6	1	1	1	3	B	238.33	0.11119	P0A8G6	P0A8G6	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	1	8	B			P0A8G6			P0A8G6				P0A8G6		P0A8G6			P0A8G6	P0A8G6		P0A8G6	P0A8G6
P0A8H3	0	1	1	1	0	3	B		2	2	2		P0A8H3	0	0	0	0	B				P0A8H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P0A8K1	1	1	1	1	1	5	F1	1	2	2	2	P0A8K1	P0A8K1	1	0	1	2	F1	54.08		P0A8K1	P0A8K1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	8	F1	P0A8K1	P0A8K1	P0A8K1			P0A8K1			P0A8K1						P0A8K1	P0A8K1		P0A8K1	
P0A8K8	0	1	1	1	1	4	B		2	2	2	P0A8K8	P0A8K8	0	0	1	1	B			P0A8K8	P0A8K8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P0A8K8	P0A8K8		P0A8K8	
P0A8Q0	1	1	1	1	1	5	B	1	0	2	2	P0A8Q0	P0A8Q0	1	0	1	2	B	1.81		P0A8Q0	P0A8Q0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	4	B							P0A8Q0								P0A8Q0	P0A8Q0		P0A8Q0	
P0A8Q3	0	1	1	1	1	4	B		2	2	2	P0A8Q3	P0A8Q3	0	0	1	1	B			P0A8Q3	P0A8Q3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P0A8Q3	P0A8Q3		P0A8Q3	
P0A8T5	0	1	1	1	0	3	B		2	0			P0A8T5	0	0	0	0	B				P0A8T5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	B																P0A8T5			
P0A903	1	1	1	1	1	5	I	1	2	2	2	P0A903	P0A903	1	0	1	2	I	181.53		P0A903	P0A903	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	1	1	0	11	I	P0A903	P0A903	P0A903		P0A903	P0A903			P0A903			P0A903			P0A903	P0A903	P0A903	P0A903	
P0A905	1	1	1	1	1	5	I	1	2	2	2	P0A905	P0A905	1	0	1	2	I	165.27		P0A905	P0A905	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	1	11	I		P0A905	P0A905			P0A905	P0A905	P0A905				P0A905			P0A905	P0A905	P0A905	P0A905	P0A905
P0A910	1	1	1	1	1	5	H	2	2	2	2	P0A910	P0A910	1	0	1	2	H	750.27		P0A910	P0A910	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	16	H		P0A910	P0A910		P0A910	P0A910	P0A910	P0A910	P0A910	P0A910		P0A910	P0A910	P0A910	P0A910	P0A910	P0A910	P0A910	P0A910
P0A915	0	1	1	1	0	3	H		0	2	2		P0A915	0	0	0	0	H				P0A915	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	0	10	H	P0A915	P0A915	P0A915				P0A915	P0A915	P0A915						P0A915	P0A915	P0A915	P0A915	
P0A932	1	1	1	1	0	4	I	1	2	0	0		P0A932	1	0	0	1	I				P0A932	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	I		P0A932														P0A932			
P0A9A6	1	1	1	1	1	5	F1	1	2	2	2	P0A9A6	P0A9A6	1	0	1	2	F1	746.07		P0A9A6	P0A9A6	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	10	F1		P0A9A6	P0A9A6			P0A9A6	P0A9A6	P0A9A6	P0A9A6						P0A9A6	P0A9A6		P0A9A6	P0A9A6
P0A9M8	1	1	1	1	1	5	B	1	2	2	2	P0A9M8	P0A9M8	1	1	1	3	B	225.17	0.026304	P0A9M8	P0A9M8	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	8	B		P0A9M8	P0A9M8				P0A9M8	P0A9M8		P0A9M8					P0A9M8	P0A9M8		P0A9M8	
P0A9S3	1	1	1	1	1	5	B	2	2	2	2	P0A9S3	P0A9S3	1	0	1	2	B	110.81		P0A9S3	P0A9S3	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	7	B		P0A9S3				P0A9S3			P0A9S3			P0A9S3			P0A9S3	P0A9S3		P0A9S3	
P0A9T8	0	0	1	1	1	3	F1			2		P0A9T8	P0A9T8	0	0	1	1	F1			P0A9T8	P0A9T8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	F1																		P0A9T8	
P0AA57	0	1	1	1	0	3	G		2	2	2		P0AA57	0	0	0	0	G				P0AA57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	G																		P0AA57	
P0AA60	0	1	1	1	0	3	B		2	2	2		P0AA60	0	0	0	0	B				P0AA60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	B															P0AA60				
P0AA67	1	1	1	1	0	4	B	1	2	0	0		P0AA67	1	0	0	1	B	1.69			P0AA67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	B																P0AA67			
P0AA70	0	1	1	1	0	3	B		2	0	0		P0AA70	0	0	0	0	B				P0AA70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P0AA76	0	1	1	1	0	3	B		0	0	0		P0AA76	0	0	0	0	B				P0AA76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	B																		P0AA76	
P0AA78	0	1	1	1	0	3	B		2	2	1		P0AA78	0	0	0	0	B				P0AA78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	B															P0AA78	P0AA78			
P0AA80	1	1	1	1	0	4	B	1	0	0	2		P0AA80	1	0	0	1	B	1.45			P0AA80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	B																P0AA80		P0AA80	
P0AA82	1	1	1	1	0	4	B	1	2	2	0		P0AA82	1	0	0	1	B	1.93			P0AA82	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	B									P0AA82							P0AA82			
P0AA86	1	1	1	1	1	5	B	1	0	0		P0AA86	P0AA86	1	0	1	2	B	2.05		P0AA86	P0AA86	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	4	B									P0AA86						P0AA86	P0AA86		P0AA86	
P0AAA1	1	1	1	1	1	5	B	1	2	0	2	P0AAA1	P0AAA1	1	0	1	2	B	1.83		P0AAA1	P0AAA1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	7	B		P0AAA1			P0AAA1				P0AAA1	P0AAA1					P0AAA1	P0AAA1		P0AAA1	
P0AAA3	0	1	1	1	0	3	G		0	0	0		P0AAA3	0	0	0	0	G				P0AAA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G																			
P0AAA5	0	1	1	1	0	3	B		2	2	2		P0AAA5	0	0	0	0	B				P0AAA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P0AAA7	0	1	1	1	0	3	B		2	2	2		P0AAA7	0	0	0	0	B				P0AAA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P0AAA9	0	1	1	1	0	3	G		0	0	0		P0AAA9	0	0	0	0	G				P0AAA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G																			
P0AAD4	0	1	1	1	0	3	B		2	2			P0AAD4	0	0	0	0	B				P0AAD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P0AAE2	0	1	1	1	1	4	B		2	2	2	P0AAE2	P0AAE2	0	0	1	1	B			P0AAE2	P0AAE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	B															P0AAE2				
P0AAF1	0	1	1	1	0	3	B		0	0	0		P0AAF1	0	0	0	0	B				P0AAF1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	B							P0AAF1												
P0AAG0	0	1	1	1	1	4	F1		2	2	2	P0AAG0	P0AAG0	0	0	1	1	F1			P0AAG0	P0AAG0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	4	F1									P0AAG0		P0AAG0					P0AAG0		P0AAG0	
P0AAG8	1	1	1	1	1	5	F1	1	2	2	2	P0AAG8	P0AAG8	1	0	1	2	F1	123.27		P0AAG8	P0AAG8	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	6	F1			P0AAG8	P0AAG8			P0AAG8								P0AAG8	P0AAG8		P0AAG8	
