Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization	Abundance Level
P06709	1	1	1	1	0	1	1	6	B	BIRA_ECOLI	0.39	2	2	2	2		2.977192821	B	P
P07000	0	1	1	1	0	1	1	5	F1	PLDB_ECOLI			2	2	2		3.66124303	F1	P
P07001	1	1	1	1	0	0	1	5	B	PNTA_ECOLI	0.96	2	2	2	2			B	P
P07003	1	1	1	1	0	0	1	5	F1	POXB_ECOLI	1.86	2	0	0	0			F1	P
P07014	1	1	1	1	0	0	1	5	F1	DHSB_ECOLI	7.62	2	2	2	2			F1	P
P07021	0	1	1	1	0	0	0	3	I	YFIB_ECOLI			2	2	2				P
P07102	0	1	1	1	0	0	0	3	G	PPA_ECOLI			0	0	0				A
P07109	0	1	1	1	0	0	1	4	F1	HISP_ECOLI			2	2	2			F1	P
P07650	1	1	1	1	0	0	1	5	B	TYPH_ECOLI	0.85	2	2	2	2			B	P
P07654	0	1	1	1	1	0	1	5	B	PSTA_ECOLI			2	2	2	0		B	P
P07821	0	1	1	1	0	1	1	5	F1	FHUC_ECOLI			2	2	2		1.056571402	F1	P
P07822	0	1	1	1	0	0	1	4	G	FHUD_ECOLI			2	0	0			G	P
P08200	1	1	1	1	0	0	1	5	B	IDH_ECOLI	11.81	2	2	2	2			B	P
P08331	1	1	1	1	0	0	1	5	G	CPDB_ECOLI	0.42	2	0	2	2			G	P
P08370	0	1	1	1	0	0	0	3	G	YGDB_ECOLI			2	2	1				P
P08371	0	1	1	1	1	0	0	4	B	PPDB_ECOLI			2	2	2	0			P
P08395	1	1	1	1	0	0	1	5	B	SPPA_ECOLI	0.08	2	2	2	2			B	P
P08400	0	1	1	1	0	1	1	5	B	PHOR_ECOLI			0	0	0		6.941192413	B	P
P08401	0	1	1	1	0	0	1	4	B	CREC_ECOLI			0	0	0			B	A
P08506	1	1	1	1	0	0	1	5	F2	DACC_ECOLI	1.49	2	2	2	2			F2	P
P08550	0	1	1	1	1	0	0	4	B	CVPA_ECOLI			2	2	2	0			P
P08839	1	1	1	1	0	0	1	5	F1	PT1_ECOLI	24.33	2	2	2	2			F1	P
P09152	1	1	1	1	0	1	1	6	F1	NARG_ECOLI	6.07	2	0	0	2			F1	P
P09348	0	1	1	1	0	0	0	3	B	MOTA_ECOLI			2	2					P
P09391	0	1	1	1	1	0	1	5	B	GLPG_ECOLI			2	2	2	0		B	P
P09394	1	1	1	1	0	0	1	5	G	GLPQ_ECOLI	1.45	2	2	2	2			G	P
P09546	1	1	1	1	1	1	1	7	F1	PUTA_ECOLI	4.08	2	2	2	2	0	0.233506434	F1	P
P09549	0	1	1	1	0	1	1	5	B	DEDD_ECOLI			2	2			2.516803424	B	P
P09836	0	1	1	1	0	0	0	3	B	UHPC_ECOLI			2	0					P
P0A6A0	0	1	1	1	0	0	1	4	B	UBIB_ECOLI			2	2	2			B	P
P0A6E9	0	1	1	1	0	1	0	4	B	BIOD2_ECOLI			0	0	2				P
P0A6H8	0	1	1	1	0	0	1	4	B	CLS_ECOLI			2	2	2			B	P
P0A6J1	0	1	1	1	0	0	1	4	B	CYSC_ECOLI			0	0				B	A
P0A6J3	0	0	1	1	0	0	1	3	B	CYSZ_ECOLI				2	2			B	P
P0A6J5	1	1	1	1	0	0	1	5	F1	DADA_ECOLI	2.64	2	2	2				F1	P
P0A6Q6	1	1	1	1	0	1	1	6	F1	FABZ_ECOLI	4.34	2	2	2	2		2.19319885	F1	P
P0A6S0	0	1	1	1	1	0	0	4	I	FLGH_ECOLI			2	2	2	0			P
P0A6X3	1	1	1	1	0	1	1	6	F1	HFQ_ECOLI	25.05	2	2	2	2		46.07581019	F1	P
P0A6Y8	1	1	1	1	0	1	1	6	F1	DNAK_ECOLI	10.49	2	2	2	2		15.7662626	F1	P
P0A6Z3	1	1	1	1	0	0	1	5	F1	HTPG_ECOLI	9.48	2	0	0	0			F1	P
P0A734	1	1	1	1	0	0	1	5	F1	MINE_ECOLI	1.69	2	2	2	2			F1	P
P0A754	0	1	1	1	0	0	0	3	F1	KEFF_ECOLI			2	2	2				P
P0A756	0	1	1	1	0	0	1	4	F1	KEFG_ECOLI			2	2	2			F1	P
P0A759	1	1	1	1	0	0	1	5	B	NAGB_ECOLI	1.37	2	2	2	2			B	P
P0A766	0	1	1	1	0	0	1	4	B	RNFA_ECOLI			2	2				B	P
P0A769	0	1	1	1	0	0	0	3	B	MNTH_ECOLI			2	2					P
P0A7B1	1	1	1	1	0	1	1	6	F1	PPK_ECOLI	1.13	2	2	2	2		2.020893684	F1	P
P0A7B3	0	1	1	1	0	1	1	5	F1	PPNK_ECOLI			2	2	2			F1	P
P0A7E1	1	1	1	1	0	0	1	5	F1	PYRD_ECOLI	0.53	2	2	2	2			F1	P
P0A7E5	1	1	1	1	0	0	1	5	B	PYRG_ECOLI	1.31	2	2	2	2			B	P
P0A7H3	0	1	1	1	0	1	0	4	B	RECO_ECOLI			2	2	2		1.968372918		P
P0A7J0	1	1	1	1	0	1	1	6	F1	RIBB_ECOLI	0.54	2	2	2	2		6.223884359	F1	P
P0A855	1	1	1	1	0	1	1	6	G	TOLB_ECOLI	2.19	2	2	2	2		3.191147538	G	P
P0A879	0	1	1	1	0	0	1	4	B	TRPB_ECOLI			2	2	2			B	P
P0A8R7	0	1	1	1	0	0	1	4	B	YCJF_ECOLI			0	0	0			B	A
P0A8S5	0	1	1	1	0	0	0	3	B	USPB_ECOLI			2	2					P
P0A8U0	0	1	1	1	1	1	1	6	F1	SYDP_ECOLI			2	2	2	0		F1	P
P0A8X2	0	1	1	1	0	0	1	4	G	YCEI_ECOLI			2	2	2			G	P
P0A8X4	0	1	1	1	0	1	0	4	G	YCCT_ECOLI			2	2	2				P
P0A8Z3	0	1	1	1	0	1	1	5	F1	YBGC_ECOLI			2	2	2		6.66723991	F1	P
P0A901	1	1	1	1	1	0	1	6	I	BLC_ECOLI	0.34	2	2	2	2	0		I	P
P0A908	1	1	1	1	0	0	1	5	H	MIPA_ECOLI	2.54	2	2	2	2			H	P
P0A912	1	1	1	1	0	0	1	5	I	PAL_ECOLI	8.69	2	2	2	2			I	P
P0A917	0	0	1	1	0	0	1	3	H	OMPX_ECOLI				2	2			H	P
P0A921	1	1	1	1	0	1	1	6	H	PA1_ECOLI	0.59	2	2	2	2		2.852949206	H	P
P0A924	0	1	1	1	1	0	1	5	B	PGPB_ECOLI			2	2	2	0		B	P
P0A930	0	1	1	1	0	0	0	3	I	WZA_ECOLI			0	0	0				A
P0A935	1	1	1	1	0	1	1	6	I	MLTA_ECOLI	0.46	2	2	1	2		4.574332476	I	P
P0A937	0	1	1	1	1	0	1	5	I	SMPA_ECOLI			2	2	2	0		I	P
P0A940	1	1	1	1	1	0	1	6	H	YAET_ECOLI	2.46	2	2	2	2	0		H	P
P0A996	0	1	1	1	0	1	0	4	F1	GLPC_ECOLI			0	0	2				P
P0A9C0	1	1	1	1	0	0	0	4	F1	GLPA_ECOLI		2	0	0	2				P
P0A9J4	0	1	1	1	0	0	1	4	G	PANE_ECOLI			2	2	2			G	P
P0A9K7	1	1	1	1	0	0	1	5	F1	PHOU_ECOLI	0.43	2	2	0				F1	P
P0A9M5	1	1	1	1	0	0	1	5	F1	XGPT_ECOLI	0.49	2	2	2	2			F1	P
P0A9P0	1	1	1	1	0	1	1	6	F1	DLDH_ECOLI	22.38	2	2	2	2			F1	P
P0A9P4	1	1	1	1	0	0	1	5	G	TRXB_ECOLI	4	2	2	2	2			G	P
P0A9Q9	1	1	1	1	0	0	1	5	B	DHAS_ECOLI	1.21	2	2	2	2			B	P
P0A9R7	1	1	1	1	0	0	1	5	F1	FTSE_ECOLI	0.69	2	2	2	2			F1	P
P0A9S7	0	1	1	1	0	0	1	4	F1	LIVG_ECOLI			0	0	0			F1	A
P0A9U1	0	1	1	1	0	1	1	5	F1	YBHF_ECOLI			2	2	2		0.87566713	F1	P
P0A9U3	1	1	1	1	0	1	1	6	F1	YBIT_ECOLI	0.39	2	2	2	2		3.250520173	F1	P
P0A9V1	1	1	1	1	0	0	1	5	F1	LPTB_ECOLI	0.31	2	2	2	2			F1	P
P0A9W3	1	1	1	1	0	0	1	5	F1	YJJK_ECOLI	2.24	2	2	2	2			F1	P
P0A9X1	0	1	1	1	0	1	1	5	F1	ZNUC_ECOLI			2	2	2			F1	P
P0A9X4	1	1	1	1	0	1	1	6	F1	MREB_ECOLI	2.31	2	2	2	2		11.94127538	F1	P
P0AA47	1	1	1	1	0	0	0	4	B	YEEF_ECOLI		2	2	0	2				P
P0AA49	0	1	1	1	0	0	0	3	B	YFDV_ECOLI			0	0	0				A
P0AA53	0	1	1	1	0	0	1	4	B	QMCA_ECOLI			2	2	2			B	P
P0AA63	0	1	1	1	0	0	0	3	B	YQJA_ECOLI			2	2	2				P
P0AA73	0	1	1	1	0	0	1	4	B	YHBE_ECOLI			2	2	2			B	P
P0AA84	0	1	1	1	0	0	1	4	F1	YBHO_ECOLI			0	0	0			F1	A
P0AA91	0	1	1	1	0	0	1	4	I	YEAY_ECOLI			2	2	2			I	P
P0AA93	0	1	1	1	0	0	1	4	B	YPDA_ECOLI			2	2	2			B	P
P0AA95	0	1	1	1	0	0	1	4	G	YACC_ECOLI			2	2	2			G	P
P0AA99	0	1	1	1	0	0	0	3	G	YAFK_ECOLI			2	2	2				P
P0AAB4	1	1	1	1	0	0	1	5	F1	UBID_ECOLI	2.35	2	2	2	2			F1	P
P0AAB6	1	1	1	1	0	1	1	6	B	GALF_ECOLI	1.57	2	2	2	2		20.42286656	B	P
P0AAC4	0	1	1	1	0	0	1	4	B	YBHL_ECOLI			2	2	2			B	P
P0AAC6	0	1	1	1	0	0	1	4	B	YCCA_ECOLI			2	2	2			B	P
P0AAD2	0	1	1	1	0	0	0	3	B	MTR_ECOLI			2	2	2				P
P0AAD6	1	1	1	1	0	0	1	5	B	SDAC_ECOLI	5.46	2	2	2	2			B	P
P0AAD8	0	1	1	1	1	0	0	4	B	TDCC_ECOLI			2	2	2	0			P
P0AAE0	0	1	1	1	0	0	1	4	B	CYCA_ECOLI			2	2	2			B	P
P0AAE5	0	1	1	1	0	0	0	3	B	ARCD_ECOLI			2	2					P
P0AAE8	0	1	1	1	0	0	0	3	B	CADB_ECOLI			0	1	2				P
P0AAF3	0	1	1	1	0	0	1	4	F1	ARAG_ECOLI			2	0	2			F1	P
P0AAF6	1	1	1	1	0	1	1	6	F1	ARTP_ECOLI	1.09	2	2	2	2		4.038829609	F1	P
P0AAG5	0	1	1	1	1	1	1	6	B	MDLB_ECOLI			2	2	2	0	0.339288965	B	P
P0AAH0	1	1	1	1	0	1	1	6	F1	PSTB_ECOLI	0	2	2	2	2		14.68063249	F1	P
P0AAH4	0	1	1	1	0	0	1	4	F1	SAPD_ECOLI			2	2	2			F1	P
P0AAH8	0	1	1	1	0	1	1	5	F1	SAPF_ECOLI			2	2	2		0.552000348	F1	P
P0AAJ1	0	1	1	1	0	0	1	4	F2	YNFG_ECOLI			0	0				F2	A
P0AAJ5	1	1	1	1	0	0	1	5	B	FDOH_ECOLI	4	2	2	2	2			B	P
P0AAJ8	0	1	1	1	0	0	1	4	F2	HYBA_ECOLI			2	2	2			F2	P
P0AAK7	0	1	1	1	0	0	0	3	G	NRFC_ECOLI			0	0	2				P
P0AAL3	0	1	1	1	0	0	0	3	G	NAPG_ECOLI			2	2	2				P
P0AAL6	0	1	1	1	0	0	0	3	B	YDHY_ECOLI			2	2	2				P
P0AAM1	0	1	1	1	1	0	0	4	B	CYBH_ECOLI			2	2	2	0			P
P0AAP1	0	1	1	1	0	0	0	3	B	ADRA_ECOLI			0	0	0				A
P0AAP7	0	1	1	1	0	0	0	3	B	YAIY_ECOLI			0	2	0				P
P0AAQ0	0	1	1	1	0	0	0	3	B	YAIZ_ECOLI			2	2	2				P
P0AAS0	1	1	1	1	0	0	1	5	B	YLAC_ECOLI	0.51	2	2	2	2			B	P
P0AAT4	1	1	1	1	0	1	1	6	B	YBDG_ECOLI	0	2	2	2	2		1.392845266	B	P
P0AAV0	0	1	1	1	0	0	1	4	B	YBGE_ECOLI			2	2	2			B	P
P0AAX6	0	1	1	1	0	1	0	4	G	MCBA_ECOLI			0	0	0				L
P0AAX8	1	1	1	1	0	1	1	6	G	YBIS_ECOLI	0.51	2	2	2	2		4.882519782	G	P
P0AAY4	0	1	1	1	0	0	0	3	G	YBJH_ECOLI			2	2					P
P0AAZ0	0	1	1	1	0	0	0	3	B	YBJO_ECOLI			2	2	2				P
P0AB06	0	1	1	1	0	0	1	4	G	YCBK_ECOLI			2	2	2			G	P
P0AB10	1	1	1	1	0	1	1	6	E	YMBA_ECOLI	0.24	2	2	2	2			E	P
P0AB12	0	1	1	1	0	0	1	4	B	YCCF_ECOLI			2	0				B	P
P0AB24	0	1	1	1	0	1	1	5	G	YCDO_ECOLI			2	2			2.239378212	G	P
P0AB26	1	1	1	1	0	0	1	5	I	YCEB_ECOLI	0.42	2	2	2	2			I	P
P0AB38	1	1	1	1	0	0	1	5	I	YCFM_ECOLI	1.15	2	2	2	2			I	P
P0AB40	0	1	1	1	0	1	0	4	G	BHSA_ECOLI			2	0	0				P
P0AB58	1	1	1	1	0	1	1	6	G	YCIM_ECOLI	0.24	2	2	2	0		3.182649139	G	P
P0AB67	1	1	1	1	0	0	1	5	B	PNTB_ECOLI	0.16	2	2	2				B	P
P0AB85	0	1	1	1	0	1	0	4	E	APBE_ECOLI			2	0					P
P0AB98	1	1	1	1	0	0	1	5	B	ATP6_ECOLI	3.33	2	2	2	2			B	P
P0ABA6	1	1	1	1	0	1	1	6	F1	ATPG_ECOLI	4.66	2	2	2	2			F1	P
P0ABB4	1	1	1	1	0	1	1	6	F1	ATPB_ECOLI	3	2	2	2	2			F1	P
P0ABB8	1	1	1	1	0	1	1	6	B	ATMA_ECOLI	0.11	2	2	2	2		3.779449885	B	P
P0ABF1	1	1	1	1	0	1	1	6	B	PCNB_ECOLI	1	2	2	2	2		11.3995023	B	P
P0ABF6	1	1	1	1	1	0	1	6	B	CDD_ECOLI		2	2	2	2	0		B	P
P0ABF8	0	1	1	1	0	1	1	5	B	PGSA_ECOLI			2	2	2		1.365633334	B	P
P0ABG1	0	1	1	1	0	0	0	3	B	CDSA_ECOLI			2	2	2				P
P0ABH0	1	1	1	1	0	1	1	6	F1	FTSA_ECOLI	4.44	2	2	2	2			F1	P
P0ABH4	0	1	1	1	1	0	0	4	B	MRED_ECOLI			2	2	2	0			P
P0ABI4	1	1	1	1	0	1	1	6	B	CORA_ECOLI	0.75	2	2	0	0		5.366874496	B	P
P0ABI8	1	1	1	1	0	0	1	5	B	CYOB_ECOLI	5.12	2	2	2	2			B	P
P0ABJ1	1	1	1	1	0	0	1	5	B	CYOA_ECOLI		2	2	2	2			B	P
P0ABJ3	0	1	1	1	0	1	1	5	B	CYOC_ECOLI			2	2	2		6.27362552	B	P
P0ABJ6	0	1	1	1	0	1	1	5	B	CYOD_ECOLI			2	2	2		17.55084328	B	P
P0ABJ9	1	1	1	1	1	1	1	7	B	CYDA_ECOLI	3.72	2	2	2	2	0	2.249553446	B	P
P0ABK7	0	1	1	1	1	0	0	4	F4	CSGB_ECOLI			0	0	0	0			A
P0ABK9	0	1	1	1	0	0	0	3	G	NRFA_ECOLI			2	2	2				P
P0ABL3	0	1	1	1	1	0	0	4	G	NAPB_ECOLI			0	0	2	0			P
P0ABL5	0	1	1	1	1	0	0	4	B	NAPC_ECOLI			2	2	2	0			P
P0ABM9	0	1	1	1	0	0	1	4	B	CCMH_ECOLI			0	0				B	A
P0ABS5	1	1	1	1	0	0	1	5	B	PRIM_ECOLI	0.55	2	2	2	2			B	P
P0ABT8	0	1	1	1	0	0	0	3	B	YIJE_ECOLI			0	0	0				A
P0ABU7	1	1	1	1	1	0	1	6	B	EXBB_ECOLI	0.14	2	2	0	2	0		B	P
P0ABU9	1	1	1	1	0	0	1	5	B	TOLQ_ECOLI	0.86	2	2	2	2			B	P
P0ABV2	1	1	1	1	0	0	0	4	B	EXBD_ECOLI	0.26	2	2	2	2				P
P0ABV6	0	1	1	1	0	0	1	4	B	TOLR_ECOLI			2	2	2			B	P
P0ABW9	0	1	1	1	0	0	0	3	G	FLGB_ECOLI			2	2	2				P
P0ABX2	0	1	1	1	1	0	0	4	G	FLGC_ECOLI			2	2	2	0			P
P0ABX5	0	1	1	1	1	0	0	4	G	FLGG_ECOLI			2	2	2	0			P
P0ABZ4	1	1	1	1	0	1	1	6	F1	KDSC_ECOLI	0.24	2	2	2	2			F1	P
P0AC02	1	1	1	1	0	0	1	5	I	YFIO_ECOLI	0.84	2	2	2	2			I	P
P0AC23	0	1	1	1	0	0	1	4	B	FOCA_ECOLI			2	2	2			B	P
P0AC26	0	1	1	1	1	0	0	4	B	NIRC_ECOLI			0	0	2	0			P
P0AC30	1	1	1	1	0	1	1	6	B	FTSX_ECOLI	0.69	2	0	0	0		2.633397688	B	P
P0AC41	1	1	1	1	0	0	1	5	F1	DHSA_ECOLI	6.87	2	2	2	2			F1	P
P0AC44	1	1	1	1	0	0	1	5	B	DHSD_ECOLI	3.87	2	2	2	2			B	P
P0AC55	1	1	1	1	1	0	0	5	F1	GLNK_ECOLI	7.18	2	0	2	0	0			P
P0AC75	0	1	1	1	0	1	1	5	B	KDTA_ECOLI			2	2	2		1.528583091	B	P
P0AC98	0	1	1	1	0	0	1	4	B	YAAH_ECOLI			0	1	0			B	A
P0ACB7	1	1	1	1	0	1	1	6	B	HEMY_ECOLI	0.62	2	1	0	0		2.343559567	B	P
P0ACE0	1	1	1	1	0	0	1	5	F2	MBHM_ECOLI	0.51	2	2	2	2			F2	P
P0ACJ0	1	1	1	1	1	0	1	6	B	LRP_ECOLI	1.88	2	2	2	2	0		B	P
P0ACJ5	0	1	1	1	0	0	0	3	B	YBAO_ECOLI			2	2					P
P0ACN2	0	1	1	1	0	0	0	3	B	YTFH_ECOLI			0	0	0				A
P0ACS9	0	1	1	1	0	0	1	4	B	ACRR_ECOLI			2	2				B	P
P0ACV0	0	1	1	1	0	0	1	4	B	HTRB_ECOLI			2	2	2			B	P
P0ACV2	0	1	1	1	0	0	0	3	B	DDG_ECOLI			2	2	2				P
P0ACX0	0	1	1	1	0	0	0	3	B	YDGC_ECOLI			2	2	0				P
P0AD03	0	1	1	1	0	0	0	3	B	YEBS_ECOLI			2	2					P
P0AD12	1	1	1	1	0	0	1	5	G	YEEZ_ECOLI	1.97	2	2	2	2			G	P
P0AD14	0	1	1	1	0	0	1	4	B	YEHU_ECOLI			2	2	2			B	P
P0AD17	0	1	1	1	0	0	0	3	B	YOHC_ECOLI			0	1	0				A
P0AD19	0	1	1	1	0	0	0	3	B	YOHK_ECOLI			2	0	0				P
P0AD27	0	1	1	1	0	0	1	4	B	YEJM_ECOLI			2	2	2			B	P
P0AD30	0	0	1	1	0	0	1	3	B	YFCA_ECOLI				1				B	A
P0AD59	0	1	1	1	0	0	0	3	G	IVY_ECOLI			2	2	2				P
P0AD65	0	1	1	1	0	0	1	4	B	PBP2_ECOLI			2	2	2			B	P
P0AD68	1	1	1	1	0	0	1	5	B	FTSI_ECOLI	5.46	2	2	2	2			B	P
P0AD70	0	1	1	1	0	0	0	3	G	AMPH_ECOLI			2	1	2				P
P0AD96	0	1	1	1	0	1	1	5	G	LIVJ_ECOLI			2	0	0		4.91322568	G	P
P0AD99	0	1	1	1	0	0	1	4	B	BRNQ_ECOLI			2	2	2			B	P
P0ADA5	1	1	1	1	0	1	1	6	I	YAJG_ECOLI		2	2	2	2		5.668191026	I	P
P0ADB1	1	1	1	1	1	0	1	6	I	OSME_ECOLI	3.11	2	2	2	2	0		I	P
P0ADC6	1	1	1	1	0	0	1	5	B	LPTG_ECOLI	0	2	2	1	2			B	P
P0ADD2	0	1	1	1	0	0	0	3	B	YJJB_ECOLI			2	2	2				P
P0ADD5	0	1	1	1	0	0	0	3	B	YJJP_ECOLI			2	2	2				P
P0ADE4	0	1	1	1	0	0	1	4	H	YTFM_ECOLI			2	2	2			H	P
P0ADI4	0	1	1	1	0	0	0	3	F1	ENTB_ECOLI			1	1	2				P
P0ADK0	1	1	1	1	0	1	1	6	E	YIAF_ECOLI		2	2	2	2		7.751405159	E	P
P0ADL1	0	1	1	1	0	0	1	4	B	NEPI_ECOLI			0	0	0			B	A
P0ADL3	0	1	1	1	0	0	1	4	B	YICN_ECOLI			2	0	0			B	P
P0ADM4	0	1	1	1	0	0	1	4	E	YIDQ_ECOLI			2	2	2			E	P
P0ADM8	0	1	1	1	0	0	1	4	B	YIEE_ECOLI			2	2	2			B	P
P0ADP2	1	1	1	1	0	0	1	5	B	YIGI_ECOLI		2	1	0	0			B	P
P0ADR0	0	1	1	1	0	0	0	3	B	YQAA_ECOLI			2	2	2				P
P0ADR2	0	1	1	1	0	0	0	3	B	YGDD_ECOLI			2	2					P
P0ADS6	1	1	1	1	0	1	1	6	G	YGGE_ECOLI	0.98	2	2	2	2		2.931300406	G	P
P0ADS9	0	1	1	1	0	0	1	4	G	YGGN_ECOLI			2	2	2			G	P
P0ADU5	1	1	1	1	0	0	0	4	G	YGIW_ECOLI	2.38	2	2	2	2				P
P0ADV1	1	1	1	1	0	0	1	5	G	LPTA_ECOLI	1.28	2	2	2	2			G	P
P0ADV7	1	1	1	1	0	1	1	6	G	MLAC_ECOLI	0.49	2	2	2	2		1.754402379	G	P
P0ADV9	0	1	1	1	0	0	1	4	B	LPTC_ECOLI			2	2	2			B	P
P0ADY1	1	1	1	1	0	0	1	5	B	PPID_ECOLI	1.01	2	2	2	2			B	P
P0ADZ7	1	1	1	1	0	1	1	6	B	YAJC_ECOLI	1.51	2	2	2	2		10.54951373	B	P
P0AE14	0	1	1	1	0	0	1	4	B	AMPE_ECOLI			2	2	2			B	P
P0AE28	0	1	1	1	0	0	1	4	B	AROM_ECOLI			2	2	2			B	P
P0AE34	0	1	1	1	1	0	1	5	B	ARTQ_ECOLI			2	2	2	0		B	P
P0AE45	1	1	1	1	0	1	1	6	B	YTFL_ECOLI	0	2	2	2			1.208045609	B	P
P0AE74	0	1	1	1	0	0	0	3	B	CITT_ECOLI			0	0					A
P0AE82	0	1	1	1	0	0	1	4	B	CPXA_ECOLI			2	0	0			B	P
P0AE91	1	1	1	1	0	0	1	5	G	CREA_ECOLI	0.48	2	2	2	2			G	P
P0AE95	0	1	1	1	0	0	0	3	G	CSGE_ECOLI			0	0	0				A
P0AEA2	0	1	1	1	1	1	0	5	I	CSGG_ECOLI			0	0	0	0	1.555210437		P
P0AEA5	0	1	1	1	0	1	0	4	B	CYOE_ECOLI			2	2	2		8.189593179		P
P0AEB2	1	1	1	1	0	1	1	6	F2	DACA_ECOLI	1.19	2	2	2	2		3.460926782	F2	P
P0AEB5	0	1	1	1	0	0	1	4	B	YNAI_ECOLI			2	2	2			B	P
P0AEC0	0	1	1	1	0	0	1	4	B	YOAE_ECOLI			0	2	0			B	P
P0AEC3	1	1	1	1	1	1	1	7	B	ARCB_ECOLI	1.13	2	2	2	2	0	1.440061606	B	P
P0AED0	1	1	1	1	0	0	1	5	F1	USPA_ECOLI	2.56	2	2	2	2			F1	P
P0AEE1	1	1	1	1	0	1	1	6	E	DCRB_ECOLI	2.83	2	2	2	2		3.685570549	E	P
P0AEF8	0	1	1	1	1	0	1	5	B	DPPB_ECOLI			0	2	2	0		B	P
P0AEG6	1	1	1	1	0	1	1	6	G	DSBC_ECOLI	0.35	2	2	2	2		5.196620063	G	P
P0AEH1	0	1	1	1	0	0	1	4	B	RSEP_ECOLI			2	2	2			B	P
P0AEJ0	0	1	1	1	0	0	1	4	B	EMRB_ECOLI			2	0	0			B	P
P0AEJ4	0	1	1	1	0	0	1	4	B	ENVZ_ECOLI			2	2	2			B	P
