Merge ID	Ishihama2008_fin	Masuda2009_fin	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	OurStudy_Feb2011CEPNonDet	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	emPAI Value	Normalized And Descr Itensity	Copy number per cell	mMol	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	Localization
P33594	0	0	1	1	0	1	3	F1	NIKE_ECOLI							0.0015155																		F1
P37631	1	0	0	1	0	1	3	B	YHIN_ECOLI	0.12	3.11E-01	1.47E+02																						B
P38054	0	0	0	1	1	1	3	B	CUSA_ECOLI										0.05	  	0.06	  	 	  	0.03									B
P39405	0	0	1	1	0	1	3	F1	FHUF_ECOLI							0.0085101																		F1
P39453	0	0	1	1	0	1	3	B	TORS_ECOLI							0.0011204																		B
P40874	1	1	0	1	0	1	4	B	MTOX_ECOLI	0.32	1.07E+00	3.01E+02	0.52	1	25.05																			B
P42588	0	0	1	1	0	1	3	G	PAT_ECOLI							0.0054025																		G
P42604	0	0	1	1	0	1	3	B	UXAA_ECOLI							0.00095947																		B
P45463	0	0	1	1	0	1	3	B	TTDR_ECOLI							0.00027535																		B
P64426	0	1	0	1	0	1	3	I	YDDW_ECOLI				0.17	1	8.47																			I
P68187	1	1	1	1	1	1	6	F1	MALK_ECOLI	0.2	5.85E-01	2.12E+02	3.33	1	152	0.040257			0.22	  	0.08	0.08	 	  	0.05	 	0.47	0.47	0.26	0.17	0.17	0.26	  	F1
P68644	0	0	1	1	0	1	3	F1	FIXC_ECOLI							0.0014438																		F1
P75938	0	0	0	1	0	1	2	G	FLGF_ECOLI									3611.64																G
P76344	1	0	0	1	0	1	3	G	YODA_ECOLI	1.71	5.08E+01	2.83E+03																						G
P76387	0	1	0	1	0	1	3	B	WZC_ECOLI				0.11	#диаия/0!	0.73																			B
P76393	0	0	0	1	0	1	2	B	YEGI_ECOLI								152.84																	B
P77223	0	1	1	1	0	1	4	F1	RNFB_ECOLI				9	1	1.93	0.0020498																		F1
P77239	1	0	0	1	1	1	4	F2	CUSB_ECOLI	0.12	3.11E-01	1.47E+02							0.07	 	0.07	 	 	0.07	0.07	 	  	0.07						F2
P78067	1	1	0	1	0	1	4	G	YNJE_ECOLI	0.11	2.74E-01	1.37E+02	0	1	9.92			6168.56																G
Q46808	0	0	1	1	0	1	3	B	YQEB_ECOLI							0.00053572																		B
Q46821	0	0	1	1	0	1	3	B	YGFU_ECOLI							0.00077561																		B
P03841	1	1	0	1	0	1	4	G	MALM_ECOLI	0.5	2.16E+00	4.53E+02	6.94	1	308.96																			G
P04128	0	1	0	1	0	1	3	F4	FIMA1_ECOLI				1.51	2	1.45																			F4
P04949	0	0	0	1	0	1	2	F4	FLIC_ECOLI									59576.14																F4
P05706	0	1	0	1	0	1	3	F1	PTHA_ECOLI				4.62	1	208.24																			F1
P06974	0	0	0	1	0	1	2	F1	FLIM_ECOLI									767.07																F1
P07017	0	1	1	1	0	1	4	B	MCP2_ECOLI				0.17	1	0.85	0.00013449		1470.23																B
P08194	0	1	0	1	0	1	3	B	GLPT_ECOLI				6.02	1	269.17																			B
P0A7G6	1	1	0	1	1	1	5	F1	RECA_ECOLI	0.73	4.41E+00	6.86E+02	10.22	1	449.64		891.99		0.28	  	0.18	  	 	0.11	0.11	 	0.65	 	0.52	  	0.28	 	  	F1
P0A915	0	0	0	1	1	1	3	H	OMPW_ECOLI										0.15	 	0.15	 												H
P0AA80	0	1	0	1	0	1	3	B	GARP_ECOLI				1.51	1	1.45																			B
P0ACA1	1	0	0	1	0	1	3	B	YIBF_ECOLI	0.33	1.15E+00	3.15E+02																						B
P0ADM0	0	0	1	1	0	1	3	B	YIDH_ECOLI							0.000559																		B
P0AE24	1	0	0	1	0	1	3	B	ARAE_ECOLI	0.83	5.81E+00	8.05E+02																						B
P0AFA9	0	0	1	1	0	1	3	B	NIKC_ECOLI							0.000457																		B
P0AFT2	0	1	0	1	0	1	3	B	YECS_ECOLI				0.67	1	32.03																			B
P0AGC5	0	1	0	1	0	1	3	F3	MLTF_ECOLI				0.19	1																				F3
P10903	0	1	0	1	0	1	3	B	NARK_ECOLI				1	2	1.33																			B
P15070	0	0	1	1	0	1	3	F1	FLIN_ECOLI							0.000109																		F1
P16692	0	0	1	1	0	1	3	G	PHNP_ECOLI							0.0019776																		G
P17994	1	0	0	1	0	1	3	G	YFAA_ECOLI	0.08	2.12E-01	1.17E+02																						G
P19642	0	1	0	1	0	1	3	B	PTOCB_ECOLI				1.03	1	1.34																			B
P23173	0	0	0	1	1	1	3	B	TNAB_ECOLI										0.07	 	  	0.07	 	  	0.07									B
P24181	1	0	0	1	0	1	3	B	ACRF_ECOLI	0.08	2.02E-01	1.14E+02																						B
P24183	1	0	1	1	0	1	4	F2	FDNG_ECOLI	0.04	9.26E-02	7.27E+01				8.7781e-005																		F2
P24216	0	0	0	1	0	1	2	F4	FLID_ECOLI								121.29																	F4
P25798	0	1	0	1	0	1	3	B	FLIF_ECOLI				0.68	1	1.23																			B
P25907	1	0	0	1	0	1	3	G	YDBD_ECOLI	0.09	2.25E-01	1.22E+02																						G
P30015	0	0	1	1	0	1	3	B	LHR_ECOLI							0.0017496	26.3																	B
P30130	0	1	1	1	0	1	4	H	FIMD_ECOLI				1.64	1	1.47	0.00015944																		H
P30855	1	0	1	1	0	1	4	B	EVGS_ECOLI	0.05	1.13E-01	8.16E+01				0.002067																		B
P31063	0	1	0	1	0	1	3	I	YEDD_ECOLI				2.16	1	99.64																			I
P31126	0	0	0	1	0	1	2	B	YDEE_ECOLI								839.01																	B
P31130	0	0	1	1	0	1	3	G	YDEI_ECOLI							0.00048939																		G
P31131	0	0	1	1	0	1	3	B	YDEJ_ECOLI							0.0067701																		B
P31441	0	1	0	1	0	1	3	B	ADEC_ECOLI				0.17	1	8.47																			B
P31697	0	1	0	1	0	1	3	G	FIMC_ECOLI				0.78	1	1.27																			G
P32721	1	0	1	1	0	1	4	F1	ALSA_ECOLI	0.08	2.02E-01	1.14E+02				0.00020049																		F1
P33129	1	0	1	1	0	1	4	H	HTRE_ECOLI	0.06	1.50E-01	9.61E+01				0.00051495																		H
P33231	0	1	0	1	0	1	3	B	LLDP_ECOLI				1	1	47.23																			B
P37657	0	0	1	1	0	1	3	B	YHJS_ECOLI							0.00022406																		B
P37683	0	0	1	1	0	1	3	B	YIAV_ECOLI							0.00093368																		B
P39371	0	0	1	1	0	1	3	G	NANM_ECOLI							0.00070649																		G
P39376	0	0	1	1	0	1	3	B	YJIE_ECOLI							0.00083213																		B
P39414	0	0	0	1	0	1	2	B	TTDT_ECOLI								598.23																	B
P41036	0	1	0	1	0	1	3	B	NANT_ECOLI				1.15	1	54.08																			B
P43340	0	0	1	1	0	1	3	B	YCAK_ECOLI							0.00033124																		B
P45425	0	1	0	1	0	1	3	B	NANK_ECOLI				1.03	1	49																			B
P45756	1	0	0	1	0	1	3	B	GSPA_ECOLI	0.08	2.12E-01	1.17E+02																						B
P45804	0	1	0	1	0	1	3	B	YHGE_ECOLI				0.26	1	0.97																			B
P46125	0	1	0	1	0	1	3	B	YEDI_ECOLI				1.15	1	1.37																			B
P46144	0	0	1	1	0	1	3	B	YEDJ_ECOLI							0.00041508																		B
P56579	0	1	0	1	1	1	4	B	PTHC_ECOLI				1.15	1	1.37				0.16	0.16	  	 												B
P56580	0	1	0	1	0	1	3	B	PTHB_ECOLI				4.41	1	1.74																			B
P60872	0	1	0	1	0	1	3	B	YIDE_ECOLI				1.42	1	1.43																			B
P63235	0	1	0	1	0	1	3	B	GADC_ECOLI				0.78	1	1.27																			B
P64627	0	1	0	1	0	1	3	I	YHFL_ECOLI				9	1																				I
P69434	0	0	1	1	0	1	3	H	PGAA_ECOLI							0.00053636	58.55																	H
P69816	0	0	1	1	0	1	3	F1	PTFB2_ECOLI							0.0052567																		F1
P69824	1	0	0	1	0	1	3	F1	PTMA_ECOLI	0.17	4.68E-01	1.86E+02																						F1
P69856	0	1	0	1	0	1	3	G	NANC_ECOLI				1.58	1																				G
P75750	0	1	0	1	0	1	3	H	YBGQ_ECOLI				0.16	1	7.99																			H
P75937	0	0	0	1	0	1	2	F4	FLGE_ECOLI									7670.75																F4
P76017	1	0	1	1	0	1	4	H	YCGV_ECOLI	0.09	2.33E-01	1.24E+02				0.00015252																		H
P76097	0	0	1	1	0	1	3	B	YDCJ_ECOLI							0.0015582																		B
P76128	0	0	1	1	0	1	3	G	DDPA_ECOLI							0.0058402																		G
P76146	1	0	0	1	0	1	3	B	YNEE_ECOLI	0.15	4.25E-01	1.76E+02																						B
P76220	0	1	0	1	0	1	3	E	YDJY_ECOLI				4.62	1																				E
P76423	1	0	0	1	1	1	4	B	THIM_ECOLI	0.29	9.31E-01	2.78E+02							0.09	  	   	0.12	 	0.02	 	 	0.12	 						B
P76562	0	0	1	1	0	1	3	B	YPFI_ECOLI							0.0010795																		B
P77172	0	0	0	1	0	1	2	B	YFGF_ECOLI								89.65																	B
P77211	0	0	0	1	1	1	3	I	CUSC_ECOLI										0.7	  	0.07	  	0.55	1.98	1.39	 	0.07	0.14						I
P77231	0	0	1	1	0	1	3	B	CITG_ECOLI							0.00019368																		B
P77747	0	0	0	1	1	1	3	H	OMPN_ECOLI										0.17	 	  	0.17												H
Q46841	1	0	0	1	0	1	3	B	YGHQ_ECOLI	0.17	4.68E-01	1.86E+02																						B
Q46863	1	1	0	1	0	1	4	G	YGIS_ECOLI	0.14	3.89E-01	1.67E+02	0.17	1	8.47																			G
P39180	0	1	1	1	0	1	4	H	AG43_ECOLI				3.33	1	1.66	0.0010123																		H
P75936	0	0	0	1	0	1	2	F4	FLGD_ECOLI									3483.8																F4
P39347	1	0	0	1	0	1	3	B	INTB_ECOLI	0.11	2.92E-01	1.41E+02																						B
P03835	0	0	1	1	0	1	3	B	INSG_ECOLI							0.0014229																		B
