Gene Name	Ordered Locus Name	VALUE	ABS_CALL	DETECTION P-VALUE	NORMALIZED BY GLOBAL INTENSITY (EXPRESSED AS PARTS PER MILLION)
aspC	b0928	2743,86	P	0,00049077	754
aspS	b1866	3315,88	P	0,00108112	911
aspT	b3760	6338,94	P	0,0078125	1742
aspU	b0206	3952,31	P	0,00195313	1086
aspV	b0216	2821,7	P	0,0234375	775
asr	b1597	291,145	P	0,0115479	80
atoA	b2222	90,1009	P	0,0480985	25
atoB	b2224	6,66113	A	0,786736	2
atoC	b2220	145,695	P	0,00852936	40
atoD	b2221	27,0322	A	0,522646	7
atoE	b2223	63,4521	A	0,127994	17
atoS	b2219	112,127	P	0,00550396	31
atpA	b3734	7584,65	P	0,00049077	2084
atpB	b3738	5816,06	P	0,00049077	1598
atpC	b3731	2935,78	P	0,00108112	807
atpD	b3732	4424,27	P	0,000327479	1216
atpE	b3737	7880,25	P	0,00049077	2166
atpF	b3736	6147,53	P	0,00049077	1689
atpG	b3733	6939,08	P	0,000327479	1907
atpH	b3735	9364,14	P	0,00049077	2573
atpI	b3739	810,745	P	0,000327479	223
avtA	b3572	509,253	P	0,000327479	140
bacA	b3057	230,84	P	0,00657518	63
baeR	b2079	495,279	P	0,00852936	136
baeS	b2078	242,359	P	0,0267372	67
barA	b2786	143,368	P	0,00529677	39
basR	b4113	283,557	P	0,00657518	78
basS	b4112	348,921	P	0,00214285	96
bax	b3570	233,18	P	0,0151637	64
bcp	b2480	2246,58	P	0,000402638	617
bcr	b2182	176,783	P	0,034572	49
betA	b0311	1926,03	P	0,00049077	529
betB	b0312	3553,51	P	0,00049077	977
betI	b0313	3761,52	P	0,000327479	1034
betT	b0314	929,413	P	0,00320325	255
bfr	b3336	151,787	P	0,00116472	42
bglA	b2901	765,624	P	0,000327479	210
bglB	b3721	27,8061	A	0,0698779	8
bglF	b3722	18,2215	A	0,51252	5
bglG	b3723	1,49802	A	0,937979	0
bglJ	b4366	26,774	A	0,324781	7
bglX	b2132	656,51	P	0,000493549	180
bioA	b0774	198,399	A	0,167138	55
bioB	b0775	183,409	P	0,000339659	50
bioC	b0777	56,9315	A	0,193476	16
bioD	b0778	86,9789	P	0,0369994	24
bioF	b0776	57,4636	A	0,462489	16
bioH	b3412	571,828	P	0,00108112	157
birA	b3973	411,385	P	0,000327479	113
bisC	b3551	299,95	P	0,00214285	82
bisZ	b1872	15,8692	A	0,51252	4
blc	b4149	140,46	P	0,0072983	39
bolA	b0435	146,833	P	0,000493549	40
brnQ	b0401	215,77	P	0,000327479	59
btuB	b3966	464,133	P	0,00049077	128
btuC	b1711	330,398	P	0,015454	91
btuD	b1709	301,848	P	0,0204441	83
btuE	b1710	469,34	P	0,00459071	129
btuR	b1270	500,005	P	0,00188612	137
cadA	b4131	10,3762	A	0,58986	3
cadB	b4132	38,1333	A	0,165268	10
cadC	b4133	41,7402	P	0,0129214	11
cafA	b3247	821,382	P	0,00315926	226
caiA	b0039	131,968	A	0,0778177	36
caiB	b0038	235,34	P	0,000612512	65
caiC	b0037	156,999	P	0,0204441	43
caiD	b0036	296,117	P	0,0421419	81
caiE	b0035	73,4949	P	0,0442012	20
caiF	b0034	355,251	P	0,000603158	98
caiT	b0040	38,7004	A	0,432352	11
carA	b0032	2427,35	P	0,000327479	667
carB	b0033	4663,13	P	0,000327479	1281
cbl	b1987	69,9038	P	0,0234132	19
cbpA	b1000	760,968	P	0,000327479	209
cca	b3056	554,213	P	0,0044925	152
cchA	b2457	246,39	P	0,0178004	68
cchB	b2456	173,796	P	0,0234132	48
ccmA	b2201	154,819	P	0,0480985	43
ccmB	b2200	96,0176	A	0,150145	26
ccmC	b2199	31,9805	A	0,54522	9
ccmD	b2198	61,6407	A	0,364945	17
ccmE	b2197	97,8766	A	0,181343	27
ccmF	b2196	14,6815	A	0,65838	4
ccmH	b2194	169,189	A	0,110449	46
cdd	b2143	816,066	P	0,000327479	224
cdh	b3918	274,336	P	0,00225703	75
cdsA	b0175	583,538	P	0,000327479	160
celA	b1738	308,15	P	0,00130539	85
celB	b1737	55,0714	P	0,0391461	15
celC	b1736	121,426	P	0,00157146	33
celD	b1735	142,356	P	0,00188612	39
celF	b1734	112,815	P	0,0204441	31
cfa	b1661	1378,42	P	0,000402638	379
chaA	b1216	224,906	P	0,00260662	62
chaB	b1217	230,324	P	0,0442012	63
chaC	b1218	162,131	A	0,197123	45
cheA	b1888	4575,22	P	0,000327479	1257
cheB	b1883	3847,64	P	0,00049077	1057
cheR	b1884	3112,14	P	0,00049077	855
cheW	b1887	4651,31	P	0,00049077	1278
cheY	b1882	7222,73	P	0,00094359	1985
cheZ	b1881	5378,8	P	0,000327479	1478
chpA	b2782	834,916	P	0,000327479	229
chpB	b4225	412,94	P	0,00622665	113
chpR	b2783	832,507	P	0,000327479	229
chpS	b4224	189,499	A	0,0789057	52
cirA	b2155	179,786	P	0,036797	49
citA	b0619	67,4952	P	0,0480985	19
citB	b0620	144,299	P	0,000734887	40
citC	b0618	9,28414	A	0,733935	3
citD	b0617	106,601	A	0,253373	29
citE	b0616	76,5257	A	0,0789057	21
citF	b0615	104,208	A	0,296809	29
citG	b0613	7,86469	A	0,889551	2
clpA	b0882	1208,54	P	0,000327479	332
clpB	b2592	1026,83	P	0,00459071	282
clpP	b0437	2290,15	P	0,000327479	629
clpX	b0438	1631,2	P	0,000327479	448
cls	b1249	913,339	P	0,000935716	251
cmk	b0910	1724,82	P	0,000493549	474
cmr	b0842	205,63	P	0,000603158	57
cmtA	b2933	84,6905	A	0,150145	23
cmtB	b2934	18,1007	A	0,122747	5
coaA	b3974	362,018	P	0,000327479	99
cobB	b1120	1067,16	P	0,000734887	293
cobS	b1992	888,273	P	0,00214285	244
cobT	b1991	938,222	P	0,00116472	258
cobU	b1993	326,403	P	0,00852936	90
codA	b0337	1381,07	P	0,000327479	380
codB	b0336	471,107	P	0,00315926	129
cof	b0446	479,922	P	0,0133783	132
corA	b3816	261,119	P	0,0178004	72
cpdB	b4213	183,987	A	0,070073	51
cpsB	b2049	77,9742	A	0,388782	21
cpsG	b2048	404,775	P	0,0267372	111
cpxA	b3911	437,637	P	0,0129214	120
cpxR	b3912	1363,15	P	0,00049077	375
crcA	b0622	6,1305	A	0,913576	2
crcB	b0624	171,316	P	0,000612512	47
creA	b4397	424,176	P	0,000327479	117
creB	b4398	291,138	P	0,00157146	80
creC	b4399	60,5328	A	0,181744	17
creD	b4400	52,088	A	0,0864242	14
crl	b0240	1883	P	0,000327479	517
crp	b3357	4274,7	P	0,000327479	1175
crr	b2417	3437,63	P	0,00130539	945
csgA	b1042	44,4504	A	0,432352	12
csgB	b1041	25,2747	A	0,41014	7
csgC	b1043	39,7079	A	0,230151	11
csgD	b1040	2,58001	A	0,849855	1
csgE	b1039	1,76813	A	0,995409	0
csgF	b1038	15,0355	A	0,366636	4
csgG	b1037	22,4404	A	0,388782	6
csiE	b2535	25,7305	A	0,633364	7
cspA	b3556	1957,94	P	0,000612512	538
cspB	b1557	28,1092	P	0,0277665	8
cspC	b1823	7717,78	P	0,00049077	2121
cspD	b0880	433,739	P	0,000734887	119
cspE	b0623	2587,9	P	0,000327479	711
cspF	b1558	22,4636	A	0,388213	6
cspG	b0990	233,152	P	0,000402638	64
cspH	b0989	69,3539	A	0,0778177	19
cspI	b1552	44,6487	P	0,0421419	12
csrA	b2696	2607,52	P	0,000327479	717
cstA	b0598	477,04	P	0,0044925	131
cstC	b1748	153,609	A	0,181343	42
cutA	b4137	1037,18	P	0,00073689	285
cutC	b1874	213,901	P	0,0177324	59
cutF	b0192	281,796	P	0,00130539	77
cvpA	b2313	307,668	P	0,00049077	85
cyaA	b3806	998,557	P	0,000327479	274
cyaY	b3807	497,121	P	0,00225703	137
cybB	b1418	1323,9	P	0,000493549	364
cybC	b4236	367,562	P	0,0044925	101
cycA	b4208	191,606	P	0,000327479	53
cydA	b0733	5189,77	P	0,000327479	1426
cydB	b0734	5464,77	P	0,000402638	1502
cydC	b0886	481,736	P	0,0151637	132
cydD	b0887	333,996	P	0,00459071	92
cynR	b0338	218,299	P	0,00379911	60
cynS	b0340	32,0273	A	0,127994	9
cynT	b0339	90,2128	P	0,0204441	25
cynX	b0341	13,8824	A	0,5	4
cyoA	b0432	6597,89	P	0,00049077	1813
cyoB	b0431	7464,19	P	0,00049077	2051
cyoC	b0430	6135,43	P	0,000327479	1686
cyoD	b0429	6014,53	P	0,00049077	1653
cyoE	b0428	2032,24	P	0,00049077	558
cysA	b2422	126,942	A	0,275462	35
cysB	b1275	434,513	P	0,000493549	119
cysC	b2750	80,0589	A	0,24776	22
cysD	b2752	190,889	P	0,0234132	52
cysE	b3607	1363,79	P	0,000734887	375
cysG	b3368	250,477	P	0,00130539	69
cysH	b2762	324,2	P	0,00225703	89
cysI	b2763	301,279	P	0,00928336	83
cysJ	b2764	282,753	A	0,110449	78
cysK	b2414	2940,22	P	0,000327479	808
cysM	b2421	366,821	P	0,015454	101
cysN	b2751	152,53	A	0,140265	42
cysP	b2425	329,342	M	0,0625767	91
cysQ	b4214	295,903	P	0,0115479	81
cysS	b0526	459,286	P	0,00529677	126
cysT	b1910	1151,89	P	0,000612512	317
cysU	b2424	104,584	A	0,296809	29
cysW	b2423	136,567	A	0,181343	38
cysZ	b2413	263,568	P	0,00852936	72
cytR	b3934	533,061	P	0,000612512	146
dacA	b0632	1097,93	P	0,00049077	302
dacB	b3182	262,822	P	0,00225703	72
dacC	b0839	372,813	P	0,000734887	102
dacD	b2010	205,05	P	0,00143241	56
dadA	b1189	2950,2	P	0,00188612	811
dadX	b1190	683,401	P	0,000892689	188
dam	b3387	1495,45	P	0,000493549	411
damX	b3388	1330,34	P	0,00049077	366
dapA	b2478	4292,69	P	0,00049077	1180
dapB	b0031	680,573	P	0,00225703	187
dapD	b0166	2194,05	P	0,00049077	603
dapE	b2472	510,141	P	0,000327479	140
dapF	b3809	2658,07	P	0,00049077	730
dbpA	b1343	88,1113	A	0,0957232	24
dcd	b2065	425,923	P	0,0277665	117
dcm	b1961	249,3	P	0,00459071	69
dcp	b1538	536,663	P	0,000761638	147
dctA	b3528	165,203	P	0,0442012	45
dcuA	b4138	23,0724	A	0,703191	6
dcuB	b4123	33,648	A	0,724538	9
dcuC	b0621	73,5919	M	0,0625767	20
ddg	b2378	276,879	P	0,00108112	76
ddlA	b0381	1000,67	P	0,00094359	275
ddlB	b0092	1237,17	P	0,00269283	340
deaD	b3162	1331,46	P	0,00214285	366
dedA	b2317	1027,04	P	0,00049077	282
dedD	b2314	705,318	P	0,0129214	194
def	b3287	1828,7	P	0,000402638	503
degQ	b3234	331,893	P	0,00529677	91
degS	b3235	406,207	P	0,000327479	112
deoA	b4382	572,406	P	0,000603158	157
deoB	b4383	1638,94	P	0,000327479	450
deoC	b4381	601,316	P	0,00993898	165
deoD	b4384	1970,24	P	0,000327479	541
deoR	b0840	352,022	P	0,000734887	97
dfp	b3639	1595,46	P	0,00049077	438
dgkA	b4042	513,998	P	0,000603158	141
dgoA	b3692	8,32192	A	0,877253	2
dgoK	b3693	89,8916	A	0,110449	25
dgoT	b3691	65,5503	A	0,140265	18
dgt	b0160	320,266	P	0,00852936	88
dicA	b1570	589,107	P	0,0115479	162
dicB	b1575	2,64103	A	0,872006	1
dicC	b1569	39,3041	P	0,034572	11
dicF	b1574	336,849	P	0,0178004	93
dinD	b3645	147,39	P	0,0072983	41
dinF	b4044	233,959	P	0,0234132	64
dinG	b0799	360,851	P	0,000327479	99
dinI	b1061	405,103	P	0,000612512	111
dinJ	b0226	426,333	P	0,000603158	117
dinP	b0231	52,7853	A	0,28503	15
div	b2321	333,767	P	0,00993898	92
dksA	b0145	898,188	P	0,000402638	247
dld	b2133	1293,31	P	0,000402638	355
dmsA	b0894	47,857	A	0,366636	13
dmsB	b0895	76,4303	A	0,0778177	21
dmsC	b0896	144,568	P	0,0304463	40
dnaA	b3702	520	P	0,00381521	143
dnaB	b4052	1379,06	P	0,000327479	379
dnaC	b4361	247,511	P	0,0044925	68
dnaE	b0184	1493,11	P	0,000327479	410
dnaG	b3066	543,197	P	0,000327479	149
dnaJ	b0015	1862,39	P	0,00529677	512
dnaK	b0014	4428,66	P	0,000327479	1217
dnaN	b3701	851,902	P	0,000402638	234
dnaQ	b0215	378,491	P	0,0115479	104
dnaT	b4362	362,103	P	0,000761638	100
dnaX	b0470	595,1	P	0,0044925	164
dniR	b0211	177,716	M	0,0558844	49
dppA	b3544	517,745	P	0,000612512	142
dppB	b3543	177,937	A	0,165268	49
dppC	b3542	129,35	P	0,0206634	36
dppD	b3541	290,485	P	0,000761638	80
dppF	b3540	275,036	P	0,0044925	76
dps	b0812	1399,79	P	0,000402638	385
dsbA	b3860	1221,99	P	0,000327479	336
dsbB	b1185	328,229	P	0,00320325	90
dsbC	b2893	987,827	P	0,000327479	271
dsbD	b4136	589,267	P	0,00094359	162
dsbE	b2195	149,587	A	0,122747	41
dsbG	b0604	288,627	P	0,000493549	79
dsdA	b2366	109,218	P	0,00269283	30
dsdC	b2364	74,2603	A	0,266065	20
dsdX	b2365	13,2583	A	0,5	4
dsrA	b1954	1,52336	A	0,5	0
dsrB	b1952	328,541	P	0,00214285	90
dut	b3640	864,472	P	0,00269283	238
dxs	b0420	507,572	P	0,00108112	139
eaeH	b0297	15,9824	A	0,45478	4
ebgA	b3076	136,536	A	0,165268	38
ebgC	b3077	35,6985	A	0,197123	10
ebgR	b3075	402,053	P	0,00108112	110
eco	b2209	1491,38	P	0,000402638	410
ecpD	b0140	6,70322	A	0,75224	2
eda	b1850	1461,85	P	0,00225703	402
edd	b1851	1900,34	P	0,000892689	522
efp	b4147	2470,89	P	0,000327479	679
elaA	b2267	438,866	P	0,000612512	121
elaB	b2266	254,833	P	0,00315926	70
elaC	b2268	269,131	P	0,0072983	74
elaD	b2269	15,6392	A	0,54522	4
emrA	b2685	522,292	P	0,00622665	144
emrB	b2686	233,236	P	0,0072983	64
emrD	b3673	262,869	M	0,0625767	72
emrE	b0543	79,0347	P	0,00622665	22
emrK	b2368	24,7144	A	0,110449	7
emrR	b2684	960,204	P	0,000327479	264
emrY	b2367	27,765	P	0,00657518	8
endA	b2945	57,7049	A	0,127994	16
eno	b2779	6873,7	P	8,15E-12	1889
entA	b0596	7,90137	A	0,986622	2
entB	b0595	320,479	M	0,0625767	88
entC	b0593	94,8499	P	0,0391461	26
entD	b0583	52,709	A	0,197123	14
entE	b0594	70,2997	A	0,181744	19
entF	b0586	20,6506	A	0,54522	6
envR	b3264	1,20946	A	0,999397	0
envY	b0566	15,9881	A	0,522646	4
envZ	b3404	615,174	P	0,00269283	169
epd	b2927	2325,62	P	0,00049077	639
era	b2566	391,563	P	0,00928336	108
erfK	b1990	102,105	P	0,00214285	28
eutB	b2441	1235,57	P	0,00049077	340
eutC	b2440	261,234	P	0,0206634	72
eutE	b2455	64,237	A	0,122747	18
eutG	b2453	69,6594	A	0,318883	19
eutH	b2452	167,774	A	0,122747	46
eutI	b2458	122,269	A	0,110449	34
eutJ	b2454	106,789	P	0,0109718	29
evgA	b2369	1039,28	P	0,000327479	286
evgS	b2370	114,521	P	0,00225703	31
exbB	b3006	620,144	P	0,0109718	170
exbD	b3005	517,993	P	0,00108112	142
exo	b2798	244,835	P	0,000603158	67
exuR	b3094	866,984	P	0,000327479	238
exuT	b3093	189,356	P	0,0204441	52
fabA	b0954	1002,52	P	0,00260662	276
fabB	b2323	4420,75	P	0,00094359	1215
fabD	b1092	3935,1	P	0,000402638	1081
fabF	b1095	603,236	P	0,0442012	166
fabG	b1093	5133,83	P	0,000402638	1411
fabH	b1091	2547,28	P	0,000327479	700
fabI	b1288	1940,36	P	0,000327479	533
fabZ	b0180	3701,35	P	0,000327479	1017
fadA	b3845	131,33	A	0,110449	36
fadB	b3846	141,66	P	0,00622665	39
fadD	b1805	235,872	P	0,00108112	65
fadL	b2344	363,573	P	0,00108112	100
fadR	b1187	351,15	P	0,00269283	97
farR	b0730	155,451	P	0,00622665	43
fba	b2925	4429,05	P	0,000327479	1217
fbp	b4232	2640,75	P	0,00049077	726
fdhD	b3895	323,506	P	0,015454	89
fdhE	b3891	832,388	P	0,000327479	229
fdhF	b4079	138,757	A	0,0990615	38
fdnG	b1474	126,603	P	0,0204441	35
fdnH	b1475	178,258	A	0,0698779	49
fdnI	b1476	29,6117	A	0,345472	8
fdoG	b3894	5441,48	P	0,000327479	1495
fdoH	b3893	4040,3	P	0,000327479	1110
fdoI	b3892	4200,31	P	0,000327479	1154
fdrA	b0518	160,587	P	0,0304463	44
fdx	b2525	1442,94	P	0,00049077	397
feaB	b1385	149,254	A	0,197123	41
feaR	b1384	9,53691	A	0,769849	3
fecA	b4291	1545,45	P	0,00094359	425
fecB	b4290	485,764	P	0,00381521	133
fecC	b4289	379,389	P	0,0304463	104
fecD	b4288	244,848	P	0,00175518	67
fecE	b4287	407,643	P	0,00459071	112
fecI	b4293	179,308	P	0,0320196	49
fecR	b4292	123,205	A	0,181343	34
feoA	b3408	533,826	P	0,00225703	147
feoB	b3409	93,884	M	0,0625767	26
fepA	b0584	183,983	P	0,00782678	51
fepB	b0592	53,6841	A	0,388782	15
fepC	b0588	74,6111	A	0,165268	21
fepD	b0590	15,4345	A	0,745101	4
fepE	b0587	91,8275	A	0,0864242	25
fepG	b0589	15,8772	A	0,537511	4
fes	b0585	119,484	P	0,0234132	33
ffh	b2610	1422,3	P	0,000327479	391
ffs	b0455	1286,18	P	0,0234132	353
fhiA	b0229	23,2437	A	0,71497	6
fhlA	b2731	216,786	P	0,0304463	60
fhuA	b0150	202,307	P	0,000892689	56
fhuB	b0153	130,253	P	0,00157146	36
fhuC	b0151	312,716	P	0,00130539	86
fhuD	b0152	77,7755	P	0,0239949	21
fhuE	b1102	98,3118	P	0,0129214	27
fhuF	b4367	272,166	P	0,00782678	75
fic	b3361	64,2492	P	0,00928336	18
fimA	b4314	3326,55	P	0,00049077	914
fimB	b4312	166,395	P	0,00269283	46
fimC	b4316	209,359	P	0,00130539	58
fimD	b4317	122,725	A	0,0778177	34
fimE	b4313	77,9267	A	0,0698779	21
fimF	b4318	182,193	P	0,000402638	50
fimG	b4319	211,587	P	0,0391461	58
fimH	b4320	160,658	P	0,0044925	44
fimI	b4315	511,645	P	0,000327479	141
fimZ	b0535	0,977762	A	0,937423	0
fis	b3261	2132,55	P	0,000603158	586
fixA	b0041	44,3125	A	0,345472	12
fixB	b0042	140,382	P	0,0072983	39
fixC	b0043	86,7859	M	0,0625767	24
fixX	b0044	39,8239	A	0,522646	11
fklB	b4207	1906,92	P	0,000402638	524
fkpA	b3347	1643,51	P	0,000327479	452
fldA	b0684	1772,87	P	0,00116472	487
fldB	b2895	741,793	P	0,000892689	204
flgA	b1072	2443,26	P	0,000327479	671
flgB	b1073	5280,97	P	0,000327479	1451
flgC	b1074	8045,6	P	0,000327479	2211
flgD	b1075	9052,89	P	0,000327479	2488
flgE	b1076	9407,05	P	0,000327479	2585
flgF	b1077	6662,85	P	0,000327479	1831
flgG	b1078	6679,31	P	0,000327479	1836
flgH	b1079	2625,94	P	0,000327479	722
flgI	b1080	1457,9	P	0,000603158	401
flgJ	b1081	1035,91	P	0,000402638	285
flgK	b1082	5746,4	P	0,000327479	1579
flgL	b1083	2932,48	P	0,000327479	806
flgM	b1071	6475,73	P	0,00049077	1780
flgN	b1070	5679,74	P	0,000327479	1561
flhA	b1879	369,717	P	0,0320196	102
flhB	b1880	813,029	P	0,00175518	223
flhC	b1891	1392,75	P	0,000493549	383
flhD	b1892	1382,11	P	0,000761638	380
flhE	b1878	528,933	P	0,00143241	145
fliA	b1922	7633,05	P	0,000327479	2098
fliC	b1923	12184,8	P	0,00049077	3349
fliD	b1924	9039,72	P	0,000327479	2484
fliE	b1937	771,073	P	0,0133783	212
fliF	b1938	1820,18	P	0,000327479	500
fliG	b1939	2651,39	P	0,000761638	729
fliH	b1940	2159,78	P	0,000327479	594
fliI	b1941	1400,66	P	0,00157146	385
fliJ	b1942	2935,22	P	0,00148832	807
fliK	b1943	2816	P	0,000603158	774
fliL	b1944	3640,2	P	0,000402638	1000
fliM	b1945	3146,53	P	0,00049077	865
fliN	b1946	2726,07	P	0,000327479	749
fliO	b1947	2507,42	P	0,000327479	689
fliP	b1948	1038,22	P	0,000603158	285
fliQ	b1949	857,71	P	0,000327479	236
fliR	b1950	246,864	P	0,00188612	68
fliS	b1925	4953,4	P	0,000327479	1361
fliT	b1926	3707,48	P	0,000327479	1019
fliY	b1920	2712,48	P	0,00049077	745
fliZ	b1921	6630,78	P	0,000327479	1822
flu	b2000	667,343	P	0,000327479	183
flxA	b1566	2410,03	P	0,000327479	662
fmt	b3288	2078,03	P	0,000327479	571
fnr	b1334	88,6501	A	0,150145	24
focA	b0904	1242,71	P	0,00049077	342
