Merge ID	Entry name (Uniprot)	TableS3_K12_ProteomeV13_BasicProteome Duplicates
P0AD19	YOHK_ECOLI	B
P0AD59	IVY_ECOLI	G
P0ADD2	YJJB_ECOLI	B
P0ADD5	YJJP_ECOLI	B
P0ADI4	ENTB_ECOLI	F1
P0ADR0	YQAA_ECOLI	B
P0ADR2	YGDD_ECOLI	B
P0ADU5	YGIW_ECOLI	G
P0AE74	CITT_ECOLI	B
P0AE95	CSGE_ECOLI	G
P0AEA2	CSGG_ECOLI	I
P0AEA5	CYOE_ECOLI	B
P0AEK7	FDNI_ECOLI	B
P0AES9	HDEA_ECOLI	G
P0AET2	HDEB_ECOLI	G
P0AF56	YJCO_ECOLI	G
P0AF80	YJFL_ECOLI	B
P0AF82	YJFN_ECOLI	G
P0AFI5	PBP7_ECOLI	G
P0AFL9	PQIA_ECOLI	B
P0AFQ5	RUTC_ECOLI	G
P0AFU0	YEJB_ECOLI	B
P0AFV0	YIBH_ECOLI	B
P0AFV2	YHID_ECOLI	B
P0AG78	SUBI_ECOLI	G
P0AGC0	UHPT_ECOLI	B
P0AGF6	THD2_ECOLI	B
P0AGM0	YHHT_ECOLI	B
P0AGM7	URAA_ECOLI	B
P0AGM9	XANP_ECOLI	B
P10423	IAP_ECOLI	F2
P12996	BIOB_ECOLI	B
P13033	GLPB_ECOLI	F1
P16430	HYCD_ECOLI	B
P16431	HYCE_ECOLI	B
P16677	PHNC_ECOLI	F1
P16678	PHNK_ECOLI	F1
P16679	PHNL_ECOLI	F1
P16682	PHND_ECOLI	G
P17334	PTQC_ECOLI	B
P18200	PGPA_ECOLI	B
P18390	YJJA_ECOLI	G
P18956	GGT_ECOLI	G
P21503	YCAD_ECOLI	B
P23256	MALY_ECOLI	B
P23524	GLXK2_ECOLI	B
P23898	NLPC_ECOLI	I
P25527	GABP_ECOLI	B
P25718	AMY1_ECOLI	G
P25743	YCHE_ECOLI	B
P26458	APPB_ECOLI	B
P27297	BAX_ECOLI	G
P27844	RARD_ECOLI	B
P28696	YAAI_ECOLI	G
P30136	THIC_ECOLI	B
P30143	YAAJ_ECOLI	B
P31125	EAMA_ECOLI	B
P31133	POTF_ECOLI	G
P31435	YICJ_ECOLI	B
P31440	YICO_ECOLI	B
P31462	MDTL_ECOLI	B
P31474	HSRA_ECOLI	B
P31553	CAIT_ECOLI	B
P31679	YAAU_ECOLI	B
P32108	YIBI_ECOLI	B
P32125	MOBB_ECOLI	B
P32670	PTFX2_ECOLI	F1
P32676	PTFB3_ECOLI	F1
P32687	YJBF_ECOLI	I
P32689	YJBH_ECOLI	E
P32700	YJCB_ECOLI	B
P32712	NRFG_ECOLI	I
P32714	MDTP_ECOLI	I
P32715	MDTO_ECOLI	B
P33024	PSUT_ECOLI	B
P33219	YEBF_ECOLI	X
P33554	PPDA_ECOLI	G
P33590	NIKA_ECOLI	G
P33591	NIKB_ECOLI	B
P33593	NIKD_ECOLI	F1
P33594	NIKE_ECOLI	F1
P33934	NAPH_ECOLI	B
P34749	HOFQ_ECOLI	H
P36647	PPDD_ECOLI	B
P36837	DTPB_ECOLI	B
P36881	YADI_ECOLI	F1
P37146	RIR4_ECOLI	B
P37180	HYBB_ECOLI	B
P37387	XYLF_ECOLI	G
P37619	YHHQ_ECOLI	B
P37631	YHIN_ECOLI	B
P37660	YHJV_ECOLI	B
P37661	EPTB_ECOLI	B
P37758	NARU_ECOLI	B
P38054	CUSA_ECOLI	B
P38055	YDJE_ECOLI	B
P38683	TORT_ECOLI	G
P39165	YCHO_ECOLI	G
P39276	YJDL_ECOLI	B
P39301	ULAA_ECOLI	B
P39314	YTFF_ECOLI	B
P39405	FHUF_ECOLI	F1
P39453	TORS_ECOLI	B
P40874	MTOX_ECOLI	B
P42588	PAT_ECOLI	G
P42590	YGJI_ECOLI	B
P42592	YGJK_ECOLI	G
P42598	YGJQ_ECOLI	B
P42603	YGJV_ECOLI	B
P42604	UXAA_ECOLI	B
P42616	YQJC_ECOLI	G
P42640	YHBX_ECOLI	B
P42911	PTPD_ECOLI	B
P43531	YNFM_ECOLI	B
P43667	YGAH_ECOLI	B
P45463	TTDR_ECOLI	B
P45468	YRAQ_ECOLI	B
P45751	YRFB_ECOLI	B
P45753	YRFD_ECOLI	G
P45767	YHDX_ECOLI	B
P45768	YHDY_ECOLI	B
P46126	YFIM_ECOLI	E
P46136	YDDG_ECOLI	B
P46139	YFIN_ECOLI	B
P46141	YGBE_ECOLI	B
P46142	YGGM_ECOLI	G
P46478	AAEX_ECOLI	B
P50466	AER_ECOLI	B
P52005	TORY_ECOLI	B
P52107	CSGC_ECOLI	G
P52599	EMRK_ECOLI	G
P52636	YCCM_ECOLI	B
P60061	ADIC_ECOLI	B
P60778	TSGA_ECOLI	B
P62395	SECM_ECOLI	G
P64426	YDDW_ECOLI	I
P64439	YBJM_ECOLI	B
P64548	YFIR_ECOLI	G
P64550	YGAW_ECOLI	B
P65298	YQHH_ECOLI	I
P67153	YQFA_ECOLI	B
P67444	XANQ_ECOLI	B
P67601	YOBD_ECOLI	B
P68183	MALG_ECOLI	B
P68187	MALK_ECOLI	F1
P68644	FIXC_ECOLI	F1
P69739	MBHS_ECOLI	B
P69791	PTQA_ECOLI	F1
P69902	FCTA_ECOLI	B
P75733	YBFM_ECOLI	H
P75734	YBFN_ECOLI	I
P75742	DTPD_ECOLI	B
P75799	GSID_ECOLI	B
P75804	YLII_ECOLI	G
P75806	YBJG_ECOLI	B
P75839	YCAP_ECOLI	B
P75916	YCDZ_ECOLI	B
P75920	OPGC_ECOLI	B
P75948	THIK_ECOLI	B
P76001	YCGJ_ECOLI	G
P76010	YCGR_ECOLI	F1
P76135	YDEO_ECOLI	B
P76169	YNFA_ECOLI	B
P76198	YDIN_ECOLI	B
P76214	VES_ECOLI	B
P76221	YDJZ_ECOLI	B
P76236	YEAI_ECOLI	B
P76249	LEUE_ECOLI	B
P76261	ADRB_ECOLI	B
P76264	YEBN_ECOLI	B
P76278	YEBZ_ECOLI	B
P76341	HIUH_ECOLI	G
P76343	YEDZ_ECOLI	B
P76344	YODA_ECOLI	G
P76393	YEGI_ECOLI	B
P76421	YEGX_ECOLI	B
P76462	YFAP_ECOLI	G
P76463	YFAQ_ECOLI	G
P76466	YFAT_ECOLI	G
P76518	YFDE_ECOLI	B
P76552	EUTH_ECOLI	B
P76559	YPFG_ECOLI	G
P76577	PBPC_ECOLI	B
P77214	CUSF_ECOLI	G
P77223	RNFB_ECOLI	F1
P77239	CUSB_ECOLI	F2
P77269	YPHF_ECOLI	G
P77280	YDJJ_ECOLI	B
P77328	YBBY_ECOLI	B
P77360	YPHC_ECOLI	B
P77538	YFHR_ECOLI	B
P77539	YDJL_ECOLI	B
P77579	PTFC1_ECOLI	B
P78067	YNJE_ECOLI	G
Q46755	SIRB2_ECOLI	B
Q46808	YQEB_ECOLI	B
Q46821	YGFU_ECOLI	B
Q46858	YQHG_ECOLI	G
Q46916	GUDP_ECOLI	B
Q47142	HCAT_ECOLI	B
Q47151	YAFL_ECOLI	G
Q47702	YFEK_ECOLI	G
A5A616	YNEM_ECOLI	B
A5A619	YOJO_ECOLI	B
A5A628	YJBT_ECOLI	B
A5A630	YTCA_ECOLI	B
C1P5Z9	YMIB_ECOLI	B
C1P614	YQFG_ECOLI	B
O32528	YPDI_ECOLI	I
P02921	MELB_ECOLI	B
P03825	PIOO_ECOLI	B
P03841	MALM_ECOLI	G
P05706	PTHA_ECOLI	F1
P06609	BTUC_ECOLI	B
P08194	GLPT_ECOLI	B
P08369	CRED_ECOLI	B
P08372	PPDC_ECOLI	B
P0A710	ISPZ_ECOLI	B
P0A712	KDGT_ECOLI	B
P0A7C8	PSIE_ECOLI	B
P0A7G6	RECA_ECOLI	F1
P0A8H3	ZUPT_ECOLI	B
P0A915	OMPW_ECOLI	H
P0AA57	YOBA_ECOLI	G
P0AA70	YEDA_ECOLI	B
P0AA76	DGOT_ECOLI	B
P0AA78	EXUT_ECOLI	B
P0AA80	GARP_ECOLI	B
P0AAA5	SFA_ECOLI	B
P0AAA7	WZXE_ECOLI	B
P0AAA9	ZRAP_ECOLI	G
P0AAD4	TYRP_ECOLI	B
P0AAF1	POTE_ECOLI	B
P0AAJ3	FDNH_ECOLI	B
P0AAR5	YBAN_ECOLI	B
P0AAR8	YBAV_ECOLI	G
P0AAU2	YBFA_ECOLI	B
P0AAV6	YBGS_ECOLI	G
P0AAW5	YBHQ_ECOLI	B
P0AAX3	YBIJ_ECOLI	G
P0AB31	YCEK_ECOLI	I
P0AB35	YCFJ_ECOLI	B
P0AB49	YCHH_ECOLI	B
P0AB93	ARSB_ECOLI	B
P0ABC0	ATPZ_ECOLI	B
P0ABE5	C561_ECOLI	B
P0ABL1	NRFB_ECOLI	G
P0ABL8	CCMB_ECOLI	B
P0ABN9	DCUB_ECOLI	B
P0ABP3	DCUC_ECOLI	B
P0ABW5	SFMA_ECOLI	G
P0AC94	GNTP_ECOLI	B
P0AC96	GNTU_ECOLI	B
P0ACA1	YIBF_ECOLI	B
P0ACW4	YDCA_ECOLI	G
P0ACY6	YEAL_ECOLI	B
P0AD47	YPHA_ECOLI	B
P0ADA7	OSMB_ECOLI	I
P0ADI9	YHHN_ECOLI	B
P0ADJ5	YHJT_ECOLI	B
P0ADJ8	YIAA_ECOLI	B
P0ADK4	YIAW_ECOLI	B
P0ADL6	YIDG_ECOLI	B
P0ADM0	YIDH_ECOLI	B
P0ADM6	YIDX_ECOLI	I
P0ADP5	YIGM_ECOLI	B
P0AE16	AMPG_ECOLI	B
P0AE24	ARAE_ECOLI	B
P0AE42	YQAE_ECOLI	B
P0AE98	CSGF_ECOLI	G
P0AEB0	CYSW_ECOLI	B
P0AET5	HDED_ECOLI	B
P0AEW1	HYFE_ECOLI	B
P0AEX7	LIVH_ECOLI	B
P0AF32	NARV_ECOLI	B
P0AF45	YJBE_ECOLI	G
P0AF86	YJFY_ECOLI	G
P0AFA9	NIKC_ECOLI	B
P0AFL1	POTI_ECOLI	B
P0AFM4	PSIF_ECOLI	G
P0AFP0	YADS_ECOLI	B
P0AFR7	YCJO_ECOLI	B
P0AFR9	YDCV_ECOLI	B
P0AFU2	YFBS_ECOLI	B
P0AGC5	MLTF_ECOLI	F3
P0AGF4	XYLE_ECOLI	B
P0AGI4	XYLH_ECOLI	B
P0AGM2	YICG_ECOLI	B
P0CE44	UIDB_ECOLI	B
P10903	NARK_ECOLI	B
P11286	YIAB_ECOLI	B
P11667	ARGO_ECOLI	B
P16256	PANF_ECOLI	B
P16429	HYCC_ECOLI	B
P16683	PHNE_ECOLI	B
P16692	PHNP_ECOLI	G
P16701	CYST_ECOLI	B
P17994	YFAA_ECOLI	G
P19642	PTOCB_ECOLI	B
P22729	LIVM_ECOLI	B
P23173	TNAB_ECOLI	B
P23482	HYFB_ECOLI	B
P23877	FEPG_ECOLI	B
P23910	ARAJ_ECOLI	B
P24077	ENTS_ECOLI	B
P24180	ACRE_ECOLI	E
P24181	ACRF_ECOLI	B
P24183	FDNG_ECOLI	F2
P24241	PTIBC_ECOLI	B
P24244	YCCB_ECOLI	B
P25549	ASLA_ECOLI	G
P25747	YEIB_ECOLI	B
P26218	BGLH_ECOLI	H
P26266	FEPE_ECOLI	B
P27254	ARGK_ECOLI	F1
P27835	WZYE_ECOLI	B
P27842	YIGF_ECOLI	B
P28303	DINF_ECOLI	B
P28307	CSGA_ECOLI	F4
P30015	LHR_ECOLI	B
P30855	EVGS_ECOLI	B
P31058	YADC_ECOLI	G
P31121	MARB_ECOLI	G
P31122	SOTB_ECOLI	B
P31126	YDEE_ECOLI	B
P31130	YDEI_ECOLI	G
P31131	YDEJ_ECOLI	B
P31135	POTH_ECOLI	B
P31436	SETC_ECOLI	B
P31441	ADEC_ECOLI	B
P31442	EMRD_ECOLI	B
P31446	YIDI_ECOLI	B
P31448	YIDK_ECOLI	B
P31459	DGOK_ECOLI	B
P31468	CBRB_ECOLI	B
P31471	YIEL_ECOLI	G
P31549	THIP_ECOLI	B
P31675	SETA_ECOLI	B
P31826	YDDA_ECOLI	B
P32128	YIHF_ECOLI	B
P32136	YIHO_ECOLI	B
P32137	YIHP_ECOLI	B
P32151	YIIG_ECOLI	E
P32154	PTFLB_ECOLI	B
P32155	PTFA_ECOLI	F1
P32167	YIIX_ECOLI	G
P32668	YIJF_ECOLI	G
P32672	PTFC2_ECOLI	B
P32688	YJBG_ECOLI	G
P32701	YJCC_ECOLI	B
P32709	NRFD_ECOLI	B
P32710	NRFE_ECOLI	B
P32711	NRFF_ECOLI	B
P32716	MDTN_ECOLI	B
P32717	YJCS_ECOLI	G
P32720	ALSC_ECOLI	B
P32721	ALSA_ECOLI	F1
P33013	DACD_ECOLI	F2
P33021	NUPX_ECOLI	B
P33025	PSUG_ECOLI	B
P33026	SETB_ECOLI	B
P33128	ECPD_ECOLI	G
P33129	HTRE_ECOLI	H
P33231	LLDP_ECOLI	B
P33354	YEHR_ECOLI	I
P33359	YEHW_ECOLI	B
P33361	YEHY_ECOLI	B
P33369	MDTQ_ECOLI	I
P33634	YFIE_ECOLI	B
P36554	MDTD_ECOLI	B
P36560	ASR_ECOLI	G
P36646	HOFC_ECOLI	B
P36682	YACH_ECOLI	G
P37016	YADK_ECOLI	G
P37017	YADL_ECOLI	G
P37018	YADM_ECOLI	G
P37050	YADN_ECOLI	G
P37056	YAEF_ECOLI	I
P37197	YHJA_ECOLI	E
P37305	HOKA_ECOLI	B
P37443	YCAI_ECOLI	B
P37614	YHHL_ECOLI	B
P37621	YHHS_ECOLI	B
P37630	YHIM_ECOLI	B
P37643	YHJE_ECOLI	B
P37653	BCSA_ECOLI	B
P37657	YHJS_ECOLI	B
P37662	YHJX_ECOLI	B
P37663	YHJY_ECOLI	H
P37669	YIAH_ECOLI	B
P37674	YIAM_ECOLI	B
P37675	YIAN_ECOLI	B
P37676	YIAO_ECOLI	G
P37681	YIAT_ECOLI	F3
P37682	YIAU_ECOLI	B
P37683	YIAV_ECOLI	B
P37772	YJFF_ECOLI	B
P37909	YBGD_ECOLI	G
P38052	SFMF_ECOLI	G
P38101	EAMB_ECOLI	B
P38105	RSPB_ECOLI	B
P39196	LPLT_ECOLI	B
P39263	YFCC_ECOLI	B
P39265	ALSB_ECOLI	G
P39277	YJEH_ECOLI	B
P39282	YJEM_ECOLI	B
P39295	YJFM_ECOLI	B
P39328	YTFT_ECOLI	B
P39338	YJGN_ECOLI	B
P39344	IDNT_ECOLI	B
P39346	IDND_ECOLI	B
P39414	TTDT_ECOLI	B
P39832	ZNUB_ECOLI	B
P40876	YCBF_ECOLI	G
P41036	NANT_ECOLI	B
P42615	YQJB_ECOLI	B
P42619	YQJF_ECOLI	B
P42630	TDCG_ECOLI	B
P42905	PTPC2_ECOLI	B
P42910	PTPC1_ECOLI	B
P42912	AGAI_ECOLI	B
P42913	YRAH_ECOLI	G
P42914	YRAI_ECOLI	G
P42915	YRAJ_ECOLI	H
P43319	YRAK_ECOLI	G
P43340	YCAK_ECOLI	B
P45394	YRBG_ECOLI	B
P45425	NANK_ECOLI	B
P45428	DCUD_ECOLI	B
P45508	YFAL_ECOLI	H
P45539	FRLA_ECOLI	B
P45546	YHFT_ECOLI	B
P45570	YBCI_ECOLI	B
P45750	YRFA_ECOLI	B
P45804	YHGE_ECOLI	B
P46119	YBJC_ECOLI	B
P46125	YEDI_ECOLI	B
P46133	ABGT_ECOLI	B
P46144	YEDJ_ECOLI	B
P46481	AAEB_ECOLI	B
P46923	TORZ_ECOLI	G
P52600	EMRY_ECOLI	B
P54745	HRSA_ECOLI	B
P55140	YGCG_ECOLI	B
P55914	YJJZ_ECOLI	B
P56100	YBGT_ECOLI	B
P56579	PTHC_ECOLI	B
P56580	PTHB_ECOLI	B
P56976	BLR_ECOLI	B
P60844	AQPZ_ECOLI	B
P60872	YIDE_ECOLI	B
P63235	GADC_ECOLI	B
P64442	YCEO_ECOLI	B
P64453	YDCX_ECOLI	B
P64459	YNCJ_ECOLI	G
P64471	YDHI_ECOLI	B
P64512	MGRB_ECOLI	G
P64536	YEIS_ECOLI	B
P64592	YHAI_ECOLI	B
P64614	YHCN_ECOLI	G
P64619	YHDU_ECOLI	B
P64622	YHDV_ECOLI	I
P64627	YHFL_ECOLI	I
P64634	YRFC_ECOLI	B
P64646	YJDO_ECOLI	B
P65290	YFGH_ECOLI	I
P67127	YGDQ_ECOLI	B
P67143	YHGN_ECOLI	B
P67729	YFEO_ECOLI	B
P69210	MDTI_ECOLI	B
P69212	MDTJ_ECOLI	B
P69367	MDTH_ECOLI	B
P69432	PGAD_ECOLI	B
P69681	AMTB_ECOLI	B
P69795	PTQB_ECOLI	F1
P69808	PTFB1_ECOLI	G
P69816	PTFB2_ECOLI	F1
P69820	ULAC_ECOLI	F1
P69824	PTMA_ECOLI	F1
P69826	PTMCB_ECOLI	B
P69937	SUGE_ECOLI	B
P75620	YAAY_ECOLI	F1
P75712	ALLP_ECOLI	B
P75715	SFMH_ECOLI	G
P75737	YBFP_ECOLI	I
P75747	ABRB_ECOLI	B
P75748	YBGO_ECOLI	G
P75750	YBGQ_ECOLI	H
P75757	ZITB_ECOLI	B
P75769	YBHM_ECOLI	B
P75770	YBHN_ECOLI	B
P75788	YBIR_ECOLI	B
P75810	YBJJ_ECOLI	B
P75835	YCAM_ECOLI	B
P75851	SSUC_ECOLI	B
P75855	YCBQ_ECOLI	G
P75856	YCBR_ECOLI	G
P75857	YCBS_ECOLI	H
P75858	YCBT_ECOLI	G
P75859	YCBU_ECOLI	G
P75860	YCBV_ECOLI	G
P75892	RUTG_ECOLI	B
P75917	YMDA_ECOLI	G
P75955	YCFT_ECOLI	B
P75961	YCFZ_ECOLI	B
P75962	YMFA_ECOLI	B
P76011	YMGE_ECOLI	B
P76017	YCGV_ECOLI	H
P76037	PUUP_ECOLI	B
P76042	YCJN_ECOLI	I
P76043	YCJQ_ECOLI	B
P76045	OMPG_ECOLI	H
P76097	YDCJ_ECOLI	B
P76103	YDCO_ECOLI	B
P76108	YDCS_ECOLI	G
P76111	YDCZ_ECOLI	B
P76118	YNCH_ECOLI	B
P76128	DDPA_ECOLI	G
P76136	YNEN_ECOLI	B
P76142	LSRB_ECOLI	G
P76146	YNEE_ECOLI	B
P76172	YNFD_ECOLI	G
P76175	CLCB_ECOLI	B
P76180	YDGK_ECOLI	B
P76186	YDHK_ECOLI	B
P76190	YDHO_ECOLI	G
P76194	SUFE_ECOLI	F1
P76219	YDJX_ECOLI	B
P76220	YDJY_ECOLI	E
P76224	YNJC_ECOLI	B
P76226	YNJF_ECOLI	B
P76227	YNJH_ECOLI	G
P76228	YNJI_ECOLI	B
P76230	YDJK_ECOLI	B
P76242	YEAN_ECOLI	B
P76296	YECT_ECOLI	G
P76308	YECR_ECOLI	I
P76334	YEDR_ECOLI	B
P76342	YEDY_ECOLI	F2
P76347	YEEJ_ECOLI	H
P76352	YEEO_ECOLI	B
P76417	YEGT_ECOLI	B
P76423	THIM_ECOLI	B
P76460	ATOE_ECOLI	B
P76464	YFAS_ECOLI	G
P76470	RHMT_ECOLI	B
P76474	ARNF_ECOLI	B
P76498	YFCO_ECOLI	G
P76499	YFCP_ECOLI	G
P76500	YFCQ_ECOLI	G
P76501	YFCR_ECOLI	G
P76520	YFDX_ECOLI	G
P76521	YFDY_ECOLI	B
P76562	YPFI_ECOLI	B
P76573	YFGI_ECOLI	G
P76655	YQIG_ECOLI	H
P76657	YQIJ_ECOLI	B
P76773	OMPL_ECOLI	H
P77031	YQCE_ECOLI	B
P77156	YDCU_ECOLI	B
P77172	YFGF_ECOLI	B
P77196	YFCU_ECOLI	G
P77211	CUSC_ECOLI	I
P77231	CITG_ECOLI	B
P77249	SFMC_ECOLI	G
P77256	YDJG_ECOLI	G
P77268	DDPD_ECOLI	F1
P77288	YFCV_ECOLI	G
P77294	YDER_ECOLI	G
P77306	YQIK_ECOLI	B
P77308	DDPB_ECOLI	B
P77315	YPHD_ECOLI	B
P77316	YBDR_ECOLI	B
P77329	HYFG_ECOLI	B
P77339	YAFT_ECOLI	I
P77375	YDHX_ECOLI	G
P77389	YDHP_ECOLI	B
P77400	YBAT_ECOLI	B
P77409	PHSC_ECOLI	B
P77416	HYFD_ECOLI	B
P77437	HYFF_ECOLI	B
P77463	DDPC_ECOLI	B
P77468	SFMD_ECOLI	H
P77519	YDDL_ECOLI	G
P77588	YDEQ_ECOLI	G
P77599	YFCS_ECOLI	G
P77610	ANSP_ECOLI	B
P77622	DDPF_ECOLI	F1
P77716	YCJP_ECOLI	B
P77733	FOCB_ECOLI	B
P77789	YDES_ECOLI	F4
P77795	YDCT_ECOLI	F1
Q06067	ATOS_ECOLI	B
Q2EES1	YNID_ECOLI	B
Q2EES6	YOHO_ECOLI	B
Q2EET2	YPFN_ECOLI	B
Q2M5U1	YTJA_ECOLI	B
Q2M7M3	YSAB_ECOLI	I
Q2M7X4	YICS_ECOLI	G
Q46831	YQGA_ECOLI	B
Q46834	YGHF_ECOLI	G
Q46863	YGIS_ECOLI	G
Q46867	YGIZ_ECOLI	B
Q46888	YGBJ_ECOLI	B
Q46892	YGBN_ECOLI	B
Q46909	YGCS_ECOLI	B
Q47377	ARNE_ECOLI	B
Q47534	YAIO_ECOLI	G
Q47706	UIDC_ECOLI	H
Q6BEX0	YTFR_ECOLI	F1
Q6BF25	LDRD_ECOLI	B
Q6BF87	LDRB_ECOLI	B
P77667	SUFA_ECOLI	F1
P27242	WAAU_ECOLI	F1
C1P611	SHOB_ECOLI	B
C1P603	YOAJ_ECOLI	B
P06993	MALT_ECOLI	F1
P52696	YBHD_ECOLI	B
P15078	CSTA_ECOLI	B
P0AEC8	DCUS_ECOLI	B
P11551	FUCP_ECOLI	B
P77858	HYFC_ECOLI	B
P77672	LSRC_ECOLI	B
P0AFS1	LSRD_ECOLI	B
P0AF01	MODB_ECOLI	B
P0AFA5	NFRB_ECOLI	B
P0AFF4	NUPG_ECOLI	B
P76425	RCNA_ECOLI	B
P45562	XAPB_ECOLI	B
P75763	YBHI_ECOLI	B
P76197	YDIM_ECOLI	B
P0ABD1	YEAV_ECOLI	B
P27843	YIGG_ECOLI	B
P39284	YJEO_ECOLI	B
P39838	YOJN_ECOLI	B
P0AFM9	PSPB_ECOLI	B
P0ABC3	HFLC_ECOLI	B
A5A605	YKFM_ECOLI	B
A5A624	DINQ_ECOLI	B
P77494	HOKB_ECOLI	B
C1P616	IBSD_ECOLI	B
P0AAW9	YBHT_ECOLI	B
P76482	YFBL_ECOLI	B
A5A615	YNCL_ECOLI	B
A5A618	YNHF_ECOLI	B
P76239	YOAI_ECOLI	B
C1P602	YOAK_ECOLI	B
C1P609	YOHP_ECOLI	B
C1P610	YPDK_ECOLI	B
P77381	DJLB_ECOLI	B
P77359	DJLC_ECOLI	B
P75711	YBBV_ECOLI	B
P45848	YCIQ_ECOLI	B
A5A617	YDGU_ECOLI	B
Q46901	YGCL_ECOLI	B
P45545	YHFS_ECOLI	B
P75800	YLIE_ECOLI	B
P75786	YLIL_ECOLI	B
A5A612	YMGJ_ECOLI	B
Q46942	YQEI_ECOLI	B
P76481	YFBK_ECOLI	E
P0AAG3	GLTL_ECOLI	F1
P36937	KDPF_ECOLI	F1
P77257	LSRA_ECOLI	F1
P09833	MODC_ECOLI	F1
P31060	MODF_ECOLI	F1
P0AFV8	PSPD_ECOLI	F1
C1P605	AZUC_ECOLI	F1
P76639	YGEH_ECOLI	F1
P0ACG4	HOKC_ECOLI	G
P28721	GLTF_ECOLI	G
Q46943	YQEJ_ECOLI	B
P0AEE5	DGAL_ECOLI	G
P0AEG4	DSBA_ECOLI	G
P37329	MODA_ECOLI	G
P33342	YEHC_ECOLI	G
P28722	YHCA_ECOLI	G
P37325	YBCH_ECOLI	G
P76394	YEGJ_ECOLI	G
P33340	YEHA_ECOLI	G
P33343	YEHD_ECOLI	G
P33344	YEHE_ECOLI	G
P77619	YFEW_ECOLI	G
P64534	YOHN_ECOLI	G
P31600	NFRA_ECOLI	H
P06129	BTUB_ECOLI	H
P06996	OMPC_ECOLI	H
P33341	YEHB_ECOLI	H
P33666	YDBA_ECOLI	H
P77286	YDEU_ECOLI	H
P45564	YFEN_ECOLI	H
P0ADB4	ECNA_ECOLI	I
P77296	YBET_ECOLI	I
P77335	HLYE_ECOLI	X
