From	To	To
CP001396	C4ZRI5	MURG_ECOBW
CP001396	C4ZXS1	NADA_ECOBW
CP001396	C4ZS47	NAGZ_ECOBW
CP001396	C4ZSW2	NANT_ECOBW
CP001396	C4ZU48	NAPA_ECOBW
CP001396	C4ZTH0	NRDR_ECOBW
CP001396	C5A0T7	NUDC_ECOBW
CP001396	C4ZY90	RNFA_ECOBW
CP001396	C5A0I5	RPIA_ECOBW
CP001396	C4ZQC6	TORD_ECOBW
CP001396	C4ZZ23	VIAA_ECOBW
CP001396	C5A0Q8	ARGB_ECOBW
CP001396	C4ZZ22	ASNA_ECOBW
CP001396	C4ZWA3	CITX_ECOBW
CP001396	C4ZTJ5	CLPX_ECOBW
CP001396	C4ZQM6	DSRB_ECOBW
CP001396	C5A1E5	FRDD_ECOBW
CP001396	C4ZQW6	GLGS_ECOBW
CP001396	C4ZZ08	GLMU_ECOBW
CP001396	C4ZVX5	GLPG_ECOBW
CP001396	C4ZZ69	HEM3_ECOBW
CP001396	C4ZSA8	HIS1_ECOBW
CP001396	C5A077	KDGT_ECOBW
CP001396	C4ZQ17	LOLA_ECOBW
CP001396	C4ZS05	MDTH_ECOBW
CP001396	C4ZZG9	NUDL_ECOBW
CP001396	C4ZZK6	PURT_ECOBW
CP001396	C4ZX92	RLMN_ECOBW
CP001396	C4ZTY2	RNB_ECOBW
CP001396	C4ZRS5	RNH2_ECOBW
CP001396	C4ZXP1	RPOZ_ECOBW
CP001396	C4ZR77	RS6_ECOBW
CP001396	C4ZRL3	SPED_ECOBW
CP001396	C4ZXF0	SYGA_ECOBW
CP001396	C4ZTM2	YCGN_ECOBW
CP001396	C4ZVU3	ZIPA_ECOBW
CP001396	C4ZZ87	CEDA_ECOBW
CP001396	C5A0R9	COAA_ECOBW
CP001396	C4ZTH7	DXS_ECOBW
CP001396	C5A0R2	FABR_ECOBW
CP001396	C4ZVN2	FADJ_ECOBW
CP001396	C5A063	FDHD_ECOBW
CP001396	C4ZQY1	GCP_ECOBW
CP001396	C4ZX71	HDA_ECOBW
CP001396	C4ZSB3	HIS4_ECOBW
CP001396	C4ZRY9	OPGG_ECOBW
CP001396	C4ZU12	RIHB_ECOBW
CP001396	C4ZYY0	RL34_ECOBW
CP001396	C5A0S6	RL7_ECOBW
CP001396	C4ZUF2	RS11_ECOBW
CP001396	C4ZXK1	SECB_ECOBW
CP001396	C4ZR30	TDCC_ECOBW
CP001396	C4ZTN8	TREA_ECOBW
CP001396	C5A009	UBIE_ECOBW
CP001396	C4ZQ43	YCAR_ECOBW
CP001396	C4ZQ90	YCCT_ECOBW
CP001396	C4ZTU8	YCIC_ECOBW
CP001396	C4ZSY0	AAEX_ECOBW
CP001396	C4ZY85	ADD_ECOBW
CP001396	C4ZPX5	APAH_ECOBW
CP001396	C5A0Q9	ARLY_ECOBW
CP001396	C4ZU39	CCME_ECOBW
CP001396	C4ZY54	CLCB_ECOBW
CP001396	C5A0N1	FETP_ECOBW
CP001396	C4ZT77	GPMB_ECOBW
CP001396	C4ZQW9	HLDE_ECOBW
CP001396	C4ZYH4	IHFA_ECOBW
CP001396	C4ZTU7	ISPZ_ECOBW
CP001396	C4ZQ36	KCY_ECOBW
CP001396	C4ZPX3	KEFC_ECOBW
CP001396	C4ZUK7	KEFG_ECOBW
CP001396	C4ZXN9	LIGB_ECOBW
CP001396	C4ZPV3	LSPA_ECOBW
CP001396	C4ZRZ3	MDTG_ECOBW
CP001396	C4ZVV8	MURR_ECOBW
CP001396	C4ZSW1	NANE_ECOBW
CP001396	C4ZTH3	NUSB_ECOBW
CP001396	C4ZTP5	PTH_ECOBW
CP001396	C4ZSQ8	RBFA_ECOBW
CP001396	C5A069	RHAM_ECOBW
CP001396	C5A075	RHAT_ECOBW
CP001396	C4ZSS4	RL27_ECOBW
CP001396	C4ZUH1	RS19_ECOBW
CP001396	C4ZZJ2	RSMF_ECOBW
CP001396	C4ZQ84	SULA_ECOBW
CP001396	C4ZTF0	YAIE_ECOBW
CP001396	C4ZY19	YBJL_ECOBW
CP001396	C5A1E9	YJEA_ECOBW
CP001396	C4ZV90	ZNTB_ECOBW
CP001396	C4ZTB5	ACDH_ECOBW
CP001396	C4ZZQ5	CYSN_ECOBW
CP001396	C5A0J7	E4PD_ECOBW
CP001396	C4ZRS2	FABZ_ECOBW
CP001396	C4ZUR5	FEOC_ECOBW
CP001396	C4ZPW8	FIXB_ECOBW
CP001396	C4ZRQ9	GLND_ECOBW
CP001396	C4ZTP9	ISPE_ECOBW
CP001396	C5A136	LEXA_ECOBW
CP001396	C4ZSG2	MDTA_ECOBW
CP001396	C4ZSG5	MDTD_ECOBW
CP001396	C4ZR48	MIAA_ECOBW
CP001396	C4ZSU7	MTGA_ECOBW
CP001396	C4ZYA1	PDXH_ECOBW
CP001396	C4ZZI8	PROQ_ECOBW
CP001396	C4ZYC2	PURR_ECOBW
CP001396	C4ZRB7	PYRI_ECOBW
CP001396	C4ZYU4	RECA_ECOBW
CP001396	C4ZSS5	RL21_ECOBW
CP001396	C4ZUG7	RL29_ECOBW
CP001396	C4ZSI8	THIM_ECOBW
CP001396	C4ZUJ8	TUSB_ECOBW
CP001396	C4ZWE6	YBEY_ECOBW
CP001396	C4ZVM4	YFCN_ECOBW
CP001396	C4ZWZ7	YNFC_ECOBW
CP001396	C4ZSK9	YOHO_ECOBW
CP001396	C4ZZY9	AAS_ECOBW
CP001396	C4ZPW4	CAIB_ECOBW
CP001396	C4ZWB3	CRCB_ECOBW
CP001396	C5A1D9	EFP_ECOBW
CP001396	C4ZSI0	GATY_ECOBW
CP001396	C4ZQN7	HCHA_ECOBW
CP001396	C4ZXA3	ISCA_ECOBW
CP001396	C4ZTQ6	KDSA_ECOBW
CP001396	C4ZZY0	LGT_ECOBW
CP001396	C4ZWC8	LPTE_ECOBW
CP001396	C4ZRJ1	LPXC_ECOBW
CP001396	C4ZRI2	MRAY_ECOBW
CP001396	C4ZZN7	MUTS_ECOBW
CP001396	C4ZSW3	NANA_ECOBW
CP001396	C4ZW30	NIKR_ECOBW
CP001396	C4ZVG4	OPGD_ECOBW
CP001396	C4ZTA0	PROA_ECOBW
CP001396	C5A072	RHAB_ECOBW
CP001396	C4ZTX2	RIBA_ECOBW
CP001396	C5A0L8	RUVX_ECOBW
CP001396	C4ZR73	ULAD_ECOBW
CP001396	C4ZZ61	WZYE_ECOBW
CP001396	C4ZTU0	YCIU_ECOBW
CP001396	C4ZTY0	YCIZ_ECOBW
CP001396	C4ZT58	YTJA_ECOBW
CP001396	C4ZSX5	ARGR_ECOBW
CP001396	C4ZU97	ARNA_ECOBW
CP001396	C4ZZA2	ASTD_ECOBW
CP001396	C4ZZ09	ATPE_ECOBW
CP001396	C4ZZ11	ATPG_ECOBW
CP001396	C4ZZ15	ATPL_ECOBW
CP001396	C4ZSM3	CDD_ECOBW
CP001396	C5A1C9	CUTA_ECOBW
CP001396	C4ZXY4	DPS_ECOBW
CP001396	C4ZU09	END4_ECOBW
CP001396	C4ZVY0	GLGC_ECOBW
CP001396	C4ZRS3	LPXA_ECOBW
CP001396	C4ZUE5	MSCL_ECOBW
CP001396	C5A0R6	MURI_ECOBW
CP001396	C4ZWF4	NAGB_ECOBW
CP001396	C4ZS30	PLSX_ECOBW
CP001396	C4ZSQ5	PNP_ECOBW
CP001396	C4ZZU9	QUEF_ECOBW
CP001396	C4ZYJ0	RNC_ECOBW
CP001396	C4ZVQ3	SDHD_ECOBW
CP001396	C4ZQF0	SYD_ECOBW
CP001396	C4ZX73	UPP_ECOBW
CP001396	C5A160	ACTP_ECOBW
CP001396	C4ZYA3	ANMK_ECOBW
CP001396	C4ZZA1	ASTB_ECOBW
CP001396	C5A1D4	CH10_ECOBW
CP001396	C4ZRP8	CLCA_ECOBW
CP001396	C4ZT97	CRL_ECOBW
CP001396	C4ZXN2	DUT_ECOBW
CP001396	C4ZTH9	EX7S_ECOBW
CP001396	C4ZR38	GARL_ECOBW
CP001396	C4ZTQ1	HEM1_ECOBW
CP001396	C4ZSB0	HIS8_ECOBW
CP001396	C4ZYW4	IBPA_ECOBW
CP001396	C4ZR44	KBAZ_ECOBW
CP001396	C4ZRQ2	MTNN_ECOBW
CP001396	C4ZUC5	NUOH_ECOBW
CP001396	C4ZUB9	NUON_ECOBW
CP001396	C4ZYU3	RECX_ECOBW
CP001396	C4ZRV1	RNH_ECOBW
CP001396	C5A133	UBIA_ECOBW
CP001396	C4ZQP1	YEDY_ECOBW
CP001396	C4ZS88	YMGG_ECOBW
CP001396	C4ZYH1	BTUD_ECOBW
CP001396	C5A085	CDH_ECOBW
CP001396	C4ZZ89	CHBG_ECOBW
CP001396	C4ZXM6	COAD_ECOBW
CP001396	C4ZQJ7	DCYD_ECOBW
CP001396	C5A033	ENGB_ECOBW
CP001396	C4ZSR5	GLMM_ECOBW
CP001396	C4ZY45	HCP_ECOBW
CP001396	C5A0I6	ICIA_ECOBW
CP001396	C4ZWB5	LIPA_ECOBW
CP001396	C4ZQ41	LPXK_ECOBW
CP001396	C4ZYT7	LUXS_ECOBW
CP001396	C4ZQ89	MGSA_ECOBW
CP001396	C4ZYY3	OXAA_ECOBW
CP001396	C4ZX98	PEPB_ECOBW
CP001396	C4ZQX6	PLSY_ECOBW
CP001396	C4ZZ48	RHLB_ECOBW
CP001396	C4ZU30	RL25_ECOBW
CP001396	C4ZUG0	RL6_ECOBW
CP001396	C4ZYN5	RNFH_ECOBW
CP001396	C4ZY31	RUMB_ECOBW
CP001396	C4ZXI2	SELA_ECOBW
CP001396	C4ZTV3	TRPA_ECOBW
CP001396	C4ZT75	TRPR_ECOBW
CP001396	C4ZPT3	YAAA_ECOBW
CP001396	C4ZXW7	YBHG_ECOBW
CP001396	C4ZSP5	YHBP_ECOBW
CP001396	C5A054	YIHY_ECOBW
CP001396	C4ZQQ4	COBT_ECOBW
CP001396	C4ZXB6	HCAB_ECOBW
CP001396	C4ZX09	HEM6_ECOBW
CP001396	C4ZXA5	ISCS_ECOBW
CP001396	C4ZZI2	MGRB_ECOBW
CP001396	C4ZS91	MINE_ECOBW
CP001396	C4ZU31	NDPA_ECOBW
CP001396	C4ZTM7	NHAB_ECOBW
CP001396	C4ZYN2	PPNK_ECOBW
CP001396	C4ZX74	PUR5_ECOBW
CP001396	C4ZYM6	RIMM_ECOBW
CP001396	C4ZUB1	RNZ_ECOBW
CP001396	C4ZSQ6	RS15_ECOBW
CP001396	C4ZUF1	RS4_ECOBW
CP001396	C4ZUK3	SLYX_ECOBW
CP001396	C4ZTI0	THII_ECOBW
CP001396	C4ZWT8	UXAB_ECOBW
CP001396	C4ZR08	UXAC_ECOBW
CP001396	C4ZQD2	WRBA_ECOBW
CP001396	C4ZQP2	YEDZ_ECOBW
CP001396	C4ZSU4	YHBJ_ECOBW
CP001396	C4ZW44	YHIQ_ECOBW
CP001396	C4ZWZ4	YNFA_ECOBW
CP001396	C4ZQS4	YQHA_ECOBW
CP001396	C4ZSN9	YRAN_ECOBW
CP001396	C5A0I2	ZAPA_ECOBW
CP001396	C4ZU94	AIS_ECOBW
CP001396	C4ZPX6	APAG_ECOBW
CP001396	C4ZQ34	AROA_ECOBW
CP001396	C4ZUD6	AROE_ECOBW
CP001396	C4ZZ10	ATPB_ECOBW
CP001396	C4ZUR7	BIOH_ECOBW
CP001396	C4ZYW9	DGOD_ECOBW
CP001396	C4ZT45	DNAT_ECOBW
CP001396	C4ZXM7	FPG_ECOBW
CP001396	C4ZZQ2	FTSB_ECOBW
CP001396	C4ZS77	IRAM_ECOBW
CP001396	C4ZX90	ISPG_ECOBW
CP001396	C4ZYJ2	LEPA_ECOBW
CP001396	C4ZYY8	MDTL_ECOBW
CP001396	C4ZSW0	NANK_ECOBW
CP001396	C4ZPX8	PDXA_ECOBW
CP001396	C4ZZP7	PIMT_ECOBW
CP001396	C4ZSW9	RL13_ECOBW
CP001396	C4ZUH0	RL22_ECOBW
CP001396	C4ZUD9	SMG_ECOBW
CP001396	C4ZQJ1	UVRC_ECOBW
CP001396	C4ZRX5	YCDX_ECOBW
CP001396	C4ZVS6	YFEO_ECOBW
CP001396	C4ZRS7	ACCA_ECOBW
CP001396	C4ZRD1	AMPA_ECOBW
CP001396	C5A1D5	CH60_ECOBW
CP001396	C4ZTU1	CLS_ECOBW
CP001396	C4ZXS6	GPMA_ECOBW
CP001396	C4ZZQ0	ISPF_ECOBW
CP001396	C4ZPT0	KHSE_ECOBW
CP001396	C4ZVS8	MNTH_ECOBW
CP001396	C4ZU53	MQO_ECOBW
CP001396	C5A1G1	MUTL_ECOBW
CP001396	C4ZU93	NUDI_ECOBW
CP001396	C4ZRM6	PANC_ECOBW
CP001396	C4ZUQ8	PCKA_ECOBW
CP001396	C4ZWN2	PPTA_ECOBW
CP001396	C4ZXN4	PYRE_ECOBW
CP001396	C4ZR85	RCMNS_ECOBW
CP001396	C4ZUF4	RL36_ECOBW
CP001396	C4ZY93	RNFD_ECOBW
CP001396	C4ZQY2	RS21_ECOBW
CP001396	C5A0T6	RSD_ECOBW
CP001396	C4ZQ04	RSMH_ECOBW
CP001396	C4ZQD6	RUTE_ECOBW
CP001396	C4ZUV3	SELU_ECOBW
CP001396	C4ZRL4	SPEE_ECOBW
CP001396	C4ZQ61	SSUD_ECOBW
CP001396	C4ZX89	SYH_ECOBW
CP001396	C4ZYY6	TNAA_ECOBW
CP001396	C4ZWL5	TOLB_ECOBW
CP001396	C5A0R4	TRMA_ECOBW
CP001396	C4ZYM5	TRMD_ECOBW
CP001396	C4ZYJ8	TRMN6_ECOBW
CP001396	C4ZY73	TUS_ECOBW
CP001396	C4ZTI3	YAJQ_ECOBW
CP001396	C4ZWB8	YBED_ECOBW
CP001396	C4ZV70	YCJF_ECOBW
CP001396	C4ZSP6	YHBQ_ECOBW
CP001396	C4ZSX8	AAEB_ECOBW
CP001396	C4ZUM4	CYSG_ECOBW
CP001396	C4ZRR2	EFTS_ECOBW
CP001396	C4ZWI9	END8_ECOBW
CP001396	C4ZXE2	GHRB_ECOBW
CP001396	C4ZRZ9	MTOX_ECOBW
CP001396	C4ZQ48	MUKF_ECOBW
CP001396	C4ZX93	NDK_ECOBW
CP001396	C5A0T9	NFI_ECOBW
CP001396	C4ZTX6	PYRF_ECOBW
CP001396	C4ZTG2	QUEA_ECOBW
CP001396	C4ZYM7	RS16_ECOBW
CP001396	C4ZZU8	SYDP_ECOBW
CP001396	C4ZZP9	TRUD_ECOBW
CP001396	C5A132	UBIC_ECOBW
CP001396	C4ZT10	UXUA_ECOBW
CP001396	C4ZRZ5	YCEA_ECOBW
CP001396	C4ZTM0	YCGL_ECOBW
CP001396	C4ZSH2	YEGS_ECOBW
CP001396	C4ZT76	YJJX_ECOBW
CP001396	C5A0C3	ARGE_ECOBW
CP001396	C4ZY59	ASR_ECOBW
CP001396	C4ZQC8	CBPA_ECOBW
CP001396	C4ZW75	DCTA_ECOBW
CP001396	C4ZTN4	EMTA_ECOBW
CP001396	C4ZSZ7	FIS_ECOBW
CP001396	C4ZRV8	GMHA_ECOBW
CP001396	C4ZXB4	HCAF_ECOBW
CP001396	C4ZXA1	HSCA_ECOBW
CP001396	C4ZSR1	RIMP_ECOBW
CP001396	C4ZXM9	RL28_ECOBW
CP001396	C4ZUF7	RL30_ECOBW
CP001396	C4ZXX9	RLMF_ECOBW
CP001396	C5A096	RRAA_ECOBW
CP001396	C4ZQE5	RUVA_ECOBW
CP001396	C4ZW19	TUSA_ECOBW
CP001396	C4ZUK0	TUSD_ECOBW
CP001396	C4ZZX9	TYSY_ECOBW
CP001396	C4ZRU6	YAFD_ECOBW
CP001396	C4ZTS5	YCHJ_ECOBW
CP001396	C5A0H0	YGFZ_ECOBW
CP001396	C4ZPY6	ARAB_ECOBW
CP001396	C4ZZQ6	CYSD_ECOBW
CP001396	C5A020	FADB_ECOBW
CP001396	C4ZUE2	FMT_ECOBW
CP001396	C4ZZV7	FUCI_ECOBW
CP001396	C4ZUS9	HEMH_ECOBW
CP001396	C4ZUA4	MENC_ECOBW
CP001396	C4ZQ03	MRAZ_ECOBW
CP001396	C4ZR95	MSRA_ECOBW
CP001396	C4ZYV6	NORW_ECOBW
CP001396	C4ZVL3	PDXB_ECOBW
CP001396	C5A073	RHAS_ECOBW
CP001396	C4ZSR8	RLME_ECOBW
CP001396	C4ZSJ8	SYM_ECOBW
CP001396	C4ZU73	UBIG_ECOBW
CP001396	C4ZR68	ULAR_ECOBW
CP001396	C4ZXF6	XYLA_ECOBW
CP001396	C4ZUL0	YHEU_ECOBW
CP001396	C4ZYI6	ACPS_ECOBW
CP001396	C4ZPY5	ARAA_ECOBW
CP001396	C4ZYF5	AROD_ECOBW
CP001396	C4ZYH3	BTUC_ECOBW
CP001396	C4ZQC7	CBPM_ECOBW
CP001396	C4ZUJ5	EFG_ECOBW
CP001396	C4ZQ80	FABA_ECOBW
CP001396	C4ZVX9	GLGA_ECOBW
CP001396	C4ZRN7	GLUQ_ECOBW
CP001396	C4ZR47	KBAY_ECOBW
CP001396	C4ZZY4	MUTH_ECOBW
CP001396	C4ZS59	NAGK_ECOBW
CP001396	C4ZR55	NSRR_ECOBW
CP001396	C5A0G3	RF2_ECOBW
CP001396	C4ZY24	RIMK_ECOBW
CP001396	C4ZUG8	RL16_ECOBW
CP001396	C4ZUH5	RL3_ECOBW
CP001396	C4ZPU9	RS20_ECOBW
CP001396	C4ZRJ5	YACG_ECOBW
CP001396	C4ZY38	YBJQ_ECOBW
CP001396	C4ZS48	YCFP_ECOBW
CP001396	C4ZQV5	YGIB_ECOBW
CP001396	C4ZTE7	AROL_ECOBW
CP001396	C4ZPW5	CAIA_ECOBW
CP001396	C4ZQQ5	COBS_ECOBW
CP001396	C4ZZQ4	CYSC_ECOBW
CP001396	C4ZZV9	FUCM_ECOBW
CP001396	C4ZVX6	GLPE_ECOBW
CP001396	C4ZS72	HFLD_ECOBW
CP001396	C4ZQ38	IHFB_ECOBW
CP001396	C4ZQ44	KDSB_ECOBW
CP001396	C5A0C6	KDUI_ECOBW
CP001396	C4ZRS4	LPXB_ECOBW
CP001396	C4ZSX4	MDH_ECOBW
CP001396	C4ZY63	MDTJ_ECOBW
CP001396	C4ZT42	OPGB_ECOBW
CP001396	C5A1F4	PSD_ECOBW
CP001396	C5A0U7	PUR9_ECOBW
CP001396	C5A074	RHAR_ECOBW
CP001396	C4ZU89	RHMD_ECOBW
CP001396	C4ZUG5	RL14_ECOBW
CP001396	C4ZUE9	RL17_ECOBW
CP001396	C4ZR79	RS18_ECOBW
CP001396	C4ZUE3	RSMB_ECOBW
CP001396	C4ZZ18	RSMG_ECOBW
CP001396	C4ZYK3	UNG_ECOBW
CP001396	C4ZZE5	YEAL_ECOBW
CP001396	C4ZVI8	YFBV_ECOBW
CP001396	C5A0L7	YQGE_ECOBW
CP001396	C4ZVI3	ABDH_ECOBW
CP001396	C5A0V3	ACEK_ECOBW
CP001396	C4ZYU1	CSRA_ECOBW
CP001396	C5A0T8	DCUP_ECOBW
CP001396	C4ZT65	DEOB_ECOBW
CP001396	C4ZSP0	DIAA_ECOBW
CP001396	C4ZV37	ENTS_ECOBW
CP001396	C4ZTM8	FADR_ECOBW
CP001396	C4ZXS8	GAL1_ECOBW
CP001396	C5A0H7	GCST_ECOBW
CP001396	C4ZZ44	ILVC_ECOBW
CP001396	C4ZPX2	KEFF_ECOBW
CP001396	C4ZS38	KTHY_ECOBW
CP001396	C4ZPZ5	LEUC_ECOBW
CP001396	C4ZWB7	LIPB_ECOBW
CP001396	C4ZUX2	LPXH_ECOBW
CP001396	C4ZY62	MDTI_ECOBW
CP001396	C4ZXJ1	MTLD_ECOBW
CP001396	C4ZR78	PRIB_ECOBW
CP001396	C4ZY92	RNFC_ECOBW
CP001396	C4ZUJ7	RS12_ECOBW
CP001396	C4ZYN7	SSRP_ECOBW
CP001396	C4ZWF6	SYQ_ECOBW
CP001396	C4ZYA0	SYY_ECOBW
CP001396	C4ZS46	THIK_ECOBW
CP001396	C4ZR75	ULAF_ECOBW
CP001396	C4ZZ98	VES_ECOBW
CP001396	C4ZT95	XGPT_ECOBW
CP001396	C4ZRR9	YAET_ECOBW
CP001396	C4ZRH1	YJHX_ECOBW
CP001396	C4ZUT0	AES_ECOBW
CP001396	C4ZU96	ARNC_ECOBW
CP001396	C4ZWA6	CITD_ECOBW
CP001396	C4ZX46	DAPE_ECOBW
CP001396	C4ZT66	DEOD_ECOBW
CP001396	C4ZPW7	FIXA_ECOBW
CP001396	C5A1E6	FRDC_ECOBW
