ID	Thoretical	Experimental
P0A6Z1	34	30
P0A6Z3	41	56
P0A705	61	146
P0A707	12	34
P0A715	23	12
P0A717	18	33
P0A720	15	10
P0A722	12	12
P0A725	18	11
P0A734	7	2
P0A742	8	27
P0A744	11	3
P0A749	27	22
P0A756	13	6
P0A759	16	2
P0A763	9	14
P0A780	11	12
P0A786	22	7
P0A796	21	15
P0A799	23	41
P0A7A2	14	2
P0A7A5	12	14
P0A7A7	54	108
P0A7A9	13	2
P0A7B1	55	36
P0A7B3	15	
P0A7B5	27	6
P0A7B8	9	7
P0A7C2	15	10
P0A7D1	14	25
P0A7D4	27	41
P0A7D7	21	13
P0A7E1	26	21
P0A7E3	14	9
P0A7E5	38	52
P0A7E9	16	10
P0A7F3	12	3
P0A7G2	12	16
P0A7H0	23	
P0A7I0	28	12
P0A7I4	34	19
P0A7I7	13	8
P0A7J3	13	59
P0A7J7	11	19
P0A7K2	7	31
P0A7K6	9	30
P0A7L0	16	57
P0A7L3	10	20
P0A7L8	4	9
P0A7M2	7	11
P0A7M6	4	8
P0A7M9	6	10
P0A7N4	3	6
P0A7N9	4	7
P0A7Q1	4	2
P0A7Q6	1	3
P0A7R1	12	43
P0A7R5	10	29
P0A7R9	9	26
P0A7S3	8	29
P0A7S9	7	21
P0A7T3	6	10
P0A7T7	4	10
P0A7U3	5	8
P0A7U7	4	15
P0A7V0	17	61
P0A7V3	18	85
P0A7V8	14	60
P0A7W1	13	37
P0A7W7	13	35
P0A7X3	10	30
P0A7X6	12	11
P0A7Y0	14	12
P0A7Y8	8	5
P0A7Z0	12	3
P0A7Z4	23	37
P0A805	14	19
P0A812	20	20
P0A814	10	3
P0A817	23	10
P0A821	36	3
P0A823	15	9
P0A825	26	36
P0A830	17	11
P0A832	9	14
P0A836	30	35
P0A843	5	2
P0A850	32	77
P0A855	23	32
P0A858	13	17
P0A862	8	13
P0A867	26	8
P0A870	24	33
P0A877	17	5
P0A879	23	12
P0A887	15	16
P0A894	19	15
P0A8A0	16	5
P0A8A2	15	7
P0A8A4	15	10
P0A8A8	9	8
P0A8B2	11	2
P0A8B5	8	1
P0A8C1	6	4
P0A8C4	6	2
P0A8D3	11	3
P0A8D6	11	10
P0A8D9	9	
P0A8E1	13	12
P0A8E7	11	13
P0A8F0	12	13
P0A8F4	15	17
P0A8F8	45	11
P0A8G0	44	3
P0A8G6	11	11
P0A8H6	13	3
P0A8I1	10	3
P0A8I3	17	9
P0A8I5	11	10
P0A8I8	9	2
P0A8J2	11	4
P0A8J4	5	3
P0A8J8	30	64
P0A8K1	20	36
P0A8K8	13	4
P0A8L1	29	27
P0A8M0	33	18
P0A8M3	49	27
P0A8N3	34	34
P0A8N5	35	20
P0A8P1	17	10
P0A8R0	8	9
P0A8R7	17	11
P0A8R9	16	20
P0A8S1	17	15
P0A8T1	17	1
P0A8T5	6	3
P0A8T7	95	194
P0A8U0	10	11
P0A8V2	89	158
P0A8V6	17	7
P0A8W0	16	5
P0A8W5	13	4
P0A8W8	14	11
P0A8X0	13	13
P0A8X2	13	6
P0A8X4	15	2
P0A8Y1	10	4
P0A8Y5	16	5
P0A8Z3	10	3
P0A8Z7	6	3
P0A901	15	9
P0A903	21	34
P0A905	7	28
P0A908	13	25
P0A910	21	89
P0A912	11	32
P0A917	9	27
P0A921	17	6
P0A927	14	15
P0A935	22	14
P0A937	4	2
P0A940	51	178
P0A948	16	15
P0A951	14	
P0A953	21	19
P0A955	13	11
P0A959	25	25
P0A988	21	7
P0A991	21	8
P0A993	17	17
P0A998	9	5
P0A9A6	23	58
P0A9A9	9	2
P0A9B2	24	27
P0A9B6	23	2
P0A9C0	36	2
P0A9C5	29	14
P0A9C9	22	5
P0A9D2	13	4
P0A9D4	15	2
P0A9D8	16	22
P0A9E2	7	2
P0A9E5	17	3
P0A9F3	22	23
P0A9F6	21	6
P0A9F9	21	4
P0A9G2	17	2
P0A9G6	27	10
P0A9H1	12	19
P0A9H5	13	7
P0A9H7	28	4
P0A9H9	12	2
P0A9I1	21	5
P0A9J0	31	3
P0A9J4	17	7
P0A9J8	27	16
P0A9K1	24	2
P0A9K3	25	15
P0A9K7	18	22
P0A9K9	8	4
P0A9L3	12	9
P0A9M0	51	8
P0A9M2	13	14
P0A9M5	8	2
P0A9M8	41	52
P0A9P0	29	68
P0A9P4	16	6
P0A9P6	40	64
P0A9Q1	17	20
P0A9Q5	24	63
P0A9Q7	50	3
P0A9Q9	20	7
P0A9R7	15	26
P0A9S3	18	7
P0A9T8	12	8
P0A9U1	34	15
P0A9U3	36	20
P0A9V1	16	34
P0A9V8	18	1
P0A9W0	16	4
P0A9W3	38	57
P0A9W9	13	4
P0A9X1	16	13
P0A9X4	20	34
P0A9X9	7	3
P0A9Y6	5	2
P0AA10	9	41
P0AA16	20	33
P0AA25	7	11
P0AA39	25	16
P0AA53	18	10
P0AA84	31	3
P0AA86	9	6
P0AA91	12	9
P0AA93	36	15
P0AA97	14	7
P0AAA1	9	6
P0AAB4	33	13
P0AAB6	18	8
P0AAC0	18	9
P0AAC4	10	2
P0AAC8	8	3
P0AAD6	16	6
P0AAE0	18	6
P0AAE2	14	2
P0AAF3	31	2
P0AAF6	12	23
P0AAG0	21	19
P0AAG5	37	12
P0AAG8	38	18
P0AAH0	17	26
P0AAH4	22	16
P0AAH8	17	22
P0AAI3	42	182
P0AAI5	20	35
P0AAI9	16	3
P0AAJ5	19	8
P0AAK7	17	2
P0AAL6	13	1
P0AAN1	7	2
P0AAN3	15	
P0AAP3	8	5
P0AAR3	10	11
P0AAS0	11	2
P0AAT4	24	17
P0AAT9	13	5
P0AAV8	17	3
P0AAW1	18	7
P0AAX8	19	18
P0AAY6	6	2
P0AAZ4	29	7
P0AB01	18	3
P0AB06	15	6
P0AB10	8	8
P0AB12	6	4
P0AB24	31	11
P0AB26	12	15
P0AB28	7	7
P0AB38	9	17
P0AB46	6	1
P0AB58	27	18
P0AB67	18	21
P0AB71	18	19
P0AB77	22	28
P0AB80	20	8
P0AB83	14	5
P0AB89	29	2
P0AB98	10	5
P0ABA0	11	63
P0ABA4	11	26
P0ABA6	20	80
P0ABB0	32	108
P0ABB4	28	88
P0ABB8	48	86
P0ABC3	22	118
P0ABC7	32	122
P0ABC9	28	19
P0ABD5	21	66
P0ABD8	8	2
P0ABF1	35	58
P0ABF8	10	5
P0ABG7	18	8
P0ABH0	21	30
P0ABH7	26	59
P0ABH9	47	6
P0ABI4	16	28
P0ABI8	23	28
P0ABJ1	16	13
P0ABJ9	23	56
P0ABK2	14	14
P0ABK5	16	31
P0ABK7	7	2
P0ABM9	23	3
P0ABN1	7	3
P0ABN5	13	12
P0ABP6	9	4
P0ABP8	17	41
P0ABQ0	23	7
P0ABQ2	19	4
P0ABR5	28	4
P0ABS1	9	5
P0ABS5	37	8
P0ABT2	13	49
P0ABT5	20	2
P0ABU2	21	22
P0ABU7	10	11
P0ABU9	14	19
P0ABV6	6	13
P0ABY7	9	4
P0ABZ6	29	49
P0AC02	19	56
P0AC13	17	5
P0AC23	10	3
P0AC30	22	23
P0AC33	39	17
P0AC38	32	21
P0AC41	40	78
P0AC44	5	2
P0AC47	14	13
P0AC53	35	14
P0AC59	17	23
P0AC62	7	2
P0AC69	7	6
P0AC75	23	23
P0AC78	13	3
P0AC84	13	3
P0AC86	50	9
P0AC92	5	4
P0AC94	16	2
P0ACA3	14	5
P0ACA7	15	6
P0ACB0	32	42
P0ACB2	18	2
P0ACB4	14	32
P0ACB7	26	77
P0ACC1	15	4
P0ACC3	6	2
P0ACC7	26	18
P0ACD4	9	5
P0ACD8	39	3
P0ACE0	37	18
P0ACF0	5	13
P0ACF4	7	13
P0ACF8	13	15
P0ACG1	11	3
P0ACG8	9	4
P0ACH8	20	5
P0ACJ0	10	37
P0ACJ8	16	35
P0ACK5	13	7
P0ACK8	12	12
P0ACL0	13	7
P0ACL2	20	12
P0ACL7	17	6
P0ACL9	13	15
P0ACM2	17	2
P0ACN4	18	10
P0ACN7	20	9
P0ACP1	20	10
P0ACP5	19	10
P0ACP7	22	6
P0ACQ0	18	4
P0ACQ4	17	13
P0ACQ7	19	1
P0ACR4	17	6
P0ACR7	18	6
P0ACR9	13	5
P0ACS7	16	2
P0ACS9	17	3
P0ACU0	13	3
P0ACU2	15	12
P0ACU5	12	17
P0ACU7	14	2
P0ACV0	17	14
P0ACV4	3	4
P0ACW6	9	2
P0ACY1	12	3
P0ACY3	46	1
P0ACZ8	13	3
P0AD12	18	7
P0AD14	31	12
P0AD27	29	36
P0AD30	11	3
P0AD42	14	3
P0AD44	16	2
P0AD49	7	7
P0AD57	17	6
P0AD61	32	23
P0AD65	42	50
P0AD68	40	65
P0AD96	21	4
P0AD99	16	2
P0ADA1	16	9
P0ADA3	22	20
P0ADA5	10	36
P0ADB1	5	18
P0ADB7	2	2
P0ADC1	14	52
P0ADC3	21	25
P0ADC6	23	21
P0ADE4	38	58
P0ADE6	12	33
P0ADE8	21	13
P0ADF6	32	8
P0ADG4	18	31
P0ADG7	29	30
P0ADI7	10	2
P0ADK0	11	13
P0ADK6	24	2
P0ADK8	8	1
P0ADL3	9	5
P0ADM8	17	4
P0ADN6	4	4
P0ADP0	13	8
P0ADP2	10	6
P0ADP7	9	5
P0ADQ2	20	3
P0ADQ5	4	2
P0ADQ7	8	5
P0ADR6	23	5
P0ADR8	28	10
P0ADS2	8	7
P0ADS6	13	26
P0ADS9	17	22
P0ADT2	15	6
P0ADT5	26	7
P0ADT8	14	38
P0ADU5	8	2
P0ADV1	8	6
P0ADV5	17	10
P0ADV7	17	26
P0ADV9	10	27
P0ADW3	9	25
P0ADX7	8	4
P0ADX9	12	7
P0ADY1	45	183
P0ADY3	7	44
P0ADY7	7	24
P0ADZ0	6	11
P0ADZ4	7	11
P0ADZ7	5	26
P0AE01	12	6
P0AE06	23	80
P0AE08	14	24
P0AE12	28	1
P0AE14	20	6
P0AE16	26	2
P0AE18	18	3
P0AE30	10	5
P0AE34	9	2
P0AE37	21	4
P0AE39	16	12
P0AE45	23	39
P0AE48	6	2
P0AE52	12	5
P0AE67	5	2
P0AE72	6	2
P0AE78	20	11
P0AE82	28	60
P0AE88	14	22
P0AE91	12	33
P0AEA8	28	
P0AEB2	27	51
P0AEB5	16	2
P0AEC0	23	28
P0AEC3	45	100
P0AEC5	59	29
P0AEC8	35	1
P0AED0	7	7
P0AEE1	11	25
P0AEE3	16	19
P0AEE8	17	3
P0AEF0	14	8
P0AEF4	14	3
P0AEG4	15	25
P0AEG6	14	5
P0AEH1	28	38
P0AEH5	8	33
P0AEI1	31	29
P0AEI4	29	10
P0AEJ2	22	2
P0AEJ4	31	3
P0AEJ6	26	2
P0AEK0	12	8
P0AEK2	14	16
P0AEK4	15	22
P0AEL6	16	6
P0AEM0	7	2
P0AEN1	16	9
P0AEN4	9	3
P0AEN8	7	3
P0AEP3	17	3
P0AEP9	33	3
P0AEQ3	17	45
P0AEQ6	13	5
P0AER0	10	4
P0AER3	13	12
P0AER5	12	2
P0AER8	16	9
P0AES0	40	
P0AES4	60	64
P0AES6	51	92
P0AEU0	17	42
P0AEU3	12	2
P0AEU7	13	43
P0AEV1	19	1
P0AEV7	5	
P0AEW6	25	3
P0AEW9	19	11
P0AEX3	16	10
P0AEX9	26	3
P0AEY5	13	2
P0AEZ1	20	12
P0AEZ3	18	59
P0AEZ9	11	5
P0AF08	20	12
P0AF12	10	5
P0AF16	27	2
P0AF18	22	1
P0AF20	30	28
P0AF24	12	6
P0AF28	10	19
P0AF43	24	14
P0AF52	15	2
P0AF67	8	3
P0AF70	5	2
P0AF78	16	6
P0AF93	9	2
P0AF98	17	12
P0AFA2	42	21
P0AFA5	41	1
P0AFA7	20	6
P0AFB1	17	13
P0AFB5	21	11
P0AFB8	32	11
P0AFC0	11	2
P0AFC3	6	9
P0AFC7	16	18
P0AFD1	8	9
P0AFD4	15	10
P0AFD6	14	25
P0AFE0	5	6
P0AFE4	3	3
P0AFE8	14	2
P0AFF2	18	13
P0AFF4	15	2
P0AFF6	32	31
P0AFG0	12	18
P0AFG3	57	66
P0AFG6	23	45
P0AFG8	60	79
P0AFH0	12	6
P0AFH2	12	2
P0AFH6	14	3
P0AFH8	12	23
P0AFI0	31	
P0AFI2	46	63
P0AFI7	18	29
P0AFJ7	18	16
P0AFK0	28	23
P0AFK2	8	2
P0AFK6	10	2
P0AFK9	18	14
P0AFL3	11	12
P0AFL6	36	3
P0AFM2	15	5
P0AFM6	21	87
P0AFM9	4	17
P0AFN2	6	14
P0AFN6	8	2
P0AFP4	16	15
P0AFQ7	19	11
P0AFR2	21	5
P0AFR4	11	5
P0AFS7	14	6
P0AFS9	31	7
P0AFT5	15	2
P0AFU2	28	1
P0AFU4	31	14
P0AFU8	14	2
P0AFV8	5	5
P0AFW0	11	6
P0AFX0	5	3
P0AFX4	9	6
P0AFX7	10	6
P0AFX9	19	25
P0AFY2	15	12
P0AFY6	20	2
P0AFY8	10	28
P0AFZ1	12	2
P0AFZ3	9	6
P0AFZ7	16	2
P0AG00	26	22
P0AG07	12	4
P0AG14	21	20
P0AG20	54	47
P0AG24	42	24
P0AG27	8	34
P0AG30	29	62
P0AG38	8	2
P0AG40	19	4
P0AG44	9	39
P0AG48	7	19
P0AG51	5	14
P0AG55	12	38
P0AG59	7	13
P0AG63	5	11
P0AG67	39	99
P0AG71	40	26
P0AG80	30	11
P0AG82	25	10
P0AG86	7	6
P0AG90	39	106
P0AG93	14	15
P0AG96	9	11
P0AG99	5	8
P0AGA2	19	39
P0AGA6	13	12
P0AGB0	20	10
P0AGB6	16	24
P0AGC3	51	37
P0AGC7	14	19
P0AGD1	11	2
P0AGD3	11	4
P0AGD7	28	70
P0AGE0	10	15
P0AGE4	17	1
P0AGE9	19	26
P0AGG0	18	2
P0AGG4	10	2
P0AGG8	27	4
P0AGH5	11	4
P0AGI8	28	23
P0AGJ5	25	17
P0AGJ9	22	16
P0AGK1	11	2
P0AGK4	6	2
P0AGK8	11	12
P0AGL7	15	8
P0C018	9	17
P0C054	9	17
P0C058	10	4
P0C066	20	9
P0C093	13	10
P0C0K3	20	8
P0C0L7	19	16
P0C0R7	13	12
P0C0S1	15	25
P0C0U4	22	17
P0C0V0	25	64
P0C650	6	2
P0C8J6	17	3
P0C8J8	22	25
P0C960	12	8
P0CB39	34	66
P10100	18	17
P10121	29	29
P10346	15	21
P10371	18	15
P10384	21	10
P10408	61	152
P10441	26	19
P10442	12	3
P10443	78	67
P10907	17	11
P11349	36	11
P11446	14	4
P11447	28	10
P11454	67	3
P11557	24	31
P11664	15	1
P11864	25	2
P11875	40	12
P11880	22	10
P11989	20	
P12008	26	5
P12281	21	4
P12295	16	
P12758	14	9
P12998	23	1
P13001	15	4
P13009	79	112
P13016	9	2
P13024	19	6
P13029	46	17
P13035	37	59
P13036	46	46
P13445	23	5
P13458	61	42
P13482	35	7
P13518	46	3
P13656	43	3
P13669	17	9
P13738	13	3
P14081	41	17
P14175	22	44
P14176	11	3
P14294	48	5
P14376	60	50
P14565	122	28
P14900	25	2
P15028	19	12
P15031	16	7
P15032	51	2
P15034	25	8
P15038	51	38
P15042	46	3
P15069	24	3
P15254	76	14
P15286	21	8
P15288	27	16
P15639	33	5
P15770	16	7
P15877	45	24
P15977	40	3
P15993	15	3
P16095	22	20
P16384	23	25
P16431	38	3
P16433	13	2
P16456	21	9
P16525	23	8
P16528	18	10
P16659	37	27
P16676	23	5
P16682	22	5
P16694	52	3
P16700	25	9
P16703	17	3
P16869	46	3
P16916	100	3
P16917	103	2
P16919	103	5
P16926	26	15
P17115	20	6
P17117	14	3
P17169	35	28
P17443	21	29
P17444	29	36
P17445	30	8
P17446	15	2
P17846	39	7
P17854	18	4
P17888	41	12
P17952	26	15
P17993	16	13
P18004	52	3
P18196	14	7
P18335	22	4
P18775	49	11
P18811	23	2
P18843	18	7
P18956	36	2
P19319	78	10
P19624	18	1
P19926	26	24
P19934	24	43
P20083	37	11
P20966	25	32
P21151	19	10
P21165	27	12
P21170	35	12
P21177	44	25
P21179	43	20
P21338	18	11
P21345	18	10
P21365	10	2
P21367	11	4
P21420	22	2
P21499	51	45
P21507	28	36
P21513	54	105
P21515	12	4
P21599	28	14
P21829	11	2
P21865	50	33
P21866	17	8
P21888	26	12
P21889	42	25
P21893	37	5
P22106	40	20
P22186	11	13
P22188	29	3
P22255	15	6
P22256	27	10
P22259	32	18
P22333	20	28
P22523	108	120
P22524	16	10
P22525	34	13
P22634	16	10
P22939	16	10
P23003	23	2
P23305	17	8
P23325	48	4
P23367	38	31
P23524	21	2
P23538	52	35
P23721	24	3
P23827	9	10
P23830	30	52
P23836	14	16
P23837	30	23
P23839	25	8
P23842	43	16
P23843	37	45
P23845	31	14
P23847	34	20
P23862	12	11
P23865	43	63
P23869	11	9
P23871	18	13
P23878	16	6
P23882	19	3
P23886	29	35
P23890	29	2
P23893	19	15
P23894	14	6
P23908	19	4
P23909	52	30
P23930	25	18
P24077	15	2
P24173	21	12
P24174	31	2
P24175	33	4
P24177	52	18
P24178	9	1
P24181	42	5
P24182	32	31
P24186	14	2
P24188	24	13
P24192	20	2
P24193	17	2
P24200	17	1
P24202	23	4
P24203	18	9
P24205	16	10
P24216	26	3
P24228	28	30
P24230	46	11
P24232	22	2
P24251	10	7
P24255	24	6
P24554	28	29
P25397	17	6
P25437	18	11
P25516	58	37
P25519	28	24
P25522	30	7
P25526	27	3
P25534	25	3
P25535	23	9
P25553	32	9
P25665	47	12
P25714	26	33
P25737	17	2
P25740	29	8
P25741	23	2
P25745	22	4
P25746	14	17
P25748	23	2
P25798	37	5
P25888	29	3
P25889	27	2
P25894	16	20
P26365	26	5
P26458	14	2
P26602	12	16
P26616	33	7
P26646	18	9
P26647	16	12
P26648	25	7
P27111	21	2
P27125	12	2
P27247	21	4
P27248	22	6
P27249	62	12
P27253	43	8
P27278	30	35
P27294	19	4
P27296	51	4
P27297	19	2
P27298	45	17
P27300	18	9
P27302	42	30
P27303	27	31
P27306	28	37
P27434	13	37
P27550	39	7
P27828	26	4
P27833	22	5
P27836	18	23
P27837	19	3
P27848	17	5
P27862	14	6
P27896	34	3
P28248	10	4
P28249	38	42
P28304	22	4
P28305	17	6
P28306	26	11
P28630	21	6
P28631	22	5
P28635	16	51
P28861	13	2
P28903	48	8
P28904	32	10
P29013	26	3
P29018	34	33
P29131	23	31
P29208	18	3
P29217	13	2
P30011	20	3
P30015	100	11
P30126	13	1
P30128	12	3
P30130	44	2
P30136	44	3
P30137	12	6
P30149	10	2
P30178	18	4
P30744	21	12
P30745	25	5
P30750	20	26
P30843	11	28
P30844	24	2
P30845	28	45
P30847	32	11
P30850	43	26
P30859	17	29
P30860	15	12
P30863	18	2
P30864	20	19
P30870	57	4
P30871	28	9
P30958	80	58
P31069	20	9
P31119	51	21
P31120	29	3
P31130	10	
P31142	16	2
P31224	52	76
P31433	34	44
P31441	32	2
P31446	7	2
P31456	24	1
P31471	23	2
P31475	10	10
P31545	25	5
P31547	8	6
P31548	15	7
P31550	19	4
P31554	50	76
P31574	18	2
P31600	71	11
P31663	21	14
P31666	30	3
P31677	30	18
P31678	16	4
P31680	18	25
P31801	12	4
P31802	12	7
P31806	26	6
P31808	17	8
P31827	48	5
P31828	69	4
P31979	28	52
P32051	57	3
P32055	18	
P32099	25	11
P32128	27	3
P32131	32	23
P32132	33	49
P32141	20	9
P32144	18	12
P32160	12	16
P32173	12	7
P32176	60	33
P32664	17	6
P32681	13	3
P32684	20	8
P32688	14	2
P32695	22	5
P32703	22	16
P32705	18	3
P32712	10	2
P32714	30	4
P32716	25	2
P32721	40	5
P33030	23	21
P33136	34	36
P33195	54	21
P33218	14	21
P33232	25	46
P33234	16	2
P33341	49	
P33342	16	2
P33345	72	5
P33348	22	1
P33355	11	1
P33362	20	3
P33363	49	62
P33366	9	3
P33570	37	2
P33594	17	
P33595	35	2
P33599	39	86
P33602	56	96
P33607	23	4
P33666	79	20
P33790	59	7
P33913	41	5
P33916	34	9
P33920	19	26
P33924	43	1
P33927	27	4
P33937	56	2
P33940	33	38
P33941	31	2
P34209	13	8
P34210	23	2
P34749	22	10
P35340	33	9
P36547	16	2
P36548	21	19
P36561	11	3
P36649	25	7
P36655	22	9
P36659	16	8
P36672	16	16
P36673	18	11
P36680	16	8
P36682	31	1
P36683	57	74
P36771	17	4
P36879	22	54
P36928	24	16
P36929	25	9
P36938	32	11
P36979	24	25
P36999	18	2
P37003	12	
P37005	15	2
P37013	31	4
P37019	21	4
P37024	51	2
P37025	12	2
P37047	30	2
P37051	17	1
P37095	27	13
P37146	17	2
P37147	6	9
P37177	45	11
P37182	10	7
P37188	5	3
P37194	10	4
P37246	29	3
P37313	20	17
P37326	27	2
P37339	29	6
P37344	21	2
P37349	26	11
P37388	37	
P37440	17	5
P37443	31	1
P37615	10	8
P37617	39	33
P37623	6	1
P37624	52	20
P37626	27	45
P37627	30	2
P37634	20	14
P37636	27	4
P37641	17	10
P37642	16	3
P37645	46	23
P37648	33	39
P37649	39	20
P37650	81	36
P37651	26	2
P37652	46	26
P37659	23	4
P37661	32	2
P37665	10	30
P37666	17	8
P37677	27	2
P37683	20	2
P37689	29	4
P37690	28	35
P37691	22	5
P37692	19	19
P37759	23	1
P37760	18	2
P37765	20	21
P37767	16	5
P37773	22	2
P37774	17	2
P37902	20	22
P37903	9	6
P37906	30	18
P37908	21	26
P38036	44	1
P38038	38	4
P38054	58	12
P38097	53	1
P38134	47	8
P38135	32	
P38489	14	4
P38506	16	2
P39099	26	60
P39163	13	2
P39165	24	2
P39172	16	4
P39173	15	4
P39176	19	13
P39177	8	3
P39180	50	7
P39199	15	2
P39208	14	2
P39221	3	2
P39265	20	2
P39276	18	2
P39285	64	68
P39286	21	12
P39297	6	3
P39300	23	4
P39310	10	2
P39315	18	
P39317	20	2
P39321	80	67
P39325	21	7
P39333	16	2
P39336	47	2
P39337	9	3
P39342	37	29
P39347	29	1
P39349	19	5
P39356	20	3
P39384	23	2
P39385	29	2
P39389	27	2
P39393	61	2
P39396	30	13
P39401	43	3
P39404	11	2
P39406	20	7
P39411	8	2
P39451	20	7
P39452	47	6
P39453	53	4
P39830	28	18
P39831	14	6
P39832	8	2
P39835	19	11
P39838	55	
P40120	34	30
P40710	14	12
P40719	27	24
P41052	17	6
P41069	7	2
P42588	26	3
P42592	47	2
P42593	40	2
P42596	22	6
P42597	15	7
P42601	14	2
P42604	31	
P42626	23	9
P42641	24	7
P43329	96	68
P43337	12	1
P43671	35	52
P43672	42	12
P45420	39	2
P45422	14	1
P45464	38	45
P45469	11	10
P45508	39	1
P45522	31	2
P45523	16	37
P45524	19	2
P45537	38	14
P45565	12	26
P45577	18	21
P45578	14	9
P45748	15	3
P45758	34	5
P45760	9	2
P45766	23	13
P45799	11	2
P45800	38	40
P45955	14	14
P46022	15	7
P46118	17	4
P46122	10	3
P46130	20	12
P46142	26	3
P46474	75	44
P46481	35	2
P46482	16	6
P46837	58	50
P46855	23	3
P46859	9	10
P46883	45	8
P46888	8	2
P46889	59	23
P46923	56	5
P50456	24	12
P50465	17	2
P50466	31	2
P51020	17	2
P51024	13	14
P51981	16	3
P52007	11	1
P52048	18	2
P52067	13	2
P52073	24	4
P52076	15	10
P52094	13	7
P52095	39	2
P52101	33	15
P52108	15	20
P52124	36	3
P52126	45	2
P52131	20	2
P52143	65	27
P52598	15	21
P52599	28	7
P52644	12	4
P52645	56	17
P52647	67	35
P54901	24	6
P55135	28	15
P55140	13	2
