ID	Thoretical	Experimental
P07604	32	18
P07639	21	8
P07648	68	4
P07650	30	49
P07813	53	19
P07821	18	16
P07822	15	2
P07862	20	6
P07913	18	7
P08142	29	14
P08178	16	4
P08179	14	2
P08192	23	9
P08200	30	45
P08244	16	4
P08312	23	11
P08331	42	18
P08369	20	
P08371	12	2
P08390	16	11
P08394	78	7
P08395	36	42
P08400	30	4
P08506	27	43
P08622	19	49
P08660	26	2
P08839	35	45
P08956	86	27
P08957	38	10
P08997	35	4
P09030	20	4
P09053	24	8
P09126	14	7
P09127	27	60
P09130	48	7
P09151	35	4
P09152	76	35
P09153	12	2
P09155	22	1
P09323	27	30
P09372	12	8
P09373	53	48
P09377	13	2
P09391	12	8
P09394	23	4
P09424	23	2
P09546	76	33
P09549	11	12
P09551	17	12
P09831	96	8
P09832	32	4
P09835	26	4
P09980	48	12
P0A698	59	20
P0A6A0	35	43
P0A6A3	22	2
P0A6A8	4	4
P0A6B7	26	39
P0A6C1	18	8
P0A6C5	27	10
P0A6C8	15	8
P0A6D0	7	2
P0A6D3	25	4
P0A6D7	11	9
P0A6E1	10	2
P0A6E4	33	8
P0A6E6	7	18
P0A6F1	18	8
P0A6F3	32	19
P0A6F5	34	89
P0A6F9	7	10
P0A6G5	12	2
P0A6G7	9	4
P0A6H1	27	38
P0A6H5	30	52
P0A6H8	27	19
P0A6I0	14	6
P0A6I6	9	2
P0A6J1	10	2
P0A6J3	9	8
P0A6J5	27	42
P0A6J8	20	4
P0A6K1	14	2
P0A6K3	8	9
P0A6K6	25	30
P0A6L0	22	43
P0A6L2	17	7
P0A6L9	13	2
P0A6M2	9	2
P0A6M8	43	66
P0A6N1	27	81
P0A6N4	10	10
P0A6N8	11	8
P0A6P1	20	27
P0A6P5	33	38
P0A6P7	11	21
P0A6P9	25	45
P0A6Q3	11	7
P0A6Q6	8	25
P0A6R0	17	10
P0A6R3	4	2
P0A6S3	20	4
P0A6S7	20	8
P0A6T1	34	11
P0A6T5	15	10
P0A6T9	5	2
P0A6U3	40	7
P0A6U5	15	10
P0A6U8	22	8
P0A6W0	19	7
P0A6W3	15	8
P0A6W5	13	4
P0A6W9	30	1
P0A6X1	29	25
P0A6X7	8	4
P0A6Y1	7	6
P0A6Y5	15	7
P0A6Y8	40	81
P0A6Z1	34	19
P0A6Z3	41	43
P0A705	61	85
P0A707	12	35
P0A715	23	11
P0A717	18	28
P0A720	15	9
P0A722	12	10
P0A725	18	9
P0A734	7	2
P0A742	8	18
P0A744	11	2
P0A749	27	18
P0A756	13	6
P0A759	16	2
P0A763	9	8
P0A780	11	9
P0A786	22	7
P0A796	21	10
P0A799	23	34
P0A7A2	14	2
P0A7A5	12	10
P0A7A7	54	75
P0A7A9	13	2
P0A7B1	55	27
P0A7B3	15	
P0A7B5	27	6
P0A7B8	9	7
P0A7C2	15	11
P0A7D1	14	21
P0A7D4	27	27
P0A7D7	21	12
P0A7E1	26	19
P0A7E3	14	8
P0A7E5	38	43
P0A7E9	16	8
P0A7F3	12	2
P0A7G2	12	14
P0A7H0	23	
P0A7I0	28	9
P0A7I4	34	12
P0A7I7	13	8
P0A7J3	13	47
P0A7J7	11	19
P0A7K2	7	24
P0A7K6	9	28
P0A7L0	16	49
P0A7L3	10	18
P0A7L8	4	9
P0A7M2	7	10
P0A7M6	4	10
P0A7M9	6	8
P0A7N4	3	6
P0A7N9	4	6
P0A7Q1	4	2
P0A7Q6	1	4
P0A7R1	12	45
P0A7R5	10	32
P0A7R9	9	25
P0A7S3	8	19
P0A7S9	7	19
P0A7T3	6	12
P0A7T7	4	12
P0A7U3	5	8
P0A7U7	4	13
P0A7V0	17	57
P0A7V3	18	64
P0A7V8	14	60
P0A7W1	13	43
P0A7W7	13	24
P0A7X3	10	24
P0A7X6	12	6
P0A7Y0	14	9
P0A7Y8	8	4
P0A7Z0	12	2
P0A7Z4	23	34
P0A805	14	17
P0A812	20	14
P0A814	10	2
P0A817	23	10
P0A821	36	2
P0A823	15	7
P0A825	26	25
P0A830	17	9
P0A832	9	17
P0A836	30	27
P0A843	5	2
P0A850	32	65
P0A855	23	34
P0A858	13	9
P0A862	8	11
P0A867	26	8
P0A870	24	30
P0A877	17	4
P0A879	23	9
P0A887	15	18
P0A894	19	12
P0A8A0	16	4
P0A8A2	15	7
P0A8A4	15	8
P0A8A8	9	9
P0A8B2	11	2
P0A8B5	8	1
P0A8C1	6	6
P0A8C4	6	2
P0A8D3	11	2
P0A8D6	11	8
P0A8D9	9	
P0A8E1	13	13
P0A8E7	11	9
P0A8F0	12	10
P0A8F4	15	13
P0A8F8	45	8
P0A8G0	44	2
P0A8G6	11	8
P0A8H6	13	2
P0A8I1	10	2
P0A8I3	17	8
P0A8I5	11	8
P0A8I8	9	2
P0A8J2	11	4
P0A8J4	5	2
P0A8J8	30	49
P0A8K1	20	25
P0A8K8	13	4
P0A8L1	29	18
P0A8M0	33	13
P0A8M3	49	18
P0A8N3	34	24
P0A8N5	35	12
P0A8P1	17	8
P0A8R0	8	9
P0A8R7	17	11
P0A8R9	16	18
P0A8S1	17	11
P0A8T1	17	1
P0A8T5	6	2
P0A8T7	95	134
P0A8U0	10	11
P0A8V2	89	92
P0A8V6	17	7
P0A8W0	16	4
P0A8W5	13	4
P0A8W8	14	9
P0A8X0	13	10
P0A8X2	13	6
P0A8X4	15	2
P0A8Y1	10	4
P0A8Y5	16	4
P0A8Z3	10	2
P0A8Z7	6	2
P0A901	15	10
P0A903	21	33
P0A905	7	19
P0A908	13	18
P0A910	21	71
P0A912	11	25
P0A917	9	25
P0A921	17	8
P0A927	14	10
P0A935	22	12
P0A937	4	2
P0A940	51	117
P0A948	16	12
P0A951	14	
P0A953	21	17
P0A955	13	9
P0A959	25	19
P0A988	21	7
P0A991	21	8
P0A993	17	12
P0A998	9	4
P0A9A6	23	48
P0A9A9	9	2
P0A9B2	24	20
P0A9B6	23	2
P0A9C0	36	2
P0A9C5	29	11
P0A9C9	22	4
P0A9D2	13	4
P0A9D4	15	2
P0A9D8	16	19
P0A9E2	7	2
P0A9E5	17	2
P0A9F3	22	19
P0A9F6	21	4
P0A9F9	21	4
P0A9G2	17	2
P0A9G6	27	8
P0A9H1	12	13
P0A9H5	13	7
P0A9H7	28	4
P0A9H9	12	2
P0A9I1	21	4
P0A9J0	31	2
P0A9J4	17	7
P0A9J8	27	12
P0A9K1	24	2
P0A9K3	25	11
P0A9K7	18	18
P0A9K9	8	6
P0A9L3	12	8
P0A9M0	51	8
P0A9M2	13	9
P0A9M5	8	2
P0A9M8	41	37
P0A9P0	29	65
P0A9P4	16	8
P0A9P6	40	49
P0A9Q1	17	18
P0A9Q5	24	59
P0A9Q7	50	2
P0A9Q9	20	8
P0A9R7	15	25
P0A9S3	18	8
P0A9T8	12	8
P0A9U1	34	12
P0A9U3	36	13
P0A9V1	16	37
P0A9V8	18	1
P0A9W0	16	4
P0A9W3	38	48
P0A9W9	13	4
P0A9X1	16	10
P0A9X4	20	35
P0A9X9	7	2
P0A9Y6	5	2
P0AA10	9	45
P0AA16	20	33
P0AA25	7	10
P0AA39	25	12
P0AA53	18	9
P0AA84	31	2
P0AA86	9	8
P0AA91	12	9
P0AA93	36	11
P0AA97	14	7
P0AAA1	9	9
P0AAB4	33	10
P0AAB6	18	8
P0AAC0	18	8
P0AAC4	10	2
P0AAC8	8	2
P0AAD6	16	8
P0AAE0	18	8
P0AAE2	14	2
P0AAF3	31	2
P0AAF6	12	21
P0AAG0	21	13
P0AAG5	37	9
P0AAG8	38	9
P0AAH0	17	23
P0AAH4	22	13
P0AAH8	17	19
P0AAI3	42	116
P0AAI5	20	27
P0AAI9	16	2
P0AAJ5	19	6
P0AAK7	17	2
P0AAL6	13	1
P0AAN1	7	2
P0AAN3	15	
P0AAP3	8	4
P0AAR3	10	9
P0AAS0	11	4
P0AAT4	24	12
P0AAT9	13	4
P0AAV8	17	2
P0AAW1	18	7
P0AAX8	19	12
P0AAY6	6	2
P0AAZ4	29	7
P0AB01	18	2
P0AB06	15	6
P0AB10	8	8
P0AB12	6	6
P0AB24	31	8
P0AB26	12	12
P0AB28	7	7
P0AB38	9	16
P0AB46	6	1
P0AB58	27	14
P0AB67	18	18
P0AB71	18	18
P0AB77	22	27
P0AB80	20	8
P0AB83	14	4
P0AB89	29	2
P0AB98	10	6
P0ABA0	11	61
P0ABA4	11	26
P0ABA6	20	74
P0ABB0	32	86
P0ABB4	28	81
P0ABB8	48	50
P0ABC3	22	82
P0ABC7	32	82
P0ABC9	28	17
P0ABD5	21	58
P0ABD8	8	2
P0ABF1	35	41
P0ABF8	10	8
P0ABG7	18	8
P0ABH0	21	28
P0ABH7	26	33
P0ABH9	47	6
P0ABI4	16	19
P0ABI8	23	19
P0ABJ1	16	16
P0ABJ9	23	33
P0ABK2	14	11
P0ABK5	16	24
P0ABK7	7	2
P0ABM9	23	2
P0ABN1	7	6
P0ABN5	13	10
P0ABP6	9	7
P0ABP8	17	30
P0ABQ0	23	7
P0ABQ2	19	4
P0ABR5	28	4
P0ABS1	9	4
P0ABS5	37	7
P0ABT2	13	48
P0ABT5	20	2
P0ABU2	21	19
P0ABU7	10	9
P0ABU9	14	19
P0ABV6	6	10
P0ABY7	9	4
P0ABZ6	29	26
P0AC02	19	45
P0AC13	17	4
P0AC23	10	2
P0AC30	22	20
P0AC33	39	18
P0AC38	32	12
P0AC41	40	75
P0AC44	5	4
P0AC47	14	13
P0AC53	35	9
P0AC59	17	17
P0AC62	7	2
P0AC69	7	4
P0AC75	23	18
P0AC78	13	4
P0AC84	13	2
P0AC86	50	8
P0AC92	5	4
P0AC94	16	2
P0ACA3	14	4
P0ACA7	15	6
P0ACB0	32	33
P0ACB2	18	2
P0ACB4	14	19
P0ACB7	26	49
P0ACC1	15	4
P0ACC3	6	2
P0ACC7	26	12
P0ACD4	9	4
P0ACD8	39	2
P0ACE0	37	13
P0ACF0	5	10
P0ACF4	7	12
P0ACF8	13	9
P0ACG1	11	2
P0ACG8	9	4
P0ACH8	20	4
P0ACJ0	10	31
P0ACJ8	16	25
P0ACK5	13	7
P0ACK8	12	9
P0ACL0	13	7
P0ACL2	20	9
P0ACL7	17	6
P0ACL9	13	11
P0ACM2	17	2
P0ACN4	18	8
P0ACN7	20	8
P0ACP1	20	8
P0ACP5	19	8
P0ACP7	22	6
P0ACQ0	18	4
P0ACQ4	17	10
P0ACQ7	19	1
P0ACR4	17	6
P0ACR7	18	6
P0ACR9	13	4
P0ACS7	16	2
P0ACS9	17	2
P0ACU0	13	2
P0ACU2	15	9
P0ACU5	12	16
P0ACU7	14	2
P0ACV0	17	13
P0ACV4	3	6
P0ACW6	9	2
P0ACY1	12	2
P0ACY3	46	1
P0ACZ8	13	2
P0AD12	18	6
P0AD14	31	9
P0AD27	29	30
P0AD30	11	2
P0AD42	14	2
P0AD44	16	2
P0AD49	7	4
P0AD57	17	6
P0AD61	32	17
P0AD65	42	33
P0AD68	40	45
P0AD96	21	6
P0AD99	16	2
P0ADA1	16	8
P0ADA3	22	18
P0ADA5	10	30
P0ADB1	5	11
P0ADB7	2	4
P0ADC1	14	37
P0ADC3	21	18
P0ADC6	23	18
P0ADE4	38	33
P0ADE6	12	24
P0ADE8	21	10
P0ADF6	32	4
P0ADG4	18	25
P0ADG7	29	18
P0ADI7	10	2
P0ADK0	11	18
P0ADK6	24	2
P0ADK8	8	1
P0ADL3	9	8
P0ADM8	17	4
P0ADN6	4	6
P0ADP0	13	8
P0ADP2	10	6
P0ADP7	9	4
P0ADQ2	20	2
P0ADQ5	4	2
P0ADQ7	8	4
P0ADR6	23	4
P0ADR8	28	8
P0ADS2	8	4
P0ADS6	13	30
P0ADS9	17	17
P0ADT2	15	7
P0ADT5	26	7
P0ADT8	14	33
P0ADU5	8	2
P0ADV1	8	6
P0ADV5	17	10
P0ADV7	17	21
P0ADV9	10	18
P0ADW3	9	21
P0ADX7	8	4
P0ADX9	12	7
P0ADY1	45	95
P0ADY3	7	35
P0ADY7	7	19
P0ADZ0	6	11
P0ADZ4	7	10
P0ADZ7	5	18
P0AE01	12	6
P0AE06	23	60
P0AE08	14	19
P0AE12	28	1
P0AE14	20	8
P0AE16	26	2
P0AE18	18	2
P0AE30	10	7
P0AE34	9	2
P0AE37	21	4
P0AE39	16	9
P0AE45	23	24
P0AE48	6	2
P0AE52	12	7
P0AE67	5	2
P0AE72	6	2
P0AE78	20	9
P0AE82	28	41
P0AE88	14	17
P0AE91	12	23
P0AEA8	28	
P0AEB2	27	45
P0AEB5	16	2
P0AEC0	23	18
P0AEC3	45	59
P0AEC5	59	18
P0AEC8	35	1
P0AED0	7	7
P0AEE1	11	20
P0AEE3	16	18
P0AEE8	17	2
P0AEF0	14	8
P0AEF4	14	2
P0AEG4	15	18
P0AEG6	14	6
P0AEH1	28	24
P0AEH5	8	21
P0AEI1	31	25
P0AEI4	29	8
P0AEJ2	22	2
P0AEJ4	31	2
P0AEJ6	26	2
P0AEK0	12	8
P0AEK2	14	13
P0AEK4	15	19
P0AEL6	16	6
P0AEM0	7	2
P0AEN1	16	9
P0AEN4	9	4
P0AEN8	7	2
P0AEP3	17	2
P0AEP9	33	2
P0AEQ3	17	30
P0AEQ6	13	7
P0AER0	10	4
P0AER3	13	8
P0AER5	12	2
P0AER8	16	11
P0AES0	40	
P0AES4	60	41
P0AES6	51	66
P0AEU0	17	33
P0AEU3	12	2
P0AEU7	13	48
P0AEV1	19	1
P0AEV7	5	
P0AEW6	25	4
P0AEW9	19	9
P0AEX3	16	7
P0AEX9	26	2
P0AEY5	13	2
P0AEZ1	20	9
P0AEZ3	18	48
P0AEZ9	11	4
P0AF08	20	9
P0AF12	10	4
P0AF16	27	2
P0AF18	22	1
P0AF20	30	19
P0AF24	12	6
P0AF28	10	13
P0AF43	24	11
P0AF52	15	2
P0AF67	8	4
P0AF70	5	2
P0AF78	16	6
P0AF93	9	2
P0AF98	17	12
P0AFA2	42	18
P0AFA5	41	1
P0AFA7	20	4
P0AFB1	17	14
P0AFB5	21	9
P0AFB8	32	9
P0AFC0	11	2
P0AFC3	6	9
P0AFC7	16	19
P0AFD1	8	10
P0AFD4	15	8
P0AFD6	14	27
P0AFE0	5	8
P0AFE4	3	6
P0AFE8	14	2
P0AFF2	18	12
P0AFF4	15	4
P0AFF6	32	19
P0AFG0	12	18
P0AFG3	57	49
P0AFG6	23	43
P0AFG8	60	51
P0AFH0	12	6
P0AFH2	12	2
P0AFH6	14	2
P0AFH8	12	19
P0AFI0	31	
P0AFI2	46	47
P0AFI7	18	23
P0AFJ7	18	18
P0AFK0	28	18
P0AFK2	8	2
P0AFK6	10	2
P0AFK9	18	11
P0AFL3	11	12
P0AFL6	36	2
P0AFM2	15	7
P0AFM6	21	81
P0AFM9	4	18
P0AFN2	6	18
P0AFN6	8	2
P0AFP4	16	18
P0AFQ7	19	9
P0AFR2	21	6
P0AFR4	11	4
P0AFS7	14	8
P0AFS9	31	7
P0AFT5	15	2
P0AFU2	28	1
P0AFU4	31	10
P0AFU8	14	2
P0AFV8	5	6
P0AFW0	11	6
P0AFX0	5	2
P0AFX4	9	6
P0AFX7	10	7
P0AFX9	19	24
P0AFY2	15	12
P0AFY6	20	2
P0AFY8	10	30
P0AFZ1	12	2
P0AFZ3	9	8
P0AFZ7	16	4
P0AG00	26	18
P0AG07	12	4
P0AG14	21	18
P0AG20	54	41
P0AG24	42	18
P0AG27	8	30
P0AG30	29	60
P0AG38	8	2
P0AG40	19	4
P0AG44	9	34
P0AG48	7	19
P0AG51	5	16
P0AG55	12	45
P0AG59	7	16
P0AG63	5	12
P0AG67	39	81
P0AG71	40	16
P0AG80	30	10
P0AG82	25	8
P0AG86	7	8
P0AG90	39	84
P0AG93	14	18
P0AG96	9	12
P0AG99	5	11
P0AGA2	19	45
P0AGA6	13	9
P0AGB0	20	8
P0AGB6	16	20
P0AGC3	51	34
P0AGC7	14	18
P0AGD1	11	2
P0AGD3	11	4
P0AGD7	28	60
P0AGE0	10	12
P0AGE4	17	1
P0AGE9	19	20
P0AGG0	18	2
P0AGG4	10	2
P0AGG8	27	4
P0AGH5	11	4
P0AGI8	28	19
P0AGJ5	25	17
P0AGJ9	22	13
P0AGK1	11	2
P0AGK4	6	2
P0AGK8	11	12
P0AGL7	15	8
P0C018	9	19
P0C054	9	18
P0C058	10	4
P0C066	20	10
P0C093	13	8
P0C0K3	20	8
P0C0L7	19	17
P0C0R7	13	10
P0C0S1	15	25
P0C0U4	22	12
P0C0V0	25	58
P0C650	6	2
P0C8J6	17	4
P0C8J8	22	27
P0C960	12	8
P0CB39	34	60
P10100	18	18
P10121	29	19
P10346	15	21
P10371	18	12
P10384	21	12
P10408	61	120
P10441	26	18
P10442	12	2
P10443	78	48
P10907	17	9
P11349	36	9
P11446	14	4
P11447	28	9
P11454	67	2
P11557	24	32
P11664	15	1
P11864	25	2
P11875	40	9
P11880	22	8
P11989	20	
P12008	26	4
P12281	21	4
P12295	16	
P12758	14	9
P12998	23	1
P13001	15	4
P13009	79	82
P13016	9	2
P13024	19	6
P13029	46	16
P13035	37	58
P13036	46	37
P13445	23	4
P13458	61	30
P13482	35	7
P13518	46	2
P13656	43	2
P13669	17	8
P13738	13	2
P14081	41	12
P14175	22	42
P14176	11	2
P14294	48	4
P14376	60	42
P14565	123	19
P14900	25	2
P15028	19	9
P15031	16	7
P15032	51	2
P15034	25	8
P15038	51	27
P15042	46	2
P15069	24	2
P15254	76	10
P15286	21	8
P15288	27	14
P15639	33	4
P15770	16	7
P15877	45	23
P15977	40	2
P15993	15	4
P16095	22	18
P16384	23	18
P16431	38	2
P16433	13	2
P16456	21	9
P16525	23	8
P16528	18	8
P16659	37	21
P16676	23	4
P16682	22	4
P16694	52	2
P16700	25	10
P16703	17	2
P16869	46	2
P16916	100	2
P16917	104	2
P16919	104	4
P16926	26	12
P17115	20	6
P17117	14	2
P17169	35	19
P17443	21	32
P17444	29	42
P17445	30	8
P17446	15	2
P17846	39	7
P17854	18	4
P17888	41	9
P17952	26	16
P17993	16	10
P18004	52	2
P18196	14	7
P18335	22	4
P18775	49	9
P18811	23	2
P18843	18	7
P18956	36	2
P19319	78	8
P19624	18	1
P19926	26	18
P19934	24	33
P20083	37	9
P20966	25	30
P21151	19	8
P21165	27	9
P21170	35	9
P21177	44	21
P21179	43	14
P21338	18	10
P21345	18	12
P21365	10	4
P21367	11	4
P21420	22	2
P21499	51	38
P21507	28	32
P21513	54	82
P21515	12	4
P21599	28	10
P21829	11	2
P21865	50	25
P21866	17	8
P21888	26	9
P21889	42	19
P21893	37	4
P22106	40	14
P22186	11	13
P22188	29	2
P22255	15	6
P22256	27	8
P22259	32	14
P22333	20	25
P22523	109	82
P22524	16	8
P22525	34	10
P22634	16	8
P22939	16	8
P23003	23	2
P23305	17	9
P23325	48	4
P23367	38	23
P23524	21	2
P23538	52	27
P23721	24	2
P23827	9	10
P23830	30	49
P23836	14	12
P23837	30	18
P23839	25	8
P23842	43	14
P23843	37	45
P23845	31	11
P23847	34	14
P23862	12	9
P23865	43	57
P23869	11	10
P23871	18	12
P23878	16	6
P23882	19	2
P23886	29	33
P23890	29	2
P23893	19	17
P23894	14	8
P23908	19	4
P23909	52	19
P23930	25	18
P24077	15	2
P24173	21	10
P24174	31	2
P24175	33	4
P24177	52	16
P24178	9	1
P24181	42	4
P24182	32	24
P24186	14	2
P24188	24	10
P24192	20	2
P24193	17	2
P24200	17	1
P24202	23	4
P24203	18	8
P24205	16	9
P24216	26	4
P24228	28	30
P24230	46	9
P24232	22	2
P24251	10	7
P24255	24	6
P24554	28	27
P25397	17	6
P25437	18	12
P25516	58	25
P25519	28	23
P25522	30	8
P25526	27	2
P25534	25	2
P25535	23	8
P25553	32	8
P25665	47	10
P25714	26	42
P25737	17	2
P25740	29	8
P25741	23	2
P25745	22	4
P25746	14	19
P25748	23	2
P25798	37	4
P25888	29	2
P25889	27	2
P25894	16	19
P26365	26	4
P26458	14	2
P26602	12	12
P26616	33	7
P26646	18	8
P26647	16	13
P26648	25	8
P27111	21	2
P27125	12	2
P27247	21	4
P27248	22	6
P27249	62	10
P27253	43	8
P27278	30	27
P27294	19	4
P27296	51	4
P27297	19	2
P27298	45	13
P27300	18	10
P27302	42	26
P27303	27	32
P27306	28	31
P27434	13	38
P27550	39	7
P27828	26	4
P27833	22	7
P27836	18	24
P27837	19	2
P27848	17	4
P27862	14	6
P27896	34	2
P28248	10	4
P28249	38	37
P28304	22	4
P28305	17	6
P28306	26	10
P28630	21	6
P28631	22	4
P28635	16	50
P28861	13	2
P28903	48	8
P28904	32	8
P29013	26	2
P29018	34	32
P29131	23	33
P29208	18	2
P29217	13	2
P30011	20	2
P30015	100	9
P30126	13	1
P30128	12	2
P30130	44	2
P30136	44	2
P30137	12	6
P30149	10	2
P30178	18	4
P30744	21	10
P30745	25	4
P30750	20	20
P30843	11	21
P30844	24	2
P30845	28	45
P30847	32	9
P30850	43	19
P30859	17	25
P30860	15	12
P30863	18	2
P30864	20	16
P30870	57	4
P30871	28	8
P30958	80	40
P31069	20	9
P31119	51	19
P31120	29	2
P31130	10	
P31142	16	2
P31224	52	68
P31433	34	45
P31441	32	2
P31446	7	2
P31456	24	1
P31471	23	2
P31475	10	8
P31545	25	4
P31547	8	8
P31548	15	7
P31550	19	4
P31554	50	80
P31574	18	2
P31600	71	9
P31663	21	10
P31666	30	2
P31677	30	12
P31678	16	4
P31680	18	25
P31801	12	6
P31802	12	7
P31806	26	6
P31808	17	8
P31827	48	4
P31828	69	4
P31979	28	48
P32051	57	2
P32055	18	
P32099	25	9
P32128	27	2
P32131	32	18
P32132	33	39
P32141	20	8
P32144	18	9
P32160	12	14
P32173	12	7
P32176	60	28
P32664	17	6
P32681	13	4
P32684	20	8
P32688	14	2
P32695	22	4
P32703	22	14
P32705	18	2
P32712	10	2
P32714	30	4
P32716	25	2
P32721	40	4
P33030	23	16
P33136	34	33
P33195	54	17
P33218	14	19
P33232	25	45
P33234	16	2
P33341	49	
P33342	16	2
P33345	72	4
P33348	22	1
P33355	11	1
P33362	20	2
P33363	49	58
P33366	9	2
P33570	37	2
P33594	17	
P33595	35	2
P33599	39	82
P33602	56	75
P33607	23	7
P33666	79	17
P33790	59	7
P33913	41	4
P33916	34	8
P33920	19	19
P33924	43	1
P33927	27	4
P33937	56	2
P33940	33	42
P33941	31	2
P34209	13	8
P34210	23	2
P34749	22	8
P35340	33	8
P36547	16	2
P36548	21	16
P36561	11	4
P36649	25	8
P36655	22	10
P36659	16	8
P36672	16	18
P36673	18	9
P36680	16	8
P36682	31	1
P36683	57	61
P36771	17	4
P36879	22	49
P36928	24	13
P36929	25	9
P36938	32	9
P36979	24	19
P36999	18	2
P37003	12	
P37005	15	2
P37013	31	4
P37019	21	4
P37024	51	2
P37025	12	2
P37047	30	2
P37051	17	1
P37095	27	10
P37146	17	2
P37147	6	10
P37177	45	9
P37182	10	7
P37188	5	2
P37194	10	6
P37246	29	2
P37313	20	12
P37326	27	2
P37339	29	6
P37344	21	2
P37349	26	9
P37388	37	
P37440	17	4
P37443	31	1
P37615	10	9
P37617	39	40
P37623	6	1
P37624	52	14
P37626	27	42
P37627	30	2
P37634	20	10
P37636	27	4
P37641	17	8
P37642	16	2
P37645	46	19
P37648	33	30
P37649	39	19
P37650	81	24
P37651	26	2
P37652	46	20
P37659	23	4
P37661	32	2
P37665	10	34
P37666	17	8
P37677	27	2
P37683	20	2
P37689	29	4
P37690	28	31
P37691	22	4
P37692	19	19
P37759	23	1
P37760	18	2
P37765	20	19
P37767	16	4
P37773	22	2
P37774	17	2
P37902	20	24
P37903	9	6
P37906	30	16
P37908	21	19
P38036	44	1
P38038	38	4
P38054	58	9
P38097	53	1
P38134	47	8
P38135	32	
P38489	14	4
P38506	16	2
P39099	26	50
P39163	13	2
P39165	24	2
P39172	16	4
P39173	15	4
P39176	19	10
P39177	8	2
P39180	50	7
P39199	15	2
P39208	14	2
P39221	3	2
P39265	20	2
P39276	18	2
P39285	64	49
P39286	21	9
P39297	6	2
P39300	23	4
P39310	10	2
P39315	18	
P39317	20	2
P39321	80	49
P39325	21	7
P39333	16	2
P39336	47	2
P39337	9	2
P39342	37	25
P39347	29	1
P39349	19	4
P39356	20	2
P39384	23	2
P39385	29	2
P39389	27	2
P39393	61	2
P39396	30	17
P39401	43	2
P39404	11	2
P39406	20	7
P39411	8	2
P39451	20	7
P39452	47	6
P39453	53	4
P39830	28	18
P39831	14	6
P39832	8	2
P39835	19	12
P39838	55	
P40120	34	25
P40710	14	13
P40719	27	19
P41052	17	8
P41069	7	2
P42588	26	2
P42592	47	2
P42593	40	2
P42596	22	6
P42597	15	7
P42601	14	4
P42604	31	
P42626	23	8
P42641	24	7
P43329	96	49
P43337	12	1
P43671	35	49
P43672	42	9
P45420	39	2
P45422	14	1
P45464	38	45
P45469	11	11
P45508	39	1
P45522	31	2
P45523	16	40
P45524	19	2
P45537	38	13
P45565	12	27
P45577	18	16
P45578	14	8
P45748	15	2
P45758	34	4
P45760	9	2
P45766	23	14
P45799	11	2
P45800	38	38
P45955	14	12
P46022	15	8
P46118	17	4
P46122	10	4
P46130	20	17
P46142	26	2
P46474	75	33
P46481	35	2
P46482	16	6
P46837	58	33
P46855	23	2
P46859	9	8
P46883	45	8
P46888	8	2
P46889	59	18
P46923	56	4
P50456	24	9
P50465	17	2
P50466	31	2
P51020	17	2
P51024	13	10
P51981	16	2
P52007	11	1
P52048	18	2
P52067	13	2
P52073	24	4
P52076	15	8
P52094	13	7
P52095	39	2
P52101	33	12
P52108	15	18
P52124	36	2
P52126	45	2
P52131	20	2
P52143	65	19
P52598	15	18
P52599	28	7
P52644	12	4
P52645	56	14
P52647	67	25
P54901	24	6
P55135	28	11
P55140	13	2
