Join Name	emPAI 5 Methods	BL21(DE3) OLC	K12 Entry Name	BL21(DE3) OLC	K12 Accession
253775383	"0,39 | 0,94 | 0,39; | 0,03 | ; | 0,36 | ; | 0,06 | 0,20; |  | 0,02"	ECBD_4045	RPOC_ECOLI	C6EE31_ECOBD	P0A8T7
253771873	"1,41 | 3,88 | 3,09; | 0,42 | ; | 1,03 | ; | 0,70 | 1,43;0,19 | 0,70 | "	ECBD_0448	RS5_ECOLI	C6EGG3_ECOBD	P0A7W1
253775388	"1,80 | 2,44 | 3,23; | 0,47 | 0,47; | 2,41 | 0,51;0,51 |  | 1,80;0,23 |  | "	ECBD_4050	RL11_ECOLI	C6EE36_ECOBD	P0A7J7
253771862	"1,07 | 1,63 | 1,33; | 0,12 | ;1,33 | 2,78 | 0,83;1,33 |  | 1,07; | 0,14 | "	ECBD_0437	RS3_ECOLI	C6EGF2_ECOBD	P0A7V3
253771863	"1,72 | 2,33 | 0,82; |  | 0,07;1,23 | 2,33 | 0,49;0,82 | 0,22 | 0,82;0,22 | 1,23 | "	ECBD_0438	RL16_ECOLI	C6EGF3_ECOBD	P0ADY7
253774796	"0,28 | 0,77 | 0,77; |  | 0,19;0,04 | 0,53 | 1,61;0,33 | 2,47 | 0,38;1,70 | 0,64 | 3,00"	ECBD_3442	YAET_ECOLI	C6EAA8_ECOBD	P0A940
253774183	"0,94 | 0,65 | 0,94; |  | 0,16;3,46 | 1,3 | 0,65;0,65 | 1,30 | 0,94;2,20 | 1,71 | 0,94"	ECBD_2809	OMPX_ECOLI	C6EIW8_ECOBD	P0A917
253774192	"0,48 | 0,60 | 0,80; |  | 0,12; | 0,48 | 0,42;0,42 | 0,66 | 0,37;0,60 | 0,73 | 0,54"	ECBD_2818	FIU_ECOLI	C6EIX7_ECOBD	P75780
253771878	"5,40 | 3,02 | 5,40; |  | 0,12;1,01 | 1,53 | 1,53;2,19 |  | 2,19;0,59 | 0,26 | "	ECBD_0453	RS13_ECOLI	C6EGG8_ECOBD	P0A7S9
253771880	"0,49 | 1,90 | 1,90; | 0,11 | 0,19;0,49 | 1,9 | 0,7;1,54 | 0,49 | 1,54; |  | 0,14"	ECBD_0455	RS4_ECOLI	C6EGH0_ECOBD	P0A7V8
253771875	"5,30 | 4,13 | 4,13; |  | 0,07;2,41 | 4,13 | 1,78;2,41 | 1,78 | 3,18;0,23 | 1,78 | "	ECBD_0450	RL15_ECOLI	C6EGG5_ECOBD	P02413
253775387	"1,14 | 0,88 |  ; | 0,05 | 0,22; | 0,88 | ;2,55 |  | 0,88;0,14 |  | "	ECBD_4049	RL1_ECOLI	C6EE35_ECOBD	P0A7L0
253772002	"0,20 | 0,81 | 0,98; | 0,31 | ;0,10 |  | 0,26"	ECBD_0578	DEAD_ECOLI	C6EH63_ECOBD	P0A9P6
253771833	"4,82 | 13,05 | 5,94; |  | 0,75;0,42 | 8,88 | 0,7;1,88 | 1,41 | 3,09; | 0,70 | 0,19"	ECBD_0408	RS7_ECOLI	C6EGC3_ECOBD	P02359
253774548	"0,09 | 0,41 | 0,33; |  | 0,03; | 0,09 | 0,25; | 0,41 | 0,12;0,15 | 0,06 | 0,62"	ECBD_3194	ACRB_ECOLI	C6EL02_ECOBD	P31224
253771855	"1,16 | 3,66 | 1,79; | 0,38 | ;1,79 | 1,16 | 3,66;0,29 |  | 0,67"	ECBD_0430	RS10_ECOLI	C6EGE5_ECOBD	P0A7R5
253771881	"1,17 | 2,35 | 0,68; | 0,3 | 0,57; | 0,54 | ;0,41 | 0,54 | ; |  | 0,30"	ECBD_0456	RPOA_ECOLI	C6EGH1_ECOBD	P0A7Z4
253775385	"1,09 | 1,09 | 0,63;0,49 | 0,82 | 0,82; |  | 0,28; | 1,09 | 0,63; | 0,27 | "	ECBD_4047	RL7_ECOLI	C6EE33_ECOBD	P0A7K2
253773400	"1,67 | 1,67 | 2,95; |  | 0,06;2,95 | 2,25 | 2,25;1,19 | 2,25 | 1,67;3,81 | 4,85 | 1,19"	ECBD_2002	SLYB_ECOLI	C6EDK4_ECOBD	P0A905
253774804	"0,80 | 0,80 | 1,02; | 0,36 | ;0,26 | 1,88 | 0,42;1,02 | 1,02 | ;0,60 | 0,42 | 0,60"	ECBD_3450	RS2_ECOLI	C6EAB6_ECOBD	P0A7V0
253771861	"3,42 | 6,25 | 10,91; |  | 0,1;0,28 |  | 0,64;1,69 |  | 4,66; | 0,64 | "	ECBD_0436	RL22_ECOLI	C6EGF1_ECOBD	P61175
253771879	"1,39 | 4,73 | 1,98; |  | 0,14; | 1,98 | 0,92;0,92 |  | 1,39; | 0,92 | "	ECBD_0454	RS11_ECOLI	C6EGG9_ECOBD	P0A7R9
253774945	"2,42 | 3,65 | 3,65; |  | ; |  | 0,36;3,65 | 5,33 | 1,52; | 1,52 | 0,36"	ECBD_3593	RS20_ECOLI	C6EB30_ECOBD	P0A7U7
253774060	"0,17 | 0,69 | 0,52; | 0,11 | ; | 0,11 | 0,05;0,17 | 0,11 | 0,23"	ECBD_2684	RS1_ECOLI	C6EI71_ECOBD	P0AG67
253771857	"1,69 |   |  ;0,76 | 1,03 | ;1,03 |  | 0,76"	ECBD_0432	RL4_ECOLI	C6EGE7_ECOBD	P60723
253771755	"0,23 | 0,50 | 0,63; | 0,23 | ;0,18 |  | 0,23; |  | 0,04"	ECBD_0329	MALQ_ECOLI	C6EFF8_ECOBD	P15977
253774547	"0,25 | 0,83 | 0,83; |  | 0,05;0,08 | 0,35 | 0,25;0,16 | 1,13 | 0,25;0,46 |  | 0,83"	ECBD_3193	ACRA_ECOLI	C6EL01_ECOBD	P0AE06
253771980	"1,19 | 3,79 | 2,69; | 0,12 | ; |  | 0,3;1,19 |  | ; | 0,30 | "	ECBD_0556	RL21_ECOLI	C6EH41_ECOBD	P0AG48
253771870	"  | 1,36 | 1,93; | 0,07 | 0,07; | 3,5 | ; |  | 0,54"	ECBD_0445	RS8_ECOLI	C6EGG0_ECOBD	P0A7W7
253774288	"0,39 | 1,27 | 1,27; |  | 0,61;1,68 | 1,27 | 1,68;0,39 | 4,17 | 1,27;1,27 | 5,09 | 0,64"	ECBD_2919	PAL_ECOLI	C6EJJ6_ECOBD	P0A912
253771816	"1,20 | 1,20 | 1,87; | 1,52 | ;1,87 |  | 1,20"	ECBD_0391	CRP_ECOLI	C6EGA6_ECOBD	P0ACJ8
253775117	"0,50 | 0,59 | 0,41; | 0,33 | ;0,33 |  | 0,26"	ECBD_3776	AMPA_ECOLI	C6EC91_ECOBD	P68767
253773892	"0,03 | 0,35 | 0,18; | 0,13 | 0,13; | 0,03 | ;0,03 | 0,09 | 0,12;0,09 | 0,03 | 0,12"	ECBD_2516	RNE_ECOLI	C6EHC9_ECOBD	P21513
253771868	"2,97 | 2,97 | 1,92; | 0,9 | ;4,39 | 2,97 | 0,58;0,85 | 0,36 | 1,51;0,17 |  | "	ECBD_0443	RL5_ECOLI	C6EGF8_ECOBD	P62399
253772143	"0,08 | 0,41 | 0,41; | 0,21 | ;0,12 |  | 0,17"	ECBD_0720	PARC_ECOLI	C6EHX4_ECOBD	P0AFI2
253774788	"0,43 | 0,31 | 0,71;0,09 |  | "	ECBD_3434	ACCA_ECOLI	C6EAA0_ECOBD	P0ABD5
253771882	"1,88 | 3,41 | 1,33; | 0,18 | ;0,89 | 1,88 | 0,89; | 0,53 | 1,33; | 0,23 | "	ECBD_0457	RL17_ECOLI	C6EGH2_ECOBD	P0AG44
253774795	"1,40 | 0,69 | 0,69;0,16 | 0,56 | 0,35;0,19 | 0,69 | 0,19;0,19 | 1,01 | 0,42;0,69 |  | 0,19"	ECBD_3441	SKP_ECOLI	C6EAA7_ECOBD	P0AEU7
253772607	"  | 0,49 | 0,38; | 0,13 | ;0,22 |  | 0,13"	ECBD_1187	PPK_ECOLI	C6EKL0_ECOBD	P0A7B1
253775175	"0,50 | 2,35 | 1,74; | 0,05 | 0,1; | 1,24 | 0,5;0,50 | 0,50 | 0,83"	ECBD_3834	RS6_ECOLI	C6ECE9_ECOBD	P02358
253774607	"  | 0,54 | 0,40; |  | 0,08;0,16 | 0,62 | 1,27;0,33 | 1,27 | 0,62;0,62 | 0,78 | 0,54"	ECBD_3253	SECD_ECOLI	C6ELH6_ECOBD	P0AG90
253774339	"0,58 | 1,49 | 1,14; |  | 0,16"	ECBD_2974	SEQA_ECOLI	C6EJP7_ECOBD	P0AFY8
253775313	"  | 0,32 | 0,10; |  | ; |  | "	ECBD_3974	UVRA_ECOLI	C6ED66_ECOBD	P0A698
253773927	"0,12 | 0,25 | 0,18; | 0,06 | ; | 0,12 | ;0,06 |  | "	ECBD_2551	OPGG_ECOLI	C6EHG4_ECOBD	P33136
253775173	"1,68 | 1,68 | 1,68; |  | 0,14;0,39 |  | ;0,93 |  | 1,68"	ECBD_3832	RS18_ECOLI	C6ECE7_ECOBD	P0A7T7
253774088	"0,16 | 0,36 | 0,31; | 0,34 | ; | 0,36 | ;0,31 | 0,08 | 0,16"	ECBD_2712	CLPA_ECOLI	C6EI99_ECOBD	P0ABH9
253771940	"1,16 | 1,16 | 0,47; | 0,13 | 0,34; | 0,78 | ;0,47 |  | 0,78; |  | 0,21"	ECBD_0516	RL13_ECOLI	C6EH01_ECOBD	P0AA10
253775370	"0,86 | 1,54 | 2,47;0,29 | 0,29 | 0,54; | 0,36 | 0,36; |  | 0,36"	ECBD_4032	DBHA_ECOLI	C6EE18_ECOBD	P0ACF0
253771941	"1,80 | 2,44 | 2,44; |  | 0,08;1,28 | 2,44 | 1,8;1,28 | 0,51 | 2,44; | 0,23 | "	ECBD_0517	RS9_ECOLI	C6EH02_ECOBD	P0A7X3
253772500	"1,53 | 3,02 | 4,07; | 0,04 | ; | 1,01 | ;0,59 |  | 1,01; | 0,58 | "	ECBD_1080	RL19_ECOLI	C6EJY6_ECOBD	P0A7K6
253772594	"  | 0,46 | 0,16; |  | 0,08;0,08 | 0,58 | 0,16;0,08 | 0,46 | 0,08;0,16 | 0,08 | 0,58"	ECBD_1174	YFGL_ECOLI	C6EKJ7_ECOBD	P77774
253775631	"0,26 | 0,59 | 0,41; | 0,22 | 0,22; | 1,67 | 0,5;1,12 | 1,12 | 0,33;1,52 | 0,12 | 0,50"	ECBD_4298	ATPA_ECOLI	C6EG69_ECOBD	P0ABB0
253773211	"0,15 | 0,23 | 0,23;1,78 | 2,16 | 3,35; | 0,07 | 0,31; | 0,15 | 0,07;0,07 | 0,03 | 0,18"	ECBD_1806	YEBT_ECOLI	C6EBZ5_ECOBD	P76272
253774356	0,28 | 1,25 | 0,38	ECBD_2991	PHOL_ECOLI	C6EK35_ECOBD	P0A9K3
253775196	"  | 0,23 | 0,42; | 0,15 | 0,07; |  | 0,15; | 0,04 | "	ECBD_3855	RNR_ECOLI	C6ECH0_ECOBD	P21499
253773868	"0,22 | 0,40 | 0,31; | 0,09 | 0,09;0,4 | 0,6 | 0,5;0,40 | 0,31 | 0,60;0,22 | 0,14 | 0,40"	ECBD_2492	DHNA_ECOLI	C6EGY3_ECOBD	P00393
253771615	"0,52 | 1,02 | 0,32; |  | 0,2;1,33 | 0,76 | 1,02;0,52 | 1,33 | 0,52;0,52 | 2,08 | 0,76"	ECBD_0185	YIAD_ECOLI	C6EEC9_ECOBD	P37665
253772497	"  | 1,62 | 5,86; | 0,08 | 0,08;0,38 | 0,38 | "	ECBD_1077	RS16_ECOLI	C6EJY3_ECOBD	P0A7T3
253773329	"0,97 | 1,48 | 1,48; |  | 0,11;2,11 | 0,97 | 0,57; | 0,57 | 0,57; | 1,48 | "	ECBD_1929	RL20_ECOLI	C6ECP1_ECOBD	P0A7L3
253772370	"0,52 | 0,42 | 0,32; | 0,07 | ;0,15 | 0,24 | ;0,52 |  | 0,15"	ECBD_0950	ENO_ECOLI	C6EJ93_ECOBD	P0A6P9
253774351	"0,15 | 0,64 | 0,53; | 0,07 | ; |  | 0,07"	ECBD_2986	NAGC_ECOLI	C6EJQ9_ECOBD	P0AF20
253771981	"0,90 |   | 2,61; | 0,17 | 0,17; |  | 0,90"	ECBD_0557	RL27_ECOLI	C6EH42_ECOBD	P0A7L8
253771914	"  | 0,67 | 0,38; | 0,78 | 0,14;0,47 |  | 0,78"	ECBD_0489	ACCC_ECOLI	C6EGK4_ECOBD	P24182
253774823	"0,07 | 0,27 | 0,27; | 0,58 | 0,26; | 0,31 | 0,67;0,11 | 0,27 | 0,27;0,11 | 0,36 | 0,27"	ECBD_3470	PBPB_ECOLI	C6EAD5_ECOBD	P02919
253774829	"0,19 | 0,43 | 0,34; | 0,06 | 0,06; | 0,13 | "	ECBD_3476	PCNB_ECOLI	C6EAE1_ECOBD	P0ABF1
253772571	"0,54 | 0,11 | 0,24; | 0,24 | ; |  | 0,11"	ECBD_1151	SUHB_ECOLI	C6EKH4_ECOBD	P0ADG4
253772574	" | 0,42 | 0,42; | 0,24 | ; |  | 0,07; |  | 0,07"	ECBD_1154	ISCS_ECOLI	C6EKH7_ECOBD	P0A6B7
253772760	"0,76 | 0,10 | 0,76; | 0,1 | "	ECBD_1343	ACCD_ECOLI	C6ELD7_ECOBD	P0A9Q5
253772110	"0,30 | 0,22 | 0,30; | 0,14 | "	ECBD_0687	YGIF_ECOLI	C6EHU1_ECOBD	P30871
253772455	"0,08 | 0,56 | 0,45; |  | ;0,25 | 0,16 | 0,45;0,25 | 0,56 | 0,25;0,35 |  | 0,45"	ECBD_1035	EMRA_ECOLI	C6EJU1_ECOBD	P27303
253771856	"0,76 |   | 0,52; | 0,75 | ; | 1,33 | ;0,32 | 0,32 | 2,08; |  | 0,15"	ECBD_0431	RL3_ECOLI	C6EGE6_ECOBD	P60438
253771867	"  | 1,89 | 2,77; | 0,16 | ;0,70 |  | 2,77;0,70 |  | "	ECBD_0442	RL24_ECOLI	C6EGF7_ECOBD	P60624
253775391	"  | 0,55 |  ; |  | 0,04;0,44 | 3,65 | 0,93;3,65 | 4,00 | 2,47;1,59 | 0,16 | 3,65"	ECBD_4053	EFTU2_ECOLI	C6EE39_ECOBD	P0CE48
253773327	"0,83 | 0,57 | 0,83; | 0,16 | ;0,35 |  | "	ECBD_1927	IF3_ECOLI	C6ECN9_ECOBD	P0A707
253772099	"2,95 | 1,80 | 4,57;0,57 | 0,25 | 0,57; | 0,99 | 2,95; | 0,41 | "	ECBD_0676	RS21_ECOLI	C6EHT0_ECOBD	P68679
253772733	"  | 0,30 | 0,22; |  | 0,5;0,22 |  | 0,58; | 0,39 | ;0,22 | 0,30 | 0,30"	ECBD_1316	FADL_ECOLI	C6ELB0_ECOBD	P10384
253771522	"1,65 | 0,38 | 0,38; | 0,07 | ; |  | 0,38;0,38 |  | "	ECBD_0089	RL28_ECOLI	C6EDF4_ECOBD	P0A7M2
253775575	"0,15 | 0,33 | 0,24; | 0,23 | 0,51;0,24 | 0,42 | 0,42;0,24 | 0,07 | 0,24; | 0,15 | 0,24"	ECBD_4240	HEMY_ECOLI	C6EG13_ECOBD	P0ACB7
253771996	"  | 0,39 | 0,10; | 0,1 | ; | 0,07 | 0,18; |  | 0,03"	ECBD_0572	IF2_ECOLI	C6EH57_ECOBD	P0A705
253773214	"0,44 | 1,33 | 1,07; | 0,27 | "	ECBD_1809	PROQ_ECOLI	C6EBZ8_ECOBD	P45577
253774373	"0,34 | 1,39 |  ;0,16 | 0,08 | 0,35;1,07 | 0,16 | 0,55;0,16 | 1,77 | 0,55;0,34 | 1,39 | 0,55"	ECBD_3010	LPTE_ECOLI	C6EK52_ECOBD	P0ADC1
253772888	"3,07 | 4,40 | 8,47; | 0,08 | 0,08; | 1,32 | "	ECBD_1472	RL25_ECOLI	C6EA12_ECOBD	P68919
253772509	"0,12 | 0,40 | 0,40; | 0,1 | 0,1;0,25 | 0,12 | 0,12; | 1,76 | 0,25;0,40 | 0,12 | 0,76"	ECBD_1089	YFIO_ECOLI	C6EJZ5_ECOBD	P0AC02
253771920	" | 0,67 | 0,09; | 0,04 | 0,04; | 0,82 | 0,09;1,16 | 0,98 | 1,16;0,53 |  | 0,82"	ECBD_0496	MREB_ECOLI	C6EGL0_ECOBD	P0A9X4
253775000	 | 0,29 | 	ECBD_3650	RSMC_ECOLI	C6EBK1_ECOBD	P39406
253775633	"  | 0,14 | 0,56; | 1,43 | 0,46;1,01 | 1,43 | 0,77;1,59 | 0,21 | 1,43"	ECBD_4300	ATPB_ECOLI	C6EG71_ECOBD	P0ABB4
253774793	"0,43 | 0,43 | 1,47; | 0,13 | 0,23; | 0,22 | ;0,72 |  | 0,43"	ECBD_3439	FABZ_ECOLI	C6EAA5_ECOBD	P0A6Q6
253774608	"0,29 | 0,29 | 0,66; |  | 0,06;0,29 | 0,66 | 0,66;0,66 | 0,66 | 0,66;0,29 | 1,76 | 0,66"	ECBD_3254	YAJC_ECOLI	C6ELH7_ECOBD	P0ADZ7
253774185	"0,65 | 2,20 | 0,94; | 1,71 | ;0,94 | 11,09 | 3,46;3,46 |  | 2,78"	ECBD_2811	DPS_ECOLI	C6EIX0_ECOBD	P0ABT2
253771872	"  | 4,28 | 1,04; | 0,1 | 0,28;0,27 |  | ; |  | 1,03"	ECBD_0447	RL18_ECOLI	C6EGG2_ECOBD	P0C018
253774082	0,63 | 2,70 | 0,92	ECBD_2706	LRP_ECOLI	C6EI93_ECOBD	P0ACJ0
253772976	"0,07 | 0,14 | 0,22; | 0,04 | 0,09;0,5 | 0,83 | 0,5;0,71 | 0,60 | 0,71;0,50 | 0,31 | 0,31"	ECBD_1562	GATZ_ECOLI	C6EAL5_ECOBD	P0C8J8
253772595	"  | 0,50 | 0,42; | 0,34 | ;0,50 |  | 0,19"	ECBD_1175	ENGA_ECOLI	C6EKJ8_ECOBD	P0A6P5
253773440	"0,45 | 0,10 | 0,10; | 0,21 | ;0,10 |  | 0,10; |  | 0,10"	ECBD_2042	YDGH_ECOLI	C6EDP4_ECOBD	P76177
253773987	"0,11 | 0,30 | 0,24; | 0,24 | 0,37;0,11 | 0,30 | 0,05;0,11 | 0,05 | "	ECBD_2611	GFCE_ECOLI	C6EHM4_ECOBD	P0A932
253772519	0,09 | 0,40 | 0,18	ECBD_1099	YFIF_ECOLI	C6EK05_ECOBD	P0AGJ5
253774776	"  | 0,52 | 0,23; |  | 0,22;0,23 | 0,23 | 0,23;0,23 | 0,88 | 0,52; | 0,23 | 0,52"	ECBD_3422	RCSF_ECOLI	C6EA88_ECOBD	P69411
253774105	"0,62 | 0,62 | 0,18; | 3,66 | 0,67; | 0,38 | ; | 1,24 | 0,18;0,91 | 0,38 | 0,18"	ECBD_2729	YBJP_ECOLI	C6EIB6_ECOBD	P75818
253774297	"  | 0,18 | 0,12; |  | 0,07;0,39 | 0,25 | 0,64;0,12 | 0,93 | 0,32;0,32 | 0,47 | 0,55"	ECBD_2928	CYDA_ECOLI	C6EJK5_ECOBD	P0ABJ9
253771508	"0,04 | 0,27 | 0,18; | 0,04 | ; |  | 0,08"	ECBD_0075	SPOT_ECOLI	C6EDE0_ECOBD	P0AG24
253771832	"  | 0,92 | 1,98;0,3 | 0,68 | 0,68; | 0,55 | ; |  | 0,55"	ECBD_0407	RS12_ECOLI	C6EGC2_ECOBD	P0A7S3
253774592	"  | 0,59 | 0,34; | 0,06 | "	ECBD_3238	THII_ECOLI	C6EL46_ECOBD	P77718
253772532	" | 0,05 | 0,10;0,09 | 0,09 | 0,3; | 0,61 | ;0,33 | 0,05 | 0,40;0,15 |  | 0,05"	ECBD_1112	LEPA_ECOLI	C6EK18_ECOBD	P60785
253772631	"0,19 | 0,29 | 0,41; |  | 0,11; | 0,68 | 0,29; | 0,54 | 0,29;0,41 | 0,19 | 0,41"	ECBD_1212	NLPB_ECOLI	C6EKN4_ECOBD	P0A903
253771866	"  | 0,56 | 0,56; | 0,19 | ; | 2,05 | ; | 0,25 | 0,56"	ECBD_0441	RL14_ECOLI	C6EGF6_ECOBD	P0ADY3
253773891	"  | 1,41 | 0,19; | 0,09 | "	ECBD_2515	RLUC_ECOLI	C6EHC8_ECOBD	P0AA39
253771869	"0,68 |   | 0,68; | 0,06 | ;0,3 |  | 0,3;0,68 |  | 0,68"	ECBD_0444	RS14_ECOLI	C6EGF9_ECOBD	P0AG59
253774604	"0,21 | 0,21 | 0,10;0,42 | 1,39 | ;0,33 | 0,1 | 0,1;0,10 | 0,33 | ;0,21 | 0,10 | 0,33"	ECBD_3250	TSX_ECOLI	C6ELH3_ECOBD	P0A927
253775195	"  | 0,12 | 0,42; | 0,12 | ;0,26 |  | 0,26"	ECBD_3854	RLMB_ECOLI	C6ECG9_ECOBD	P63177
253775406	"0,10 | 0,21 | 0,21; | 0,32 | ; | 0,1 | 0,62;0,05 | 0,62 | 0,16;0,16 | 0,27 | 0,10"	ECBD_4069	CPTA_ECOLI	C6EE54_ECOBD	P0CB39
253771984	"  | 0,20 | 0,36; |  | 0,13; |  | 0,06"	ECBD_0560	DACB_ECOLI	C6EH45_ECOBD	P24228
253774379	"  | 0,15 | 0,15;0,37 | 0,27 | 0,37; | 0,05 | 0,15; |  | 0,15; | 0,09 | "	ECBD_3016	PBP2_ECOLI	C6EK58_ECOBD	P0AD65
253772000	"  | 0,13 | 0,13; | 0,28 | ; | 0,28 | 0,04;0,09 |  | 0,23"	ECBD_0576	PNP_ECOLI	C6EH61_ECOBD	P05055
253775400	0,20 | 0,10 | 0,58	ECBD_4063	OXYR_ECOLI	C6EE48_ECOBD	P0ACQ4
253773734	"0,21 |   | 0,62;0,10 |  | "	ECBD_2353	RLUB_ECOLI	C6EFW8_ECOBD	P37765
253775134	"  | 0,45 | 0,13; |  | 0,08;0,36 | 0,55 | 0,64;0,28 | 0,55 | 0,45;0,55 | 0,28 | 0,45"	ECBD_3793	PTTBC_ECOLI	C6ECA8_ECOBD	P36672
253774981	"  | 0,29 | 0,14; | 0,29 | ; |  | 0,14"	ECBD_3631	RADA_ECOLI	C6EBI2_ECOBD	P24554
253771999	"0,34 | 0,34 | 0,34; | 0,15 | 0,15; |  | 0,34; | 0,34 | 0,79; |  | 0,34"	ECBD_0575	RS15_ECOLI	C6EH60_ECOBD	P0ADZ4
253774811	"  | 0,21 | 0,07;0,07 | 0,14 | ;0,07 | 0,14 | ;0,14 |  | "	ECBD_3457	DEGP_ECOLI	C6EAC3_ECOBD	P0C0V0
253775331	"  | 0,15 | 0,19; | 0,29 | 0,18; | 0,28 | 0,23;0,19 |  | ;0,04 | 0,32 | "	ECBD_3992	PLSB_ECOLI	C6EDX9_ECOBD	P0A7A7
253773460	"  | 0,53 | 0,53;0,15 |  | "	ECBD_2062	ATDA_ECOLI	C6EDR4_ECOBD	P0A951
253772515	"0,13 | 0,13 | 0,20; | 0,89 | 0,53;0,44 | 0,06 | ; | 0,13 | "	ECBD_1095	PSS_ECOLI	C6EK01_ECOBD	P23830
253774093	0,18 | 0,09 | 0,28	ECBD_2717	YBJX_ECOLI	C6EIA4_ECOBD	P75829
253771523	"  | 0,57 |  ; |  | 0,60"	ECBD_0090	RL33_ECOLI	C6EDF5_ECOBD	P0A7N9
253772337	0,08 | 0,08 | 0,16	ECBD_0916	RLMM_ECOLI	C6EJ60_ECOBD	P0ADR6
253775203	"0,36 |   | 0,36; |  | 0,36"	ECBD_3862	HFQ_ECOLI	C6ECV6_ECOBD	P0A6X3
253772730	"0,25 | 0,25 | 0,25;0,14 | 0,36 | 0,42;0,4 | 0,4 | 0,25;0,12 | 0,40 | ;0,12 | 0,40 | 0,25"	ECBD_1311	MLAA_ECOLI	C6ELA7_ECOBD	P76506
253774954	"  | 0,58 | 0,17; | 0,26 | ; |  | 0,17"	ECBD_3604	DNAJ_ECOLI	C6EB39_ECOBD	P08622
253771874	"  | 1,39 | 4,71; | 0,08 | "	ECBD_0449	RL30_ECOLI	C6EGG4_ECOBD	P0AG51
253774455	"  | 0,32 | 0,75;0,48 | 0,73 | 1,45; |  | 0,32;0,32 | 0,32 | 0,32;0,32 | 0,32 | 0,75"	ECBD_3098	BORD_ECOLI	C6EKD4_ECOBD	P77330
253771639	"  | 0,05 | 0,05;0,65 | 0,94 | 1,3; | 0,03 | 0,19; | 0,22 | 0,03;0,13 |  | 0,32"	ECBD_0209	BCSC_ECOLI	C6EEF3_ECOBD	P37650
253772699	"  | 0,08 | 0,08; | 0,41 | 0,41; | 0,08 | 0,16; |  | 0,08;0,08 |  | 0,08"	ECBD_1280	NUPC_ECOLI	C6EL76_ECOBD	P0AFF2
