Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location	General annotation (CATALYTIC_ACTIVITY)
P0CF53	insD1		INSD1_ECOLI		Predicted		Transposase insD for insertion element IS2A	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	301		Transposase
P0CF54	insD2		INSD2_ECOLI		Predicted		Transposase insD for insertion element IS2D	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	301		Transposase
P0CF55	insD3		INSD3_ECOLI		Predicted		Transposase insD for insertion element IS2F	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	301		Transposase
P0CF56	insD4		INSD4_ECOLI		Predicted		Transposase insD for insertion element IS2H	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	301		Transposase
P0CF57	insD5		INSD5_ECOLI		Predicted		Transposase insD for insertion element IS2I	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	301		Transposase
P0CF58	insD6		INSD6_ECOLI		Predicted		Transposase insD for insertion element IS2K	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	301		Transposase
P0CF59	insD7	ybhB yuaI	INSD7_ECOLI		Predicted		Transposase insD for insertion element IS2 on F plasmid	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	301	Plasmid F	Transposase
P0CF60	insD8		INSD8_ECOLI		Uncertain		Putative transposase insD for insertion element IS2E	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	218		Transposase
P0CF66	insE1		INSE1_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3A	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	99		Transposase
P0CF67	insE2		INSE2_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3B	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	99		Transposase
P0CF68	insE3		INSE3_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3C	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	99		Transposase
P0CF69	insE4		INSE4_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3D	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	99		Transposase
P0CF70	insE5		INSE5_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3E	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	99		Transposase
P0CF71	insE6	yaaA	INSE6_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3fA	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	99	Plasmid F	Transposase
P0CF72	insE7	ybfA	INSE7_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3fB	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	99	Plasmid F	Transposase
P0CF79	insF1		INSF1_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3A	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	288		Transposase
P0CF80	insF2		INSF2_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3B	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	288		Transposase
P0CF81	insF3		INSF3_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3C	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	288		Transposase
P0CF82	insF4		INSF4_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3D	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	288		Transposase
P0CF83	insF5		INSF5_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3E	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	288		Transposase
P0CF84	insF6	yaaB	INSF6_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3fA	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	288	Plasmid F	Transposase
Q9JMT3	insF7	ybfB	INSF7_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3fB	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	288	Plasmid F	Transposase
P03835	insG		INSG_ECOLI		Inferred from homology	Transposase 11 family	Transposase insG for insertion sequence element IS4	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	442		Transposase
P0CE49	insH1		INSH1_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5A	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Transposase
P0CE50	insH2		INSH2_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5B	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Transposase
P0CE51	insH3		INSH3_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5D	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Transposase
P0CE52	insH4		INSH4_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5F	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Transposase
P76071	insH5		INSH5_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5Y	"GO:0003677; GO:0016563; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	326		Transposase
P0CE53	insH6		INSH6_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5H	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Transposase
P0CE54	insH7		INSH7_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5I	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Transposase
P0CE55	insH8		INSH8_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5K	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Transposase
P0CE56	insH9		INSH9_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5LO	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Transposase
P0CF88	insI1		INSI1_ECOLI		Inferred from homology	Transposase IS30 family	Transposase InsI for insertion sequence element IS30A	"GO:0003677; GO:0015074; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	383		Transposase
P0CF89	insI3		INSI3_ECOLI		Inferred from homology	Transposase IS30 family	Transposase InsI for insertion sequence element IS30C	"GO:0003677; GO:0015074; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	383		Transposase
P0CF90	insI4		INSI4_ECOLI		Inferred from homology	Transposase IS30 family	Transposase InsI for insertion sequence element IS30D	"GO:0003677; GO:0015074; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	383		Transposase
P19769	insK		INSK_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Putative transposase InsK for insertion sequence element IS150	"GO:0003677; GO:0015074; GO:0006310; GO:0006974; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	283		Transposase
P0CF91	insL1		INSL1_ECOLI		Inferred from homology	Transposase 11 family	Putative transposase InsL for insertion sequence element IS186A	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	370		Transposase
P0CF92	insL2		INSL2_ECOLI		Inferred from homology	Transposase 11 family	Putative transposase InsL for insertion sequence element IS186B	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	370		Transposase
P0CF93	insL3		INSL3_ECOLI		Inferred from homology	Transposase 11 family	Putative transposase InsL for insertion sequence element IS186C	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	370		Transposase
P75679	insN1		INSN1_ECOLI		Inferred from homology	Transposase 8 family	Transposase insN for insertion sequence element IS911A	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	134		Transposase
P39212	insN2		INSN2_ECOLI		Inferred from homology	Transposase 8 family	Transposase insN for insertion sequence element IS911B	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	100		Transposase
P75680	insO1		INSO1_ECOLI		Uncertain		Putative transposase insO for insertion sequence element IS911A	GO:0032196	"Complete proteome; Transposable element; Transposition"	141		Transposase
Q47718	insO2		INSO2_ECOLI		Uncertain		Putative transposase insO for insertion sequence element IS911B	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	198		Transposase
P76102	insQ	tnpB ydcM	INSQ_ECOLI		Inferred from homology	"Transposase 2 family; Transposase 35 family"	Putative transposase InsQ for insertion sequence element IS609	"GO:0003677; GO:0006310; GO:0046872; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Metal-binding; Transposable element; Transposition; Zinc"	382		Transposase
Q00037	tnpA		TNPA_ECOLI		Inferred from homology	Transposase 7 family	Transposase for transposon gamma-delta (Transposon Tn1000 transposase)	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	1002	Plasmid F	Transposase
P31665	yadD		YADD_ECOLI		Inferred from homology	YadD/yfaD/yhgA/yjiP family	Uncharacterized protein yadD		Complete proteome	300		Transposase
P28916	ybfD		YBFD_ECOLI		Inferred from homology	Transposase 11 family	H repeat-associated protein ybfD (ORF-H3)	"GO:0003677; GO:0004803; GO:0006313"	Complete proteome	253		Transposase
P75741	ybfL		YBFL_ECOLI		Uncertain	Transposase 11 family	Putative protein ybfL (H repeat-associated protein in rhsC-phrB intergenic region) (ORF-H2)	"GO:0003677; GO:0004803; GO:0006313"	Complete proteome	378		Transposase
Q2EEQ8	ybfQ		YBFQ_ECOLI		Uncertain		Putative defective transposase ybfQ		Complete proteome	84		Transposase
P30192	ychG		YCHG_ECOLI		Uncertain		Putative uncharacterized protein ychG	"GO:0003677; GO:0004803; GO:0006313"	Complete proteome	299		Transposase
P28917	ydcC		YDCC_ECOLI		Evidence at protein level	Transposase 11 family	H repeat-associated protein ydcC (ORF-H)	"GO:0003677; GO:0005515; GO:0004803; GO:0006313"	Complete proteome	378		Transposase
P37014	yfaD		YFAD_ECOLI		Inferred from homology	YadD/yfaD/yhgA/yjiP family	Uncharacterized protein yfaD		Complete proteome	299		Transposase
P77768	yfcI		YFCI_ECOLI		Inferred from homology	YadD/yfaD/yhgA/yjiP family	Uncharacterized protein yfcI		Complete proteome	296		Transposase
P31667	yhgA		YHGA_ECOLI		Inferred from homology	YadD/yfaD/yhgA/yjiP family	Uncharacterized protein yhgA		Complete proteome	292		Transposase
P28912	yhhI		YHHI_ECOLI		Evidence at protein level	Transposase 11 family	H repeat-associated protein yhhI (ORF-H)	"GO:0003677; GO:0005515; GO:0004803; GO:0006313"	Complete proteome	378		Transposase
P39387	yjiP	yjiQ	YJIP_ECOLI		Uncertain	YadD/yfaD/yhgA/yjiP family	Putative uncharacterized protein yjiP	GO:0005515	Complete proteome	306		Transposase
Q79E92	ykgN		YKGN_ECOLI		Uncertain	Transposase 8 family	Putative transposase ykgN	"GO:0003677; GO:0004803; GO:0006313"	Complete proteome	112		Transposase
P76119	yncI	yncM	YNCI_ECOLI		Uncertain	Transposase 11 family	Putative transposase yncI	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	374		Transposase
