Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location	General annotation (CATALYTIC_ACTIVITY)
P0CF81	insF3		INSF3_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3C	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	288		Insertion Sequence
P0CF82	insF4		INSF4_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3D	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	288		Insertion Sequence
P0CF83	insF5		INSF5_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3E	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	288		Insertion Sequence
P0CF84	insF6	yaaB	INSF6_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3fA	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	288	Plasmid F	Insertion Sequence
Q9JMT3	insF7	ybfB	INSF7_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3fB	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	288	Plasmid F	Insertion Sequence
P03835	insG		INSG_ECOLI		Inferred from homology	Transposase 11 family	Transposase insG for insertion sequence element IS4	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	442		Insertion Sequence
P0CE49	insH1		INSH1_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5A	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Insertion Sequence
P0CE50	insH2		INSH2_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5B	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Insertion Sequence
P0CE51	insH3		INSH3_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5D	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Insertion Sequence
P0CE52	insH4		INSH4_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5F	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Insertion Sequence
P76071	insH5		INSH5_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5Y	"GO:0003677; GO:0016563; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	326		Insertion Sequence
P0CE53	insH6		INSH6_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5H	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Insertion Sequence
P0CE54	insH7		INSH7_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5I	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Insertion Sequence
P0CE55	insH8		INSH8_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5K	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Insertion Sequence
P0CE56	insH9		INSH9_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5LO	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Insertion Sequence
P0CF88	insI1		INSI1_ECOLI		Inferred from homology	Transposase IS30 family	Transposase InsI for insertion sequence element IS30A	"GO:0003677; GO:0015074; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	383		Insertion Sequence
P0CF89	insI3		INSI3_ECOLI		Inferred from homology	Transposase IS30 family	Transposase InsI for insertion sequence element IS30C	"GO:0003677; GO:0015074; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	383		Insertion Sequence
P0CF90	insI4		INSI4_ECOLI		Inferred from homology	Transposase IS30 family	Transposase InsI for insertion sequence element IS30D	"GO:0003677; GO:0015074; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	383		Insertion Sequence
P19769	insK		INSK_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Putative transposase InsK for insertion sequence element IS150	"GO:0003677; GO:0015074; GO:0006310; GO:0006974; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	283		Insertion Sequence
P0CF91	insL1		INSL1_ECOLI		Inferred from homology	Transposase 11 family	Putative transposase InsL for insertion sequence element IS186A	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	370		Insertion Sequence
P0CF92	insL2		INSL2_ECOLI		Inferred from homology	Transposase 11 family	Putative transposase InsL for insertion sequence element IS186B	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	370		Insertion Sequence
P0CF93	insL3		INSL3_ECOLI		Inferred from homology	Transposase 11 family	Putative transposase InsL for insertion sequence element IS186C	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	370		Insertion Sequence
P75679	insN1		INSN1_ECOLI		Inferred from homology	Transposase 8 family	Transposase insN for insertion sequence element IS911A	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	134		Insertion Sequence
P39212	insN2		INSN2_ECOLI		Inferred from homology	Transposase 8 family	Transposase insN for insertion sequence element IS911B	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	100		Insertion Sequence
P75680	insO1		INSO1_ECOLI		Uncertain		Putative transposase insO for insertion sequence element IS911A	GO:0032196	"Complete proteome; Transposable element; Transposition"	141		Insertion Sequence
Q47718	insO2		INSO2_ECOLI		Uncertain		Putative transposase insO for insertion sequence element IS911B	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	198		Insertion Sequence
P76102	insQ	tnpB ydcM	INSQ_ECOLI		Inferred from homology	"Transposase 2 family; Transposase 35 family"	Putative transposase InsQ for insertion sequence element IS609	"GO:0003677; GO:0006310; GO:0046872; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Metal-binding; Transposable element; Transposition; Zinc"	382		Insertion Sequence
P77184	lomR		LOMR_ECOLI		Uncertain	Ail/ompX/pagC/lom family	Putative protein lomR	"GO:0009279; GO:0016021"	Complete proteome	164		Insertion Sequence
P75697	yaiX	yaiF	YAIX_ECOLI		Uncertain	Transferase hexapeptide repeat family	Putative uncharacterized acetyltransferase yaiX (EC 2.3.1.-)	GO:0008415	"Acyltransferase; Complete proteome; Repeat; Transferase"	230		Insertion Sequence
P33924	yejO		YEJO_ECOLI	"Cell outer membrane; Peripheral membrane protein. "	Uncertain		Putative uncharacterized outer membrane protein yejO	"GO:0007155; GO:0009279; GO:0016021; GO:0005886"	"Cell membrane; Cell outer membrane; Complete proteome; Membrane; Signal; Transmembrane; Transmembrane beta strand"	863		Insertion Sequence
