Merge ID	OurStudy_Feb2011CEPNonDet_BL21	OurStudy_Feb2011CEPNonDet	TableS4_BL21_DE3_ProteomeV8	TableS6_MatchingK12_BL21(DE3)_V2	# Studies	OurStudy_Feb2011CEPNonDet_BL21 Duplicates	OurStudy_Feb2011CEPNonDet Duplicates	TableS4_BL21_DE3_ProteomeV8 Duplicates	TableS6_MatchingK12_BL21(DE3)_V2 Duplicates	K12 Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	Merge ID	OurStudy_Feb2011_Common	K12 Entry name (Uniprot)	Category	BL21(DE3) Entry name (Uniprot)
YTFF_ECOLI	1	1	1	1	4	1	1	1	1	YTFF_ECOLI	C6ECD4_ECOBD	YTFF_ECOLI		YTFF_ECOLI	B	C6ECD4_ECOBD
YTCA_ECOLI	1	1	1	1	4	1	1	1	1	YTCA_ECOLI	C6ED41_ECOBD	YTCA_ECOLI		YTCA_ECOLI	B	C6ED41_ECOBD
YSAB_ECOLI	1	1	1	1	4	1	1	1	1	YSAB_ECOLI	C6EEB8_ECOBD	YSAB_ECOLI		YSAB_ECOLI	I	C6EEB8_ECOBD
YRFD_ECOLI	1	1	1	1	4	1	1	1	1	YRFD_ECOLI	C6EFI1_ECOBD	YRFD_ECOLI		YRFD_ECOLI	G	C6EFI1_ECOBD
YRFC_ECOLI	1	1	1	1	4	1	1	1	1	YRFC_ECOLI	C6EFI2_ECOBD	YRFC_ECOLI		YRFC_ECOLI	B	C6EFI2_ECOBD
YRFB_ECOLI	1	1	1	1	4	1	1	1	1	YRFB_ECOLI	C6EFI3_ECOBD	YRFB_ECOLI		YRFB_ECOLI	B	C6EFI3_ECOBD
YRFA_ECOLI	1	1	1	1	4	1	1	1	1	YRFA_ECOLI	C6EFI4_ECOBD	YRFA_ECOLI		YRFA_ECOLI	B	C6EFI4_ECOBD
YRBG_ECOLI	1	1	1	1	4	1	1	1	1	YRBG_ECOLI	C6EH31_ECOBD	YRBG_ECOLI		YRBG_ECOLI	B	C6EH31_ECOBD
YRAQ_ECOLI	1	1	1	1	4	1	1	1	1	YRAQ_ECOLI	C6EH74_ECOBD	YRAQ_ECOLI		YRAQ_ECOLI	B	C6EH74_ECOBD
YRAK_ECOLI	1	1	1	1	4	1	1	1	1	YRAK_ECOLI	C6EH80_ECOBD	YRAK_ECOLI		YRAK_ECOLI	G	C6EH80_ECOBD
YRAJ_ECOLI	1	1	1	1	4	1	1	1	1	YRAJ_ECOLI	C6EH81_ECOBD	YRAJ_ECOLI		YRAJ_ECOLI	H	C6EH81_ECOBD
YRAI_ECOLI	1	1	1	1	4	1	1	1	1	YRAI_ECOLI	C6EH82_ECOBD	YRAI_ECOLI		YRAI_ECOLI	G	C6EH82_ECOBD
YRAH_ECOLI	1	1	1	1	4	1	1	1	1	YRAH_ECOLI	C6EH83_ECOBD	YRAH_ECOLI		YRAH_ECOLI	G	C6EH83_ECOBD
YQJF_ECOLI	1	1	1	1	4	1	1	1	1	YQJF_ECOLI	C6EHP2_ECOBD	YQJF_ECOLI		YQJF_ECOLI	B	C6EHP2_ECOBD
YQJC_ECOLI	1	1	1	1	4	1	1	1	1	YQJC_ECOLI	C6EHP6_ECOBD	YQJC_ECOLI		YQJC_ECOLI	G	C6EHP6_ECOBD
YQJB_ECOLI	1	1	1	1	4	1	1	1	1	YQJB_ECOLI	C6EHP7_ECOBD	YQJB_ECOLI		YQJB_ECOLI	B	C6EHP7_ECOBD
YQJA_ECOLI	1	1	1	1	4	1	1	1	1	YQJA_ECOLI	C6EHP8_ECOBD	YQJA_ECOLI		YQJA_ECOLI	B	C6EHP8_ECOBD
YQIK_ECOLI	1	1	1	1	4	1	1	1	1	YQIK_ECOLI	C6EHU4_ECOBD	YQIK_ECOLI		YQIK_ECOLI	B	C6EHU4_ECOBD
YQIJ_ECOLI	1	1	1	1	4	1	1	1	1	YQIJ_ECOLI	C6EHU5_ECOBD	YQIJ_ECOLI		YQIJ_ECOLI	B	C6EHU5_ECOBD
YQII_ECOLI	1	1	1	1	4	1	1	1	1	YQII_ECOLI	C6EHU7_ECOBD	YQII_ECOLI		YQII_ECOLI	G	C6EHU7_ECOBD
YQIH_ECOLI	1	1	1	1	4	1	1	1	1	YQIH_ECOLI	C6EHU8_ECOBD	YQIH_ECOLI		YQIH_ECOLI	H	C6EHU8_ECOBD
YQIG_ECOLI	1	1	1	1	4	1	1	1	1	YQIG_ECOLI	C6EHU9_ECOBD	YQIG_ECOLI		YQIG_ECOLI	H	C6EHU9_ECOBD
YQHH_ECOLI	1	1	1	1	4	1	1	1	1	YQHH_ECOLI	C6EHX9_ECOBD	YQHH_ECOLI		YQHH_ECOLI	I	C6EHX9_ECOBD
YQHG_ECOLI	1	1	1	1	4	1	1	1	1	YQHG_ECOLI	C6EHY0_ECOBD	YQHG_ECOLI		YQHG_ECOLI	G	C6EHY0_ECOBD
YQGD_ECOLI	1	1	1	1	4	1	1	1	1	YQGD_ECOLI	C6EIH0_ECOBD	YQGD_ECOLI		YQGD_ECOLI	B	C6EIH0_ECOBD
YQGA_ECOLI	1	1	1	1	4	1	1	1	1	YQGA_ECOLI	C6EIE3_ECOBD	YQGA_ECOLI		YQGA_ECOLI	B	C6EIE3_ECOBD
YQFG_ECOLI	1	1	1	1	4	1	1	1	1	YQFG_ECOLI	C6EIM0_ECOBD	YQFG_ECOLI		YQFG_ECOLI	B	C6EIM0_ECOBD
YQFA_ECOLI	1	1	1	1	4	1	1	1	1	YQFA_ECOLI	C6EIK9_ECOBD	YQFA_ECOLI		YQFA_ECOLI	B	C6EIK9_ECOBD
YQEB_ECOLI	1	1	1	1	4	1	1	1	1	YQEB_ECOLI	C6EIN3_ECOBD	YQEB_ECOLI		YQEB_ECOLI	B	C6EIN3_ECOBD
YQCE_ECOLI	1	1	1	1	4	1	1	1	1	YQCE_ECOLI	C6EJ98_ECOBD	YQCE_ECOLI		YQCE_ECOLI	B	C6EJ98_ECOBD
YQAE_ECOLI	1	1	1	1	4	1	1	1	1	YQAE_ECOLI	C6EJV9_ECOBD	YQAE_ECOLI		YQAE_ECOLI	B	C6EJV9_ECOBD
YQAA_ECOLI	1	1	1	1	4	1	1	1	1	YQAA_ECOLI	C6EJT7_ECOBD	YQAA_ECOLI		YQAA_ECOLI	B	C6EJT7_ECOBD
YPHF_ECOLI	1	1	1	1	4	1	1	1	1	YPHF_ECOLI	C6EKF9_ECOBD	YPHF_ECOLI		YPHF_ECOLI	G	C6EKF9_ECOBD
YPHD_ECOLI	1	1	1	1	4	1	1	1	1	YPHD_ECOLI	C6EKG1_ECOBD	YPHD_ECOLI		YPHD_ECOLI	B	C6EKG1_ECOBD
YPHC_ECOLI	1	1	1	1	4	1	1	1	1	YPHC_ECOLI	C6EKG2_ECOBD	YPHC_ECOLI		YPHC_ECOLI	B	C6EKG2_ECOBD
YPHA_ECOLI	1	1	1	1	4	1	1	1	1	YPHA_ECOLI	C6EKG4_ECOBD	YPHA_ECOLI		YPHA_ECOLI	B	C6EKG4_ECOBD
YPFN_ECOLI	1	1	1	1	4	1	1	1	1	YPFN_ECOLI	C6EKN9_ECOBD	YPFN_ECOLI		YPFN_ECOLI	B	C6EKN9_ECOBD
YPFI_ECOLI	1	1	1	1	4	1	1	1	1	YPFI_ECOLI	C6EKN7_ECOBD	YPFI_ECOLI		YPFI_ECOLI	B	C6EKN7_ECOBD
YPFG_ECOLI	1	1	1	1	4	1	1	1	1	YPFG_ECOLI	C6EKP6_ECOBD	YPFG_ECOLI		YPFG_ECOLI	G	C6EKP6_ECOBD
YPEC_ECOLI	1	1	1	1	4	2	1	2	2	YPEC_ECOLI	C6EBG4_ECOBD	YPEC_ECOLI		YPEC_ECOLI	G	C6EBG4_ECOBD
YPDI_ECOLI	1	1	1	1	4	1	1	1	1	YPDI_ECOLI	C6EL92_ECOBD	YPDI_ECOLI		YPDI_ECOLI	I	C6EL92_ECOBD
YOJO_ECOLI	1	1	1	1	4	1	1	1	1	YOJO_ECOLI	C6E9Z1_ECOBD	YOJO_ECOLI		YOJO_ECOLI	B	C6E9Z1_ECOBD
YOHO_ECOLI	1	1	1	1	4	1	1	1	1	YOHO_ECOLI	C6EAI4_ECOBD	YOHO_ECOLI		YOHO_ECOLI	B	C6EAI4_ECOBD
YOHK_ECOLI	1	1	1	1	4	1	1	1	1	YOHK_ECOLI	C6EAH0_ECOBD	YOHK_ECOLI		YOHK_ECOLI	B	C6EAH0_ECOBD
YOHC_ECOLI	1	1	1	1	4	1	1	1	1	YOHC_ECOLI	C6EAH6_ECOBD	YOHC_ECOLI		YOHC_ECOLI	B	C6EAH6_ECOBD
YOEA_ECOLI	1	1	1	1	4	1	1	1	1	YOEA_ECOLI	C6EB78_ECOBD	YOEA_ECOLI		YOEA_ECOLI	H	C6EB78_ECOBD
YODA_ECOLI	1	1	1	1	4	1	1	1	1	YODA_ECOLI	C6EB93_ECOBD	YODA_ECOLI		YODA_ECOLI	G	C6EB93_ECOBD
YOBD_ECOLI	1	1	1	1	4	1	1	1	1	YOBD_ECOLI	C6EC10_ECOBD	YOBD_ECOLI		YOBD_ECOLI	B	C6EC10_ECOBD
YOBA_ECOLI	1	1	1	1	4	1	1	1	1	YOBA_ECOLI	C6EBY8_ECOBD	YOBA_ECOLI		YOBA_ECOLI	G	C6EBY8_ECOBD
YNJI_ECOLI	1	1	1	1	4	1	1	1	1	YNJI_ECOLI	C6ECJ5_ECOBD	YNJI_ECOLI		YNJI_ECOLI	B	C6ECJ5_ECOBD
YNJH_ECOLI	1	1	1	1	4	1	1	1	1	YNJH_ECOLI	C6ECJ7_ECOBD	YNJH_ECOLI		YNJH_ECOLI	G	C6ECJ7_ECOBD
YNJF_ECOLI	1	1	1	1	4	1	1	1	1	YNJF_ECOLI	C6ECJ9_ECOBD	YNJF_ECOLI		YNJF_ECOLI	B	C6ECJ9_ECOBD
YNJE_ECOLI	1	1	1	1	4	1	1	1	1	YNJE_ECOLI	C6ECK0_ECOBD	YNJE_ECOLI		YNJE_ECOLI	G	C6ECK0_ECOBD
YNJC_ECOLI	1	1	1	1	4	1	1	1	1	YNJC_ECOLI	C6ECK2_ECOBD	YNJC_ECOLI		YNJC_ECOLI	B	C6ECK2_ECOBD
YNID_ECOLI	1	1	1	1	4	1	1	1	1	YNID_ECOLI	C6ECN7_ECOBD	YNID_ECOLI		YNID_ECOLI	B	C6ECN7_ECOBD
YNFM_ECOLI	1	1	1	1	4	1	1	1	1	YNFM_ECOLI	C6EDQ2_ECOBD	YNFM_ECOLI		YNFM_ECOLI	B	C6EDQ2_ECOBD
YNFD_ECOLI	1	1	1	1	4	1	1	1	1	YNFD_ECOLI	C6EDR2_ECOBD	YNFD_ECOLI		YNFD_ECOLI	G	C6EDR2_ECOBD
YNFA_ECOLI	1	1	1	1	4	1	1	1	1	YNFA_ECOLI	C6EDR6_ECOBD	YNFA_ECOLI		YNFA_ECOLI	B	C6EDR6_ECOBD
YNEN_ECOLI	1	1	1	1	4	1	1	1	1	YNEN_ECOLI	C6EEL7_ECOBD	YNEN_ECOLI		YNEN_ECOLI	B	C6EEL7_ECOBD
YNEM_ECOLI	1	1	1	1	4	1	1	1	1	YNEM_ECOLI	C6EDV2_ECOBD	YNEM_ECOLI		YNEM_ECOLI	B	C6EDV2_ECOBD
YNEF_ECOLI	1	1	1	1	4	1	1	1	1	YNEF_ECOLI	C6EDW7_ECOBD	YNEF_ECOLI		YNEF_ECOLI	B	C6EDW7_ECOBD
YNEE_ECOLI	1	1	1	1	4	1	1	1	1	YNEE_ECOLI	C6EEK3_ECOBD	YNEE_ECOLI		YNEE_ECOLI	B	C6EEK3_ECOBD
YNCJ_ECOLI	1	1	1	1	4	1	1	1	1	YNCJ_ECOLI	C6EES7_ECOBD	YNCJ_ECOLI		YNCJ_ECOLI	G	C6EES7_ECOBD
YNCH_ECOLI	1	1	1	1	4	1	1	1	1	YNCH_ECOLI	C6EEQ7_ECOBD	YNCH_ECOLI		YNCH_ECOLI	B	C6EEQ7_ECOBD
YNBD_ECOLI	1	1	1	1	4	1	1	1	1	YNBD_ECOLI	C6EEV2_ECOBD	YNBD_ECOLI		YNBD_ECOLI	B	C6EEV2_ECOBD
YNBA_ECOLI	1	1	1	1	4	1	1	1	1	YNBA_ECOLI	C6EEV5_ECOBD	YNBA_ECOLI		YNBA_ECOLI	B	C6EEV5_ECOBD
YNAJ_ECOLI	1	1	1	1	4	1	1	1	1	YNAJ_ECOLI	C6EFQ0_ECOBD	YNAJ_ECOLI		YNAJ_ECOLI	B	C6EFQ0_ECOBD
YMIB_ECOLI	1	1	1	1	4	1	1	1	1	YMIB_ECOLI	C6EFU7_ECOBD	YMIB_ECOLI		YMIB_ECOLI	B	C6EFU7_ECOBD
YMGG_ECOLI	1	1	1	1	4	1	1	1	1	YMGG_ECOLI	C6EGU3_ECOBD	YMGG_ECOLI		YMGG_ECOLI	B	C6EGU3_ECOBD
YMGF_ECOLI	1	1	1	1	4	1	1	1	1	YMGF_ECOLI	C6EGU5_ECOBD	YMGF_ECOLI		YMGF_ECOLI	B	C6EGU5_ECOBD
YMGE_ECOLI	1	1	1	1	4	2	1	2	2	YMGE_ECOLI	C6EC36_ECOBD	YMGE_ECOLI		YMGE_ECOLI	B	C6EC36_ECOBD
YMGD_ECOLI	1	1	1	1	4	1	1	1	1	YMGD_ECOLI	C6EGU4_ECOBD	YMGD_ECOLI		YMGD_ECOLI	G	C6EGU4_ECOBD
YMFA_ECOLI	1	1	1	1	4	1	1	1	1	YMFA_ECOLI	C6EGW9_ECOBD	YMFA_ECOLI		YMFA_ECOLI	B	C6EGW9_ECOBD
YMDA_ECOLI	1	1	1	1	4	1	1	1	1	YMDA_ECOLI	C6EHG8_ECOBD	YMDA_ECOLI		YMDA_ECOLI	G	C6EHG8_ECOBD
YLII_ECOLI	1	1	1	1	4	1	1	1	1	YLII_ECOLI	C6EIU6_ECOBD	YLII_ECOLI		YLII_ECOLI	G	C6EIU6_ECOBD
YKGR_ECOLI	1	1	1	1	4	1	1	1	1	YKGR_ECOLI	C6ELT2_ECOBD	YKGR_ECOLI		YKGR_ECOLI	B	C6ELT2_ECOBD
YKGJ_ECOLI	1	1	1	1	4	1	1	1	1	YKGJ_ECOLI	C6EA35_ECOBD	YKGJ_ECOLI		YKGJ_ECOLI	G	C6EA35_ECOBD
YKGI_ECOLI	1	1	1	1	4	1	1	1	1	YKGI_ECOLI	C6ELS8_ECOBD	YKGI_ECOLI		YKGI_ECOLI	G	C6ELS8_ECOBD
YKGH_ECOLI	1	1	1	1	4	1	1	1	1	YKGH_ECOLI	C6ELS1_ECOBD	YKGH_ECOLI		YKGH_ECOLI	B	C6ELS1_ECOBD
YKGD_ECOLI	1	1	1	1	4	1	1	1	1	YKGD_ECOLI	C6ELS6_ECOBD	YKGD_ECOLI		YKGD_ECOLI	B	C6ELS6_ECOBD
YKGB_ECOLI	1	1	1	1	4	1	1	1	1	YKGB_ECOLI	C6ELS9_ECOBD	YKGB_ECOLI		YKGB_ECOLI	B	C6ELS9_ECOBD
YJJZ_ECOLI	1	1	1	1	4	1	1	1	1	YJJZ_ECOLI	C6EBK2_ECOBD	YJJZ_ECOLI		YJJZ_ECOLI	B	C6EBK2_ECOBD
YJJP_ECOLI	1	1	1	1	4	1	1	1	1	YJJP_ECOLI	C6EBK6_ECOBD	YJJP_ECOLI		YJJP_ECOLI	B	C6EBK6_ECOBD
YJJN_ECOLI	1	1	1	1	4	1	1	1	1	YJJN_ECOLI	C6EBL2_ECOBD	YJJN_ECOLI		YJJN_ECOLI	B	C6EBL2_ECOBD
YJJL_ECOLI	1	1	1	1	4	1	1	1	1	YJJL_ECOLI	C6EBL3_ECOBD	YJJL_ECOLI		YJJL_ECOLI	B	C6EBL3_ECOBD
YJJB_ECOLI	1	1	1	1	4	1	1	1	1	YJJB_ECOLI	C6EBK7_ECOBD	YJJB_ECOLI		YJJB_ECOLI	B	C6EBK7_ECOBD
YJJA_ECOLI	1	1	1	1	4	1	1	1	1	YJJA_ECOLI	C6EBL0_ECOBD	YJJA_ECOLI		YJJA_ECOLI	G	C6EBL0_ECOBD
YJIJ_ECOLI	1	1	1	1	4	1	1	1	1	YJIJ_ECOLI	C6EBP7_ECOBD	YJIJ_ECOLI		YJIJ_ECOLI	B	C6EBP7_ECOBD
YJIH_ECOLI	1	1	1	1	4	1	1	1	1	YJIH_ECOLI	C6EBP9_ECOBD	YJIH_ECOLI		YJIH_ECOLI	B	C6EBP9_ECOBD
YJIG_ECOLI	1	1	1	1	4	1	1	1	1	YJIG_ECOLI	C6EBQ0_ECOBD	YJIG_ECOLI		YJIG_ECOLI	B	C6EBQ0_ECOBD
YJIE_ECOLI	1	1	1	1	4	1	1	1	1	YJIE_ECOLI	C6EBQ2_ECOBD	YJIE_ECOLI		YJIE_ECOLI	B	C6EBQ2_ECOBD
YJHB_ECOLI	1	1	1	1	4	1	1	1	1	YJHB_ECOLI	C6EC79_ECOBD	YJHB_ECOLI		YJHB_ECOLI	B	C6EC79_ECOBD
YJGN_ECOLI	1	1	1	1	4	1	1	1	1	YJGN_ECOLI	C6EC94_ECOBD	YJGN_ECOLI		YJGN_ECOLI	B	C6EC94_ECOBD
YJFY_ECOLI	1	1	1	1	4	1	1	1	1	YJFY_ECOLI	C6ECF0_ECOBD	YJFY_ECOLI		YJFY_ECOLI	G	C6ECF0_ECOBD
YJFN_ECOLI	1	1	1	1	4	1	1	1	1	YJFN_ECOLI	C6ECG1_ECOBD	YJFN_ECOLI		YJFN_ECOLI	G	C6ECG1_ECOBD
YJFM_ECOLI	1	1	1	1	4	1	1	1	1	YJFM_ECOLI	C6ECG4_ECOBD	YJFM_ECOLI		YJFM_ECOLI	B	C6ECG4_ECOBD
YJFL_ECOLI	1	1	1	1	4	1	1	1	1	YJFL_ECOLI	C6ECG5_ECOBD	YJFL_ECOLI		YJFL_ECOLI	B	C6ECG5_ECOBD
YJFF_ECOLI	1	1	1	1	4	1	1	1	1	YJFF_ECOLI	C6ECB8_ECOBD	YJFF_ECOLI		YJFF_ECOLI	B	C6ECB8_ECOBD
YJEM_ECOLI	1	1	1	1	4	1	1	1	1	YJEM_ECOLI	C6ECW7_ECOBD	YJEM_ECOLI		YJEM_ECOLI	B	C6ECW7_ECOBD
YJEH_ECOLI	1	1	1	1	4	1	1	1	1	YJEH_ECOLI	C6ECY4_ECOBD	YJEH_ECOLI		YJEH_ECOLI	B	C6ECY4_ECOBD
YJDO_ECOLI	1	1	1	1	4	1	1	1	1	YJDO_ECOLI	C6ECZ6_ECOBD	YJDO_ECOLI		YJDO_ECOLI	B	C6ECZ6_ECOBD
YJDL_ECOLI	1	1	1	1	4	1	1	1	1	YJDL_ECOLI	C6ECZ4_ECOBD	YJDL_ECOLI		YJDL_ECOLI	B	C6ECZ4_ECOBD
YJCS_ECOLI	1	1	1	1	4	1	1	1	1	YJCS_ECOLI	C6ED40_ECOBD	YJCS_ECOLI		YJCS_ECOLI	G	C6ED40_ECOBD
YJCO_ECOLI	1	1	1	1	4	1	1	1	1	YJCO_ECOLI	C6ED47_ECOBD	YJCO_ECOLI		YJCO_ECOLI	G	C6ED47_ECOBD
YJCC_ECOLI	1	1	1	1	4	1	1	1	1	YJCC_ECOLI	C6ED63_ECOBD	YJCC_ECOLI		YJCC_ECOLI	B	C6ED63_ECOBD
YJCB_ECOLI	1	1	1	1	4	1	1	1	1	YJCB_ECOLI	C6ED64_ECOBD	YJCB_ECOLI		YJCB_ECOLI	B	C6ED64_ECOBD
YJBT_ECOLI	1	1	1	1	4	1	1	1	1	YJBT_ECOLI	C6EDZ4_ECOBD	YJBT_ECOLI		YJBT_ECOLI	B	C6EDZ4_ECOBD
YJBH_ECOLI	1	1	1	1	4	1	1	1	1	YJBH_ECOLI	C6EDZ5_ECOBD	YJBH_ECOLI		YJBH_ECOLI	E	C6EDZ5_ECOBD
YJBG_ECOLI	1	1	1	1	4	1	1	1	1	YJBG_ECOLI	C6EDZ6_ECOBD	YJBG_ECOLI		YJBG_ECOLI	G	C6EDZ6_ECOBD
YJBF_ECOLI	1	1	1	1	4	1	1	1	1	YJBF_ECOLI	C6EDZ7_ECOBD	YJBF_ECOLI		YJBF_ECOLI	I	C6EDZ7_ECOBD
YJBE_ECOLI	1	1	1	1	4	1	1	1	1	YJBE_ECOLI	C6EDZ8_ECOBD	YJBE_ECOLI		YJBE_ECOLI	G	C6EDZ8_ECOBD
YIJF_ECOLI	1	1	1	1	4	1	1	1	1	YIJF_ECOLI	C6EE64_ECOBD	YIJF_ECOLI		YIJF_ECOLI	G	C6EE64_ECOBD
YIJE_ECOLI	1	1	1	1	4	1	1	1	1	YIJE_ECOLI	C6EE65_ECOBD	YIJE_ECOLI		YIJE_ECOLI	B	C6EE65_ECOBD
YIIX_ECOLI	1	1	1	1	4	1	1	1	1	YIIX_ECOLI	C6EE71_ECOBD	YIIX_ECOLI		YIIX_ECOLI	G	C6EE71_ECOBD
YIIG_ECOLI	1	1	1	1	4	1	1	1	1	YIIG_ECOLI	C6EF03_ECOBD	YIIG_ECOLI		YIIG_ECOLI	E	C6EF03_ECOBD
YIHP_ECOLI	1	1	1	1	4	1	1	1	1	YIHP_ECOLI	C6EF24_ECOBD	YIHP_ECOLI		YIHP_ECOLI	B	C6EF24_ECOBD
YIHO_ECOLI	1	1	1	1	4	1	1	1	1	YIHO_ECOLI	C6EF25_ECOBD	YIHO_ECOLI		YIHO_ECOLI	B	C6EF25_ECOBD
YIHF_ECOLI	1	1	1	1	4	1	1	1	1	YIHF_ECOLI	C6EF41_ECOBD	YIHF_ECOLI		YIHF_ECOLI	B	C6EF41_ECOBD
YIGM_ECOLI	1	1	1	1	4	1	1	1	1	YIGM_ECOLI	C6EF84_ECOBD	YIGM_ECOLI		YIGM_ECOLI	B	C6EF84_ECOBD
YIGF_ECOLI	1	1	1	1	4	1	1	1	1	YIGF_ECOLI	C6EFZ4_ECOBD	YIGF_ECOLI		YIGF_ECOLI	B	C6EFZ4_ECOBD
YIGE_ECOLI	1	1	1	1	4	1	1	1	1	YIGE_ECOLI	C6EFZ9_ECOBD	YIGE_ECOLI		YIGE_ECOLI	G	C6EFZ9_ECOBD
YIEL_ECOLI	1	1	1	1	4	1	1	1	1	YIEL_ECOLI	C6EG84_ECOBD	YIEL_ECOLI		YIEL_ECOLI	G	C6EG84_ECOBD
YIDX_ECOLI	1	1	1	1	4	1	1	1	1	YIDX_ECOLI	C6ED74_ECOBD	YIDX_ECOLI		YIDX_ECOLI	I	C6ED74_ECOBD
YIDK_ECOLI	1	1	1	1	4	1	1	1	1	YIDK_ECOLI	C6ED89_ECOBD	YIDK_ECOLI		YIDK_ECOLI	B	C6ED89_ECOBD
YIDI_ECOLI	1	1	1	1	4	1	1	1	1	YIDI_ECOLI	C6ED91_ECOBD	YIDI_ECOLI		YIDI_ECOLI	B	C6ED91_ECOBD
YIDH_ECOLI	1	1	1	1	4	1	1	1	1	YIDH_ECOLI	C6ED92_ECOBD	YIDH_ECOLI		YIDH_ECOLI	B	C6ED92_ECOBD
YIDG_ECOLI	1	1	1	1	4	1	1	1	1	YIDG_ECOLI	C6ED93_ECOBD	YIDG_ECOLI		YIDG_ECOLI	B	C6ED93_ECOBD
YIDE_ECOLI	1	1	1	1	4	1	1	1	1	YIDE_ECOLI	C6ED85_ECOBD	YIDE_ECOLI		YIDE_ECOLI	B	C6ED85_ECOBD
YICS_ECOLI	1	1	1	1	4	1	1	1	1	YICS_ECOLI	C6EDA8_ECOBD	YICS_ECOLI		YICS_ECOLI	G	C6EDA8_ECOBD
YICO_ECOLI	1	1	1	1	4	1	1	1	1	YICO_ECOLI	C6EDA5_ECOBD	YICO_ECOLI		YICO_ECOLI	B	C6EDA5_ECOBD
YICJ_ECOLI	1	1	1	1	4	2	1	2	2	YICJ_ECOLI	C6EDD2_ECOBD	YICJ_ECOLI		YICJ_ECOLI	B	C6EDD2_ECOBD
YICG_ECOLI	1	1	1	1	4	1	1	1	1	YICG_ECOLI	C6EDE4_ECOBD	YICG_ECOLI		YICG_ECOLI	B	C6EDE4_ECOBD
YIBI_ECOLI	1	1	1	1	4	1	1	1	1	YIBI_ECOLI	C6EDJ4_ECOBD	YIBI_ECOLI		YIBI_ECOLI	B	C6EDJ4_ECOBD
YIBH_ECOLI	1	1	1	1	4	1	1	1	1	YIBH_ECOLI	C6EDJ5_ECOBD	YIBH_ECOLI		YIBH_ECOLI	B	C6EDJ5_ECOBD
YIBG_ECOLI	1	1	1	1	4	1	1	1	1	YIBG_ECOLI	C6EDJ7_ECOBD	YIBG_ECOLI		YIBG_ECOLI	G	C6EDJ7_ECOBD
YIBF_ECOLI	1	1	1	1	4	1	1	1	1	YIBF_ECOLI	C6EE83_ECOBD	YIBF_ECOLI		YIBF_ECOLI	B	C6EE83_ECOBD
YIAW_ECOLI	1	1	1	1	4	1	1	1	1	YIAW_ECOLI	C6EE89_ECOBD	YIAW_ECOLI		YIAW_ECOLI	B	C6EE89_ECOBD
YIAV_ECOLI	1	1	1	1	4	1	1	1	1	YIAV_ECOLI	C6EE90_ECOBD	YIAV_ECOLI		YIAV_ECOLI	B	C6EE90_ECOBD
