Merge ID	Mobile_Elements_BL21	400Mobile_Elements	# Studies	Mobile_Elements_BL21 Duplicates	400Mobile_Elements Duplicates	K12 Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	Subcellular Location (Uniprot)	Common Core 	Category	Pseudogenes / Mobile Elements Notes	Entry name K12 (Uniprot)	Entry Name BL21(DE3) (Uniprot)	Subcellular Location(this study)	Common Core	Pseudogene/Mobile Element Notes	
C6EHZ2_ECOBD	1	1	2	1	1	YGHX_ECOLI	C6EHZ2_ECOBD		 	A	Uniprot pseudo	YGHX_ECOLI	C6EHZ2_ECOBD	A		"pseudogene (Uniprot);"	
C6EIC9_ECOBD	1	1	2	1	1	YGHO_ECOLI	C6EIC9_ECOBD		 	A	pseudogenes (Uniprot)	YGHO_ECOLI	C6EIC9_ECOBD	A		pseudogene (Uniprot) 	
C6EIE1_ECOBD	1	1	2	1	1	YGHE_ECOLI	C6EIE1_ECOBD		 	B	pseudogenes (Uniprot)	YGHE_ECOLI	C6EIE1_ECOBD	B		pseudogene (Uniprot) 	
C6EIH8_ECOBD	1	1	2	1	1	YGGP_ECOLI	C6EIH8_ECOBD		 	B	pseudogenes (Ohman 2006) 	YGGP_ECOLI	C6EIH8_ECOBD	B		pseudogene (Ohman 2006) 	
C6EIM4_ECOBD	1	1	2	1	1	YGFQ_ECOLI	C6EIM4_ECOBD		 	B	pseudogenes (Ohman 2006)	YGFQ_ECOLI	C6EIM4_ECOBD	B		pseudogene (Ohman 2006)	
C6EIP4_ECOBD	1	1	2	1	1	YGEQ_ECOLI	C6EIP4_ECOBD		 	G	Uniprot pseudo	YGEQ_ECOLI	C6EIP4_ECOBD	G		pseudogene (Uniprot)	
C6EJA0_ECOBD	1	1	2	1	1	YGCU_ECOLI	C6EJA0_ECOBD		 	A	pseudogenes (Ohman 2006)	YGCU_ECOLI	C6EJA0_ECOBD	A		pseudogene (Ohman 2006)	
C6EJU5_ECOBD	1	1	2	1	1	YGAY_ECOLI	C6EJU5_ECOBD		 	B	Uniprot pseudo	YGAY_ECOLI	C6EJU5_ECOBD	B		pseudogene (Uniprot)	
C6EEI2_ECOBD	1	1	2	1	1	YFJV_ECOLI	C6EEI2_ECOBD		 	B	pseudogenes (Uniprot)	YFJV_ECOLI	C6EEI2_ECOBD	B		pseudogene (Uniprot) 	
C6ELE8_ECOBD	1	1	2	1	1	YFCI_ECOLI	C6ELE8_ECOBD		 	A	Transposase	YFCI_ECOLI	C6ELE8_ECOBD	A		Transposase	
C6E9W3_ECOBD	1	1	2	1	1	YFAH_ECOLI	C6E9W3_ECOBD		 	A	pseudogenes (Uniprot)	YFAH_ECOLI	C6E9W3_ECOBD	A		pseudogene (Uniprot) 	
C6E9V6_ECOBD	1	1	2	1	1	YFAD_ECOLI	C6E9V6_ECOBD		Common Core 	A	Transposase 	YFAD_ECOLI	C6E9V6_ECOBD	A		Transposase 	
C6EA08_ECOBD	1	1	2	1	1	YEJO_ECOLI	C6EA08_ECOBD		 	H	Uniprot pseudo	YEJO_ECOLI	C6EA08_ECOBD	H		"pseudogene (Uniprot);Insertion Sequence;Insertion Element "	
C6EAJ0_ECOBD	1	1	2	1	1	YEHQ_ECOLI	C6EAJ0_ECOBD		 	A	pseudogenes (Uniprot)	YEHQ_ECOLI	C6EAJ0_ECOBD	A		pseudogene (Uniprot) 	
C6EDB6_ECOBD	1	1	2	1	1	YEEW_ECOLI	C6EDB6_ECOBD		 	A	pseudogenes (Uniprot)	YEEW_ECOLI	C6EDB6_ECOBD	A		pseudogene (Uniprot) 	
C6EDB7_ECOBD	1	1	2	1	1	YEEV_ECOLI	C6EDB7_ECOBD		 	A	Prophage Integrase (EcoGene) 	YEEV_ECOLI	C6EDB7_ECOBD	A		Prophage Integrase (EcoGene)	
C6EB86_ECOBD	1	1	2	1	1	YEEN_ECOLI	C6EB86_ECOBD		Common Core 	A	Prophage Integrase	YEEN_ECOLI	C6EB86_ECOBD	A		Prophage Integrase	
C6EBW3_ECOBD	1	1	2	1	1	YEBC_ECOLI	C6EBW3_ECOBD		Common Core 	A	Prophage Integrase	YEBC_ECOLI	C6EBW3_ECOBD	A		Prophage Integrase	
C6EDS6_ECOBD	1	1	2	1	1	YDFX_ECOLI	C6EDS6_ECOBD		 	A	Uniprot pseudo	YDFX_ECOLI	C6EDS6_ECOBD	A		pseudogene (Uniprot)	
C6EDT2_ECOBD	1	1	2	1	1	YDFU_ECOLI	C6EDT2_ECOBD		 	A	Prophage Integrase (EcoGene) 	YDFU_ECOLI	C6EDT2_ECOBD	A		Prophage Integrase (EcoGene)	
C6EFM6_ECOBD	1	1	2	1	1	YDFR_ECOLI	C6EFM6_ECOBD		 	A	Prophage Integrase (EcoGene) 	YDFR_ECOLI	C6EFM6_ECOBD	A		Prophage Integrase (EcoGene)	
C6EDU2_ECOBD	1	1	2	1	1	YDFK_ECOLI	C6EDU2_ECOBD		 	A	Prophage Integrase (EcoGene) 	YDFK_ECOLI	C6EDU2_ECOBD	A		Prophage Integrase (EcoGene)	
C6EDU3_ECOBD	1	1	2	1	1	YDFJ_ECOLI	C6EDU3_ECOBD		 	B	Uniprot pseudo	YDFJ_ECOLI	C6EDU3_ECOBD	B		pseudogene (Uniprot)	
C6EDS0_ECOBD	1	1	2	1	1	YDFD_ECOLI	C6EDS0_ECOBD		 	A	Prophage Integrase (EcoGene) 	YDFD_ECOLI	C6EDS0_ECOBD	A		Prophage Integrase (EcoGene)	
C6EEK8_ECOBD	1	1	2	1	1	YDEK_ECOLI	C6EEK8_ECOBD		 	E	pseudogenes (Uniprot)	YDEK_ECOLI	C6EEK8_ECOBD	E		pseudogene (Uniprot) 	
C6EEQ4_ECOBD	1	1	2	1	1	YDCC_ECOLI	C6EEQ4_ECOBD		 	B	"Transposase;Rhs Element"	YDCC_ECOLI	C6EEQ4_ECOBD	B		"Transposase;Rhs Element"	
C6EFM8_ECOBD	1	1	2	1	1	YDAG_ECOLI	C6EFM8_ECOBD		 	A	Prophage Integrase (EcoGene) 	YDAG_ECOLI	C6EFM8_ECOBD	A		Prophage Integrase (EcoGene)	
C6EFM9_ECOBD	1	1	2	1	1	YDAF_ECOLI	C6EFM9_ECOBD		 	A	Prophage Integrase (EcoGene) 	YDAF_ECOLI	C6EFM9_ECOBD	A		Prophage Integrase (EcoGene)	
C6EFN2_ECOBD	1	1	2	1	1	YDAE_ECOLI	C6EFN2_ECOBD		 	A	Prophage Integrase (EcoGene) 	YDAE_ECOLI	C6EFN2_ECOBD	A		Prophage Integrase (EcoGene)	
C6EFN5_ECOBD	1	1	2	1	1	YDAC_ECOLI	C6EFN5_ECOBD		 	A	Prophage Integrase (EcoGene) 	YDAC_ECOLI	C6EFN5_ECOBD	A		Prophage Integrase (EcoGene)	
C6EFR4_ECOBD	1	1	2	1	1	YCJV_ECOLI	C6EFR4_ECOBD		 	F1	Uniprot pseudo	YCJV_ECOLI	C6EFR4_ECOBD	F1		pseudogene (Uniprot)	
C6EJP4_ECOBD	1	1	2	1	1	YBFG_ECOLI	C6EJP4_ECOBD		 	A	pseudogenes (Uniprot)	YBFG_ECOLI	C6EJP4_ECOBD	A		pseudogene (Uniprot) 	
C6EJN2_ECOBD	1	1	2	1	1	YBFD_ECOLI	C6EJN2_ECOBD		 	B	"pseudogenes (Ohman 2006);Transposase;Rhs Element"	YBFD_ECOLI	C6EJN2_ECOBD	B		"pseudogene (Ohman 2006);Transposase;Rhs Element"	
C6EK67_ECOBD	1	1	2	1	1	YBEM_ECOLI	C6EK67_ECOBD		 	A	pseudogenes (Uniprot)	YBEM_ECOLI	C6EK67_ECOBD	A		pseudogene (Uniprot) 	
C6EJF6_ECOBD	1	1	2	1	1	YBCW_ECOLI	C6EJF6_ECOBD		 	A	Prophage Integrase (EcoGene) 	YBCW_ECOLI	C6EJF6_ECOBD	A		Prophage Integrase (EcoGene)	
C6EJF7_ECOBD	1	1	2	1	1	YBCV_ECOLI	C6EJF7_ECOBD		 	A	Prophage Integrase (EcoGene) 	YBCV_ECOLI	C6EJF7_ECOBD	A		Prophage Integrase (EcoGene)	
C6EKE3_ECOBD	1	1	2	1	1	YBCO_ECOLI	C6EKE3_ECOBD		 	A	Prophage Integrase (EcoGene) 	YBCO_ECOLI	C6EKE3_ECOBD	A		Prophage Integrase (EcoGene)	
C6EKE5_ECOBD	1	1	2	1	1	YBCN_ECOLI	C6EKE5_ECOBD		 	A	Prophage Integrase (EcoGene) 	YBCN_ECOLI	C6EKE5_ECOBD	A		Prophage Integrase (EcoGene)	
C6EKE7_ECOBD	1	1	2	1	1	YBCM_ECOLI	C6EKE7_ECOBD		 	A	Prophage Integrase (EcoGene) 	YBCM_ECOLI	C6EKE7_ECOBD	A		Prophage Integrase (EcoGene)	
C6EKE8_ECOBD	1	1	2	1	1	YBCL_ECOLI	C6EKE8_ECOBD		 	G	Prophage Integrase (EcoGene) 	YBCL_ECOLI	C6EKE8_ECOBD	G		Prophage Integrase (EcoGene)	
C6EKE9_ECOBD	1	1	2	1	1	YBCK_ECOLI	C6EKE9_ECOBD		 	A	Prophage Integrase (EcoGene) 	YBCK_ECOLI	C6EKE9_ECOBD	A		Prophage Integrase (EcoGene)	
C6EJH7_ECOBD	1	1	2	1	1	YBCC_ECOLI	C6EJH7_ECOBD		 	A	Uniprot pseudo	YBCC_ECOLI	C6EJH7_ECOBD	A		pseudogene (Uniprot)	
C6EKW4_ECOBD	1	1	2	1	1	YBBD_ECOLI	C6EKW4_ECOBD		 	B	pseudogenes (Uniprot)	YBBD_ECOLI	C6EKW4_ECOBD	B		pseudogene (Uniprot) 	
C6ELL4_ECOBD	1	1	2	1	1	YAIT_ECOLI	C6ELL4_ECOBD		 	H	pseudogenes (Uniprot)	YAIT_ECOLI	C6ELL4_ECOBD	H		pseudogene (Uniprot) 	
C6ELQ8_ECOBD	1	1	2	1	1	YAHH_ECOLI	C6ELQ8_ECOBD		 	B	pseudogenes (Ecogene/Uniprot)	YAHH_ECOLI	C6ELQ8_ECOBD	B		pseudogene (Ecogene/Uniprot)	
C6EA41_ECOBD	1	1	2	1	1	YAGP_ECOLI	C6EA41_ECOBD		 	B	pseudogenes (Uniprot)	YAGP_ECOLI	C6EA41_ECOBD	B		pseudogene (Uniprot) 	
C6EF65_ECOBD	1	1	2	1	1	YAGI_ECOLI	C6EF65_ECOBD		 	A	Prophage Integrase (EcoGene) 	YAGI_ECOLI	C6EF65_ECOBD	A		Prophage Integrase (EcoGene)	
C6EAS5_ECOBD	1	1	2	1	1	YADD_ECOLI	C6EAS5_ECOBD		Common Core 	A	Transposase	YADD_ECOLI	C6EAS5_ECOBD	A		Transposase	
C6EC70_ECOBD	1	1	2	1	1	Y4286_ECOLI	C6EC70_ECOBD		 	A	Uniprot pseudo	Y4286_ECOLI	C6EC70_ECOBD	A		pseudogene (Uniprot)	
C6EIL4_ECOBD	1	1	2	1	1	XERD_ECOLI	C6EIL4_ECOBD	Cytoplasm. 	Common Core 	A	Prophage transposase	XERD_ECOLI	C6EIL4_ECOBD	A		Prophage transposase	
C6EG03_ECOBD	1	1	2	1	1	XERC_ECOLI	C6EG03_ECOBD	Cytoplasm. 	Common Core 	A	Prophage transposase	XERC_ECOLI	C6EG03_ECOBD	A		Prophage transposase	
C6ELH3_ECOBD	1	1	2	1	1	TSX_ECOLI	C6ELH3_ECOBD		Common Core 	H	Prophage transposase	TSX_ECOLI	C6ELH3_ECOBD	H		Prophage transposase	
C6EFM2_ECOBD	1	1	2	1	1	TRKG_ECOLI	C6EFM2_ECOBD		 	B	Prophage Integrase (EcoGene) 	TRKG_ECOLI	C6EFM2_ECOBD	B		Prophage Integrase (EcoGene)	
C6EIR2_ECOBD	1	1	2	1	1	TFAE_ECOLI	C6EIR2_ECOBD		 	A	Prophage Integrase (EcoGene) 	TFAE_ECOLI	C6EIR2_ECOBD	A		Prophage Integrase (EcoGene)	
C6EJF3_ECOBD	1	1	2	1	1	TFAD_ECOLI	C6EJF3_ECOBD		 	A	Uniprot pseudo	TFAD_ECOLI	C6EJF3_ECOBD	A		pseudogene (Uniprot)	
C6EIR1_ECOBD	1	1	2	1	1	STFE_ECOLI	C6EIR1_ECOBD		 	A	Uniprot pseudo	STFE_ECOLI	C6EIR1_ECOBD	A		pseudogene (Uniprot)	
C6EBI4_ECOBD	1	1	2	1	1	SMP_ECOLI	C6EBI4_ECOBD		Common Core 	B	pseudogenes (Ohman 2006)	SMP_ECOLI	C6EBI4_ECOBD	B		pseudogene (Ohman 2006)	
C6EGI1_ECOBD	1	1	2	1	1	SMF_ECOLI	C6EGI1_ECOBD		 	A	pseudogenes (Ohman 2006)	SMF_ECOLI	C6EGI1_ECOBD	A		pseudogene (Ohman 2006)	
C6EFN0_ECOBD	1	1	2	1	1	SIEB_ECOLI	C6EFN0_ECOBD		 	B	Prophage Integrase (EcoGene) 	SIEB_ECOLI	C6EFN0_ECOBD	B		Prophage Integrase (EcoGene)	
C6EKE2_ECOBD	1	1	2	1	1	RUSA_ECOLI	C6EKE2_ECOBD		 	A	Prophage Integrase (EcoGene) 	RUSA_ECOLI	C6EKE2_ECOBD	A		Prophage Integrase (EcoGene)	
C6EDE8_ECOBD	1	1	2	1	1	RNPH_ECOLI	C6EDE8_ECOBD		 	A	pseudogenes (Uniprot)	RNPH_ECOLI	C6EDE8_ECOBD	A		pseudogene (Uniprot) 	
C6EKW7_ECOBD	1	1	2	1	1	RHSD_ECOLI	C6EKW7_ECOBD		 	A	Rhs Element	RHSD_ECOLI	C6EKW7_ECOBD	A		Rhs Element	
C6EF92_ECOBD	1	1	2	1	1	RHSB_ECOLI	C6EF92_ECOBD		 	A	Rhs Element	RHSB_ECOLI	C6EF92_ECOBD	A		Rhs Element	
C6EE82_ECOBD	1	1	2	1	1	RHSA_ECOLI	C6EE82_ECOBD		 	A	Rhs Element	RHSA_ECOLI	C6EE82_ECOBD	A		Rhs Element	
C6EA51_ECOBD	1	1	2	1	1	RFH_ECOLI	C6EA51_ECOBD		 	A	pseudogenes (Uniprot)	RFH_ECOLI	C6EA51_ECOBD	A		pseudogene (Uniprot) 	
C6EJG3_ECOBD	1	1	2	1	1	REQ2_ECOLI	C6EJG3_ECOBD		 	A	Prophage Integrase (EcoGene) 	REQ2_ECOLI	C6EJG3_ECOBD	A		Prophage Integrase (EcoGene)	
C6EDT0_ECOBD	1	1	2	1	1	REM_ECOLI	C6EDT0_ECOBD		 	A	Prophage Integrase (EcoGene) 	REM_ECOLI	C6EDT0_ECOBD	A		Prophage Integrase (EcoGene)	
C6EFN4_ECOBD	1	1	2	1	1	RECT_ECOLI	C6EFN4_ECOBD		 	A	Prophage Integrase (EcoGene) 	RECT_ECOLI	C6EFN4_ECOBD	A		Prophage Integrase (EcoGene)	
C6EFN3_ECOBD	1	1	2	1	1	RACC_ECOLI	C6EFN3_ECOBD		 	A	Prophage Integrase (EcoGene) 	RACC_ECOLI	C6EFN3_ECOBD	A		Prophage Integrase (EcoGene)	
C6ED86_ECOBD	1	1	2	1	1	PTXB_ECOLI	C6ED86_ECOBD		 	B	pseudogenes (Ohman 2006)	PTXB_ECOLI	C6ED86_ECOBD	B		pseudogene (Ohman 2006)	
C6EDX0_ECOBD	1	1	2	1	1	PSPG_ECOLI	C6EDX0_ECOBD		Common Core 	B	Prophage transposase	PSPG_ECOLI	C6EDX0_ECOBD	B		Prophage transposase	
C6EFS4_ECOBD	1	1	2	1	1	PSPE_ECOLI	C6EFS4_ECOBD		Common Core 	G	Prophage transposase	PSPE_ECOLI	C6EFS4_ECOBD	G		Prophage transposase	
C6EFS5_ECOBD	1		1	1		PSPD_ECOLI	C6EFS5_ECOBD		 	A	Prophage transposase						
C6EFS6_ECOBD	1	1	2	1	1	PSPC_ECOLI	C6EFS6_ECOBD		Common Core 	B	Prophage transposase	PSPC_ECOLI	C6EFS6_ECOBD	B		Prophage transposase	
C6EFS8_ECOBD	1	1	2	1	1	PSPA_ECOLI	C6EFS8_ECOBD		Common Core 	F1	Prophage transposase	PSPA_ECOLI	C6EFS8_ECOBD	F1		Prophage transposase	
C6EDU1_ECOBD	1	1	2	1	1	PINR_ECOLI	C6EDU1_ECOBD		 	A	Prophage Integrase (EcoGene) 	PINR_ECOLI	C6EDU1_ECOBD	A		Prophage Integrase (EcoGene)	
C6EFL7_ECOBD	1	1	2	1	1	PINQ_ECOLI	C6EFL7_ECOBD		 	A	Prophage Integrase (EcoGene) 	PINQ_ECOLI	C6EFL7_ECOBD	A		Prophage Integrase (EcoGene)	
C6EIR0_ECOBD	1	1	2	1	1	PINE_ECOLI	C6EIR0_ECOBD		 	A	Prophage Integrase (EcoGene) 	PINE_ECOLI	C6EIR0_ECOBD	A		Prophage Integrase (EcoGene)	
C6EIQ9_ECOBD	1	1	2	1	1	OGRK_ECOLI	C6EIQ9_ECOBD		 	A	Prophage Integrase (EcoGene) 	OGRK_ECOLI	C6EIQ9_ECOBD	A		Prophage Integrase (EcoGene)	
C6EKD2_ECOBD	1	1	2	1	1	NOHA_ECOLI	C6EKD2_ECOBD		 	A	Uniprot pseudo	NOHA_ECOLI	C6EKD2_ECOBD	A		pseudogene (Uniprot)	
C6EKE4_ECOBD	1	1	2	1	1	NINE_ECOLI	C6EKE4_ECOBD		 	A	Prophage Integrase (EcoGene) 	NINE_ECOLI	C6EKE4_ECOBD	A		Prophage Integrase (EcoGene)	
C6EAJ6_ECOBD	1	1	2	1	1	MOLR_ECOLI	C6EAJ6_ECOBD		 	A	pseudogenes (Uniprot)	MOLR_ECOLI	C6EAJ6_ECOBD	A		pseudogene (Uniprot) 	
C6EA57_ECOBD	1	1	2	1	1	MBHA_ECOLI	C6EA57_ECOBD		 	A	Uniprot pseudo	MBHA_ECOLI	C6EA57_ECOBD	A		pseudogene (Uniprot)	
C6EG31_ECOBD	1	1	2	1	1	LPRH_ECOLI	C6EG31_ECOBD		 	A	pseudogenes (Ecogene/Uniprot)	LPRH_ECOLI	C6EG31_ECOBD	A		pseudogene (Ecogene/Uniprot)	
C6EJ11_ECOBD	1	1	2	1	1	LOMR_ECOLI	C6EJ11_ECOBD		 	A	Uniprot pseudo	LOMR_ECOLI	C6EJ11_ECOBD	A		"pseudogene (Uniprot);Insertion Sequence"	
C6EFN1_ECOBD	1	1	2	1	1	KIL_ECOLI	C6EFN1_ECOBD		 	A	Prophage Integrase (EcoGene) 	KIL_ECOLI	C6EFN1_ECOBD	A		Prophage Integrase (EcoGene)	
C6EFN7_ECOBD	1	1	2	1	1	INTR_ECOLI	C6EFN7_ECOBD		 	A	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene) "	INTR_ECOLI	C6EFN7_ECOBD	A		"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"	
C6EKT0_ECOBD	1	1	2	1	1	INTD_ECOLI	C6EKT0_ECOBD		 	A	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene) "	INTD_ECOLI	C6EKT0_ECOBD	A		"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"	
C6EC81_ECOBD	1	1	2	1	1	INTB_ECOLI	C6EC81_ECOBD		 	B	"Uniprot pseudo;Rhs Element;Prophage Integrase"	INTB_ECOLI	C6EC81_ECOBD	B		"pseudogene (Uniprot);Rhs Element;Prophage Integrase"	
C6EEC2_ECOBD	1	1	2	1	1	INSJ_ECOLI	C6EEC2_ECOBD		 	A	Insertion Element 	INSJ_ECOLI	C6EEC2_ECOBD	A		Insertion Element 	
C6EC80_ECOBD	1	1	2	1	1	INSG_ECOLI	C6EC80_ECOBD		 	B	"Insertion Sequence;Transposase"	INSG_ECOLI	C6EC80_ECOBD	B		"Insertion Sequence;Transposase"	
C6EEV7_ECOBD	1	1	2	1	1	INSF6_ECOLI	C6EEV7_ECOBD		 	A	"Plasmid F;Insertion Sequence;Transposase"	INSF6_ECOLI	C6EEV7_ECOBD	A		"Plasmid F;Insertion Sequence;Transposase"	
C6EC72_ECOBD	1	1	2	1	1	INSF1_ECOLI	C6EC72_ECOBD		 	A	Insertion Sequence	INSF1_ECOLI	C6EC72_ECOBD	A		"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"	
C6EDS9_ECOBD	1	1	2	1	1	HOKD_ECOLI	C6EDS9_ECOBD		 	G	Prophage Integrase (EcoGene) 	HOKD_ECOLI	C6EDS9_ECOBD	G		Prophage Integrase (EcoGene)	
C6ECH5_ECOBD	1	1	2	1	1	HFLK_ECOLI	C6ECH5_ECOBD		Common Core 	B	Prophage transposase	HFLK_ECOLI	C6ECH5_ECOBD	B		Prophage transposase	
