K12 Uniproti Entry name	BL21(DE3) Uniprot Entry name	Curated Subcellular Location
PGAB_ECOLI	C6EHI4_ECOBD	I
RCSF_ECOLI	C6EA88_ECOBD	I
RLPA_ECOLI	C6EK60_ECOBD	I
YAEF_ECOLI	C6EA91_ECOBD	I
YAFT_ECOLI	C6EA74_ECOBD	I
YAIW_ECOLI	C6ELK9_ECOBD	I
YAJI_ECOLI	C6ELH2_ECOBD	I
YBBC_ECOLI	C6EKW6_ECOBD	I
YBFP_ECOLI	C6EJP5_ECOBD	I
YBJP_ECOLI	C6EIB6_ECOBD	I
YCEK_ECOLI	C6EHG2_ECOBD	I
YCJN_ECOLI	C6EFS2_ECOBD	I
YDCL_ECOLI	C6EET2_ECOBD	I
YECR_ECOLI	C6EBF5_ECOBD	I
YEDD_ECOLI	C6EBD3_ECOBD	I
YEHR_ECOLI	C6EAI9_ECOBD	I
YFHG_ECOLI	C6EKF2_ECOBD	I
YGDI_ECOLI	C6EJ57_ECOBD	I
YGDR_ECOLI	C6EJ35_ECOBD	I
YGER_ECOLI	C6EIP3_ECOBD	I
YGGG_ECOLI	C6EIH3_ECOBD	I
YGHG_ECOLI	C6EID9_ECOBD	I
YHDV_ECOLI	C6EGJ3_ECOBD	I
YIAD_ECOLI	C6EEC9_ECOBD	I
YIDX_ECOLI	C6ED74_ECOBD	I
BSMA_ECOLI	C6ECG0_ECOBD	I
YNBE_ECOLI	C6EEW2_ECOBD	I
YOAF_ECOLI	C6EC38_ECOBD	I
YPDI_ECOLI	C6EL92_ECOBD	I
YRAM_ECOLI	C6EH78_ECOBD	I
YRAP_ECOLI	C6EH75_ECOBD	I
ECNB_ECOLI	C6ECX6_ECOBD	I
YHFL_ECOLI	C6EFK7_ECOBD	I
OSMB_ECOLI	C6EFV1_ECOBD	I
SLYB_ECOLI	C6EDK4_ECOBD	I
YDBJ_ECOLI	C6EEW6_ECOBD	I
YIFL_ECOLI	C6EG06_ECOBD	I
YBAY_ECOLI	C6EL10_ECOBD	I
YFGH_ECOLI	C6EKK4_ECOBD	I
YSAB_ECOLI	C6EEB8_ECOBD	I
BORD_ECOLI	C6EKD4_ECOBD	I
PHOE_ECOLI	C6EA44_ECOBD	H
YAET_ECOLI	C6EAA8_ECOBD	H
LPTD_ECOLI	C6EAZ9_ECOBD	H
MIPA_ECOLI	C6EC47_ECOBD	H
YTFM_ECOLI	C6ECC5_ECOBD	H
LAMB_ECOLI	C6EDY6_ECOBD	H
PA1_ECOLI	C6EF90_ECOBD	H
HOFQ_ECOLI	C6EFI5_ECOBD	H
WECC_ECOLI	C6EG25_ECOBD	H
TOLC_ECOLI	C6EHV8_ECOBD	H
OMPF_ECOLI	C6EI53_ECOBD	H
OMPX_ECOLI	C6EIW8_ECOBD	H
FIU_ECOLI	C6EIX7_ECOBD	H
YBFM_ECOLI	C6EJQ3_ECOBD	H
BGLH_ECOLI	C6EG83_ECOBD	H
CIRA_ECOLI	C6EAF8_ECOBD	H
CRCA_ECOLI	C6EK70_ECOBD	H
FADL_ECOLI	C6ELB0_ECOBD	H
FECA_ECOLI	C6EC65_ECOBD	H
FEPA_ECOLI	C6EKB2_ECOBD	H
FHUE_ECOLI	C6EGZ0_ECOBD	H
FIMD_ECOLI	C6EBR6_ECOBD	H
HTRE_ECOLI	C6EAE5_ECOBD	H
OMPA_ECOLI	C6EI25_ECOBD	H
OMPG_ECOLI	C6EFR3_ECOBD	H
OMPL_ECOLI	C6EF26_ECOBD	H
OMPN_ECOLI	C6EEW8_ECOBD	H
OMPW_ECOLI	C6EFY0_ECOBD	H
PGAA_ECOLI	C6EHI3_ECOBD	H
SFMD_ECOLI	C6EKT4_ECOBD	H
UIDC_ECOLI	C6EDN2_ECOBD	H
YAGW_ECOLI	C6EA33_ECOBD	H
YBGQ_ECOLI	C6EJM0_ECOBD	H
YCBS_ECOLI	C6EI42_ECOBD	H
YCGV_ECOLI	C6EGR5_ECOBD	H
YEEJ_ECOLI	C6EB89_ECOBD	H
YFAL_ECOLI	C6E9W8_ECOBD	H
YFAZ_ECOLI	C6E9V0_ECOBD	H
YHDP_ECOLI	C6EGL5_ECOBD	H
YHJY_ECOLI	C6EED3_ECOBD	H
YNCD_ECOLI	C6EER2_ECOBD	H
YQIG_ECOLI	C6EHU9_ECOBD	H
YQIH_ECOLI	C6EHU8_ECOBD	H
YRAJ_ECOLI	C6EH81_ECOBD	H
TSX_ECOLI	C6ELH3_ECOBD	H
YEJO_ECOLI	C6EA08_ECOBD	H
EAEH_ECOLI	C6ELT1_ECOBD	H
AG43_ECOLI	C6EDI7_ECOBD	H
YOEA_ECOLI	C6EB78_ECOBD	H
YAIT_ECOLI	C6ELL4_ECOBD	H
YUAQ_ECOLI	C6EDC0_ECOBD	H
YPEC_ECOLI	C6EBG4_ECOBD	G
AIS_ECOLI	C6E9U8_ECOBD	G
GLPQ_ECOLI	C6E9W2_ECOBD	G
YFAT_ECOLI	C6E9X2_ECOBD	G
YFAQ_ECOLI	C6E9X4_ECOBD	G
YFAP_ECOLI	C6E9X5_ECOBD	G
NAPA_ECOLI	C6E9Z4_ECOBD	G
NAPG_ECOLI	C6E9Z5_ECOBD	G
NAPB_ECOLI	C6E9Z7_ECOBD	G
YAFL_ECOLI	C6EA60_ECOBD	G
YAFK_ECOLI	C6EA64_ECOBD	G
IVY_ECOLI	C6EA68_ECOBD	G
BTUF_ECOLI	C6EAC6_ECOBD	G
FHUD_ECOLI	C6EAD2_ECOBD	G
PBP7_ECOLI	C6EAH7_ECOBD	G
BGLX_ECOLI	C6EAH9_ECOBD	G
OSMF_ECOLI	C6EAI0_ECOBD	G
WCAM_ECOLI	C6EAR4_ECOBD	G
YADE_ECOLI	C6EAS7_ECOBD	G
YACC_ECOLI	C6EAT5_ECOBD	G
SECM_ECOLI	C6EAV8_ECOBD	G
YAAI_ECOLI	C6EB41_ECOBD	G
YEEZ_ECOLI	C6EB67_ECOBD	G
ERFK_ECOLI	C6EB82_ECOBD	G
YODA_ECOLI	C6EB93_ECOBD	G
HIUH_ECOLI	C6EB98_ECOBD	G
ARAF_ECOLI	C6EBF9_ECOBD	G
CREA_ECOLI	C6EBH4_ECOBD	G
SLT_ECOLI	C6EBH9_ECOBD	G
OSMY_ECOLI	C6EBJ6_ECOBD	G
YJJA_ECOLI	C6EBL0_ECOBD	G
FLHE_ECOLI	C6EBU9_ECOBD	G
YTFQ_ECOLI	C6ECC1_ECOBD	G
YTFJ_ECOLI	C6ECC9_ECOBD	G
CPDB_ECOLI	C6ECD1_ECOBD	G
YJFN_ECOLI	C6ECG1_ECOBD	G
YNJE_ECOLI	C6ECK0_ECOBD	G
YDIY_ECOLI	C6ECN6_ECOBD	G
YNHG_ECOLI	C6ECS7_ECOBD	G
AMIB_ECOLI	C6ECV9_ECOBD	G
AMPC_ECOLI	C6ECX3_ECOBD	G
PHND_ECOLI	C6ED19_ECOBD	G
YJCO_ECOLI	C6ED47_ECOBD	G
NRFC_ECOLI	C6ED53_ECOBD	G
NRFA_ECOLI	C6ED55_ECOBD	G
YIBQ_ECOLI	C6EDH5_ECOBD	G
YIBP_ECOLI	C6EDH6_ECOBD	G
SODC_ECOLI	C6EDJ9_ECOBD	G
RNFG_ECOLI	C6EDL5_ECOBD	G
YDGD_ECOLI	C6EDQ0_ECOBD	G
MALE_ECOLI	C6EDY9_ECOBD	G
AMY1_ECOLI	C6EEA8_ECOBD	G
BAX_ECOLI	C6EEA9_ECOBD	G
XYLF_ECOLI	C6EEB2_ECOBD	G
DPPA_ECOLI	C6EED6_ECOBD	G
GUN_ECOLI	C6EEF2_ECOBD	G
YHJJ_ECOLI	C6EEF6_ECOBD	G
HDEA_ECOLI	C6EEH5_ECOBD	G
HDEB_ECOLI	C6EEH6_ECOBD	G
YIIQ_ECOLI	C6EEX8_ECOBD	G
SUBI_ECOLI	C6EEY1_ECOBD	G
NIKA_ECOLI	C6EF98_ECOBD	G
LIVJ_ECOLI	C6EFB4_ECOBD	G
LIVK_ECOLI	C6EFB6_ECOBD	G
UGPB_ECOLI	C6EFC1_ECOBD	G
GGT_ECOLI	C6EFC7_ECOBD	G
YRFD_ECOLI	C6EFI1_ECOBD	G
SAPA_ECOLI	C6EFT8_ECOBD	G
YCIM_ECOLI	C6EFV4_ECOBD	G
RBSB_ECOLI	C6EG51_ECOBD	G
PSTS_ECOLI	C6EG75_ECOBD	G
OPPA_ECOLI	C6EGM4_ECOBD	G
YCHO_ECOLI	C6EGP4_ECOBD	G
YCGJ_ECOLI	C6EGT9_ECOBD	G
POTD_ECOLI	C6EGW8_ECOBD	G
YCFS_ECOLI	C6EGX9_ECOBD	G
BHSA_ECOLI	C6EGY0_ECOBD	G
LPTA_ECOLI	C6EH27_ECOBD	G
MLAD_ECOLI	C6EH34_ECOBD	G
MLAC_ECOLI	C6EH35_ECOBD	G
FLGG_ECOLI	C6EHD5_ECOBD	G
FLGF_ECOLI	C6EHD6_ECOBD	G
FLGC_ECOLI	C6EHD9_ECOBD	G
FLGB_ECOLI	C6EHE0_ECOBD	G
YCEI_ECOLI	C6EHF7_ECOBD	G
OPGG_ECOLI	C6EHG4_ECOBD	G
CSGC_ECOLI	C6EHG9_ECOBD	G
CSGE_ECOLI	C6EHH3_ECOBD	G
YCDB_ECOLI	C6EHI8_ECOBD	G
YCDO_ECOLI	C6EHI9_ECOBD	G
RUTC_ECOLI	C6EHJ7_ECOBD	G
TORA_ECOLI	C6EHL0_ECOBD	G
TORT_ECOLI	C6EHL3_ECOBD	G
PPA_ECOLI	C6EHM7_ECOBD	G
YQJC_ECOLI	C6EHP6_ECOBD	G
YGJK_ECOLI	C6EHR6_ECOBD	G
YGJJ_ECOLI	C6EHR7_ECOBD	G
PAT_ECOLI	C6EHS3_ECOBD	G
YGIW_ECOLI	C6EHW9_ECOBD	G
SUFI_ECOLI	C6EHX7_ECOBD	G
YQHG_ECOLI	C6EHY0_ECOBD	G
YCCT_ECOLI	C6EI17_ECOBD	G
SSUA_ECOLI	C6EI46_ECOBD	G
YCBK_ECOLI	C6EI56_ECOBD	G
LOLA_ECOLI	C6EI91_ECOBD	G
TRXB_ECOLI	C6EI94_ECOBD	G
ARTI_ECOLI	C6EIB8_ECOBD	G
POTF_ECOLI	C6EIC7_ECOBD	G
YGGN_ECOLI	C6EIF3_ECOBD	G
ASPG2_ECOLI	C6EIF4_ECOBD	G
YGGM_ECOLI	C6EIF5_ECOBD	G
YGGE_ECOLI	C6EII7_ECOBD	G
DSBC_ECOLI	C6EIL5_ECOBD	G
YBJH_ECOLI	C6EIU0_ECOBD	G
YLII_ECOLI	C6EIU6_ECOBD	G
GSIB_ECOLI	C6EIV2_ECOBD	G
YBIS_ECOLI	C6EIW3_ECOBD	G
GLNH_ECOLI	C6EIX1_ECOBD	G
MCBA_ECOLI	C6EIX6_ECOBD	G
PPDA_ECOLI	C6EJ43_ECOBD	G
YGDB_ECOLI	C6EJ45_ECOBD	G
PTRA_ECOLI	C6EJ48_ECOBD	G
AMIC_ECOLI	C6EJ52_ECOBD	G
TOLB_ECOLI	C6EJJ7_ECOBD	G
PROX_ECOLI	C6EJU6_ECOBD	G
YFIR_ECOLI	C6EJY9_ECOBD	G
RSEB_ECOLI	C6EK16_ECOBD	G
RNI_ECOLI	C6EK83_ECOBD	G
DSBG_ECOLI	C6EK90_ECOBD	G
FEPB_ECOLI	C6EKA3_ECOBD	G
CUSF_ECOLI	C6EKC8_ECOBD	G
YPHF_ECOLI	C6EKF9_ECOBD	G
YFGC_ECOLI	C6EKL7_ECOBD	G
YPFG_ECOLI	C6EKP6_ECOBD	G
AMIA_ECOLI	C6EKR9_ECOBD	G
PANE_ECOLI	C6EL44_ECOBD	G
CYSP_ECOLI	C6EL52_ECOBD	G
YFEK_ECOLI	C6EL58_ECOBD	G
EMRK_ECOLI	C6ELA0_ECOBD	G
HISJ_ECOLI	C6ELE4_ECOBD	G
AMPH_ECOLI	C6ELL2_ECOBD	G
AGP_ECOLI	C6EHK5_ECOBD	G
ALSB_ECOLI	C6ED35_ECOBD	G
APHA_ECOLI	C6ED69_ECOBD	G
ARGT_ECOLI	C6ELE3_ECOBD	G
ARTJ_ECOLI	C6EIC1_ECOBD	G
ASLA_ECOLI	C6EG14_ECOBD	G
BCSC_ECOLI	C6EEF3_ECOBD	G
CHIA_ECOLI	C6EGC7_ECOBD	G
CSGF_ECOLI	C6EHH4_ECOBD	G
CUEO_ECOLI	C6EAT4_ECOBD	G
DDPA_ECOLI	C6EEN0_ECOBD	G
DEGP_ECOLI	C6EAC3_ECOBD	G
DEGQ_ECOLI	C6EGZ8_ECOBD	G
ECOT_ECOLI	C6E9Z0_ECOBD	G
ECPD_ECOLI	C6EAE4_ECOBD	G
END1_ECOLI	C6EIG6_ECOBD	G
FECB_ECOLI	C6EC66_ECOBD	G
FIMC_ECOLI	C6EBR7_ECOBD	G
FIMI_ECOLI	C6EBR8_ECOBD	G
FKBA_ECOLI	C6EGB7_ECOBD	G
FLGA_ECOLI	C6EHE1_ECOBD	G
FLGI_ECOLI	C6EHD3_ECOBD	G
FLIY_ECOLI	C6EBE1_ECOBD	G
GFCC_ECOLI	C6EHM2_ECOBD	G
GFCD_ECOLI	C6EHM3_ECOBD	G
GLTI_ECOLI	C6EK40_ECOBD	G
GSPD_ECOLI	C6EGE1_ECOBD	G
GSPH_ECOLI	C6EGD7_ECOBD	G
GSPI_ECOLI	C6EGD6_ECOBD	G
GSPJ_ECOLI	C6EGD5_ECOBD	G
GSPK_ECOLI	C6EGD4_ECOBD	G
LSRB_ECOLI	C6EEK7_ECOBD	G
MALM_ECOLI	C6EDY5_ECOBD	G
MARB_ECOLI	C6EDV5_ECOBD	G
MATB_ECOLI	C6ELT7_ECOBD	G
MATC_ECOLI	C6ELT8_ECOBD	G
MEPA_ECOLI	C6ELC5_ECOBD	G
MPPA_ECOLI	C6EFQ2_ECOBD	G
NANC_ECOLI	C6EBS4_ECOBD	G
NANM_ECOLI	C6EBS5_ECOBD	G
NRFB_ECOLI	C6ED54_ECOBD	G
OPGD_ECOLI	C6EET8_ECOBD	G
PHNP_ECOLI	C6ED31_ECOBD	G
PPB_ECOLI	C6ELK4_ECOBD	G
PPIA_ECOLI	C6EFL3_ECOBD	G
PQQL_ECOLI	C6EEM3_ECOBD	G
PSIF_ECOLI	C6ELK3_ECOBD	G
PTFB1_ECOLI	C6EL81_ECOBD	G
SFMA_ECOLI	C6EKT6_ECOBD	G
SFMC_ECOLI	C6EKT5_ECOBD	G
SFMF_ECOLI	C6EKT2_ECOBD	G
SFMH_ECOLI	C6EKT3_ECOBD	G
SKP_ECOLI	C6EAA7_ECOBD	G
SPY_ECOLI	C6ECL5_ECOBD	G
SURA_ECOLI	C6EB00_ECOBD	G
TAUA_ECOLI	C6ELL9_ECOBD	G
TESA_ECOLI	C6EKX0_ECOBD	G
THIB_ECOLI	C6EAY7_ECOBD	G
TORZ_ECOLI	C6EBV5_ECOBD	G
TREA_ECOLI	C6EGS0_ECOBD	G
USHA_ECOLI	C6EKY4_ECOBD	G
YACH_ECOLI	C6EAU0_ECOBD	G
YADK_ECOLI	C6EAS1_ECOBD	G
YADM_ECOLI	C6EAE6_ECOBD	G
YADN_ECOLI	C6EAE3_ECOBD	G
YAGR_ECOLI	C6EA39_ECOBD	G
YAGS_ECOLI	C6EA38_ECOBD	G
YAGT_ECOLI	C6EA37_ECOBD	G
YAGV_ECOLI	C6EA34_ECOBD	G
YAGX_ECOLI	C6EA32_ECOBD	G
YAHJ_ECOLI	C6ELQ6_ECOBD	G
YAHO_ECOLI	C6ELQ1_ECOBD	G
YAIO_ECOLI	C6ELM2_ECOBD	G
YBAV_ECOLI	C6EL21_ECOBD	G
YBFC_ECOLI	C6EJN3_ECOBD	G
YBGD_ECOLI	C6EJL9_ECOBD	G
YBGO_ECOLI	C6EJM2_ECOBD	G
YBGP_ECOLI	C6EJM1_ECOBD	G
YBIJ_ECOLI	C6EIY0_ECOBD	G
YCBF_ECOLI	C6EI38_ECOBD	G
YCBQ_ECOLI	C6EI44_ECOBD	G
YCBR_ECOLI	C6EI43_ECOBD	G
YCBT_ECOLI	C6EI41_ECOBD	G
YCBU_ECOLI	C6EI40_ECOBD	G
YCBV_ECOLI	C6EI39_ECOBD	G
YCGK_ECOLI	C6EGT8_ECOBD	G
YDBD_ECOLI	C6EEV6_ECOBD	G
YDBL_ECOLI	C6EEW1_ECOBD	G
YDCA_ECOLI	C6EEU3_ECOBD	G
YDCS_ECOLI	C6EES3_ECOBD	G
YDDB_ECOLI	C6EEM2_ECOBD	G
YDDL_ECOLI	C6EEP5_ECOBD	G
YDEI_ECOLI	C6EDV0_ECOBD	G
YDEN_ECOLI	C6EEL9_ECOBD	G
YDEQ_ECOLI	C6EEL5_ECOBD	G
YDER_ECOLI	C6EEL4_ECOBD	G
YDGH_ECOLI	C6EDP4_ECOBD	G
YDHO_ECOLI	C6ECU8_ECOBD	G
YDHX_ECOLI	C6ECT4_ECOBD	G
YDJG_ECOLI	C6ECI6_ECOBD	G
YEBY_ECOLI	C6EBZ0_ECOBD	G
YECT_ECOLI	C6EBV0_ECOBD	G
YEJA_ECOLI	C6EA20_ECOBD	G
YFAA_ECOLI	C6E9X1_ECOBD	G
YFAS_ECOLI	C6E9X3_ECOBD	G
YFCS_ECOLI	C6ELB7_ECOBD	G
YFCU_ECOLI	C6ELB6_ECOBD	G
YFCV_ECOLI	C6ELB5_ECOBD	G
YFDX_ECOLI	C6EL93_ECOBD	G
YFGI_ECOLI	C6EKK3_ECOBD	G
YGHF_ECOLI	C6EIE0_ECOBD	G
YGIL_ECOLI	C6EHV0_ECOBD	G
YGIS_ECOLI	C6EHX3_ECOBD	G
YHCN_ECOLI	C6EGM2_ECOBD	G
YIAO_ECOLI	C6EEA0_ECOBD	G
YIBG_ECOLI	C6EDJ7_ECOBD	G
YIEL_ECOLI	C6EG84_ECOBD	G
YIIX_ECOLI	C6EE71_ECOBD	G
YIJF_ECOLI	C6EE64_ECOBD	G
YJBG_ECOLI	C6EDZ6_ECOBD	G
YJCS_ECOLI	C6ED40_ECOBD	G
YJFY_ECOLI	C6ECF0_ECOBD	G
YKGI_ECOLI	C6ELS8_ECOBD	G
YKGJ_ECOLI	C6EA35_ECOBD	G
YMDA_ECOLI	C6EHG8_ECOBD	G
YMGD_ECOLI	C6EGU4_ECOBD	G
YNCE_ECOLI	C6EER1_ECOBD	G
YNCJ_ECOLI	C6EES7_ECOBD	G
YNFD_ECOLI	C6EDR2_ECOBD	G
YNJB_ECOLI	C6ECK3_ECOBD	G
YNJH_ECOLI	C6ECJ7_ECOBD	G
YOBA_ECOLI	C6EBY8_ECOBD	G
YQII_ECOLI	C6EHU7_ECOBD	G
YRAH_ECOLI	C6EH83_ECOBD	G
YRAI_ECOLI	C6EH82_ECOBD	G
YRAK_ECOLI	C6EH80_ECOBD	G
ZNUA_ECOLI	C6EBX0_ECOBD	G
ZRAP_ECOLI	C6EE16_ECOBD	G
YADL_ECOLI	C6EAS0_ECOBD	G
FDOG_ECOLI	C6EF05_ECOBD	G
YJBE_ECOLI	C6EDZ8_ECOBD	G
YBGS_ECOLI	C6EJJ1_ECOBD	G
YJDP_ECOLI	C6ED32_ECOBD	G
YFCQ_ECOLI	C6ELB9_ECOBD	G
MGRB_ECOLI	C6EC04_ECOBD	G
YFCR_ECOLI	C6ELB8_ECOBD	G
YHHA_ECOLI	C6EFC6_ECOBD	G
ASR_ECOLI	C6EDQ1_ECOBD	G
YFCP_ECOLI	C6ELC0_ECOBD	G
YBGF_ECOLI	C6EJJ5_ECOBD	G
YADC_ECOLI	C6EAS2_ECOBD	G
YFCO_ECOLI	C6ELC1_ECOBD	G
YICS_ECOLI	C6EDA8_ECOBD	G
PSPE_ECOLI	C6EFS4_ECOBD	G
YIGE_ECOLI	C6EFZ9_ECOBD	G
YHDW_ECOLI	C6EGJ1_ECOBD	G
YGEQ_ECOLI	C6EIP4_ECOBD	G
YBCL_ECOLI	C6EKE8_ECOBD	G
HOKD_ECOLI	C6EDS9_ECOBD	G
FLGL_ECOLI	C6EHD0_ECOBD	F4
FLGK_ECOLI	C6EHD1_ECOBD	F4
CSGB_ECOLI	C6EHH1_ECOBD	F4
CSGA_ECOLI	C6EHH0_ECOBD	F4
FIMF_ECOLI	C6EBR5_ECOBD	F4
FIMG_ECOLI	C6EBR4_ECOBD	F4
FIMH_ECOLI	C6EBR3_ECOBD	F4
FLGE_ECOLI	C6EHD7_ECOBD	F4
FLIC_ECOLI	C6EBD8_ECOBD	F4
FLID_ECOLI	C6EBD7_ECOBD	F4
YDES_ECOLI	C6EEL3_ECOBD	F4
FIMA1_ECOLI	C6EBR9_ECOBD	F4
FLGD_ECOLI	C6EHD8_ECOBD	F4
MLTF_ECOLI	C6EK32_ECOBD	F3
YIAT_ECOLI	C6EE92_ECOBD	F3
YNFB_ECOLI	C6EDR5_ECOBD	F3
MDTA_ECOLI	C6EAN1_ECOBD	F2
PRC_ECOLI	C6EBZ9_ECOBD	F2
YDGA_ECOLI	C6EDN4_ECOBD	F2
YNFG_ECOLI	C6EDQ9_ECOBD	F2
DACB_ECOLI	C6EH45_ECOBD	F2
HYBA_ECOLI	C6EHZ6_ECOBD	F2
MBHM_ECOLI	C6EHZ8_ECOBD	F2
DMSB_ECOLI	C6EI87_ECOBD	F2
MACA_ECOLI	C6EIA3_ECOBD	F2
DACC_ECOLI	C6EIU4_ECOBD	F2
IAP_ECOLI	C6EJB4_ECOBD	F2
DACA_ECOLI	C6EK61_ECOBD	F2
CUSB_ECOLI	C6EKC7_ECOBD	F2
CPXP_ECOLI	C6EEY4_ECOBD	F2
DACD_ECOLI	C6EB73_ECOBD	F2
DMSA_ECOLI	C6EI88_ECOBD	F2
MBHT_ECOLI	C6EHZ5_ECOBD	F2
YEDY_ECOLI	C6EB97_ECOBD	F2
YNFE_ECOLI	C6EDR1_ECOBD	F2
YNFF_ECOLI	C6EDR0_ECOBD	F2
FDNG_ECOLI	C6EEP3_ECOBD	F2
RBSA_ECOLI	C6EG53_ECOBD	F1
NUOB_ECOLI	C6E9R5_ECOBD	F1
NUOCD_ECOLI	C6E9R6_ECOBD	F1
NUOE_ECOLI	C6E9R7_ECOBD	F1
NUOF_ECOLI	C6E9R8_ECOBD	F1
NUOG_ECOLI	C6E9R9_ECOBD	F1
NUOI_ECOLI	C6E9S1_ECOBD	F1
GLPC_ECOLI	C6E9V8_ECOBD	F1
GLPB_ECOLI	C6E9V9_ECOBD	F1
GLPA_ECOLI	C6E9W0_ECOBD	F1
YEJF_ECOLI	C6EA17_ECOBD	F1
XGPT_ECOLI	C6EA49_ECOBD	F1
METN_ECOLI	C6EA85_ECOBD	F1
LPXB_ECOLI	C6EAA3_ECOBD	F1
FABZ_ECOLI	C6EAA5_ECOBD	F1
FHUC_ECOLI	C6EAD3_ECOBD	F1
DLD_ECOLI	C6EAH8_ECOBD	F1
YEHX_ECOLI	C6EAI2_ECOBD	F1
YADI_ECOLI	C6EAS8_ECOBD	F1
YADG_ECOLI	C6EAT0_ECOBD	F1
DLDH_ECOLI	C6EAU1_ECOBD	F1
SECA_ECOLI	C6EAV7_ECOBD	F1
FTSA_ECOLI	C6EAW1_ECOBD	F1
MURG_ECOLI	C6EAW5_ECOBD	F1
KEFF_ECOLI	C6EB07_ECOBD	F1
FIXC_ECOLI	C6EB10_ECOBD	F1
DNAK_ECOLI	C6EB40_ECOBD	F1
MTFA_ECOLI	C6EB91_ECOBD	F1
ARAG_ECOLI	C6EBG0_ECOBD	F1
AK1H_ECOLI	C6EBG7_ECOBD	F1
YJJK_ECOLI	C6EBI0_ECOBD	F1
NADR_ECOLI	C6EBI1_ECOBD	F1
FHUF_ECOLI	C6EBK3_ECOBD	F1
SYD_ECOLI	C6EBW1_ECOBD	F1
ZNUC_ECOLI	C6EBW9_ECOBD	F1
LCFA_ECOLI	C6EC26_ECOBD	F1
PTQA_ECOLI	C6ECM2_ECOBD	F1
BTUD_ECOLI	C6ECP8_ECOBD	F1
FADK_ECOLI	C6ECQ6_ECOBD	F1
SUFB_ECOLI	C6ECS2_ECOBD	F1
SUFC_ECOLI	C6ECS3_ECOBD	F1
SUFD_ECOLI	C6ECS4_ECOBD	F1
SUFS_ECOLI	C6ECS5_ECOBD	F1
HFQ_ECOLI	C6ECV6_ECOBD	F1
FRDA_ECOLI	C6ECW9_ECOBD	F1
PHNC_ECOLI	C6ED18_ECOBD	F1
PHNK_ECOLI	C6ED26_ECOBD	F1
PHNL_ECOLI	C6ED27_ECOBD	F1
SECB_ECOLI	C6EDI0_ECOBD	F1
RNFB_ECOLI	C6EDL8_ECOBD	F1
MLC_ECOLI	C6EDQ4_ECOBD	F1
DMSD_ECOLI	C6EDQ7_ECOBD	F1
MALK_ECOLI	C6EDY7_ECOBD	F1
PTFB3_ECOLI	C6EE56_ECOBD	F1
PTFX2_ECOLI	C6EE61_ECOBD	F1
DPPF_ECOLI	C6EEE0_ECOBD	F1
