Accession	Molecular Function(EcoCyc)
P0AEK4	enoyl-[acyl-carrier-protein] reductase (NADH) activity|oxidoreductase activity
P0A9J6	transferase activity|nucleotide binding|ribokinase activity|kinase activity|ATP binding
C4ZTE0	D-alanine-D-alanine ligase activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
C4ZXW6	nucleotide binding|ATP binding
P0AF12	hydrolase activity|adenosylhomocysteine nucleosidase activity
C4ZUA4	lyase activity|metal ion binding
P0A9S3	oxidoreductase activity|galactitol-1-phosphate 5-dehydrogenase activity|metal ion binding
B1X950	oxidoreductase activity|metal ion binding|L-threonine 3-dehydrogenase activity
P0AFD6	4 iron, 4 sulfur cluster binding|oxidoreductase activity|quinone binding|iron-sulfur cluster binding|NADH dehydrogenase (quinone) activity|metal ion binding
B1XA10	hydrolase activity
C4ZX83	IMP dehydrogenase activity|oxidoreductase activity|metal ion binding
B1X778	oxidoreductase activity|aspartate-semialdehyde dehydrogenase activity
P0AFI7	oxidoreductase activity|pyridoxamine-phosphate oxidase activity
B1X7V3	hydrolase activity|metallopeptidase activity|peptidase activity
B1XDM4	acetyl-CoA:L-glutamate N-acetyltransferase activity|transferase activity|kinase activity|acyltransferase activity
C4ZZC2	peptidase activity
B1XGT4	DNA binding
C4ZQJ1	nuclease activity
C4ZRP4	nucleotide binding|ATP binding
B1XBE8	RNA binding|rRNA binding
B1XF05	kinase activity
P0C7L2	3-oxoadipyl-CoA thiolase activity|transferase activity|acyltransferase activity
B1XCU9	DNA binding
P75905	transferase activity, transferring glycosyl groups|transferase activity
P76350	symporter activity
B1XBA6	transferase activity|kinase activity
P0A8Z3	hydrolase activity
P22106	asparagine synthase (glutamine-hydrolyzing) activity|nucleotide binding|ligase activity|ATP binding
P0A8I8	methyltransferase activity|ribosome binding|rRNA (pseudouridine-N3-)-methyltransferase activity|protein homodimerization activity|transferase activity
B1XDR8	kinase activity
C4ZZY0	transferase activity
C4ZYR9	DNA binding
P45759	nucleotide binding|ATP binding
C4ZU35	DNA binding
P22707	RNA binding
B1XDD4	DNA binding
C4ZQN9	DNA binding
C5A191	lyase activity|nucleotide binding|ATP binding
P08368	DNA binding
P69222	translation initiation factor activity
P06961	hydrolase activity|transferase activity|nucleotide binding|catalytic activity|ATP binding|RNA binding|nucleotidyltransferase activity|metal ion binding
P09831	oxidoreductase activity|iron-sulfur cluster binding|3 iron, 4 sulfur cluster binding|metal ion binding|glutamate synthase (NADPH) activity
P39176	hydrolase activity|transferase activity, transferring glycosyl groups|transferase activity
P75913	oxidoreductase activity|hydroxypyruvate reductase activity|glyoxylate reductase (NADP) activity
P0AE39	DNA binding
C4ZUN9	aminoacyl-tRNA ligase activity|nucleotide binding|ligase activity|ATP binding
P23871	lyase activity|ferrochelatase activity|metal ion binding
B1XHC3	transferase activity|acyltransferase activity
C4ZSL9	oxidoreductase activity
B1XBB2	aldehyde-lyase activity|lyase activity
B1XCN3	DNA binding
P31473	hydrolase activity|nucleotide binding|ATP binding
C4ZQ93	methyltransferase activity|RNA binding|transferase activity
B1X904	hydrolase activity
B1XGG0	DNA binding
C4ZXC7	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|oxidoreductase activity|oxygen transporter activity|nitric oxide dioxygenase activity
C4ZZ62	transferase activity, transferring glycosyl groups|transferase activity
P00370	oxidoreductase activity|glutamate dehydrogenase (NADP+) activity
P39356	DNA binding
P37666	gluconate 2-dehydrogenase activity|oxidoreductase activity|hydroxypyruvate reductase activity|glyoxylate reductase (NADP) activity
C4ZPY4	DNA binding|DNA-directed DNA polymerase activity|transferase activity|nucleotidyltransferase activity
C4ZRQ3	hydrolase activity|dGTPase activity
C4ZTK6	nucleotide binding|ATP binding
P06149	oxidoreductase activity|D-lactate dehydrogenase activity
B1XBU2	DNA binding
P77228	symporter activity
C4ZUX4	cysteine-tRNA ligase activity|aminoacyl-tRNA ligase activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
C4ZUT8	hydrolase activity|nucleotide binding|ATP binding
B1X927	acetyl-CoA carboxylase activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
B1XAF7	isomerase activity|UDP-N-acetylglucosamine 2-epimerase activity
B1XCR2	DNA binding
C4ZVE0	transferase activity|acyltransferase activity
C4ZYP0	DNA binding
C4ZZ69	transferase activity|hydroxymethylbilane synthase activity
C4ZRM4	lyase activity|carboxy-lyase activity|aspartate 1-decarboxylase activity
B1XC82	hydrolase activity
C4ZXT6	hydrolase activity|nucleotide binding|ATP binding
C5A1F8	kinase activity
P32140	isomerase activity
B1X840	DNA binding
B1XDA8	isomerase activity
B1XAM1	GTP binding|nucleotide binding
B1XEC7	DNA binding
C4ZZ15	lipid binding
P24215	lyase activity|mannonate dehydratase activity
P56256	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XBU0	RNA binding
P33643	isomerase activity|RNA binding
C4ZX89	histidine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
B1X854	hydrolase activity|nucleotide binding|ATP binding
P0AED9	methyltransferase activity|transferase activity|DNA (cytosine-5-)-methyltransferase activity
B1XCD5	DNA binding
P0AES2	lyase activity|glucarate dehydratase activity|metal ion binding
P75925	metal ion binding
C4ZWR8	DNA binding
P39360	DNA binding
C4ZRM0	nucleotide binding|ATP binding
C4ZSU7	transferase activity
B1XGJ3	catalase activity|oxidoreductase activity|peroxidase activity|metal ion binding
C5A0K7	lyase activity|arginine decarboxylase activity|carboxy-lyase activity|metal ion binding
B1XFX1	methyltransferase activity|transferase activity
P32156	isomerase activity|racemase and epimerase activity, acting on carbohydrates and derivatives
P0A8F4	uridine kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
P69346	sequence-specific DNA binding|DNA binding|toxin binding
P76472	hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
C4ZV58	transferase activity
P52696	DNA binding
B1XDL7	DNA binding
B1XFT2	nucleotide binding|ATP binding
C4ZVU7	transferase activity|kinase activity|metal ion binding
P22333	hydrolase activity|adenosine deaminase activity|metal ion binding
B1XEP3	DNA binding
B1XC59	methyltransferase activity|transferase activity
B1X798	DNA binding
C4ZUG6	RNA binding|rRNA binding
P39452	oxidoreductase activity|ribonucleoside-diphosphate reductase activity|nucleotide binding|catalytic activity|ATP binding
P00888	3-deoxy-7-phosphoheptulonate synthase activity|transferase activity
C4ZS35	beta-ketoacyl-acyl-carrier-protein synthase II activity|transferase activity|acyltransferase activity
P77544	transferase activity
P0A6P1	translation elongation factor activity
P39369	hydrolase activity
B1X622	protein transporter activity
B1XA82	DNA ligase (NAD+) activity|metal ion binding|ligase activity
P64638	iron-sulfur cluster binding|metal ion binding
B1XBC2	hydrolase activity|acetylornithine deacetylase activity|metal ion binding
C4ZWW0	oxidoreductase activity
B1X962	transferase activity, transferring glycosyl groups|transferase activity
P0ABR5	oxidoreductase activity|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|3-phenylpropionate dioxygenase activity|metal ion binding
B1XBW9	DNA binding
P0ADI4	hydrolase activity|isochorismatase activity
P0CF49	DNA binding
P16678	nucleotide binding|ATP binding
P77432	transferase activity|kinase activity
P76319	transferase activity|acyltransferase activity
P11880	nucleotide binding|UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity|ATP binding|ligase activity
P30014	hydrolase activity|exonuclease activity|nuclease activity
P37127	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
P75794	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|[formate-C-acetyltransferase]-activating enzyme activity|metal ion binding
B1XBQ8	methyltransferase activity|transferase activity
C4ZYT4	DNA binding
P09130	nucleotide binding|ATP binding
B1XAJ5	transferase activity, transferring glycosyl groups|transferase activity
B1XF67	NAD(P)+ transhydrogenase (AB-specific) activity|oxidoreductase activity
P04993	hydrolase activity|helicase activity|nucleotide binding|exonuclease activity|ATP binding|endonuclease activity|nuclease activity|exodeoxyribonuclease V activity
P0CF82	DNA binding
B1XF98	hydrolase activity|metallopeptidase activity|peptidase activity
P25437	oxidoreductase activity|S-(hydroxymethyl)glutathione dehydrogenase activity|alcohol dehydrogenase (NAD) activity|metal ion binding
B1X833	serine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
P0A7E5	CTP synthase activity|nucleotide binding|ligase activity|ATP binding
C4ZZW1	methyltransferase activity|transferase activity
P77334	hydrolase activity|cyclic-guanylate-specific phosphodiesterase activity
B1XC11	transferase activity
B1XAH7	DNA binding
P60584	oxidoreductase activity
B1XGV3	isomerase activity|hydrolase activity
P0ABF1	polynucleotide adenylyltransferase activity|RNA binding|transferase activity|nucleotide binding|ATP binding
B1XFR3	hydrolase activity|carboxylesterase activity
C5A0B7	lyase activity|transferase activity
P76440	dihydrouracil dehydrogenase (NAD+) activity|oxidoreductase activity
P0A6W0	hydrolase activity|glutaminase activity
P45543	transferase activity|nucleotide binding|kinase activity|ATP binding
C5A0T8	lyase activity|uroporphyrinogen decarboxylase activity|carboxy-lyase activity
P0AFS3	dihydrofolate reductase activity|oxidoreductase activity
B1XAE8	nucleotide binding|ligase activity|phosphoribosylaminoimidazolesuccinocarboxamide synthase activity|ATP binding
B1X8W9	hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
C4ZRU5	DNA binding
P08191	protein binding
P30131	transferase activity|metal ion binding
B1XDU2	DNA binding
P0AAL0	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
P0AF90	endoribonuclease inhibitor activity
P76658	transferase activity|kinase activity|catalytic activity|nucleotide binding|nucleotidyltransferase activity|ATP binding
C4ZX49	hydrolase activity
B1XDC2	phosphatidate cytidylyltransferase activity|transferase activity|nucleotidyltransferase activity
C4ZZ55	lyase activity|dTDP-glucose 4,6-dehydratase activity
C4ZVT2	DNA binding
P0A7B8	hydrolase activity|peptidase activity|threonine-type endopeptidase activity|catalytic activity|metal ion binding
B1XG03	DNA binding
C4ZTU1	transferase activity
P76502	hydrolase activity|phosphoprotein phosphatase activity
P77601	DNA binding
C4ZZA4	succinylornithine transaminase activity|transaminase activity|transferase activity
B1XEU0	DNA binding
B1XFS2	hydrolase activity|glutaminase activity
C4ZUF8	RNA binding|rRNA binding
P0AGB0	hydrolase activity|phosphoserine phosphatase activity|metal ion binding
C4ZSS7	DNA binding
P0ACQ0	DNA binding
Q46820	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
B1XD17	metal ion binding
P0AFS9	metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding
B1X6E4	DNA binding
C4ZRL1	aconitate hydratase activity|citrate hydro-lyase (cis-aconitate-forming) activity|lyase activity|isocitrate hydro-lyase (cis-aconitate-forming) activity
P15770	oxidoreductase activity|shikimate 5-dehydrogenase activity
B1X8N2	transaminase activity|transferase activity
P0ACH5	DNA binding
B1XD72	DNA binding
P36995	DNA binding
P76344	metal ion binding
B1XDP4	diaminopimelate decarboxylase activity|lyase activity|carboxy-lyase activity
P0A722	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity|transferase activity|acyltransferase activity
C4ZYG5	transferase activity|nucleotide binding|kinase activity|ATP binding
B1XB32	phosphoribosylformylglycinamidine synthase activity|nucleotide binding|ligase activity|ATP binding
P0AEP3	UTP:glucose-1-phosphate uridylyltransferase activity|transferase activity|nucleotidyltransferase activity
B1X791	DNA binding
P31825	methyltransferase activity|tRNA (adenine-N6-)-methyltransferase activity|transferase activity
B1X7A8	magnesium ion binding|nucleotide binding|dethiobiotin synthase activity|metal ion binding|ATP binding|ligase activity
B1X6E0	methionyl-tRNA formyltransferase activity|methyltransferase activity|transferase activity
P0CF79	DNA binding
C4ZQU8	monooxygenase activity
B1XGM7	peptidase activity
P0A953	3-oxoacyl-[acyl-carrier-protein] synthase activity|transferase activity|acyltransferase activity
P0ACV2	transferase activity|acyltransferase activity
P0ABL1	metal ion binding
B1XC79	kinase activity|nucleotide binding|ATP binding|dephospho-CoA kinase activity
C4ZR08	isomerase activity|glucuronate isomerase activity
B1XEW0	porphobilinogen synthase activity|lyase activity|metal ion binding
C4ZQD8	oxidoreductase activity
C4ZSI1	lyase activity
C5A0A2	hydrolase activity|helicase activity|nucleotide binding|ATP binding
P0ADA1	hydrolase activity|lysophospholipase activity|peptidase activity
P31463	DNA binding
B1XAX6	transferase activity|nucleotide binding|polyphosphate kinase activity|kinase activity|ATP binding
B1X701	hydrolase activity|dCTP deaminase activity
P15034	metallopeptidase activity|hydrolase activity|peptidase activity|aminopeptidase activity|metal ion binding
P75817	4 iron, 4 sulfur cluster binding|methyltransferase activity|iron-sulfur cluster binding|transferase activity|metal ion binding
Q47274	DNA binding
B1XCV6	oxidoreductase activity|nitrite reductase (cytochrome, ammonia-forming) activity|metal ion binding
B1XCF6	hydrolase activity
B1XD91	magnesium ion binding|transferase activity|DNA binding|DNA-directed DNA polymerase activity|metal ion binding|nucleotidyltransferase activity
B1X7J5	transferase activity|kinase activity|nucleotide binding|metal ion binding|hydroxyethylthiazole kinase activity|ATP binding
C4ZRD1	hydrolase activity|peptidase activity|aminopeptidase activity|metal ion binding
D0VEY7	transferase activity|acyltransferase activity
B1XAR8	iron-sulfur cluster binding|oxidoreductase activity|metal ion binding
P39358	lyase activity
P11349	nitrate reductase activity|4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|oxidoreductase activity|3 iron, 4 sulfur cluster binding|metal ion binding
C4ZT81	transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZRJ0	GTP binding|nucleotide binding
C4ZYF7	oxidoreductase activity
P0CE49	DNA binding
P75970	DNA binding
C5A040	DNA binding
C5A1F5	hydrolase activity|GTP binding|nucleotide binding|metal ion binding
B1X652	N-acyltransferase activity|transferase activity|acyltransferase activity
P0A9G2	DNA binding
B1XG86	DNA binding
C4ZRI3	UDP-N-acetylmuramoylalanine-D-glutamate ligase activity|nucleotide binding|ligase activity|ATP binding
P0A7F9	isomerase activity|transferase activity
P0A8D0	DNA binding|nucleotide binding|metal ion binding|ATP binding
B1XGY9	methyltransferase activity|transferase activity
B1XFU7	transferase activity
P0AAH8	nucleotide binding|ATP binding
P30745	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|GTP binding|nucleotide binding|metal ion binding
B1XD37	hydrolase activity|peptidase activity|aminopeptidase activity|metal ion binding
B1XBX8	isomerase activity|glutamate racemase activity
B1XGN8	oxidoreductase activity|peptide-methionine (R)-S-oxide reductase activity|metal ion binding
P69791	transferase activity
B1X8E4	transferase activity|kinase activity
P37672	oxidoreductase activity|3-dehydro-L-gulonate 2-dehydrogenase activity
C4ZSH0	DNA binding
Q06067	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
B1XFL8	oxidoreductase activity
P00894	acetolactate synthase activity|transferase activity
P04395	hydrolase activity|alkylbase DNA N-glycosylase activity
C4ZU17	transferase activity
C4ZXG0	DNA binding
B1XFE1	hydrolase activity
C4ZUV3	transferase activity
P03024	DNA binding
P0A9H3	lyase activity|carboxy-lyase activity|lysine decarboxylase activity
B1X8M9	carboxypeptidase activity
C4ZU94	hydrolase activity
B1XC95	lyase activity|adenosylmethionine decarboxylase activity|carboxy-lyase activity
C4ZQJ7	lyase activity|D-cysteine desulfhydrase activity
P76621	metal ion binding
P77579	transferase activity
C5A0V6	methyltransferase activity|cobalamin binding|metal ion binding
B1XBE5	DNA binding
P02920	symporter activity
P69776	lipid binding|peptidoglycan binding
B1X764	DNA binding|nucleotide binding|ATP binding
B1XFC3	hydrolase activity|hydrolase activity, acting on glycosyl bonds
B1XG61	hydrolase activity|transferase activity|nucleotide binding|catalytic activity|ATP binding|RNA binding|nucleotidyltransferase activity|metal ion binding
B1XDU6	transferase activity
D0VEZ0	acetyl-CoA carboxylase activity|nucleotide binding|ligase activity|ATP binding
P0A9P4	oxidoreductase activity|thioredoxin-disulfide reductase activity
P0ACR9	DNA binding
B1XFJ3	isomerase activity|phosphopentomutase activity|metal ion binding
P0A6Q6	lyase activity
B1X8V5	DNA binding
B1X6G8	RNA binding|rRNA binding
Q9JMT8	DNA binding
B1XAQ3	methyltransferase activity|transferase activity
P36672	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
B1XEG3	transferase activity|kinase activity
C5A093	glycerol kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
P05719	DNA binding
C4ZSM0	oxidoreductase activity
C4ZPX9	unfolded protein binding|isomerase activity|peptidyl-prolyl cis-trans isomerase activity
P0AEE3	hydrolase activity|serine-type peptidase activity|peptidase activity
C4ZT71	DNA binding|nucleotide binding|metal ion binding|ATP binding
C4ZWD5	ligase activity
B1XF11	RNA binding|tRNA binding|transferase activity|nucleotide binding|ATP binding
B1XFV2	transferase activity|phosphotransferase activity, alcohol group as acceptor|kinase activity|nucleotide binding|ATP binding
P37685	oxidoreductase activity
C4ZVX7	oxidoreductase activity
C5A1B7	transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZV12	receptor activity
B1X829	DNA binding
P75715	sugar binding|mannose binding
P45769	nucleotide binding|ATP binding
P63177	methyltransferase activity|transferase activity
P37595	hydrolase activity|peptidase activity|beta-aspartyl-peptidase activity
B1XB17	ferredoxin-NAD+ reductase activity|oxidoreductase activity
P75993	DNA binding
C4ZVC3	oxidoreductase activity
C4ZQY5	hydrolase activity|hydrolase activity, acting on glycosyl bonds|DNA binding
B1XC03	DNA binding
P0ADY3	RNA binding|rRNA binding
P08244	orotidine-5'-phosphate decarboxylase activity|lyase activity|carboxy-lyase activity
P06999	transferase activity|nucleotide binding|6-phosphofructokinase activity|kinase activity|ATP binding
B1X7R9	sigma factor activity|DNA binding
C4ZPW2	hydro-lyase activity
B1XG64	glycerol-3-phosphate O-acyltransferase activity|transferase activity, transferring acyl groups other than amino-acyl groups|transferase activity
B1XFH0	isomerase activity|DNA topoisomerase activity
P07648	hydrolase activity|helicase activity|nucleotide binding|exonuclease activity|ATP binding|endonuclease activity|nuclease activity|exodeoxyribonuclease V activity
P25550	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XHD4	aspartate-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
P11875	arginine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
B1X7M1	hydrolase activity
B1XDN6	hydrolase activity
B1X6W2	lyase activity
P46130	hydrolase activity|aspartyl esterase activity
P77589	symporter activity
B1XA36	hydrolase activity|nucleotide binding|ATP binding
C4ZUU3	peptidase activity
P09053	valine-pyruvate transaminase activity|transaminase activity|transferase activity
P42588	transaminase activity|transferase activity|butane-1,4-diamine:2-oxoglutarate aminotransferase activity
P77790	metallopeptidase activity|hydrolase activity|peptidase activity|dipeptidase activity
C4ZSQ7	isomerase activity|pseudouridine synthase activity
P31545	oxidoreductase activity|peroxidase activity|metal ion binding
C4ZV28	transferase activity
B1XCS1	isomerase activity
C4ZSW3	lyase activity|N-acetylneuraminate lyase activity
C4ZZM6	oxidoreductase activity
B1X8Y9	oxidoreductase activity
C4ZYV1	DNA binding
P0AB58	metal ion binding
B1XHH2	isomerase activity
P0AB87	lyase activity|L-fuculose-phosphate aldolase activity|metal ion binding
P64594	hydrolase activity|nuclease activity|endonuclease activity
P0AGF6	lyase activity|L-threonine ammonia-lyase activity|catalytic activity
Q6BF16	lyase activity|2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity
P18776	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
C5A075	symporter activity
P77182	methyltransferase activity|oxidoreductase activity|tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity|transferase activity|catalytic activity
C4ZXH9	oxidoreductase activity
P09126	lyase activity|uroporphyrinogen-III synthase activity
P0A7G6	DNA binding|nucleotide binding|ATP binding
D0VEX6	oxidoreductase activity|glycerol-3-phosphate dehydrogenase [NAD(P)+] activity
C4ZRF5	sigma factor activity|DNA binding
P0A769	symporter activity
B1XFQ6	transferase activity, transferring glycosyl groups|adenine phosphoribosyltransferase activity|transferase activity
C5A0S3	RNA binding|rRNA binding
B1XGS9	lyase activity
B1X6Z6	protein tyrosine kinase activity|kinase activity
P0CF69	DNA binding
Q6BEX0	nucleotide binding|ATP binding
B1X8F6	nucleotide binding|ATP binding
P07330	hydrolase activity|protein-glutamate methylesterase activity
C4ZSU8	transferase activity
P30136	4 iron, 4 sulfur cluster binding|lyase activity|iron-sulfur cluster binding|metal ion binding
B1X824	RNA binding|translation initiation factor activity
B1X7S7	hydrolase activity|nucleotide binding|ATP binding
B1XG72	sigma factor activity|DNA binding
B1XEM5	metal ion binding
C4ZXG6	oxidoreductase activity|3-dehydro-L-gulonate 2-dehydrogenase activity
C4ZZQ4	adenylylsulfate kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
B1XFJ1	lyase activity|deoxyribose-phosphate aldolase activity
C4ZT12	DNA binding
P25524	hydrolase activity|cytosine deaminase activity|metal ion binding
P0A6X7	DNA binding
P0A8V0	hydrolase activity|exonuclease activity|metal ion binding|nuclease activity|endonuclease activity
P0A9F3	DNA binding
P25748	DNA binding
B1XCS6	adenylylsulfate kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
P25740	transferase activity, transferring glycosyl groups|transferase activity
P46853	oxidoreductase activity
C4ZUG1	RNA binding|rRNA binding
B1X7B1	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|GTP binding|nucleotide binding|metal ion binding
C5A167	lyase activity
C4ZU10	transferase activity|kinase activity
B1X7F2	hydrolase activity
C4ZU52	serine-type endopeptidase inhibitor activity|peptidase inhibitor activity
C4ZYH8	RNA binding|rRNA binding
C4ZR71	transferase activity
C4ZUD2	DNA binding
C4ZZX9	thymidylate synthase activity|methyltransferase activity|transferase activity
P0ACZ2	hydrolase activity|protein tyrosine phosphatase activity|phosphoprotein phosphatase activity
P38051	isomerase activity|isochorismate synthase activity
P0AFB5	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
P0CF61	DNA binding
B1XEL0	oxidoreductase activity|erythrose-4-phosphate dehydrogenase activity
P36673	DNA binding
C4ZTT2	lyase activity
P12758	transferase activity, transferring glycosyl groups|uridine phosphorylase activity|transferase activity
P0A9D8	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity|transferase activity|acyltransferase activity
P09029	5-(carboxyamino)imidazole ribonucleotide synthase activity|nucleotide binding|ATP binding|ligase activity
P37661	transferase activity
P0AFH0	methyltransferase activity|transferase activity|methylated-DNA-[protein]-cysteine S-methyltransferase activity
P23865	hydrolase activity|serine-type peptidase activity|peptidase activity
C5A0B9	transferase activity
C4ZTR5	DNA binding
B1XA44	hydrolase activity
P0ACK2	DNA binding
P76343	metal ion binding
C4ZTZ6	oxidoreductase activity
P32675	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|[formate-C-acetyltransferase]-activating enzyme activity|metal ion binding
P76114	DNA binding
B1X7E2	oxidoreductase activity|DNA binding|metal ion binding
P42596	methyltransferase activity|transferase activity
B1XBP1	nucleotide binding|ATP binding
B1XDY5	transferase activity|nucleotide binding|kinase activity|ATP binding|glutamate 5-kinase activity
B1X8N3	porin activity
C5A0U4	transferase activity|nucleotide binding|kinase activity|ATP binding
P38489	6,7-dihydropteridine reductase activity|oxidoreductase activity
P39206	transferase activity
P0A8S1	DNA binding
C4ZU38	lyase activity
P0CF57	DNA binding
P0A8G9	hydrolase activity|exonuclease activity|nuclease activity|exodeoxyribonuclease VII activity
B1X864	transferase activity|kinase activity
B1XEY6	exonuclease activity
B1X882	helicase activity|nucleotide binding|ATP binding
C4ZSJ8	methionine-tRNA ligase activity|tRNA binding|nucleotide binding|ATP binding|ligase activity|RNA binding|aminoacyl-tRNA ligase activity|metal ion binding
C4ZZA3	arginine N-succinyltransferase activity|transferase activity|acyltransferase activity
B1X732	hydrolase activity|phosphoglycolate phosphatase activity
C5A0N2	hydrolase activity|hydrolase activity, acting on glycosyl bonds
P0A6B7	transferase activity|cysteine desulfurase activity
B1XGY0	GTP binding|nucleotide binding|translation initiation factor activity
B1X6C1	metal ion binding
B1XGW8	transferase activity|acyltransferase activity
C4ZYW0	DNA binding
P76268	DNA binding
B1X9D0	hydrolase activity
C4ZUL1	transferase activity|phosphoribulokinase activity|nucleotide binding|kinase activity|ATP binding
B1XEX0	D-alanine-D-alanine ligase activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
B1XAL0	translation elongation factor activity
C4ZX01	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
C5A149	transferase activity
B1XGI4	transferase activity|kinase activity
P76503	transferase activity|acetyl-CoA C-acyltransferase activity|acyltransferase activity
B1XEZ4	queuine tRNA-ribosyltransferase activity|transferase activity, transferring glycosyl groups|transferase activity|metal ion binding
C4ZRG4	transferase activity
