Locus	Gene Symbol	Common Name	EC Number	5' End	3' End	DNA molecule	
ECK0087:JW0084:b0086	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	 	94650	96008	Chromosome Escherichia coli W3110	
ECK0091:JW0088:b0090	murG	N-acetylglucosaminyl transferase	 	99644	100711	Chromosome Escherichia coli W3110	
ECK0092:JW0089:b0091	murC	UDP-N-acetylmuramate:L-alanine ligase	 	100765	102240	Chromosome Escherichia coli W3110	
ECK0093:JW0090:b0092	ddlB	D-Alanine:D-alanine ligase	 	102233	103153	Chromosome Escherichia coli W3110	
ECK0094:JW0091:b0093	ftsQ	membrane anchored protein involved in growth of wall at septum	 	103155	103985	Chromosome Escherichia coli W3110	
ECK0095:JW0092:b0094	ftsA	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	 	103982	105244	Chromosome Escherichia coli W3110	
ECK0097:JW0094:b0096	lpxC	UDP-3-O-acyl N-acetylglucosamine deacetylase	 	106557	107474	Chromosome Escherichia coli W3110	
ECK0098:JW5007:b0097	secM	regulator of secA translation	 	107705	108217	Chromosome Escherichia coli W3110	
ECK0099:JW0096:b0098	secA	preprotein translocase subunit, ATPase that targets protein precursors to the SecYE core translocon	 	108279	110984	Chromosome Escherichia coli W3110	
ECK0100:JW0097:b0099	mutT	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	 	111044	111433	Chromosome Escherichia coli W3110	
ECK0102:JW0099:b0102	yacF	conserved hypothetical protein	 	112599	111856	Chromosome Escherichia coli W3110	
ECK0103:JW0100:b0103	coaE	dephospho-CoA kinase	 	113219	112599	Chromosome Escherichia coli W3110	
ECK0104:JW0101:b0104	guaC	GMP reductase	 	113444	114487	Chromosome Escherichia coli W3110	
ECK0106:JW0103:b0107	hofB	conserved hypothetical protein with nucleoside triphosphate hydrolase domain	 	117099	115714	Chromosome Escherichia coli W3110	
ECK0107:JW0104:b0108	ppdD	predicted major pilin subunit	 	117549	117109	Chromosome Escherichia coli W3110	
ECK0108:JW0105:b0109	nadC	quinolinate phosphoribosyltransferase	 	118645	117752	Chromosome Escherichia coli W3110	
ECK0109:JW0106:b0110	ampD	N-acetyl-anhydromuranmyl-L-alanine amidase	 	118733	119284	Chromosome Escherichia coli W3110	
ECK0110:JW0107:b0111	ampE	predicted inner membrane protein	 	119281	120135	Chromosome Escherichia coli W3110	
ECK0111:JW0108:b0112	aroP	aromatic amino acid transporter	 	121551	120178	Chromosome Escherichia coli W3110	
ECK0112:JW0109:b0113	pdhR	DNA-binding transcriptional dual regulator	 	122092	122856	Chromosome Escherichia coli W3110	
ECK0113:JW0110:b0114	aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	 	123017	125680	Chromosome Escherichia coli W3110	
ECK0115:JW0112:b0116	lpd	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	 	127912	129336	Chromosome Escherichia coli W3110	
ECK0117:JW0114:b0118	acnB	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	 	131615	134212	Chromosome Escherichia coli W3110	
ECK0118:JW0115:b0119	yacL	conserved hypothetical protein	 	134388	134750	Chromosome Escherichia coli W3110	
ECK0119:JW0116:b0120	speD	S-adenosylmethionine decarboxylase	 	135582	134788	Chromosome Escherichia coli W3110	
ECK0120:JW0117:b0121	speE	spermidine synthase	 	136464	135598	Chromosome Escherichia coli W3110	
ECK0121:JW0118:b0122	yacC	hypothetical protein	 	136917	136570	Chromosome Escherichia coli W3110	
ECK0123:JW0120:b0124	gcd	glucose dehydrogenase	 	141225	138835	Chromosome Escherichia coli W3110	
ECK0124:JW5009:b0125	hpt	hypoxanthine phosphoribosyltransferase	 	141431	141967	Chromosome Escherichia coli W3110	
ECK0125:JW0122:b0126	can	carbonic anhydrase	 	142670	142008	Chromosome Escherichia coli W3110	
ECK0126:JW0123:b0127	yadG	predicted transporter subunit	 	142779	143705	Chromosome Escherichia coli W3110	
ECK0128:JW0125:b0129	yadI	predicted PTS Enzyme IIA	 	144577	145017	Chromosome Escherichia coli W3110	
ECK0129:JW0126:b0130	yadE	predicted polysaccharide deacetylase lipoprotein	 	145081	146310	Chromosome Escherichia coli W3110	
ECK0130:JW0127:b0131	panD	aspartate 1-decarboxylase	 	146694	146314	Chromosome Escherichia coli W3110	
ECK0131:JW5010:b0132	yadD	predicted transposase	 	146968	147870	Chromosome Escherichia coli W3110	
ECK0132:JW0129:b0133	panC	pantothenate synthetase	 	148795	147944	Chromosome Escherichia coli W3110	
ECK0142:JW5808:b0143	pcnB	poly(A) polymerase I	 	159126	157729	Chromosome Escherichia coli W3110	
ECK0143:JW5892:b0144	yadB	glutamyl-Q tRNA(Asp) synthetase	 	160112	159186	Chromosome Escherichia coli W3110	
ECK0144:JW0141:b0145	dksA	transcriptional regulator of rRNA transcription, DnaK suppressor protein	 	160604	160149	Chromosome Escherichia coli W3110	
ECK0145:JW0142:b0146	sfsA	predicted DNA-binding transcriptional regulator	 	161486	160782	Chromosome Escherichia coli W3110	
ECK0146:JW5011:b0147	ligT	2-5 RNA ligase	 	162031	161501	Chromosome Escherichia coli W3110	
ECK0147:JW0144:b0148	hrpB	predicted ATP-dependent helicase	 	162105	164534	Chromosome Escherichia coli W3110	
ECK0150:JW0147:b0151	fhuC	iron-hydroxamate transporter subunit	 	169778	170575	Chromosome Escherichia coli W3110	
ECK0151:JW0148:b0152	fhuD	iron-hydroxamate transporter subunit	 	170575	171465	Chromosome Escherichia coli W3110	
ECK0153:JW0150:b0154	hemL	glutamate-1-semialdehyde aminotransferase	 	174882	173602	Chromosome Escherichia coli W3110	
ECK0155:JW0152:b0156	yadR	conserved hypothetical protein	 	176610	176954	Chromosome Escherichia coli W3110	
ECK0157:JW0154:b0158	btuF	vitamin B12 transporter subunit	 	178462	177662	Chromosome Escherichia coli W3110	
ECK0158:JW0155:b0159	pfs	5-methylthioadenosine/S-adenosylhomocysteine nucleosidase	 	179153	178455	Chromosome Escherichia coli W3110	
ECK0159:JW0156:b0160	dgt	deoxyguanosine triphosphate triphosphohydrolase	 	179237	180754	Chromosome Escherichia coli W3110	
ECK0161:JW5013:b0162	cdaR	DNA-binding transcriptional regulator	 	182463	183620	Chromosome Escherichia coli W3110	
ECK0162:JW0159:b0163	yaeH	conserved hypothetical protein	 	184095	183709	Chromosome Escherichia coli W3110	
ECK0164:JW0161:b0166	dapD	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	 	185947	185123	Chromosome Escherichia coli W3110	
ECK0165:JW0162:b0167	glnD	uridylyltransferase	 	188650	185978	Chromosome Escherichia coli W3110	
ECK0166:JW0163:b0168	map	methionine aminopeptidase	 	189506	188712	Chromosome Escherichia coli W3110	
ECK0168:JW0164:b0169	rpsB	30S ribosomal subunit protein S2	 	189874	190599	Chromosome Escherichia coli W3110	
ECK0170:JW0166:b0171	pyrH	uridylate kinase	 	191855	192580	Chromosome Escherichia coli W3110	
ECK0171:JW0167:b0172	frr	ribosome recycling factor	 	192872	193429	Chromosome Escherichia coli W3110	
ECK0173:JW0169:b0174	ispU	undecaprenyl pyrophosphate synthase	 	194903	195664	Chromosome Escherichia coli W3110	
ECK0174:JW5810:b0175	cdsA	CDP-diglyceride synthase	 	195677	196534	Chromosome Escherichia coli W3110	
ECK0175:JW0171:b0176	yaeL	zinc metallopeptidase	 	196546	197898	Chromosome Escherichia coli W3110	
ECK0176:JW0172:b0177	yaeT	conserved hypothetical protein	 	197928	200360	Chromosome Escherichia coli W3110	
ECK0178:JW0174:b0179	lpxD	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	 	200971	201996	Chromosome Escherichia coli W3110	
ECK0179:JW0175:b0180	fabZ	(3R)-hydroxymyristol acyl carrier protein dehydratase	 	202101	202556	Chromosome Escherichia coli W3110	
ECK0180:JW0176:b0181	lpxA	UDP-N-acetylglucosamine acetyltransferase	 	202560	203348	Chromosome Escherichia coli W3110	
ECK0181:JW0177:b0182	lpxB	tetraacyldisaccharide-1-P synthase	 	203348	204496	Chromosome Escherichia coli W3110	
ECK0182:JW0178:b0183	rnhB	ribonuclease HII, degrades RNA of DNA-RNA hybrids	 	204493	205089	Chromosome Escherichia coli W3110	
ECK0183:JW0179:b0184	dnaE	DNA polymerase III alpha subunit	 	205126	208608	Chromosome Escherichia coli W3110	
ECK0185:JW0181:b0186	ldcC	lysine decarboxylase 2, constitutive	 	209679	211820	Chromosome Escherichia coli W3110	
ECK0188:JW0184:b0189	rof	modulator of Rho-dependent transcription termination	 	213932	213678	Chromosome Escherichia coli W3110	
ECK0190:JW0186:b0190	yaeQ	conserved hypothetical protein	 	214291	214836	Chromosome Escherichia coli W3110	
ECK0191:JW0187:b0191	yaeJ	conserved hypothetical protein	 	214833	215255	Chromosome Escherichia coli W3110	
ECK0192:JW0188:b0192	nlpE	lipoprotein involved with copper homeostasis and adhesion	 	215269	215979	Chromosome Escherichia coli W3110	
ECK0194:JW0190:b0194	proS	prolyl-tRNA synthetase	 	218775	217057	Chromosome Escherichia coli W3110	
ECK0195:JW0191:b0195	yaeB	conserved hypothetical protein	 	219594	218887	Chromosome Escherichia coli W3110	
ECK0197:JW0193:b0197	metQ	DL-methionine transporter subunit	 	220928	220113	Chromosome Escherichia coli W3110	
ECK0199:JW0195:b0199	metN	DL-methionine transporter subunit	 	222645	221614	Chromosome Escherichia coli W3110	
ECK0200:JW0196:b0200	gmhB	D,D-heptose 1,7-bisphosphate phosphatase	 	222833	223408	Chromosome Escherichia coli W3110	
ECK0207:JW0197:b0207	dkgB	2,5-diketo-D-gluconate reductase B	 	229167	229970	Chromosome Escherichia coli W3110	
ECK0208:JW0198:b0208	yafC	predicted DNA-binding transcriptional regulator	 	230881	229967	Chromosome Escherichia coli W3110	
ECK0209:JW5017:b0209	yafD	conserved hypothetical protein	 	231122	231922	Chromosome Escherichia coli W3110	
ECK0210:JW0200:b0210	yafE	predicted S-adenosyl-L-methionine-dependent methyltransferase	 	231926	232549	Chromosome Escherichia coli W3110	
ECK0211:JW5018:b0211	mltD	predicted membrane-bound lytic murein transglycosylase D	 	233955	232597	Chromosome Escherichia coli W3110	
ECK0212:JW0202:b0212	gloB	predicted hydroxyacylglutathione hydrolase	 	234782	234027	Chromosome Escherichia coli W3110	
ECK0213:JW0203:b0213	yafS	predicted S-adenosyl-L-methionine-dependent methyltransferase	 	234816	235538	Chromosome Escherichia coli W3110	
ECK0214:JW0204:b0214	rnhA	ribonuclease HI, degrades RNA of DNA-RNA hybrids	 	236002	235535	Chromosome Escherichia coli W3110	
ECK0215:JW0205:b0215	dnaQ	DNA polymerase III epsilon subunit	 	236067	236798	Chromosome Escherichia coli W3110	
ECK0220:JW5019:b0219	yafV	predicted C-N hydrolase family amidase, NAD(P)-binding	 	240189	239419	Chromosome Escherichia coli W3110	
ECK0221:JW0210:b0220	ivy	inhibitor of vertebrate C-lysozyme	 	240343	240816	Chromosome Escherichia coli W3110	
ECK0222:JW5020:b0221	fadE	acyl coenzyme A dehydrogenase	 	243303	240859	Chromosome Escherichia coli W3110	
ECK0223:JW0212:b0222	lpcA	D-sedoheptulose 7-phosphate isomerase	 	243543	244121	Chromosome Escherichia coli W3110	
ECK0224:JW0213:b0223	yafJ	predicted amidotransfease	 	244327	245094	Chromosome Escherichia coli W3110	
ECK0225:JW0214:b0224	yafK	conserved hypothetical protein	 	245805	245065	Chromosome Escherichia coli W3110	
ECK0228:JW0217:b0227	yafL	predicted lipoprotein and C40 family peptidase	 	246712	247461	Chromosome Escherichia coli W3110	
ECK0232:JW0221:b0231	dinB	DNA polymerase IV	 	250898	251953	Chromosome Escherichia coli W3110	
ECK0238:JW0227:b0237	pepD	aminoacyl-histidine dipeptidase	 	255716	254259	Chromosome Escherichia coli W3110	
ECK0239:JW0228:b0238	gpt	guanine-hypoxanthine phosphoribosyltransferase	 	255977	256435	Chromosome Escherichia coli W3110	
ECK0240:JW0229:b0239	frsA	hydrolase, binds to enzyme IIA(Glc)	 	256527	257771	Chromosome Escherichia coli W3110	
ECK0242:JW0231:b0241	phoE	outer membrane phosphoporin protein E	 	259324	258269	Chromosome Escherichia coli W3110	
ECK0243:JW0232:b0242	proB	gamma-glutamate kinase	 	259612	260715	Chromosome Escherichia coli W3110	
ECK0244:JW0233:b0243	proA	gamma-glutamylphosphate reductase	 	260727	261980	Chromosome Escherichia coli W3110	
ECK0340:JW0334:b0343	lacY	lactose/galactose transporter	 	362403	361150	Chromosome Escherichia coli W3110	
ECK0351:JW0345:b0354	yaiL	nucleoprotein/polynucleotide-associated enzyme	 	375996	376535	Chromosome Escherichia coli W3110	
ECK0352:JW0346:b0355	frmB	predicted esterase	 	377592	376759	Chromosome Escherichia coli W3110	
ECK0353:JW0347:b0356	frmA	alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase	 	378795	377686	Chromosome Escherichia coli W3110	
ECK0354:JW0348:b0357	frmR	regulator protein that represses frmRAB operon	 	379105	378830	Chromosome Escherichia coli W3110	
ECK0365:JW0360:b0368	tauD	taurine dioxygenase, 2-oxoglutarate-dependent	 	387019	387870	Chromosome Escherichia coli W3110	
ECK0366:JW0361:b0369	hemB	porphobilinogen synthase	 	388951	387977	Chromosome Escherichia coli W3110	
ECK0371:JW5052:b0376	ampH	beta-lactamase/D-alanine carboxypeptidase	 	395511	394354	Chromosome Escherichia coli W3110	
ECK0372:JW0368:b0377	sbmA	predicted transporter	 	395863	397083	Chromosome Escherichia coli W3110	
ECK0374:JW0370:b0379	yaiY	predicted inner membrane protein	 	398557	398249	Chromosome Escherichia coli W3110	
ECK0375:JW5053:b0380	yaiZ	predicted inner membrane protein	 	398817	399029	Chromosome Escherichia coli W3110	
ECK0376:JW0372:b0381	ddlA	D-alanine-D-alanine ligase A	 	400147	399053	Chromosome Escherichia coli W3110	
ECK0377:JW0373:b0382	yaiB	hypothetical protein	 	400610	400870	Chromosome Escherichia coli W3110	
ECK0380:JW0376:b0385	yaiC	predicted diguanylate cyclase	 	402927	404042	Chromosome Escherichia coli W3110	
ECK0381:JW0377:b0386	proC	pyrroline-5-carboxylate reductase, NAD(P)-binding	 	404868	404059	Chromosome Escherichia coli W3110	
ECK0382:JW0378:b0387	yaiI	conserved hypothetical protein	 	404988	405446	Chromosome Escherichia coli W3110	
ECK0383:JW0379:b0388	aroL	shikimate kinase II	 	405629	406153	Chromosome Escherichia coli W3110	
ECK0385:JW0381:b0390	aroM	conserved hypothetical protein	 	406652	407329	Chromosome Escherichia coli W3110	
ECK0386:JW0382:b0391	yaiE	conserved hypothetical protein	 	407401	407685	Chromosome Escherichia coli W3110	
ECK0388:JW0384:b0393	rdgC	DNA-binding protein, non-specific	 	409243	408332	Chromosome Escherichia coli W3110	
ECK0389:JW0385:b0394	mak	manno(fructo)kinase	 	409368	410276	Chromosome Escherichia coli W3110	
ECK0392:JW0388:b0398	sbcD	exonuclease, dsDNA, ATP-dependent	 	416176	414974	Chromosome Escherichia coli W3110	
ECK0393:JW0389:b0399	phoB	DNA-binding response regulator in two-component regulatory system with PhoR (or CreC)	 	416366	417055	Chromosome Escherichia coli W3110	
ECK0394:JW0390:b0400	phoR	sensory histidine kinase in two-component regulatory system with PhoB	 	417113	418408	Chromosome Escherichia coli W3110	
ECK0395:JW0391:b0401	brnQ	predicted branched chain amino acid transporter	 	418815	420134	Chromosome Escherichia coli W3110	
ECK0397:JW0393:b0403	malZ	maltodextrin glucosidase	 	421739	423556	Chromosome Escherichia coli W3110	
ECK0399:JW0395:b0405	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	 	424235	425305	Chromosome Escherichia coli W3110	
ECK0400:JW0396:b0406	tgt	tRNA-guanine transglycosylase	 	425361	426488	Chromosome Escherichia coli W3110	
ECK0401:JW0397:b0407	yajC	SecYEG protein translocase auxillary subunit	 	426511	426843	Chromosome Escherichia coli W3110	
ECK0402:JW0398:b0408	secD	SecYEG protein translocase auxillary subunit	 	426871	428718	Chromosome Escherichia coli W3110	
ECK0403:JW0399:b0409	secF	SecYEG protein translocase auxillary subunit	 	428729	429700	Chromosome Escherichia coli W3110	
ECK0404:JW0400:b0410	yajD	conserved hypothetical protein	 	429829	430176	Chromosome Escherichia coli W3110	
ECK0405:JW0401:b0411	tsx	nucleoside channel, receptor of phage T6 and colicin K	 	431237	430353	Chromosome Escherichia coli W3110	
ECK0407:JW0403:b0413	ybaD	conserved hypothetical protein	 	432226	432675	Chromosome Escherichia coli W3110	
ECK0408:JW0404:b0414	ribD	fused diaminohydroxyphosphoribosylaminopyrimidin e deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase	 	432679	433782	Chromosome Escherichia coli W3110	
ECK0409:JW0405:b0415	ribE	riboflavin synthase beta chain	 	433871	434341	Chromosome Escherichia coli W3110	
ECK0411:JW0407:b0417	thiL	thiamin-monophosphate kinase	 	434858	435835	Chromosome Escherichia coli W3110	
ECK0412:JW0408:b0418	pgpA	phosphatidylglycerophosphatase A	 	435813	436331	Chromosome Escherichia coli W3110	
ECK0413:JW0409:b0419	yajO	predicted oxidoreductase, NAD(P)-binding	 	437359	436385	Chromosome Escherichia coli W3110	
ECK0414:JW0410:b0420	dxs	1-deoxyxylulose-5-phosphate synthase, thiamine-requiring, FAD-requiring	 	439401	437539	Chromosome Escherichia coli W3110	
ECK0415:JW0411:b0421	ispA	geranyltranstransferase	 	440325	439426	Chromosome Escherichia coli W3110	
ECK0418:JW5057:b0424	yajL	conserved hypothetical protein	 	442865	442275	Chromosome Escherichia coli W3110	
ECK0419:JW0415:b0425	panE	2-dehydropantoate reductase, NADPH-specific	 	443739	442828	Chromosome Escherichia coli W3110	
ECK0420:JW5058:b0426	yajQ	predicted nucleotide binding protein	 	443907	444398	Chromosome Escherichia coli W3110	
ECK0421:JW5059:b0427	yajR	predicted transporter	 	445890	444526	Chromosome Escherichia coli W3110	
ECK0422:JW0418:b0428	cyoE	protoheme IX farnesyltransferase	 	446929	446039	Chromosome Escherichia coli W3110	
ECK0423:JW0419:b0429	cyoD	cytochrome o ubiquinol oxidase subunit IV	 	447270	446941	Chromosome Escherichia coli W3110	
ECK0424:JW0420:b0430	cyoC	cytochrome o ubiquinol oxidase subunit III	 	447884	447270	Chromosome Escherichia coli W3110	
ECK0425:JW0421:b0431	cyoB	cytochrome o ubiquinol oxidase subunit I	 	449865	447874	Chromosome Escherichia coli W3110	
ECK0426:JW0422:b0432	cyoA	cytochrome o ubiquinol oxidase subunit II	 	450834	449887	Chromosome Escherichia coli W3110	
ECK0428:JW0424:b0434	yajG	predicted lipoprotein	 	453391	452813	Chromosome Escherichia coli W3110	
ECK0429:JW5060:b0435	bolA	regulator of penicillin binding proteins and beta lactamase transcription (morphogene)	 	453696	454013	Chromosome Escherichia coli W3110	
ECK0430:JW0426:b0436	tig	peptidyl-prolyl cis/trans isomerase	 	454357	455655	Chromosome Escherichia coli W3110	
ECK0431:JW0427:b0437	clpP	proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	 	455901	456524	Chromosome Escherichia coli W3110	
ECK0432:JW0428:b0438	clpX	ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease	 	456650	457924	Chromosome Escherichia coli W3110	
ECK0433:JW0429:b0439	lon	DNA-binding ATP-dependent protease La	 	458112	460466	Chromosome Escherichia coli W3110	
ECK0435:JW0431:b0441	ppiD	peptidyl-prolyl cis-trans isomerase	 	461139	463010	Chromosome Escherichia coli W3110	
ECK0438:JW0434:b0444	ybaX	predicted aluminum resistance protein	 	464771	464076	Chromosome Escherichia coli W3110	
ECK0439:JW0435:b0445	ybaE	predicted transporter subunit	 	466536	464836	Chromosome Escherichia coli W3110	
ECK0440:JW0436:b0446	cof	thiamin pyrimidine pyrophosphate hydrolase	 	466636	467454	Chromosome Escherichia coli W3110	
ECK0441:JW0437:b0447	ybaO	predicted DNA-binding transcriptional regulator	 	467607	468065	Chromosome Escherichia coli W3110	
ECK0442:JW0438:b0448	mdlA	fused predicted multidrug transporter subunits and ATP-binding components of ABC superfamily	 	468095	469867	Chromosome Escherichia coli W3110	
ECK0443:JW5061:b0449	mdlB	fused predicted multidrug transporter subunits and ATP binding components of ABC superfamily	 	469860	471641	Chromosome Escherichia coli W3110	
ECK0444:JW0440:b0450	glnK	nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB	 	471822	472160	Chromosome Escherichia coli W3110	
ECK0446:JW0442:b0452	tesB	acyl-CoA thioesterase II	 	474385	473525	Chromosome Escherichia coli W3110	
ECK0448:JW0444:b0454	ybaZ	predicted methyltransferase	 	475595	475206	Chromosome Escherichia coli W3110	
ECK0450:JW0445:b0456	ybaA	conserved hypothetical protein	 	475896	476249	Chromosome Escherichia coli W3110	
ECK0451:JW5062:b0457	ylaB	conserved inner membrane protein	 	477841	476291	Chromosome Escherichia coli W3110	
ECK0452:JW5063:b0458	ylaC	predicted inner membrane protein	 	478475	478005	Chromosome Escherichia coli W3110	
ECK0458:JW0453:b0464	acrR	DNA-binding transcriptional regulator	 	484985	485632	Chromosome Escherichia coli W3110	
ECK0459:JW0454:b0465	kefA	fused mechanosensitive channel proteins	 	485760	489122	Chromosome Escherichia coli W3110	
ECK0461:JW0456:b0467	priC	primosomal replication protein N	 	490036	489509	Chromosome Escherichia coli W3110	
ECK0463:JW0458:b0469	apt	adenine phosphoribosyltransferase	 	490636	491187	Chromosome Escherichia coli W3110	
ECK0464:JW0459:b0470	dnaX	DNA polymerase III/DNA elongation factor III, tau and gamma subunits	 	491316	493247	Chromosome Escherichia coli W3110	
ECK0466:JW0461:b0472	recR	gap repair protein	 	493629	494234	Chromosome Escherichia coli W3110	
ECK0467:JW0462:b0473	htpG	molecular chaperone HSP90 family	 	494344	496218	Chromosome Escherichia coli W3110	
ECK0468:JW0463:b0474	adk	adenylate kinase	 	496399	497043	Chromosome Escherichia coli W3110	
ECK0469:JW0464:b0475	hemH	ferrochelatase	 	497279	498241	Chromosome Escherichia coli W3110	
ECK0470:JW0465:b0476	aes	acetyl esterase	 	499197	498238	Chromosome Escherichia coli W3110	
ECK0471:JW0466:b0477	gsk	inosine/guanosine kinase	 	499349	500653	Chromosome Escherichia coli W3110	
ECK0481:JW0476:b0487	cueR	DNA-binding transcriptional activator	 	513217	513624	Chromosome Escherichia coli W3110	
ECK0483:JW0478:b0489	ybbK	predicted protease, membrane anchored	 	514997	514080	Chromosome Escherichia coli W3110	
ECK0484:JW0479:b0490	ybbL	predicted transporter subunit	 	515143	515820	Chromosome Escherichia coli W3110	
ECK0505:JW0500:b0512	allB	allantoinase	 	538371	539732	Chromosome Escherichia coli W3110	
ECK0506:JW0501:b0513	ybbY	predicted uracil/xanthine transporter	 	539789	541090	Chromosome Escherichia coli W3110	
ECK0508:JW0503:b0515	ylbA	conserved hypothetical protein	 	543270	542485	Chromosome Escherichia coli W3110	
