Join Name	CommonCore	CommonCore_MG1655_ref	No files found in	CommonCore Duplicates	CommonCore_MG1655_ref Duplicates
b4382	1	1	2	1	1	EG10219
b4383	1	1	2	1	1	EG10220
b4381	1		1	1		EG10221
b4384	1	1	2	1	1	EG10222
b0840	1	1	2	1	1	EG10223
b4042	1		1	1		EG10224
b0160	1	1	2	1	1	EG10225
b0145	1	1	2	1	1	EG10230
b2133	1	1	2	1	1	EG10231
b3702	1		1	1		EG10235
b4052	1	1	2	1	1	EG10236
b4361	1	1	2	1	1	EG10237
b0184	1	1	2	1	1	EG10238
b3066	1	1	2	1	1	EG10239
b0015	1		1	1		EG10240
b0014	1	1	2	1	1	EG10241
b3701	1	1	2	1	1	EG10242
b0215	1	1	2	1	1	EG10243
b0470	1	1	2	1	1	EG10245
b0211	1	1	2	1	1	EG10246
b3544	1	1	2	1	1	EG10248
b2366	1		1	1		EG10249
b2365	1		1	1		EG10250
b3640	1	1	2	1	1	EG10251
b2209	1		1	1		EG10255
b1850	1	1	2	1	1	EG10256
b1851	1	1	2	1	1	EG10257
b2779	1	1	2	1	1	EG10258
b0596	1		1	1		EG10259
b0595	1	1	2	1	1	EG10260
b0593	1	1	2	1	1	EG10261
b0583	1		1	1		EG10262
b0594	1	1	2	1	1	EG10263
b0586	1	1	2	1	1	EG10264
b0096	1	1	2	1	1	EG10265
b3265	1		1	1		EG10266
b3266	1		1	1		EG10267
b0566	1		1	1		EG10268
b3404	1	1	2	1	1	EG10269
b2566	1	1	2	1	1	EG10270
b3006	1	1	2	1	1	EG10271
b3005	1	1	2	1	1	EG10272
b2323	1	1	2	1	1	EG10274
b3255	1		1	1		EG10275
b3256	1	1	2	1	1	EG10276
b1091	1	1	2	1	1	EG10277
b3845	1	1	2	1	1	EG10278
b3846	1	1	2	1	1	EG10279
b2344	1		1	1		EG10280
b1187	1	1	2	1	1	EG10281
b4232	1	1	2	1	1	EG10283
b3891	1	1	2	1	1	EG10284
b4291	1		1	1		EG10286
b4290	1		1	1		EG10287
b4289	1		1	1		EG10288
b4288	1		1	1		EG10289
b4287	1		1	1		EG10290
b0584	1		1	1		EG10293
b0592	1	1	2	1	1	EG10294
b0588	1	1	2	1	1	EG10295
b0590	1		1	1		EG10296
b0589	1		1	1		EG10298
b2610	1	1	2	1	1	EG10300
b0150	1		1	1		EG10302
b0153	1		1	1		EG10303
b0151	1	1	2	1	1	EG10304
b0152	1	1	2	1	1	EG10305
b1102	1		1	1		EG10306
b3361	1		1	1		EG10307
b4313	1		1	1		EG10312
b0179	1	1	2	1	1	EG10316
b3261	1	1	2	1	1	EG10317
b0684	1	1	2	1	1	EG10318
b1945	1		1	1		EG10323
b1946	1		1	1		EG10324
b1334	1		1	1		EG10325
b0048	1	1	2	1	1	EG10326
b2315	1	1	2	1	1	EG10327
b0529	1	1	2	1	1	EG10328
b3635	1	1	2	1	1	EG10329
b4154	1	1	2	1	1	EG10330
b4153	1		1	1		EG10331
b3844	1	1	2	1	1	EG10334
b0172	1	1	2	1	1	EG10335
b2167	1		1	1		EG10336
b2168	1		1	1		EG10337
b0080	1		1	1		EG10338
b0094	1	1	2	1	1	EG10339
b3463	1	1	2	1	1	EG10340
b0084	1	1	2	1	1	EG10341
b3465	1	1	2	1	1	EG10343
b0089	1		1	1		EG10344
b3462	1	1	2	1	1	EG10345
b3464	1	1	2	1	1	EG10346
b0095	1		1	1		EG10347
b2803	1		1	1		EG10350
b2801	1		1	1		EG10352
b1611	1	1	2	1	1	EG10358
b0683	1	1	2	1	1	EG10359
b3340	1	1	2	1	1	EG10360
b2662	1	1	2	1	1	EG10361
b0759	1		1	1		EG10362
b2837	1	1	2	1	1	EG10364
b2151	1	1	2	1	1	EG10365
b1779	1	1	2	1	1	EG10367
b2927	1	1	2	1	1	EG10368
b0124	1	1	2	1	1	EG10369
b2515	1	1	2	1	1	EG10370
b2904	1	1	2	1	1	EG10371
b1761	1	1	2	1	1	EG10372
b3447	1	1	2	1	1	EG10374
b3741	1		1	1		EG10375
b3740	1		1	1		EG10376
b3429	1	1	2	1	1	EG10377
b3432	1	1	2	1	1	EG10378
b3430	1	1	2	1	1	EG10379
b3428	1	1	2	1	1	EG10380
b3431	1	1	2	1	1	EG10381
b3729	1		1	1		EG10382
b3870	1	1	2	1	1	EG10383
b2553	1		1	1		EG10384
b3868	1	1	2	1	1	EG10385
b3869	1	1	2	1	1	EG10387
b0810	1		1	1		EG10388
b0809	1	1	2	1	1	EG10389
b0680	1	1	2	1	1	EG10390
b3426	1		1	1		EG10394
b3425	1	1	2	1	1	EG10395
b3927	1	1	2	1	1	EG10396
b3926	1	1	2	1	1	EG10398
b3423	1	1	2	1	1	EG10400
b2240	1		1	1		EG10401
b0720	1	1	2	1	1	EG10402
b3212	1		1	1		EG10403
b3213	1	1	2	1	1	EG10404
b3653	1		1	1		EG10406
b2400	1	1	2	1	1	EG10407
b2551	1	1	2	1	1	EG10408
b3560	1		1	1		EG10409
b3559	1	1	2	1	1	EG10410
b3779	1		1	1		EG10413
b3181	1	1	2	1	1	EG10415
b2614	1		1	1		EG10416
b2688	1	1	2	1	1	EG10418
b2947	1	1	2	1	1	EG10419
b2507	1	1	2	1	1	EG10420
b2508	1		1	1		EG10421
b2231	1	1	2	1	1	EG10423
b3699	1		1	1		EG10424
b1210	1	1	2	1	1	EG10427
b0369	1	1	2	1	1	EG10428
b3805	1	1	2	1	1	EG10429
b3804	1	1	2	1	1	EG10430
b0475	1	1	2	1	1	EG10431
b0154	1	1	2	1	1	EG10432
b4175	1		1	1		EG10435
b4174	1	1	2	1	1	EG10436
b4173	1	1	2	1	1	EG10437
b4172	1	1	2	1	1	EG10438
b1712	1		1	1		EG10440
b0912	1		1	1		EG10441
b2024	1		1	1		EG10444
b2022	1	1	2	1	1	EG10445
b2020	1	1	2	1	1	EG10447
b2025	1	1	2	1	1	EG10448
b2023	1	1	2	1	1	EG10450
b2026	1		1	1		EG10451
b2306	1	1	2	1	1	EG10452
b2514	1	1	2	1	1	EG10453
b2318	1	1	2	1	1	EG10454
b2552	1	1	2	1	1	EG10456
b0473	1	1	2	1	1	EG10461
b1829	1	1	2	1	1	EG10462
b0161	1		1	1		EG10463
b1054	1	1	2	1	1	EG10464
b3041	1	1	2	1	1	EG10465
b4000	1	1	2	1	1	EG10466
b0440	1		1	1		EG10467
b2723	1		1	1		EG10476
b2726	1	1	2	1	1	EG10483
b2727	1	1	2	1	1	EG10484
b2728	1	1	2	1	1	EG10485
b2729	1	1	2	1	1	EG10486
b2730	1	1	2	1	1	EG10487
b2753	1	1	2	1	1	EG10488
b1136	1	1	2	1	1	EG10489
b2916	1	1	2	1	1	EG10490
b0026	1	1	2	1	1	EG10492
b3772	1	1	2	1	1	EG10493
b3771	1		1	1		EG10496
b3770	1	1	2	1	1	EG10497
b0078	1		1	1		EG10499
b0077	1		1	1		EG10500
b0884	1		1	1		EG10504
b3168	1		1	1		EG10505
b1718	1		1	1		EG10506
b0421	1	1	2	1	1	EG10508
b1732	1	1	2	1	1	EG10509
b2741	1		1	1		EG10510
b3942	1	1	2	1	1	EG10511
b3617	1	1	2	1	1	EG10512
b0698	1	1	2	1	1	EG10513
b0697	1		1	1		EG10514
b0696	1	1	2	1	1	EG10515
b0695	1		1	1		EG10516
b0694	1	1	2	1	1	EG10517
b1215	1	1	2	1	1	EG10518
b0918	1	1	2	1	1	EG10519
b3633	1	1	2	1	1	EG10520
b0047	1		1	1		EG10521
b2587	1	1	2	1	1	EG10522
b0051	1	1	2	1	1	EG10523
b0345	1		1	1		EG10525
b2569	1	1	2	1	1	EG10529
b2568	1	1	2	1	1	EG10530
b0076	1		1	1		EG10531
b0642	1	1	2	1	1	EG10532
b4043	1	1	2	1	1	EG10533
b2411	1	1	2	1	1	EG10534
b3454	1	1	2	1	1	EG10536
b3455	1	1	2	1	1	EG10537
b3457	1		1	1		EG10538
b3460	1	1	2	1	1	EG10539
b3458	1	1	2	1	1	EG10540
b3456	1		1	1		EG10541
b0439	1	1	2	1	1	EG10542
b0116	1	1	2	1	1	EG10543
b0181	1	1	2	1	1	EG10545
b0182	1	1	2	1	1	EG10546
b0889	1	1	2	1	1	EG10547
b0027	1	1	2	1	1	EG10548
b2838	1	1	2	1	1	EG10549
b2839	1	1	2	1	1	EG10551
b2890	1	1	2	1	1	EG10552
b4129	1	1	2	1	1	EG10553
b4032	1	1	2	1	1	EG10556
b1620	1		1	1		EG10557
b4035	1	1	2	1	1	EG10558
b3417	1	1	2	1	1	EG10560
b3416	1	1	2	1	1	EG10561
b3418	1		1	1		EG10562
b0168	1	1	2	1	1	EG10570
b4013	1	1	2	1	1	EG10581
b3939	1	1	2	1	1	EG10582
b3008	1	1	2	1	1	EG10583
b3829	1	1	2	1	1	EG10584
b3941	1	1	2	1	1	EG10585
b2114	1	1	2	1	1	EG10586
b4019	1	1	2	1	1	EG10587
b2942	1	1	2	1	1	EG10589
b3828	1		1	1		EG10591
b4171	1	1	2	1	1	EG10595
b1176	1	1	2	1	1	EG10596
b1175	1	1	2	1	1	EG10597
b1174	1	1	2	1	1	EG10598
b4143	1	1	2	1	1	EG10599
b4142	1		1	1		EG10600
b1890	1	1	2	1	1	EG10601
b1889	1	1	2	1	1	EG10602
b0087	1		1	1		EG10604
b0149	1		1	1		EG10605
b0635	1	1	2	1	1	EG10606
b0634	1		1	1		EG10607
b3251	1	1	2	1	1	EG10608
b3250	1		1	1		EG10609
b2113	1	1	2	1	1	EG10611
b0914	1	1	2	1	1	EG10613
b1855	1	1	2	1	1	EG10614
b3161	1	1	2	1	1	EG10617
b0924	1	1	2	1	1	EG10618
b0091	1	1	2	1	1	EG10619
b0088	1		1	1		EG10620
b0085	1		1	1		EG10621
b0086	1	1	2	1	1	EG10622
b0090	1	1	2	1	1	EG10623
b2733	1	1	2	1	1	EG10625
b0099	1	1	2	1	1	EG10626
b2961	1	1	2	1	1	EG10627
b0750	1	1	2	1	1	EG10630
b2574	1		1	1		EG10631
b0677	1	1	2	1	1	EG10632
b0675	1	1	2	1	1	EG10634
b0679	1		1	1		EG10635
b1224	1	1	2	1	1	EG10638
b1225	1	1	2	1	1	EG10639
b1227	1	1	2	1	1	EG10640
b1226	1	1	2	1	1	EG10641
b1223	1		1	1		EG10642
b1221	1	1	2	1	1	EG10643
b1465	1		1	1		EG10644
b1466	1		1	1		EG10645
b1222	1	1	2	1	1	EG10646
b1467	1	1	2	1	1	EG10647
b1468	1	1	2	1	1	EG10648
b1109	1	1	2	1	1	EG10649
b2518	1	1	2	1	1	EG10650
b0019	1		1	1		EG10652
b3365	1	1	2	1	1	EG10653
b3366	1	1	2	1	1	EG10655
b3661	1		1	1		EG10657
b2234	1	1	2	1	1	EG10660
b2235	1	1	2	1	1	EG10661
b1633	1	1	2	1	1	EG10662
b3169	1	1	2	1	1	EG10665
b0416	1		1	1		EG10666
b3982	1	1	2	1	1	EG10667
b1335	1		1	1		EG10668
b0957	1		1	1		EG10669
b3405	1	1	2	1	1	EG10672
b1243	1	1	2	1	1	EG10674
b1244	1		1	1		EG10675
b1245	1		1	1		EG10676
b1246	1	1	2	1	1	EG10677
b1247	1	1	2	1	1	EG10678
b1482	1	1	2	1	1	EG10680
b3961	1	1	2	1	1	EG10681
b3360	1	1	2	1	1	EG10682
b1812	1		1	1		EG10683
b0741	1	1	2	1	1	EG10684
b3019	1	1	2	1	1	EG10686
b3030	1	1	2	1	1	EG10687
b2743	1	1	2	1	1	EG10689
b0143	1	1	2	1	1	EG10690
b0052	1	1	2	1	1	EG10691
b2564	1	1	2	1	1	EG10693
b4260	1	1	2	1	1	EG10694
b0237	1	1	2	1	1	EG10695
b0932	1	1	2	1	1	EG10696
b2908	1	1	2	1	1	EG10697
b3847	1	1	2	1	1	EG10698
b1723	1	1	2	1	1	EG10700
b4025	1	1	2	1	1	EG10702
b2926	1	1	2	1	1	EG10703
b0418	1	1	2	1	1	EG10704
b1912	1	1	2	1	1	EG10706
b2599	1	1	2	1	1	EG10707
b0576	1		1	1		EG10708
b1714	1	1	2	1	1	EG10709
b1713	1		1	1		EG10710
b4108	1		1	1		EG10711
b4107	1		1	1		EG10712
b4102	1	1	2	1	1	EG10715
b4097	1	1	2	1	1	EG10720
b4096	1	1	2	1	1	EG10721
b4094	1		1	1		EG10723
b4093	1	1	2	1	1	EG10724
b0399	1	1	2	1	1	EG10728
b4399	1	1	2	1	1	EG10730
b1130	1	1	2	1	1	EG10731
b1129	1	1	2	1	1	EG10732
b0400	1	1	2	1	1	EG10733
b3728	1	1	2	1	1	EG10734
b3724	1	1	2	1	1	EG10735
b0708	1	1	2	1	1	EG10736
b4235	1	1	2	1	1	EG10741
b0931	1		1	1		EG10742
b3164	1	1	2	1	1	EG10743
b1603	1	1	2	1	1	EG10744
b1602	1	1	2	1	1	EG10745
b3863	1		1	1		EG10746
b0060	1		1	1		EG10747
b3396	1	1	2	1	1	EG10748
b1126	1	1	2	1	1	EG10749
b1125	1	1	2	1	1	EG10750
b1124	1	1	2	1	1	EG10751
b1123	1	1	2	1	1	EG10752
b0871	1	1	2	1	1	EG10754
b4226	1	1	2	1	1	EG10755
b3956	1	1	2	1	1	EG10756
b3363	1		1	1		EG10757
b0525	1		1	1		EG10758
b1702	1	1	2	1	1	EG10759
b1830	1	1	2	1	1	EG10760
b1211	1	1	2	1	1	EG10761
b2891	1		1	1		EG10762
b3935	1	1	2	1	1	EG10763
b3300	1	1	2	1	1	EG10766
b0243	1	1	2	1	1	EG10767
b0242	1	1	2	1	1	EG10768
b0194	1	1	2	1	1	EG10770
b2677	1		1	1		EG10771
b2678	1		1	1		EG10772
b2679	1	1	2	1	1	EG10773
b1207	1	1	2	1	1	EG10774
b4160	1		1	1		EG10775
b1304	1	1	2	1	1	EG10776
b3726	1	1	2	1	1	EG10782
b3725	1	1	2	1	1	EG10783
b3727	1		1	1		EG10784
b1204	1		1	1		EG10785
b1101	1	1	2	1	1	EG10787
b2415	1		1	1		EG10788
b4177	1	1	2	1	1	EG10790
b2476	1	1	2	1	1	EG10791
b4005	1	1	2	1	1	EG10792
b0523	1		1	1		EG10793
b2312	1	1	2	1	1	EG10794
b4006	1	1	2	1	1	EG10795
b0522	1	1	2	1	1	EG10796
b2557	1	1	2	1	1	EG10797
b2499	1	1	2	1	1	EG10798
b2500	1	1	2	1	1	EG10799
b1658	1		1	1		EG10800
b1014	1	1	2	1	1	EG10801
b1015	1		1	1		EG10802
b1854	1	1	2	1	1	EG10803
b4245	1	1	2	1	1	EG10805
b1062	1	1	2	1	1	EG10806
b0945	1	1	2	1	1	EG10807
b3642	1	1	2	1	1	EG10808
b1281	1	1	2	1	1	EG10809
b2780	1	1	2	1	1	EG10810
b0405	1	1	2	1	1	EG10812
b3749	1	1	2	1	1	EG10814
b3751	1	1	2	1	1	EG10815
b3750	1		1	1		EG10816
b3752	1	1	2	1	1	EG10818
b3753	1		1	1		EG10819
b2217	1		1	1		EG10821
b2218	1	1	2	1	1	EG10822
b2699	1		1	1		EG10823
b2820	1	1	2	1	1	EG10824
b2822	1	1	2	1	1	EG10825
b2819	1	1	2	1	1	EG10826
b3652	1	1	2	1	1	EG10829
b2892	1	1	2	1	1	EG10830
b2616	1	1	2	1	1	EG10831
b2565	1	1	2	1	1	EG10832
b3822	1		1	1		EG10833
b0472	1	1	2	1	1	EG10834
b2784	1		1	1		EG10835
b3778	1	1	2	1	1	EG10837
b3619	1	1	2	1	1	EG10838
b3842	1	1	2	1	1	EG10839
b3784	1		1	1		EG10840
b1924	1		1	1		EG10841
b3780	1	1	2	1	1	EG10844
b3783	1	1	2	1	1	EG10845
b4373	1	1	2	1	1	EG10850
b1066	1	1	2	1	1	EG10851
b0852	1	1	2	1	1	EG10852
b1427	1		1	1		EG10853
b0633	1		1	1		EG10854
b2567	1	1	2	1	1	EG10857
b1084	1		1	1		EG10859
b0214	1	1	2	1	1	EG10860
b0183	1	1	2	1	1	EG10861
b3704	1	1	2	1	1	EG10862
b3984	1		1	1		EG10864
b3317	1	1	2	1	1	EG10865
b3320	1	1	2	1	1	EG10866
b3319	1	1	2	1	1	EG10867
b3308	1		1	1		EG10868
b3305	1	1	2	1	1	EG10869
b4203	1		1	1		EG10870
b3985	1	1	2	1	1	EG10871
b3983	1		1	1		EG10872
b3986	1		1	1		EG10873
b3231	1	1	2	1	1	EG10874
b3310	1	1	2	1	1	EG10875
b3301	1	1	2	1	1	EG10876
b3313	1	1	2	1	1	EG10877
b3294	1	1	2	1	1	EG10878
b3304	1		1	1		EG10879
b2606	1	1	2	1	1	EG10880
b1716	1		1	1		EG10881
b3315	1	1	2	1	1	EG10882
b3318	1		1	1		EG10883
b3309	1	1	2	1	1	EG10884
b2185	1		1	1		EG10885
b3637	1		1	1		EG10886
b3312	1		1	1		EG10887
b3302	1		1	1		EG10888
b3936	1		1	1		EG10889
b1089	1		1	1		EG10890
b3636	1		1	1		EG10891
b3703	1		1	1		EG10892
b3295	1	1	2	1	1	EG10893
b3987	1	1	2	1	1	EG10894
b3988	1	1	2	1	1	EG10895
b3067	1	1	2	1	1	EG10896
b3202	1		1	1		EG10898
b0911	1		1	1		EG10900
b0169	1	1	2	1	1	EG10901
b3314	1		1	1		EG10902
b3296	1	1	2	1	1	EG10903
b3303	1	1	2	1	1	EG10904
b4200	1	1	2	1	1	EG10905
b3341	1	1	2	1	1	EG10906
b3306	1	1	2	1	1	EG10907
b3230	1	1	2	1	1	EG10908
b3321	1	1	2	1	1	EG10909
b3297	1	1	2	1	1	EG10910
b3342	1		1	1		EG10911
b3298	1	1	2	1	1	EG10912
b3307	1	1	2	1	1	EG10913
b3165	1	1	2	1	1	EG10914
b2609	1	1	2	1	1	EG10915
b3311	1	1	2	1	1	EG10916
b4202	1		1	1		EG10917
b3316	1	1	2	1	1	EG10918
b0023	1		1	1		EG10919
b3065	1		1	1		EG10920
b1861	1	1	2	1	1	EG10923
b1860	1	1	2	1	1	EG10924
b1863	1		1	1		EG10925
b0397	1		1	1		EG10927
b0377	1	1	2	1	1	EG10928
b3917	1	1	2	1	1	EG10929
b1814	1	1	2	1	1	EG10930
b0723	1	1	2	1	1	EG10931
b0724	1	1	2	1	1	EG10932
b1916	1		1	1		EG10935
b0098	1	1	2	1	1	EG10936
b0408	1	1	2	1	1	EG10938
b0409	1	1	2	1	1	EG10940
b3591	1		1	1		EG10941
b3590	1	1	2	1	1	EG10942
b1764	1	1	2	1	1	EG10943
b2913	1	1	2	1	1	EG10944
b4388	1	1	2	1	1	EG10945
b0907	1	1	2	1	1	EG10946
b0893	1	1	2	1	1	EG10947
b1479	1	1	2	1	1	EG10948
b4392	1	1	2	1	1	EG10950
b1656	1	1	2	1	1	EG10954
b1272	1		1	1		EG10956
b4063	1	1	2	1	1	EG10957
b4062	1		1	1		EG10958
b2938	1	1	2	1	1	EG10959
b2937	1	1	2	1	1	EG10960
b2965	1	1	2	1	1	EG10961
b0121	1	1	2	1	1	EG10963
b0693	1		1	1		EG10964
b3648	1	1	2	1	1	EG10965
b3650	1	1	2	1	1	EG10966
b1766	1	1	2	1	1	EG10968
b2708	1	1	2	1	1	EG10973
b2707	1		1	1		EG10974
b2576	1		1	1		EG10975
b4059	1	1	2	1	1	EG10976
b3229	1	1	2	1	1	EG10977
b0726	1	1	2	1	1	EG10979
b0727	1	1	2	1	1	EG10980
b0728	1	1	2	1	1	EG10981
b0729	1		1	1		EG10982
b2533	1		1	1		EG10983
b0053	1		1	1		EG10985
b3549	1		1	1		EG10986
b1885	1		1	1		EG10987
b1886	1		1	1		EG10988
b3118	1	1	2	1	1	EG10989
b3116	1	1	2	1	1	EG10991
b3616	1	1	2	1	1	EG10993
b1238	1	1	2	1	1	EG10994
b0452	1	1	2	1	1	EG10995
b0406	1	1	2	1	1	EG10996
b3706	1	1	2	1	1	EG10997
b1719	1	1	2	1	1	EG11001
b2827	1	1	2	1	1	EG11002
b0436	1	1	2	1	1	EG11003
b1845	1	1	2	1	1	EG11004
b3709	1		1	1		EG11006
b0739	1		1	1		EG11007
b0740	1	1	2	1	1	EG11008
b3035	1	1	2	1	1	EG11009
b0737	1	1	2	1	1	EG11010
b0738	1	1	2	1	1	EG11011
b1252	1		1	1		EG11012
b1274	1	1	2	1	1	EG11013
b1763	1	1	2	1	1	EG11014
b3919	1	1	2	1	1	EG11015
b1421	1		1	1		EG11018
b3290	1		1	1		EG11019
b3849	1	1	2	1	1	EG11021
b3965	1	1	2	1	1	EG11022
b2607	1	1	2	1	1	EG11023
b1261	1	1	2	1	1	EG11025
b1264	1	1	2	1	1	EG11028
b3781	1		1	1		EG11031
b0888	1	1	2	1	1	EG11032
b0170	1		1	1		EG11033
b4355	1		1	1		EG11034
b3339	1		1	1		EG11036
b3980	1		1	1		EG11037
b4054	1	1	2	1	1	EG11040
b1323	1	1	2	1	1	EG11042
b1637	1		1	1		EG11043
b2311	1	1	2	1	1	EG11044
b3450	1	1	2	1	1	EG11048
b3669	1	1	2	1	1	EG11051
b3668	1		1	1		EG11052
b1184	1	1	2	1	1	EG11056
b1183	1		1	1		EG11057
b2580	1	1	2	1	1	EG11058
b2319	1		1	1		EG11059
b0480	1		1	1		EG11060
b4058	1		1	1		EG11061
b0779	1	1	2	1	1	EG11062
b1913	1	1	2	1	1	EG11063
b3813	1	1	2	1	1	EG11064
b4258	1	1	2	1	1	EG11067
b1960	1		1	1		EG11068
b3811	1	1	2	1	1	EG11069
b2894	1	1	2	1	1	EG11071
b2509	1		1	1		EG11072
b1749	1	1	2	1	1	EG11073
b3565	1	1	2	1	1	EG11074
b3564	1		1	1		EG11075
b0020	1	1	2	1	1	EG11078
b0025	1	1	2	1	1	EG11079
b0028	1	1	2	1	1	EG11080
b0029	1	1	2	1	1	EG11081
b0081	1		1	1		EG11084
