Locus	Gene Symbol	Common Name	EC Number	5' End	3' End	DNA molecule	
ECK1006:JW1001:b1015	putP	proline:sodium symporter	 	1079727	1081235	Chromosome Escherichia coli W3110	
ECK1007:JW5141:b1016	 	ECK1007:JW5141:b1016	 	1081778	1081888	Chromosome Escherichia coli W3110	
ECK1007:JW1002:b1017	 	ECK1007:JW1002:b1017	 	1081876	1082607	Chromosome Escherichia coli W3110	
ECK1011:JW1006:b1021	ycdP	predicted inner membrane protein	 	1086941	1086528	Chromosome Escherichia coli W3110	
ECK1016:JW5145:b1028	 	hypothetical protein	 	1095966	1096268	Chromosome Escherichia coli W3110	
ECK1024:JW1021:b1038	csgF	predicted transport protein	 	1102368	1101952	Chromosome Escherichia coli W3110	
ECK1026:JW1023:b1040	csgD	DNA-binding transcriptional activator in two-component regulatory system	 	1103437	1102787	Chromosome Escherichia coli W3110	
ECK1028:JW1025:b1042	csgA	cryptic curlin major subunit	 	1104688	1105143	Chromosome Escherichia coli W3110	
ECK1042:JW1044:b1057	yceJ	predicted cytochrome b561	 	1120623	1120057	Chromosome Escherichia coli W3110	
ECK1050:JW1052:b1065	mdtH	predicted drug efflux system	 	1126903	1125695	Chromosome Escherichia coli W3110	
ECK1054:JW1056:b1069	mviN	predicted inner membrane protein	 	1129416	1130951	Chromosome Escherichia coli W3110	
ECK1056:JW1058:b1071	flgM	anti-sigma factor for FliA (sigma 28)	 	1131705	1131412	Chromosome Escherichia coli W3110	
ECK1060:JW1062:b1075	flgD	flagellar hook assembly protein	 	1133431	1134126	Chromosome Escherichia coli W3110	
ECK1069:JW1071:b1084	rne	fused ribonucleaseE endoribonuclease and scaffold for formation of degradosome	 	1145944	1142759	Chromosome Escherichia coli W3110	
ECK1076:JW5156:b1090	plsX	fatty acid/phospholipid synthesis protein	 	1149198	1150268	Chromosome Escherichia coli W3110	
ECK1080:JW1080:b1094	acpP	acyl carrier protein	 	1153192	1153428	Chromosome Escherichia coli W3110	
ECK1085:JW1085:b1099	holB	DNA polymerase III, delta prime subunit	 	1157339	1158343	Chromosome Escherichia coli W3110	
ECK1096:JW1096:b1110	ycfJ	hypothetical protein	 	1169176	1169715	Chromosome Escherichia coli W3110	
ECK1108:JW5164:b1122	ymfA	predicted inner membrane protein	 	1183302	1182841	Chromosome Escherichia coli W3110	
ECK1124:JW5166:b1138	ymfE	predicted inner membrane protein	 	1199814	1199110	Chromosome Escherichia coli W3110	
ECK1143:JW5172:b1157	 	e14 prophage region predicted side tail fiber protein fragment	 	1211232	1210696	Chromosome Escherichia coli W3110	
ECK1157:JW5901:b1169	 	hypothetical protein, N-ter fragment	 	1222378	1222698	Chromosome Escherichia coli W3110	
ECK1157:JW5176:b1170	 	hypothetical protein, C-ter fragment	 	1222783	1223799	Chromosome Escherichia coli W3110	
ECK1159:JW5178:b1172	ymgG	hypothetical protein	 	1224496	1224221	Chromosome Escherichia coli W3110	
ECK1166:JW1167:b1178	ycgK	hypothetical protein	 	1229049	1228648	Chromosome Escherichia coli W3110	
ECK1171:JW1172:b1183	umuD	DNA polymerase V, subunit D	 	1232344	1232763	Chromosome Escherichia coli W3110	
ECK1173:JW5182:b1185	dsbB	oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I	 	1234607	1234077	Chromosome Escherichia coli W3110	
ECK1174:JW1175:b1186	nhaB	sodium:proton antiporter	 	1236294	1234753	Chromosome Escherichia coli W3110	
ECK1179:JW5184:b1191	cvrA	predicted cation/proton antiporter	 	1243648	1241912	Chromosome Escherichia coli W3110	
ECK1183:JW1184:b1195	ymgE	predicted inner membrane protein	 	1246305	1246559	Chromosome Escherichia coli W3110	
ECK1193:JW1196:b1205	ychH	predicted inner membrane protein	 	1260368	1260646	Chromosome Escherichia coli W3110	
ECK1194:JW5189:b1206	ychM	predicted transporter	 	1262380	1260701	Chromosome Escherichia coli W3110	
ECK1210:JW1207:b1216	chaA	calcium/sodium:proton antiporter	 	1273426	1272326	Chromosome Escherichia coli W3110	
ECK1217:JW1214:b1223	narK	nitrate/nitrite transporter	 	1279534	1280925	Chromosome Escherichia coli W3110	
ECK1224:JW1219:b1229	tpr	predicted protamine-like protein	 	1288765	1288664	Chromosome Escherichia coli W3110	
ECK1234:JW1227:b1239	 	ECK1234:JW1227:b1239	 	1296593	1296003	Chromosome Escherichia coli W3110	
ECK1234:JW5883:b1240	 	ECK1234:JW5883:b1240	 	1296775	1296545	Chromosome Escherichia coli W3110	
ECK1239:JW1237:b1245	oppC	oligopeptide transporter subunit	 	1305548	1306456	Chromosome Escherichia coli W3110	
ECK1246:JW5195:b1252	tonB	membrane spanning protein in TonB-ExbB-ExbD complex	 	1312803	1313522	Chromosome Escherichia coli W3110	
ECK1248:JW1246:b1254	yciB	predicted inner membrane protein	 	1314604	1314065	Chromosome Escherichia coli W3110	
ECK1249:JW1247:b1255	yciC	predicted inner membrane protein	 	1315377	1314634	Chromosome Escherichia coli W3110	
ECK1252:JW1250:b1258	yciF	conserved hypothetical protein	 	1317484	1316984	Chromosome Escherichia coli W3110	
ECK1259:JW1257:b1265	trpL	trp operon leader peptide	 	1324796	1324752	Chromosome Escherichia coli W3110	
ECK1264:JW1262:b1270	btuR	cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase	 	1330071	1329481	Chromosome Escherichia coli W3110	
ECK1266:JW1264:b1272	sohB	predicted inner membrane peptidase	 	1331046	1332095	Chromosome Escherichia coli W3110	
ECK1270:JW5199:b4523	 	hypothetical protein, C-ter fragment	 	1336984	1337172	Chromosome Escherichia coli W3110	
ECK1274:JW1271:b1279	yciS	conserved inner membrane protein	 	1341957	1342265	Chromosome Escherichia coli W3110	
ECK1277:JW1274:b1282	yciH	conserved hypothetical protein	 	1344372	1344698	Chromosome Escherichia coli W3110	
ECK1278:JW1275:b1283	osmB	lipoprotein	 	1345042	1344824	Chromosome Escherichia coli W3110	
ECK1284:JW1282:b1289	ycjD	conserved hypothetical protein	 	1353474	1353121	Chromosome Escherichia coli W3110	
ECK1306:JW1304:b1311	ycjO	predicted sugar transporter subunit	 	1374936	1375817	Chromosome Escherichia coli W3110	
ECK1334:JW5205:b1338	abgA	predicted peptidase, aminobenzoyl-glutamate utilization protein	 	1406279	1404969	Chromosome Escherichia coli W3110	
ECK1356:JW1353:b1358	ydaT	hypothetical protein	 	1422398	1422820	Chromosome Escherichia coli W3110	
ECK1361:JW5213:b4528	rzoR	predicted lipoprotein	 	1425114	1425299	Chromosome Escherichia coli W3110	
ECK1362:JW1358:b1363	trkG	potassium transporter subunit	 	1425496	1426953	Chromosome Escherichia coli W3110	
ECK1366:JW5884:b1369	 	Rac prophage region hypothetical protein, N-ter fragment	 	1429172	1429327	Chromosome Escherichia coli W3110	
ECK1366:JW5904:b1371	 	ECK1366:JW5904:b1371	 	1430528	1430698	Chromosome Escherichia coli W3110	
ECK1376:JW1374:b1379	hslJ	heat-inducible protein	 	1443457	1443035	Chromosome Escherichia coli W3110	
ECK1390:JW1388:b1393	paaF	enoyl-CoA hydratase-isomerase	 	1459211	1459978	Chromosome Escherichia coli W3110	
ECK1391:JW1389:b1394	paaG	acyl-CoA hydratase	 	1459978	1460766	Chromosome Escherichia coli W3110	
ECK1396:JW1394:b1399	paaX	DNA-binding transcriptional regulator, aryl-CoA responsive	 	1465253	1466203	Chromosome Escherichia coli W3110	
ECK1398:JW5802:b1401	 	ECK1398:JW5802:b1401	 	1467106	1469664	Chromosome Escherichia coli W3110	
ECK1398:JW1402:b1405	 	ECK1398:JW1402:b1405	 	1472404	1475727	Chromosome Escherichia coli W3110	
ECK1401:JW1405:b1408	ynbA	predicted inner membrane protein	 	1479335	1479940	Chromosome Escherichia coli W3110	
ECK1402:JW1406:b1409	ynbB	predicted CDP-diglyceride synthase	 	1479940	1480836	Chromosome Escherichia coli W3110	
ECK1409:JW1413:b1416	 	ECK1409:JW1413:b1416	 	1491678	1491427	Chromosome Escherichia coli W3110	
ECK1409:JW5906:b1417	 	ECK1409:JW5906:b1417	 	1492427	1491675	Chromosome Escherichia coli W3110	
ECK1410:JW5224:b1418	cybB	cytochrome b561	 	1492616	1493146	Chromosome Escherichia coli W3110	
ECK1415:JW1417:b1421	trg	methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor	 	1494184	1495824	Chromosome Escherichia coli W3110	
ECK1425:JW5227:b4530	 	ECK1425:JW5227:b4530	 	1505024	1504857	Chromosome Escherichia coli W3110	
ECK1425:JW5961:b4531	 	ECK1425:JW5961:b4531	 	1505363	1505076	Chromosome Escherichia coli W3110	
ECK1437:JW1438:b1443	ydcV	predicted spermidine/putrescine transporter subunit	 	1516476	1517270	Chromosome Escherichia coli W3110	
ECK1444:JW1445:b1450	yncC	predicted DNA-binding transcriptional regulator	 	1521976	1522641	Chromosome Escherichia coli W3110	
ECK1460:JW1461:b1466	narW	nitrate reductase 2 (NRZ), delta subunit (assembly subunit)	 	1539023	1538328	Chromosome Escherichia coli W3110	
ECK1480:JW1481:b1486	ddpB	D-Ala-D-Ala transporter subunit	 	1562643	1561621	Chromosome Escherichia coli W3110	
ECK1486:JW1487:b1492	gadC	predicted glutamate:gamma-aminobutyric acid antiporter	 	1572203	1570668	Chromosome Escherichia coli W3110	
ECK1502:JW1502:b1509	 	conserved hypothetical protein	 	1595779	1594379	Chromosome Escherichia coli W3110	
ECK1507:JW1507:b1514	lsrC	AI2 transporter	 	1604733	1605761	Chromosome Escherichia coli W3110	
ECK1508:JW1508:b1515	lsrD	AI2 transporter	 	1605761	1606753	Chromosome Escherichia coli W3110	
ECK1516:JW1516:b1523	yneG	conserved hypothetical protein	 	1614039	1613680	Chromosome Escherichia coli W3110	
ECK1521:JW1521:b1528	ydeA	predicted arabinose transporter	 	1618742	1619932	Chromosome Escherichia coli W3110	
ECK1525:JW1525:b1532	marB	hypothetical protein	 	1621703	1621921	Chromosome Escherichia coli W3110	
ECK1530:JW1530:b1537	ydeJ	conserved hypothetical protein	 	1626487	1627005	Chromosome Escherichia coli W3110	
ECK1542:JW5251:b4533	ynfO	hypothetical protein	 	1638470	1638703	Chromosome Escherichia coli W3110	
ECK1544:JW5253:b1550	gnsB	hypothetical protein	 	1639496	1639323	Chromosome Escherichia coli W3110	
ECK1559:JW1557:b1565	ydfV	hypothetical protein	 	1647611	1647916	Chromosome Escherichia coli W3110	
ECK1560:JW1558:b1566	flxA	hypothetical protein	 	1648119	1648451	Chromosome Escherichia coli W3110	
ECK1566:JW1564:b1572	ydfB	hypothetical protein	 	1650379	1650507	Chromosome Escherichia coli W3110	
ECK1574:JW5257:b4534	 	hypothetical protein	 	1654552	1654442	Chromosome Escherichia coli W3110	
ECK1578:JW1575:b1583	ynfB	hypothetical protein	 	1657522	1657863	Chromosome Escherichia coli W3110	
ECK1581:JW5259:b1586	ynfD	hypothetical protein	 	1659279	1659584	Chromosome Escherichia coli W3110	
ECK1587:JW5263:b1592	clcB	predicted voltage-gated chloride channel	 	1667029	1668285	Chromosome Escherichia coli W3110	
ECK1592:JW5826:b1597	asr	acid shock-inducible periplasmic protein	 	1673090	1673398	Chromosome Escherichia coli W3110	
ECK1594:JW1591:b1599	mdtI	multidrug efflux system transporter	 	1674863	1674534	Chromosome Escherichia coli W3110	
ECK1596:JW1593:b1601	ydgG	predicted inner membrane protein	 	1675627	1676661	Chromosome Escherichia coli W3110	
ECK1599:JW1596:b1604	ydgH	hypothetical protein	 	1680141	1681085	Chromosome Escherichia coli W3110	
ECK1620:JW5963:b4409	blr	beta-lactam resistance membrane protein	 	1706265	1706390	Chromosome Escherichia coli W3110	
ECK1622:JW1618:b1626	ydgK	conserved inner membrane protein	 	1706964	1707404	Chromosome Escherichia coli W3110	
ECK1625:JW1621:b1629	rsxC	fused predicted 4Fe-4S ferredoxin-type protein	 	1708633	1710855	Chromosome Escherichia coli W3110	
ECK1628:JW1624:b1632	rsxE	predicted inner membrane NADH-quinone reductase	 	1712542	1713237	Chromosome Escherichia coli W3110	
ECK1637:JW1633:b1641	slyB	outer membrane lipoprotein	 	1721590	1722057	Chromosome Escherichia coli W3110	
ECK1639:JW1635:b1643	ydhI	predicted inner membrane protein	 	1722739	1722975	Chromosome Escherichia coli W3110	
ECK1641:JW1637:b1645	ydhK	conserved inner membrane protein	 	1723835	1725847	Chromosome Escherichia coli W3110	
ECK1651:JW5270:b1655	ydhO	predicted lipoprotein	 	1736149	1736964	Chromosome Escherichia coli W3110	
ECK1653:JW1649:b1657	ydhP	predicted transporter	 	1739004	1737835	Chromosome Escherichia coli W3110	
ECK1656:JW1652:b1660	ydhC	predicted transporter	 	1741625	1742836	Chromosome Escherichia coli W3110	
ECK1666:JW1660:b1670	ydhU	predicted cytochrome	 	1752062	1751277	Chromosome Escherichia coli W3110	
ECK1668:JW1662:b1672	ydhW	hypothetical protein	 	1753438	1752791	Chromosome Escherichia coli W3110	
ECK1685:JW1678:b1688	ydiK	predicted inner membrane protein	 	1770788	1771900	Chromosome Escherichia coli W3110	
ECK1709:JW1701:b1711	btuC	vitamin B12 transporter subunit	 	1796866	1795886	Chromosome Escherichia coli W3110	
ECK1713:JW1705:b1715	pheM	phenylalanyl-tRNA synthetase operon leader peptide	 	1800984	1800940	Chromosome Escherichia coli W3110	
ECK1714:JW1706:b1716	rplT	50S ribosomal subunit protein L20	 	1801463	1801107	Chromosome Escherichia coli W3110	
ECK1715:JW1707:b1717	rpmI	50S ribosomal subunit protein L35	 	1801713	1801516	Chromosome Escherichia coli W3110	
ECK1716:JW5829:b1718	infC	protein chain initiation factor IF-3	 	1802352	1801810	Chromosome Escherichia coli W3110	
ECK1718:JW5278:b1720	 	hypothetical protein, N-ter fragment	 	1804808	1805281	Chromosome Escherichia coli W3110	
ECK1718:JW1710:b1721	 	ECK1718:JW1710:b1721	 	1805292	1806707	Chromosome Escherichia coli W3110	
ECK1727:JW1718:b1729	ydjN	predicted transporter	 	1812648	1814039	Chromosome Escherichia coli W3110	
ECK1736:JW1727:b1738	chbB	N,N-diacetylchitobiose-specific enzyme IIB component of PTS	 	1823333	1823013	Chromosome Escherichia coli W3110	
ECK1741:JW1732:b1743	spy	envelope stress induced periplasmic protein	 	1827339	1826854	Chromosome Escherichia coli W3110	
ECK1748:JW1739:b1750	ydjX	predicted inner membrane protein	 	1835115	1835825	Chromosome Escherichia coli W3110	
ECK1753:JW5285:b1755	ynjC	fused transporter subunits and membrane component of ABC superfamily	 	1838971	1840461	Chromosome Escherichia coli W3110	
ECK1756:JW1747:b1758	ynjF	predicted phosphatidyl transferase, inner membrane protein	 	1843117	1842497	Chromosome Escherichia coli W3110	
ECK1773:JW5290:b1775	ydjK	predicted transporter	 	1861943	1860564	Chromosome Escherichia coli W3110	
ECK1785:JW1776:b1787	yeaK	conserved hypothetical protein	 	1875288	1875791	Chromosome Escherichia coli W3110	
