LPT_ECOLI	AP_000665.1
MHPC_ECOLI	AP_001001.1
MHPD_ECOLI	AP_001002.1
ACDH_ECOLI	AP_001003.1
HOA_ECOLI	AP_001004.1
MHPT_ECOLI	AP_001005.1
YAIL_ECOLI	AP_001006.1
SFGH1_ECOLI	AP_001007.1
FRMA_ECOLI	AP_001008.1
FRMR_ECOLI	AP_001009.1
YAIO_ECOLI	AP_001010.1
INSC1_ECOLI	AP_001011.1
INSC2_ECOLI	AP_001011.1
INSC3_ECOLI	AP_001011.1
INSC4_ECOLI	AP_001011.1
INSC5_ECOLI	AP_001011.1
INSC6_ECOLI	AP_001011.1
INSC7_ECOLI	AP_001011.1
INSD1_ECOLI	AP_001012.1
INSD2_ECOLI	AP_001012.1
INSD3_ECOLI	AP_001012.1
INSD4_ECOLI	AP_001012.1
INSD5_ECOLI	AP_001012.1
INSD6_ECOLI	AP_001012.1
INSD7_ECOLI	AP_001012.1
YAIX_ECOLI	AP_001013.1
YAIP_ECOLI	AP_001014.1
YAIS_ECOLI	AP_001015.1
TAUA_ECOLI	AP_001016.1
TAUB_ECOLI	AP_001017.1
TAUC_ECOLI	AP_001018.1
TAUD_ECOLI	AP_001019.1
HEM2_ECOLI	AP_001020.1
YAIT_ECOLI	AP_001022.1
YAIV_ECOLI	AP_001026.1
AMPH_ECOLI	AP_001027.1
SBMA_ECOLI	AP_001028.1
YAIW_ECOLI	AP_001029.1
YAIY_ECOLI	AP_001030.1
YAIZ_ECOLI	AP_001031.1
DDLA_ECOLI	AP_001032.1
IRAP_ECOLI	AP_001033.1
PPB_ECOLI	AP_001034.1
PSIF_ECOLI	AP_001035.1
ADRA_ECOLI	AP_001036.1
P5CR_ECOLI	AP_001037.1
YAII_ECOLI	AP_001038.1
AROL_ECOLI	AP_001039.1
YAIA_ECOLI	AP_001040.1
AROM_ECOLI	AP_001041.1
YAIE_ECOLI	AP_001042.1
YKIA_ECOLI	AP_001043.1
RDGC_ECOLI	AP_001044.1
MAK_ECOLI	AP_001045.1
ARAJ_ECOLI	AP_001046.1
SBCC_ECOLI	AP_001047.1
SBCD_ECOLI	AP_001048.1
PHOB_ECOLI	AP_001049.1
PHOR_ECOLI	AP_001050.1
BRNQ_ECOLI	AP_001051.1
PROY_ECOLI	AP_001052.1
MALZ_ECOLI	AP_001053.1
ACPH_ECOLI	AP_001054.1
QUEA_ECOLI	AP_001055.1
TGT_ECOLI	AP_001056.1
YAJC_ECOLI	AP_001057.1
SECD_ECOLI	AP_001058.1
SECF_ECOLI	AP_001059.1
YAJD_ECOLI	AP_001060.1
TSX_ECOLI	AP_001061.1
YAJI_ECOLI	AP_001062.1
NRDR_ECOLI	AP_001063.1
RIBD_ECOLI	AP_001064.1
RISB_ECOLI	AP_001065.1
NUSB_ECOLI	AP_001066.1
THIL_ECOLI	AP_001067.1
PGPA_ECOLI	AP_001068.1
YAJO_ECOLI	AP_001069.1
DXS_ECOLI	AP_001070.1
ISPA_ECOLI	AP_001071.1
EX7S_ECOLI	AP_001072.1
THII_ECOLI	AP_001073.1
THIJ_ECOLI	AP_001074.1
PANE_ECOLI	AP_001075.1
YAJQ_ECOLI	AP_001076.1
YAJR_ECOLI	AP_001077.1
CYOE_ECOLI	AP_001078.1
CYOD_ECOLI	AP_001079.1
CYOC_ECOLI	AP_001080.1
CYOB_ECOLI	AP_001081.1
CYOA_ECOLI	AP_001082.1
AMPG_ECOLI	AP_001083.1
YAJG_ECOLI	AP_001084.1
BOLA_ECOLI	AP_001085.1
TIG_ECOLI	AP_001086.1
CLPP_ECOLI	AP_001087.1
CLPX_ECOLI	AP_001088.1
LON_ECOLI	AP_001089.1
DBHB_ECOLI	AP_001090.1
PPID_ECOLI	AP_001091.1
YBAV_ECOLI	AP_001092.1
TESC_ECOLI	AP_001093.1
QUEC_ECOLI	AP_001094.1
YBAE_ECOLI	AP_001095.1
COF_ECOLI	AP_001096.1
YBAO_ECOLI	AP_001097.1
MDLA_ECOLI	AP_001098.1
MDLB_ECOLI	AP_001099.1
GLNK_ECOLI	AP_001100.1
AMTB_ECOLI	AP_001101.1
TESB_ECOLI	AP_001102.1
YBAY_ECOLI	AP_001103.1
YBAZ_ECOLI	AP_001104.1
YBAA_ECOLI	AP_001105.1
YLAB_ECOLI	AP_001106.1
YLAC_ECOLI	AP_001107.1
MAA_ECOLI	AP_001108.1
HHA_ECOLI	AP_001109.1
YBAJ_ECOLI	AP_001110.1
ACRB_ECOLI	AP_001111.1
ACRA_ECOLI	AP_001112.1
ACRR_ECOLI	AP_001113.1
KEFA_ECOLI	AP_001114.1
YBAM_ECOLI	AP_001115.1
PRIC_ECOLI	AP_001116.1
YBAN_ECOLI	AP_001117.1
APT_ECOLI	AP_001118.1
DPO3X_ECOLI	AP_001119.1
YBAB_ECOLI	AP_001120.1
RECR_ECOLI	AP_001121.1
HTPG_ECOLI	AP_001122.1
KAD_ECOLI	AP_001123.1
HEMH_ECOLI	AP_001124.1
AES_ECOLI	AP_001125.1
INGK_ECOLI	AP_001126.1
YBAL_ECOLI	AP_001127.1
FSR_ECOLI	AP_001128.1
USHA_ECOLI	AP_001129.1
YBAK_ECOLI	AP_001130.1
YBAP_ECOLI	AP_001131.1
YBAQ_ECOLI	AP_001132.1
COPA_ECOLI	AP_001133.1
GLSA1_ECOLI	AP_001134.1
YBAT_ECOLI	AP_001135.1
CUER_ECOLI	AP_001136.1
YBBJ_ECOLI	AP_001137.1
QMCA_ECOLI	AP_001138.1
YBBL_ECOLI	AP_001139.1
YBBM_ECOLI	AP_001140.1
YBBN_ECOLI	AP_001141.1
YBBO_ECOLI	AP_001142.1
TESA_ECOLI	AP_001143.1
YBBA_ECOLI	AP_001144.1
YBBP_ECOLI	AP_001145.1
RHSD_ECOLI	AP_001146.1
YBBC_ECOLI	AP_001147.1
YLBH_ECOLI	AP_001148.1
YBBD_ECOLI	AP_001149.1
YLBG_ECOLI	AP_001150.1
SELU_ECOLI	AP_001151.1
ALLS_ECOLI	AP_001152.1
ALLA_ECOLI	AP_001153.1
ALLR_ECOLI	AP_001154.1
GCL_ECOLI	AP_001155.1
HYI_ECOLI	AP_001156.1
GLXR_ECOLI	AP_001157.1
YBBV_ECOLI	AP_001158.1
ALLP_ECOLI	AP_001159.1
ALLB_ECOLI	AP_001160.1
YBBY_ECOLI	AP_001161.1
GLXK1_ECOLI	AP_001162.1
YLBA_ECOLI	AP_001163.1
ALLC_ECOLI	AP_001164.1
ALLD_ECOLI	AP_001165.1
FDRA_ECOLI	AP_001166.1
YLBF_ECOLI	AP_001167.1
ARCC_ECOLI	AP_001168.1
PURK_ECOLI	AP_001169.1
PUR6_ECOLI	AP_001170.1
LPXH_ECOLI	AP_001171.1
PPIB_ECOLI	AP_001172.1
SYC_ECOLI	AP_001173.1
YBCI_ECOLI	AP_001174.1
YBCJ_ECOLI	AP_001175.1
FOLD_ECOLI	AP_001176.1
SFMA_ECOLI	AP_001177.1
SFMC_ECOLI	AP_001178.1
SFMD_ECOLI	AP_001179.1
SFMH_ECOLI	AP_001180.1
SFMF_ECOLI	AP_001181.1
FIMZ_ECOLI	AP_001182.1
INTD_ECOLI	AP_001183.1
YBCC_ECOLI	AP_001184.1
REND_ECOLI	AP_001187.1
EMRE_ECOLI	AP_001188.1
YBCK_ECOLI	AP_001189.1
YBCL_ECOLI	AP_001190.1
YBCM_ECOLI	AP_001191.1
YBCN_ECOLI	AP_001192.1
NINE_ECOLI	AP_001193.1
YBCO_ECOLI	AP_001194.1
RUSA_ECOLI	AP_001195.1
YLCG_ECOLI	AP_001196.1
REQ1_ECOLI	AP_001197.1
ESSD_ECOLI	AP_001199.1
LYSD_ECOLI	AP_001200.1
RZPD_ECOLI	AP_001201.1
RZOD_ECOLI	AP_001202.1
BORD_ECOLI	AP_001203.1
YBCV_ECOLI	AP_001204.1
YBCW_ECOLI	AP_001205.1
NOHB_ECOLI	AP_001206.1
YBCY_ECOLI	AP_001207.1
YLCE_ECOLI	AP_001208.1
APPY_ECOLI	AP_001209.1
OMPT_ECOLI	AP_001210.1
ENVY_ECOLI	AP_001211.1
YBCH_ECOLI	AP_001212.1
NFRA_ECOLI	AP_001213.1
NFRB_ECOLI	AP_001214.1
CUSS_ECOLI	AP_001215.1
CUSR_ECOLI	AP_001216.1
CUSC_ECOLI	AP_001217.1
CUSF_ECOLI	AP_001218.1
CUSB_ECOLI	AP_001219.1
CUSA_ECOLI	AP_001220.1
PHEP_ECOLI	AP_001221.1
YBDG_ECOLI	AP_001222.1
NFNB_ECOLI	AP_001223.1
YBDF_ECOLI	AP_001224.1
YBDJ_ECOLI	AP_001225.1
CAAL_ECOLI	AP_001226.1
HOKE_ECOLI	AP_001227.1
ENTD_ECOLI	AP_001229.1
FEPA_ECOLI	AP_001230.1
FES_ECOLI	AP_001231.1
YBDZ_ECOLI	AP_001232.1
ENTF_ECOLI	AP_001233.1
FEPE_ECOLI	AP_001234.1
FEPC_ECOLI	AP_001235.1
FEPG_ECOLI	AP_001236.1
FEPD_ECOLI	AP_001237.1
ENTS_ECOLI	AP_001238.1
FEPB_ECOLI	AP_001239.1
ENTC_ECOLI	AP_001240.1
ENTE_ECOLI	AP_001241.1
ENTB_ECOLI	AP_001242.1
ENTA_ECOLI	AP_001243.1
YBDB_ECOLI	AP_001244.1
CSTA_ECOLI	AP_001245.1
YBDD_ECOLI	AP_001246.1
YBDH_ECOLI	AP_001247.1
YBDL_ECOLI	AP_001248.1
YBDM_ECOLI	AP_001249.1
YBDN_ECOLI	AP_001250.1
YBDO_ECOLI	AP_001251.1
DSBG_ECOLI	AP_001252.1
AHPC_ECOLI	AP_001253.1
AHPF_ECOLI	AP_001254.1
USPG_ECOLI	AP_001255.1
YBDR_ECOLI	AP_001256.1
RNK_ECOLI	AP_001257.1
RNI_ECOLI	AP_001258.1
CITT_ECOLI	AP_001259.1
CITG_ECOLI	AP_001260.1
CITX_ECOLI	AP_001261.1
CILA_ECOLI	AP_001262.1
CITE_ECOLI	AP_001263.1
CITD_ECOLI	AP_001264.1
CITC_ECOLI	AP_001265.1
DPIB_ECOLI	AP_001266.1
DPIA_ECOLI	AP_001267.1
DCUC_ECOLI	AP_001268.1
CRCA_ECOLI	AP_001271.1
CSPE_ECOLI	AP_001272.1
CRCB_ECOLI	AP_001273.1
YBEM_ECOLI	AP_001274.1
TATE_ECOLI	AP_001276.1
LIPA_ECOLI	AP_001277.1
YBEF_ECOLI	AP_001278.1
LIPB_ECOLI	AP_001279.1
YBED_ECOLI	AP_001280.1
DACA_ECOLI	AP_001281.1
RLPA_ECOLI	AP_001282.1
RODA_ECOLI	AP_001283.1
PBP2_ECOLI	AP_001284.1
RLMH_ECOLI	AP_001285.1
YBEB_ECOLI	AP_001286.1
COBC_ECOLI	AP_001287.1
NADD_ECOLI	AP_001288.1
HOLA_ECOLI	AP_001289.1
LPTE_ECOLI	AP_001290.1
SYL_ECOLI	AP_001291.1
YBEL_ECOLI	AP_001292.1
YBEQ_ECOLI	AP_001293.1
YBER_ECOLI	AP_001294.1
DJLB_ECOLI	AP_001295.1
YBET_ECOLI	AP_001296.1
YBEU_ECOLI	AP_001297.1
DJLC_ECOLI	AP_001298.1
HSCC_ECOLI	AP_001299.1
RIHA_ECOLI	AP_001300.1
GLTL_ECOLI	AP_001301.1
GLTK_ECOLI	AP_001302.1
GLTJ_ECOLI	AP_001303.1
GLTI_ECOLI	AP_001304.1
LNT_ECOLI	AP_001306.1
CORC_ECOLI	AP_001307.1
YBEY_ECOLI	AP_001308.1
PHOL_ECOLI	AP_001309.1
MIAB_ECOLI	AP_001310.1
UBIF_ECOLI	AP_001311.1
ASNB_ECOLI	AP_001312.1
NAGD_ECOLI	AP_001313.1
NAGC_ECOLI	AP_001314.1
NAGA_ECOLI	AP_001315.1
NAGB_ECOLI	AP_001316.1
PTW3C_ECOLI	AP_001317.1
SYQ_ECOLI	AP_001318.1
YBFM_ECOLI	AP_001319.1
YBFN_ECOLI	AP_001320.1
FUR_ECOLI	AP_001321.1
FLAV_ECOLI	AP_001322.1
YBFE_ECOLI	AP_001323.1
YBFF_ECOLI	AP_001324.1
SEQA_ECOLI	AP_001325.1
PGM_ECOLI	AP_001326.1
YBFP_ECOLI	AP_001327.1
YBFG_ECOLI	AP_001328.1
POTE_ECOLI	AP_001330.1
DCOS_ECOLI	AP_001331.1
KDPE_ECOLI	AP_001332.1
KDPD_ECOLI	AP_001333.1
ATKC_ECOLI	AP_001334.1
ATKB_ECOLI	AP_001335.1
ATKA_ECOLI	AP_001336.1
KDPF_ECOLI	AP_001337.1
YBFA_ECOLI	AP_001338.1
RHSC_ECOLI	AP_001339.1
YBFB_ECOLI	AP_001340.1
YBFO_ECOLI	AP_001341.1
YBFC_ECOLI	AP_001342.1
YBFQ_ECOLI	AP_001343.1
YBFD_ECOLI	AP_001344.1
YBGA_ECOLI	AP_001345.1
PHR_ECOLI	AP_001346.1
YBGH_ECOLI	AP_001347.1
YBGI_ECOLI	AP_001348.1
YBGJ_ECOLI	AP_001349.1
YBGK_ECOLI	AP_001350.1
YBGL_ECOLI	AP_001351.1
END8_ECOLI	AP_001352.1
ABRB_ECOLI	AP_001353.1
YBGO_ECOLI	AP_001354.1
YBGP_ECOLI	AP_001355.1
YBGQ_ECOLI	AP_001356.1
YBGD_ECOLI	AP_001357.1
CISY_ECOLI	AP_001358.1
DHSC_ECOLI	AP_001359.1
DHSD_ECOLI	AP_001360.1
DHSA_ECOLI	AP_001361.1
DHSB_ECOLI	AP_001362.1
ODO1_ECOLI	AP_001363.1
ODO2_ECOLI	AP_001364.1
SUCC_ECOLI	AP_001365.1
SUCD_ECOLI	AP_001366.1
MNGR_ECOLI	AP_001367.1
HRSA_ECOLI	AP_001368.1
MNGB_ECOLI	AP_001369.1
CYDA_ECOLI	AP_001370.1
CYDB_ECOLI	AP_001371.1
YBGT_ECOLI	AP_001372.1
YBGE_ECOLI	AP_001373.1
YBGC_ECOLI	AP_001374.1
TOLQ_ECOLI	AP_001375.1
TOLR_ECOLI	AP_001376.1
TOLA_ECOLI	AP_001377.1
TOLB_ECOLI	AP_001378.1
PAL_ECOLI	AP_001379.1
YBGF_ECOLI	AP_001380.1
NADA_ECOLI	AP_001381.1
