K12 Entry name (Uniprot)	BL21(DE3) Accession name (Uniprot)	BL21(DE3) Entry name (Uniprot)
WCAI_ECOLI	C6EAQ7	C6EAQ7_ECOBD
MANC_ECOLI	C6EAQ8	C6EAQ8_ECOBD
MANB_ECOLI	C6EAQ9	C6EAQ9_ECOBD
WCAJ_ECOLI	C6EAR0	C6EAR0_ECOBD
WZXC_ECOLI	C6EAR1	C6EAR1_ECOBD
WCAK_ECOLI	C6EAR2	C6EAR2_ECOBD
WCAL_ECOLI	C6EAR3	C6EAR3_ECOBD
WCAM_ECOLI	C6EAR4	C6EAR4_ECOBD
GALF_ECOLI	C6EAR5	C6EAR5_ECOBD
PANC_ECOLI	C6EAS4	C6EAS4_ECOBD
PAND_ECOLI	C6EAS6	C6EAS6_ECOBD
YADE_ECOLI	C6EAS7	C6EAS7_ECOBD
YADI_ECOLI	C6EAS8	C6EAS8_ECOBD
YADG_ECOLI	C6EAT0	C6EAT0_ECOBD
CAN_ECOLI	C6EAT1	C6EAT1_ECOBD
HPRT_ECOLI	C6EAT2	C6EAT2_ECOBD
DHG_ECOLI	C6EAT3	C6EAT3_ECOBD
YACC_ECOLI	C6EAT5	C6EAT5_ECOBD
SPEE_ECOLI	C6EAT6	C6EAT6_ECOBD
SPED_ECOLI	C6EAT7	C6EAT7_ECOBD
YACL_ECOLI	C6EAT8	C6EAT8_ECOBD
ACON2_ECOLI	C6EAT9	C6EAT9_ECOBD
DLDH_ECOLI	C6EAU1	C6EAU1_ECOBD
ODP1_ECOLI	C6EAU3	C6EAU3_ECOBD
PDHR_ECOLI	C6EAU4	C6EAU4_ECOBD
AROP_ECOLI	C6EAU5	C6EAU5_ECOBD
AMPE_ECOLI	C6EAU6	C6EAU6_ECOBD
AMPD_ECOLI	C6EAU7	C6EAU7_ECOBD
NADC_ECOLI	C6EAU8	C6EAU8_ECOBD
PPDD_ECOLI	C6EAU9	C6EAU9_ECOBD
HOFB_ECOLI	C6EAV0	C6EAV0_ECOBD
GUAC_ECOLI	C6EAV2	C6EAV2_ECOBD
COAE_ECOLI	C6EAV3	C6EAV3_ECOBD
YACF_ECOLI	C6EAV4	C6EAV4_ECOBD
MUTT_ECOLI	C6EAV6	C6EAV6_ECOBD
SECA_ECOLI	C6EAV7	C6EAV7_ECOBD
SECM_ECOLI	C6EAV8	C6EAV8_ECOBD
LPXC_ECOLI	C6EAV9	C6EAV9_ECOBD
FTSA_ECOLI	C6EAW1	C6EAW1_ECOBD
FTSQ_ECOLI	C6EAW2	C6EAW2_ECOBD
DDLB_ECOLI	C6EAW3	C6EAW3_ECOBD
MURC_ECOLI	C6EAW4	C6EAW4_ECOBD
MURG_ECOLI	C6EAW5	C6EAW5_ECOBD
MURF_ECOLI	C6EAW9	C6EAW9_ECOBD
FTSI_ECOLI	C6EAX1	C6EAX1_ECOBD
RSMH_ECOLI	C6EAX3	C6EAX3_ECOBD
RLUA_ECOLI	C6EAZ7	C6EAZ7_ECOBD
LPTD_ECOLI	C6EAZ9	C6EAZ9_ECOBD
PDXA_ECOLI	C6EB01	C6EB01_ECOBD
RSMA_ECOLI	C6EB02	C6EB02_ECOBD
APAG_ECOLI	C6EB03	C6EB03_ECOBD
APAH_ECOLI	C6EB04	C6EB04_ECOBD
DYR_ECOLI	C6EB05	C6EB05_ECOBD
KEFF_ECOLI	C6EB07	C6EB07_ECOBD
YAAU_ECOLI	C6EB08	C6EB08_ECOBD
FIXC_ECOLI	C6EB10	C6EB10_ECOBD
FIXA_ECOLI	C6EB12	C6EB12_ECOBD
CAIT_ECOLI	C6EB13	C6EB13_ECOBD
CAIA_ECOLI	C6EB14	C6EB14_ECOBD
CAIC_ECOLI	C6EB15	C6EB15_ECOBD
CAID_ECOLI	C6EB16	C6EB16_ECOBD
CAIE_ECOLI	C6EB17	C6EB17_ECOBD
CAIF_ECOLI	C6EB18	C6EB18_ECOBD
CARB_ECOLI	C6EB19	C6EB19_ECOBD
CARA_ECOLI	C6EB20	C6EB20_ECOBD
DAPB_ECOLI	C6EB22	C6EB22_ECOBD
ISPH_ECOLI	C6EB24	C6EB24_ECOBD
FKBX_ECOLI	C6EB25	C6EB25_ECOBD
LSPA_ECOLI	C6EB26	C6EB26_ECOBD
SYI_ECOLI	C6EB27	C6EB27_ECOBD
RIBF_ECOLI	C6EB28	C6EB28_ECOBD
NHAR_ECOLI	C6EB34	C6EB34_ECOBD
DNAK_ECOLI	C6EB40	C6EB40_ECOBD
YAAI_ECOLI	C6EB41	C6EB41_ECOBD
YAAH_ECOLI	C6EB43	C6EB43_ECOBD
MOG_ECOLI	C6EB44	C6EB44_ECOBD
6PGD_ECOLI	C6EB56	C6EB56_ECOBD
UDG_ECOLI	C6EB57	C6EB57_ECOBD
HIS6_ECOLI	C6EB60	C6EB60_ECOBD
HIS5_ECOLI	C6EB62	C6EB62_ECOBD
HIS7_ECOLI	C6EB63	C6EB63_ECOBD
HIS8_ECOLI	C6EB64	C6EB64_ECOBD
HISX_ECOLI	C6EB65	C6EB65_ECOBD
HIS1_ECOLI	C6EB66	C6EB66_ECOBD
YEEZ_ECOLI	C6EB67	C6EB67_ECOBD
YEEY_ECOLI	C6EB68	C6EB68_ECOBD
YEEF_ECOLI	C6EB69	C6EB69_ECOBD
EX1_ECOLI	C6EB72	C6EB72_ECOBD
GYRI_ECOLI	C6EB74	C6EB74_ECOBD
YEEA_ECOLI	C6EB75	C6EB75_ECOBD
YEEX_ECOLI	C6EB76	C6EB76_ECOBD
COBU_ECOLI	C6EB79	C6EB79_ECOBD
COBT_ECOLI	C6EB81	C6EB81_ECOBD
ERFK_ECOLI	C6EB82	C6EB82_ECOBD
NAC_ECOLI	C6EB83	C6EB83_ECOBD
CBL_ECOLI	C6EB84	C6EB84_ECOBD
AMN_ECOLI	C6EB87	C6EB87_ECOBD
SHIA_ECOLI	C6EB88	C6EB88_ECOBD
MTFA_ECOLI	C6EB91	C6EB91_ECOBD
YODA_ECOLI	C6EB93	C6EB93_ECOBD
YEDZ_ECOLI	C6EB96	C6EB96_ECOBD
HIUH_ECOLI	C6EB98	C6EB98_ECOBD
YEDW_ECOLI	C6EB99	C6EB99_ECOBD
YEDV_ECOLI	C6EBA0	C6EBA0_ECOBD
HCHA_ECOLI	C6EBA1	C6EBA1_ECOBD
UVRC_ECOLI	C6EBE9	C6EBE9_ECOBD
PGSA_ECOLI	C6EBF0	C6EBF0_ECOBD
YECA_ECOLI	C6EBF1	C6EBF1_ECOBD
FTNA_ECOLI	C6EBF4	C6EBF4_ECOBD
FTNB_ECOLI	C6EBF8	C6EBF8_ECOBD
ARAF_ECOLI	C6EBF9	C6EBF9_ECOBD
ARAG_ECOLI	C6EBG0	C6EBG0_ECOBD
TALB_ECOLI	C6EBG1	C6EBG1_ECOBD
YAAJ_ECOLI	C6EBG2	C6EBG2_ECOBD
YAAA_ECOLI	C6EBG3	C6EBG3_ECOBD
THRC_ECOLI	C6EBG5	C6EBG5_ECOBD
KHSE_ECOLI	C6EBG6	C6EBG6_ECOBD
AK1H_ECOLI	C6EBG7	C6EBG7_ECOBD
ARCA_ECOLI	C6EBH0	C6EBH0_ECOBD
CREC_ECOLI	C6EBH2	C6EBH2_ECOBD
CREB_ECOLI	C6EBH3	C6EBH3_ECOBD
CREA_ECOLI	C6EBH4	C6EBH4_ECOBD
ROB_ECOLI	C6EBH5	C6EBH5_ECOBD
YJJX_ECOLI	C6EBH7	C6EBH7_ECOBD
SLT_ECOLI	C6EBH9	C6EBH9_ECOBD
YJJK_ECOLI	C6EBI0	C6EBI0_ECOBD
NADR_ECOLI	C6EBI1	C6EBI1_ECOBD
RADA_ECOLI	C6EBI2	C6EBI2_ECOBD
SERB_ECOLI	C6EBI3	C6EBI3_ECOBD
LPLA_ECOLI	C6EBI5	C6EBI5_ECOBD
DEOD_ECOLI	C6EBI7	C6EBI7_ECOBD
DEOB_ECOLI	C6EBI8	C6EBI8_ECOBD
TYPH_ECOLI	C6EBI9	C6EBI9_ECOBD
YJJW_ECOLI	C6EBJ2	C6EBJ2_ECOBD
YJJV_ECOLI	C6EBJ3	C6EBJ3_ECOBD
YJJU_ECOLI	C6EBJ4	C6EBJ4_ECOBD
OSMY_ECOLI	C6EBJ6	C6EBJ6_ECOBD
RF3_ECOLI	C6EBJ7	C6EBJ7_ECOBD
YJJG_ECOLI	C6EBJ8	C6EBJ8_ECOBD
RIMI_ECOLI	C6EBJ9	C6EBJ9_ECOBD
RSMC_ECOLI	C6EBK1	C6EBK1_ECOBD
FHUF_ECOLI	C6EBK3	C6EBK3_ECOBD
BGLJ_ECOLI	C6EBK4	C6EBK4_ECOBD
YJJQ_ECOLI	C6EBK5	C6EBK5_ECOBD
YJJP_ECOLI	C6EBK6	C6EBK6_ECOBD
YJJB_ECOLI	C6EBK7	C6EBK7_ECOBD
DNAC_ECOLI	C6EBK9	C6EBK9_ECOBD
YJJA_ECOLI	C6EBL0	C6EBL0_ECOBD
OTSB_ECOLI	C6EBT2	C6EBT2_ECOBD
OTSA_ECOLI	C6EBT3	C6EBT3_ECOBD
USPC_ECOLI	C6EBT4	C6EBT4_ECOBD
MOTA_ECOLI	C6EBT7	C6EBT7_ECOBD
MOTB_ECOLI	C6EBT8	C6EBT8_ECOBD
CHER_ECOLI	C6EBU3	C6EBU3_ECOBD
CHEB_ECOLI	C6EBU4	C6EBU4_ECOBD
CHEZ_ECOLI	C6EBU6	C6EBU6_ECOBD
FLHE_ECOLI	C6EBU9	C6EBU9_ECOBD
SYR_ECOLI	C6EBV1	C6EBV1_ECOBD
YECM_ECOLI	C6EBV2	C6EBV2_ECOBD
CUTC_ECOLI	C6EBV3	C6EBV3_ECOBD
TORY_ECOLI	C6EBV4	C6EBV4_ECOBD
CMOB_ECOLI	C6EBV6	C6EBV6_ECOBD
CMOA_ECOLI	C6EBV7	C6EBV7_ECOBD
YECN_ECOLI	C6EBV8	C6EBV8_ECOBD
YECE_ECOLI	C6EBV9	C6EBV9_ECOBD
YECD_ECOLI	C6EBW0	C6EBW0_ECOBD
SYD_ECOLI	C6EBW1	C6EBW1_ECOBD
NUDB_ECOLI	C6EBW2	C6EBW2_ECOBD
YEBB_ECOLI	C6EBW5	C6EBW5_ECOBD
RUVA_ECOLI	C6EBW6	C6EBW6_ECOBD
RUVB_ECOLI	C6EBW7	C6EBW7_ECOBD
ZNUC_ECOLI	C6EBW9	C6EBW9_ECOBD
YEBA_ECOLI	C6EBX1	C6EBX1_ECOBD
MSBB_ECOLI	C6EBX2	C6EBX2_ECOBD
KPYK2_ECOLI	C6EBX3	C6EBX3_ECOBD
HEXR_ECOLI	C6EBX4	C6EBX4_ECOBD
G6PD_ECOLI	C6EBX6	C6EBX6_ECOBD
EDD_ECOLI	C6EBX7	C6EBX7_ECOBD
ALKH_ECOLI	C6EBX8	C6EBX8_ECOBD
YEBF_ECOLI	C6EBY1	C6EBY1_ECOBD
PTRB_ECOLI	C6EBY4	C6EBY4_ECOBD
EXOX_ECOLI	C6EBY5	C6EBY5_ECOBD
YOBB_ECOLI	C6EBY6	C6EBY6_ECOBD
YEBZ_ECOLI	C6EBY9	C6EBY9_ECOBD
PRP1_ECOLI	C6EBZ1	C6EBZ1_ECOBD
YEBW_ECOLI	C6EBZ2	C6EBZ2_ECOBD
RSMF_ECOLI	C6EBZ4	C6EBZ4_ECOBD
YEBT_ECOLI	C6EBZ5	C6EBZ5_ECOBD
YEBS_ECOLI	C6EBZ6	C6EBZ6_ECOBD
PROQ_ECOLI	C6EBZ8	C6EBZ8_ECOBD
PRC_ECOLI	C6EBZ9	C6EBZ9_ECOBD
HTPX_ECOLI	C6EC00	C6EC00_ECOBD
YEBQ_ECOLI	C6EC01	C6EC01_ECOBD
KDGR_ECOLI	C6EC02	C6EC02_ECOBD
RLMA_ECOLI	C6EC08	C6EC08_ECOBD
YEBN_ECOLI	C6EC09	C6EC09_ECOBD
YOBD_ECOLI	C6EC10	C6EC10_ECOBD
PTND_ECOLI	C6EC11	C6EC11_ECOBD
PTNC_ECOLI	C6EC12	C6EC12_ECOBD
YOAE_ECOLI	C6EC15	C6EC15_ECOBD
ADRB_ECOLI	C6EC16	C6EC16_ECOBD
SDHL_ECOLI	C6EC17	C6EC17_ECOBD
NUDL_ECOLI	C6EC18	C6EC18_ECOBD
YOAC_ECOLI	C6EC21	C6EC21_ECOBD
YOAB_ECOLI	C6EC22	C6EC22_ECOBD
YOAA_ECOLI	C6EC23	C6EC23_ECOBD
YEAZ_ECOLI	C6EC24	C6EC24_ECOBD
YEAY_ECOLI	C6EC25	C6EC25_ECOBD
LCFA_ECOLI	C6EC26	C6EC26_ECOBD
RND_ECOLI	C6EC27	C6EC27_ECOBD
LEUE_ECOLI	C6EC32	C6EC32_ECOBD
YEAP_ECOLI	C6EC37	C6EC37_ECOBD
YEAO_ECOLI	C6EC39	C6EC39_ECOBD
YEAI_ECOLI	C6EC45	C6EC45_ECOBD
YEAH_ECOLI	C6EC46	C6EC46_ECOBD
MIPA_ECOLI	C6EC47	C6EC47_ECOBD
YEAE_ECOLI	C6EC48	C6EC48_ECOBD
YEAD_ECOLI	C6EC49	C6EC49_ECOBD
G3P1_ECOLI	C6EC50	C6EC50_ECOBD
MSRB_ECOLI	C6EC51	C6EC51_ECOBD
YDJL_ECOLI	C6EC53	C6EC53_ECOBD
YJGR_ECOLI	C6EC88	C6EC88_ECOBD
LPTG_ECOLI	C6EC89	C6EC89_ECOBD
AMPA_ECOLI	C6EC91	C6EC91_ECOBD
HOLC_ECOLI	C6EC92	C6EC92_ECOBD
SYV_ECOLI	C6EC93	C6EC93_ECOBD
YJGM_ECOLI	C6EC95	C6EC95_ECOBD
PYRB_ECOLI	C6ECA3	C6ECA3_ECOBD
PYRI_ECOLI	C6ECA4	C6ECA4_ECOBD
YJGF_ECOLI	C6ECA5	C6ECA5_ECOBD
ATMA_ECOLI	C6ECA6	C6ECA6_ECOBD
TRER_ECOLI	C6ECA7	C6ECA7_ECOBD
PTTBC_ECOLI	C6ECA8	C6ECA8_ECOBD
TREC_ECOLI	C6ECA9	C6ECA9_ECOBD
NRDD_ECOLI	C6ECB1	C6ECB1_ECOBD
NRDG_ECOLI	C6ECB2	C6ECB2_ECOBD
PMBA_ECOLI	C6ECB4	C6ECB4_ECOBD
YJGA_ECOLI	C6ECB5	C6ECB5_ECOBD
MPL_ECOLI	C6ECB6	C6ECB6_ECOBD
F16PA_ECOLI	C6ECB7	C6ECB7_ECOBD
YTFQ_ECOLI	C6ECC1	C6ECC1_ECOBD
IPYR_ECOLI	C6ECC2	C6ECC2_ECOBD
YTFP_ECOLI	C6ECC3	C6ECC3_ECOBD
YTFN_ECOLI	C6ECC4	C6ECC4_ECOBD
YTFM_ECOLI	C6ECC5	C6ECC5_ECOBD
MSRA_ECOLI	C6ECC6	C6ECC6_ECOBD
YTFL_ECOLI	C6ECC7	C6ECC7_ECOBD
YTFJ_ECOLI	C6ECC9	C6ECC9_ECOBD
CPDB_ECOLI	C6ECD1	C6ECD1_ECOBD
YTFH_ECOLI	C6ECD2	C6ECD2_ECOBD
QOR2_ECOLI	C6ECD3	C6ECD3_ECOBD
YTFF_ECOLI	C6ECD4	C6ECD4_ECOBD
RCMNS_ECOLI	C6ECD5	C6ECD5_ECOBD
CYCA_ECOLI	C6ECD6	C6ECD6_ECOBD
RS6_ECOLI	C6ECE9	C6ECE9_ECOBD
ULAF_ECOLI	C6ECF1	C6ECF1_ECOBD
ULAE_ECOLI	C6ECF2	C6ECF2_ECOBD
ULAD_ECOLI	C6ECF3	C6ECF3_ECOBD
ULAA_ECOLI	C6ECF6	C6ECF6_ECOBD
ULAG_ECOLI	C6ECF7	C6ECF7_ECOBD
ULAR_ECOLI	C6ECF8	C6ECF8_ECOBD
YJFP_ECOLI	C6ECF9	C6ECF9_ECOBD
YJFN_ECOLI	C6ECG1	C6ECG1_ECOBD
AIDB_ECOLI	C6ECG2	C6ECG2_ECOBD
YJFL_ECOLI	C6ECG5	C6ECG5_ECOBD
YJFK_ECOLI	C6ECG6	C6ECG6_ECOBD
YJFI_ECOLI	C6ECG8	C6ECG8_ECOBD
RLMB_ECOLI	C6ECG9	C6ECG9_ECOBD
RNR_ECOLI	C6ECH0	C6ECH0_ECOBD
NSRR_ECOLI	C6ECH1	C6ECH1_ECOBD
PURA_ECOLI	C6ECH2	C6ECH2_ECOBD
HFLX_ECOLI	C6ECH6	C6ECH6_ECOBD
DPO3B_ECOLI	C6ECH8	C6ECH8_ECOBD
RECF_ECOLI	C6ECH9	C6ECH9_ECOBD
YIDB_ECOLI	C6ECI1	C6ECI1_ECOBD
YDJJ_ECOLI	C6ECI3	C6ECI3_ECOBD
