YDGA_ECOLI	C6EDN4	F2	Putative uncharacterized protein (Putative uncharacterized protein ydgA)	+ 	+ 	+ 	+ 
CYSP_ECOLI	C6EL52	G	"Sulfate ABC transporter, periplasmic sulfate-binding protein (Thiosulfate transporter subunit)"	 	+ 	 	 
USHA_ECOLI	C6EKY4	G	5'-Nucleotidase domain protein (UDP-sugar hydrolase) (EC 3.1.3.5) (EC 3.6.1.45)	 	+ 	 	 
TESA_ECOLI	C6EKX0	G	Lysophospholipase (EC 3.1.1.5) (Multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1) (EC 3.1.1.5) (EC 3.1.2.-)	 	+ 	 	 
YFGC_ECOLI	C6EKL7	G	Peptidase M48 Ste24p (Predicted peptidase)	 	+ 	 	 
DSBG_ECOLI	C6EK90	G	Disulfide isomerase/thiol-disulfide oxidase (Periplasmic disulfide isomerase/thiol-disulfide oxidase) (EC 5.3.4.1)	 	+ 	 	 
RNI_ECOLI	C6EK83	G	Enterobacter ribonuclease (EC 3.1.27.6) (Ribonuclease I) (EC 3.1.27.6)	 	+ 	 	 
GLTI_ECOLI	C6EK40	G	Extracellular solute-binding protein family 3 (Glutamate and aspartate transporter subunit)	 	+ 	 	 
PROX_ECOLI	C6EJU6	G	Glycine betaine transporter subunit (Substrate-binding region of ABC-type glycine betaine transport system)	 	+ 	 	 
YBGF_ECOLI	C6EJJ5	G	Putative uncharacterized protein ybgF (Tol-pal system protein YbgF)	 	+ 	 	 
PTRA_ECOLI	C6EJ48	G	Peptidase M16 domain protein (Protease III)	 	+ 	 	 
GLNH_ECOLI	C6EIX1	G	"Cationic amino acid ABC transporter, periplasmic binding protein (Glutamine ABC transporter periplasmic protein)"	 	+ 	 	 
GSIB_ECOLI	C6EIV2	G	Extracellular solute-binding protein family 5	 	+ 	 	 
DSBC_ECOLI	C6EIL5	G	Protein disulfide isomerase II (EC 5.3.4.1) (Thiol:disulfide interchange protein DsbC)	 	+ 	 	 
ARTJ_ECOLI	C6EIC1	G	"Arginine transporter subunit (Cationic amino acid ABC transporter, periplasmic binding protein)"	 	+ 	 	 
ARTI_ECOLI	C6EIB8	G	"Arginine transporter subunit (Cationic amino acid ABC transporter, periplasmic binding protein)"	 	+ 	 	 
TRXB_ECOLI	C6EI94	G	Thioredoxin reductase (EC 1.8.1.9)	 	+ 	 	 
SUFI_ECOLI	C6EHX7	G	Multicopper oxidase type 3 (Repressor protein for FtsI)	 	+ 	 	 
AGP_ECOLI	C6EHK5	G	Glucose-1-phosphatase (EC 3.1.3.10) (Glucose-1-phosphatase/inositol phosphatase) (EC 3.1.3.10)	 	+ 	 	 
YCDO_ECOLI	C6EHI9	G	Putative uncharacterized protein (Putative uncharacterized protein ycdO)	 	+ 	 	 
MLAC_ECOLI	C6EH35	G	Predicted ABC-type organic solvent transporter (Toluene tolerance family protein)	 	+ 	 	 
POTD_ECOLI	C6EGW8	G	Extracellular solute-binding protein family 1 (Spermidine/putrescine ABC transporter periplasmic substrate-binding protein)	 	+ 	 	 
OPPA_ECOLI	C6EGM4	G	Extracellular solute-binding protein family 5	 	+ 	 	 
PSTS_ECOLI	C6EG75	G	"Phosphate ABC transporter, periplasmic phosphate-binding protein (Phosphate transporter subunit)"	 	+ 	 	 
RBSB_ECOLI	C6EG51	G	D-ribose transporter subunit (Periplasmic binding protein/LacI transcriptional regulator)	 	+ 	 	 
SAPA_ECOLI	C6EFT8	G	Extracellular solute-binding protein family 5 (Predicted antimicrobial peptide transporter subunit)	 	+ 	 	 
PPIA_ECOLI	C6EFL3	G	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	 	+ 	 	 
UGPB_ECOLI	C6EFC1	G	Extracellular solute-binding protein family 1 (Glycerol-3-phosphate transporter subunit)	 	+ 	 	 
YIIQ_ECOLI	C6EEX8	G	Putative uncharacterized protein (Putative uncharacterized protein yiiQ)	 	+ 	 	 
OPGD_ECOLI	C6EET8	G	Periplasmic glucan biosynthesis protein MdoG	 	+ 	 	 
YNCE_ECOLI	C6EER1	G	Putative uncharacterized protein (Putative uncharacterized protein yncE)	 	+ 	 	 
DPPA_ECOLI	C6EED6	G	Dipeptide transporter (Extracellular solute-binding protein family 5)	 	+ 	 	 
YNJB_ECOLI	C6ECK3	G	Extracellular solute-binding protein family 1 (Putative uncharacterized protein ynjB)	 	+ 	 	 
CPDB_ECOLI	C6ECD1	G	"2',3'-cyclic-nucleotide 2'-phosphodiesterase (Bifunctional 2',3'-cyclic nucleotide 2'-phosphodiesterase/3'-nucleotidase periplasmic protein) (EC 3.1.3.6) (EC 3.1.4.16)"	 	+ 	 	 
YTFQ_ECOLI	C6ECC1	G	Periplasmic binding protein/LacI transcriptional regulator (Predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily)	 	+ 	 	 
SLT_ECOLI	C6EBH9	G	"Lytic murein transglycosylase, soluble (EC 3.2.1.-) (Lytic transglycosylase catalytic)"	 	+ 	 	 
CREA_ECOLI	C6EBH4	G	CreA family protein (Putative uncharacterized protein creA)	 	+ 	 	 
SURA_ECOLI	C6EB00	G	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Peptidylprolyl isomerase) (EC 5.2.1.8)	 	+ 	 	 
BGLX_ECOLI	C6EAH9	G	"Beta-D-glucoside glucohydrolase, periplasmic (EC 3.2.1.21) (Glycoside hydrolase family 3 domain protein)"	 	+ 	 	 
ECOT_ECOLI	C6E9Z0	G	Ecotin (Proteinase inhibitor I11 ecotin)	 	+ 	 	 
AMIA_ECOLI	C6EKR9	G	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (N-acetylmuramoyl-l-alanine amidase I) (EC 3.5.1.28)	 	 	 	+ 
YBIS_ECOLI	C6EIW3	G	ErfK/YbiS/YcfS/YnhG family protein (Putative uncharacterized protein ybiS)	 	 	 	+ 
BCSC_ECOLI	C6EEF3	G	Cellulose synthase operon C domain protein (Cellulose synthase subunit)	 	 	 	+ 
FHUD_ECOLI	C6EAD2	G	Iron-hydroxamate transporter subunit (Periplasmic binding protein)	 	 	 	+ 
BTUF_ECOLI	C6EAC6	G	Periplasmic binding protein (Vitamin B12-transporter protein BtuF)	 	 	 	+ 
YAET_ECOLI	C6EAA8	H	"Outer membrane protein assembly complex, YaeT protein (Putative uncharacterized protein yaeT)"	+ 	+ 	+ 	+ 
TOLC_ECOLI	C6EHV8	H	"Outer membrane channel protein (Type I secretion outer membrane protein, TolC family)"	+ 	+ 	+ 	+ 
OMPA_ECOLI	C6EI25	H	OmpA domain protein transmembrane region-containing protein (Outer membrane protein A (3a;II*;G;d))	+ 	+ 	+ 	+ 
OMPF_ECOLI	C6EI53	H	Outer membrane porin 1a (Ia;b;F) (Porin Gram-negative type)	+ 	+ 	+ 	+ 
FEPA_ECOLI	C6EKB2	H	Iron-enterobactin outer membrane transporter (TonB-dependent siderophore receptor)	 	+ 	+ 	+ 
OMPX_ECOLI	C6EIW8	H	Outer membrane protein X (Virulence-related outer membrane protein)	 	+ 	+ 	+ 
YNCD_ECOLI	C6EER2	H	Predicted iron outer membrane transporter (TonB-dependent receptor)	 	+ 	+ 	+ 
YTFM_ECOLI	C6ECC5	H	Predicted outer membrane protein and surface antigen (Surface antigen (D15))	 	+ 	+ 	+ 
FECA_ECOLI	C6EC65	H	Ferric citrate outer membrane transporter (TonB-dependent siderophore receptor)	 	+ 	+ 	+ 
LPTD_ECOLI	C6EAZ9	H	LPS-assembly protein lptD (Organic solvent tolerance protein)	 	+ 	+ 	+ 
TSX_ECOLI	C6ELH3	H	"Nucleoside channel, receptor of phage T6 and colicin K (Nucleoside-specific channel-forming protein Tsx)"	 	+ 	 	+ 
YHDP_ECOLI	C6EGL5	H	"Conserved membrane protein, predicted transporter (Uncharacterized protein YhdP)"	 	+ 	 	+ 
MIPA_ECOLI	C6EC47	H	MltA-interacting MipA family protein (Scaffolding protein for murein synthesizing machinery)	 	+ 	 	+ 
FADL_ECOLI	C6ELB0	H	Membrane protein involved in aromatic hydrocarbon degradation	 	+ 	 	 
PA1_ECOLI	C6EF90	H	Outer membrane phospholipase A (EC 3.1.1.32) (Phospholipase A(2)) (EC 3.1.1.4)	 	+ 	 	 
LPP_ECOLI	C6ECS8	I	LPP repeat-containing protein (Murein lipoprotein)	+ 	+ 	+ 	+ 
SLYB_ECOLI	C6EDK4	I	17 kDa surface antigen (Outer membrane lipoprotein)	+ 	+ 	+ 	+ 
YIAD_ECOLI	C6EEC9	I	OmpA/MotB domain protein (Predicted outer membrane lipoprotein)	+ 	+ 	+ 	+ 
LOLB_ECOLI	C6EGQ7	I	Outer-membrane lipoprotein lolB	+ 	+ 	+ 	+ 
YCFM_ECOLI	C6EGY7	I	Membrane lipoprotein lipid attachment site (Predicted outer membrane lipoprotein)	+ 	+ 	+ 	+ 
YFIO_ECOLI	C6EJZ5	I	Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	+ 	+ 	+ 	+ 
LPTE_ECOLI	C6EK52	I	Minor lipoprotein (Rare lipoprotein B)	+ 	+ 	+ 	+ 
YAJG_ECOLI	C6EL32	I	Predicted lipoprotein (Uncharacterized lipoprotein)	+ 	+ 	+ 	+ 
YRAP_ECOLI	C6EH75	I	Putative uncharacterized protein yraP (Transport-associated)	+ 	+ 	 	+ 
YCEB_ECOLI	C6EHF0	I	Predicted lipoprotein (Putative uncharacterized protein)	+ 	+ 	 	+ 
YBJP_ECOLI	C6EIB6	I	Predicted lipoprotein (Putative lipoprotein)	+ 	+ 	 	+ 
OSME_ECOLI	C6ECL9	I	DNA-binding transcriptional activator (SmpA/OmlA domain protein)	+ 	+ 	 	 
MLAA_ECOLI	C6ELA7	I	Predicted lipoprotein (VacJ family lipoprotein)	 	+ 	+ 	+ 
YFEY_ECOLI	C6EKS2	I	Putative uncharacterized protein (Putative uncharacterized protein yfeY)	 	+ 	+ 	+ 
NLPB_ECOLI	C6EKN4	I	Lipoprotein (NlpBDapX family lipoprotein)	 	+ 	+ 	+ 
YFGL_ECOLI	C6EKJ7	I	"Outer membrane assembly lipoprotein YfgL (Protein assembly complex, lipoprotein component)"	 	+ 	+ 	+ 
BORD_ECOLI	C6EKD4	I	Bor family protein (Predicted lipoprotein)	 	+ 	+ 	+ 
PAL_ECOLI	C6EJJ6	I	Peptidoglycan-associated lipoprotein (Peptidoglycan-associated outer membrane lipoprotein)	 	+ 	+ 	+ 
NLPD_ECOLI	C6EJC5	I	Peptidase M23 (Predicted outer membrane lipoprotein)	 	+ 	+ 	+ 
YGGG_ECOLI	C6EIH3	I	Peptidase M48 Ste24p	 	+ 	+ 	+ 
YRAM_ECOLI	C6EH78	I	LppC family lipoprotein (Putative uncharacterized protein yraM)	 	+ 	+ 	+ 
RCSF_ECOLI	C6EA88	I	"Outer membrane lipoprotein (Predicted outer membrane protein, signal)"	 	+ 	+ 	+ 
RLPA_ECOLI	C6EK60	I	Minor lipoprotein (Rare lipoprotein A)	 	+ 	+ 	 
YAIW_ECOLI	C6ELK9	I	Predicted DNA-binding transcriptional regulator (Putative uncharacterized protein)	 	+ 	 	+ 
YBHC_ECOLI	C6EJI8	I	Pectinesterase (Predicted pectinesterase)	 	+ 	 	+ 
BORD_ECOLI	C6EJF8	I	Bor family protein (Bor protein)	 	+ 	 	+ 
MLTA_ECOLI	C6EJ53	I	Membrane-bound lytic murein transglycosylase A (EC 3.2.1.-) (MltA domain protein)	 	+ 	 	+ 
EMTA_ECOLI	C6EGS4	I	Lytic murein endotransglycosylase E (EC 2.4.99.-) (Lytic transglycosylase catalytic)	 	+ 	 	+ 
ECNB_ECOLI	C6ECX6	I	Entericidin B membrane lipoprotein (Entericidin EcnAB)	 	+ 	 	+ 
NLPE_ECOLI	C6EA92	I	Copper resistance lipoprotein NlpE (Lipoprotein involved with copper homeostasis and adhesion)	 	+ 	 	+ 
YBAY_ECOLI	C6EL10	I	Glycoprotein/polysaccharide metabolism (Predicted outer membrane lipoprotein)	 	+ 	 	 
SMPA_ECOLI	C6EJX6	I	SmpA/OmlA domain protein	 	+ 	 	 
MLTB_ECOLI	C6EJT0	I	Lytic murein transglycosylase B (Membrane-bound lytic murein transglycosylase B) (EC 3.2.1.-)	 	+ 	 	 
YGER_ECOLI	C6EIP3	I	Peptidase M23 (Tetratricopeptide repeat transcriptional regulator)	 	+ 	 	 
YIFL_ECOLI	C6EG06	I	Predicted lipoprotein (Putative uncharacterized protein)	 	+ 	 	 
YJEI_ECOLI	C6ECY1	I	Putative uncharacterized protein (Putative uncharacterized protein yjeI)	 	+ 	 	 
BLC_ECOLI	C6ECX4	I	Lipocalin family protein (Outer membrane lipoprotein (Lipocalin))	 	+ 	 	 
YEAY_ECOLI	C6EC25	I	"Outer membrane lipoprotein, Slp family (Predicted lipoprotein)"	 	+ 	 	 
NLPI_ECOLI	C6EH62	I	Putative uncharacterized protein nlpI (Tetratricopeptide TPR_2 repeat protein)	 	 	+ 	+ 
