From	To
P63286	CLPB_ECOL6
P63284	CLPB_ECOLI
P0ADN1	VIAA_ECO57
P0ADN0	VIAA_ECOLI
P0A8A6	YDIA_ECO57
P0A8A5	YDIA_ECOL6
P0A8A4	YDIA_ECOLI
P0A8A7	YDIA_SHIFL
P0CF07	INSA1_ECOLI
P0C652	INSA1_ECOLX
P0CF08	INSA2_ECOLI
P0CF06	INSA2_ECOLX
P0CF09	INSA3_ECOLI
P0CF10	INSA4_ECOLI
P0CF11	INSA5_ECOLI
P0CF12	INSA6_ECOLI
P0CF13	INSA8_ECOLI
P0ADH1	INSA_SALTI
P0ADH2	INSA_SHISO
P0CG18	RNPH_ECOBW
P0CG19	RNPH_ECOLI
P0A8B0	RIMP_ECO57
P0A8A9	RIMP_ECOL6
P0A8A8	RIMP_ECOLI
P0A8B1	RIMP_SHIFL
P0AGA4	SECY_ECO57
P0AGA3	SECY_ECOL6
P0AGA2	SECY_ECOLI
P0AGA5	SECY_SHIFL
P0AG12	UMUD_ECO57
P0AG11	UMUD_ECOLI
P0AG13	UMUD_SHIFL
P0AD69	FTSI_ECO57
P0AD68	FTSI_ECOLI
P0AEB4	DACA_ECO57
P0AEB3	DACA_ECOL6
P0AEB2	DACA_ECOLI
P0A8Z1	YCIA_ECOL6
P0A8Z0	YCIA_ECOLI
P0A8Z2	YCIA_SHIFL
P0A782	NUSB_ECO57
P0A781	NUSB_ECOL6
P0A780	NUSB_ECOLI
P0A783	NUSB_SHIFL
P0A819	METK_ECO57
P0A818	METK_ECOL6
P0A817	METK_ECOLI
P0A820	METK_SHIFL
P0AC39	ASPA_ECOL6
P0AC38	ASPA_ECOLI
P0AC40	ASPA_SHIFL
P0A6Z0	DNAK_ECO57
P0A6Y9	DNAK_ECOL6
P0A6Y8	DNAK_ECOLI
P0ADH6	FIMB_ECO57
P0ADH5	FIMB_ECOLI
P0A860	TPIS_ECO57
P0A859	TPIS_ECOL6
P0A858	TPIS_ECOLI
P0A861	TPIS_SHIFL
P60908	SYH_ECO57
P60907	SYH_ECOL6
P60906	SYH_ECOLI
P0A7E2	PYRD_ECO57
P0A7E1	PYRD_ECOLI
P69788	PTGCB_ECO57
P69787	PTGCB_ECOL6
P69786	PTGCB_ECOLI
P0A9J7	RBSK_ECO57
P0A9J6	RBSK_ECOLI
P69442	KAD_ECO57
P69441	KAD_ECOLI
P62553	CCDA_ECO57
P62552	CCDA_ECOLI
P62555	CCDB_ECO57
P62554	CCDB_ECOLI
P0A9D6	CYSE_ECO57
P0A9D5	CYSE_ECOL6
P0A9D4	CYSE_ECOLI
P0A9D7	CYSE_SHIFL
P0A7Y2	RNC_ECO57
P0A7Y1	RNC_ECOL6
P0A7Y0	RNC_ECOLI
P0A7Y3	RNC_SHIFL
P0A9Z3	GLNB_ECO57
P0A9Z2	GLNB_ECOL6
P0A9Z1	GLNB_ECOLI
P0A9Z5	GLNB_SALTI
P0A9Z4	GLNB_SALTY
P0A9Z6	GLNB_SHIFL
P0ABV0	TOLQ_ECO57
P0ABU9	TOLQ_ECOLI
P0ABV1	TOLQ_SHIFL
P0ABV8	TOLR_ECO57
P0ABV7	TOLR_ECOL6
P0ABV6	TOLR_ECOLI
P0ABV9	TOLR_SHIFL
P0ACA5	SSPA_ECO57
P0ACA4	SSPA_ECOL6
P0ACA3	SSPA_ECOLI
P0ACA6	SSPA_SHIFL
P0AAT7	YBEB_ECOL6
P0AAT6	YBEB_ECOLI
P0AAT8	YBEB_SHIFL
P0A8J0	RLMH_ECO57
P0A8I9	RLMH_ECOL6
P0A8I8	RLMH_ECOLI
P0A8J1	RLMH_SHIFL
P0ABH2	FTSA_ECO57
P0ABH1	FTSA_ECOL6
P0ABH0	FTSA_ECOLI
P0ABH3	FTSA_SHIFL
P0A9A8	FTSZ_ECO57
P0A9A7	FTSZ_ECOL6
P0A9A6	FTSZ_ECOLI
P0AE68	CHEY_ECO57
P0AE67	CHEY_ECOLI
P0AE69	CHEY_SHIFL
P0ACK7	DEOR_ECO57
P0ACK6	DEOR_ECOL6
P0ACK5	DEOR_ECOLI
P0A7Y8	RNPA_ECOLI
P0A7Y9	RNPA_SHIFL
P0A9F5	CYSB_ECO57
P0A9F4	CYSB_ECOL6
P0A9F3	CYSB_ECOLI
P0A9C7	GLNA_ECO57
P0A9C6	GLNA_ECOL6
P0A9C5	GLNA_ECOLI
P0A9C8	GLNA_SHIFL
P0AFB6	NTRB_ECO57
P0AFB5	NTRB_ECOLI
P0AFB7	NTRB_SHIFL
P0AFB9	NTRC_ECO57
P0AFB8	NTRC_ECOLI
P0AFG9	ODP1_ECO57
P0AFG8	ODP1_ECOLI
P0ACN9	CYTR_ECO57
P0ACN8	CYTR_ECOL6
P0ACN7	CYTR_ECOLI
P0ACP0	CYTR_SHIFL
P0A9B4	G3P1_ECO57
P0A9B3	G3P1_ECOL6
P0A9B2	G3P1_ECOLI
P0A9B5	G3P1_SHIFL
P0AES7	GYRB_ECO57
P0AES6	GYRB_ECOLI
P0AES8	GYRB_SHIFL
P0A6X9	IHFA_ECO57
P0A6X8	IHFA_ECOL6
P0A6X7	IHFA_ECOLI
P0A6Y0	IHFA_SHIFL
P0A6L5	NANA_ECO57
P0A6L4	NANA_ECOLI
P0A6L6	NANA_SHIFL
P0A797	K6PF1_ECO57
P0A796	K6PF1_ECOLI
P0A798	K6PF1_SHIFL
P0AB69	PNTB_ECO57
P0AB68	PNTB_ECOL6
P0AB67	PNTB_ECOLI
P0AB70	PNTB_SHIFL
P0AA06	PTHP_ECO57
P0AA05	PTHP_ECOL6
P0AA04	PTHP_ECOLI
P0AA08	PTHP_SALTI
P0AA07	PTHP_SALTY
P0AA09	PTHP_SHIFL
P0C079	RELB_ECOLI
P0C080	RELB_SHIFL
P0C077	RELE_ECOLI
P0C078	RELE_SHIFL
P0A7I2	RF1_ECO57
P0A7I1	RF1_ECOL6
P0A7I0	RF1_ECOLI
P0A7I3	RF1_SHIFL
P0AFG5	ODO1_ECO57
P0AFG4	ODO1_ECOL6
P0AFG3	ODO1_ECOLI
P0AFG7	ODO2_ECO57
P0AFG6	ODO2_ECOLI
P0AGD9	SRP54_ECO57
P0AGD8	SRP54_ECOL6
P0AGD7	SRP54_ECOLI
P0A8F9	UVRB_ECO57
P0A8F8	UVRB_ECOLI
P0AED5	UVRY_ECOLI
P0AED6	UVRY_SHIFL
P0A8G2	UVRC_ECO57
P0A8G1	UVRC_ECOL6
P0A8G0	UVRC_ECOLI
P0A913	PAL_ECO57
P0A912	PAL_ECOLI
P0A914	PAL_SHIFL
P0A966	CHEW_ECO57
P0A965	CHEW_ECOL6
P0A964	CHEW_ECOLI
P0A967	CHEW_SHIFL
P0A9I0	CHEZ_ECOL6
P0A9H9	CHEZ_ECOLI
P0A276	MUCA_ECOLX
P0A275	MUCA_SALTY
P0AGF1	SUCD_ECO57
P0AGF0	SUCD_ECOL6
P0AGE9	SUCD_ECOLI
P0A838	SUCC_ECO57
P0A837	SUCC_ECOL6
P0A836	SUCC_ECOLI
P0A839	SUCC_SHIFL
P0A727	LPXC_ECO57
P0A726	LPXC_ECOL6
P0A725	LPXC_ECOLI
P0A728	LPXC_SHIFL
P0AAH2	PSTB_ECO57
P0AAH1	PSTB_ECOL6
P0AAH0	PSTB_ECOLI
P0AAH3	PSTB_SHIFL
P0A9K7	PHOU_ECOLI
P0A9K8	PHOU_SHIFL
P0A698	UVRA_ECOLI
P0A699	UVRA_SHIFL
P69504	APT_ECOL6
P69503	APT_ECOLI
P60787	LEPA_ECO57
P60786	LEPA_ECOL6
P60785	LEPA_ECOLI
P60788	LEPA_SHIFL
P0A8J2	DNAT_ECOLI
P0A8J3	DNAT_SHIFL
P0AE20	AMPM_ECO57
P0AE19	AMPM_ECOL6
P0AE18	AMPM_ECOLI
P0AE21	AMPM_SHIFL
P0AB78	BIKB_ECO57
P0AB79	BIKB_SHIFL
P0AB77	KBL_ECOLI
P0A9M1	LON_ECOL6
P0A9M0	LON_ECOLI
P69799	PTNAB_ECO57
P69798	PTNAB_ECOL6
P69797	PTNAB_ECOLI
P69800	PTNAB_SHIFL
P0A9Q6	ACCD_ECO57
P0A9Q5	ACCD_ECOLI
P0A6C7	ARGA_ECO57
P0A6C6	ARGA_ECOL6
P0A6C5	ARGA_ECOLI
P0A6Q1	ENO_ECO57
P0A6Q0	ENO_ECOL6
P0A6P9	ENO_ECOLI
P0A6Q2	ENO_SHIFL
P0A9T2	SERA_ECO57
P0A9T1	SERA_ECOL6
P0A9T0	SERA_ECOLI
P0A9T3	SERA_SHIFL
P0AE84	CPXA_ECO57
P0AE83	CPXA_ECOL6
P0AE82	CPXA_ECOLI
P0A8U8	METJ_ECO57
P0A8U7	METJ_ECOL6
P0A8U6	METJ_ECOLI
P0A8U9	METJ_SHIFL
P0A802	RPOZ_ECO57
P0A801	RPOZ_ECOL6
P0A800	RPOZ_ECOLI
P0A804	RPOZ_SALTI
P0A803	RPOZ_SALTY
P0AG42	RIBF_ECO57
P0AG41	RIBF_ECOL6
P0AG40	RIBF_ECOLI
P0AG43	RIBF_SHIFL
P0A7E7	PYRG_ECO57
P0A7E6	PYRG_ECOL6
P0A7E5	PYRG_ECOLI
P0A7E8	PYRG_SHIFL
P0AFJ6	PHOB_ECO57
P0AFJ5	PHOB_ECOLI
P0A811	RUVA_ECO57
P0A810	RUVA_ECOL6
P0A809	RUVA_ECOLI
P0A813	RUVB_ECO57
P0A812	RUVB_ECOLI
P0A6Y3	IHFB_ECO57
P0A6Y2	IHFB_ECOL6
P0A6Y1	IHFB_ECOLI
P0A6Y4	IHFB_SHIFL
P69784	PTGA_ECOL6
P69783	PTGA_ECOLI
P69785	PTGA_SHIFL
P0AFZ6	SULA_ECO57
P0AFZ5	SULA_ECOLI
P0A6F4	GLPK_ECO57
P0A6F3	GLPK_ECOLI
P62557	SOPA_ECO57
P62556	SOPA_ECOLI
P62559	SOPB_ECO57
P62558	SOPB_ECOLI
P0ACG0	HNS_ECO57
P0ACF9	HNS_ECOL6
P0ACF8	HNS_ECOLI
P0A8Z5	YBGC_ECO57
P0A8Z4	YBGC_ECOL6
P0A8Z3	YBGC_ECOLI
P0A8Z6	YBGC_SHIFL
P0AG19	PURE_ECO57
P0AG18	PURE_ECOLI
P0AES4	GYRA_ECOLI
P0AES5	GYRA_SHIFL
P0A8L3	SYS_ECO57
P0A8L2	SYS_ECOL6
P0A8L1	SYS_ECOLI
P0A8L4	SYS_SHIFL
P0A7F7	SPED_ECO57
P0A7F6	SPED_ECOLI
P0A7F8	SPED_SHIFL
P0AC29	YGFA_ECO57
P0AC28	YGFA_ECOLI
P0AFH0	OGT_ECOLI
P0AFH1	OGT_SHIFL
P0A7G4	RBFA_ECO57
P0A7G3	RBFA_ECOL6
P0A7G2	RBFA_ECOLI
P0A7G5	RBFA_SHIFL
P0A8V8	FADR_ECO57
P0A8V7	FADR_ECOL6
P0A8V6	FADR_ECOLI
P0A8V9	FADR_SHIFL
P0A760	NAGB_ECO57
P0A759	NAGB_ECOLI
P0C0V1	DEGP_ECO57
P0C0V0	DEGP_ECOLI
P0ACL0	GLPR_ECOLI
P0ACL1	GLPR_SHIFL
P0ABP7	DEDA_ECO57
P0ABP6	DEDA_ECOLI
P0A9P5	TRXB_ECO57
P0A9P4	TRXB_ECOLI
P0ABP9	DEOD_ECO57
P0ABP8	DEOD_ECOLI
P0A8Y6	YIDA_ECOL6
P0A8Y5	YIDA_ECOLI
P0A8Y7	YIDA_SHIFL
P0A9R9	FTSE_ECO57
P0A9R8	FTSE_ECOL6
P0A9R7	FTSE_ECOLI
P0A9S0	FTSE_SHIFL
P0ADY0	RSMD_ECOL6
P0ADX9	RSMD_ECOLI
P0AC31	FTSX_ECOL6
P0AC30	FTSX_ECOLI
P0AC32	FTSX_SHIFL
P0A957	ALKH_ECO57
P0A956	ALKH_ECOL6
P0A955	ALKH_ECOLI
P0A958	ALKH_SHIFL
P0ACH9	MELR_ECOL6
P0ACH8	MELR_ECOLI
P0A6Z5	HTPG_ECO57
P0A6Z4	HTPG_ECOL6
P0A6Z3	HTPG_ECOLI
P0A723	LPXA_ECOL6
P0A722	LPXA_ECOLI
P0A724	LPXA_SHIFL
P0AC45	DHSD_ECOL6
P0AC44	DHSD_ECOLI
P0AC46	DHSD_SHIFL
P69055	DHSC_ECO57
P69054	DHSC_ECOLI
P0AG81	UGPB_ECO57
P0AG80	UGPB_ECOLI
P0AGA8	UHPA_ECO57
P0AGA7	UHPA_ECOL6
P0AGA6	UHPA_ECOLI
P0AGA9	UHPA_SHIFL
P0AF30	NARL_ECO57
P0AF29	NARL_ECOL6
P0AF28	NARL_ECOLI
P0AF31	NARL_SHIFL
P0A6R5	FIS_ECO57
P0A6R4	FIS_ECOL6
P0A6R3	FIS_ECOLI
P0A6R7	FIS_SALTI
P0A6R6	FIS_SALTY
P0A6R9	FIS_SERMA
P0A6R8	FIS_SHIFL
P0ACQ8	TDCA_ECO57
P0ACQ7	TDCA_ECOLI
P0ACQ9	TDCA_SHIFL
P0ABD4	BFR_ECOL6
P0ABD3	BFR_ECOLI
P0ABK6	CYSK_ECO57
P0ABK5	CYSK_ECOLI
P0A8T0	FLHD_ECOL6
P0A8S9	FLHD_ECOLI
P0ABY9	FLHC_ECO57
P0ABY8	FLHC_ECOL6
P0ABY7	FLHC_ECOLI
P0ABZ0	FLHC_SHIFL
P0AER2	GLPF_ECO57
P0AER1	GLPF_ECOL6
P0AER0	GLPF_ECOLI
P0AD51	RAIA_ECO57
P0AD50	RAIA_ECOL6
P0AD49	RAIA_ECOLI
P0AD52	RAIA_SHIFL
P0AF27	NARJ_ECO57
P0AF26	NARJ_ECOLI
P0A6C9	ARGB_ECO57
P0A6C8	ARGB_ECOLI
P0AEU9	SKP_ECO57
P0AEU8	SKP_ECOL6
P0AEU7	SKP_ECOLI
P0AEV0	SKP_SHIFL
P0AB87	FUCA_ECOLI
P0AB88	FUCA_SHIFL
P0AEP0	FUCM_ECO57
